measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,Other Biomass Gas - Fuel Cell - Other Renewables - Generation,Other Biomass Gas - Fuel Cell - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Fuel Cell - Other Renewables - Total Fuel Consumed
2017-05-01,110.183,753.0,753.0,568.237,3880.0,3880.0
2017-06-01,144.962,990.0,990.0,581.55,3971.0,3971.0
2017-07-01,197.681,1350.0,1350.0,576.625,3938.0,3938.0
2017-08-01,223.154,1524.0,1524.0,578.408,3950.0,3950.0
2017-09-01,183.614,1254.0,1254.0,542.396,3704.0,3704.0
2017-10-01,173.895,1188.0,1188.0,457.624,3125.0,3125.0
2017-11-01,151.128,1032.0,1032.0,546.299,3731.0,3731.0
2017-12-01,160.22,1094.0,1094.0,601.624,4108.0,4108.0
2018-01-01,648.071,4509.0,4509.0,0.0,0.0,0.0
2018-02-01,569.02,3958.0,3958.0,0.0,0.0,0.0
2018-03-01,591.802,4117.0,4117.0,0.0,0.0,0.0
2018-04-01,445.38,3098.0,3098.0,0.0,0.0,0.0
2018-05-01,406.569,2828.0,2828.0,0.0,0.0,0.0
2018-06-01,556.17,3869.0,3869.0,0.0,0.0,0.0
2018-07-01,970.513,6752.0,6752.0,0.0,0.0,0.0
2018-08-01,897.812,6246.0,6246.0,0.0,0.0,0.0
2018-09-01,722.56,5026.0,5026.0,0.0,0.0,0.0
2018-10-01,807.658,5619.0,5619.0,0.0,0.0,0.0
2018-11-01,722.015,5023.0,5023.0,0.0,0.0,0.0
2018-12-01,727.43,5060.0,5060.0,0.0,0.0,0.0
2019-01-01,692.645,5228.0,5228.0,0.0,0.0,0.0
2019-02-01,642.228,4848.0,4848.0,0.0,0.0,0.0
2019-03-01,560.054,4228.0,4228.0,0.0,0.0,0.0
2019-04-01,392.989,2966.0,2966.0,0.0,0.0,0.0
2019-05-01,338.644,2556.0,2556.0,0.0,0.0,0.0
2019-06-01,452.827,3419.0,3419.0,0.0,0.0,0.0
2019-07-01,713.839,5389.0,5389.0,0.0,0.0,0.0
2019-08-01,838.489,6330.0,6330.0,0.0,0.0,0.0
2019-09-01,737.808,5570.0,5570.0,0.0,0.0,0.0
2019-10-01,755.675,5705.0,5705.0,0.0,0.0,0.0
2019-11-01,741.12,5595.0,5595.0,0.0,0.0,0.0
2019-12-01,768.682,5803.0,5803.0,0.0,0.0,0.0
2020-01-01,507.502,3981.0,3981.0,0.0,0.0,0.0
2020-02-01,448.174,3515.0,3515.0,0.0,0.0,0.0
2020-03-01,497.503,3902.0,3902.0,0.0,0.0,0.0
2020-04-01,351.834,2759.0,2759.0,0.0,0.0,0.0
2020-05-01,330.82,2595.0,2595.0,0.0,0.0,0.0
2020-06-01,465.367,3650.0,3650.0,0.0,0.0,0.0
2020-07-01,651.0,5106.0,5106.0,0.0,0.0,0.0
2020-08-01,809.563,6350.0,6350.0,0.0,0.0,0.0
2020-09-01,705.004,5529.0,5529.0,0.0,0.0,0.0
2020-10-01,732.164,5742.0,5742.0,0.0,0.0,0.0
2020-11-01,584.826,4587.0,4587.0,0.0,0.0,0.0
2020-12-01,648.243,5084.0,5084.0,0.0,0.0,0.0
2021-01-01,552.53,4110.0,4110.0,0.0,0.0,0.0
2021-02-01,468.563,3484.0,3484.0,0.0,0.0,0.0
2021-03-01,503.796,3746.0,3746.0,0.0,0.0,0.0
2021-04-01,447.035,3325.0,3325.0,0.0,0.0,0.0
2021-05-01,467.209,3474.0,3474.0,0.0,0.0,0.0
2021-06-01,638.882,4751.0,4751.0,0.0,0.0,0.0
2021-07-01,881.645,6556.0,6556.0,0.0,0.0,0.0
2021-08-01,804.971,5986.0,5986.0,0.0,0.0,0.0
2021-09-01,684.936,5093.0,5093.0,0.0,0.0,0.0
2021-10-01,652.954,4855.0,4855.0,0.0,0.0,0.0
2021-11-01,600.097,4463.0,4463.0,0.0,0.0,0.0
2021-12-01,619.382,4606.0,4606.0,0.0,0.0,0.0
2022-01-01,440.108,3374.0,3374.0,0.0,0.0,0.0
2022-02-01,365.407,2802.0,2802.0,0.0,0.0,0.0
2022-03-01,338.099,2591.0,2591.0,0.0,0.0,0.0
2022-04-01,346.326,2655.0,2655.0,0.0,0.0,0.0
2022-05-01,317.813,2436.0,2436.0,0.0,0.0,0.0
2022-06-01,432.247,3314.0,3314.0,0.0,0.0,0.0
2022-07-01,577.439,4427.0,4427.0,0.0,0.0,0.0
2022-08-01,696.757,5342.0,5342.0,0.0,0.0,0.0
2022-09-01,638.576,4896.0,4896.0,0.0,0.0,0.0
2022-10-01,586.433,4496.0,4496.0,0.0,0.0,0.0
2022-11-01,538.538,4128.0,4128.0,0.0,0.0,0.0
2022-12-01,595.257,4563.0,4563.0,0.0,0.0,0.0
2023-01-01,238.867,1864.0,1864.0,0.0,0.0,0.0
2023-02-01,203.468,1588.0,1588.0,0.0,0.0,0.0
2023-03-01,195.559,1526.0,1526.0,0.0,0.0,0.0
2023-04-01,152.772,1193.0,1193.0,0.0,0.0,0.0
2023-05-01,98.95,773.0,773.0,0.0,0.0,0.0
2023-06-01,130.172,1016.0,1016.0,0.0,0.0,0.0
2023-07-01,301.323,2353.0,2353.0,0.0,0.0,0.0
2023-08-01,304.041,2373.0,2373.0,0.0,0.0,0.0
2023-09-01,215.208,1680.0,1680.0,0.0,0.0,0.0
2023-10-01,262.809,2052.0,2052.0,0.0,0.0,0.0
2023-11-01,246.88,1927.0,1927.0,0.0,0.0,0.0
2023-12-01,277.951,2169.0,2169.0,0.0,0.0,0.0
2024-01-01,190.0,1182.0,1182.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,450.0,2829.0,2829.0,0.0,0.0,0.0
2024-10-01,744.0,4661.0,4661.0,0.0,0.0,0.0
2024-11-01,642.0,4055.0,4055.0,0.0,0.0,0.0
2024-12-01,777.0,4865.0,4865.0,0.0,0.0,0.0
