measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-06-01,,,,48.463,814.0,814.0,,,
2011-07-01,,,,87.458,1464.0,1464.0,,,
2011-08-01,,,,31.45,527.0,527.0,,,
2011-09-01,,,,16.345,275.0,275.0,,,
2011-10-01,,,,11.808,196.0,196.0,,,
2011-11-01,,,,8.34,140.0,140.0,,,
2011-12-01,,,,11.752,196.0,196.0,,,
2012-01-01,,,,50.83,592.0,592.0,,,
2012-02-01,,,,36.526,423.0,423.0,,,
2012-03-01,,,,32.57,378.0,378.0,,,
2012-04-01,,,,16.609,192.0,192.0,,,
2012-05-01,,,,41.476,485.0,485.0,,,
2012-06-01,,,,133.247,1550.0,1550.0,,,
2012-07-01,,,,302.457,3517.0,3517.0,,,
2012-08-01,,,,137.359,1601.0,1601.0,,,
2012-09-01,,,,42.884,502.0,502.0,,,
2012-10-01,,,,39.283,457.0,457.0,,,
2012-11-01,,,,63.692,744.0,744.0,,,
2012-12-01,,,,31.067,361.0,361.0,,,
2013-01-01,,,,53.443,754.0,754.0,,,
2013-02-01,,,,17.058,242.0,242.0,,,
2013-03-01,,,,5.089,73.0,73.0,,,
2013-04-01,,,,3.93,56.0,56.0,,,
2013-05-01,,,,8.999,129.0,129.0,,,
2013-06-01,,,,15.365,219.0,219.0,,,
2013-07-01,,,,44.611,636.0,636.0,,,
2013-08-01,,,,7.459,107.0,107.0,,,
2013-09-01,,,,9.813,141.0,141.0,,,
2013-10-01,,,,3.27,45.0,45.0,,,
2013-11-01,,,,3.531,51.0,51.0,,,
2013-12-01,,,,8.432,118.0,118.0,,,
2014-01-01,,,,390.723,5447.0,5447.0,,,
2014-02-01,,,,139.168,1934.0,1934.0,,,
2014-03-01,,,,109.926,1527.0,1527.0,,,
2014-04-01,,,,2.873,40.0,40.0,,,
2014-05-01,,,,2.517,34.0,34.0,,,
2014-06-01,,,,6.005,85.0,85.0,,,
2014-07-01,,,,9.888,136.0,136.0,,,
2014-08-01,,,,7.389,102.0,102.0,,,
2014-09-01,,,,5.347,74.0,74.0,,,
2014-10-01,,,,4.794,68.0,68.0,,,
2014-11-01,,,,7.11,96.0,96.0,,,
2014-12-01,,,,8.26,113.0,113.0,,,
2015-01-01,,,,102.67,1467.0,1467.0,,,
2015-02-01,,,,370.88,5310.0,5310.0,,,
2015-03-01,,,,28.552,406.0,406.0,,,
2015-04-01,,,,3.51,51.0,51.0,,,
2015-05-01,,,,4.988,73.0,73.0,,,
2015-06-01,,,,4.277,62.0,62.0,,,
2015-07-01,,,,10.957,158.0,158.0,,,
2015-08-01,,,,12.197,175.0,175.0,,,
2015-09-01,,,,10.367,147.0,147.0,,,
2015-10-01,,,,3.981,56.0,56.0,,,
2015-11-01,,,,1.819,28.0,28.0,,,
2015-12-01,,,,4.802,68.0,68.0,,,
2016-01-01,,,,76.492,1068.0,1068.0,,,
2016-02-01,,,,186.516,2608.0,2608.0,,,
2016-03-01,,,,13.17,182.0,182.0,,,
2016-04-01,,,,13.157,182.0,182.0,,,
2016-05-01,,,,6.518,91.0,91.0,,,
2016-06-01,,,,8.12,114.0,114.0,,,
2016-07-01,,,,49.666,693.0,693.0,,,
2016-08-01,,,,77.768,1085.0,1085.0,,,
2016-09-01,,,,21.765,307.0,307.0,,,
2016-10-01,,,,7.831,108.0,108.0,,,
2016-11-01,,,,8.897,125.0,125.0,,,
2016-12-01,,,,51.1,716.0,716.0,,,
2017-01-01,,,,25.147,345.0,345.0,,,
2017-02-01,,,,20.945,277.0,277.0,,,
2017-03-01,,,,31.932,424.0,424.0,,,
2017-04-01,,,,30.208,402.0,402.0,,,
2017-05-01,,,,15.539,209.0,209.0,,,
2017-06-01,,,,11.984,158.0,158.0,,,
2017-07-01,,,,11.328,153.0,153.0,,,
2017-08-01,,,,8.69,113.0,113.0,,,
2017-09-01,,,,9.439,124.0,124.0,,,
2017-10-01,,,,16.998,226.0,226.0,,,
2017-11-01,,,,19.727,260.0,260.0,,,
2017-12-01,,,,302.063,4028.0,4028.0,,,
2018-01-01,,,,301.943,4126.0,4126.0,,,
2018-02-01,,,,6.335,85.0,85.0,,,
2018-03-01,,,,6.313,85.0,85.0,,,
2018-04-01,,,,5.021,68.0,68.0,,,
2018-05-01,,,,1.192,17.0,17.0,,,
2018-06-01,,,,3.07,40.0,40.0,,,
2018-07-01,,,,2.826,40.0,40.0,,,
2018-08-01,,,,2.434,34.0,34.0,,,
2018-09-01,,,,2.795,40.0,40.0,,,
2018-10-01,,,,3.026,40.0,40.0,,,
2018-11-01,,,,3.177,45.0,45.0,,,
2018-12-01,,,,5.868,79.0,79.0,,,
2019-01-01,,,,230.071,3514.0,3514.0,,,
2019-02-01,,,,47.599,723.0,723.0,,,
2019-03-01,,,,0.785,11.0,11.0,,,
2019-04-01,,,,0.394,6.0,6.0,,,
2019-05-01,,,,0.626,11.0,11.0,,,
2019-06-01,,,,0.414,6.0,6.0,,,
2019-07-01,,,,0.199,6.0,6.0,,,
2019-08-01,,,,0.378,6.0,6.0,,,
2019-09-01,,,,1.662,23.0,23.0,,,
2019-10-01,,,,0.439,6.0,6.0,,,
2019-11-01,,,,0.865,11.0,11.0,,,
2019-12-01,,,,32.568,497.0,497.0,,,
2020-01-01,,,,72.391,959.0,959.0,,,
2020-02-01,,,,54.277,722.0,722.0,,,
2020-03-01,,,,45.964,615.0,615.0,,,
2020-04-01,,,,32.659,434.0,434.0,,,
2020-05-01,,,,69.051,920.0,920.0,,,
2020-06-01,,,,28.626,384.0,384.0,,,
2020-07-01,,,,47.606,632.0,632.0,,,
2020-08-01,,,,19.266,260.0,260.0,,,
2020-09-01,,,,50.07,666.0,666.0,,,
2020-10-01,,,,28.625,384.0,384.0,,,
2020-11-01,,,,69.279,925.0,925.0,,,
2020-12-01,,,,81.186,1083.0,1083.0,,,
2021-01-01,,,,28.094,433.0,433.0,,,
2021-02-01,,,,230.515,3552.0,3552.0,,,
2021-03-01,,,,34.533,535.0,535.0,,,
2021-04-01,,,,274.559,4233.0,4233.0,,,
2021-05-01,,,,10.718,163.0,163.0,,,
2021-06-01,,,,9.771,152.0,152.0,,,
2021-07-01,,,,8.795,135.0,135.0,,,
2021-08-01,,,,1.503,23.0,23.0,,,
2021-09-01,,,,19.808,304.0,304.0,,,
2021-10-01,,,,25.111,388.0,388.0,,,
2021-11-01,,,,36.882,569.0,569.0,,,
2021-12-01,,,,105.711,1627.0,1627.0,,,
2022-01-01,,,,112.982,2066.0,2066.0,,,
2022-02-01,,,,12.75,231.0,231.0,,,
2022-03-01,,,,0.906,17.0,17.0,,,
2022-04-01,,,,0.564,11.0,11.0,,,
2022-05-01,,,,1.65,28.0,28.0,,,
2022-06-01,,,,0.199,6.0,6.0,,,
2022-07-01,,,,0.269,6.0,6.0,,,
2022-08-01,,,,0.182,6.0,6.0,,,
2022-09-01,,,,0.291,6.0,6.0,,,
2022-10-01,,,,0.686,11.0,11.0,,,
2022-11-01,,,,2.093,39.0,39.0,,,
2022-12-01,,,,70.428,1289.0,1289.0,,,
2023-01-01,,,,6.498,124.0,124.0,,,
2023-02-01,,,,146.307,2775.0,2775.0,,,
2023-03-01,,,,5.093,96.0,96.0,,,
2023-04-01,,,,2.398,45.0,45.0,,,
2023-05-01,,,,4.633,90.0,90.0,,,
2023-06-01,,,,0.723,11.0,11.0,,,
2023-07-01,,,,0.928,17.0,17.0,,,
2023-08-01,,,,1.079,23.0,23.0,,,
2023-09-01,,,,2.056,39.0,39.0,,,
2023-10-01,,,,3.62,68.0,68.0,,,
2023-11-01,,,,1.732,34.0,34.0,,,
2023-12-01,,,,0.933,17.0,17.0,,,
2024-01-01,,,,2.843,193.0,193.0,,,
2024-02-01,,,,0.134,11.0,11.0,,,
2024-03-01,,,,0.847,57.0,57.0,,,
2024-04-01,,,,0.204,11.0,11.0,,,
2024-05-01,,,,0.103,6.0,6.0,,,
2024-06-01,,,,0.083,6.0,6.0,,,
2024-07-01,,,,0.166,11.0,11.0,,,
2024-08-01,,,,0.11,6.0,6.0,,,
2024-09-01,,,,0.103,6.0,6.0,,,
2024-10-01,,,,0.186,11.0,11.0,,,
2024-11-01,,,,0.261,17.0,17.0,,,
2024-12-01,,,,1.96,130.0,130.0,,,
