measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2020-04-01,0.0,0.0,0.0,1280.797,5750.0,24234.0,27625.203,124023.0,522700.0
2020-05-01,0.0,0.0,0.0,1423.52,6391.0,26240.0,24902.48,111799.0,459031.0
2020-06-01,0.0,0.0,0.0,1116.157,5011.0,20992.0,18662.843,83786.0,350999.0
2020-07-01,0.0,0.0,0.0,301.865,1355.0,6141.0,16711.135,75024.0,339942.0
2020-08-01,0.0,0.0,0.0,592.304,2659.0,11881.0,17203.696,77236.0,345090.0
2020-09-01,0.0,0.0,0.0,921.56,4137.0,16980.0,18381.44,82523.0,338689.0
2020-10-01,0.0,0.0,0.0,683.916,3070.0,23834.0,9936.084,44608.0,346265.0
2020-11-01,0.0,0.0,0.0,1791.463,8043.0,32227.0,18520.537,83147.0,333166.0
2020-12-01,0.0,0.0,0.0,1625.015,7295.0,31344.0,24257.985,108906.0,467903.0
2021-01-01,0.0,0.0,0.0,1457.352,6543.0,28359.0,27245.648,122319.0,530173.0
2021-02-01,0.0,0.0,0.0,1627.169,7305.0,33289.0,23974.831,107634.0,490476.0
2021-03-01,0.0,0.0,0.0,1603.318,7198.0,31524.0,26415.682,118593.0,519375.0
2021-04-01,0.0,0.0,0.0,1078.227,4841.0,20269.0,27338.773,122737.0,513918.0
2021-05-01,0.0,0.0,0.0,754.431,3387.0,14733.0,27309.569,122606.0,533331.0
2021-06-01,0.0,0.0,0.0,633.343,2846.0,12415.0,26034.657,116970.0,510324.0
2021-07-01,0.0,0.0,0.0,614.738,2760.0,12661.0,25653.262,115170.0,528342.0
2021-08-01,0.0,0.0,0.0,534.874,2401.0,10665.0,26781.126,120233.0,534010.0
2021-09-01,0.0,0.0,0.0,652.87,2931.0,12974.0,25793.13,115798.0,512559.0
2021-10-01,0.0,0.0,0.0,856.784,3847.0,15806.0,27957.216,125513.0,515741.0
2021-11-01,0.0,0.0,0.0,1304.119,5855.0,24116.0,27040.881,121399.0,500047.0
2021-12-01,0.0,0.0,0.0,1651.342,7414.0,30277.0,27146.658,121874.0,497732.0
2022-01-01,0.0,0.0,0.0,1953.324,8769.0,46693.0,27289.676,122516.0,652346.0
2022-02-01,0.0,0.0,0.0,1540.268,6915.0,36591.0,25171.732,113008.0,597990.0
2022-03-01,0.0,0.0,0.0,1639.627,7361.0,37459.0,27288.373,122510.0,623436.0
2022-04-01,0.0,0.0,0.0,1238.23,5559.0,27604.0,27626.77,124030.0,615876.0
2022-05-01,0.0,0.0,0.0,830.51,3729.0,19102.0,28143.49,126349.0,647312.0
2022-06-01,0.0,0.0,0.0,723.758,3249.0,16757.0,27266.242,122411.0,631275.0
2022-07-01,0.0,0.0,0.0,538.04,2416.0,12195.0,28627.96,128524.0,648872.0
2022-08-01,0.0,0.0,0.0,623.175,2798.0,15008.0,26530.825,119109.0,638959.0
2022-09-01,0.0,0.0,0.0,463.791,2082.0,13857.0,20296.209,91119.0,606411.0
2022-10-01,0.0,0.0,0.0,726.215,3260.0,21632.0,19820.785,88985.0,590413.0
2022-11-01,0.0,0.0,0.0,1173.529,5269.0,27388.0,25853.471,116068.0,603374.0
2022-12-01,0.0,0.0,0.0,1722.351,7732.0,44292.0,23677.649,106300.0,608901.0
2023-01-01,0.0,0.0,0.0,1800.088,8081.0,41498.0,26307.912,118109.0,606479.0
2023-02-01,0.0,0.0,0.0,1591.384,7144.0,38155.0,25079.616,112594.0,601307.0
2023-03-01,0.0,0.0,0.0,1681.492,7549.0,37810.0,28701.508,128855.0,645384.0
2023-04-01,0.0,0.0,0.0,1340.592,6019.0,30177.0,28964.408,130035.0,651989.0
2023-05-01,0.0,0.0,0.0,1335.986,5998.0,29210.0,29418.014,132071.0,643201.0
2023-06-01,0.0,0.0,0.0,1321.595,5933.0,30017.0,27462.405,123292.0,623739.0
2023-07-01,0.0,0.0,0.0,1465.21,6578.0,31666.0,30216.79,135657.0,653052.0
2023-08-01,0.0,0.0,0.0,1210.72,5435.0,26323.0,29813.28,133846.0,648190.0
2023-09-01,0.0,0.0,0.0,1062.422,4770.0,23023.0,28684.578,128779.0,621615.0
2023-10-01,0.0,0.0,0.0,1516.925,6810.0,33347.0,28220.075,126693.0,620371.0
2023-11-01,0.0,0.0,0.0,1765.453,7926.0,40937.0,25483.547,114408.0,590914.0
2023-12-01,0.0,0.0,0.0,1582.802,7106.0,35803.0,27405.198,123035.0,619911.0
2024-01-01,0.0,0.0,0.0,2727.89,12247.0,61418.0,27595.11,123888.0,621303.0
2024-02-01,0.0,0.0,0.0,2186.377,9816.0,50572.0,25270.623,113452.0,584517.0
2024-03-01,0.0,0.0,0.0,2532.021,11367.0,60046.0,25943.979,116475.0,615249.0
2024-04-01,0.0,0.0,0.0,2436.891,10940.0,55546.0,25524.109,114590.0,581787.0
2024-05-01,0.0,0.0,0.0,2139.759,9606.0,48183.0,25580.241,114842.0,576015.0
2024-06-01,0.0,0.0,0.0,2302.415,10337.0,48854.0,25950.585,116504.0,550635.0
2024-07-01,0.0,0.0,0.0,2345.321,10529.0,51846.0,27494.679,123437.0,607799.0
2024-08-01,0.0,0.0,0.0,2514.264,11288.0,57793.0,26552.736,119208.0,610337.0
2024-09-01,0.0,0.0,0.0,2020.049,9069.0,47851.0,24086.951,108138.0,570568.0
2024-10-01,0.0,0.0,0.0,1320.689,5929.0,48165.0,15716.311,70558.0,573162.0
2024-11-01,0.0,0.0,0.0,2269.399,10188.0,52917.0,23792.601,106816.0,554787.0
2024-12-01,0.0,0.0,0.0,2701.942,12130.0,62545.0,24441.058,109727.0,565765.0
