measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2016-07-01,122.861,1233.0,1233.0,369.345,3706.0,3706.0
2016-08-01,135.889,1363.0,1363.0,357.306,3585.0,3585.0
2016-09-01,112.495,1128.0,1128.0,377.445,3787.0,3787.0
2016-10-01,110.968,1113.0,1113.0,367.48,3687.0,3687.0
2016-11-01,85.325,856.0,856.0,374.91,3762.0,3762.0
2016-12-01,96.621,969.0,969.0,371.939,3732.0,3732.0
2017-01-01,304.542,2766.0,2766.0,322.659,2932.0,2932.0
2017-02-01,232.45,2112.0,2112.0,291.893,2652.0,2652.0
2017-03-01,192.5,1749.0,1749.0,326.871,2970.0,2970.0
2017-04-01,171.961,1562.0,1562.0,293.824,2670.0,2670.0
2017-05-01,213.334,1938.0,1938.0,320.243,2909.0,2909.0
2017-06-01,280.673,2550.0,2550.0,327.745,2978.0,2978.0
2017-07-01,382.745,3478.0,3478.0,324.97,2952.0,2952.0
2017-08-01,432.066,3925.0,3925.0,325.975,2961.0,2961.0
2017-09-01,355.51,3230.0,3230.0,305.68,2777.0,2777.0
2017-10-01,336.692,3059.0,3059.0,257.904,2343.0,2343.0
2017-11-01,292.611,2659.0,2659.0,307.879,2797.0,2797.0
2017-12-01,310.214,2819.0,2819.0,339.059,3081.0,3081.0
2018-01-01,657.955,6718.0,6718.0,0.0,0.0,0.0
2018-02-01,577.699,5898.0,5898.0,0.0,0.0,0.0
2018-03-01,600.827,6134.0,6134.0,0.0,0.0,0.0
2018-04-01,452.173,4617.0,4617.0,0.0,0.0,0.0
2018-05-01,412.77,4215.0,4215.0,0.0,0.0,0.0
2018-06-01,564.652,5765.0,5765.0,0.0,0.0,0.0
2018-07-01,985.315,10060.0,10060.0,0.0,0.0,0.0
2018-08-01,911.504,9306.0,9306.0,0.0,0.0,0.0
2018-09-01,733.58,7490.0,7490.0,0.0,0.0,0.0
2018-10-01,819.975,8372.0,8372.0,0.0,0.0,0.0
2018-11-01,733.026,7484.0,7484.0,0.0,0.0,0.0
2018-12-01,738.524,7540.0,7540.0,0.0,0.0,0.0
2019-01-01,126.051,1376.0,1376.0,537.012,5866.0,5866.0
2019-02-01,116.877,1277.0,1277.0,491.37,5367.0,5367.0
2019-03-01,101.922,1113.0,1113.0,544.413,5947.0,5947.0
2019-04-01,71.519,781.0,781.0,505.072,5517.0,5517.0
2019-05-01,61.629,674.0,674.0,469.912,5133.0,5133.0
2019-06-01,82.409,900.0,900.0,477.393,5215.0,5215.0
2019-07-01,129.909,1419.0,1419.0,526.774,5754.0,5754.0
2019-08-01,152.594,1667.0,1667.0,549.564,6003.0,6003.0
2019-09-01,134.271,1467.0,1467.0,505.953,5527.0,5527.0
2019-10-01,137.523,1502.0,1502.0,450.472,4920.0,4920.0
2019-11-01,134.874,1474.0,1474.0,489.929,5352.0,5352.0
2019-12-01,139.89,1528.0,1528.0,528.668,5775.0,5775.0
2020-01-01,543.691,6.0,6.0,0.0,0.0,0.0
2020-02-01,480.129,4.0,4.0,0.0,0.0,0.0
2020-03-01,532.975,5.0,5.0,0.0,0.0,0.0
2020-04-01,376.92,4.0,4.0,0.0,0.0,0.0
2020-05-01,354.407,3.0,3.0,0.0,0.0,0.0
2020-06-01,498.548,5.0,5.0,0.0,0.0,0.0
2020-07-01,697.417,6.0,6.0,0.0,0.0,0.0
2020-08-01,867.286,8.0,8.0,0.0,0.0,0.0
2020-09-01,755.271,7.0,7.0,0.0,0.0,0.0
2020-10-01,784.368,7.0,7.0,0.0,0.0,0.0
2020-11-01,626.525,6.0,6.0,0.0,0.0,0.0
2020-12-01,694.463,6.0,6.0,0.0,0.0,0.0
2021-01-01,502.574,5.0,5.0,0.0,0.0,0.0
2021-02-01,426.199,4.0,4.0,0.0,0.0,0.0
2021-03-01,458.246,4.0,4.0,0.0,0.0,0.0
2021-04-01,406.618,4.0,4.0,0.0,0.0,0.0
2021-05-01,424.968,4.0,4.0,0.0,0.0,0.0
2021-06-01,581.119,5.0,5.0,0.0,0.0,0.0
2021-07-01,801.933,7.0,7.0,0.0,0.0,0.0
2021-08-01,732.192,7.0,7.0,0.0,0.0,0.0
2021-09-01,623.009,6.0,6.0,0.0,0.0,0.0
2021-10-01,593.919,5.0,5.0,0.0,0.0,0.0
2021-11-01,545.841,5.0,5.0,0.0,0.0,0.0
2021-12-01,563.382,5.0,5.0,0.0,0.0,0.0
