measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2022-07-01,0.0,0.0,0.0,1816.308,19007.0,19007.0
2022-08-01,0.0,0.0,0.0,1824.968,19098.0,19098.0
2022-09-01,0.0,0.0,0.0,1536.553,16079.0,16079.0
2022-10-01,0.0,0.0,0.0,1327.687,13894.0,13894.0
2022-11-01,0.0,0.0,0.0,1256.556,13150.0,13150.0
2022-12-01,0.0,0.0,0.0,1389.112,14537.0,14537.0
2023-01-01,-97.0,0.0,0.0,1768.734,17179.0,17179.0
2023-02-01,-92.0,0.0,0.0,1611.944,15656.0,15656.0
2023-03-01,-99.0,0.0,0.0,1718.181,16687.0,16687.0
2023-04-01,-87.0,0.0,0.0,1542.411,14980.0,14980.0
2023-05-01,-105.0,0.0,0.0,1736.312,16863.0,16863.0
2023-06-01,-98.0,0.0,0.0,2026.662,19683.0,19683.0
2023-07-01,-93.0,0.0,0.0,2446.089,23757.0,23757.0
2023-08-01,-101.0,0.0,0.0,2450.779,23802.0,23802.0
2023-09-01,-100.0,0.0,0.0,2078.169,20183.0,20183.0
2023-10-01,-82.0,0.0,0.0,1748.253,16979.0,16979.0
2023-11-01,-92.0,0.0,0.0,1735.378,16854.0,16854.0
2023-12-01,-85.0,0.0,0.0,1882.088,18279.0,18279.0
2024-01-01,-93.0,0.0,0.0,3746.958,37074.0,37074.0
2024-02-01,-79.0,0.0,0.0,3099.64,30668.0,30668.0
2024-03-01,-92.0,0.0,0.0,3059.318,30269.0,30269.0
2024-04-01,-50.0,0.0,0.0,2804.083,27744.0,27744.0
2024-05-01,-82.0,0.0,0.0,3305.489,32704.0,32704.0
2024-06-01,-85.0,0.0,0.0,3885.654,38445.0,38445.0
2024-07-01,-88.0,0.0,0.0,4655.152,46059.0,46059.0
2024-08-01,-89.0,0.0,0.0,4590.391,45418.0,45418.0
2024-09-01,-96.0,0.0,0.0,3923.38,38818.0,38818.0
2024-10-01,-84.0,0.0,0.0,3387.454,33516.0,33516.0
2024-11-01,-70.0,0.0,0.0,3206.637,31726.0,31726.0
2024-12-01,-78.0,0.0,0.0,3426.844,33905.0,33905.0
