measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2005-03-01,,,,8532.72261,55028.01,309331.68,6704.60739,43238.39,243058.11
2005-04-01,,,,11853.37947,76443.12,317656.91,9313.82153,60065.37,249599.68
2005-05-01,,,,16054.538,103536.63,304102.65,12614.892,81354.16,238949.39
2005-06-01,,,,17360.16245,111956.67,351756.34,13640.78955,87970.23,276393.39
2005-07-01,,,,13600.81936,87712.46,341040.7,10686.87664,68920.28,267973.55
2005-08-01,,,,15537.08721,100199.56,354347.67,12208.30379,78732.05,278429.54
2005-09-01,,,,14275.27903,92062.09,315534.38,11216.83497,72338.01,247931.9
2005-10-01,,,,14190.77628,91517.12,332365.15,11150.43672,71909.8,261156.72
2005-11-01,,,,11874.24462,76577.68,351813.01,9330.21638,60171.1,276437.92
2005-12-01,,,,7875.4764000000005,50789.4,307631.6,6188.1746,39907.89,241722.27
2008-01-01,181.94400000000002,1683.0,9660.0,,,,,,
2008-02-01,186.755,2020.0,13014.0,,,,,,
2008-03-01,466.44500000000005,4597.0,27497.0,,,,,,
2008-04-01,618.486,4932.0,19332.0,,,,,,
2008-05-01,708.898,5450.0,19778.0,,,,,,
2008-06-01,343.189,2572.0,9021.0,,,,,,
2008-07-01,312.75600000000003,2548.0,9926.0,,,,,,
2008-08-01,469.824,3664.0,14291.0,,,,,,
2008-09-01,415.18800000000005,3206.0,11755.0,,,,,,
2008-10-01,1670.068,13566.0,52421.0,,,,,,
2008-11-01,357.03700000000003,3303.0,17571.0,,,,,,
2008-12-01,192.571,2030.0,12481.0,,,,,,
2009-01-01,166.58700000000002,1794.0,12214.0,,,,,,
2009-02-01,425.742,4251.0,27007.0,,,,,,
2009-03-01,504.05,4538.0,24502.0,,,,,,
2009-04-01,703.248,5821.0,26455.0,,,,,,
2009-05-01,638.003,4889.0,17149.0,,,,,,
2009-06-01,669.719,5176.0,18420.0,,,,,,
2009-07-01,1448.277,10625.0,29983.0,,,,,,
2009-08-01,878.825,6382.0,17763.0,,,,,,
2009-09-01,762.195,5733.0,15903.0,,,,,,
2009-10-01,1103.174,8003.0,20348.0,,,,,,
2009-11-01,595.3960000000001,4342.0,10435.0,,,,,,
2009-12-01,654.888,5648.0,25414.0,,,,,,
2010-01-01,551.01,5829.0,33908.0,,,,,,
2010-02-01,416.533,4751.0,28346.0,,,,,,
2010-03-01,641.659,5554.0,23262.0,,,,,,
2010-04-01,1113.891,8278.0,24527.0,,,,,,
2010-05-01,899.7560000000001,6877.0,45260.0,,,,,,
2010-06-01,854.081,6771.0,24471.0,,,,,,
2010-07-01,983.033,8331.0,30839.0,,,,,,
2010-08-01,1686.029,14206.0,59012.0,,,,,,
2010-09-01,1028.017,8099.0,13373.0,,,,,,
2010-10-01,13.092,105.0,316.0,,,,,,
2010-11-01,0.0,0.0,0.0,,,,,,
2010-12-01,257.06800000000004,3344.0,10428.0,,,,,,
2011-01-01,55.812,720.0,3677.0,,,,,,
2011-02-01,41.383,706.0,5592.0,,,,,,
2011-03-01,130.082,1408.0,8289.0,,,,,,
2011-04-01,207.741,1762.0,8023.0,,,,,,
2011-05-01,232.373,1942.0,6733.0,,,,,,
2011-06-01,223.449,1728.0,6454.0,,,,,,
2011-07-01,150.176,1207.0,4749.0,,,,,,
2011-08-01,226.086,1741.0,6126.0,,,,,,
2011-09-01,286.342,2252.0,8227.0,,,,,,
2011-10-01,286.197,2315.0,8959.0,,,,,,
2011-11-01,189.902,1559.0,6770.0,,,,,,
2011-12-01,114.773,1081.0,7142.0,,,,,,
2012-01-01,46.623,464.0,2995.0,,,,,,
2012-02-01,104.152,1023.0,6318.0,,,,,,
2012-03-01,337.161,2840.0,13491.0,,,,,,
2012-04-01,76.5,616.0,2449.0,,,,,,
2012-05-01,102.069,789.0,3106.0,,,,,,
2012-06-01,71.475,544.0,2114.0,,,,,,
2012-07-01,101.438,629.0,2003.0,,,,,,
2012-08-01,205.03,1238.0,4117.0,,,,,,
2012-09-01,45.678,300.0,1215.0,,,,,,
2012-10-01,70.619,426.0,1476.0,,,,,,
2012-11-01,52.439,320.0,1376.0,,,,,,
2012-12-01,46.402,279.0,1655.0,,,,,,
2013-01-01,4.928,30.0,980.0,,,,,,
2013-02-01,10.523,77.0,1197.0,,,,,,
2013-03-01,56.492,537.0,2778.0,,,,,,
2013-04-01,89.433,736.0,3069.0,,,,,,
2013-05-01,53.79,451.0,1637.0,,,,,,
2013-06-01,60.297,483.0,1618.0,,,,,,
2013-07-01,80.345,666.0,3584.0,,,,,,
2013-08-01,545.489,4275.0,13435.0,,,,,,
2013-09-01,100.443,830.0,2871.0,,,,,,
2013-10-01,76.661,641.0,2523.0,,,,,,
2013-11-01,102.157,885.0,4371.0,,,,,,
2013-12-01,80.407,490.0,3094.0,,,,,,
2014-01-01,48.356,298.0,1581.0,,,,,,
2014-02-01,66.595,405.0,2858.0,,,,,,
2014-03-01,92.022,553.0,5382.0,,,,,,
2014-04-01,228.404,1373.0,6367.0,,,,,,
2014-05-01,198.6,1199.0,6609.0,,,,,,
2014-06-01,130.572,986.0,3354.0,,,,,,
2014-07-01,152.19,1017.0,3565.0,,,,,,
2014-08-01,280.635,1701.0,6002.0,,,,,,
2014-09-01,129.22,787.0,2778.0,,,,,,
2014-10-01,79.394,492.0,1804.0,,,,,,
2014-11-01,136.163,818.0,4222.0,,,,,,
2014-12-01,73.776,444.0,2610.0,,,,,,
2015-01-01,95.424,577.0,3925.0,,,,,,
2015-02-01,153.314,926.0,6615.0,,,,,,
2015-03-01,159.477,1008.0,6175.0,,,,,,
2015-04-01,118.013,734.0,2995.0,,,,,,
2015-05-01,104.23,629.0,2443.0,,,,,,
2015-06-01,90.883,548.0,2108.0,,,,,,
2015-07-01,237.973,1436.0,5140.0,,,,,,
2015-08-01,376.412,2269.0,8488.0,,,,,,
2015-09-01,189.144,1141.0,3956.0,,,,,,
2015-10-01,336.188,2142.0,8451.0,,,,,,
2015-11-01,182.523,1130.0,4873.0,,,,,,
2015-12-01,92.801,813.0,3825.0,,,,,,
2016-01-01,65.945,536.0,3615.0,,,,,,
2016-02-01,168.612,1284.0,7852.0,,,,,,
2016-03-01,126.67,954.0,7398.0,,,,,,
2016-04-01,161.159,1179.0,8761.0,,,,,,
2016-05-01,200.864,1362.0,8405.0,,,,,,
2016-06-01,-12.85,675.0,4567.0,,,,,,
2016-07-01,312.466,2081.0,11784.0,,,,,,
2016-08-01,164.834,1124.0,7077.0,,,,,,
2016-09-01,280.765,1867.0,11172.0,,,,,,
2016-10-01,231.156,1638.0,11155.0,,,,,,
2016-11-01,209.809,1311.0,9594.0,,,,,,
2016-12-01,122.917,1165.0,11761.0,,,,,,
2017-01-01,117.194,989.0,8551.0,,,,,,
2017-02-01,123.199,1090.0,9541.0,,,,,,
2017-03-01,214.301,1716.0,13176.0,,,,,,
2017-04-01,222.956,1699.0,13025.0,,,,,,
2017-05-01,266.485,1898.0,11621.0,,,,,,
2017-06-01,204.36,1909.0,10660.0,,,,,,
2017-07-01,446.321,3091.0,17749.0,,,,,,
2017-08-01,247.176,1734.0,10520.0,,,,,,
2017-09-01,210.434,1537.0,9827.0,,,,,,
2017-10-01,491.375,3747.0,24954.0,,,,,,
2017-11-01,170.532,1397.0,11807.0,,,,,,
2017-12-01,361.74,2997.0,22187.0,,,,,,
2018-01-01,316.681,2559.0,18605.0,,,,,,
2018-02-01,135.856,1171.0,10363.0,,,,,,
2018-03-01,257.562,2379.0,20120.0,,,,,,
2018-04-01,332.797,2615.0,18337.0,,,,,,
2018-05-01,515.292,3783.0,24593.0,,,,,,
2018-06-01,368.981,2778.0,16491.0,,,,,,
2018-07-01,323.586,2274.0,12238.0,,,,,,
2018-08-01,302.043,2431.0,17347.0,,,,,,
2018-09-01,258.822,2249.0,15128.0,,,,,,
2018-10-01,377.517,2626.0,14568.0,,,,,,
2018-11-01,164.657,1300.0,8947.0,,,,,,
2018-12-01,185.88,1432.0,10386.0,,,,,,
2019-01-01,293.617,2571.0,20865.0,,,,,,
2019-02-01,158.695,1372.0,10666.0,,,,,,
2019-03-01,281.99,2577.0,21477.0,,,,,,
2019-04-01,0.0,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,619745.0,,,,,,
2019-06-01,0.0,0.0,0.0,,,,,,
2019-07-01,0.0,0.0,0.0,,,,,,
2019-08-01,0.0,0.0,0.0,,,,,,
2019-09-01,0.0,0.0,0.0,,,,,,
2019-10-01,0.0,0.0,0.0,,,,,,
2019-11-01,0.0,0.0,0.0,,,,,,
2019-12-01,0.0,0.0,0.0,,,,,,
2020-01-01,0.0,0.0,0.0,,,,,,
2020-02-01,0.0,0.0,0.0,,,,,,
2020-03-01,0.0,0.0,0.0,,,,,,
