measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2006-09-01,0.0,0.0,0.0,873.0,10214.0,10214.0,,,,40829.0,477799.0,477799.0
2006-10-01,0.0,18.0,18.0,618.0,7810.0,7810.0,,,,15850.0,200275.0,200275.0
2006-11-01,0.0,0.0,0.0,533.0,7013.0,7013.0,,,,7062.0,92842.0,92842.0
2006-12-01,0.0,0.0,0.0,301.0,3760.0,3760.0,,,,7179.0,89594.0,89594.0
2007-01-01,1.0,128.0,128.0,332.015,3638.0,3638.0,,,,13424.985,147099.0,147099.0
2007-02-01,4.0,140.0,140.0,379.98,4098.0,4098.0,,,,32534.02,350914.0,350914.0
2007-03-01,60.0,1154.0,1154.0,342.016,4139.0,4139.0,,,,18879.984,228498.0,228498.0
2007-04-01,0.0,52.0,52.0,369.85200000000003,4571.0,4571.0,,,,14296.148000000001,176675.0,176675.0
2007-05-01,25.0,548.0,548.0,374.215,4612.0,4612.0,,,,12540.785,154543.0,154543.0
2007-06-01,0.0,6.0,6.0,413.829,4728.0,4728.0,,,,17149.171000000002,195935.0,195935.0
2007-07-01,0.0,0.0,0.0,862.3290000000001,10168.0,10168.0,,,,34403.671,405646.0,405646.0
2007-08-01,81.0,1498.0,1498.0,850.658,9882.0,9882.0,,,,43543.342,505831.0,505831.0
2007-09-01,12.0,240.0,240.0,576.181,6874.0,6874.0,,,,24158.819,288212.0,288212.0
2007-10-01,0.0,0.0,0.0,896.9590000000001,10554.0,10554.0,,,,33989.041,399924.0,399924.0
2007-11-01,0.0,0.0,0.0,507.074,6112.0,6112.0,,,,13373.926,161202.0,161202.0
2007-12-01,0.0,0.0,0.0,359.80600000000004,3921.0,3921.0,,,,24565.194,267686.0,267686.0
2008-01-01,0.0,11.0,11.0,726.9780000000001,8960.0,8960.0,,,,9911.022,122153.0,122153.0
2008-02-01,0.0,12.0,12.0,259.757,3634.0,3634.0,,,,4380.243,61286.0,61286.0
2008-03-01,44.0,915.0,915.0,686.736,7753.0,7753.0,,,,26049.264,294071.0,294071.0
2008-04-01,20.0,389.0,389.0,717.307,8419.0,8419.0,,,,31421.693,368808.0,368808.0
2008-05-01,19.0,354.0,354.0,435.158,4974.0,4974.0,,,,23903.842,273212.0,273212.0
2008-06-01,0.0,0.0,0.0,410.11100000000005,4620.0,4620.0,,,,34772.889,391699.0,391699.0
2008-07-01,0.0,18.0,18.0,806.524,9747.0,9747.0,,,,35577.476,429952.0,429952.0
2008-08-01,31.0,561.0,561.0,540.368,6927.0,6927.0,,,,10398.632,133293.0,133293.0
2008-09-01,17.0,331.0,331.0,359.23,4797.0,4797.0,,,,6851.77,91488.0,91488.0
2008-10-01,0.0,0.0,0.0,205.42700000000002,2540.0,2540.0,,,,5773.573,71398.0,71398.0
2008-11-01,0.0,12.0,12.0,269.747,3370.0,3370.0,,,,4838.253000000001,60442.0,60442.0
2008-12-01,46.0,742.0,742.0,400.514,4263.0,4263.0,,,,23291.486,247910.0,247910.0
2009-01-01,0.0,458.0,458.0,286.862,3016.0,3016.0,,,,12682.137999999999,133337.0,133337.0
2009-02-01,0.0,23.0,23.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-03-01,0.0,12.0,12.0,99.327,934.0,934.0,,,,2049.6730000000002,19270.0,19270.0
2009-04-01,0.0,6.0,6.0,100.943,1572.0,1572.0,,,,2774.0570000000002,43195.0,43195.0
2009-05-01,10.0,209.0,209.0,7.5,0.0,0.0,,,,7.5,0.0,0.0
2009-06-01,0.0,6.0,6.0,0.0,447.0,447.0,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-08-01,0.0,6.0,6.0,283.26300000000003,3260.0,3260.0,,,,16741.737,192653.0,192653.0
2009-09-01,45.0,835.0,835.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,0.0,278.0,278.0,,,,0.0,0.0,0.0
2009-11-01,0.0,6.0,6.0,72.26,754.0,754.0,,,,985.74,10286.0,10286.0
2009-12-01,3.0,104.0,104.0,58.565,771.0,771.0,,,,772.435,10174.0,10174.0
2010-01-01,69.0,1119.0,1119.0,45.617000000000004,348.0,348.0,,,,1252.383,9554.0,9554.0
2010-02-01,0.0,0.0,0.0,76.604,1056.0,1056.0,,,,1627.3960000000002,22425.0,22425.0
2010-03-01,0.0,0.0,0.0,41.372,719.0,719.0,,,,580.628,10094.0,10094.0
2010-04-01,12.0,244.0,244.0,0.992,12.0,12.0,,,,863.008,10094.0,10094.0
2010-05-01,28.0,632.0,632.0,309.105,3561.0,3561.0,,,,7566.895,87178.0,87178.0
2010-06-01,63.0,1195.0,1195.0,308.899,4188.0,4188.0,,,,4829.101000000001,65466.0,65466.0
2010-07-01,0.0,0.0,0.0,832.207,9785.0,9785.0,,,,21434.793,252018.0,252018.0
2010-08-01,0.0,0.0,0.0,593.654,7273.0,7273.0,,,,15151.346000000001,185628.0,185628.0
2010-09-01,11776.0,2117.0,2117.0,248.497,2854.0,2854.0,0.0,0.0,0.0,11527.503,132376.0,132376.0
2010-10-01,0.0,0.0,0.0,122.534,2314.0,2314.0,,,,641.466,12115.0,12115.0
2010-11-01,0.0,0.0,0.0,207.187,2736.0,2736.0,,,,2542.813,33579.0,33579.0
2010-12-01,0.0,0.0,0.0,268.01300000000003,2987.0,2987.0,,,,5798.987,64625.0,64625.0
2011-01-01,0.0,0.0,0.0,294.426,3381.0,3381.0,,,,13128.574,150778.0,150778.0
2011-02-01,42.0,696.0,696.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-05-01,14.0,278.0,278.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,123.795,1897.0,1897.0,,,,1731.205,26523.0,26523.0
2011-07-01,56.0,1027.0,1027.0,309.798,3729.0,3729.0,,,,6239.202,75109.0,75109.0
2011-08-01,2.0,99.0,99.0,250.206,3144.0,3144.0,,,,4656.794,58508.0,58508.0
2011-09-01,0.0,0.0,0.0,149.877,1798.0,1798.0,,,,1892.123,22699.0,22699.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-02-01,34.0,632.0,632.0,104.702,1172.0,1172.0,,,,1709.298,19127.0,19127.0
2012-03-01,0.0,0.0,0.0,182.755,1978.0,1978.0,,,,1465.245,15857.0,15857.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-05-01,12.0,319.0,319.0,169.52,2192.0,2192.0,,,,1211.48,15668.0,15668.0
2012-06-01,0.0,0.0,0.0,254.546,3318.0,3318.0,,,,6542.454,85271.0,85271.0
2012-07-01,0.0,0.0,0.0,205.619,2575.0,2575.0,,,,5709.381,71505.0,71505.0
2012-08-01,22.0,406.0,406.0,149.614,2181.0,2181.0,,,,2114.386,30820.0,30820.0
2012-09-01,14.0,261.0,261.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2012-10-01,1.0,70.0,70.0,142.345,1740.0,1740.0,,,,976.655,11939.0,11939.0
2012-11-01,0.0,0.0,0.0,88.784,771.0,771.0,,,,1442.216,12531.0,12531.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-01-01,19.0,365.0,365.0,172.225,1955.0,1955.0,,,,12296.775,139558.0,139558.0
2013-02-01,0.0,0.0,0.0,178.943,2123.0,2123.0,,,,7190.057,85296.0,85296.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
