measured_on,"Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Anthracite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,9411.77395,53591.83,526528.08,22298.66359,126971.41,1247466.48,,,,1352.00546,7698.49,75635.99,2025.49236,11533.41,113313.24,3904.08664,22230.36,218408.48
2004-02-01,,,,9237.02917,52596.81,477557.14,22664.90225,129056.82,1171782.15,,,,1666.12006,9487.1,86138.9,1819.34897,10359.6,94060.88,3604.62154,20525.17,186360.0
2004-03-01,,,,11182.00862,63671.77,515037.1,25529.51181,145368.27,1175875.12,,,,1909.48115,10872.83,87949.64,2239.94193,12754.51,103170.48,4231.8635,24096.77,194917.28
2004-04-01,,,,6814.50489,38802.65,352111.09,22666.40022,129065.36,1171191.6,,,,2868.15625,16331.65,148200.0,2215.13784,12613.28,114458.0,3964.95779,22576.97,204872.64
2004-05-01,,,,8730.1716,49710.7,392625.6,24653.03415,140377.5,1108731.05,,,,2607.50332,14847.45,117268.32,1727.00308,9833.77,77669.22,4412.56986,25125.73,198448.32
2004-06-01,,,,7955.93472,45302.1,409660.32,22585.92223,128607.1,1162975.37,,,,2170.90306,12361.4,111782.32,1413.04445,8046.05,72759.3,3627.42953,20655.04,186780.56
2004-07-01,,,,6847.22987,38988.99,351665.28,24259.42374,138136.23,1245934.08,,,,2391.338,13616.58,122816.17,1085.1428799999999,6178.94,55731.6,2084.96051,11872.03,107081.0
2004-08-01,,,,7433.39685,42326.7,369322.24,22232.39353,126594.07,1104598.28,,,,2649.74637,15087.99,131650.48,1397.227,7955.99,69420.08,4247.89425,24188.05,211053.15
2004-09-01,,,,6138.89396,34955.64,328776.3,23395.79021,133218.6,1252991.4,,,,2340.12424,13324.96,125328.34,1103.16147,6281.54,59081.22,3065.93012,17457.8,164199.8
2004-10-01,,,,5385.07965,30663.33,294213.0,21674.81153,123419.13,1184200.0,,,,2023.50857,11522.11,110554.08,1642.24311,9351.14,89723.7,4144.77014,23600.85,226448.88
2004-11-01,,,,5174.87302,29466.38,313587.19,21403.33691,121873.31,1297000.38,,,,1898.20166,10808.6,115027.31,1552.62632,8840.85,94086.12,3514.24009,20010.53,212956.08
2004-12-01,,,,7046.71288,40124.87,385763.42,14624.72741,83275.05,800612.28,,,,3327.45916,18946.97,182157.56,1790.10713,10193.1,97997.16,3456.60342,19682.34,189227.4
2005-01-01,,,,8574.12686,48822.16,451363.56,24341.70895,138604.77,1281408.66,,,,2524.48135,14374.72,132895.04,1493.58075,8504.64,78625.84,5177.17809,29479.51,272539.65
2005-02-01,,,,5792.66216,32984.15,346442.1,19986.13268,113803.57,1195311.86,,,,2186.13313,12448.12,130746.2,1525.67002,8687.36,91245.84,5055.23502,28785.15,302338.75
2005-03-01,,,,6776.73877,38587.61,360952.5,25280.65024,143951.23,1346534.7,,,,2917.1856000000002,16610.82,155379.38,1570.7769,8944.2,83665.0,5519.62949,31429.47,293994.52
2005-04-01,,,,7194.3811000000005,40965.72,423107.74,23582.94232,134284.26,1386933.12,,,,2420.18974,13780.87,142333.44,1471.5862,8379.4,86545.25,3869.66064,22034.34,227578.07
2005-05-01,,,,6219.23053,35413.09,375041.64,22256.74177,126732.71,1342160.4,,,,1636.83535,9320.35,98706.97,1820.77061,10367.7,109798.92,5430.73474,30923.29,327492.55
2005-06-01,,,,6957.56299,39617.24,385646.74,19602.50777,111619.16,1086536.08,,,,1811.79638,10316.6,100425.02,1456.6682,8294.45,80740.82,5921.51366,33717.85,328220.16
2005-07-01,,,,6639.01224,37803.38,369416.36,22650.31024,128973.74,1260337.36,,,,2404.45913,13691.29,133791.97,1265.37438,7205.2,70409.57,4901.63201,27910.51,272742.84
2005-08-01,,,,8100.74965,46126.69,421295.55,22323.02185,127110.11,1160953.02,,,,2503.11705,14253.07,130179.57,1723.98695,9816.6,89659.36,4865.4695,27704.6,253038.39
2005-09-01,,,,7529.59401,42874.46,329665.05,20278.98323,115471.1,887866.2,,,,1862.5109,10605.37,81545.53,2163.92914,12321.69,94742.4,4546.90773,25890.67,199075.35
2005-10-01,,,,8830.76366,50283.49,430602.57,25450.41741,144917.9,1241004.24,,,,1866.35997,10627.29,91006.78,1998.70899,11380.9,97460.34,5153.67797,29345.69,251301.82
2005-11-01,,,,7554.48091,43016.17,411834.93,22330.0124,127149.92,1217327.73,,,,2215.95499,12617.93,120803.49,1902.58671,10833.57,103720.12,5607.41899,31929.35,305690.23
2005-12-01,,,,7741.78861,44082.73,393819.03,20923.06621,119138.59,1064340.82,,,,1886.67739,10742.98,95973.88,2141.93774,12196.47,108958.78,5801.11605,33032.29,295098.46
2006-01-01,,,,7865.86966,46174.49,421110.48,24094.26382,141438.96,1289920.56,,,,1795.27156,10538.66,96112.41,1984.51961,11649.59,106244.07,4232.21635,24844.1,226577.7
2006-02-01,,,,6550.85825,38455.07,342815.01,21623.83853,126936.98,1131603.85,,,,1819.91662,10683.34,95238.63,1751.28304,10280.44,91646.94,3135.64656,18406.98,164092.5
2006-03-01,,,,6756.44537,39661.91,349474.06,25777.54234,151320.2,1333331.64,,,,2911.1237,17088.98,150576.55,846.98358,4971.99,43809.84,5765.65501,33845.74,298225.88
2006-04-01,,,,8117.54531,47651.89,431561.25,23959.65145,140648.75,1273791.12,,,,3063.25811,17982.04,162855.08,1190.88988,6990.8,63312.48,2449.42026,14378.67,130221.0
2006-05-01,,,,7770.28568,45613.39,385468.4,22678.06808,133125.56,1125013.8,,,,2857.43039,16773.78,141751.43,941.89469,5529.14,46725.52,3288.61416,19304.93,163141.6
2006-06-01,,,,4677.50164,27458.03,324212.46,18302.877,107442.16,1268630.4,,,,2208.34802,12963.52,153067.6,555.12482,3258.71,38477.46,12556.26452,73708.2,870314.48
2006-07-01,,,,7807.60516,45832.47,405233.0,24308.58473,142697.07,1261672.5,,,,2492.77157,14633.15,129380.69,1064.40744,6248.32,55245.24,5442.64409,31949.59,282485.98
2006-08-01,,,,8410.64548,49372.45,415575.65,25286.37508,148436.93,1249416.8,,,,2672.86971,15690.37,132068.29,998.36569,5860.64,49329.92,5432.82404,31891.95,268439.49
2006-09-01,,,,6769.04581,39735.88,382987.1,23069.23409,135421.79,1305238.48,,,,3229.32696,18956.9,182712.69,747.12634,4385.81,42271.8,3149.6238000000003,18489.03,178203.15
2006-10-01,,,,7393.47041,43401.4,359791.0,18735.69671,109982.92,911741.67,,,,4128.14533,24233.18,200889.36,517.97857,3040.66,25206.57,3883.62597,22797.79,188990.23
2006-11-01,,,,5582.08645,32768.15,304996.77,22550.1799,132374.83,1232107.76,,,,3510.3441000000003,20606.54,191799.9,973.02178,5711.87,53164.44,5000.76877,29355.68,273234.45
2006-12-01,,,,7093.60047,41641.09,388762.14,24216.30746,142155.38,1327165.74,,,,1867.231,10961.08,102332.9,1331.51618,7816.31,72973.25,5911.53389,34702.09,323979.42
2007-01-01,,,,8265.633,48519.0,406933.0,23295.076,136749.0,1146861.0,,,,3408.623,20010.0,167813.0,451.76,2651.0,22241.0,5718.209,33567.0,281518.0
2007-02-01,,,,5206.137000000001,30561.0,313334.0,19014.908000000003,111620.0,1144423.0,,,,1334.267,7833.0,80304.0,1178.154,6915.0,70908.0,3783.1110000000003,22210.0,227689.0
2007-03-01,,,,6351.808,37286.0,334518.0,23756.468,139453.0,1251135.0,,,,2235.233,13122.0,117719.0,1477.63,8675.0,77819.0,4968.941,29172.0,261690.0
2007-04-01,,,,8428.217,49485.0,430733.0,23961.582000000002,140662.0,1224582.0,,,,2225.612,13065.0,113742.0,1270.458,7458.0,64928.0,4305.174,25275.0,220020.0
2007-05-01,,,,7368.282,43256.0,396106.0,22104.033,129754.0,1188275.0,,,,3043.159,17864.0,163595.0,475.60400000000004,2793.0,25568.0,4002.1580000000004,23496.0,215149.0
2007-06-01,,,,6911.58,40572.0,319247.0,18815.199,110448.0,869078.0,,,,4016.025,23575.0,185501.0,54.993,323.0,2540.0,6590.898,38688.0,304435.0
2007-07-01,,,,5563.531,32664.0,295224.0,22323.197,131047.0,1184562.0,,,,4305.25,25273.0,228455.0,172.96800000000002,1014.0,9178.0,3812.3010000000004,22379.0,202297.0
2007-08-01,,,,7928.396000000001,46543.0,401887.0,24864.572,145960.0,1260373.0,,,,3032.0,17798.0,153691.0,448.223,2633.0,22720.0,5790.148,33988.0,293500.0
2007-09-01,,,,6416.506,37664.0,325839.0,23079.867,135488.0,1172027.0,,,,3106.974,18239.0,157776.0,65.10300000000001,382.0,3306.0,5283.2880000000005,31012.0,268293.0
2007-10-01,,,,6669.66,39164.0,329079.0,18839.22,110590.0,929521.0,,,,3051.203,17911.0,150545.0,155.232,914.0,7659.0,5979.929,35101.0,295048.0
2007-11-01,,,,7281.183,42745.0,383109.0,22047.753,129430.0,1160070.0,,,,3117.223,18298.0,164017.0,236.686,1388.0,12454.0,5223.25,30663.0,274828.0
2007-12-01,,,,7549.676,44306.0,392625.0,23714.252,139214.0,1233274.0,,,,3323.35,19509.0,172833.0,58.448,342.0,3040.0,4991.078,29299.0,259564.0
2008-01-01,,,,9641.005000000001,56595.0,450952.0,25406.636,149143.0,1188379.0,33.284,195.0,1557.0,1067.762,6268.0,49944.0,420.63800000000003,2469.0,19675.0,4343.6230000000005,25498.0,203170.0
2008-02-01,,,,7174.569,42116.0,350955.0,20321.414,119291.0,994053.0,257.807,1513.0,12611.0,605.5830000000001,3555.0,29623.0,78.104,458.0,3821.0,8070.45,47375.0,394778.0
2008-03-01,,,,5488.751,32220.0,319830.0,17964.412,105455.0,1046786.0,393.468,2310.0,22927.0,1097.9650000000001,6445.0,63978.0,304.01,1785.0,17715.0,3508.384,20595.0,204434.0
2008-04-01,,,,8058.767000000001,44066.0,399313.0,20912.595,114352.0,1036223.0,8.516,47.0,422.0,528.923,2892.0,26208.0,167.43900000000002,916.0,8297.0,4713.76,25775.0,233568.0
2008-05-01,,,,4841.042,28418.0,268557.0,20715.807,121607.0,1149209.0,0.0,0.0,0.0,352.494,2069.0,19555.0,35.104,206.0,1947.0,5402.087,31712.0,299681.0
2008-06-01,,,,7391.167,43388.0,360485.0,22547.065,132357.0,1099674.0,0.0,0.0,0.0,654.74,3843.0,31933.0,108.69900000000001,638.0,5302.0,7849.948,46081.0,382861.0
2008-07-01,,,,8205.435,48168.0,378170.0,21933.999,128758.0,1010887.0,55.849000000000004,328.0,2574.0,727.038,4268.0,33508.0,205.359,1206.0,9465.0,9406.152,55216.0,433508.0
2008-08-01,,,,7342.709000000001,43103.0,317993.0,25615.209,150367.0,1109325.0,73.66,432.0,3190.0,582.0690000000001,3417.0,25208.0,32.802,193.0,1421.0,6868.752,40321.0,297467.0
2008-09-01,,,,7915.97,46469.0,349258.0,22951.058,134728.0,1012616.0,0.0,0.0,0.0,875.35,5139.0,38621.0,0.0,0.0,0.0,5753.622,33775.0,253854.0
2008-10-01,,,,5079.598,29818.0,275709.0,25677.628,150734.0,1393726.0,89.465,525.0,4856.0,522.4150000000001,3067.0,28356.0,126.081,740.0,6843.0,6448.813,37856.0,350027.0
2008-11-01,,,,5650.7080000000005,33171.0,243442.0,26976.529000000002,158359.0,1162192.0,1.353,8.0,58.0,397.731,2335.0,17135.0,17.402,102.0,750.0,8144.276000000001,47809.0,350868.0
2008-12-01,,,,8930.382,52423.0,340757.0,19695.324,115616.0,751514.0,152.92100000000002,898.0,5835.0,672.662,3949.0,25667.0,73.381,431.0,2800.0,9586.33,56274.0,365786.0
2009-01-01,,,,7127.859,41842.0,307347.0,21876.223,128419.0,943283.0,105.384,619.0,4544.0,792.0360000000001,4649.0,34152.0,182.829,1073.0,7883.0,9180.669,53893.0,395862.0
2009-02-01,,,,5454.921,32022.0,244848.0,18023.759,105804.0,809008.0,190.643,1119.0,8557.0,578.759,3397.0,25978.0,154.404,906.0,6931.0,7168.514,42081.0,321763.0
2009-03-01,,,,6023.001,35356.0,262607.0,15926.021,93489.0,694385.0,219.424,1288.0,9567.0,944.402,5544.0,41177.0,131.007,769.0,5712.0,7500.145,44028.0,327011.0
2009-04-01,,,,3478.473,20419.0,167284.0,10386.019,60968.0,499477.0,210.936,1238.0,10144.0,2222.8340000000003,13049.0,106899.0,169.61700000000002,996.0,8157.0,4018.121,23587.0,193237.0
2009-05-01,,,,674.543,3960.0,31183.0,19856.352,116561.0,917932.0,302.439,1775.0,13981.0,7133.35,41874.0,329765.0,487.88,2864.0,22554.0,7199.436000000001,42262.0,332820.0
2009-06-01,,,,26.482000000000003,155.0,1355.0,20624.849,121073.0,1055044.0,148.31300000000002,871.0,7587.0,4342.528,25492.0,222138.0,169.995,998.0,8696.0,8323.833,48863.0,425798.0
2009-07-01,,,,3513.558,20625.0,161916.0,21917.522,128661.0,1010030.0,332.291,1951.0,15313.0,1716.7920000000001,10078.0,79115.0,150.916,886.0,6955.0,6134.921,36013.0,282717.0
2009-08-01,,,,3123.179,18334.0,151646.0,20923.629,122827.0,1015945.0,176.30700000000002,1035.0,8561.0,1073.757,6303.0,52136.0,239.042,1403.0,11607.0,6930.086,40681.0,336490.0
2009-09-01,,,,131.398,771.0,6078.0,20962.755,123056.0,969724.0,502.303,2949.0,23236.0,5911.755,34703.0,273474.0,154.524,907.0,7148.0,6728.265,39496.0,311245.0
2009-10-01,,,,4409.174,25883.0,179748.0,22611.807,132737.0,921813.0,564.435,3313.0,23010.0,2547.327,14953.0,103847.0,299.572,1759.0,12213.0,6220.685,36517.0,253598.0
2009-11-01,,,,4688.072,27520.0,195989.0,22877.272,134295.0,956405.0,408.552,2398.0,17080.0,1592.205,9347.0,66564.0,23.301000000000002,137.0,974.0,5757.598,33798.0,240702.0
2009-12-01,,,,6713.155000000001,39408.0,295322.0,22320.771,131028.0,981923.0,401.187,2355.0,17649.0,1558.3780000000002,9148.0,68555.0,205.535,1207.0,9042.0,8882.974,52145.0,390775.0
2010-01-01,,,,9370.248,55006.0,409112.0,23748.722,139411.0,1036886.0,393.538,2310.0,17182.0,940.302,5520.0,41054.0,159.012,933.0,6943.0,5736.178,33673.0,250446.0
2010-02-01,,,,7447.4980000000005,43719.0,315244.0,20219.357,118692.0,855862.0,193.977,1139.0,8211.0,651.283,3823.0,27568.0,145.244,853.0,6148.0,8936.641,52460.0,378277.0
2010-03-01,,,,6236.621,36610.0,289153.0,22369.681,131315.0,1037140.0,38.39,225.0,1780.0,869.88,5106.0,40331.0,25.058,147.0,1162.0,4505.37,26448.0,208885.0
2010-04-01,,,,5148.313,30222.0,227129.0,24220.878,142182.0,1068557.0,125.89,739.0,5554.0,1477.3970000000002,8673.0,65179.0,253.062,1486.0,11164.0,4329.46,25415.0,191004.0
2010-05-01,,,,5387.818,31628.0,250109.0,22660.24,133021.0,1051917.0,129.673,761.0,6020.0,1136.757,6673.0,52770.0,76.038,446.0,3530.0,5716.474,33557.0,265366.0
2010-06-01,,,,5165.544,30323.0,231405.0,23969.487,140706.0,1073781.0,66.39,390.0,2974.0,1019.412,5984.0,45667.0,89.539,526.0,4011.0,5048.628000000001,29637.0,226167.0
2010-07-01,,,,5209.505,30581.0,212274.0,23661.48,138898.0,964146.0,253.613,1489.0,10334.0,1362.0520000000001,7996.0,55500.0,91.816,539.0,3741.0,6402.534000000001,37584.0,260887.0
2010-08-01,,,,5840.857,34287.0,239177.0,23203.093,136208.0,950142.0,59.064,347.0,2419.0,1928.3870000000002,11320.0,78965.0,33.708,198.0,1380.0,7097.8910000000005,41666.0,290651.0
2010-09-01,,,,1.163,7.0,51.0,21849.55,128262.0,949440.0,39.238,230.0,1705.0,4249.146000000001,24943.0,184640.0,145.52800000000002,854.0,6324.0,6772.375,39755.0,294284.0
2010-10-01,,,,3497.6730000000002,20532.0,142912.0,20365.504,119550.0,832118.0,0.0,0.0,0.0,2133.054,12522.0,87155.0,125.01400000000001,734.0,5108.0,7102.755,41695.0,290213.0
2010-11-01,,,,5335.651,31322.0,232439.0,23327.463,136938.0,1016224.0,101.15,594.0,4406.0,2593.116,15222.0,112965.0,217.30700000000002,1276.0,9467.0,4930.313,28942.0,214781.0
2010-12-01,,,,5919.886,34751.0,254742.0,27156.119,159413.0,1168571.0,106.471,625.0,4582.0,1633.2910000000002,9588.0,70283.0,241.061,1415.0,10373.0,6621.1720000000005,38868.0,284920.0
2011-01-01,,,,6443.677,37826.0,283128.0,27457.117,161180.0,1206436.0,44.634,262.0,1961.0,949.431,5573.0,41717.0,425.992,2501.0,18718.0,5921.149,34759.0,260169.0
2011-02-01,,,,6157.174,36144.0,264355.0,24356.56,142979.0,1045738.0,67.477,396.0,2897.0,1024.644,6015.0,43993.0,173.793,1020.0,7462.0,5769.352,33867.0,247704.0
2011-03-01,,,,4631.583,27188.0,216206.0,23046.636,135289.0,1075836.0,0.119,1.0,6.0,1137.253,6676.0,53088.0,67.27,395.0,3140.0,7183.139,42167.0,335315.0
2011-04-01,0.0,0.0,0.0,5429.26,31871.0,223803.0,22292.219,130861.0,918921.0,75.519,443.0,3113.0,1644.678,9655.0,67796.0,180.757,1061.0,7451.0,6928.567,40672.0,285607.0
2011-05-01,,,,4918.006,28870.0,212433.0,24819.807,145698.0,1072090.0,244.103,1433.0,10544.0,1020.804,5992.0,44094.0,31.238,183.0,1349.0,6481.042,38045.0,279948.0
2011-06-01,,,,3951.959,23199.0,170130.0,24458.052,143574.0,1052909.0,9.963,58.0,429.0,1475.781,8663.0,63532.0,49.713,292.0,2140.0,7884.532,46284.0,339426.0
2011-07-01,,,,5494.419,32254.0,207197.0,26367.211,154782.0,994319.0,149.823,879.0,5650.0,1443.354,8473.0,54429.0,97.225,571.0,3666.0,3824.968,22453.0,144241.0
2011-08-01,,,,6387.791,37498.0,234388.0,28926.226,169804.0,1061391.0,38.267,225.0,1404.0,1193.459,7006.0,43792.0,115.896,680.0,4253.0,4060.361,23835.0,148987.0
2011-09-01,,,,5551.948,32591.0,249718.0,22957.733,134767.0,1032604.0,153.747,903.0,6915.0,1330.188,7809.0,59830.0,96.76,568.0,4352.0,3125.624,18348.0,140586.0
2011-10-01,,,,7846.852,46063.0,278496.0,17272.103,101391.0,613012.0,717.929,4214.0,25480.0,2732.222,16039.0,96970.0,264.102,1550.0,9373.0,3020.792,17733.0,107212.0
2011-11-01,,,,5649.956,33167.0,214089.0,26989.851,158437.0,1022704.0,150.921,886.0,5719.0,4775.333,28032.0,180948.0,85.229,500.0,3230.0,3532.71,20738.0,133862.0
2011-12-01,,,,0.0,0.0,0.0,29202.831,171427.0,1129384.0,164.428,965.0,6359.0,7211.516,42333.0,278896.0,84.079,494.0,3252.0,4917.146,28865.0,190165.0
2012-01-01,,,,986.327,5790.0,38269.0,26493.873,155525.0,1027944.0,101.297,595.0,3930.0,5909.718,34691.0,229293.0,166.616,978.0,6465.0,3895.169,22866.0,151130.0
2012-02-01,,,,871.515,5116.0,38798.0,25741.623,151109.0,1145968.0,37.074,218.0,1650.0,4360.496,25597.0,194121.0,331.789,1948.0,14771.0,4446.503,26102.0,197950.0
2012-03-01,,,,0.0,0.0,0.0,29115.073,170912.0,1200366.0,142.802,838.0,5887.0,5165.365,30322.0,212960.0,101.714,597.0,4194.0,3808.046,22354.0,156999.0
2012-04-01,,,,2422.509,14221.0,93958.0,23255.915,136518.0,901987.0,41.504,244.0,1610.0,3350.124,19666.0,129935.0,11.107,65.0,431.0,3056.841,17944.0,118560.0
2012-05-01,,,,3715.805,21813.0,157991.0,26844.946,157586.0,1141411.0,4.847,28.0,206.0,2961.707,17386.0,125928.0,157.463,924.0,6695.0,3371.232,19790.0,143340.0
2012-06-01,,,,0.0,0.0,0.0,28008.866,164419.0,1136711.0,67.937,399.0,2757.0,6956.288,40835.0,282314.0,0.0,0.0,0.0,2697.909,15837.0,109492.0
2012-07-01,,,,323.198,1897.0,11370.0,25172.069,147766.0,885522.0,66.342,389.0,2334.0,6493.341,38117.0,228428.0,99.289,583.0,3493.0,3833.761,22505.0,134867.0
2012-08-01,,,,34.626,203.0,1311.0,28612.63,167963.0,1083243.0,102.841,604.0,3893.0,5116.576,30035.0,193708.0,170.429,1000.0,6452.0,3221.898,18913.0,121978.0
2012-09-01,,,,880.032,5166.0,37059.0,25692.15,150819.0,1081913.0,65.356,384.0,2752.0,5602.805,32890.0,235938.0,217.926,1279.0,9177.0,2881.731,16916.0,121352.0
2012-10-01,,,,77.054,452.0,2672.0,22868.931,134246.0,793101.0,165.378,971.0,5735.0,8139.765,47782.0,282289.0,270.872,1590.0,9394.0,3021.0,17734.0,104769.0
2012-11-01,,,,539.321,3166.0,21580.0,29461.841,172948.0,1178851.0,112.742,662.0,4511.0,6662.061,39108.0,266568.0,137.491,807.0,5501.0,4703.544,27611.0,188202.0
2012-12-01,,,,1104.438,6483.0,40033.0,27147.191,159360.0,984027.0,209.117,1228.0,7580.0,10018.569,58811.0,363151.0,227.228,1334.0,8237.0,3516.457,20642.0,127464.0
2013-01-01,,,,3801.22,22314.0,104250.0,18939.243,111178.0,519417.0,667.017,3916.0,18293.0,6216.488,36492.0,170490.0,157.448,924.0,4318.0,6219.584,36510.0,170575.0
2013-02-01,,,,2844.373,16697.0,111304.0,25850.232,151747.0,1011556.0,84.933,499.0,3324.0,5160.903,30296.0,201953.0,20.292,119.0,794.0,5026.267,29505.0,196685.0
2013-03-01,,,,1617.241,9494.0,49906.0,21002.527,123290.0,648116.0,159.132,934.0,4911.0,10101.947,59301.0,311735.0,0.0,0.0,0.0,7058.153,41433.0,217807.0
