measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2006-05-01,,,,644.419,6897.0,6897.0
2006-06-01,,,,585.7320000000001,6269.0,6269.0
2006-07-01,,,,848.447,9081.0,9081.0
2006-08-01,,,,822.989,8809.0,8809.0
2006-09-01,,,,378.094,4047.0,4047.0
2006-10-01,,,,399.39,4275.0,4275.0
2006-11-01,,,,470.29400000000004,5034.0,5034.0
2006-12-01,,,,521.092,5577.0,5577.0
2007-01-01,360.505,3956.0,3956.0,,,
2007-02-01,2218.382,24348.0,24348.0,,,
2007-03-01,531.863,5839.0,5839.0,,,
2007-04-01,202.48100000000002,2222.0,2222.0,,,
2007-05-01,157.77200000000002,1734.0,1734.0,,,
2007-06-01,473.446,5198.0,5198.0,,,
2007-07-01,249.34400000000002,2738.0,2738.0,,,
2007-08-01,731.413,8025.0,8025.0,,,
2007-09-01,332.335,3647.0,3647.0,,,
2007-10-01,164.192,1800.0,1800.0,,,
2007-11-01,102.11,1123.0,1123.0,,,
2007-12-01,349.159,3831.0,3831.0,,,
2008-01-01,,,,429.108,4871.0,4871.0
2008-02-01,,,,393.399,4467.0,4467.0
2008-03-01,,,,90.63600000000001,1028.0,1028.0
2008-04-01,,,,48.748000000000005,552.0,552.0
2008-05-01,,,,151.868,1723.0,1723.0
2008-06-01,,,,458.348,5203.0,5203.0
2008-07-01,,,,436.61400000000003,4954.0,4954.0
2008-08-01,,,,115.8,1313.0,1313.0
2008-09-01,,,,168.149,1907.0,1907.0
2008-10-01,,,,84.783,962.0,962.0
2008-11-01,,,,95.07900000000001,1081.0,1081.0
2008-12-01,,,,267.468,3035.0,3035.0
2009-01-01,129.56300000000002,1140.0,1140.0,0.0,0.0,0.0
2009-02-01,21.329,190.0,190.0,0.0,0.0,0.0
2009-03-01,75.59100000000001,671.0,671.0,0.0,0.0,0.0
2009-04-01,7.81,71.0,71.0,0.0,0.0,0.0
2009-05-01,10.416,95.0,95.0,0.0,0.0,0.0
2009-06-01,13.128,119.0,119.0,0.0,0.0,0.0
2009-07-01,17.815,160.0,160.0,0.0,0.0,0.0
2009-08-01,12.907,113.0,113.0,0.0,0.0,0.0
2009-09-01,9.84,89.0,89.0,0.0,0.0,0.0
2009-10-01,16.239,143.0,143.0,0.0,0.0,0.0
2009-11-01,11.37,101.0,101.0,0.0,0.0,0.0
2009-12-01,16.402,149.0,149.0,0.0,0.0,0.0
2010-01-01,,,,87.90100000000001,994.0,994.0
2010-02-01,,,,81.428,930.0,930.0
2010-03-01,,,,31.188000000000002,355.0,355.0
2010-04-01,,,,29.528000000000002,337.0,337.0
2010-05-01,,,,67.12400000000001,767.0,767.0
2010-06-01,,,,110.05,1256.0,1256.0
2010-07-01,,,,244.877,2790.0,2790.0
2010-08-01,,,,163.883,1866.0,1866.0
2010-09-01,,,,118.352,1349.0,1349.0
2010-10-01,,,,67.705,773.0,773.0
2010-11-01,,,,28.026,320.0,320.0
2010-12-01,,,,188.93800000000002,2151.0,2151.0
2011-01-01,,,,43.466,567.0,567.0
2011-02-01,,,,20.257,261.0,261.0
2011-03-01,,,,11.938,153.0,153.0
2011-04-01,,,,17.698,227.0,227.0
2011-05-01,,,,27.052,352.0,352.0
2011-06-01,,,,69.805,902.0,902.0
2011-07-01,,,,103.893,1344.0,1344.0
2011-08-01,,,,27.124,352.0,352.0
2011-09-01,,,,26.323,340.0,340.0
2011-10-01,,,,14.756,193.0,193.0
2011-11-01,,,,17.878,232.0,232.0
2011-12-01,,,,42.81,556.0,556.0
2012-01-01,,,,26.863,340.0,340.0
2012-02-01,,,,14.803,187.0,187.0
2012-03-01,,,,60.059,754.0,754.0
2012-04-01,,,,20.608,261.0,261.0
2012-05-01,,,,34.781,437.0,437.0
2012-06-01,,,,74.411,936.0,936.0
2012-07-01,,,,81.256,1021.0,1021.0
2012-08-01,,,,47.284,595.0,595.0
2012-09-01,,,,21.761,272.0,272.0
2012-10-01,,,,23.573,295.0,295.0
2012-11-01,,,,21.545,272.0,272.0
2012-12-01,,,,23.056,289.0,289.0
2013-01-01,,,,49.714,556.0,556.0
2013-02-01,,,,27.112,312.0,312.0
2013-03-01,,,,32.843,380.0,380.0
2013-04-01,,,,35.811,414.0,414.0
2013-05-01,,,,55.444,641.0,641.0
2013-06-01,,,,17.984,210.0,210.0
2013-07-01,,,,83.586,964.0,964.0
2013-08-01,,,,29.925,346.0,346.0
2013-09-01,,,,43.158,499.0,499.0
2013-10-01,,,,24.918,289.0,289.0
2013-11-01,,,,30.012,346.0,346.0
2013-12-01,,,,126.493,1457.0,1457.0
2014-01-01,,,,1311.645,13347.0,13347.0
2014-02-01,,,,168.49,1712.0,1712.0
2014-03-01,,,,364.085,3703.0,3703.0
2014-04-01,,,,48.196,488.0,488.0
2014-05-01,,,,54.823,556.0,556.0
2014-06-01,,,,47.949,488.0,488.0
2014-07-01,,,,38.602,391.0,391.0
2014-08-01,,,,46.092,471.0,471.0
2014-09-01,,,,37.688,386.0,386.0
2014-10-01,,,,28.797,295.0,295.0
2014-11-01,,,,42.418,431.0,431.0
2014-12-01,,,,54.215,550.0,550.0
2015-01-01,,,,187.622,1933.0,1933.0
2015-02-01,,,,500.22,5148.0,5148.0
2015-03-01,,,,96.081,987.0,987.0
2015-04-01,,,,63.535,652.0,652.0
2015-05-01,,,,101.239,1043.0,1043.0
2015-06-01,,,,136.947,1412.0,1412.0
2015-07-01,,,,169.368,1741.0,1741.0
2015-08-01,,,,97.641,1004.0,1004.0
2015-09-01,,,,72.9,748.0,748.0
2015-10-01,,,,51.167,527.0,527.0
2015-11-01,,,,35.691,369.0,369.0
2015-12-01,,,,29.589,306.0,306.0
2016-01-01,,,,310.503,3215.0,3215.0
2016-02-01,,,,217.974,2262.0,2262.0
2016-03-01,,,,95.466,992.0,992.0
2016-04-01,,,,93.153,964.0,964.0
2016-05-01,,,,87.57,907.0,907.0
2016-06-01,,,,112.237,1162.0,1162.0
2016-07-01,,,,121.727,1264.0,1264.0
2016-08-01,,,,168.688,1752.0,1752.0
2016-09-01,,,,79.042,822.0,822.0
2016-10-01,,,,93.795,975.0,975.0
2016-11-01,,,,29.847,312.0,312.0
2016-12-01,,,,55.998,578.0,578.0
2017-01-01,,,,165.106,1678.0,1678.0
2017-02-01,,,,43.767,448.0,448.0
2017-03-01,,,,116.04,1179.0,1179.0
2017-04-01,,,,55.14,561.0,561.0
2017-05-01,,,,148.218,1508.0,1508.0
2017-06-01,,,,116.056,1179.0,1179.0
2017-07-01,,,,175.805,1786.0,1786.0
2017-08-01,,,,105.445,1072.0,1072.0
2017-09-01,,,,171.925,1746.0,1746.0
2017-10-01,,,,94.582,964.0,964.0
2017-11-01,,,,132.5,1349.0,1349.0
2017-12-01,,,,193.416,1967.0,1967.0
2018-01-01,,,,2801.527,29461.0,29461.0
2018-02-01,,,,156.985,1650.0,1650.0
2018-03-01,,,,197.86,2081.0,2081.0
2018-04-01,,,,179.059,1882.0,1882.0
2018-05-01,,,,212.501,2234.0,2234.0
2018-06-01,,,,207.572,2183.0,2183.0
2018-07-01,,,,200.875,2115.0,2115.0
2018-08-01,,,,279.516,2937.0,2937.0
2018-09-01,,,,236.423,2483.0,2483.0
2018-10-01,,,,156.369,1644.0,1644.0
2018-11-01,,,,139.481,1469.0,1469.0
2018-12-01,,,,80.832,851.0,851.0
2019-01-01,,,,54.772,579.0,579.0
2019-02-01,,,,50.37,526.0,526.0
2019-03-01,,,,50.797,532.0,532.0
2019-04-01,,,,23.99,249.0,249.0
2019-05-01,,,,61.606,642.0,642.0
2019-06-01,,,,68.36,717.0,717.0
2019-07-01,,,,74.78,781.0,781.0
2019-08-01,,,,57.533,602.0,602.0
2019-09-01,,,,86.272,902.0,902.0
2019-10-01,,,,56.284,590.0,590.0
2019-11-01,,,,11.759,121.0,121.0
2019-12-01,,,,60.477,631.0,631.0
2020-01-01,,,,39.089,416.0,416.0
2020-02-01,,,,9.271,98.0,98.0
2020-03-01,,,,16.976,185.0,185.0
2020-04-01,,,,14.634,156.0,156.0
2020-05-01,,,,3.276,35.0,35.0
2020-06-01,,,,65.646,706.0,706.0
2020-07-01,,,,82.374,885.0,885.0
2020-08-01,,,,30.665,330.0,330.0
2020-09-01,,,,32.145,347.0,347.0
2020-10-01,,,,4.882,52.0,52.0
2020-11-01,,,,6.949,75.0,75.0
2020-12-01,,,,17.093,185.0,185.0
2021-01-01,,,,119.205,1224.0,1224.0
2021-02-01,,,,235.935,2430.0,2430.0
2021-03-01,,,,121.82,1253.0,1253.0
2021-04-01,,,,96.225,993.0,993.0
2021-05-01,,,,91.762,947.0,947.0
2021-06-01,,,,128.926,1328.0,1328.0
2021-07-01,,,,102.068,1051.0,1051.0
2021-08-01,,,,125.117,1287.0,1287.0
2021-09-01,,,,88.21,906.0,906.0
2021-10-01,,,,88.483,912.0,912.0
2021-11-01,,,,80.559,831.0,831.0
2021-12-01,,,,121.69,1253.0,1253.0
2022-01-01,,,,283.235,2910.0,2910.0
2022-02-01,,,,117.565,1209.0,1209.0
2022-03-01,,,,356.159,3657.0,3657.0
2022-04-01,,,,124.628,1279.0,1279.0
2022-05-01,,,,138.93,1429.0,1429.0
2022-06-01,,,,163.035,1672.0,1672.0
2022-07-01,,,,193.539,1985.0,1985.0
2022-08-01,,,,166.469,1707.0,1707.0
2022-09-01,,,,126.1,1296.0,1296.0
2022-10-01,,,,113.354,1163.0,1163.0
2022-11-01,,,,148.012,1522.0,1522.0
2022-12-01,,,,562.974,5780.0,5780.0
2023-01-01,,,,154.723,1565.0,1565.0
2023-02-01,,,,119.516,1215.0,1215.0
2023-03-01,,,,145.682,1479.0,1479.0
2023-04-01,,,,61.465,625.0,625.0
2023-05-01,,,,146.912,1491.0,1491.0
2023-06-01,,,,139.951,1422.0,1422.0
2023-07-01,,,,192.185,1949.0,1949.0
2023-08-01,,,,270.138,2740.0,2740.0
2023-09-01,,,,30.575,310.0,310.0
2023-10-01,,,,144.728,1468.0,1468.0
2023-11-01,,,,643.279,6530.0,6530.0
2023-12-01,,,,103.846,1055.0,1055.0
2024-01-01,,,,288.166,3012.0,3012.0
2024-02-01,,,,31.47,328.0,328.0
2024-03-01,,,,37.695,397.0,397.0
2024-04-01,,,,467.437,4887.0,4887.0
2024-05-01,,,,227.797,2380.0,2380.0
2024-06-01,,,,110.641,1156.0,1156.0
2024-07-01,,,,592.431,6197.0,6197.0
2024-08-01,,,,268.096,2806.0,2806.0
2024-09-01,,,,44.777,466.0,466.0
2024-10-01,,,,34.481,362.0,362.0
2024-11-01,,,,58.576,615.0,615.0
2024-12-01,,,,559.433,5852.0,5852.0
