measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2006-02-01,2962.67413,14100.64,361806.6,,,,170.62878999999998,812.1,20837.47,377.43677,1796.38,46093.19,2762.11098,13146.07,337313.5,2276.53034,10834.99,278013.6
2006-03-01,3148.0765499999998,14983.05,384448.2,,,,188.99444,899.51,23080.31,399.43132,1901.07,48779.2,3483.48236,16579.39,425408.5,2418.99433,11513.03,295411.5
2006-04-01,3146.97468,14977.8,384313.68,,,,180.07421,857.05,21990.96,260.24296,1238.61,31781.3,3125.5806000000002,14875.98,381701.0,2418.14655,11509.0,295308.0
2006-05-01,3125.83227,14877.18,381731.76,,,,209.8914,998.96,25632.28,363.68289,1730.92,44413.55,3358.95836,15986.72,410201.5,2401.90209,11431.68,293324.22
2006-06-01,3207.69776,15266.81,391729.32,,,,222.47474,1058.85,27168.98,332.23127999999997,1581.23,40572.63,2804.65438,13348.56,342509.0,2464.80684,11731.08,301006.26
2006-07-01,3491.66461,16618.33,426407.76,,,,250.4968,1192.22,30591.08,373.40467,1777.19,45600.79,3208.84607,15272.28,391869.5,2683.00784,12769.59,327653.28
2006-08-01,3423.6624,16294.68,418103.28,,,,258.77835,1231.64,31602.44,381.29654,1814.75,46564.56,3049.91391,14515.85,372460.5,2630.7548,12520.89,321272.1
2006-09-01,3296.3211,15688.61,402552.12,,,,210.70685,1002.84,25731.86,360.56906,1716.1,44033.28,3092.03199,14716.31,377604.0,2532.906,12055.19,309322.62
2006-10-01,3143.13604,14959.53,383844.96,,,,220.88124,1051.27,26974.38,370.70913,1764.36,45271.61,3354.8433,15967.14,409699.0,2415.19828,11494.97,294948.0
2006-11-01,3126.0747,14878.33,381761.28,,,,186.58208,888.02,22785.7,413.40754,1967.58,50486.0,3316.36633,15784.01,405000.0,2402.08835,11432.57,293346.9
2006-12-01,3351.14985,15949.56,409247.88,,,,209.23129,995.82,25551.67,426.96427,2032.11,52141.57,3191.68686,15190.61,389774.0,2575.03574,12255.7,314467.56
2008-01-01,5696.402,27112.0,285444.0,0.0,0.0,0.0,224.614,1069.0,11255.0,71.034,338.0,3560.0,594.697,2830.0,29800.0,3625.083,17253.0,181651.0
2008-02-01,5459.043000000001,25982.0,271392.0,0.0,0.0,0.0,355.254,1691.0,17661.0,37.764,180.0,1877.0,486.28000000000003,2314.0,24175.0,3308.833,15748.0,164496.0
2008-03-01,6010.308,28606.0,289500.0,0.0,0.0,0.0,128.643,612.0,6196.0,9.81,47.0,473.0,135.466,645.0,6525.0,4146.552000000001,19735.0,199728.0
2008-04-01,5502.486,26189.0,273060.0,0.0,0.0,0.0,148.507,707.0,7370.0,16.123,77.0,800.0,464.485,2211.0,23050.0,3619.284,17226.0,179606.0
2008-05-01,3519.097,16749.0,217392.0,0.0,0.0,0.0,282.471,1344.0,17450.0,29.167,139.0,1802.0,270.741,1289.0,16725.0,2024.277,9634.0,125050.0
2008-06-01,4309.776,20512.0,279192.0,0.0,0.0,0.0,47.707,227.0,3091.0,6.516,31.0,422.0,233.865,1113.0,15150.0,2361.43,11239.0,152976.0
2008-07-01,5858.29,27882.0,279912.0,0.0,0.0,0.0,98.584,469.0,4710.0,1.0550000000000002,5.0,50.0,228.127,1086.0,10900.0,3397.7380000000003,16171.0,162346.0
2008-08-01,5943.778,28289.0,293916.0,0.0,0.0,0.0,68.47200000000001,326.0,3386.0,0.0,0.0,0.0,545.0020000000001,2594.0,26950.0,3271.42,15570.0,161770.0
2008-09-01,5264.046,25054.0,266412.0,0.0,0.0,0.0,463.79,2207.0,23472.0,6.224,30.0,315.0,138.80700000000002,661.0,7025.0,2552.8050000000003,12150.0,129197.0
2008-10-01,5569.057000000001,26506.0,295356.0,0.0,0.0,0.0,80.70400000000001,384.0,4280.0,0.0,0.0,0.0,183.369,873.0,9725.0,3371.346,16046.0,178800.0
2008-11-01,5168.087,24597.0,260856.0,0.0,0.0,0.0,838.9720000000001,3993.0,42347.0,1.248,6.0,63.0,189.70000000000002,903.0,9575.0,3060.2450000000003,14565.0,154464.0
2008-12-01,4141.385,19711.0,207480.0,9.222000000000001,44.0,462.0,233.39100000000002,1111.0,11693.0,0.0,0.0,0.0,119.263,568.0,5975.0,2772.9320000000002,13198.0,138922.0
2009-01-01,5029.023,23935.0,259272.0,10.775,51.0,556.0,509.30400000000003,2424.0,26257.0,0.0,0.0,0.0,263.795,1256.0,13600.0,3380.0550000000003,16087.0,174259.0
2009-02-01,4597.425,21881.0,235944.0,19.29,92.0,990.0,329.09700000000004,1566.0,16890.0,0.0,0.0,0.0,412.6,1964.0,21175.0,3208.424,15270.0,164659.0
2009-03-01,5079.531,24176.0,264684.0,24.065,115.0,1254.0,252.00900000000001,1199.0,13132.0,0.0,0.0,0.0,471.617,2245.0,24575.0,3528.981,16796.0,183888.0
2009-04-01,5602.33,26664.0,273468.0,25.014000000000003,119.0,1221.0,445.077,2118.0,21726.0,0.0,0.0,0.0,32.778,156.0,1600.0,3336.471,15880.0,162864.0
2009-05-01,5610.823,26704.0,286128.0,20.061,95.0,1023.0,529.52,2520.0,27003.0,0.0,0.0,0.0,250.51100000000002,1192.0,12775.0,3082.6110000000003,14671.0,157200.0
2009-06-01,5159.629,24557.0,266412.0,21.836000000000002,104.0,1128.0,225.702,1074.0,11654.0,0.0,0.0,0.0,410.098,1952.0,21175.0,2850.4030000000002,13566.0,147178.0
2009-07-01,5428.696,25837.0,275268.0,22.453,107.0,1139.0,186.135,886.0,9438.0,0.0,0.0,0.0,58.671,279.0,2975.0,3021.648,14381.0,153216.0
2009-08-01,5404.328,25722.0,268032.0,20.183,96.0,1001.0,252.26600000000002,1201.0,12511.0,0.0,0.0,0.0,109.888,523.0,5450.0,3051.936,14525.0,151363.0
2009-09-01,5234.362,24913.0,257964.0,24.329,116.0,1199.0,121.81200000000001,580.0,6003.0,0.0,0.0,0.0,188.70700000000002,898.0,9300.0,2911.199,13856.0,143472.0
2009-10-01,3451.068,16425.0,174444.0,8.378,40.0,424.0,609.364,2900.0,30802.0,0.0,0.0,0.0,65.779,313.0,3325.0,2514.5280000000002,11968.0,127104.0
2009-11-01,5056.86,24068.0,253188.0,27.353,130.0,1370.0,403.46700000000004,1920.0,20201.0,0.0,0.0,0.0,290.10400000000004,1381.0,14525.0,3117.4750000000004,14837.0,156086.0
2009-12-01,5096.111,24255.0,254868.0,19.575,93.0,979.0,372.612,1773.0,18635.0,0.0,0.0,0.0,253.93800000000002,1209.0,12700.0,3491.049,16615.0,174595.0
2010-01-01,5473.8,25018.0,275088.0,2.2680000000000002,10.0,114.0,370.209,1692.0,18605.0,60.411,276.0,3036.0,42.384,194.0,2130.0,3772.9280000000003,17244.0,189610.0
2010-02-01,5150.4800000000005,23540.0,244476.0,12.514000000000001,57.0,594.0,134.642,615.0,6391.0,76.096,348.0,3612.0,144.101,659.0,6840.0,3686.1670000000004,16848.0,174970.0
2010-03-01,5199.481000000001,23764.0,257520.0,0.0,0.0,0.0,232.071,1061.0,11494.0,0.0,0.0,0.0,185.35,847.0,9180.0,3612.098,16509.0,178900.0
2010-04-01,5470.013,25001.0,255168.0,0.0,0.0,0.0,38.887,178.0,1814.0,0.0,0.0,0.0,106.113,485.0,4950.0,3636.987,16623.0,169660.0
2010-05-01,5591.856000000001,25557.0,268884.0,0.0,0.0,0.0,58.688,268.0,2822.0,0.0,0.0,0.0,140.377,642.0,6750.0,3417.079,15618.0,164310.0
2010-06-01,5273.573,24103.0,266916.0,0.0,0.0,0.0,282.788,1292.0,14313.0,3.319,15.0,168.0,135.734,620.0,6870.0,2835.5860000000002,12960.0,143520.0
2010-07-01,4729.287,21615.0,253320.0,0.0,0.0,0.0,231.405,1058.0,12395.0,4.593,21.0,246.0,129.93800000000002,594.0,6960.0,2752.777,12582.0,147450.0
2010-08-01,5634.146000000001,25751.0,286584.0,0.0,0.0,0.0,339.64,1552.0,17276.0,13.093,60.0,666.0,80.211,367.0,4080.0,2881.91,13172.0,146590.0
2010-09-01,5630.866,25736.0,284568.0,0.0,0.0,0.0,63.102000000000004,288.0,3189.0,1.069,5.0,54.0,111.007,507.0,5610.0,2870.956,13122.0,145090.0
2010-10-01,5676.776,25946.0,288528.0,0.0,0.0,0.0,525.4,2401.0,26704.0,6.139,28.0,312.0,97.391,445.0,4950.0,2960.2940000000003,13530.0,150460.0
2010-11-01,151.631,693.0,39108.0,0.0,0.0,0.0,72.911,333.0,18805.0,0.884,4.0,228.0,5.583,26.0,1440.0,233.991,1069.0,60350.0
2010-12-01,5483.9800000000005,25064.0,289788.0,0.0,0.0,0.0,130.14100000000002,595.0,6877.0,14.761000000000001,67.0,780.0,172.58800000000002,789.0,9120.0,3508.53,16036.0,185400.0
2011-01-01,6008.662,27462.0,298140.0,0.0,0.0,0.0,45.951,210.0,2280.0,57.438,263.0,2850.0,141.48,647.0,7020.0,3546.469,16209.0,175970.0
2011-02-01,5246.464,23979.0,264984.0,0.0,0.0,0.0,121.547,556.0,6139.0,2.851,13.0,144.0,152.058,695.0,7680.0,3344.08,15284.0,168900.0
2011-03-01,5812.516,26566.0,294060.0,0.0,0.0,0.0,536.916,2454.0,27163.0,14.113,65.0,714.0,99.03,453.0,5010.0,2824.425,12909.0,142890.0
2011-04-01,5417.353,24760.0,274368.0,0.0,0.0,0.0,138.846,635.0,7032.0,3.791,17.0,192.0,142.755,652.0,7230.0,2967.255,13562.0,150280.0
2011-05-01,6038.025,27597.0,296724.0,0.0,0.0,0.0,26.657,122.0,1310.0,0.0,0.0,0.0,98.896,452.0,4860.0,3383.422,15464.0,166270.0
2011-06-01,5610.797,25644.0,270732.0,0.0,0.0,0.0,145.01,663.0,6997.0,1.865,9.0,90.0,86.421,395.0,4170.0,3303.907,15100.0,159420.0
2011-07-01,6065.573,27723.0,290400.0,0.0,0.0,0.0,34.234,156.0,1639.0,7.645,35.0,366.0,106.524,487.0,5100.0,3547.024,16212.0,169820.0
2011-08-01,5848.763,26732.0,285156.0,0.0,0.0,0.0,114.45,523.0,5580.0,3.077,14.0,150.0,115.681,529.0,5640.0,3278.029,14982.0,159820.0
2011-09-01,5306.48,24253.0,260136.0,0.0,0.0,0.0,274.63,1255.0,13463.0,7.711,35.0,378.0,71.6,327.0,3510.0,2985.579,13646.0,146360.0
2011-10-01,6038.241,27598.0,294840.0,0.0,0.0,0.0,619.02,2829.0,30226.0,5.898,27.0,288.0,71.269,326.0,3480.0,2961.572,13536.0,144610.0
2011-11-01,5722.466,26154.0,282768.0,0.0,0.0,0.0,209.031,955.0,10329.0,4.857,22.0,240.0,129.316,591.0,6390.0,3183.33,14549.0,157300.0
2011-12-01,4872.49,22270.0,274716.0,0.0,0.0,0.0,176.602,807.0,9957.0,1.916,9.0,108.0,72.365,331.0,4080.0,2831.627,12942.0,159650.0
2012-01-01,4876.188,22287.0,293304.0,0.0,0.0,0.0,71.122,325.0,4278.0,0.0,0.0,0.0,84.788,388.0,5100.0,4777.902,21837.0,287392.0
2012-02-01,5545.163,25344.0,268932.0,0.0,0.0,0.0,120.952,553.0,5866.0,1.732,8.0,84.0,117.529,537.0,5700.0,3137.624,14340.0,152170.0
2012-03-01,6182.894,28259.0,296796.0,0.0,0.0,0.0,91.307,417.0,4383.0,0.0,0.0,0.0,121.243,554.0,5820.0,3363.556,15373.0,161460.0
2012-04-01,5649.562,25821.0,278100.0,0.0,0.0,0.0,113.824,520.0,5603.0,0.0,0.0,0.0,101.168,462.0,4980.0,3306.446,15112.0,162760.0
2012-05-01,3947.319,18041.0,218088.0,0.0,0.0,0.0,390.464,1785.0,21573.0,0.0,0.0,0.0,38.009,174.0,2100.0,2217.208,10134.0,122500.0
2012-06-01,5502.567,25149.0,288588.0,0.0,0.0,0.0,150.764,689.0,7907.0,0.0,0.0,0.0,54.342,248.0,2850.0,3006.327,13740.0,157670.0
2012-07-01,3880.309,17735.0,275544.0,0.0,0.0,0.0,72.834,333.0,5172.0,0.0,0.0,0.0,48.584,222.0,3450.0,2177.273,9951.0,154610.0
2012-08-01,5649.304,25820.0,268536.0,0.0,0.0,0.0,164.155,750.0,7803.0,0.0,0.0,0.0,75.104,343.0,3570.0,3326.437,15203.0,158120.0
2012-09-01,5649.22,25820.0,276156.0,0.0,0.0,0.0,373.027,1705.0,18235.0,0.0,0.0,0.0,89.6,410.0,4380.0,2847.153,13013.0,139180.0
2012-10-01,5781.682,26425.0,283692.0,0.0,0.0,0.0,277.414,1268.0,13612.0,0.0,0.0,0.0,74.591,341.0,3660.0,3244.313,14828.0,159190.0
2012-11-01,5962.017,27249.0,293856.0,0.0,0.0,0.0,76.672,350.0,3779.0,0.0,0.0,0.0,73.04,334.0,3600.0,3516.271,16071.0,173310.0
2012-12-01,5823.651,26617.0,288228.0,0.0,0.0,0.0,154.811,708.0,7662.0,0.0,0.0,0.0,55.16,252.0,2730.0,3506.378,16026.0,173540.0
2013-01-01,5920.568,27060.0,292068.0,0.0,0.0,0.0,291.642,1333.0,14387.0,16.42,75.0,810.0,83.923,384.0,4140.0,3277.447,14980.0,161680.0
2013-02-01,5700.415,26054.0,277344.0,0.0,0.0,0.0,368.546,1684.0,17931.0,12.949,59.0,630.0,43.163,197.0,2100.0,3026.927,13835.0,147270.0
2013-03-01,5637.056,25764.0,284496.0,0.0,0.0,0.0,120.985,553.0,6106.0,10.937,50.0,552.0,54.687,250.0,2760.0,3696.335,16894.0,186550.0
2013-04-01,3933.1,17976.0,201888.0,0.0,0.0,0.0,506.424,2315.0,25995.0,14.027,64.0,720.0,0.0,0.0,0.0,2493.449,11396.0,127990.0
2013-05-01,5896.258,26949.0,279012.0,0.0,0.0,0.0,195.329,893.0,9243.0,6.593,30.0,312.0,0.0,0.0,0.0,3608.82,16494.0,170770.0
2013-06-01,5846.447,26721.0,281028.0,0.0,0.0,0.0,74.956,343.0,3603.0,13.731,63.0,660.0,0.0,0.0,0.0,3262.866,14913.0,156840.0
2013-07-01,5797.218,26496.0,275064.0,0.0,0.0,0.0,243.405,1112.0,11549.0,0.379,2.0,18.0,0.0,0.0,0.0,3384.998,15471.0,160610.0
2013-08-01,5804.841,26531.0,281844.0,0.0,0.0,0.0,227.235,1039.0,11033.0,29.782,136.0,1446.0,0.0,0.0,0.0,3288.142,15028.0,159650.0
2013-09-01,5829.88,26645.0,279192.0,0.0,0.0,0.0,238.36,1089.0,11415.0,4.26,19.0,204.0,0.0,0.0,0.0,3267.5,14934.0,156480.0
2013-10-01,6219.144,28424.0,300672.0,0.0,0.0,0.0,60.625,277.0,2931.0,0.124,1.0,6.0,0.0,0.0,0.0,3480.107,15906.0,168250.0
2013-11-01,5730.781,26192.0,285936.0,0.0,0.0,0.0,142.821,653.0,7126.0,9.259,42.0,462.0,0.0,0.0,0.0,3392.139,15504.0,169250.0
2013-12-01,5795.672,26489.0,292428.0,0.0,0.0,0.0,165.747,758.0,8363.0,7.492,34.0,378.0,0.0,0.0,0.0,3694.089,16884.0,186390.0
2014-01-01,5578.83,25498.0,292860.0,0.0,0.0,0.0,351.387,1606.0,18446.0,193.047,882.0,10134.0,0.0,0.0,0.0,3151.736,14405.0,165450.0
2014-02-01,5256.19,24023.0,262920.0,0.0,0.0,0.0,399.952,1828.0,20006.0,48.1,220.0,2406.0,0.0,0.0,0.0,2954.758,13505.0,147800.0
2014-03-01,6067.127,27730.0,291120.0,0.0,0.0,0.0,139.757,639.0,6706.0,51.143,234.0,2454.0,0.0,0.0,0.0,3727.973,17039.0,178880.0
2014-04-01,5956.67,27225.0,281328.0,0.0,0.0,0.0,399.394,1825.0,18863.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.936,14625.0,151130.0
2014-05-01,5841.293,26698.0,284064.0,0.0,0.0,0.0,702.915,3213.0,34183.0,0.0,0.0,0.0,0.0,0.0,0.0,2620.792,11978.0,127450.0
2014-06-01,6152.708,28121.0,296832.0,0.0,0.0,0.0,139.312,637.0,6721.0,0.0,0.0,0.0,0.0,0.0,0.0,2772.98,12674.0,133780.0
2014-07-01,6304.025,28812.0,305340.0,0.0,0.0,0.0,79.569,364.0,3854.0,0.0,0.0,0.0,0.0,0.0,0.0,2966.406,13558.0,143680.0
2014-08-01,5810.872,26558.0,287028.0,0.0,0.0,0.0,246.989,1129.0,12200.0,0.243,1.0,12.0,0.0,0.0,0.0,2883.896,13181.0,142450.0
2014-09-01,5869.91,26828.0,293748.0,0.0,0.0,0.0,227.864,1041.0,11403.0,0.0,0.0,0.0,0.0,0.0,0.0,2992.226,13676.0,149740.0
2014-10-01,1583.972,7240.0,99660.0,0.0,0.0,0.0,1233.34,5637.0,77599.0,0.0,0.0,0.0,0.0,0.0,0.0,1171.688,5355.0,73720.0
2014-11-01,5882.755,26887.0,293904.0,0.0,0.0,0.0,304.582,1392.0,15217.0,0.0,0.0,0.0,0.0,0.0,0.0,3603.663,16470.0,180040.0
2014-12-01,5967.45,27274.0,302208.0,0.0,0.0,0.0,346.368,1583.0,17541.0,0.0,0.0,0.0,0.0,0.0,0.0,3533.182,16148.0,178930.0
2015-01-01,6118.021,27962.0,302856.0,0.0,0.0,0.0,397.598,1817.0,19682.0,19.878,91.0,984.0,0.0,0.0,0.0,3767.503,17219.0,186500.0
2015-02-01,5392.316,24645.0,268764.0,0.0,0.0,0.0,189.8,867.0,9460.0,61.274,280.0,3054.0,0.0,0.0,0.0,3484.61,15926.0,173680.0
2015-03-01,5918.457,27050.0,308892.0,0.0,0.0,0.0,99.997,457.0,5219.0,0.0,0.0,0.0,0.0,0.0,0.0,4085.546,18673.0,213230.0
2015-04-01,3884.685,17755.0,215544.0,0.0,0.0,0.0,545.096,2491.0,30245.0,0.0,0.0,0.0,0.0,0.0,0.0,2858.219,13063.0,158590.0
2015-05-01,5433.041,24832.0,289512.0,0.0,0.0,0.0,208.53,953.0,11112.0,0.0,0.0,0.0,0.0,0.0,0.0,3899.429,17822.0,207790.0
2015-06-01,5110.673,23358.0,274452.0,0.0,0.0,0.0,307.774,1407.0,16528.0,0.0,0.0,0.0,0.0,0.0,0.0,3801.553,17375.0,204150.0
2015-07-01,4646.72,21238.0,256884.0,0.0,0.0,0.0,629.87,2879.0,34821.0,0.0,0.0,0.0,0.0,0.0,0.0,3579.41,16360.0,197880.0
2015-08-01,5751.754,26288.0,311292.0,0.0,0.0,0.0,1194.319,5459.0,64638.0,0.0,0.0,0.0,0.0,0.0,0.0,2572.927,11760.0,139250.0
2015-09-01,4877.01,22290.0,252228.0,0.0,0.0,0.0,886.214,4050.0,45833.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.776,12216.0,138230.0
2015-10-01,4877.457,22292.0,269256.0,0.0,0.0,0.0,311.734,1425.0,17209.0,0.0,0.0,0.0,0.0,0.0,0.0,3675.809,16800.0,202920.0
2015-11-01,5408.263,24718.0,295428.0,0.0,0.0,0.0,162.617,743.0,8883.0,0.0,0.0,0.0,0.0,0.0,0.0,3834.12,17524.0,209440.0
2015-12-01,4900.828,22399.0,270612.0,0.0,0.0,0.0,492.379,2250.0,27188.0,0.217,1.0,12.0,0.0,0.0,0.0,3691.576,16872.0,203840.0
2016-01-01,5470.382,33330.0,290856.0,0.0,0.0,0.0,304.311,1854.0,16180.0,7.674,47.0,408.0,0.0,0.0,0.0,4410.633,26873.0,234510.0
2016-02-01,4794.65,29213.0,262524.0,0.0,0.0,0.0,344.654,2100.0,18871.0,0.0,0.0,0.0,0.0,0.0,0.0,3867.696,23565.0,211770.0
2016-03-01,5401.931,32913.0,287460.0,0.0,0.0,0.0,218.419,1331.0,11623.0,0.0,0.0,0.0,0.0,0.0,0.0,4239.65,25832.0,225610.0
2016-04-01,5115.918,31171.0,276012.0,0.0,0.0,0.0,307.349,1873.0,16582.0,0.0,0.0,0.0,0.0,0.0,0.0,3958.733,24120.0,213580.0
2016-05-01,3840.318,23399.0,206016.0,0.0,0.0,0.0,383.182,2335.0,20556.0,0.0,0.0,0.0,0.0,0.0,0.0,2914.5,17758.0,156350.0
2016-06-01,5789.839,35277.0,288480.0,0.0,0.0,0.0,128.288,782.0,6392.0,60.09,366.0,2994.0,0.0,0.0,0.0,3370.783,20538.0,167950.0
2016-07-01,5614.224,34207.0,275052.0,0.0,0.0,0.0,528.903,3223.0,25912.0,127.0,774.0,6222.0,0.0,0.0,0.0,3594.873,21903.0,176120.0
2016-08-01,5619.919,34241.0,286092.0,0.0,0.0,0.0,214.353,1306.0,10912.0,18.033,110.0,918.0,0.0,0.0,0.0,3909.695,23821.0,199030.0
2016-09-01,5504.034,33535.0,281220.0,0.0,0.0,0.0,207.835,1266.0,10619.0,0.0,0.0,0.0,0.0,0.0,0.0,3771.131,22977.0,192680.0
2016-10-01,4741.92,28892.0,252552.0,0.0,0.0,0.0,604.813,3685.0,32212.0,0.0,0.0,0.0,0.0,0.0,0.0,3395.267,20687.0,180830.0
2016-11-01,5913.791,36032.0,295092.0,0.0,0.0,0.0,764.445,4658.0,38145.0,0.0,0.0,0.0,0.0,0.0,0.0,3148.764,19185.0,157120.0
