measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-05-01,538.398,4687.0,4687.0,0.0,0.0,0.0
2020-06-01,619.253,5390.0,5390.0,0.0,0.0,0.0
2020-07-01,664.246,5782.0,5782.0,0.0,0.0,0.0
2020-08-01,588.733,5125.0,5125.0,0.0,0.0,0.0
2020-09-01,488.572,4253.0,4253.0,0.0,0.0,0.0
2020-10-01,494.037,4300.0,4300.0,0.0,0.0,0.0
2020-11-01,406.503,3538.0,3538.0,0.0,0.0,0.0
2020-12-01,573.495,4992.0,4992.0,0.0,0.0,0.0
2021-01-01,679.803,8049.0,8049.0,0.0,0.0,0.0
2021-02-01,595.561,7051.0,7051.0,0.0,0.0,0.0
2021-03-01,488.294,5781.0,5781.0,0.0,0.0,0.0
2021-04-01,535.582,6341.0,6341.0,0.0,0.0,0.0
2021-05-01,559.755,6627.0,6627.0,0.0,0.0,0.0
2021-06-01,646.508,7655.0,7655.0,0.0,0.0,0.0
2021-07-01,696.203,8243.0,8243.0,0.0,0.0,0.0
2021-08-01,774.563,9171.0,9171.0,0.0,0.0,0.0
2021-09-01,585.796,6936.0,6936.0,0.0,0.0,0.0
2021-10-01,682.262,8078.0,8078.0,0.0,0.0,0.0
2021-11-01,693.874,8215.0,8215.0,0.0,0.0,0.0
2021-12-01,729.799,8641.0,8641.0,0.0,0.0,0.0
2022-01-01,680.828,8099.0,8099.0,0.0,0.0,0.0
2022-02-01,594.948,7077.0,7077.0,0.0,0.0,0.0
2022-03-01,533.757,6349.0,6349.0,0.0,0.0,0.0
2022-04-01,598.92,7124.0,7124.0,0.0,0.0,0.0
2022-05-01,604.46,7190.0,7190.0,0.0,0.0,0.0
2022-06-01,646.259,7687.0,7687.0,0.0,0.0,0.0
2022-07-01,677.108,8054.0,8054.0,0.0,0.0,0.0
2022-08-01,654.745,7788.0,7788.0,0.0,0.0,0.0
2022-09-01,536.879,6386.0,6386.0,0.0,0.0,0.0
2022-10-01,694.403,8260.0,8260.0,0.0,0.0,0.0
2022-11-01,619.049,7364.0,7364.0,0.0,0.0,0.0
2022-12-01,694.644,8263.0,8263.0,0.0,0.0,0.0
2023-01-01,590.487,5503.0,5503.0,0.0,0.0,0.0
2023-02-01,555.831,5179.0,5179.0,0.0,0.0,0.0
2023-03-01,587.503,5474.0,5474.0,0.0,0.0,0.0
2023-04-01,456.072,4249.0,4249.0,0.0,0.0,0.0
2023-05-01,519.901,4845.0,4845.0,0.0,0.0,0.0
2023-06-01,683.029,6364.0,6364.0,0.0,0.0,0.0
2023-07-01,690.487,6433.0,6433.0,0.0,0.0,0.0
2023-08-01,594.253,5537.0,5537.0,0.0,0.0,0.0
2023-09-01,530.554,4943.0,4943.0,0.0,0.0,0.0
2023-10-01,500.425,4663.0,4663.0,0.0,0.0,0.0
2023-11-01,534.822,4983.0,4983.0,0.0,0.0,0.0
2023-12-01,586.636,5466.0,5466.0,0.0,0.0,0.0
2024-01-01,494.016,4580.0,4580.0,0.0,0.0,0.0
2024-02-01,488.691,4530.0,4530.0,0.0,0.0,0.0
2024-03-01,492.223,4563.0,4563.0,0.0,0.0,0.0
2024-04-01,409.398,3795.0,3795.0,0.0,0.0,0.0
2024-05-01,478.511,4436.0,4436.0,0.0,0.0,0.0
2024-06-01,503.186,4664.0,4664.0,0.0,0.0,0.0
2024-07-01,588.537,5456.0,5456.0,0.0,0.0,0.0
2024-08-01,562.071,5210.0,5210.0,0.0,0.0,0.0
2024-09-01,448.168,4154.0,4154.0,0.0,0.0,0.0
2024-10-01,554.324,5138.0,5138.0,0.0,0.0,0.0
2024-11-01,451.721,4187.0,4187.0,0.0,0.0,0.0
2024-12-01,513.154,4757.0,4757.0,0.0,0.0,0.0
