measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-01-01,0.0,0.0,0.0,7.0,65.0,65.0,,,,18464.0,265339.0,265339.0
2006-02-01,0.0,0.0,0.0,15.0,153.0,153.0,,,,10473.0,130009.0,130009.0
2006-03-01,0.0,0.0,0.0,18.0,182.0,182.0,,,,61583.0,741859.0,741859.0
2006-04-01,0.0,0.0,0.0,9.0,100.0,100.0,,,,10515.0,150953.0,150953.0
2006-05-01,0.0,0.0,0.0,7.0,82.0,82.0,,,,31921.0,460961.0,460961.0
2006-06-01,0.0,0.0,0.0,9.0,88.0,88.0,,,,45862.0,550103.0,550103.0
2006-07-01,0.0,0.0,0.0,4.0,59.0,59.0,,,,53904.0,736556.0,736556.0
2006-08-01,0.0,0.0,0.0,15.0,153.0,153.0,,,,80572.0,1091607.0,1091607.0
2006-09-01,0.0,0.0,0.0,14.0,165.0,165.0,,,,33892.0,461088.0,461088.0
2006-10-01,0.0,0.0,0.0,8.0,176.0,176.0,,,,33643.0,451696.0,451696.0
2006-11-01,0.0,0.0,0.0,9.0,82.0,82.0,,,,18403.0,249220.0,249220.0
2006-12-01,0.0,0.0,0.0,7.0,76.0,76.0,,,,30131.0,372063.0,372063.0
2007-01-01,0.0,267.0,267.0,0.0,0.0,0.0,,,,28042.0,364976.0,364976.0
2007-02-01,0.0,58.0,58.0,0.0,0.0,0.0,,,,21393.0,276882.0,276882.0
2007-03-01,0.0,46.0,46.0,0.0,0.0,0.0,,,,19913.0,283585.0,283585.0
2007-04-01,0.0,128.0,128.0,0.0,0.0,0.0,,,,38181.0,535866.0,535866.0
2007-05-01,0.0,75.0,75.0,0.0,0.0,0.0,,,,34853.0,528545.0,528545.0
2007-06-01,0.0,151.0,151.0,0.0,0.0,0.0,,,,22427.0,351415.0,351415.0
2007-07-01,0.0,133.0,133.0,0.0,0.0,0.0,,,,54195.0,719743.0,719743.0
2007-08-01,0.0,261.0,261.0,0.0,0.0,0.0,,,,57010.0,782528.0,782528.0
2007-09-01,0.0,12.0,12.0,0.0,0.0,0.0,,,,35987.0,498496.0,498496.0
2007-10-01,0.0,104.0,104.0,0.0,0.0,0.0,,,,24739.0,348975.0,348975.0
2007-11-01,0.0,145.0,145.0,0.0,0.0,0.0,,,,10780.0,144034.0,144034.0
2007-12-01,0.0,64.0,64.0,0.0,0.0,0.0,,,,21124.0,301491.0,301491.0
2008-01-01,0.0,119.0,119.0,,,,,,,16627.0,242303.0,242303.0
2008-02-01,0.0,176.0,176.0,0.0,0.0,0.0,,,,15161.0,242913.0,242913.0
2008-03-01,0.0,119.0,119.0,0.0,0.0,0.0,,,,15278.0,228488.0,228488.0
2008-04-01,0.0,176.0,176.0,0.0,0.0,0.0,,,,12923.0,216341.0,216341.0
2008-05-01,0.0,119.0,119.0,,,,,,,23224.0,362268.0,362268.0
2008-06-01,0.0,119.0,119.0,0.0,0.0,0.0,,,,31330.0,486473.0,486473.0
2008-07-01,0.0,86.0,86.0,0.0,0.0,0.0,,,,39378.0,574980.0,574980.0
2008-08-01,0.0,120.0,120.0,0.0,0.0,0.0,,,,18959.0,365616.0,365616.0
2008-09-01,0.0,178.0,178.0,,,,,,,18481.0,268066.0,268066.0
2008-10-01,0.0,178.0,178.0,,,,,,,16889.0,252878.0,252878.0
2008-11-01,0.0,120.0,120.0,,,,,,,15103.0,221162.0,221162.0
2008-12-01,0.0,178.0,178.0,,,,,,,16778.0,247595.0,247595.0
2009-01-01,0.0,178.0,178.0,,,,,,,16870.0,248963.0,248963.0
2009-02-01,0.0,132.0,132.0,,,,,,,12752.0,198578.0,198578.0
2009-03-01,0.0,298.0,298.0,,,,,,,12935.0,205556.0,205556.0
2009-04-01,0.0,120.0,120.0,,,,,,,11422.0,184299.0,184299.0
2009-05-01,0.0,120.0,120.0,,,,,,,12282.0,200258.0,200258.0
2009-06-01,0.0,241.0,241.0,,,,,,,24146.0,386675.0,386675.0
2009-07-01,0.0,120.0,120.0,,,,,,,27049.0,434027.0,434027.0
2009-08-01,0.0,178.0,178.0,,,,,,,16495.0,270349.0,270349.0
2009-09-01,0.0,120.0,120.0,,,,,,,13763.0,225083.0,225083.0
2009-10-01,0.0,120.0,120.0,,,,,,,13839.0,208606.0,208606.0
2009-11-01,0.0,178.0,178.0,,,,,,,13017.0,205538.0,205538.0
2009-12-01,0.0,120.0,120.0,,,,,,,17992.0,269655.0,269655.0
2010-01-01,0.0,178.0,178.0,,,,,,,17340.0,272361.0,272361.0
2010-02-01,0.0,0.0,0.0,,,,,,,10688.0,177728.0,177728.0
2010-03-01,0.0,57.0,57.0,,,,,,,14792.0,233234.0,233234.0
2010-04-01,0.0,178.0,178.0,,,,,,,16764.0,261663.0,261663.0
2010-05-01,0.0,120.0,120.0,,,,,,,15834.0,262041.0,262041.0
2010-06-01,0.0,172.0,172.0,,,,,,,31740.0,514992.0,514992.0
2010-07-01,0.0,149.0,149.0,,,,,,,25096.0,416052.0,416052.0
2010-08-01,0.0,103.0,103.0,,,,,,,34744.0,538370.0,538370.0
2010-09-01,0.0,195.0,195.0,,,,,,,31157.0,471882.0,471882.0
2010-10-01,0.0,241.0,241.0,,,,,,,24376.0,358030.0,358030.0
2010-11-01,0.0,178.0,178.0,,,,,,,17704.0,284258.0,284258.0
2010-12-01,0.0,86.0,86.0,0.0,0.0,0.0,,,,13915.0,224218.0,224218.0
2011-01-01,0.0,57.0,57.0,0.0,0.0,0.0,,,,12079.0,195217.0,195217.0
2011-02-01,0.0,92.0,92.0,0.0,0.0,0.0,,,,16075.0,264263.0,264263.0
2011-03-01,0.0,29.0,29.0,,,,,,,19905.0,318309.0,318309.0
2011-04-01,0.0,149.0,149.0,0.0,0.0,0.0,,,,11462.0,186568.0,186568.0
2011-05-01,0.0,149.0,149.0,0.0,0.0,0.0,,,,16264.0,271587.0,271587.0
2011-06-01,0.0,178.0,178.0,0.0,0.0,0.0,,,,23024.0,379651.0,379651.0
2011-07-01,0.0,57.0,57.0,0.0,0.0,0.0,,,,51104.0,759407.0,759407.0
2011-08-01,0.0,57.0,57.0,,,,,,,46308.0,692870.0,692870.0
2011-09-01,0.0,223.0,223.0,0.0,0.0,0.0,,,,22204.0,339143.0,339143.0
2011-10-01,0.0,241.0,241.0,0.0,0.0,0.0,,,,17286.0,274297.0,274297.0
2011-11-01,0.0,121.0,121.0,0.0,0.0,0.0,,,,12548.0,203634.0,203634.0
2011-12-01,0.0,58.0,58.0,0.0,0.0,0.0,,,,17916.0,277890.0,277890.0
2012-01-01,0.0,179.0,179.0,0.0,0.0,0.0,,,,13234.0,209667.0,209667.0
2012-02-01,0.0,121.0,121.0,0.0,0.0,0.0,,,,13021.0,190082.0,190082.0
2012-03-01,0.0,300.0,300.0,0.0,0.0,0.0,,,,17371.0,268323.0,268323.0
2012-04-01,0.0,63.0,63.0,,,,,,,25258.0,363245.0,363245.0
2012-05-01,0.0,294.0,294.0,0.0,0.0,0.0,,,,18441.0,310362.0,310362.0
2012-06-01,0.0,364.0,364.0,0.0,0.0,0.0,,,,25498.0,409753.0,409753.0
2012-07-01,0.0,248.0,248.0,,,,,,,28053.0,431765.0,431765.0
2012-08-01,0.0,294.0,294.0,,,,,,,30118.0,451071.0,451071.0
2012-09-01,0.0,156.0,156.0,,,,,,,24582.0,418621.0,418621.0
2012-10-01,0.0,277.0,277.0,,,,,,,15216.0,246520.0,246520.0
2012-11-01,0.0,0.0,0.0,,,,,,,13345.0,209761.0,209761.0
2012-12-01,0.0,81.0,81.0,,,,,,,12392.0,185418.0,185418.0
2013-01-01,0.0,566.0,566.0,0.0,0.0,0.0,,,,13644.0,204182.0,204182.0
2013-02-01,0.0,0.0,0.0,10.358,144.0,144.0,,,,15371.642,214069.0,214069.0
2013-03-01,0.0,462.0,462.0,0.0,0.0,0.0,,,,17543.0,261981.0,261981.0
2013-04-01,0.0,121.0,121.0,0.0,0.0,0.0,,,,14606.0,223755.0,223755.0
2013-05-01,0.0,92.0,92.0,0.0,0.0,0.0,,,,13687.0,217528.0,217528.0
2013-06-01,0.0,185.0,185.0,0.0,0.0,0.0,,,,16439.0,265467.0,265467.0
2013-07-01,0.0,156.0,156.0,0.0,0.0,0.0,,,,17915.0,287465.0,287465.0
2013-08-01,0.0,92.0,92.0,0.0,0.0,0.0,,,,19303.0,303784.0,303784.0
2013-09-01,0.0,92.0,92.0,0.0,0.0,0.0,,,,18348.0,280579.0,280579.0
2013-10-01,0.0,0.0,0.0,10.998,179.0,179.0,,,,16881.002,274595.0,274595.0
2013-11-01,0.0,150.0,150.0,0.0,0.0,0.0,,,,14761.0,224403.0,224403.0
2013-12-01,0.0,173.0,173.0,0.0,0.0,0.0,,,,13369.0,211313.0,211313.0
2014-01-01,0.0,150.0,150.0,0.0,0.0,0.0,,,,16630.0,266181.0,266181.0
2014-02-01,0.0,156.0,156.0,0.0,0.0,0.0,,,,15436.0,234286.0,234286.0
2014-03-01,0.0,0.0,0.0,,,,,,,18234.0,258420.0,258420.0
2014-04-01,0.0,231.0,231.0,,,,,,,15583.0,227418.0,227418.0
2014-05-01,0.0,150.0,150.0,0.0,0.0,0.0,,,,13508.0,199566.0,199566.0
2014-06-01,0.0,162.0,162.0,0.0,0.0,0.0,,,,13594.0,208472.0,208472.0
2014-07-01,0.0,162.0,162.0,0.0,0.0,0.0,,,,16058.0,247861.0,247861.0
2014-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,18899.0,287015.0,287015.0
2014-09-01,0.0,0.0,0.0,11.316,160.0,160.0,,,,21200.684,299023.0,299023.0
2014-10-01,0.0,0.0,0.0,5.967,87.0,87.0,,,,18124.033,262909.0,262909.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,15599.0,226878.0,226878.0
2014-12-01,0.0,0.0,0.0,11.373,185.0,185.0,,,,13963.627,226691.0,226691.0
2015-01-01,0.0,0.0,0.0,4.837,75.0,75.0,,,,15683.163,243249.0,243249.0
2015-02-01,0.0,144.0,144.0,0.0,0.0,0.0,,,,14293.0,212018.0,212018.0
2015-03-01,0.0,98.0,98.0,0.0,0.0,0.0,,,,17388.0,259696.0,259696.0
2015-04-01,0.0,150.0,150.0,0.0,0.0,0.0,,,,16022.0,224853.0,224853.0
2015-05-01,0.0,58.0,58.0,0.0,0.0,0.0,,,,15177.0,231791.0,231791.0
2015-06-01,0.0,150.0,150.0,0.0,0.0,0.0,,,,18447.0,310860.0,310860.0
2015-07-01,0.0,63.0,63.0,0.0,0.0,0.0,,,,29331.0,410985.0,410985.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,24910.0,392372.0,392372.0
2015-09-01,0.0,0.0,0.0,10.748,162.0,162.0,,,,21227.252,319124.0,319124.0
2015-10-01,0.0,167.0,167.0,0.0,0.0,0.0,,,,19548.0,286212.0,286212.0
2015-11-01,0.0,237.0,237.0,0.0,0.0,0.0,,,,16908.0,236754.0,236754.0
2015-12-01,0.0,133.0,133.0,,,,,,,14640.0,224506.0,224506.0
2016-01-01,0.0,156.0,156.0,0.0,0.0,0.0,,,,12865.0,205688.0,205688.0
2016-02-01,0.0,46.0,46.0,0.0,0.0,0.0,,,,8355.0,168326.0,168326.0
2016-03-01,0.0,167.0,167.0,0.0,0.0,0.0,,,,27352.0,316608.0,316608.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16500.0,235598.0,235598.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16661.0,246161.0,246161.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28041.0,402086.0,402086.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,26961.0,419434.0,419434.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,28922.0,435251.0,435251.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,27618.0,404902.0,404902.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,13103.0,207963.0,207963.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16495.0,247043.0,247043.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,15080.0,236257.0,236257.0
2017-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16105.0,228525.0,228525.0
2017-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,13449.0,196725.0,196725.0
2017-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17801.0,263960.0,263960.0
2017-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19607.0,269057.0,269057.0
2017-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16194.0,248535.0,248535.0
2017-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17146.0,263660.0,263660.0
2017-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,43917.0,578524.0,578524.0
2017-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27136.0,385991.0,385991.0
2017-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,20641.0,307145.0,307145.0
2017-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,18711.0,275878.0,275878.0
2017-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19862.0,266698.0,266698.0
2017-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17543.0,242617.0,242617.0
2018-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,20996.0,303464.0,303464.0
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16683.0,235379.0,235379.0
2018-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,30115.0,370050.0,370050.0
2018-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27073.0,349091.0,349091.0
2018-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,31194.0,434398.0,434398.0
2018-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,67319.0,852399.0,852399.0
2018-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,75381.0,920590.0,920590.0
2018-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,44009.0,562274.0,562274.0
2018-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,30044.0,406613.0,406613.0
2018-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,48064.0,589529.0,589529.0
2018-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,26871.0,351749.0,351749.0
2018-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,13280.0,181863.0,181863.0
2019-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17942.0,265683.0,265683.0
2019-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,18178.0,253011.0,253011.0
2019-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,24032.0,339016.0,339016.0
2019-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,25462.0,340248.0,340248.0
2019-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,65739.0,798632.0,798632.0
2019-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,37640.0,498212.0,498212.0
2019-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28484.0,424450.0,424450.0
2019-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28903.0,430617.0,430617.0
2019-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,29319.0,425774.0,425774.0
2019-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,20203.0,363697.0,363697.0
2019-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,23201.0,316253.0,316253.0
2019-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,14154.0,207874.0,207874.0
2020-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,14019.0,210415.0,210415.0
2020-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17118.0,250800.0,250800.0
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,20810.0,305992.0,305992.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,18127.0,266441.0,266441.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17665.0,276120.0,276120.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,22746.0,338686.0,338686.0
2020-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,32870.0,485807.0,485807.0
2020-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,17470.0,269224.0,269224.0
2020-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,12400.0,190907.0,190907.0
2020-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,30607.0,399360.0,399360.0
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,15904.0,252914.0,252914.0
2020-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,12309.0,187541.0,187541.0
2021-01-01,,,,4.854,75.0,75.0,0.0,0.0,0.0,15988.146,247071.0,247071.0
2021-02-01,,,,6.874,92.0,92.0,0.0,0.0,0.0,23889.126,320823.0,320823.0
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,13515.0,185931.0,185931.0
2021-04-01,,,,2.278,35.0,35.0,0.0,0.0,0.0,15407.722,234182.0,234182.0
2021-05-01,,,,5.271,75.0,75.0,0.0,0.0,0.0,8337.729,118659.0,118659.0
2021-06-01,,,,5.264,87.0,87.0,0.0,0.0,0.0,7795.736,128182.0,128182.0
2021-07-01,,,,12.883,190.0,190.0,0.0,0.0,0.0,19026.117,281194.0,281194.0
2021-08-01,,,,10.897,127.0,127.0,0.0,0.0,0.0,13907.103,162008.0,162008.0
2021-09-01,,,,10.02,144.0,144.0,0.0,0.0,0.0,16938.98,243860.0,243860.0
2021-10-01,,,,14.004,190.0,190.0,0.0,0.0,0.0,27279.996,370917.0,370917.0
2021-11-01,,,,9.478,138.0,138.0,0.0,0.0,0.0,9278.522,135564.0,135564.0
2021-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,,,,16.412,254.0,254.0,0.0,0.0,0.0,6358.588,98363.0,98363.0
2022-02-01,,,,9.623,150.0,150.0,0.0,0.0,0.0,7665.377,119502.0,119502.0
2022-03-01,,,,10.085,150.0,150.0,0.0,0.0,0.0,13303.915,197897.0,197897.0
2022-04-01,,,,12.379,173.0,173.0,0.0,0.0,0.0,12957.621,181193.0,181193.0
2022-05-01,,,,12.125,162.0,162.0,0.0,0.0,0.0,9353.875,124639.0,124639.0
2022-06-01,,,,5.946,81.0,81.0,0.0,0.0,0.0,21072.054,286268.0,286268.0
2022-07-01,,,,14.54,196.0,196.0,0.0,0.0,0.0,43844.46,591587.0,591587.0
2022-08-01,,,,8.154,110.0,110.0,0.0,0.0,0.0,45813.846,615965.0,615965.0
2022-09-01,,,,9.489,138.0,138.0,0.0,0.0,0.0,18575.511,271083.0,271083.0
2022-10-01,,,,48.483,644.0,644.0,0.0,0.0,0.0,37641.517,500257.0,500257.0
2022-11-01,,,,6.841,92.0,92.0,0.0,0.0,0.0,18346.159,247584.0,247584.0
2022-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,26940.0,367966.0,367966.0
2023-01-01,,,,32.702,537.0,537.0,0.0,0.0,0.0,8370.298,137350.0,137350.0
2023-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16645.0,214297.0,214297.0
2023-03-01,,,,11.367,173.0,173.0,0.0,0.0,0.0,7772.633,118362.0,118362.0
2023-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19203.0,203346.0,203346.0
2023-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,12127.0,175115.0,175115.0
2023-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27991.0,374201.0,374201.0
2023-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,18192.0,255859.0,255859.0
2023-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,35838.0,468739.0,468739.0
2023-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27764.0,363591.0,363591.0
2023-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,23416.0,307628.0,307628.0
2023-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,16059.0,217458.0,217458.0
2023-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,895.0,9350.0,9350.0
2024-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,14215.0,190982.0,190982.0
2024-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,4633.0,76806.0,76806.0
2024-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,26264.0,337692.0,337692.0
2024-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28306.0,373735.0,373735.0
2024-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,51256.0,639928.0,639928.0
2024-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,35415.0,476522.0,476522.0
2024-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,53548.0,684743.0,684743.0
2024-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,52051.0,692013.0,692013.0
2024-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,55112.0,707060.0,707060.0
2024-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28172.0,349478.0,349478.0
2024-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,22505.0,284813.0,284813.0
2024-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,13058.0,176378.0,176378.0
