measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2012-01-01,8.256,115.0,115.0,2595.697,36158.0,36158.0,9937.047,138424.0,138424.0
2012-02-01,41.729,572.0,572.0,2107.424,28888.0,28888.0,8040.847,110221.0,110221.0
2012-03-01,7.33,103.0,103.0,2515.81,35354.0,35354.0,9573.86,134537.0,134537.0
2012-04-01,1.471,20.0,20.0,2598.902,35326.0,35326.0,9205.627,125128.0,125128.0
2012-05-01,40.056,522.0,522.0,1965.463,25613.0,25613.0,7322.481,95424.0,95424.0
2012-06-01,0.163,2.0,2.0,2596.868,31940.0,31940.0,9358.969,115111.0,115111.0
2012-07-01,26.927,326.0,326.0,2406.747,29138.0,29138.0,8944.326,108285.0,108285.0
2012-08-01,2.967,36.0,36.0,2559.531,31052.0,31052.0,9713.502,117844.0,117844.0
2012-09-01,38.679,473.0,473.0,2362.23,28888.0,28888.0,8595.091,105110.0,105110.0
2012-10-01,3.386,41.0,41.0,2328.347,28194.0,28194.0,10022.267,121360.0,121360.0
2012-11-01,23.088,275.0,275.0,2343.791,27917.0,27917.0,9586.121,114179.0,114179.0
2012-12-01,19.436,245.0,245.0,2408.382,30359.0,30359.0,9870.182,124417.0,124417.0
2013-01-01,12.612,152.0,152.0,2447.632,29498.0,29498.0,9803.756,118152.0,118152.0
2013-02-01,22.583,296.0,296.0,2269.639,29748.0,29748.0,8282.778,108562.0,108562.0
2013-03-01,42.669,527.0,527.0,2253.533,27833.0,27833.0,8583.798,106018.0,106018.0
2013-04-01,4.986,62.0,62.0,2227.293,27695.0,27695.0,9093.721,113073.0,113073.0
2013-05-01,106.873,1190.0,1190.0,1074.141,11960.0,11960.0,4019.986,44761.0,44761.0
2013-06-01,19.989,208.0,208.0,2272.122,23643.0,23643.0,8758.889,91142.0,91142.0
2013-07-01,0.189,2.0,2.0,2449.68,25946.0,25946.0,9588.131,101555.0,101555.0
2013-08-01,17.123,181.0,181.0,2325.978,24587.0,24587.0,9407.899,99445.0,99445.0
2013-09-01,0.856,9.0,9.0,2596.117,27306.0,27306.0,9131.027,96040.0,96040.0
2013-10-01,32.412,340.0,340.0,2399.393,25169.0,25169.0,8342.195,87508.0,87508.0
2013-11-01,18.866,215.0,215.0,2517.801,28694.0,28694.0,9828.333,112006.0,112006.0
2013-12-01,26.292,323.0,323.0,2509.557,30830.0,30830.0,10081.151,123848.0,123848.0
2014-01-01,0.0,0.0,0.0,2661.536,30847.0,30847.0,9984.464,115719.0,115719.0
2014-02-01,0.0,0.0,0.0,2358.836,28222.0,28222.0,9005.164,107740.0,107740.0
2014-03-01,0.0,0.0,0.0,2690.656,31524.0,31524.0,9824.344,115103.0,115103.0
2014-04-01,37.348,434.0,434.0,2294.926,26668.0,26668.0,9392.726,109146.0,109146.0
2014-05-01,23.784,264.0,264.0,1562.542,17344.0,17344.0,7254.674,80525.0,80525.0
2014-06-01,3.666,38.0,38.0,2369.495,24559.0,24559.0,9709.839,100638.0,100638.0
2014-07-01,4.049,42.0,42.0,2456.027,25475.0,25475.0,9982.924,103545.0,103545.0
2014-08-01,2.45,26.0,26.0,2256.967,23948.0,23948.0,9947.583,105552.0,105552.0
2014-09-01,50.562,538.0,538.0,2349.805,25003.0,25003.0,8574.633,91237.0,91237.0
2014-10-01,11.812,128.0,128.0,2476.296,26834.0,26834.0,10037.892,108775.0,108775.0
2014-11-01,24.604,286.0,286.0,2363.387,27473.0,27473.0,9902.009,115103.0,115103.0
2014-12-01,9.986,120.0,120.0,2459.334,29554.0,29554.0,10502.68,126210.0,126210.0
2015-01-01,20.672,254.0,254.0,2637.917,32412.0,32412.0,9950.411,122260.0,122260.0
2015-02-01,0.0,0.0,0.0,2641.15,31136.0,31136.0,9365.85,110410.0,110410.0
2015-03-01,47.274,560.0,560.0,2637.772,31247.0,31247.0,9251.954,109597.0,109597.0
2015-04-01,38.318,454.0,454.0,2815.247,33356.0,33356.0,9251.435,109613.0,109613.0
2015-05-01,39.357,465.0,465.0,2268.89,26807.0,26807.0,7436.753,87864.0,87864.0
2015-06-01,7.147,78.0,78.0,2509.535,27389.0,27389.0,9660.318,105433.0,105433.0
2015-07-01,0.0,0.0,0.0,2654.672,28166.0,28166.0,9735.328,103293.0,103293.0
2015-08-01,71.789,753.0,753.0,2619.162,27473.0,27473.0,9108.049,95535.0,95535.0
2015-09-01,28.649,303.0,303.0,2600.159,27500.0,27500.0,9498.192,100456.0,100456.0
2015-10-01,22.953,236.0,236.0,2707.053,27833.0,27833.0,10089.994,103743.0,103743.0
2015-11-01,26.103,294.0,294.0,2811.241,31663.0,31663.0,9627.656,108435.0,108435.0
2015-12-01,176.352,2067.0,2067.0,2573.553,30164.0,30164.0,9980.095,116975.0,116975.0
2016-01-01,15.812,188.0,188.0,2700.453,32107.0,32107.0,10206.735,121352.0,121352.0
