measured_on,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combined Cycle Combustion Turbine Part - Municipal Landfill Gas - Total Fuel Consumed,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combined Cycle Steam Part - Municipal Landfill Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2006-03-01,4165.862,90055.0,90055.0,1408.698,0.0,0.0,,,
2006-04-01,3065.0660000000003,66259.0,66259.0,1036.461,0.0,0.0,,,
2006-05-01,3747.304,81007.0,81007.0,1267.162,0.0,0.0,,,
2006-06-01,3925.449,84858.0,84858.0,1327.402,0.0,0.0,,,
2006-07-01,4073.9640000000004,88069.0,88069.0,1377.623,0.0,0.0,,,
2006-08-01,4049.465,87539.0,87539.0,1369.338,0.0,0.0,,,
2006-09-01,3873.409,83733.0,83733.0,1309.805,0.0,0.0,,,
2006-10-01,4019.3340000000003,86888.0,86888.0,1359.1490000000001,0.0,0.0,,,
2006-11-01,4059.4770000000003,87755.0,87755.0,1372.7240000000002,0.0,0.0,,,
2006-12-01,3911.478,84556.0,84556.0,1322.678,0.0,0.0,,,
2007-01-01,4595.6140000000005,95382.0,95382.0,1292.078,0.0,0.0,,,
2007-02-01,4147.303,86077.0,86077.0,1211.086,0.0,0.0,,,
2007-03-01,4295.153,89145.0,89145.0,1214.044,0.0,0.0,,,
2007-04-01,3507.092,72789.0,72789.0,1265.334,0.0,0.0,,,
2007-05-01,3494.64,72531.0,72531.0,1427.296,0.0,0.0,,,
2007-06-01,4611.568,95713.0,95713.0,1520.0890000000002,0.0,0.0,,,
2007-07-01,4695.486,97454.0,97454.0,1620.488,0.0,0.0,,,
2007-08-01,4643.419,96373.0,96373.0,1744.748,0.0,0.0,,,
2007-09-01,4341.176,90100.0,90100.0,1559.174,0.0,0.0,,,
2007-10-01,3947.3390000000004,81926.0,81926.0,1478.823,0.0,0.0,,,
2007-11-01,4116.265,85432.0,85432.0,1205.142,0.0,0.0,,,
2007-12-01,4964.943,103047.0,103047.0,1288.6970000000001,0.0,0.0,,,
2008-01-01,5291.298000000001,99505.0,99505.0,674.693,0.0,0.0,,,
2008-02-01,4462.47,83919.0,83919.0,569.01,0.0,0.0,,,
2008-03-01,5261.877,98952.0,98952.0,670.943,0.0,0.0,,,
2008-04-01,5634.9980000000005,105969.0,105969.0,718.519,0.0,0.0,,,
2008-05-01,4954.24,93167.0,93167.0,631.716,0.0,0.0,,,
2008-06-01,4530.352,85195.0,85195.0,577.666,0.0,0.0,,,
2008-07-01,4587.351000000001,86268.0,86268.0,584.9340000000001,0.0,0.0,,,
2008-08-01,4314.463000000001,81136.0,81136.0,550.138,0.0,0.0,,,
2008-09-01,4088.25,76882.0,76882.0,521.293,0.0,0.0,,,
2008-10-01,4236.0560000000005,79661.0,79661.0,540.14,0.0,0.0,,,
2008-11-01,4600.153,86508.0,86508.0,586.566,0.0,0.0,,,
2008-12-01,5406.492,101672.0,101672.0,689.3820000000001,0.0,0.0,,,
2009-01-01,5084.877,95028.0,95028.0,492.408,0.0,0.0,,,
2009-02-01,4377.765,81814.0,81814.0,423.932,0.0,0.0,,,
2009-03-01,5010.518,93639.0,93639.0,485.206,0.0,0.0,,,
2009-04-01,4548.509,85004.0,85004.0,440.466,0.0,0.0,,,
2009-05-01,3513.199,65657.0,65657.0,340.209,0.0,0.0,,,
2009-06-01,4320.76,80748.0,80748.0,418.411,0.0,0.0,,,
2009-07-01,4408.264,82384.0,82384.0,426.885,0.0,0.0,,,
2009-08-01,4683.44,87526.0,87526.0,453.53200000000004,0.0,0.0,,,
2009-09-01,4203.272,78553.0,78553.0,407.034,0.0,0.0,,,
2009-10-01,4194.243,78384.0,78384.0,406.16,0.0,0.0,,,
2009-11-01,4434.976000000001,82883.0,82883.0,429.47200000000004,0.0,0.0,,,
2009-12-01,5259.177000000001,98286.0,98286.0,509.285,0.0,0.0,,,
2010-01-01,4959.791,99047.0,99047.0,1181.092,0.0,0.0,,,
2010-02-01,4377.318,87416.0,87416.0,1042.387,0.0,0.0,,,
2010-03-01,4759.354,95045.0,95045.0,1133.362,0.0,0.0,,,
2010-04-01,4365.6230000000005,87182.0,87182.0,1039.602,0.0,0.0,,,
2010-05-01,4020.42,80288.0,80288.0,957.397,0.0,0.0,,,
2010-06-01,3807.5220000000004,76037.0,76037.0,906.6990000000001,0.0,0.0,,,
2010-07-01,4234.969,84573.0,84573.0,1008.489,0.0,0.0,,,
2010-08-01,3983.51,79551.0,79551.0,948.6080000000001,0.0,0.0,,,
2010-09-01,3686.5040000000004,73620.0,73620.0,877.8810000000001,0.0,0.0,,,
2010-10-01,4402.0960000000005,87910.0,87910.0,1048.287,0.0,0.0,,,
2010-11-01,4534.52,90555.0,90555.0,1079.8220000000001,0.0,0.0,,,
2010-12-01,4948.3730000000005,98820.0,98820.0,1178.374,0.0,0.0,,,
2011-01-01,4669.107,91333.0,91333.0,1135.127,0.0,0.0,,,
2011-02-01,4145.826,81097.0,81097.0,1007.909,0.0,0.0,,,
2011-03-01,4549.549,88994.0,88994.0,1106.06,0.0,0.0,,,
2011-04-01,3981.372,77880.0,77880.0,967.928,0.0,0.0,,,
2011-05-01,3828.395,74888.0,74888.0,930.737,0.0,0.0,,,
2011-06-01,3835.277,75022.0,75022.0,932.411,0.0,0.0,,,
2011-07-01,4224.057,82627.0,82627.0,1026.928,0.0,0.0,,,
2011-08-01,4076.87,79748.0,79748.0,991.145,0.0,0.0,,,
2011-09-01,3755.826,73468.0,73468.0,913.095,0.0,0.0,,,
2011-10-01,4245.982,83056.0,83056.0,1032.259,0.0,0.0,,,
2011-11-01,4779.053,93484.0,93484.0,1161.856,0.0,0.0,,,
2011-12-01,5028.686,98367.0,98367.0,1222.545,0.0,0.0,,,
2012-01-01,3629.052,61469.0,61469.0,525.368,0.0,0.0,,,
2012-02-01,3545.495,60054.0,60054.0,513.271,0.0,0.0,,,
2012-03-01,3808.47,64508.0,64508.0,551.341,0.0,0.0,,,
2012-04-01,3653.411,61882.0,61882.0,528.894,0.0,0.0,,,
2012-05-01,3434.468,58173.0,58173.0,497.198,0.0,0.0,,,
2012-06-01,3119.308,52835.0,52835.0,451.573,0.0,0.0,,,
2012-07-01,3411.357,57782.0,57782.0,493.852,0.0,0.0,,,
2012-08-01,3206.617,54314.0,54314.0,464.213,0.0,0.0,,,
2012-09-01,2885.908,48882.0,48882.0,417.784,0.0,0.0,,,
2012-10-01,3507.927,59418.0,59418.0,507.832,0.0,0.0,,,
2012-11-01,3824.512,64780.0,64780.0,553.664,0.0,0.0,,,
2012-12-01,4158.475,70437.0,70437.0,602.01,0.0,0.0,,,
2013-01-01,4026.0,77619.0,77619.0,0.0,0.0,0.0,,,
2013-02-01,3980.0,77090.0,77090.0,0.0,0.0,0.0,,,
2013-03-01,4298.0,82242.0,82242.0,0.0,0.0,0.0,,,
2013-04-01,4279.0,81495.0,81495.0,0.0,0.0,0.0,,,
2013-05-01,4280.0,81075.0,81075.0,0.0,0.0,0.0,,,
2013-06-01,4547.0,86845.0,86845.0,0.0,0.0,0.0,,,
2013-07-01,4784.0,91286.0,91286.0,0.0,0.0,0.0,,,
2013-08-01,4578.0,89366.0,89366.0,0.0,0.0,0.0,,,
2013-09-01,4380.0,87145.0,87145.0,0.0,0.0,0.0,,,
2013-10-01,4093.0,81661.0,81661.0,0.0,0.0,0.0,,,
2013-11-01,3947.0,80846.0,80846.0,0.0,0.0,0.0,,,
2013-12-01,4052.0,101906.0,101906.0,0.0,0.0,0.0,,,
2014-01-01,3982.0,82984.0,82984.0,0.0,0.0,0.0,,,
2014-02-01,2667.0,59202.0,59202.0,0.0,0.0,0.0,,,
2014-03-01,3063.0,63749.0,63749.0,0.0,0.0,0.0,,,
2014-04-01,3864.0,79190.0,79190.0,0.0,0.0,0.0,,,
2014-05-01,3826.0,79456.0,79456.0,0.0,0.0,0.0,,,
2014-06-01,3354.0,70163.0,70163.0,0.0,0.0,0.0,,,
2014-07-01,3718.0,75303.0,75303.0,0.0,0.0,0.0,,,
2014-08-01,3547.0,75456.0,75456.0,0.0,0.0,0.0,,,
2014-09-01,3890.0,79832.0,79832.0,0.0,0.0,0.0,,,
2014-10-01,4334.0,86850.0,86850.0,0.0,0.0,0.0,,,
2014-11-01,1237.0,26306.0,26306.0,0.0,0.0,0.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-01-01,3771.0,76382.0,76382.0,0.0,0.0,0.0,,,
2015-02-01,3500.0,71363.0,71363.0,0.0,0.0,0.0,,,
2015-03-01,3798.0,77689.0,77689.0,0.0,0.0,0.0,,,
2015-04-01,3653.0,77282.0,77282.0,0.0,0.0,0.0,,,
2015-05-01,3388.0,75683.0,75683.0,0.0,0.0,0.0,,,
2015-06-01,3276.0,71694.0,71694.0,0.0,0.0,0.0,,,
2015-07-01,3024.0,60752.0,60752.0,0.0,0.0,0.0,,,
2015-08-01,3693.0,71003.0,71003.0,0.0,0.0,0.0,,,
2015-09-01,4123.0,82434.0,82434.0,0.0,0.0,0.0,,,
2015-10-01,4311.0,85781.0,85781.0,0.0,0.0,0.0,,,
2015-11-01,3756.0,75509.0,75509.0,0.0,0.0,0.0,,,
2015-12-01,3940.0,81360.0,81360.0,0.0,0.0,0.0,,,
2016-01-01,3685.0,70730.0,70730.0,0.0,0.0,0.0,,,
2016-02-01,2715.0,65241.0,65241.0,0.0,0.0,0.0,,,
2016-03-01,3134.0,65388.0,65388.0,0.0,0.0,0.0,,,
2016-04-01,3584.0,73015.0,73015.0,0.0,0.0,0.0,,,
2016-05-01,3509.0,77036.0,77036.0,0.0,0.0,0.0,,,
2016-06-01,3761.0,80240.0,80240.0,0.0,0.0,0.0,,,
2016-07-01,3930.0,84081.0,84081.0,0.0,0.0,0.0,,,
2016-08-01,3764.0,82160.0,82160.0,0.0,0.0,0.0,,,
2016-09-01,3304.0,72957.0,72957.0,0.0,0.0,0.0,,,
2016-10-01,3518.0,76926.0,76926.0,0.0,0.0,0.0,,,
2016-11-01,3498.0,75982.0,75982.0,0.0,0.0,0.0,,,
2016-12-01,3350.0,74209.0,74209.0,0.0,0.0,0.0,,,
2017-01-01,3333.0,69940.0,69940.0,0.0,0.0,0.0,,,
2017-02-01,3143.0,68918.0,68918.0,0.0,0.0,0.0,,,
2017-03-01,3024.0,66159.0,66159.0,0.0,0.0,0.0,,,
2017-04-01,2100.0,46552.0,46552.0,0.0,0.0,0.0,,,
2017-05-01,3508.0,62249.0,62249.0,0.0,0.0,0.0,,,
2017-06-01,3762.0,74635.0,74635.0,0.0,0.0,0.0,,,
2017-07-01,2570.0,55977.0,55977.0,0.0,0.0,0.0,,,
2017-08-01,3764.0,80209.0,80209.0,0.0,0.0,0.0,,,
2017-09-01,3304.0,77265.0,77265.0,0.0,0.0,0.0,,,
2017-10-01,3519.0,76649.0,76649.0,0.0,0.0,0.0,,,
2017-11-01,3359.0,73332.0,73332.0,0.0,0.0,0.0,,,
2017-12-01,3350.0,61419.0,61419.0,0.0,0.0,0.0,,,
2018-01-01,3535.0,77000.0,77000.0,0.0,0.0,0.0,,,
2018-02-01,3058.0,65296.0,65296.0,0.0,0.0,0.0,,,
2018-03-01,3413.0,73202.0,73202.0,0.0,0.0,0.0,,,
2018-04-01,3910.0,79918.0,79918.0,0.0,0.0,0.0,,,
2018-05-01,4144.0,83529.0,83529.0,0.0,0.0,0.0,,,
2018-06-01,4483.0,87820.0,87820.0,0.0,0.0,0.0,,,
2018-07-01,4586.0,91512.0,91512.0,0.0,0.0,0.0,,,
2018-08-01,4392.0,87754.0,87754.0,0.0,0.0,0.0,,,
2018-09-01,471.0,9665.0,9665.0,0.0,0.0,0.0,,,
2018-10-01,4143.0,82127.0,82127.0,0.0,0.0,0.0,,,
2018-11-01,4060.0,82062.0,82062.0,0.0,0.0,0.0,,,
2018-12-01,3958.0,83526.0,83526.0,0.0,0.0,0.0,,,
2019-01-01,3536.0,86167.0,86167.0,0.0,0.0,0.0,,,
2019-02-01,3979.0,80055.0,80055.0,0.0,0.0,0.0,,,
2019-03-01,4642.0,91626.0,91626.0,0.0,0.0,0.0,,,
2019-04-01,4250.0,84991.0,84991.0,0.0,0.0,0.0,,,
2019-05-01,4144.0,88617.0,88617.0,0.0,0.0,0.0,,,
2019-06-01,4483.0,86332.0,86332.0,0.0,0.0,0.0,,,
2019-07-01,4587.0,87215.0,87215.0,0.0,0.0,0.0,,,
2019-08-01,4393.0,89900.0,89900.0,0.0,0.0,0.0,,,
2019-09-01,4370.0,88867.0,88867.0,0.0,0.0,0.0,,,
2019-10-01,4440.0,89296.0,89296.0,0.0,0.0,0.0,,,
2019-11-01,4352.0,87472.0,87472.0,0.0,0.0,0.0,,,
2019-12-01,4426.0,88173.0,88173.0,0.0,0.0,0.0,,,
2020-01-01,4406.0,88588.0,88588.0,0.0,0.0,0.0,,,
2020-02-01,2941.0,58462.0,58462.0,0.0,0.0,0.0,,,
2020-03-01,3646.0,75121.0,75121.0,0.0,0.0,0.0,,,
2020-04-01,3500.0,71967.0,71967.0,0.0,0.0,0.0,,,
2020-05-01,4396.0,88479.0,88479.0,0.0,0.0,0.0,,,
2020-06-01,4248.0,86248.0,86248.0,0.0,0.0,0.0,,,
2020-07-01,4543.0,91076.0,91076.0,0.0,0.0,0.0,,,
2020-08-01,4386.0,90256.0,90256.0,0.0,0.0,0.0,,,
2020-09-01,4305.0,88173.0,88173.0,0.0,0.0,0.0,,,
2020-10-01,4537.0,90837.0,90837.0,0.0,0.0,0.0,,,
2020-11-01,4067.0,79775.0,79775.0,0.0,0.0,0.0,,,
2020-12-01,3846.0,81908.0,81908.0,0.0,0.0,0.0,,,
2021-01-01,4406.0,72649.0,72649.0,0.0,0.0,0.0,,,
2021-02-01,2942.0,71164.0,71164.0,0.0,0.0,0.0,,,
2021-03-01,3645.0,85572.0,85572.0,0.0,0.0,0.0,,,
2021-04-01,3501.0,76696.0,76696.0,0.0,0.0,0.0,,,
2021-05-01,4396.0,80190.0,80190.0,0.0,0.0,0.0,,,
2021-06-01,4249.0,78614.0,78614.0,0.0,0.0,0.0,,,
2021-07-01,4544.0,79530.0,79530.0,0.0,0.0,0.0,,,
2021-08-01,4387.0,80597.0,80597.0,0.0,0.0,0.0,,,
2021-09-01,4306.0,72041.0,72041.0,0.0,0.0,0.0,,,
2021-10-01,5564.0,77152.0,77152.0,0.0,0.0,0.0,,,
2021-11-01,4067.0,71209.0,71209.0,0.0,0.0,0.0,,,
2021-12-01,2557.0,60775.0,60775.0,0.0,0.0,0.0,,,
2022-01-01,2715.0,66775.0,66775.0,0.0,0.0,0.0,,,
2022-02-01,2893.0,70934.0,70934.0,0.0,0.0,0.0,,,
2022-03-01,3368.0,77977.0,77977.0,0.0,0.0,0.0,,,
2022-04-01,3461.0,77472.0,77472.0,0.0,0.0,0.0,,,
2022-05-01,3927.0,84115.0,84115.0,0.0,0.0,0.0,,,
2022-06-01,3864.0,81207.0,81207.0,0.0,0.0,0.0,,,
2022-07-01,4301.0,90261.0,90261.0,0.0,0.0,0.0,,,
2022-08-01,4252.0,87875.0,87875.0,0.0,0.0,0.0,,,
2022-09-01,4105.0,84206.0,84206.0,0.0,0.0,0.0,,,
2022-10-01,4351.0,88537.0,88537.0,0.0,0.0,0.0,,,
2022-11-01,3635.0,78751.0,78751.0,0.0,0.0,0.0,,,
2022-12-01,3326.0,76827.0,76827.0,0.0,0.0,0.0,,,
2023-01-01,2572.0,63924.0,63924.0,0.0,0.0,0.0,,,
2023-02-01,2544.0,59064.0,59064.0,0.0,0.0,0.0,,,
2023-03-01,3348.0,76678.0,76678.0,0.0,0.0,0.0,,,
2023-04-01,3000.0,72215.0,72215.0,0.0,0.0,0.0,,,
2023-05-01,2933.0,71028.0,71028.0,0.0,0.0,0.0,,,
2023-06-01,3271.0,74763.0,74763.0,0.0,0.0,0.0,,,
2023-07-01,3716.0,80069.0,80069.0,0.0,0.0,0.0,,,
2023-08-01,3854.0,80872.0,80872.0,0.0,0.0,0.0,,,
2023-09-01,3842.0,79933.0,79933.0,0.0,0.0,0.0,,,
2023-10-01,3955.0,82768.0,82768.0,0.0,0.0,0.0,,,
2023-11-01,3634.0,85944.0,85944.0,0.0,0.0,0.0,,,
2023-12-01,3325.0,81735.0,81735.0,0.0,0.0,0.0,,,
2024-01-01,4132.0,83218.0,83218.0,0.0,0.0,0.0,,,
2024-02-01,3699.0,74779.0,74779.0,0.0,0.0,0.0,,,
2024-03-01,4327.0,84913.0,84913.0,0.0,0.0,0.0,,,
2024-04-01,4150.0,83793.0,83793.0,0.0,0.0,0.0,,,
2024-05-01,4182.0,85618.0,85618.0,0.0,0.0,0.0,,,
2024-06-01,4187.0,85380.0,85380.0,0.0,0.0,0.0,,,
2024-07-01,4436.0,89488.0,89488.0,0.0,0.0,0.0,,,
2024-08-01,4449.0,89505.0,89505.0,0.0,0.0,0.0,,,
2024-09-01,4298.0,86727.0,86727.0,0.0,0.0,0.0,,,
2024-10-01,4583.0,90721.0,90721.0,0.0,0.0,0.0,,,
2024-11-01,4055.0,82797.0,82797.0,0.0,0.0,0.0,,,
2024-12-01,3940.0,82708.0,82708.0,0.0,0.0,0.0,,,
