measured_on,"Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2009-02-01,,,,9219.0,123824.0,123824.0
2009-03-01,,,,12071.0,166480.0,166480.0
2009-04-01,,,,9039.0,147048.0,147048.0
2009-05-01,,,,3382.0,49568.0,49568.0
2009-06-01,,,,8060.0,112856.0,112856.0
2009-07-01,,,,11715.0,163592.0,163592.0
2009-08-01,,,,12439.0,176200.0,176200.0
2009-09-01,,,,12567.0,176512.0,176512.0
2009-10-01,,,,12972.0,197800.0,197800.0
2009-11-01,,,,11907.0,169416.0,169416.0
2009-12-01,,,,11864.0,163960.0,163960.0
2010-01-01,,,,11734.0,165344.0,165344.0
2010-02-01,,,,11169.0,143312.0,143312.0
2010-03-01,,,,12405.0,157336.0,157336.0
2010-04-01,,,,9095.0,115096.0,115096.0
2010-05-01,,,,12696.0,160496.0,160496.0
2010-06-01,,,,12280.0,153976.0,153976.0
2010-07-01,,,,12539.0,158960.0,158960.0
2010-08-01,,,,12527.0,158600.0,158600.0
2010-09-01,,,,12208.0,155608.0,155608.0
2010-10-01,,,,12854.0,161696.0,161696.0
2010-11-01,,,,12436.0,156128.0,156128.0
2010-12-01,,,,12526.0,162680.0,162680.0
2011-01-01,,,,12134.0,153384.0,153384.0
2011-02-01,,,,11528.0,147608.0,147608.0
2011-03-01,,,,12460.0,165968.0,165968.0
2011-04-01,,,,6515.0,110592.0,110592.0
2011-05-01,,,,7896.0,119400.0,119400.0
2011-06-01,,,,10688.0,143120.0,143120.0
2011-07-01,,,,11941.0,159736.0,159736.0
2011-08-01,,,,12466.0,159968.0,159968.0
2011-09-01,,,,11796.0,149984.0,149984.0
2011-10-01,,,,11625.0,146696.0,146696.0
2011-11-01,,,,11466.0,144944.0,144944.0
2011-12-01,,,,10390.0,122368.0,122368.0
2012-01-01,,,,12352.0,159096.0,159096.0
2012-02-01,,,,11290.0,144792.0,144792.0
2012-03-01,,,,8580.0,110136.0,110136.0
2012-04-01,,,,11238.0,144392.0,144392.0
2012-05-01,,,,11223.0,144304.0,144304.0
2012-06-01,,,,11552.0,148848.0,148848.0
2012-07-01,,,,11777.0,148568.0,148568.0
2012-08-01,,,,10520.0,132192.0,132192.0
2012-09-01,,,,12265.0,153480.0,153480.0
2012-10-01,,,,12369.0,157528.0,157528.0
2012-11-01,,,,11958.0,152008.0,152008.0
2012-12-01,,,,12071.0,156400.0,156400.0
2013-01-01,,,,12119.0,158968.0,158968.0
2013-02-01,,,,10692.0,143200.0,143200.0
2013-03-01,,,,9625.0,129936.0,129936.0
2013-04-01,,,,12149.0,160424.0,160424.0
2013-05-01,,,,12401.0,162952.0,162952.0
2013-06-01,,,,10682.0,161728.0,161728.0
2013-07-01,,,,11406.0,159008.0,159008.0
2013-08-01,,,,10739.0,150896.0,150896.0
2013-09-01,,,,11797.0,162120.0,162120.0
2013-10-01,,,,11600.0,153072.0,153072.0
2013-11-01,,,,11642.0,152040.0,152040.0
2013-12-01,,,,11940.0,154272.0,154272.0
2014-01-01,,,,11543.0,149512.0,149512.0
2014-02-01,,,,9553.0,124360.0,124360.0
2014-03-01,,,,7816.0,101464.0,101464.0
2014-04-01,,,,10742.0,137344.0,137344.0
2014-05-01,,,,11469.0,156472.0,156472.0
2014-06-01,,,,10661.0,154640.0,154640.0
2014-07-01,,,,10774.0,153952.0,153952.0
2014-08-01,,,,11833.0,169688.0,169688.0
2014-09-01,,,,11499.0,154328.0,154328.0
2014-10-01,,,,12196.0,162320.0,162320.0
2014-11-01,,,,11685.0,156376.0,156376.0
2014-12-01,,,,12224.0,158176.0,158176.0
2015-01-01,,,,10783.0,153512.0,153512.0
2015-02-01,,,,10587.0,160000.0,160000.0
2015-03-01,,,,11729.0,179992.0,179992.0
2015-04-01,,,,8236.0,128344.0,128344.0
2015-05-01,,,,11858.0,180960.0,180960.0
2015-06-01,,,,10580.0,157928.0,157928.0
2015-07-01,,,,11508.0,172736.0,172736.0
2015-08-01,,,,11944.0,178200.0,178200.0
2015-09-01,,,,11846.0,173880.0,173880.0
2015-10-01,,,,12404.0,183632.0,183632.0
2015-11-01,,,,11989.0,177096.0,177096.0
2015-12-01,,,,12278.0,177736.0,177736.0
2016-01-01,,,,11706.0,153432.0,153432.0
2016-02-01,,,,10802.0,142824.0,142824.0
2016-03-01,,,,11222.0,148896.0,148896.0
2016-04-01,,,,3015.0,38656.0,38656.0
2016-05-01,,,,12343.0,157448.0,157448.0
2016-06-01,,,,11520.0,146344.0,146344.0
2016-07-01,,,,12535.0,159016.0,159016.0
2016-08-01,,,,6370.0,80136.0,80136.0
2016-09-01,,,,10454.0,132312.0,132312.0
2016-10-01,,,,12250.0,155704.0,155704.0
2016-11-01,,,,11735.0,149176.0,149176.0
2016-12-01,,,,11571.0,149072.0,149072.0
2017-01-01,,,,11601.0,149000.0,149000.0
2017-02-01,,,,10034.0,129224.0,129224.0
2017-03-01,,,,11555.0,154480.0,154480.0
2017-04-01,,,,5712.0,77720.0,77720.0
2017-05-01,,,,10677.0,140832.0,140832.0
2017-06-01,,,,11530.0,157744.0,157744.0
2017-07-01,,,,12165.0,165960.0,165960.0
2017-08-01,,,,12028.0,162544.0,162544.0
2017-09-01,,,,11408.0,153624.0,153624.0
2017-10-01,,,,10903.0,145736.0,145736.0
2017-11-01,,,,2040.0,26552.0,26552.0
2017-12-01,,,,11302.0,144640.0,144640.0
2018-01-01,,,,11824.0,152544.0,152544.0
2018-02-01,,,,9961.0,128064.0,128064.0
2018-03-01,,,,10215.0,133712.0,133712.0
2018-04-01,,,,10536.0,140168.0,140168.0
2018-05-01,,,,10152.0,133640.0,133640.0
2018-06-01,,,,11886.0,155448.0,155448.0
2018-07-01,,,,11942.0,155424.0,155424.0
2018-08-01,,,,11709.0,151728.0,151728.0
2018-09-01,,,,9906.0,129624.0,129624.0
2018-10-01,,,,2644.0,37824.0,37824.0
2018-11-01,,,,4855.0,68488.0,68488.0
2018-12-01,,,,9459.0,127808.0,127808.0
2019-01-01,,,,8697.0,119864.0,119864.0
2019-02-01,,,,5601.0,81008.0,81008.0
2019-03-01,,,,8049.0,110496.0,110496.0
2019-04-01,,,,0.0,0.0,0.0
2019-05-01,,,,0.0,0.0,0.0
2019-06-01,,,,0.0,0.0,0.0
2019-07-01,,,,0.0,0.0,0.0
2019-08-01,,,,0.0,0.0,0.0
2019-09-01,,,,0.0,0.0,0.0
2019-10-01,,,,0.0,0.0,0.0
2019-11-01,,,,0.0,0.0,0.0
2019-12-01,,,,0.0,0.0,0.0
2020-01-01,,,,0.0,0.0,0.0
2020-02-01,,,,0.0,0.0,0.0
2020-03-01,,,,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0
2020-09-01,,,,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0
2020-12-01,,,,0.0,0.0,0.0
2021-01-01,,,,6791.0,93848.0,93848.0
2021-02-01,,,,8396.0,118544.0,118544.0
2021-03-01,,,,6837.0,99992.0,99992.0
2021-04-01,,,,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,0.0
2021-06-01,,,,5349.0,84912.0,84912.0
2021-07-01,,,,5695.0,82088.0,82088.0
2021-08-01,,,,5792.0,83472.0,83472.0
2021-09-01,,,,0.0,0.0,0.0
2021-10-01,,,,8219.0,116304.0,116304.0
2021-11-01,,,,1966.0,29912.0,29912.0
2021-12-01,,,,3323.0,53240.0,53240.0
2022-01-01,,,,3122.0,50224.0,50224.0
2022-02-01,,,,2631.0,42912.0,42912.0
2022-03-01,,,,3372.0,54920.0,54920.0
2022-04-01,,,,76.0,1240.0,1240.0
2022-05-01,,,,1019.0,16384.0,16384.0
2022-06-01,,,,0.0,0.0,0.0
2022-07-01,,,,0.0,0.0,0.0
2022-08-01,,,,0.0,0.0,0.0
2022-09-01,,,,0.0,0.0,0.0
2022-10-01,,,,0.0,0.0,0.0
2022-11-01,,,,0.0,0.0,0.0
2022-12-01,,,,0.0,0.0,0.0
2023-01-01,,,,1525.0,21120.0,21120.0
2023-02-01,,,,2181.0,35200.0,35200.0
2023-03-01,,,,538.0,14080.0,14080.0
2023-04-01,,,,0.0,0.0,0.0
2023-05-01,,,,0.0,0.0,0.0
2023-06-01,,,,0.0,0.0,0.0
2023-07-01,,,,2654.0,42120.0,42120.0
2023-08-01,,,,0.0,0.0,0.0
2023-09-01,,,,868.0,17096.0,17096.0
2023-10-01,,,,0.0,0.0,0.0
2023-11-01,,,,0.0,0.0,0.0
2023-12-01,,,,5236.0,84432.0,84432.0
2024-01-01,,,,5916.0,85056.0,85056.0
2024-02-01,,,,5004.0,80072.0,80072.0
2024-03-01,,,,5576.0,89216.0,89216.0
2024-04-01,,,,2769.0,44304.0,44304.0
2024-05-01,,,,0.0,0.0,0.0
2024-06-01,,,,3551.0,51144.0,51144.0
2024-07-01,,,,2686.0,42720.0,42720.0
2024-08-01,,,,4619.0,73912.0,73912.0
2024-09-01,,,,6985.0,111760.0,111760.0
2024-10-01,,,,4053.0,64856.0,64856.0
2024-11-01,,,,4126.0,66016.0,66016.0
2024-12-01,,,,9078.0,145256.0,145256.0
