measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Waste/Other Oil - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed
2022-10-01,326.462,4053.0,4053.0,1599.39,19843.0,19843.0,0.0,0.0,0.0
2022-11-01,761.23,9443.0,9443.0,3729.391,46269.0,46269.0,0.0,0.0,0.0
2022-12-01,2549.021,31624.0,31624.0,12488.073,154936.0,154936.0,0.0,0.0,0.0
2023-01-01,14.189,193.0,193.0,75.339,1026.0,1026.0,0.0,0.0,0.0
2023-02-01,5.647,76.0,76.0,29.981,408.0,408.0,0.0,0.0,0.0
2023-03-01,159.544,2172.0,2172.0,847.099,11531.0,11531.0,0.0,0.0,0.0
2023-04-01,284.437,3872.0,3872.0,1510.217,20558.0,20558.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,145.325,1980.0,1980.0,771.604,10503.0,10503.0,0.0,0.0,0.0
2023-07-01,1102.087,15003.0,15003.0,5851.531,79652.0,79652.0,0.0,0.0,0.0
2023-08-01,735.335,10010.0,10010.0,3904.261,53145.0,53145.0,0.0,0.0,0.0
2023-09-01,1038.621,14139.0,14139.0,5514.56,75065.0,75065.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,21.273,292.0,292.0,112.951,1538.0,1538.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,1302.688,17539.0,17539.0,3448.603,46437.0,46437.0,0.0,0.0,0.0
2024-02-01,87.312,1177.0,1177.0,231.142,3112.0,3112.0,0.0,0.0,0.0
2024-03-01,2.096,29.0,29.0,5.548,75.0,75.0,0.0,0.0,0.0
2024-04-01,21.995,296.0,296.0,58.227,784.0,784.0,0.0,0.0,0.0
2024-05-01,5.119,70.0,70.0,13.552,183.0,183.0,0.0,0.0,0.0
2024-06-01,350.819,4721.0,4721.0,928.723,12505.0,12505.0,0.0,0.0,0.0
2024-07-01,1628.575,21930.0,21930.0,4311.322,58053.0,58053.0,0.0,0.0,0.0
2024-08-01,631.244,8503.0,8503.0,1671.09,22502.0,22502.0,0.0,0.0,0.0
2024-09-01,607.484,8178.0,8178.0,1608.19,21655.0,21655.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,23.653,319.0,319.0,62.617,843.0,843.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
