measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-09-01,,,,,,,69192.0,928537.0,928537.0
2007-10-01,,,,,,,48489.0,638803.0,638803.0
2007-11-01,,,,,,,71142.0,943801.0,943801.0
2007-12-01,,,,,,,31826.0,542897.0,542897.0
2008-01-01,,,,,,,0.0,0.0,0.0
2008-02-01,,,,,,,49313.0,606300.0,606300.0
2008-03-01,,,,,,,65507.0,798573.0,798573.0
2008-04-01,,,,,,,62687.0,775139.0,775139.0
2008-05-01,,,,,,,46712.0,558894.0,558894.0
2008-06-01,,,,,,,24980.0,257950.0,257950.0
2008-07-01,,,,,,,24308.0,390285.0,390285.0
2008-08-01,,,,,,,59145.0,718898.0,718898.0
2008-09-01,,,,,,,71654.0,876699.0,876699.0
2008-10-01,,,,,,,57926.0,722189.0,722189.0
2008-11-01,,,,,,,73291.0,920844.0,920844.0
2008-12-01,,,,0.0,0.0,0.0,75415.0,841714.0,841714.0
2009-01-01,,,,,,,72916.0,876213.0,876213.0
2009-02-01,,,,,,,70703.0,858841.0,858841.0
2009-03-01,,,,,,,70834.0,859843.0,859843.0
2009-04-01,,,,,,,63965.0,783156.0,783156.0
2009-05-01,,,,,,,56924.0,689080.0,689080.0
2009-06-01,,,,,,,35183.0,403277.0,403277.0
2009-07-01,,,,,,,76275.0,928103.0,928103.0
2009-08-01,,,,,,,76027.0,924511.0,924511.0
2009-09-01,,,,,,,70385.0,872207.0,872207.0
2009-10-01,,,,,,,67055.0,826775.0,826775.0
2009-11-01,,,,,,,60834.0,776594.0,776594.0
2009-12-01,,,,,,,68936.0,892048.0,892048.0
2010-01-01,,,,0.0,0.0,0.0,70219.0,818213.0,818213.0
2010-02-01,,,,0.0,0.0,0.0,62010.0,783829.0,783829.0
2010-03-01,,,,0.0,0.0,0.0,71807.0,856708.0,856708.0
2010-04-01,,,,0.0,0.0,0.0,40515.0,424571.0,424571.0
2010-05-01,,,,0.0,0.0,0.0,76283.0,1014273.0,1014273.0
2010-06-01,,,,0.0,0.0,0.0,29586.0,391943.0,391943.0
2010-07-01,,,,0.0,0.0,0.0,74389.0,914278.0,914278.0
2010-08-01,,,,0.0,0.0,0.0,79260.0,966699.0,966699.0
2010-09-01,,,,0.0,0.0,0.0,60209.0,744308.0,744308.0
2010-10-01,,,,0.0,0.0,0.0,74169.0,902000.0,902000.0
2010-11-01,,,,0.0,0.0,0.0,76896.0,896745.0,896745.0
2010-12-01,,,,0.0,0.0,0.0,78552.0,985460.0,985460.0
2011-01-01,,,,0.0,0.0,0.0,69336.0,867509.0,867509.0
2011-02-01,,,,0.0,0.0,0.0,56326.0,661340.0,661340.0
2011-03-01,,,,0.0,0.0,0.0,48783.0,655013.0,655013.0
2011-04-01,,,,0.0,0.0,0.0,57654.0,598336.0,598336.0
2011-05-01,,,,0.0,0.0,0.0,13768.0,179037.0,179037.0
2011-06-01,,,,0.0,0.0,0.0,0.0,18009.0,18009.0
2011-07-01,,,,0.0,0.0,0.0,35687.0,484330.0,484330.0
2011-08-01,,,,0.0,0.0,0.0,66590.0,822183.0,822183.0
2011-09-01,,,,0.0,0.0,0.0,71032.0,883805.0,883805.0
2011-10-01,,,,0.0,0.0,0.0,76606.0,949926.0,949926.0
2011-11-01,,,,0.0,0.0,0.0,72857.0,899317.0,899317.0
2011-12-01,,,,0.0,0.0,0.0,76998.0,967753.0,967753.0
2012-01-01,,,,0.086,1.0,1.0,58032.914,678220.0,678220.0
2012-02-01,,,,0.247,3.0,3.0,65700.753,797942.0,797942.0
2012-03-01,,,,0.161,2.0,2.0,27002.839,336105.0,336105.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,0.244,3.0,3.0,30720.756,377643.0,377643.0
2012-09-01,,,,0.162,2.0,2.0,63425.838,785214.0,785214.0
2012-10-01,,,,0.088,1.0,1.0,75834.912,861944.0,861944.0
2012-11-01,,,,0.0,0.0,0.0,73667.0,891746.0,891746.0
2012-12-01,,,,0.162,2.0,2.0,72810.838,898844.0,898844.0
2013-01-01,,,,216.432,2686.0,2686.0,49568.568,615164.0,615164.0
2013-02-01,,,,343.495,3989.0,3989.0,33945.505,394209.0,394209.0
2013-03-01,,,,281.445,3620.0,3620.0,54805.555,704920.0,704920.0
2013-04-01,,,,365.583,4621.0,4621.0,18690.417,236249.0,236249.0
2013-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,,,,357.127,4089.0,4089.0,11403.873,130571.0,130571.0
2013-07-01,,,,497.859,5954.0,5954.0,68580.141,820164.0,820164.0
2013-08-01,,,,16.003,197.0,197.0,78530.997,966717.0,966717.0
2013-09-01,,,,46.652,578.0,578.0,75171.348,931338.0,931338.0
2013-10-01,,,,29.601,358.0,358.0,77171.399,933338.0,933338.0
2013-11-01,,,,143.168,1839.0,1839.0,72869.832,936017.0,936017.0
2013-12-01,,,,293.061,3306.0,3306.0,71554.939,807205.0,807205.0
2014-01-01,,,,219.733,3026.0,3026.0,73145.267,1007335.0,1007335.0
2014-02-01,,,,507.095,6070.0,6070.0,54205.905,648842.0,648842.0
2014-03-01,,,,276.341,3545.0,3545.0,45725.659,586564.0,586564.0
2014-04-01,,,,264.904,3304.0,3304.0,49961.096,623056.0,623056.0
2014-05-01,,,,40.86,511.0,511.0,15569.14,194564.0,194564.0
2014-06-01,,,,74.075,1140.0,1140.0,20620.925,317222.0,317222.0
2014-07-01,,,,141.131,1721.0,1721.0,66690.869,813122.0,813122.0
2014-08-01,,,,50.771,630.0,630.0,74345.229,923144.0,923144.0
2014-09-01,,,,13.098,161.0,161.0,71442.902,879144.0,879144.0
2014-10-01,,,,82.606,1010.0,1010.0,70511.394,862353.0,862353.0
2014-11-01,,,,125.778,1487.0,1487.0,62681.222,740909.0,740909.0
2014-12-01,,,,259.645,3153.0,3153.0,72819.355,884207.0,884207.0
2015-01-01,,,,152.136,1932.0,1932.0,36094.864,458451.0,458451.0
2015-02-01,,,,292.192,3793.0,3793.0,1901.808,24691.0,24691.0
2015-03-01,,,,547.264,5293.0,5293.0,6530.736,63158.0,63158.0
2015-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,,,,123.076,1574.0,1574.0,37117.924,474688.0,474688.0
2015-06-01,,,,221.245,2704.0,2704.0,72714.755,888702.0,888702.0
2015-07-01,,,,171.758,2100.0,2100.0,64541.242,788934.0,788934.0
2015-08-01,,,,0.0,0.0,0.0,56702.0,689520.0,689520.0
2015-09-01,,,,0.0,0.0,0.0,63719.0,786459.0,786459.0
2015-10-01,,,,247.042,3040.0,3040.0,52179.958,642079.0,642079.0
2015-11-01,,,,54.38,683.0,683.0,54534.62,684577.0,684577.0
2015-12-01,,,,299.601,3749.0,3749.0,41844.399,523642.0,523642.0
2016-01-01,,,,845.863,10145.0,10145.0,52160.137,625604.0,625604.0
2016-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,,,,269.313,3182.0,3182.0,44651.687,527638.0,527638.0
2016-08-01,,,,0.0,0.0,0.0,70837.0,802999.0,802999.0
2016-09-01,,,,0.0,0.0,0.0,68645.0,868013.0,868013.0
2016-10-01,,,,426.941,5774.0,5774.0,43017.059,581776.0,581776.0
2016-11-01,,,,0.0,0.0,0.0,1291.0,22811.0,22811.0
2016-12-01,,,,0.0,0.0,0.0,66965.0,764387.0,764387.0
2017-01-01,,,,447.434,5988.0,5988.0,4888.566,65425.0,65425.0
2017-02-01,,,,288.669,3717.0,3717.0,17199.331,221479.0,221479.0
2017-03-01,,,,0.0,850.0,850.0,0.0,0.0,0.0
2017-04-01,,,,0.0,795.0,795.0,0.0,0.0,0.0
2017-05-01,,,,0.0,209.0,209.0,0.0,0.0,0.0
2017-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,,,,0.0,2490.0,2490.0,0.0,0.0,0.0
2017-11-01,,,,180.498,2271.0,2271.0,31936.502,401795.0,401795.0
2017-12-01,,,,0.0,0.0,0.0,63404.0,801682.0,801682.0
2018-01-01,,,,22.789,319.0,319.0,15666.211,219073.0,219073.0
2018-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,,,,306.475,3526.0,3526.0,12978.525,149299.0,149299.0
2018-08-01,,,,97.797,1322.0,1322.0,34355.203,464389.0,464389.0
2018-09-01,,,,136.003,1706.0,1706.0,5384.997,67553.0,67553.0
2018-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,,,,281.999,4635.0,4635.0,26331.001,432769.0,432769.0
2018-12-01,,,,72.834,883.0,883.0,51744.166,627060.0,627060.0
2019-01-01,,,,146.994,1982.0,1982.0,42327.006,570713.0,570713.0
2019-02-01,,,,356.745,3866.0,3866.0,33986.255,368334.0,368334.0
2019-03-01,,,,463.232,6624.0,6624.0,4257.768,60888.0,60888.0
2019-04-01,,,,0.0,546.0,546.0,0.0,0.0,0.0
2019-05-01,,,,0.0,396.0,396.0,0.0,0.0,0.0
2019-06-01,,,,0.0,1321.0,1321.0,0.0,0.0,0.0
2019-07-01,,,,322.759,4190.0,4190.0,1524.241,19788.0,19788.0
2019-08-01,,,,67.492,1106.0,1106.0,218.508,3581.0,3581.0
2019-09-01,,,,0.0,3880.0,3880.0,0.0,0.0,0.0
2019-10-01,,,,209.822,2335.0,2335.0,27575.178,306815.0,306815.0
2019-11-01,,,,436.363,5331.0,5331.0,19195.637,234520.0,234520.0
2019-12-01,,,,0.0,0.0,0.0,6088.0,69462.0,69462.0
2020-01-01,,,,342.029,4478.0,4478.0,7977.971,104447.0,104447.0
2020-02-01,,,,191.321,3982.0,3982.0,532.679,11086.0,11086.0
2020-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,,,,138.706,1906.0,1906.0,6350.294,87278.0,87278.0
2020-09-01,,,,263.194,3813.0,3813.0,7717.806,111804.0,111804.0
2020-10-01,,,,323.139,4142.0,4142.0,7418.861,95085.0,95085.0
2020-11-01,,,,673.475,10922.0,10922.0,2442.525,39612.0,39612.0
2020-12-01,,,,544.132,7774.0,7774.0,16789.868,239888.0,239888.0
2021-01-01,,,,385.641,5047.0,5047.0,11572.359,151458.0,151458.0
2021-02-01,,,,316.442,4451.0,4451.0,29978.558,421672.0,421672.0
2021-03-01,,,,388.799,6200.0,6200.0,33768.201,538513.0,538513.0
2021-04-01,,,,168.496,2273.0,2273.0,38988.504,526045.0,526045.0
2021-05-01,,,,173.488,2484.0,2484.0,35430.512,507323.0,507323.0
2021-06-01,,,,18.828,264.0,264.0,40991.172,574809.0,574809.0
2021-07-01,,,,21.651,283.0,283.0,37348.349,488366.0,488366.0
2021-08-01,,,,249.428,3049.0,3049.0,51881.572,634284.0,634284.0
2021-09-01,,,,309.736,4039.0,4039.0,49354.264,643555.0,643555.0
2021-10-01,,,,188.097,2400.0,2400.0,49941.903,637129.0,637129.0
2021-11-01,,,,201.283,2781.0,2781.0,33166.717,458297.0,458297.0
2021-12-01,,,,470.759,5582.0,5582.0,66359.241,786879.0,786879.0
2022-01-01,,,,468.632,6328.0,6328.0,60781.368,820777.0,820777.0
2022-02-01,,,,0.0,0.0,0.0,58347.0,713766.0,713766.0
2022-03-01,,,,89.419,1187.0,1187.0,62383.581,828050.0,828050.0
2022-04-01,,,,262.584,3086.0,3086.0,53750.416,631597.0,631597.0
2022-05-01,,,,83.057,1102.0,1102.0,52504.943,696686.0,696686.0
2022-06-01,,,,106.656,1531.0,1531.0,13613.344,195375.0,195375.0
2022-07-01,,,,140.253,1866.0,1866.0,23145.747,307928.0,307928.0
2022-08-01,,,,373.993,4888.0,4888.0,54509.007,712483.0,712483.0
2022-09-01,,,,196.825,2268.0,2268.0,23664.175,272648.0,272648.0
2022-10-01,,,,142.855,2017.0,2017.0,13110.145,185093.0,185093.0
2022-11-01,,,,519.534,7192.0,7192.0,26213.466,362862.0,362862.0
2022-12-01,,,,354.657,4833.0,4833.0,49146.343,669722.0,669722.0
2023-01-01,,,,359.752,4833.0,4833.0,45313.248,608743.0,608743.0
2023-02-01,,,,120.594,2177.0,2177.0,16790.406,303064.0,303064.0
2023-03-01,,,,858.453,11899.0,11899.0,33096.547,458758.0,458758.0
2023-04-01,,,,268.041,3532.0,3532.0,46731.959,615794.0,615794.0
2023-05-01,,,,183.71,2462.0,2462.0,19695.29,263946.0,263946.0
2023-06-01,,,,318.07,3761.0,3761.0,39855.93,471235.0,471235.0
2023-07-01,,,,248.197,3494.0,3494.0,31145.803,438491.0,438491.0
2023-08-01,,,,956.086,12323.0,12323.0,25584.914,329770.0,329770.0
2023-09-01,,,,207.983,3294.0,3294.0,24436.017,387070.0,387070.0
2023-10-01,,,,220.046,2661.0,2661.0,46783.954,565685.0,565685.0
2023-11-01,,,,538.493,7613.0,7613.0,44850.507,634119.0,634119.0
2023-12-01,,,,292.263,3843.0,3843.0,56546.737,743504.0,743504.0
2024-01-01,0.0,0.0,0.0,465.567,6049.0,6049.0,59089.433,767722.0,767722.0
2024-02-01,0.0,0.0,0.0,229.061,2885.0,2885.0,57407.939,723122.0,723122.0
2024-03-01,0.0,0.0,0.0,428.964,5818.0,5818.0,59126.036,801907.0,801907.0
2024-04-01,7597.777,97566.0,97566.0,482.526,6196.0,6196.0,38244.697,491115.0,491115.0
2024-05-01,0.0,0.0,0.0,202.278,1959.0,1959.0,6177.722,59833.0,59833.0
2024-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,0.583,7.0,7.0,12889.417,145849.0,145849.0
2024-08-01,0.0,0.0,0.0,635.199,8172.0,8172.0,49449.801,636176.0,636176.0
2024-09-01,0.0,0.0,0.0,471.903,6008.0,6008.0,39361.097,501139.0,501139.0
2024-10-01,0.0,0.0,0.0,352.062,4593.0,4593.0,57724.938,752998.0,752998.0
2024-11-01,0.0,0.0,0.0,302.612,4481.0,4481.0,40625.388,601623.0,601623.0
2024-12-01,0.0,0.0,0.0,718.676,9051.0,9051.0,49017.324,617310.0,617310.0
