measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Residual Fuel Oil Generation,Residual Fuel Oil Quantity Consumed For Electricity,Residual Fuel Oil Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2009-05-01,292.29900000000004,2648.0,12106.0,8.007,73.0,332.0,4106.0,40075.0,40075.0,10.648,96.0,441.0,6490.046,58804.0,268794.0
2009-06-01,818.504,7333.0,25744.0,18.64,167.0,586.0,3582.0,34960.0,34960.0,237.155,2125.0,7459.0,9491.701000000001,85035.0,298542.0
2009-07-01,1153.078,11983.0,45078.0,4.393,46.0,172.0,4502.0,43940.0,43940.0,2.74,28.0,107.0,5049.789000000001,52477.0,197415.0
2009-08-01,647.349,7236.0,30776.0,1.744,19.0,83.0,4575.0,44652.0,44652.0,10.999,123.0,523.0,4645.908,51928.0,220872.0
2009-09-01,1427.8680000000002,14309.0,50339.0,9.407,94.0,332.0,4390.0,42846.0,42846.0,0.0,0.0,0.0,6883.725,68983.0,242685.0
2009-10-01,781.455,6934.0,25668.0,111.783,992.0,3672.0,1979.0,19315.0,19315.0,118.535,1052.0,3893.0,4492.227,39862.0,147552.0
2009-11-01,636.345,5870.0,22552.0,34.089,314.0,1208.0,2780.0,27133.0,27133.0,0.0,0.0,0.0,6414.566000000001,59176.0,227330.0
2009-12-01,612.892,6147.0,26230.0,17.712,178.0,758.0,5741.0,56032.0,56032.0,156.77700000000002,1572.0,6710.0,6996.619000000001,70172.0,299430.0
2010-01-01,5797.078,40485.0,133268.0,21.639,151.0,497.0,4911.0,47912.0,47912.0,354.06800000000004,2473.0,8140.0,12023.215,83967.0,276399.0
2010-02-01,11882.584,73912.0,220002.0,11.195,70.0,207.0,5226.0,50985.0,50985.0,56.825,353.0,1052.0,17964.396,111743.0,332604.0
2010-03-01,1425.594,14598.0,85993.0,31.220000000000002,320.0,1883.0,5779.0,56380.0,56380.0,153.738,1574.0,9274.0,5973.448,61167.0,360324.0
2010-04-01,1023.422,9998.0,44491.0,18.935000000000002,185.0,823.0,5262.0,51336.0,51336.0,537.071,5247.0,23348.0,4659.572,45521.0,202563.0
2010-05-01,975.6850000000001,9609.0,35552.0,40.794000000000004,402.0,1486.0,3121.0,30448.0,30448.0,224.24900000000002,2209.0,8171.0,4892.272,48183.0,178263.0
2010-06-01,1465.059,14091.0,48960.0,38.631,372.0,1291.0,2469.0,24088.0,24088.0,116.504,1121.0,3893.0,7067.8060000000005,67979.0,236196.0
2010-07-01,1611.595,13034.0,45793.0,20.216,163.0,574.0,2067.0,20166.0,20166.0,8.425,68.0,239.0,10067.764,81423.0,286074.0
2010-08-01,1501.3960000000002,12830.0,37646.0,23.618000000000002,202.0,592.0,2018.0,19688.0,19688.0,263.06600000000003,2248.0,6596.0,7381.92,63079.0,185094.0
2010-09-01,1856.7430000000002,16202.0,57414.0,9.384,82.0,290.0,1666.0,16253.0,16253.0,48.694,425.0,1506.0,8579.179,74862.0,265284.0
2010-10-01,1123.928,9085.0,43367.0,26.091,211.0,1007.0,3061.0,29863.0,29863.0,1473.2330000000002,11908.0,56845.0,5117.7480000000005,41367.0,197469.0
2010-11-01,892.139,8862.0,40324.0,37.471000000000004,372.0,1694.0,2593.0,25297.0,25297.0,283.224,2813.0,12802.0,4880.166,48477.0,220581.0
2010-12-01,1777.939,15861.0,71634.0,30.425,271.0,1226.0,5891.0,57473.0,57473.0,8.131,73.0,328.0,7920.505,70657.0,319122.0
2011-01-01,2256.946,17387.0,67266.0,18.082,139.0,539.0,4701.0,45675.0,45675.0,252.178,1943.0,7516.0,10253.794,78994.0,305604.0
2011-02-01,1977.137,15380.0,55777.0,0.0,0.0,0.0,2519.0,24475.0,24475.0,15.186,118.0,428.0,10150.677,78961.0,286362.0
2011-03-01,1827.605,17661.0,68579.0,49.082,474.0,1842.0,5641.0,54808.0,54808.0,0.0,0.0,0.0,6577.313,63561.0,246807.0
2011-04-01,779.514,7908.0,32143.0,31.165,316.0,1285.0,5086.0,49416.0,49416.0,178.145,1807.0,7346.0,5084.176,51576.0,209646.0
2011-05-01,851.246,9099.0,41536.0,11.53,123.0,563.0,5563.0,54050.0,54050.0,12.007,128.0,586.0,4181.217,44693.0,204021.0
2011-06-01,1283.626,12474.0,44743.0,42.304,411.0,1475.0,5370.0,52175.0,52175.0,190.319,1850.0,6634.0,6801.751,66100.0,237087.0
2011-07-01,1874.066,14807.0,46501.0,7.486,59.0,186.0,2595.0,25213.0,25213.0,0.0,0.0,0.0,9151.448,72304.0,227076.0
2011-08-01,1410.329,12164.0,40227.0,20.97,181.0,598.0,1458.0,14166.0,14166.0,70.017,604.0,1997.0,6936.684,59829.0,197856.0
2011-09-01,1356.466,12564.0,47893.0,54.679,506.0,1931.0,3580.0,34783.0,34783.0,76.37,707.0,2696.0,6948.485,64360.0,245331.0
2011-10-01,785.881,8549.0,31929.0,65.447,712.0,2659.0,2979.0,28944.0,28944.0,758.585,8252.0,30820.0,3354.087,36487.0,136269.0
2011-11-01,1433.404,12548.0,44174.0,48.233,422.0,1486.0,2967.0,28827.0,28827.0,2.249,20.0,69.0,6400.114,56028.0,197235.0
2011-12-01,1055.101,10924.0,47564.0,15.633,162.0,705.0,5969.0,57995.0,57995.0,1.398,14.0,63.0,5807.868,60131.0,261819.0
2012-01-01,795.129,8550.0,37267.0,9.35,101.0,438.0,4282.0,40748.0,40748.0,109.684,1179.0,5141.0,4361.837,46901.0,204435.0
2012-02-01,860.623,9137.0,37520.0,27.032,287.0,1178.0,2843.0,27054.0,27054.0,0.0,0.0,0.0,4537.345,48173.0,197811.0
2012-03-01,1130.125,11380.0,46476.0,7.488,75.0,308.0,3383.0,32193.0,32193.0,22.519,227.0,926.0,5897.868,59388.0,242548.0
2012-04-01,923.987,10292.0,39384.0,8.197,91.0,349.0,2137.0,20336.0,20336.0,22.171,247.0,945.0,4167.645,46424.0,177642.0
2012-05-01,400.189,5672.0,26248.0,41.173,584.0,2700.0,1968.0,18727.0,18727.0,200.273,2838.0,13136.0,2039.365,28903.0,133758.0
2012-06-01,1111.058,11992.0,45902.0,15.051,162.0,622.0,4457.0,42413.0,42413.0,7.625,82.0,315.0,5685.266,61363.0,234878.0
2012-07-01,1612.715,12131.0,39688.0,9.625,72.0,237.0,2445.0,23267.0,23267.0,103.679,780.0,2552.0,10579.981,79581.0,260370.0
2012-08-01,1506.831,11918.0,40880.0,4.366,35.0,118.0,1745.0,16605.0,16605.0,5.805,46.0,158.0,10038.998,79401.0,272358.0
2012-09-01,1778.433,13830.0,47905.0,16.269,127.0,438.0,2320.0,22077.0,22077.0,290.014,2255.0,7812.0,12603.284,98009.0,339490.0
2012-10-01,1182.229,9343.0,32283.0,14.53,115.0,397.0,1793.0,17062.0,17062.0,0.0,0.0,0.0,9561.241,75558.0,261090.0
2012-11-01,1358.808,10236.0,36468.0,12.136,91.0,326.0,2736.0,26036.0,26036.0,0.0,0.0,0.0,9509.056,71634.0,255204.0
2012-12-01,1803.959,14360.0,59013.0,21.18,169.0,693.0,5822.0,55402.0,55402.0,169.474,1349.0,5544.0,11447.387,91127.0,374477.0
2013-01-01,3267.859,22390.0,75573.0,201.787,1383.0,4667.0,4439.0,42352.0,42352.0,575.35,3942.0,13306.0,13577.004,93022.0,313983.0
2013-02-01,6919.994,44365.0,149438.0,27.697,178.0,598.0,3945.0,37639.0,37639.0,69.724,447.0,1506.0,17415.585,111654.0,376092.0
2013-03-01,1840.801,13764.0,53370.0,45.753,342.0,1327.0,3644.0,34767.0,34767.0,308.775,2309.0,8952.0,12754.671,95368.0,369796.0
2013-04-01,1178.058,10346.0,41516.0,16.804,148.0,592.0,2744.0,26181.0,26181.0,23.598,207.0,832.0,7017.54,61627.0,247305.0
2013-05-01,702.653,5937.0,23126.0,89.605,757.0,2949.0,1547.0,14760.0,14760.0,594.151,5021.0,19555.0,5814.591,49133.0,191375.0
2013-06-01,2162.866,15977.0,51435.0,40.84,302.0,971.0,3871.0,36933.0,36933.0,252.997,1869.0,6017.0,14479.297,106956.0,344331.0
2013-07-01,1496.201,12126.0,45665.0,13.776,112.0,420.0,4541.0,43326.0,43326.0,28.485,231.0,869.0,10013.538,81153.0,305622.0
2013-08-01,1487.062,11268.0,37413.0,6.826,52.0,172.0,4508.0,43011.0,43011.0,204.333,1548.0,5141.0,11332.779,85870.0,285121.0
2013-09-01,2069.703,14955.0,50270.0,32.428,234.0,788.0,4915.0,46894.0,46894.0,233.705,1689.0,5676.0,15573.164,112528.0,378247.0
2013-10-01,957.199,7370.0,28079.0,28.667,221.0,841.0,2109.0,20122.0,20122.0,1136.548,8751.0,33340.0,8804.586,67789.0,258274.0
2013-11-01,1571.963,11896.0,44810.0,14.542,110.0,415.0,3432.0,32745.0,32745.0,139.456,1055.0,3975.0,11249.039,85128.0,320662.0
2013-12-01,3914.909,26692.0,89544.0,50.229,342.0,1149.0,6070.0,57914.0,57914.0,157.0,1070.0,3591.0,16087.862,109687.0,367972.0
2014-01-01,7498.726,48756.0,169226.0,30.965,201.0,699.0,3494.0,33228.0,33228.0,22.333,145.0,504.0,15484.976,100682.0,349454.0
2014-02-01,2044.249,13955.0,50764.0,203.659,1390.0,5057.0,2265.0,21540.0,21540.0,76.871,525.0,1909.0,16033.221,109449.0,398146.0
2014-03-01,8014.048,52944.0,177715.0,66.229,438.0,1469.0,2507.0,23842.0,23842.0,209.948,1387.0,4656.0,18305.775,120936.0,405939.0
2014-04-01,701.838,6940.0,31375.0,8.876,88.0,397.0,3555.0,33808.0,33808.0,10.429,103.0,466.0,5023.857,49674.0,224585.0
2014-05-01,365.624,4882.0,22739.0,23.901,319.0,1486.0,4069.0,38696.0,38696.0,418.98,5594.0,26057.0,2311.495,30863.0,143754.0
2014-06-01,1075.361,11542.0,40934.0,34.226,367.0,1303.0,6413.0,60988.0,60988.0,234.683,2519.0,8933.0,5309.73,56989.0,202119.0
2014-07-01,1066.037,9350.0,36467.0,28.565,251.0,977.0,5147.0,48948.0,48948.0,75.51,662.0,2583.0,6249.888,54815.0,213794.0
2014-08-01,981.111,9551.0,38214.0,47.437,462.0,1848.0,,,,31.703,309.0,1235.0,5314.749,51740.0,207007.0
2014-09-01,1033.589,10373.0,40934.0,56.223,564.0,2227.0,3970.0,37755.0,37755.0,155.575,1561.0,6161.0,6226.613,62487.0,246600.0
2014-10-01,947.296,9628.0,37041.0,16.66,169.0,651.0,1598.0,15197.0,15197.0,7.573,77.0,296.0,4727.471,48051.0,184851.0
2014-11-01,799.077,7769.0,39786.0,19.03,185.0,948.0,3292.0,31307.0,31307.0,24.674,240.0,1229.0,5164.219,50211.0,257128.0
2014-12-01,5769.623,38236.0,129293.0,34.355,228.0,770.0,4656.0,44279.0,44279.0,175.428,1163.0,3931.0,15787.594,104627.0,353788.0
2015-01-01,6170.945,40250.0,134360.0,18.767,122.0,409.0,5213.0,48580.0,48580.0,39.062,255.0,851.0,13765.226,89783.0,299710.0
2015-02-01,9653.402,59838.0,200108.0,47.709,296.0,989.0,4423.0,41218.0,41218.0,70.205,435.0,1455.0,16515.684,102375.0,342357.0
2015-03-01,5633.975,37914.0,128438.0,19.743,133.0,450.0,3846.0,35841.0,35841.0,300.395,2022.0,6848.0,16375.887,110201.0,373321.0
2015-04-01,355.546,5786.0,22677.0,10.616,173.0,677.0,2270.0,21154.0,21154.0,14.125,230.0,901.0,2621.713,42666.0,167217.0
2015-05-01,248.952,4638.0,21556.0,11.49,214.0,995.0,1159.0,10801.0,10801.0,137.589,2563.0,11913.0,1581.969,29471.0,136977.0
2015-06-01,558.002,7761.0,32197.0,8.827,123.0,509.0,2109.0,19654.0,19654.0,130.914,1821.0,7554.0,3315.257,46111.0,191290.0
2015-07-01,505.512,7004.0,30153.0,18.367,254.0,1096.0,1838.0,17128.0,17128.0,58.301,808.0,3478.0,2670.82,37004.0,159311.0
2015-08-01,510.655,6256.0,31979.0,3.215,39.0,201.0,2996.0,27920.0,27920.0,2.515,31.0,158.0,3228.615,39557.0,202185.0
2015-09-01,832.415,10018.0,35856.0,6.599,79.0,284.0,1958.0,18247.0,18247.0,118.614,1427.0,5109.0,4097.372,49309.0,176494.0
2015-10-01,583.499,7097.0,31022.0,15.817,192.0,841.0,2140.0,19943.0,19943.0,16.945,206.0,901.0,3162.739,38466.0,168147.0
2015-11-01,721.298,8327.0,36007.0,0.0,0.0,0.0,3147.0,29327.0,29327.0,0.379,4.0,19.0,3503.323,40445.0,174887.0
2015-12-01,1255.025,9707.0,37569.0,38.379,297.0,1149.0,4815.0,44871.0,44871.0,68.189,527.0,2041.0,10241.407,79213.0,306572.0
2016-01-01,963.073,6180.0,29607.0,17.53,112.0,539.0,3629.0,33503.0,33503.0,5.943,38.0,183.0,10150.454,65130.0,312042.0
2016-02-01,1367.899,8476.0,41671.0,24.105,149.0,734.0,4159.0,38396.0,38396.0,98.852,613.0,3011.0,10994.144,68127.0,334922.0
