measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2004-06-01,49958.0,581893.0,581893.0,0.0,0.0,0.0,,,
2004-07-01,48264.0,573751.0,573751.0,88.0,1046.0,1046.0,,,
2004-08-01,46843.0,586313.0,586313.0,86.0,1083.0,1083.0,,,
2004-09-01,42967.0,539133.0,539133.0,476.0,5971.0,5971.0,,,
2004-10-01,38177.0,440776.0,440776.0,972.0,11225.0,11225.0,,,
2004-11-01,44029.0,497560.0,497560.0,918.0,10377.0,10377.0,,,
2004-12-01,45545.0,522271.0,522271.0,251.0,2881.0,2881.0,,,
2005-01-01,44559.0,472342.55,472342.55,609.0,6457.07,6457.07,0.0,0.0,0.0
2005-02-01,33841.0,385343.48,385343.48,1396.0,15891.87,15891.87,0.0,0.0,0.0
2005-03-01,49154.0,497000.64,497000.64,850.0,8595.35,8595.35,0.0,0.0,0.0
2005-04-01,35987.0,404519.4,404519.4,830.0,9324.59,9324.59,0.0,0.0,0.0
2005-05-01,40982.0,476092.3,476092.3,390.0,4534.06,4534.06,0.0,0.0,0.0
2005-06-01,42260.0,491866.19,491866.19,230.0,3359.86,3359.86,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,172.0,2022.92,2022.92,49374.0,580103.17,580103.17
2005-08-01,0.0,0.0,0.0,84.0,1045.45,1045.45,51405.0,637443.19,637443.19
2005-09-01,0.0,0.0,0.0,553.0,7306.82,7306.82,43195.0,570301.17,570301.17
2005-10-01,0.0,0.0,0.0,56.0,687.01,687.01,32901.0,403172.47,403172.47
2005-11-01,0.0,0.0,0.0,121.0,1527.49,1527.49,41386.0,521269.86,521269.86
2005-12-01,0.0,0.0,0.0,23.0,263.68,263.68,58061.0,678433.45,678433.45
2006-01-01,0.0,0.0,0.0,189.0,2304.0,2304.0,46308.0,563237.0,563237.0
2006-02-01,0.0,0.0,0.0,790.0,9517.0,9517.0,50048.0,602915.0,602915.0
2006-03-01,0.0,0.0,0.0,330.0,3949.0,3949.0,34394.0,411926.0,411926.0
2006-04-01,0.0,0.0,0.0,101.0,1234.0,1234.0,48555.0,594392.0,594392.0
2006-05-01,0.0,0.0,0.0,97.0,1200.0,1200.0,55114.0,683880.0,683880.0
2006-06-01,0.0,0.0,0.0,63.0,789.0,789.0,52263.0,655606.0,655606.0
2006-07-01,0.0,0.0,0.0,89.0,1105.0,1105.0,55958.0,698230.0,698230.0
2006-08-01,0.0,0.0,0.0,12.0,145.0,145.0,57303.0,702258.0,702258.0
2006-09-01,0.0,0.0,0.0,131.0,1230.0,1230.0,40560.0,512756.0,512756.0
2006-10-01,0.0,0.0,0.0,258.0,2334.0,2334.0,40359.0,493901.0,493901.0
2006-11-01,0.0,0.0,0.0,43.0,363.0,363.0,50216.0,586790.0,586790.0
2006-12-01,0.0,0.0,0.0,646.0,5718.0,5718.0,38794.0,478244.0,478244.0
2007-01-01,0.0,0.0,0.0,107.923,1328.0,1328.0,45732.077,562596.0,562596.0
2007-02-01,0.0,0.0,0.0,42.982,383.0,383.0,48044.018,428285.0,428285.0
2007-03-01,0.0,0.0,0.0,207.654,2081.0,2081.0,43159.346,432438.0,432438.0
2007-04-01,0.0,0.0,0.0,507.29600000000005,5058.0,5058.0,34101.704,340034.0,340034.0
2007-05-01,0.0,0.0,0.0,94.278,867.0,867.0,52701.722,484799.0,484799.0
2007-06-01,0.0,0.0,0.0,167.348,1624.0,1624.0,45443.652,441084.0,441084.0
2007-07-01,0.0,0.0,0.0,464.591,4599.0,4599.0,42851.409,424183.0,424183.0
2007-08-01,0.0,0.0,0.0,463.165,4501.0,4501.0,50916.835,494817.0,494817.0
2007-09-01,0.0,0.0,0.0,36.184000000000005,371.0,371.0,47418.816,485936.0,485936.0
2007-10-01,0.0,0.0,0.0,181.21200000000002,1853.0,1853.0,49718.788,508396.0,508396.0
2007-11-01,0.0,0.0,0.0,962.019,10277.0,10277.0,24114.981,257623.0,257623.0
2007-12-01,0.0,0.0,0.0,947.019,10277.0,10277.0,37500.981,406972.0,406972.0
2008-01-01,0.0,0.0,0.0,323.90000000000003,3493.0,3493.0,48201.1,519769.0,519769.0
2008-02-01,0.0,0.0,0.0,401.367,5242.0,5242.0,26358.633,344232.0,344232.0
2008-03-01,0.0,0.0,0.0,879.965,11405.0,11405.0,30422.035,394299.0,394299.0
2008-04-01,0.0,0.0,0.0,135.247,1626.0,1626.0,52823.753,635216.0,635216.0
2008-05-01,0.0,0.0,0.0,95.917,1182.0,1182.0,52422.083,646247.0,646247.0
2008-06-01,0.0,0.0,0.0,396.84700000000004,4910.0,4910.0,54463.153,673847.0,673847.0
2008-07-01,0.0,0.0,0.0,16.324,211.0,211.0,52223.676,675528.0,675528.0
2008-08-01,0.0,0.0,0.0,115.91600000000001,1484.0,1484.0,54850.084,702320.0,702320.0
2008-09-01,0.0,0.0,0.0,299.255,3915.0,3915.0,43719.745,571967.0,571967.0
2008-10-01,0.0,0.0,0.0,131.511,1685.0,1685.0,40102.489,513842.0,513842.0
2008-11-01,0.0,0.0,0.0,144.832,1857.0,1857.0,19673.167999999998,252257.0,252257.0
2008-12-01,0.0,0.0,0.0,251.67800000000003,3209.0,3209.0,28821.322,367538.0,367538.0
2009-01-01,0.0,0.0,0.0,655.859,9243.0,9243.0,35211.141,496241.0,496241.0
2009-02-01,0.0,0.0,0.0,158.51,1985.0,1985.0,33465.49,419043.0,419043.0
2009-03-01,0.0,0.0,0.0,131.806,1693.0,1693.0,20914.194,268687.0,268687.0
2009-04-01,0.0,0.0,0.0,53.986000000000004,660.0,660.0,27595.014,337478.0,337478.0
2009-05-01,0.0,0.0,0.0,123.36,1603.0,1603.0,40431.64,525286.0,525286.0
2009-06-01,0.0,0.0,0.0,63.632000000000005,832.0,832.0,44592.368,583222.0,583222.0
2009-07-01,0.0,0.0,0.0,259.252,3658.0,3658.0,37066.748,522939.0,522939.0
2009-08-01,0.0,0.0,0.0,501.53400000000005,6811.0,6811.0,43081.466,585095.0,585095.0
2009-09-01,0.0,0.0,0.0,133.132,1830.0,1830.0,38418.868,528188.0,528188.0
2009-10-01,0.0,0.0,0.0,362.47,5023.0,5023.0,33011.53,457433.0,457433.0
2009-11-01,0.0,0.0,0.0,144.318,1916.0,1916.0,35621.682,473040.0,473040.0
2009-12-01,0.0,0.0,0.0,55.95,719.0,719.0,48797.05,627029.0,627029.0
2010-01-01,0.0,0.0,0.0,136.96200000000002,1774.0,1774.0,50048.038,648122.0,648122.0
2010-02-01,0.0,0.0,0.0,180.869,2373.0,2373.0,40879.131,536304.0,536304.0
2010-03-01,0.0,0.0,0.0,166.46,2225.0,2225.0,44583.54,595847.0,595847.0
2010-04-01,0.0,0.0,0.0,57.204,746.0,746.0,45897.796,598331.0,598331.0
2010-05-01,0.0,0.0,0.0,433.094,5901.0,5901.0,33255.906,453109.0,453109.0
2010-06-01,0.0,0.0,0.0,187.466,2572.0,2572.0,41536.534,569854.0,569854.0
2010-07-01,0.0,0.0,0.0,187.649,2672.0,2672.0,40125.351,571319.0,571319.0
2010-08-01,0.0,0.0,0.0,102.311,1544.0,1544.0,33141.689,500139.0,500139.0
2010-09-01,0.0,0.0,0.0,15.363000000000001,227.0,227.0,35650.637,525837.0,525837.0
2010-10-01,0.0,0.0,0.0,6.9430000000000005,98.0,98.0,39670.057,559112.0,559112.0
2010-11-01,0.0,0.0,0.0,147.917,2016.0,2016.0,35871.083,488826.0,488826.0
2010-12-01,0.0,0.0,0.0,194.84300000000002,2618.0,2618.0,42158.157,566512.0,566512.0
2011-01-01,0.0,0.0,0.0,106.456,1429.0,1429.0,40338.544,541330.0,541330.0
2011-02-01,0.0,0.0,0.0,361.003,5045.0,5045.0,29997.997,419216.0,419216.0
2011-03-01,0.0,0.0,0.0,510.309,7278.0,7278.0,34938.691,498293.0,498293.0
2011-04-01,0.0,0.0,0.0,436.231,6011.0,6011.0,39983.769,550960.0,550960.0
2011-05-01,0.0,0.0,0.0,514.979,7276.0,7276.0,39221.021,554137.0,554137.0
2011-06-01,0.0,0.0,0.0,151.949,2110.0,2110.0,45098.051,626380.0,626380.0
2011-07-01,0.0,0.0,0.0,79.057,1121.0,1121.0,46125.943,653840.0,653840.0
2011-08-01,0.0,0.0,0.0,283.562,3960.0,3960.0,42226.438,589754.0,589754.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
