measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Bituminous Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Generation,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Petroleum Coke-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Waste Coal-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-06-01,,,,,,,130221.0,2043144.0,2043144.0,0.0,0.0,0.0,17.0,210.0,210.0,,,,,,,,,,3850.0,52350.0,52350.0,,,,,,,8955.0,140501.0,140501.0
2004-07-01,,,,,,,108732.0,1577736.0,1577736.0,0.0,0.0,0.0,19.0,239.0,239.0,,,,,,,,,,3137.0,45525.0,45525.0,,,,,,,41771.0,606110.0,606110.0
2004-08-01,,,,,,,126265.0,1898688.0,1898688.0,75.0,1943.0,1943.0,11.0,139.0,139.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,15224.0,228928.0,228928.0
2004-09-01,,,,,,,36622.0,600072.0,600072.0,0.0,0.0,0.0,44.0,528.0,528.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,25774.0,422309.0,422309.0
2004-10-01,,,,,,,74900.0,1144080.0,1144080.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,29318.0,447816.0,447816.0
2004-11-01,,,,,,,63351.0,908208.0,908208.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,25895.0,371239.0,371239.0
2004-12-01,,,,,,,42529.0,638424.0,638424.0,411.0,6084.0,6084.0,29.0,342.0,342.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,26958.0,404684.0,404684.0
2005-01-01,,,,,,,103334.0,1640649.98,1640649.98,158.0,2424.4,2424.4,11.0,133.4,133.4,,,,,,,,,,0.0,0.0,0.0,,,,,,,16.0,248.88,248.88
2005-02-01,,,,,,,133394.0,1863534.99,1863534.99,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-03-01,,,,,,,197718.0,2632763.98,2632763.98,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-04-01,,,,,,,71606.0,1155557.33,1155557.33,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-05-01,,,,,,,34214.0,545790.44,545790.44,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,5817.0,92790.76,92790.76
2005-06-01,,,,,,,86787.0,1089771.23,1089771.23,0.0,0.0,0.0,0.0,10184.8,10184.8,,,,,,,,,,0.0,0.0,0.0,,,,,,,27198.0,341525.58,341525.58
2005-07-01,,,,,,,163039.0,2170217.44,2170217.44,0.0,1032.4,1032.4,0.0,46.4,46.4,,,,,,,,,,0.0,0.0,0.0,,,,,,,8174.0,108802.04,108802.04
2005-08-01,,,,,,,178049.0,2440174.64,2440174.64,332.0,13003.6,13003.6,574.0,4877.8,4877.8,,,,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-09-01,,,,,,,148927.0,2014523.67,2014523.67,156.0,2424.4,2424.4,22.0,295.8,295.8,,,,,,,,,,0.0,0.0,0.0,,,,,,,7284.0,98535.74,98535.74
2005-10-01,,,,,,,116660.0,1625704.4,1625704.4,1742.0,24458.6,24458.6,124.0,1287.6,1287.6,,,,,,,,,,0.0,0.0,0.0,,,,,,,15893.0,107879.11,107879.11
2005-11-01,,,,,,,116728.0,1710630.21,1710630.21,0.0,0.0,0.0,2.0,29.0,29.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,10174.0,72621.11,72621.11
2005-12-01,,,,,,,191072.0,2443155.24,2443155.24,0.0,696.0,696.0,18.0,214.6,214.6,,,,,,,,,,0.0,0.0,0.0,,,,,,,5577.0,71316.0,71316.0
2006-01-01,,,,,,,92621.0,1222063.0,1222063.0,0.0,0.0,0.0,7.0,64.0,64.0,800.0,10562.0,10562.0,,,,,,,0.0,0.0,0.0,,,,,,,14368.0,189570.0,189570.0
2006-02-01,,,,,,,125698.0,1615192.0,1615192.0,74.0,1270.0,1270.0,0.0,70.0,70.0,997.0,12812.0,12812.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-03-01,,,,,,,186022.0,2219043.0,2219043.0,0.0,0.0,0.0,0.0,0.0,0.0,617.0,7366.0,7366.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-04-01,,,,,,,122714.0,1521618.0,1521618.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,6757.0,6757.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-05-01,,,,,,,70892.0,897884.0,897884.0,37.0,650.0,650.0,0.0,46.0,46.0,639.0,8062.0,8062.0,,,,,,,0.0,0.0,0.0,,,,,,,9525.0,120645.0,120645.0
2006-06-01,,,,,,,82876.0,1106728.0,1106728.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.0,17197.0,17197.0,,,,,,,0.0,0.0,0.0,,,,,,,8058.0,107610.0,107610.0
2006-07-01,,,,,,,158880.0,2057601.0,2057601.0,142.0,2459.0,2459.0,20.0,319.0,319.0,877.0,11356.0,11356.0,,,,,,,0.0,0.0,0.0,,,,,,,15538.0,201225.0,201225.0
2006-08-01,,,,,,,186924.0,2527064.0,2527064.0,83.0,1322.0,1322.0,2.0,377.0,377.0,1088.0,14703.0,14703.0,,,,,,,0.0,0.0,0.0,,,,,,,1102.0,14895.0,14895.0
2006-09-01,,,,,,,140163.0,2013312.0,2013312.0,0.0,0.0,0.0,0.0,0.0,0.0,856.0,12290.0,12290.0,,,,,,,0.0,0.0,0.0,,,,,,,8927.0,128235.0,128235.0
2006-10-01,,,,,,,131315.0,1809096.0,1809096.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,13711.0,13711.0,,,,,,,0.0,0.0,0.0,,,,,,,4606.0,63455.0,63455.0
2006-11-01,,,,,,,83959.0,1209741.0,1209741.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,13897.0,13897.0,,,,,,,0.0,0.0,0.0,,,,,,,3386.0,48787.0,48787.0
2006-12-01,,,,,,,106906.0,1373623.0,1373623.0,0.0,0.0,0.0,3.0,41.0,41.0,949.0,12192.0,12192.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-01-01,,,,,,,155133.0,2045710.0,2045710.0,0.0,0.0,0.0,10.0,16756.0,16756.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-02-01,,,,,,,202570.001,2623970.0,2623970.0,0.0,0.0,0.0,19.0,5464.0,5464.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-03-01,,,,,,,168342.0,2019809.0,2019809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-04-01,,,,,,,180341.8,2210874.0,2210874.0,0.0,0.0,0.0,0.0,7540.0,7540.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,2733.2,33507.0,33507.0
2007-05-01,,,,,,,132742.059,1708126.0,1708126.0,0.0,0.0,0.0,3.0,12592.0,12592.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,,2074.9410000000003,26700.0,26700.0
2007-06-01,,,,,,,214433.339,2686988.0,2686988.0,62.0,615.0,615.0,0.0,0.0,0.0,452.682,5672.0,5672.0,,,,,,,0.0,0.0,0.0,,,,,,,6116.977,76650.0,76650.0
2007-07-01,,,,,,,212466.161,2715036.0,2715036.0,47.0,1340.0,1340.0,33.0,325.0,325.0,688.9920000000001,8804.0,8804.0,,,,,,,0.0,0.0,0.0,,,,,,,5355.847000000001,68441.0,68441.0
2007-08-01,,,,,,,168095.304,2235850.0,2235850.0,40.0,1067.0,1067.0,65.0,441.0,441.0,471.375,6270.0,6270.0,,,,,,,0.0,0.0,0.0,,,,,,,2963.3210000000004,39415.0,39415.0
2007-09-01,,,,,,,95581.091,1333691.0,1333691.0,0.0,0.0,0.0,22.0,249.0,249.0,601.469,8393.0,8393.0,,,,,,,0.0,0.0,0.0,,,,,,,6465.44,90216.0,90216.0
2007-10-01,,,,,,,152789.529,1893516.0,1893516.0,0.0,0.0,0.0,18.0,174.0,174.0,363.17400000000004,4501.0,4501.0,,,,,,,0.0,0.0,0.0,,,,,,,7053.2970000000005,87411.0,87411.0
2007-11-01,,,,,,,156859.975,2040051.0,2040051.0,0.0,17.0,17.0,4.0,64.0,64.0,237.698,3091.0,3091.0,,,,,,,0.0,0.0,0.0,,,,,,,3480.327,45264.0,45264.0
2007-12-01,,,,,,,158586.865,1942817.0,1942817.0,0.0,0.0,0.0,0.0,0.0,0.0,405.73600000000005,4971.0,4971.0,,,,,,,0.0,0.0,0.0,,,,,,,294.397,3607.0,3607.0
2008-01-01,,,,,,,159854.832,2056092.0,2056092.0,0.0,0.0,0.0,7.0,116.0,116.0,807.168,10382.0,10382.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-02-01,,,,,,,198367.958,2545269.0,2545269.0,175.0,2245.0,2245.0,0.0,0.0,0.0,1168.0420000000001,14987.0,14987.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-03-01,,,,,,,216697.304,2662052.0,2662052.0,0.0,35.0,35.0,0.0,0.0,0.0,733.696,9013.0,9013.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-04-01,,,,,,,188883.67,2339942.0,2339942.0,0.0,23.0,23.0,0.0,0.0,0.0,451.33,5591.0,5591.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-05-01,,,,,,,160120.287,1938506.0,1938506.0,0.0,17.0,17.0,0.0,0.0,0.0,773.7130000000001,9367.0,9367.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-06-01,,,,,,,206829.43,2623263.0,2623263.0,78.0,1259.0,1259.0,88.0,951.0,951.0,759.57,9634.0,9634.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-07-01,,,,,,,234437.242,2779803.0,2779803.0,0.0,0.0,0.0,0.0,0.0,0.0,506.75800000000004,6009.0,6009.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-08-01,,,,,,,244465.473,2983071.0,2983071.0,25.0,400.0,400.0,0.0,0.0,0.0,567.527,6925.0,6925.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-09-01,,,,,,,203390.493,2502014.0,2502014.0,11.0,174.0,174.0,13.0,145.0,145.0,760.5070000000001,9355.0,9355.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-10-01,,,,,,,159017.911,1984825.0,1984825.0,0.0,52.0,52.0,0.0,0.0,0.0,571.089,7128.0,7128.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-11-01,,,,,,,160304.833,1952254.0,1952254.0,3.0,6.0,6.0,0.0,0.0,0.0,538.167,6554.0,6554.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2008-12-01,,,,,,,165837.166,2104762.0,2104762.0,0.0,0.0,0.0,0.0,0.0,0.0,410.834,5214.0,5214.0,,,,,,,0.0,0.0,0.0,,,,,,,,,
2009-01-01,,,,,,,205310.142,2497470.0,2497470.0,68.0,1160.0,1160.0,23.0,313.0,313.0,557.8580000000001,6786.0,6786.0,,,,,,,,,,,,,,,,,,
2009-02-01,,,,,,,141549.705,1687325.0,1687325.0,0.0,0.0,0.0,0.0,0.0,0.0,333.295,3973.0,3973.0,,,,,,,,,,,,,,,,,,
2009-03-01,,,,,,,34020.83,482014.0,482014.0,1.0,52.0,52.0,0.0,87.0,87.0,252.17,3573.0,3573.0,,,,,,,,,,,,,,,,,,
2009-04-01,,,,,,,49480.856,577460.0,577460.0,0.0,0.0,0.0,0.0,46.0,46.0,141.144,1647.0,1647.0,,,,,,,,,,,,,,,,,,
2009-05-01,,,,,,,63638.678,804130.0,804130.0,0.0,41.0,41.0,0.0,0.0,0.0,472.322,5968.0,5968.0,,,,,,,,,,,,,,,,,,
2009-06-01,,,,,,,96422.99,1225661.0,1225661.0,9.0,99.0,99.0,0.0,0.0,0.0,741.01,9419.0,9419.0,,,,,,,,,,,,,,,,,,
2009-07-01,,,,,,,114763.653,1534872.0,1534872.0,0.0,0.0,0.0,0.0,0.0,0.0,746.347,9982.0,9982.0,,,,,,,,,,,,,,,,,,
2009-08-01,,,,,,,101275.217,1193293.0,1193293.0,85.0,1404.0,1404.0,0.0,0.0,0.0,648.783,7644.0,7644.0,,,,,,,,,,,,,,,,,,
2009-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
2009-10-01,,,,,,,0.0,45482.0,45482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,,,,,,,,,,,,,,,,,,
2009-11-01,,,,,,,70971.759,969956.0,969956.0,0.0,0.0,0.0,0.0,0.0,0.0,801.241,10950.0,10950.0,,,,,,,,,,,,,,,,,,
2009-12-01,,,,,,,196083.92,2427614.0,2427614.0,0.0,0.0,0.0,5.0,29.0,29.0,727.08,9002.0,9002.0,,,,,,,,,,,,,,,,,,
2010-01-01,,,,,,,184832.741,2283726.0,2283726.0,0.0,0.0,0.0,0.0,0.0,0.0,487.259,6020.0,6020.0,,,,,,,,,,,,,,,,,,
2010-02-01,,,,,,,136938.882,1722055.0,1722055.0,0.0,0.0,0.0,0.0,0.0,0.0,831.118,10452.0,10452.0,,,,,,,,,,,,,,,,,,
2010-03-01,,,,,,,171797.543,2157919.0,2157919.0,0.0,0.0,0.0,0.0,0.0,0.0,652.457,8195.0,8195.0,,,,,,,,,,,,,,,,,,
2010-04-01,,,,,,,63311.473,782970.0,782970.0,0.0,0.0,0.0,19.0,209.0,209.0,415.52700000000004,5139.0,5139.0,,,,,,,,,,,,,,,,,,
2010-05-01,,,,,,,94620.869,1119579.0,1119579.0,0.0,0.0,0.0,0.0,0.0,0.0,293.13100000000003,3468.0,3468.0,,,,,,,,,,,,,,,,,,
2010-06-01,,,,,,,182232.175,2300962.0,2300962.0,0.0,0.0,0.0,0.0,0.0,0.0,504.82500000000005,6374.0,6374.0,,,,,,,,,,,,,,,,,,
2010-07-01,,,,,,,205928.122,2562195.0,2562195.0,136.0,3219.0,3219.0,50.0,650.0,650.0,476.87800000000004,5933.0,5933.0,,,,,,,,,,,,,,,,,,
2010-08-01,,,,,,,187245.161,2471431.0,2471431.0,0.0,0.0,0.0,109.0,1172.0,1172.0,617.839,8155.0,8155.0,,,,,,,,,,,,,,,,,,
2010-09-01,,,,,,,143441.101,1818136.0,1818136.0,0.0,0.0,0.0,0.0,0.0,0.0,804.899,10202.0,10202.0,,,,,,,,,,,,,,,,,,
2010-10-01,,,,,,,68550.39199999999,877565.0,877565.0,0.0,0.0,0.0,0.0,0.0,0.0,925.6080000000001,11849.0,11849.0,,,,,,,,,,,,,,,,,,
2010-11-01,,,,,,,79268.933,991815.0,991815.0,0.0,0.0,0.0,0.0,0.0,0.0,953.067,11925.0,11925.0,,,,,,,,,,,,,,,,,,
2010-12-01,,,,,,,182602.703,2236989.0,2236989.0,0.0,0.0,0.0,0.0,0.0,0.0,877.297,10747.0,10747.0,,,,,,,,,,,,,,,,,,
2011-01-01,,,,,,,194184.15,2370093.0,2370093.0,0.0,0.0,0.0,0.0,0.0,0.0,481.853,5881.0,5881.0,,,,,,,,,,,,,,,,,,
2011-02-01,,,,,,,100942.27,1183204.0,1183204.0,0.0,0.0,0.0,0.0,0.0,0.0,359.729,4217.0,4217.0,,,,,,,,,,,,,,,,,,
2011-03-01,,,,,,,28238.053,376379.0,376379.0,59.0,882.0,882.0,0.0,0.0,0.0,194.947,2598.0,2598.0,,,,,,,,,,,,,,,,,,
2011-04-01,,,,,,,26774.668,271165.0,271165.0,0.0,0.0,0.0,0.0,0.0,0.0,605.332,6131.0,6131.0,,,,,,,,,,,,,,,,,,
2011-05-01,,,,,,,43034.785,682964.0,682964.0,0.0,0.0,0.0,15.0,197.0,197.0,768.215,12192.0,12192.0,,,,,,,,,,,,,,,,,,
2011-06-01,,,,,,,121018.07,1541329.0,1541329.0,0.0,0.0,0.0,8.0,81.0,81.0,745.928,9500.0,9500.0,,,,,,,,,,,,,,,,,,
2011-07-01,,,,,,,159458.41,2060161.0,2060161.0,279.0,5133.0,5133.0,43.0,476.0,476.0,548.587,7088.0,7088.0,,,,,,,,,,,,,,,,,,
2011-08-01,,,,,,,141693.07,1728203.0,1728203.0,0.0,81.0,81.0,0.0,0.0,0.0,292.929,3573.0,3573.0,,,,,,,,,,,,,,,,,,
2011-09-01,,,,,,,2946.122,18672.0,18672.0,0.0,0.0,0.0,0.0,0.0,0.0,22.878,145.0,145.0,,,,,,,,,,,,,,,,,,
2011-10-01,,,,,,,15231.664,232924.0,232924.0,0.0,0.0,0.0,0.0,0.0,0.0,118.336,1810.0,1810.0,,,,,,,,,,,,,,,,,,
2011-11-01,,,,,,,16155.435,192878.0,192878.0,0.0,0.0,0.0,0.0,0.0,0.0,117.565,1404.0,1404.0,,,,,,,,,,,,,,,,,,
2011-12-01,,,,,,,42998.641,643371.0,643371.0,0.0,0.0,0.0,0.0,0.0,0.0,352.359,5272.0,5272.0,,,,,,,,,,,,,,,,,,
2012-01-01,,,,,,,44758.453,633935.0,633935.0,0.0,0.0,0.0,0.0,0.0,0.0,316.547,4483.0,4483.0,,,,,,,,,,,,,,,,,,
2012-02-01,,,,,,,2007.917,14766.0,14766.0,0.0,0.0,0.0,0.0,0.0,0.0,22.083,162.0,162.0,,,,,,,,,,,,,,,,,,
2012-03-01,,,,,,,22828.618,298606.0,298606.0,0.0,0.0,0.0,0.0,0.0,0.0,361.382,4727.0,4727.0,,,,,,,,,,,,,,,,,,
2012-04-01,,,,,,,4535.636,47509.0,47509.0,0.0,0.0,0.0,0.0,0.0,0.0,24.364,255.0,255.0,,,,,,,,,,,,,,,,,,
2012-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
