measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Generation,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Petroleum Coke-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-10-01,,,,,,,55106.527,250018.68,695381.54,,,,,,
2004-11-01,,,,,,,46485.598,210905.47,586595.26,,,,,,
2004-12-01,,,,,,,55267.088,250747.14,697407.63,,,,,,
2005-01-01,,,,,,,35774.833,162310.66,464717.99,,,,,,
2005-02-01,,,,,,,32290.519,146502.3,419456.47,,,,,,
2005-03-01,,,,,,,34848.012,158105.66,452678.51,,,,,,
2005-04-01,,,,,,,35015.377,158865.0,454852.59,,,,,,
2005-05-01,,,,,,,38457.596,174482.37,499567.31,,,,,,
2005-06-01,,,,,,,49396.542,224112.44,641665.1,,,,,,
2005-07-01,,,,,,,63253.193,286980.16,821664.13,,,,,,
2005-08-01,,,,,,,65550.441,297402.79,851505.57,,,,,,
2005-09-01,,,,,,,49439.025,224305.19,642216.96,,,,,,
2005-10-01,,,,,,,38374.236000000004,174104.17,498484.46,,,,,,
2005-11-01,,,,,,,34238.98,155342.48,444767.13,,,,,,
2005-12-01,,,,,,,39065.667,177241.19,507466.2,,,,,,
2006-01-01,,,,,,,45287.425,205469.35,1085382.03,,,,,,
2006-02-01,,,,,,,39928.775,181157.12,956953.83,,,,,,
2006-03-01,,,,,,,44226.521,200656.02,1059955.84,,,,,,
2006-04-01,,,,,,,42139.112,191185.43,1009927.9,,,,,,
2006-05-01,,,,,,,49116.61,222842.38,1177154.26,,,,,,
2006-06-01,,,,,,,52061.238,236202.18,1247726.75,,,,,,
2006-07-01,,,,,,,58618.657,265953.24,1404885.28,,,,,,
2006-08-01,,,,,,,60556.641,274745.88,1451332.01,,,,,,
2006-09-01,,,,,,,49307.43,223708.14,1181727.55,,,,,,
2006-10-01,,,,,,,51688.352,234510.4,1238789.97,,,,,,
2006-11-01,,,,,,,43661.993,198094.75,1046426.08,,,,,,
2006-12-01,,,,,,,48962.148,222141.59,1173452.35,,,,,,
2007-01-01,,,,,,,39323.820999999996,175570.0,1000450.0,,,,,,
2007-02-01,,,,,,,33412.659,149178.0,850063.0,,,,,,
2007-03-01,,,,,,,38880.173,173590.0,989163.0,,,,,,
2007-04-01,,,,,,,36618.988,163494.0,931636.0,,,,,,
2007-05-01,,,,,,,39911.617,178194.0,1015405.0,,,,,,
2007-06-01,,,,,,,46730.891,208641.0,1188896.0,,,,,,
2007-07-01,,,,,,,50453.892,225263.0,1283615.0,,,,,,
2007-08-01,,,,,,,60146.627,268539.0,1530210.0,,,,,,
2007-09-01,,,,,,,49169.596,219529.0,1250941.0,,,,,,
2007-10-01,,,,,,,41335.328,184551.0,1051626.0,,,,,,
2007-11-01,,,,,,,32688.827,145947.0,831648.0,,,,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,33886.58,151295.0,862120.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31783.105,142136.0,429261.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,26857.922,120110.0,362741.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,30817.314,137817.0,416215.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,29966.685,134013.0,404727.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,36446.409,162991.0,492241.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,44270.914,197982.0,597918.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,48035.551,214818.0,648763.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,47315.855,211600.0,639044.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,31891.399,142620.0,430722.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,30533.384,136547.0,412381.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,23469.607,104958.0,316978.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,26011.855,116327.0,351313.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,,,,,,,27082.946,121138.0,372901.0,,,,,,
2009-02-01,,,,,,,23110.446,103370.0,318204.0,,,,,,
2009-03-01,,,,,,,29738.024,133014.0,409458.0,,,,,,
2009-04-01,,,,,,,25937.717,116016.0,357132.0,,,,,,
2009-05-01,,,,,,,34724.005,155315.0,478109.0,,,,,,
2009-06-01,,,,,,,46435.29,207698.0,639360.0,,,,,,
2009-07-01,,,,,,,51221.864,229108.0,705265.0,,,,,,
2009-08-01,,,,,,,51394.005,229878.0,707636.0,,,,,,
2009-09-01,,,,,,,38457.304000000004,172014.0,529512.0,,,,,,
2009-10-01,,,,,,,30954.278,138454.0,426204.0,,,,,,
2009-11-01,,,,,,,23812.807,106511.0,327874.0,,,,,,
2009-12-01,,,,,,,31155.314,139353.0,428972.0,,,,,,
2010-01-01,,,,,,,44040.069,196787.0,571018.0,,,,,,
2010-02-01,,,,,,,41271.553,184416.0,535122.0,,,,,,
2010-03-01,,,,,,,32729.777000000002,146249.0,424370.0,,,,,,
2010-04-01,,,,,,,38372.772,171464.0,497537.0,,,,,,
2010-05-01,,,,,,,46879.436,209474.0,607833.0,,,,,,
2010-06-01,,,,,,,56409.115,252056.0,731394.0,,,,,,
2010-07-01,,,,,,,58921.096,263281.0,763964.0,,,,,,
2010-08-01,,,,,,,69826.802,312012.0,905366.0,,,,,,
2010-09-01,,,,,,,50787.892,226939.0,658510.0,,,,,,
2010-10-01,,,,,,,37751.595,168688.0,489482.0,,,,,,
2010-11-01,,,,,,,34103.255,152386.0,442179.0,,,,,,
2010-12-01,,,,,,,35589.638,159027.0,461451.0,,,,,,
2011-01-01,,,,,,,29802.549,133260.0,386906.0,,,,,,
2011-02-01,,,,,,,27060.571,120999.0,351310.0,,,,,,
2011-03-01,,,,,,,24344.345,108854.0,316047.0,,,,,,
2011-04-01,,,,,,,31400.613,140405.0,407654.0,,,,,,
2011-05-01,,,,,,,33441.421,149531.0,434149.0,,,,,,
2011-06-01,,,,,,,43409.423,194102.0,563557.0,,,,,,
2011-07-01,,,,,,,52645.605,235401.0,683464.0,,,,,,
2011-08-01,,,,,,,56662.265,253361.0,735609.0,,,,,,
2011-09-01,,,,,,,39869.598,178274.0,517601.0,,,,,,
2011-10-01,,,,,,,30427.66,136055.0,395022.0,,,,,,
2011-11-01,,,,,,,28074.26,125532.0,364470.0,,,,,,
2011-12-01,,,,,,,33723.69,150793.0,437813.0,,,,,,
2012-01-01,,,,,,,38211.482,170796.0,442102.0,,,,,,
2012-02-01,,,,,,,35616.63,159198.0,412080.0,,,,,,
2012-03-01,,,,,,,39082.811,174691.0,452183.0,,,,,,
2012-04-01,,,,,,,43977.14,196567.0,508810.0,,,,,,
2012-05-01,,,,,,,47247.077,211183.0,546642.0,,,,,,
2012-06-01,,,,,,,52492.529,234629.0,607331.0,,,,,,
2012-07-01,,,,,,,56632.041,253132.0,655225.0,,,,,,
2012-08-01,,,,,,,58737.222,262541.0,679581.0,,,,,,
2012-09-01,,,,,,,45375.275,202817.0,524986.0,,,,,,
2012-10-01,,,,,,,35638.523,159296.0,412333.0,,,,,,
2012-11-01,,,,,,,32281.018,144288.0,373487.0,,,,,,
2012-12-01,,,,,,,34738.252,155272.0,401917.0,,,,,,
2013-01-01,,,,,,,40229.128,179878.0,503195.0,,,,,,
2013-02-01,,,,,,,31776.181,142082.0,397464.0,,,,,,
2013-03-01,,,,,,,34206.877,152950.0,427867.0,,,,,,
2013-04-01,,,,,,,36870.278,164859.0,461181.0,,,,,,
2013-05-01,,,,,,,39688.601,177461.0,496433.0,,,,,,
2013-06-01,,,,,,,48990.973,219055.0,612789.0,,,,,,
2013-07-01,,,,,,,54329.042,242923.0,679559.0,,,,,,
2013-08-01,,,,,,,60469.09,270377.0,756361.0,,,,,,
2013-09-01,,,,,,,51160.299,228754.0,639924.0,,,,,,
2013-10-01,,,,,,,40029.476,178985.0,500697.0,,,,,,
2013-11-01,,,,,,,39132.286,174973.0,489476.0,,,,,,
2013-12-01,,,,,,,42788.769,191323.0,535211.0,,,,,,
2014-01-01,,,,,,,40920.476,182917.0,541843.0,,,,,,
2014-02-01,,,,,,,35710.32,159627.0,472853.0,,,,,,
2014-03-01,,,,,,,36241.296,162000.0,479884.0,,,,,,
2014-04-01,,,,,,,37482.353,167548.0,496318.0,,,,,,
2014-05-01,,,,,,,41479.395,185415.0,549244.0,,,,,,
2014-06-01,,,,,,,48445.458,216554.0,641484.0,,,,,,
2014-07-01,,,,,,,56284.183,251593.0,745279.0,,,,,,
2014-08-01,,,,,,,62704.828,280294.0,830298.0,,,,,,
2014-09-01,,,,,,,50977.07,227870.0,675006.0,,,,,,
2014-10-01,,,,,,,44648.06,199579.0,591202.0,,,,,,
2014-11-01,,,,,,,38729.615,173123.0,512833.0,,,,,,
2014-12-01,,,,,,,42309.946,189128.0,560242.0,,,,,,
2015-01-01,,,,,,,43265.115,193369.0,579863.0,,,,,,
2015-02-01,,,,,,,39214.92,175268.0,525580.0,,,,,,
2015-03-01,,,,,,,44456.062,198692.0,595824.0,,,,,,
2015-04-01,,,,,,,41193.788,184112.0,552102.0,,,,,,
2015-05-01,,,,,,,42835.9,191451.0,574110.0,,,,,,
2015-06-01,,,,,,,50403.94,225276.0,675541.0,,,,,,
2015-07-01,,,,,,,59769.201,267133.0,801060.0,,,,,,
2015-08-01,,,,,,,61408.363,274459.0,823028.0,,,,,,
2015-09-01,,,,,,,51489.659,230128.0,690093.0,,,,,,
2015-10-01,,,,,,,44857.168,200485.0,601200.0,,,,,,
2015-11-01,,,,,,,38960.878,174132.0,522175.0,,,,,,
2015-12-01,,,,,,,43921.006,196301.0,588653.0,,,,,,
2016-01-01,,,,,,,47579.245,233087.0,596351.0,,,,,,
2016-02-01,,,,,,,41548.745,203544.0,520765.0,,,,,,
2016-03-01,,,,,,,46765.787,229102.0,586154.0,,,,,,
2016-04-01,,,,,,,44625.463,218616.0,559329.0,,,,,,
2016-05-01,,,,,,,49867.565,244297.0,625032.0,,,,,,
2016-06-01,,,,,,,55762.66,273177.0,698920.0,,,,,,
2016-07-01,,,,,,,62332.814,305363.0,781269.0,,,,,,
2016-08-01,,,,,,,64166.232,314345.0,804249.0,,,,,,
2016-09-01,,,,,,,54206.461,265553.0,679415.0,,,,,,
2016-10-01,,,,,,,42715.561,209260.0,535390.0,,,,,,
2016-11-01,,,,,,,38201.379,187145.0,478810.0,,,,,,
2016-12-01,,,,,,,35580.088,174304.0,445955.0,,,,,,
2017-01-01,,,,,,,24633.512,120776.0,303723.0,,,,,,
2017-02-01,,,,,,,21830.822,107035.0,269167.0,,,,,,
2017-03-01,,,,,,,25721.73,126112.0,317141.0,,,,,,
2017-04-01,,,,,,,25425.913,124661.0,313494.0,,,,,,
2017-05-01,,,,,,,29016.693,142267.0,357767.0,,,,,,
2017-06-01,,,,,,,37168.561,182235.0,458277.0,,,,,,
2017-07-01,,,,,,,45596.468,223556.0,562191.0,,,,,,
2017-08-01,,,,,,,43528.011,213414.0,536687.0,,,,,,
2017-09-01,,,,,,,32101.301,157390.0,395800.0,,,,,,
2017-10-01,,,,,,,28368.45,139088.0,349774.0,,,,,,
2017-11-01,,,,,,,23592.889,115674.0,290894.0,,,,,,
2017-12-01,,,,,,,30854.65,151278.0,380429.0,,,,,,
2018-01-01,,,,,,,44838.187,219652.0,503647.0,,,,,,
2018-02-01,,,,,,,40330.151,197568.0,453012.0,,,,,,
2018-03-01,,,,,,,40774.503,199745.0,458003.0,,,,,,
2018-04-01,,,,,,,37853.076,185434.0,425188.0,,,,,,
2018-05-01,,,,,,,51219.549,250913.0,575329.0,,,,,,
2018-06-01,,,,,,,55862.631,273658.0,627483.0,,,,,,
2018-07-01,,,,,,,69467.475,340305.0,780300.0,,,,,,
2018-08-01,,,,,,,64675.038,316828.0,726469.0,,,,,,
2018-09-01,,,,,,,54869.182,268792.0,616324.0,,,,,,
2018-10-01,,,,,,,46098.567,225826.0,517807.0,,,,,,
2018-11-01,,,,,,,39795.516,194949.0,447007.0,,,,,,
2018-12-01,,,,,,,43058.125,210932.0,483655.0,,,,,,
2019-01-01,,,,,,,39152.903,191923.0,483200.0,,,,,,
2019-02-01,,,,,,,31476.153,154293.0,388459.0,,,,,,
2019-03-01,,,,,,,33821.589,165790.0,417405.0,,,,,,
2019-04-01,,,,,,,30474.853,149385.0,376102.0,,,,,,
2019-05-01,,,,,,,41454.026,203203.0,511599.0,,,,,,
2019-06-01,,,,,,,47822.665,234422.0,590197.0,,,,,,
2019-07-01,,,,,,,55028.947,269746.0,679132.0,,,,,,
2019-08-01,,,,,,,59244.71,290411.0,731162.0,,,,,,
2019-09-01,,,,,,,51203.475,250994.0,631921.0,,,,,,
2019-10-01,,,,,,,39703.522,194623.0,489996.0,,,,,,
2019-11-01,,,,,,,36013.369,176534.0,444454.0,,,,,,
2019-12-01,,,,,,,40040.788,196276.0,494158.0,,,,,,
2020-01-01,,,,,,,35901.849,175929.0,446126.0,,,,,,
2020-02-01,,,,,,,34157.592,167382.0,424451.0,,,,,,
2020-03-01,,,,,,,33285.245,163107.0,413611.0,,,,,,
2020-04-01,,,,,,,29637.275,145231.0,368281.0,,,,,,
2020-05-01,,,,,,,35481.239,173868.0,440899.0,,,,,,
2020-06-01,,,,,,,41966.25,205646.0,521483.0,,,,,,
2020-07-01,,,,,,,51058.516,250201.0,634467.0,,,,,,
2020-08-01,,,,,,,49417.939,242162.0,614080.0,,,,,,
2020-09-01,,,,,,,40778.732,199827.0,506727.0,,,,,,
2020-10-01,,,,,,,35264.048,172804.0,438201.0,,,,,,
2020-11-01,,,,,,,27621.493,135353.0,343232.0,,,,,,
2020-12-01,,,,,,,30356.822,148757.0,377222.0,,,,,,
2021-01-01,,,,,,,39091.459,191489.0,478259.0,,,,,,
2021-02-01,,,,,,,38014.699,186215.0,465086.0,,,,,,
2021-03-01,,,,,,,29626.975,145128.0,362467.0,,,,,,
2021-04-01,,,,,,,33749.574,165322.0,412905.0,,,,,,
2021-05-01,,,,,,,38629.971,189229.0,472613.0,,,,,,
2021-06-01,,,,,,,52582.903,257577.0,643319.0,,,,,,
2021-07-01,,,,,,,57927.798,283759.0,708710.0,,,,,,
2021-08-01,,,,,,,59073.986,289373.0,722733.0,,,,,,
2021-09-01,,,,,,,49918.529,244526.0,610722.0,,,,,,
2021-10-01,,,,,,,42239.788,206911.0,516778.0,,,,,,
2021-11-01,,,,,,,34743.093,170189.0,425061.0,,,,,,
2021-12-01,,,,,,,36458.225,178590.0,446044.0,,,,,,
2022-01-01,,,,,,,42635.328,208922.0,516794.0,,,,,,
2022-02-01,,,,,,,37958.173,186003.0,460103.0,,,,,,
2022-03-01,,,,,,,30226.514,148116.0,366386.0,,,,,,
2022-04-01,,,,,,,31509.191,154402.0,381934.0,,,,,,
2022-05-01,,,,,,,46547.528,228093.0,564218.0,,,,,,
2022-06-01,,,,,,,56661.468,277653.0,686812.0,,,,,,
2022-07-01,,,,,,,66769.408,327184.0,809333.0,,,,,,
2022-08-01,,,,,,,67116.956,328887.0,813546.0,,,,,,
2022-09-01,,,,,,,56575.564,277232.0,685771.0,,,,,,
2022-10-01,,,,,,,43725.401,214264.0,530010.0,,,,,,
2022-11-01,,,,,,,40982.75,200824.0,496766.0,,,,,,
2022-12-01,,,,,,,45480.719,222865.0,551287.0,,,,,,
2023-01-01,,,,,,,27964.523,137126.0,346817.0,,,,,,
2023-02-01,,,,,,,26375.172,129332.0,327108.0,,,,,,
2023-03-01,,,,,,,26030.266,127641.0,322830.0,,,,,,
2023-04-01,,,,,,,25139.402,123273.0,311782.0,,,,,,
2023-05-01,,,,,,,35891.381,175996.0,445128.0,,,,,,
2023-06-01,,,,,,,41460.961,203307.0,514203.0,,,,,,
2023-07-01,,,,,,,45470.098,222966.0,563925.0,,,,,,
2023-08-01,,,,,,,50047.436,245411.0,620693.0,,,,,,
2023-09-01,,,,,,,42161.763,206743.0,522894.0,,,,,,
2023-10-01,,,,,,,31121.487,152606.0,385972.0,,,,,,
2023-11-01,,,,,,,28854.302,141489.0,357854.0,,,,,,
2023-12-01,,,,,,,30660.209,150344.0,380251.0,,,,,,
2024-01-01,,,,,,,40819.406,200038.0,500546.0,,,,,,
2024-02-01,,,,,,,28182.485,138110.0,345586.0,,,,,,
2024-03-01,,,,,,,31981.872,156729.0,392175.0,,,,,,
2024-04-01,,,,,,,30047.732,147251.0,368458.0,,,,,,
2024-05-01,,,,,,,40147.085,196743.0,492301.0,,,,,,
2024-06-01,,,,,,,45293.07,221962.0,555402.0,,,,,,
2024-07-01,,,,,,,48958.213,239923.0,600346.0,,,,,,
2024-08-01,,,,,,,55319.49,271097.0,678350.0,,,,,,
2024-09-01,,,,,,,45900.17,224937.0,562847.0,,,,,,
2024-10-01,,,,,,,39759.649,194845.0,487550.0,,,,,,
2024-11-01,,,,,,,31852.726,156096.0,390591.0,,,,,,
2024-12-01,,,,,,,34170.102,167453.0,419008.0,,,,,,
