measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2020-01-01,,,,16106.399,204154.0,204154.0
2020-02-01,,,,14542.87,184334.0,184334.0
2020-03-01,,,,13640.943,172901.0,172901.0
2020-04-01,,,,13313.885,168756.0,168756.0
2020-05-01,,,,13779.304,174655.0,174655.0
2020-06-01,,,,15848.639,200885.0,200885.0
2020-07-01,,,,17000.155,215480.0,215480.0
2020-08-01,,,,15067.534,190984.0,190984.0
2020-09-01,,,,12504.092,158492.0,158492.0
2020-10-01,,,,12643.949,160264.0,160264.0
2020-11-01,,,,10403.696,131869.0,131869.0
2020-12-01,,,,14677.534,186041.0,186041.0
2021-01-01,,,,3568.516,46649.0,46649.0
2021-02-01,,,,10821.079,141455.0,141455.0
2021-03-01,,,,3759.2,49140.0,49140.0
2021-04-01,,,,4493.207,58736.0,58736.0
2021-05-01,,,,11708.421,153054.0,153054.0
2021-06-01,,,,44123.362,576787.0,576787.0
2021-07-01,,,,36334.826,474974.0,474974.0
2021-08-01,,,,42575.026,556547.0,556547.0
2021-09-01,,,,1115.868,14586.0,14586.0
2021-10-01,,,,21104.242,275877.0,275877.0
2021-11-01,,,,51129.56,668373.0,668373.0
2021-12-01,,,,29195.693,381650.0,381650.0
2022-01-01,,,,42905.806,457099.0,457099.0
2022-02-01,,,,37493.617,399441.0,399441.0
2022-03-01,,,,33637.388,358359.0,358359.0
2022-04-01,,,,37743.952,402108.0,402108.0
2022-05-01,,,,38093.089,405828.0,405828.0
2022-06-01,,,,40727.259,433891.0,433891.0
2022-07-01,,,,42671.4,454603.0,454603.0
2022-08-01,,,,41262.075,439588.0,439588.0
2022-09-01,,,,33834.121,360454.0,360454.0
2022-10-01,,,,43761.319,466214.0,466214.0
2022-11-01,,,,39012.483,415622.0,415622.0
2022-12-01,,,,43776.491,466376.0,466376.0
2023-01-01,,,,11826.994,143537.0,143537.0
2023-02-01,,,,11266.23,136731.0,136731.0
2023-03-01,,,,12817.59,155559.0,155559.0
2023-04-01,,,,38205.632,463676.0,463676.0
2023-05-01,,,,77742.741,943512.0,943512.0
2023-06-01,,,,59430.234,721265.0,721265.0
2023-07-01,,,,111547.94,1353782.0,1353782.0
2023-08-01,,,,87427.317,1061047.0,1061047.0
2023-09-01,,,,60680.715,736441.0,736441.0
2023-10-01,,,,54797.43,665040.0,665040.0
2023-11-01,,,,10337.386,125458.0,125458.0
2023-12-01,,,,32839.792,398555.0,398555.0
2024-01-01,,,,17956.626,220049.0,220049.0
2024-02-01,,,,46073.056,564599.0,564599.0
2024-03-01,,,,53569.646,656465.0,656465.0
2024-04-01,,,,79636.289,975897.0,975897.0
2024-05-01,,,,103458.31,1267822.0,1267822.0
2024-06-01,,,,67118.77,822502.0,822502.0
2024-07-01,,,,132252.54,1620679.0,1620679.0
2024-08-01,,,,79359.234,972501.0,972501.0
2024-09-01,,,,38702.218,474273.0,474273.0
2024-10-01,,,,42749.407,523870.0,523870.0
2024-11-01,,,,53902.081,660539.0,660539.0
2024-12-01,,,,13077.816,160261.0,160261.0
