measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-12-01,13789.0,127068.0,628930.0,,,,,,,1020.0,9400.0,46525.0,22436.0,268911.0,268911.0,3889.0,-105778.0,114372.0,4653.0,42883.0,212255.0,,,,8383.0,77251.0,382364.0
2004-01-01,16039.24707,78966.94,757521.36,0.0,0.0,0.0,0.0,0.0,0.0,393.14802,1935.61,18568.08,19499.852,118881.37,268505.55,5694.579000000001,34717.15,98860.43,4442.33138,21871.18,209807.91,,,,8658.33853,42628.09,408926.7
2004-02-01,15978.54391,78668.07,777497.04,0.0,0.0,0.0,0.0,0.0,0.0,268.22991,1320.59,13051.75,19103.248,116463.46,288474.52,5223.072,31842.6,113985.03,3625.6960000000004,17850.6,176422.08,,,,8133.72019,40045.21,395777.2
2004-03-01,17593.2101,86617.65,799063.92,0.0,0.0,0.0,0.0,0.0,0.0,411.44981,2025.71,18687.59,16848.464,102717.11,288483.86,5618.715,34254.65,109882.46,2727.42622,13428.09,123876.65,,,,9814.09687,48318.3,445745.3
2004-04-01,8957.82106,44102.55,546724.08,0.0,0.0,0.0,0.0,0.0,0.0,210.23983,1035.09,12831.6,13537.349,82530.81,217616.59,4398.174,26813.59,80393.06,2162.97679,10649.11,132013.3,,,,5218.77332,25693.88,318518.2
2004-05-01,17667.26404,86982.25,765587.52,0.0,0.0,0.0,0.0,0.0,0.0,309.17524,1522.18,13397.7,15281.254,93162.57,268946.39,4468.276,27240.96,107320.88,2452.15628,12072.84,106260.95,,,,8004.92644,39411.11,346882.9
2004-06-01,16221.67072,79865.07,757496.88,0.0,0.0,0.0,0.0,0.0,0.0,286.23604,1409.24,13366.25,14699.312,89614.75,273829.21,3498.373,21327.92,95853.02,1425.83155,7019.88,66581.49,,,,9483.78669,46692.07,442860.6
2004-07-01,17260.79274,84981.04,767741.76,0.0,0.0,0.0,0.0,0.0,0.0,323.13383,1590.9,14372.65,14169.226999999999,86383.07,262905.24,3035.5080000000003,18506.06,85528.84,2079.72054,10239.21,92503.76,,,,8426.08889,41484.64,374783.5
2004-08-01,17694.22029,87114.96,772001.28,0.0,0.0,0.0,0.0,0.0,0.0,485.26410000000004,2389.13,21172.14,15774.848,96171.78,249615.28,3448.4370000000004,21023.49,134004.14,2342.73996,11534.14,102214.07,,,,6833.84264,33645.45,298161.5
2004-09-01,18078.60274,89007.41,724106.16,0.0,0.0,0.0,0.0,0.0,0.0,521.69046,2568.47,20895.38,18520.345999999998,112909.78,311274.83,2713.808,16544.8,75310.55,2089.82929,10288.98,83704.38,,,,6772.53751,33343.62,271261.9
2004-10-01,16243.28357,79971.48,790385.76,0.0,0.0,0.0,0.0,0.0,0.0,266.15934,1310.4,12951.11,19632.373,119689.29,322500.55,4279.097,26087.63,77954.32,1631.46985,8032.31,79386.08,,,,7164.91323,35275.43,348639.2
2004-11-01,16242.84656,79969.33,788329.44,440.48838,3129.15,7076.25,72.77852,0.0,0.0,145.80001,717.83,7076.25,14235.77662,86788.79,228691.43,3731.93048,22751.81,134163.88,1877.62477,9244.22,91128.54,,,,8698.95266,42828.05,422194.5
2004-12-01,14054.80534,69196.82,648132.48,0.0,0.0,0.0,0.0,0.0,0.0,491.30977,2418.89,22656.58,16060.057,97910.57,249512.8,4323.271000000001,26356.94,100461.71,3627.59545,17859.95,167285.31,,,,6861.31143,33780.68,316407.0
2005-01-01,16789.88683,82662.61,752258.16,0.0,0.0,0.0,0.0,0.0,0.0,289.38902,1424.77,12965.86,15214.993,92758.61,258331.4,5861.671,35735.84,121773.31,3407.5404000000003,16776.54,152672.27,0.0,0.0,0.0,8437.41975,41540.43,378032.2
2005-02-01,13081.57947,64405.28,644922.85,0.0,0.0,0.0,0.0,0.0,0.0,139.40717,686.35,6872.78,13206.046,80511.01,222833.96,4691.066,28599.21,103137.91,1881.57771,9263.68,92761.92,0.0,0.0,0.0,10013.12265,49298.18,493647.7
2005-03-01,16161.14148,79567.07,736276.83,0.0,0.0,0.0,0.0,0.0,0.0,297.29604,1463.69,13544.35,15370.562,93707.04,272796.26,4983.957,30384.83,112483.22,1594.66443,7851.1,72650.47,0.0,0.0,0.0,9930.04005,48889.13,452397.4
2005-04-01,7332.67801,36101.39,428015.28,0.0,0.0,0.0,0.0,0.0,0.0,587.5313,2892.63,34294.75,11892.355,72502.06,193646.41,3784.5420000000004,23072.56,69406.09,1727.34792,8504.35,100826.92,0.0,0.0,0.0,4162.51676,20493.56,242970.0
2005-05-01,16424.34308,80862.9,747423.82,0.0,0.0,0.0,0.0,0.0,0.0,123.6678,608.86,5627.76,14439.071,88028.18,262691.35,4554.703,27767.87,98815.84,2000.38153,9848.59,91031.51,0.0,0.0,0.0,7687.00459,37845.87,349813.1
2005-06-01,14368.81243,70742.79,662224.56,0.0,0.0,0.0,0.0,0.0,0.0,318.16813,1566.46,14663.62,15505.964,94532.53,277360.28,2173.159,13248.72,58289.96,865.02514,4258.83,39866.96,0.0,0.0,0.0,9071.0473,44660.0,418063.1
2005-07-01,14194.43064,69884.25,624904.76,0.0,0.0,0.0,0.0,0.0,0.0,235.81083,1160.98,10381.49,14126.012999999999,86119.62,253176.8,1696.85,10344.89,62742.43,2050.01558,10092.96,90251.21,0.0,0.0,0.0,8041.96395,39593.46,354044.6
2005-08-01,16996.01237,83677.44,745270.29,0.0,0.0,0.0,0.0,0.0,0.0,41.01208,201.92,1798.37,15852.632000000001,96646.0,281054.67,2004.1460000000002,12218.33,53452.78,904.89151,4455.1,39679.23,0.0,0.0,0.0,9263.38303,45606.94,406196.7
2005-09-01,14916.01856,73436.88,671156.84,7.964239999999999,53.52,140.41,0.8147099999999999,0.0,0.0,15.605509999999999,76.83,702.18,9756.36676,59479.95,172006.65,1233.17129,7518.06,40524.23,1824.30503,8981.7,82085.9,422.28026,2079.04,19000.8,8645.21764,42563.49,388997.7
2005-10-01,14586.590329999999,71814.99,680138.06,0.0,0.0,0.0,0.0,0.0,0.0,480.08622,2363.64,22385.28,0.0,0.0,0.0,0.0,0.0,0.0,3639.5,17918.56,169701.24,736.01433,3623.66,34318.6,8952.92013,44078.42,417453.4
2005-11-01,13859.21617,68233.87,687479.66,0.0,0.0,0.0,0.0,0.0,0.0,72.88853,358.86,3615.6,0.0,0.0,0.0,0.0,0.0,0.0,4135.99731,20362.99,205164.13,982.57936,4837.59,48740.37,9635.39963,47438.51,477959.3
2005-12-01,14769.78066,72716.91,707461.05,0.0,0.0,0.0,0.0,0.0,0.0,270.55903,1332.06,12959.57,1100.5040000000001,7676.17,22408.21,1789.999,9945.86,9945.86,4856.4406,23909.99,232619.74,1061.73158,5227.28,50856.12,7916.74812,38976.98,379206.1
2006-01-01,10850.08062,53418.82,721997.42,0.0,0.0,0.0,0.0,0.0,0.0,153.17676,754.14,10192.85,0.0,0.0,0.0,0.0,0.0,0.0,3418.74127,16831.68,227493.46,862.38387,4245.82,57385.65,15837.97948,77976.03,1053907.4
2006-02-01,9083.97733,44723.66,639220.88,0.0,0.0,0.0,0.0,0.0,0.0,54.41955,267.93,3829.39,3887.2940000000003,23698.99,78007.66,2395.949,14606.96,37593.92,2917.46086,14363.7,205295.74,192.05845,945.57,13514.76,14182.42081,69825.12,997987.9
2006-03-01,14788.70176,72810.06,739739.62,0.0,0.0,0.0,0.0,0.0,0.0,14.456449999999998,71.17,723.12,1351.142,19903.98,31297.99,3225.648,7998.54,7998.54,4378.85687,21558.67,219033.01,16.51032,81.29,825.86,10029.1656,49377.16,501664.8
2006-04-01,6193.13581,30491.02,435356.88,0.0,0.0,0.0,0.0,0.0,0.0,160.83013,791.82,11305.82,3950.674,24085.39,71863.62,1645.9540000000002,10034.6,23349.85,2173.94628,10703.11,152821.2,0.0,0.0,0.0,10000.11678,49234.14,702975.0
2006-05-01,10352.66739,50969.88,679171.42,0.0,0.0,0.0,0.0,0.0,0.0,246.23484,1212.3,16153.87,814.3340000000001,15404.71,19975.59,2462.2090000000003,4570.83,4570.83,3399.24962,16735.72,223002.74,0.0,0.0,0.0,13739.15315,67642.76,901336.8
2006-06-01,9039.06693,44502.55,639171.93,0.0,0.0,0.0,0.0,0.0,0.0,141.83360000000002,698.3,10029.36,314.01800000000003,6983.73,6983.73,1963.814,2811.42,2811.42,3043.72552,14985.35,215228.4,0.0,0.0,0.0,13431.70994,66129.1,949785.2
2006-07-01,8819.96153,43423.82,650061.97,0.0,0.0,0.0,0.0,0.0,0.0,227.36399,1119.39,16757.52,2270.149,28172.32,42125.46,3489.73,6942.94,6942.94,2769.89439,13637.18,204150.89,0.0,0.0,0.0,11885.8641,58518.35,876029.7
2006-08-01,10456.10236,51479.12,741636.2,0.0,0.0,0.0,0.0,0.0,0.0,55.76248,274.54,3955.15,1270.477,22300.09,24426.26,2990.3740000000003,3676.3,3676.3,2640.69494,13001.08,187300.67,0.0,0.0,0.0,12551.79021,61796.94,890280.3
2006-09-01,9073.29459,44671.07,703288.57,0.0,0.0,0.0,0.0,0.0,0.0,100.67364,495.65,7803.41,679.892,17450.56,17450.56,4943.624,3052.88,3052.88,2488.54127,12251.98,192891.64,0.0,0.0,0.0,12745.4355,62750.33,987923.3
2006-10-01,10623.46827,52303.13,768335.15,0.0,0.0,0.0,0.0,0.0,0.0,34.42892,169.51,2490.05,2298.958,33219.02,40349.03,3920.905,4700.54,4700.54,3131.50216,15417.5,226483.77,0.0,0.0,0.0,14509.68166,71436.34,1049402.9
2006-11-01,8967.67841,44151.08,694968.09,0.0,0.0,0.0,0.0,0.0,0.0,174.36693,858.47,13512.91,1507.671,27461.3,27461.3,5301.816,8536.59,8536.59,3968.11487,19536.45,307516.96,0.0,0.0,0.0,12744.95679,62747.97,987695.8
2006-12-01,8545.43222,42072.21,634815.92,0.0,0.0,0.0,0.0,0.0,0.0,448.02335,2205.78,33282.38,3330.32,32088.39,57749.22,5797.331,23558.58,23558.58,4307.01443,21204.97,319955.88,0.0,0.0,0.0,12434.61,61220.02,923731.9
2007-01-01,11050.11,54401.0,745564.0,0.0,0.0,0.0,0.0,0.0,0.0,196.083,968.0,13230.0,0.0,0.0,0.0,0.0,0.0,0.0,5703.876,28082.0,384847.0,0.0,0.0,0.0,15950.769,78531.0,1076217.0
2007-02-01,13087.293,64435.0,651053.0,0.0,0.0,0.0,0.0,0.0,0.0,559.192,2754.0,27818.0,0.0,0.0,0.0,0.0,0.0,0.0,6083.506,29951.0,302636.0,0.0,0.0,0.0,10428.231,51342.0,518773.0
2007-03-01,15569.962,76659.0,719477.0,0.0,0.0,0.0,0.0,0.0,0.0,17.69,88.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,5509.366,27125.0,254584.0,0.0,0.0,0.0,10554.47,51961.0,487715.0
2007-04-01,16214.255000000001,79828.0,679441.0,0.0,0.0,0.0,0.0,0.0,0.0,465.92900000000003,2295.0,19524.0,0.0,0.0,0.0,0.0,0.0,0.0,4525.178,22279.0,189623.0,0.0,0.0,0.0,9162.205,45108.0,383932.0
2007-05-01,9147.535,45041.0,467452.0,0.0,0.0,0.0,0.0,0.0,0.0,175.715,868.0,8979.0,3281.3450000000003,20005.0,49995.0,689.495,4203.0,6842.0,3270.0930000000003,16100.0,167106.0,0.0,0.0,0.0,5887.63,28987.0,300866.0
2007-06-01,13773.14,67812.0,684482.0,0.0,0.0,0.0,0.0,0.0,0.0,140.445,692.0,6980.0,4394.3330000000005,26790.0,75977.0,3095.047,18869.0,31172.0,4913.233,24190.0,244172.0,0.0,0.0,0.0,5180.6810000000005,25510.0,257464.0
2007-07-01,15652.992,77062.0,724751.0,0.0,0.0,0.0,0.0,0.0,0.0,268.083,1320.0,12413.0,0.0,0.0,0.0,0.0,0.0,0.0,4907.393,24161.0,227218.0,0.0,0.0,0.0,8201.401,40377.0,379734.0
2007-08-01,16348.81,80488.0,740413.0,0.0,0.0,0.0,0.0,0.0,0.0,57.62,283.0,2610.0,1625.788,13395.0,29885.0,1464.458,5445.0,5445.0,4540.951,22357.0,205653.0,0.0,0.0,0.0,7296.961,35924.0,330468.0
2007-09-01,16351.734,80501.0,708783.0,0.0,0.0,0.0,0.0,0.0,0.0,145.21,717.0,6294.0,0.0,0.0,0.0,1526.8770000000002,977.0,977.0,3910.0080000000003,19250.0,169483.0,0.0,0.0,0.0,7507.0470000000005,36957.0,325401.0
2007-10-01,15027.081,73979.0,717397.0,0.0,0.0,0.0,0.0,0.0,0.0,168.856,830.0,8061.0,124.83900000000001,2132.0,2132.0,3342.804,137.0,137.0,4657.152,22928.0,222334.0,0.0,0.0,0.0,7881.336,38802.0,376257.0
2007-11-01,15375.351999999999,75704.0,727944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.39,5974.0,5974.0,4367.444,2838.0,2838.0,4211.8240000000005,20736.0,199408.0,0.0,0.0,0.0,8367.157000000001,41197.0,396142.0
2007-12-01,14618.365,71972.0,765496.0,0.0,0.0,0.0,0.0,0.0,0.0,236.07600000000002,1163.0,12362.0,516.6410000000001,10004.0,10004.0,5802.133000000001,2665.0,2665.0,5939.2570000000005,29241.0,311012.0,0.0,0.0,0.0,7225.937,35580.0,378389.0
2008-01-01,17509.383,86205.0,700254.0,,,,,,,276.723,1362.0,11067.0,0.0,0.0,0.0,6236.188,38019.0,40208.0,6535.555,32177.0,261377.0,0.0,0.0,0.0,3578.895,17620.0,143131.0
2008-02-01,13010.302,64054.0,682451.0,,,,,,,45.979,226.0,2412.0,643.4010000000001,3923.0,13190.0,4024.617,24536.0,33282.0,5154.957,25380.0,270401.0,0.0,0.0,0.0,8697.328,42820.0,456215.0
2008-03-01,14796.628,72849.0,746506.0,,,,,,,121.29400000000001,597.0,6119.0,2201.0080000000003,22061.0,22061.0,4900.411,9969.0,9969.0,4178.296,20571.0,210800.0,0.0,0.0,0.0,9216.307,45375.0,464973.0
2008-04-01,14244.35,70130.0,698243.0,,,,,,,159.62,786.0,7824.0,1146.598,18359.0,18359.0,3960.277,5442.0,5442.0,3827.4230000000002,18844.0,187616.0,0.0,0.0,0.0,10204.050000000001,50238.0,500192.0
2008-05-01,15027.327000000001,73985.0,744993.0,,,,,,,114.18100000000001,562.0,5661.0,770.1610000000001,15295.0,15295.0,3195.878,4169.0,4169.0,3634.0350000000003,17892.0,180160.0,0.0,0.0,0.0,10219.756,50316.0,506653.0
2008-06-01,15219.36,71956.0,703818.0,,,,,,,286.90700000000004,1356.0,13268.0,2173.0,20482.0,38517.0,2504.0,6900.0,6900.0,3030.8830000000003,14330.0,140163.0,0.0,0.0,0.0,8707.85,41170.0,402694.0
2008-07-01,9586.417000000001,47197.0,469644.0,,,,,,,382.069,1881.0,18718.0,1810.1660000000002,15160.0,32361.0,1107.226,2626.0,2626.0,3382.764,16655.0,165724.0,0.0,0.0,0.0,4834.912,23804.0,236865.0
2008-08-01,16610.141,81778.0,750726.0,,,,,,,135.394,667.0,6119.0,5415.1320000000005,33013.0,82251.0,2599.532,15848.0,18053.0,3370.647,16595.0,152343.0,0.0,0.0,0.0,8053.2570000000005,39649.0,363982.0
2008-09-01,15630.782,76956.0,710850.0,,,,,,,152.691,752.0,6944.0,2069.447,20519.0,24813.0,2427.638,6897.0,6897.0,2842.088,13993.0,129251.0,0.0,0.0,0.0,8448.177,41593.0,384203.0
2008-10-01,16059.063,79064.0,744700.0,,,,,,,75.674,373.0,3509.0,1435.6490000000001,22046.0,22046.0,3488.77,5246.0,5246.0,4110.54,20238.0,190616.0,0.0,0.0,0.0,7940.49,39094.0,368221.0
2008-11-01,8927.159,43952.0,409747.0,,,,,,,230.58100000000002,1135.0,10583.0,749.034,11877.0,11877.0,1862.9820000000002,3304.0,3304.0,3176.502,15639.0,145798.0,0.0,0.0,0.0,6615.359,32570.0,303638.0
2008-12-01,10017.926,49322.0,419863.0,,,,,,,357.84700000000004,1762.0,14998.0,366.83500000000004,5496.0,8572.0,919.9670000000001,2349.0,2349.0,3826.819,18841.0,160386.0,0.0,0.0,0.0,4721.08,23244.0,197866.0
2009-01-01,13190.128,64940.0,593579.0,,,,,,,147.14100000000002,724.0,6622.0,0.0,0.0,0.0,2862.654,0.0,0.0,4204.169,20699.0,189195.0,,,,9523.657000000001,46888.0,428581.0
2009-02-01,9099.068000000001,44798.0,442384.0,,,,,,,269.584,1327.0,13107.0,0.0,0.0,0.0,3528.1420000000003,0.0,0.0,4508.048,22195.0,219175.0,,,,7555.276000000001,37197.0,367327.0
2009-03-01,14392.329000000002,70859.0,584282.0,,,,,,,199.76,983.0,8110.0,0.0,0.0,0.0,2581.286,0.0,0.0,3780.241,18611.0,153466.0,,,,10007.416,49270.0,406269.0
2009-04-01,14550.053,71635.0,522599.0,,,,,,,95.285,469.0,3422.0,0.0,0.0,0.0,2138.588,0.0,0.0,4973.554,24487.0,178637.0,,,,4966.709,24453.0,178391.0
2009-05-01,14968.835,73697.0,552074.0,,,,,,,374.53900000000004,1844.0,13814.0,0.0,0.0,0.0,1455.815,0.0,0.0,5828.697,28697.0,214972.0,,,,3722.746,18328.0,137301.0
2009-06-01,6509.18,32047.0,281437.0,,,,,,,291.094,1433.0,12586.0,0.0,0.0,0.0,483.031,0.0,0.0,2660.772,13100.0,115044.0,,,,2827.913,13923.0,122270.0
2009-07-01,15044.592,74070.0,585970.0,,,,,,,116.68100000000001,574.0,4545.0,0.0,0.0,0.0,0.0,0.0,0.0,5076.7970000000005,24995.0,197735.0,,,,7462.744000000001,36742.0,290665.0
2009-08-01,16268.794,80097.0,635391.0,,,,,,,100.96300000000001,497.0,3943.0,0.0,0.0,0.0,1147.559,0.0,0.0,2944.4120000000003,14496.0,114996.0,,,,8298.298,40855.0,324097.0
2009-09-01,11441.803,56332.0,523909.0,,,,,,,241.56,1189.0,11061.0,0.0,0.0,0.0,3131.538,0.0,0.0,2272.797,11190.0,104069.0,,,,7382.666,36348.0,338045.0
2009-10-01,13862.826000000001,68252.0,583584.0,,,,,,,148.015,729.0,6231.0,0.0,0.0,0.0,2258.626,0.0,0.0,3414.483,16811.0,143740.0,,,,9440.989,46481.0,397438.0
2009-11-01,13223.318,65103.0,533177.0,,,,,,,224.96,1108.0,9071.0,0.0,0.0,0.0,1324.2540000000001,0.0,0.0,3462.043,17045.0,139593.0,,,,10109.64,49773.0,407630.0
2009-12-01,12477.961,61433.0,561216.0,,,,,,,103.525,510.0,4656.0,1524.9560000000001,21845.0,21845.0,3631.855,6210.0,6210.0,5498.084,27069.0,247285.0,,,,9394.613000000001,46253.0,422538.0
2010-01-01,15522.347000000002,76422.0,696437.0,,,,,,,374.901,1846.0,16821.0,2733.974,27308.0,37895.0,3488.77,10629.0,10629.0,5624.044,27689.0,252332.0,,,,7823.5560000000005,38518.0,351017.0
2010-02-01,14470.624,71244.0,656107.0,,,,,,,28.853,142.0,1308.0,2868.416,28519.0,46670.0,3891.136,12690.0,12690.0,3228.625,15896.0,146388.0,,,,8563.952000000001,42163.0,388295.0
2010-03-01,15180.363000000001,74738.0,707905.0,,,,,,,283.855,1398.0,13237.0,3196.839,23045.0,54785.0,3301.511,16573.0,16573.0,2662.679,13109.0,124169.0,,,,10052.147,49490.0,468761.0
2010-04-01,14260.342,70209.0,699426.0,,,,,,,132.351,652.0,6491.0,3703.877,26333.0,56406.0,2072.327,8882.0,8882.0,2524.4880000000003,12429.0,123818.0,,,,7568.548000000001,37263.0,371214.0
2010-05-01,5568.86,27417.0,373747.0,,,,,,,260.14300000000003,1281.0,17459.0,12298.562,74979.0,148972.0,4124.4890000000005,25145.0,34100.0,1981.7530000000002,9757.0,133003.0,,,,2249.346,11074.0,150962.0
2010-06-01,15350.736,75577.0,682724.0,,,,,,,183.595,904.0,8165.0,10339.550000000001,63035.0,181124.0,2949.081,17979.0,41884.0,2312.572,11386.0,102852.0,,,,6894.2660000000005,33943.0,306623.0
2010-07-01,15975.582,78653.0,690764.0,,,,,,,205.478,1012.0,8885.0,12052.725,73480.0,212995.0,3972.761,24220.0,49627.0,2864.456,14103.0,123855.0,,,,6083.6140000000005,29952.0,263048.0
2010-08-01,16039.798,78970.0,712468.0,,,,,,,346.579,1706.0,15395.0,15046.940999999999,91734.0,244820.0,3125.777,19056.0,52295.0,3147.455,15496.0,139806.0,,,,5446.452,26815.0,241925.0
2010-09-01,16154.171,79533.0,713297.0,,,,,,,294.445,1450.0,13001.0,13811.995,84205.0,227588.0,4928.26,30045.0,51946.0,2634.318,12970.0,116320.0,,,,4750.752,23390.0,209772.0
2010-10-01,12757.185,62808.0,755339.0,,,,,,,223.669,1101.0,13243.0,15267.81,100511.0,238185.0,8023.307000000001,41484.0,41484.0,2130.476,10489.0,126143.0,,,,3963.1090000000004,19512.0,234651.0
2010-11-01,13289.829,65431.0,705550.0,,,,,,,173.774,856.0,9226.0,13390.423,81635.0,216885.0,3587.681,21872.0,27265.0,2470.684,12164.0,131167.0,,,,4861.97,23937.0,258120.0
