measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2006-03-01,0.42900000000000005,4.0,4.0,7767.159000000001,94971.0,94971.0,2259.051,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,0.518,5.0,5.0,8687.738000000001,106227.0,106227.0,2526.7980000000002,0.0,0.0,,,,0.0,0.0,0.0
2006-05-01,0.559,6.0,6.0,10062.57,123037.0,123037.0,2926.663,0.0,0.0,,,,0.0,0.0,0.0
2006-06-01,0.5780000000000001,6.0,6.0,12822.451000000001,156783.0,156783.0,3729.364,0.0,0.0,,,,0.0,0.0,0.0
2006-07-01,0.47200000000000003,5.0,5.0,16120.619,197110.0,197110.0,4688.625,0.0,0.0,,,,0.0,0.0,0.0
2006-08-01,0.387,4.0,4.0,16323.92,199596.0,199596.0,4747.754,0.0,0.0,,,,0.0,0.0,0.0
2006-09-01,0.28400000000000003,3.0,3.0,11106.832,135805.0,135805.0,3230.3830000000003,0.0,0.0,,,,0.0,0.0,0.0
2006-10-01,0.268,3.0,3.0,10056.255,122960.0,122960.0,2924.826,0.0,0.0,,,,0.0,0.0,0.0
2006-11-01,0.311,3.0,3.0,7468.3330000000005,91317.0,91317.0,2172.138,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,0.338,3.0,3.0,7785.546,95195.0,95195.0,2264.398,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,3.1540000000000004,31.0,31.0,9712.322,94676.0,94676.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,2.3760000000000003,23.0,23.0,8835.693000000001,86130.0,86130.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,3.0420000000000003,30.0,30.0,8933.863000000001,87087.0,87087.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,3.753,37.0,37.0,8296.776,80877.0,80877.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,4.533,45.0,45.0,9796.776,95498.0,95498.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,4.101,41.0,41.0,12275.868,119665.0,119665.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,4.211,42.0,42.0,15747.991,153511.0,153511.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,3.499,35.0,35.0,16566.571,161490.0,161490.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-09-01,2.571,25.0,25.0,13822.272,134739.0,134739.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,2.128,21.0,21.0,12642.37,123238.0,123238.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,2.013,20.0,20.0,10032.682,97798.0,97798.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,2.619,26.0,26.0,11169.816,108883.0,108883.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,7942.589,98309.0,98309.0,2486.9770000000003,0.0,0.0,,,,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,6716.131,83128.0,83128.0,2102.949,0.0,0.0,,,,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,7614.46,94248.0,94248.0,2384.233,0.0,0.0,,,,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,8035.982,99465.0,99465.0,2516.2200000000003,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,9053.481,112059.0,112059.0,2834.818,0.0,0.0,,,,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,9618.903,119057.0,119057.0,3011.8630000000003,0.0,0.0,,,,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,9564.181,118380.0,118380.0,2994.728,0.0,0.0,,,,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,9541.953000000001,118104.0,118104.0,2987.768,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,8641.001,106953.0,106953.0,2705.663,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,10635.962,131646.0,131646.0,3330.3230000000003,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,7820.417,96797.0,96797.0,2448.722,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,10202.94,126286.0,126286.0,3194.7360000000003,0.0,0.0,,,,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,8608.857,111440.0,111440.0,2566.15,0.0,0.0,,,,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,7906.562000000001,102349.0,102349.0,2356.806,0.0,0.0,,,,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,8951.822,115880.0,115880.0,2668.38,0.0,0.0,,,,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,7238.1320000000005,93696.0,93696.0,2157.559,0.0,0.0,,,,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,7508.76,97200.0,97200.0,2238.2290000000003,0.0,0.0,,,,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,9227.043,119443.0,119443.0,2750.418,0.0,0.0,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,11512.433,149027.0,149027.0,3431.6530000000002,0.0,0.0,,,,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,11024.98,142717.0,142717.0,3286.3520000000003,0.0,0.0,,,,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,8727.744,112980.0,112980.0,2601.5860000000002,0.0,0.0,,,,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,7110.936000000001,92050.0,92050.0,2119.6440000000002,0.0,0.0,,,,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,7144.103,92479.0,92479.0,2129.531,0.0,0.0,,,,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,8080.628000000001,104603.0,104603.0,2408.692,0.0,0.0,,,,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,10492.225,132786.0,132786.0,2740.205,0.0,0.0,,,,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,9690.880000000001,122646.0,122646.0,2530.92,0.0,0.0,,,,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,9797.849,123999.0,123999.0,2558.857,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,8472.089,107220.0,107220.0,2212.614,0.0,0.0,,,,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,7057.393,89317.0,89317.0,1843.145,0.0,0.0,,,,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,10757.027,136138.0,136138.0,2809.3610000000003,0.0,0.0,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,12785.439,161809.0,161809.0,3339.1110000000003,0.0,0.0,,,,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,13223.797,167357.0,167357.0,3453.5950000000003,0.0,0.0,,,,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,9818.644,124263.0,124263.0,2564.288,0.0,0.0,,,,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,7561.4710000000005,95697.0,95697.0,1974.7930000000001,0.0,0.0,,,,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,8044.0830000000005,101804.0,101804.0,2100.8340000000003,0.0,0.0,,,,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,9964.103000000001,126104.0,126104.0,2602.277,0.0,0.0,,,,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,2529.271,105494.0,105494.0,8173.424,0.0,0.0,,,,,,
2011-02-01,0.0,0.0,0.0,2578.922,107567.0,107567.0,8333.869,0.0,0.0,,,,,,
2011-03-01,0.0,0.0,0.0,2398.741,100052.0,100052.0,7751.61,0.0,0.0,,,,,,
2011-04-01,0.0,0.0,0.0,2185.478,91157.0,91157.0,7062.441,0.0,0.0,,,,,,
2011-05-01,0.0,0.0,0.0,2584.084,107783.0,107783.0,8350.552,0.0,0.0,,,,,,
2011-06-01,0.0,0.0,0.0,3279.035,136769.0,136769.0,10596.307,0.0,0.0,,,,,,
2011-07-01,0.0,0.0,0.0,4141.384,172738.0,172738.0,13383.015,0.0,0.0,,,,,,
2011-08-01,0.0,0.0,0.0,4162.855,173633.0,173633.0,13452.399,0.0,0.0,,,,,,
2011-09-01,0.0,0.0,0.0,2909.803,121369.0,121369.0,9403.123,0.0,0.0,,,,,,
2011-10-01,0.0,0.0,0.0,2428.204,101281.0,101281.0,7846.82,0.0,0.0,,,,,,
2011-11-01,0.0,0.0,0.0,2568.085,107116.0,107116.0,8298.849,0.0,0.0,,,,,,
2011-12-01,0.0,0.0,0.0,3417.138,142529.0,142529.0,11042.591,0.0,0.0,,,,,,
2012-01-01,0.0,0.0,0.0,5605.245,73721.0,73721.0,1738.305,0.0,0.0,,,,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,5557.814,73096.0,73096.0,1723.597,0.0,0.0,,,,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,6375.179,83847.0,83847.0,1977.079,0.0,0.0,,,,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,6044.101,79492.0,79492.0,1874.405,0.0,0.0,,,,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,6444.296,84756.0,84756.0,1998.514,0.0,0.0,,,,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,7549.873,99296.0,99296.0,2341.377,0.0,0.0,,,,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,8776.573,115430.0,115430.0,2721.803,0.0,0.0,,,,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,9310.235,122449.0,122449.0,2887.303,0.0,0.0,,,,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,6127.913,80595.0,80595.0,1900.397,0.0,0.0,,,,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,5801.822,76306.0,76306.0,1799.269,0.0,0.0,,,,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,4557.2,59937.0,59937.0,1413.285,0.0,0.0,,,,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,5467.749,71912.0,71912.0,1695.666,0.0,0.0,,,,,,
2013-01-01,0.0,0.0,0.0,8827.0,113289.0,113289.0,2661.0,0.0,0.0,,,,,,
2013-02-01,0.0,0.0,0.0,9577.0,123945.0,123945.0,2757.0,0.0,0.0,,,,,,
2013-03-01,0.0,0.0,0.0,10483.0,137754.0,137754.0,3343.0,0.0,0.0,,,,,,
2013-04-01,0.0,0.0,0.0,9869.0,129573.0,129573.0,3341.0,0.0,0.0,,,,,,
2013-05-01,0.0,0.0,0.0,10232.0,134817.0,134817.0,3414.0,0.0,0.0,,,,,,
2013-06-01,0.0,0.0,0.0,4288.0,56340.0,56340.0,1405.0,0.0,0.0,,,,,,
2013-07-01,0.0,0.0,0.0,10226.0,131091.0,131091.0,3518.0,0.0,0.0,,,,,,
2013-08-01,0.0,0.0,0.0,10352.0,133042.0,133042.0,3594.0,0.0,0.0,,,,,,
2013-09-01,0.0,0.0,0.0,10217.0,131413.0,131413.0,3511.0,0.0,0.0,,,,,,
2013-10-01,0.0,0.0,0.0,4327.0,59784.0,59784.0,1411.0,0.0,0.0,,,,,,
2013-11-01,0.0,0.0,0.0,11003.0,136602.0,136602.0,3667.0,0.0,0.0,,,,,,
2013-12-01,0.0,0.0,0.0,10184.0,128835.0,128835.0,3308.0,0.0,0.0,,,,,,
2014-01-01,0.0,0.0,0.0,10088.0,129026.0,129026.0,3215.0,0.0,0.0,,,,,,
2014-02-01,0.0,0.0,0.0,9329.0,117607.0,117607.0,3099.0,0.0,0.0,,,,,,
2014-03-01,0.0,0.0,0.0,9403.0,117800.0,117800.0,3069.0,0.0,0.0,,,,,,
2014-04-01,0.0,0.0,0.0,10041.0,126489.0,126489.0,3439.0,0.0,0.0,,,,,,
2014-05-01,0.0,0.0,0.0,10316.0,130740.0,130740.0,3487.0,0.0,0.0,,,,,,
2014-06-01,0.0,0.0,0.0,9770.0,126821.0,126821.0,3298.0,0.0,0.0,,,,,,
2014-07-01,0.0,0.0,0.0,9327.0,124553.0,124553.0,3079.0,0.0,0.0,,,,,,
2014-08-01,0.0,0.0,0.0,8921.0,116847.0,116847.0,2756.0,0.0,0.0,,,,,,
2014-09-01,0.0,0.0,0.0,8246.0,110177.0,110177.0,2840.0,0.0,0.0,,,,,,
2014-10-01,0.0,0.0,0.0,1332.0,18335.0,18335.0,463.0,0.0,0.0,,,,,,
2014-11-01,0.0,0.0,0.0,6511.0,79355.0,79355.0,1890.0,0.0,0.0,,,,,,
2014-12-01,0.0,0.0,0.0,10341.0,132207.0,132207.0,3272.0,0.0,0.0,,,,,,
2015-01-01,0.0,0.0,0.0,10317.0,128656.0,128656.0,3205.0,0.0,0.0,,,,,,
2015-02-01,0.0,0.0,0.0,9605.0,122587.0,122587.0,2876.0,0.0,0.0,,,,,,
2015-03-01,0.0,0.0,0.0,6895.0,80002.0,80002.0,0.0,0.0,0.0,,,,,,
2015-04-01,0.0,0.0,0.0,-42.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-05-01,0.0,0.0,0.0,290.0,4091.0,4091.0,0.0,0.0,0.0,,,,,,
2015-06-01,0.0,0.0,0.0,618.0,8070.0,8070.0,0.0,0.0,0.0,,,,,,
2015-07-01,0.0,0.0,0.0,5863.0,71768.0,71768.0,0.0,0.0,0.0,,,,,,
2015-08-01,0.0,0.0,0.0,1724.0,22734.0,22734.0,0.0,0.0,0.0,,,,,,
2015-09-01,0.0,0.0,0.0,5329.0,64534.0,64534.0,0.0,0.0,0.0,,,,,,
2015-10-01,0.0,0.0,0.0,566.0,7630.0,7630.0,0.0,0.0,0.0,,,,,,
2015-11-01,0.0,0.0,0.0,2213.0,25501.0,25501.0,0.0,0.0,0.0,,,,,,
2015-12-01,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-01-01,0.0,0.0,0.0,,,,,,,2056.679,25461.0,25461.0,,,
2016-02-01,0.0,0.0,0.0,,,,,,,1846.806,22862.0,22862.0,,,
2016-03-01,0.0,0.0,0.0,,,,,,,1904.743,23580.0,23580.0,,,
2016-04-01,0.0,0.0,0.0,,,,,,,1748.128,21641.0,21641.0,,,
2016-05-01,0.0,0.0,0.0,,,,,,,1890.94,23409.0,23409.0,,,
2016-06-01,0.0,0.0,0.0,,,,,,,2076.813,25709.0,25709.0,,,
2016-07-01,0.0,0.0,0.0,,,,,,,2591.818,32086.0,32086.0,,,
2016-08-01,0.0,0.0,0.0,,,,,,,2470.359,30581.0,30581.0,,,
2016-09-01,0.0,0.0,0.0,,,,,,,2111.273,26137.0,26137.0,,,
2016-10-01,0.0,0.0,0.0,,,,,,,2026.485,25087.0,25087.0,,,
2016-11-01,0.0,0.0,0.0,,,,,,,1380.725,17093.0,17093.0,,,
2016-12-01,0.0,0.0,0.0,,,,,,,1905.231,23586.0,23586.0,,,
2017-01-01,7.0,64.0,64.0,,,,,,,69.0,1448.0,1448.0,,,
2017-02-01,8.0,74.0,74.0,,,,,,,-81.0,0.0,0.0,,,
2017-03-01,7.0,64.0,64.0,,,,,,,403.0,5576.0,5576.0,,,
2017-04-01,11.0,101.0,101.0,,,,,,,4858.0,56696.0,56696.0,,,
2017-05-01,19.0,175.0,175.0,,,,,,,-68.0,0.0,0.0,,,
2017-06-01,16.0,147.0,147.0,,,,,,,1846.0,25212.0,25212.0,,,
2017-07-01,10.0,92.0,92.0,,,,,,,3823.0,49673.0,49673.0,,,
2017-08-01,9.0,83.0,83.0,,,,,,,989.0,14980.0,14980.0,,,
2017-09-01,4.0,37.0,37.0,,,,,,,184.0,2574.0,2574.0,,,
2017-10-01,9.0,83.0,83.0,,,,,,,-62.0,466.0,466.0,,,
2017-11-01,7.0,64.0,64.0,,,,,,,-73.0,7.0,7.0,,,
2017-12-01,7.0,64.0,64.0,,,,,,,-79.0,0.0,0.0,,,
2018-01-01,6.0,55.0,55.0,,,,,,,-81.0,0.0,0.0,,,
2018-02-01,7.0,64.0,64.0,,,,,,,-68.0,0.0,0.0,,,
2018-03-01,-5.0,0.0,0.0,,,,,,,396.0,4186.0,4186.0,,,
2018-04-01,9.0,82.0,82.0,,,,,,,-59.0,0.0,0.0,,,
2018-05-01,7.0,64.0,64.0,,,,,,,-55.0,0.0,0.0,,,
2018-06-01,10.0,91.0,91.0,,,,,,,1484.0,17341.0,17341.0,,,
2018-07-01,8.0,73.0,73.0,,,,,,,2606.0,32568.0,32568.0,,,
2018-08-01,0.0,0.0,0.0,,,,,,,2468.0,35122.0,35122.0,,,
2018-09-01,0.0,0.0,0.0,,,,,,,5738.0,68529.0,68529.0,,,
2018-10-01,0.0,0.0,0.0,,,,,,,13202.0,161569.0,161569.0,,,
2018-11-01,0.0,0.0,0.0,,,,,,,8396.0,98531.0,98531.0,,,
2018-12-01,0.0,0.0,0.0,,,,,,,-65.0,0.0,0.0,,,
2019-01-01,0.0,0.0,0.0,,,,,,,-86.0,6.0,6.0,,,
2019-02-01,0.0,0.0,0.0,,,,,,,-89.0,0.0,0.0,,,
2019-03-01,0.0,0.0,0.0,,,,,,,-89.0,0.0,0.0,,,
2019-04-01,0.0,0.0,0.0,,,,,,,-57.0,0.0,0.0,,,
2019-05-01,0.0,0.0,0.0,,,,,,,-1.0,634.0,634.0,,,
2019-06-01,0.0,0.0,0.0,,,,,,,65.0,1502.0,1502.0,,,
2019-07-01,0.0,0.0,0.0,,,,,,,200.0,3232.0,3232.0,,,
2019-08-01,0.0,0.0,0.0,,,,,,,-54.0,263.0,263.0,,,
2019-09-01,0.0,0.0,0.0,,,,,,,-49.0,1.0,1.0,,,
2019-10-01,0.0,0.0,0.0,,,,,,,-39.0,259.0,259.0,,,
2019-11-01,0.0,0.0,0.0,,,,,,,-35.0,379.0,379.0,,,
2019-12-01,0.0,0.0,0.0,,,,,,,1655.0,20361.0,20361.0,,,
2020-01-01,0.0,0.0,0.0,,,,,,,-54.0,234.0,234.0,,,
2020-02-01,0.0,0.0,0.0,,,,,,,-51.0,132.0,132.0,,,
2020-03-01,0.0,0.0,0.0,,,,,,,-47.0,346.0,346.0,,,
2020-04-01,0.0,0.0,0.0,,,,,,,-38.0,253.0,253.0,,,
2020-05-01,0.0,0.0,0.0,,,,,,,21.0,761.0,761.0,,,
2020-06-01,0.0,0.0,0.0,,,,,,,-43.0,0.0,0.0,,,
2020-07-01,0.0,0.0,0.0,,,,,,,487.0,6920.0,6920.0,,,
2020-08-01,0.0,0.0,0.0,,,,,,,1078.0,14009.0,14009.0,,,
2020-09-01,0.0,0.0,0.0,,,,,,,-46.0,0.0,0.0,,,
