measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-08-01,,,,84.63380000000001,1216.36,1234.8,35508.8862,510333.12,518071.68,0.0,0.0,0.0
2004-09-01,,,,12.5166,179.89,182.28,35061.4804,503903.02,510602.4,0.0,0.0,0.0
2004-10-01,,,,350.42368,5036.28,5266.4,31912.77532,458649.88,479606.4,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,34704.282,498769.36,527194.08,0.0,0.0,0.0
2004-12-01,,,,23.571379999999998,338.77,376.32,34852.60362,500901.05,556426.08,0.0,0.0,0.0
2005-01-01,,,,934.06159,13424.32,15899.52,24098.07841,346337.19,410195.52,0.0,0.0,0.0
2005-02-01,,,,0.0,0.0,0.0,31101.236,446986.45,480936.96,0.0,0.0,0.0
2005-03-01,,,,311.30748,4474.11,5192.04,27090.85252,389349.29,451825.92,0.0,0.0,0.0
2005-04-01,,,,400.36839,5754.09,17677.0,194.05761,2788.99,8568.0,0.0,0.0,0.0
2005-05-01,,,,0.0,0.0,11093.5,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,,,,265.08364,3809.78,5121.48,1023.63936,14711.72,19776.96,0.0,0.0,0.0
2005-07-01,,,,382.22302,5493.3,5750.64,32853.75998,472173.7,494292.96,0.0,0.0,0.0
2005-08-01,,,,426.71924,6132.8,6362.16,32316.62976,464454.07,481824.0,0.0,0.0,0.0
2005-09-01,,,,174.8205,2512.52,2646.0,30302.2205,435503.02,458640.0,0.0,0.0,0.0
2005-10-01,,,,46.91404,674.25,740.88,35825.09296,514877.64,565760.16,0.0,0.0,0.0
2005-11-01,,,,0.0,0.0,0.0,34704.282,498769.36,561899.52,0.0,0.0,0.0
2005-12-01,,,,12.78661,183.77,205.8,35450.13239,509488.71,570568.32,0.0,0.0,0.0
2006-01-01,,,,58.04719,834.25,929.04,35425.99881,509141.86,566989.92,0.0,0.0,0.0
2006-02-01,,,,0.0,0.0,0.0,30976.34303,445191.48,522234.72,238.20897,3423.54,4016.0
2006-03-01,,,,175.29113,2519.28,2922.36,32838.44302,471953.56,547464.96,101.25085,1455.18,1688.0
2006-04-01,,,,46.395219999999995,666.79,693.84,34610.38712,497419.9,517597.92,46.53966,668.87,696.0
2006-05-01,,,,27.31442,392.56,393.96,35867.73958,515490.56,517325.76,0.0,0.0,0.0
2006-06-01,,,,25.65909,368.77,370.44,34957.10891,502403.0,504675.36,0.0,0.0,0.0
2006-07-01,,,,97.54823999999999,1401.96,1411.2,35759.09376,513929.1,517315.68,0.0,0.0,0.0
2006-08-01,,,,328.94677,4727.62,4839.24,33052.04123,475023.4,486239.04,0.0,0.0,0.0
2006-09-01,,,,0.0,0.0,0.0,35164.265,504080.64,504080.64,0.0,0.0,0.0
2006-10-01,,,,432.16107,6211.01,6326.88,22882.96293,328873.56,335008.8,0.0,0.0,0.0
2006-11-01,,,,0.0,0.0,0.0,34711.004,474747.84,474747.84,0.0,0.0,0.0
2006-12-01,,,,0.0,0.0,0.0,36136.089,516640.32,516640.32,0.0,0.0,0.0
2007-01-01,,,,99.851,1235.0,1235.0,40753.232,503970.0,503970.0,0.0,0.0,0.0
2007-02-01,,,,1046.325,15035.0,15764.0,25077.676,360420.0,377829.0,0.0,0.0,0.0
2007-03-01,,,,502.75100000000003,7068.0,7068.0,36532.179000000004,513576.0,513576.0,0.0,0.0,0.0
2007-04-01,,,,0.0,0.0,0.0,41446.229,535782.0,535782.0,102.111,1320.0,1320.0
2007-05-01,,,,448.303,5510.0,5510.0,37202.269,457209.0,457209.0,52.727000000000004,648.0,648.0
2007-06-01,,,,139.135,1746.0,1746.0,40053.261,502730.0,502730.0,0.0,0.0,0.0
2007-07-01,,,,155.447,1876.0,1876.0,41298.724,498335.0,498335.0,85.525,1032.0,1032.0
2007-08-01,,,,171.59,2005.0,2005.0,40569.049,474062.0,474062.0,169.101,1976.0,1976.0
2007-09-01,,,,91.787,1064.0,1064.0,40310.915,467410.0,467410.0,0.0,0.0,0.0
2007-10-01,,,,46.703,564.0,564.0,41663.34,503567.0,503567.0,301.161,3640.0,3640.0
2007-11-01,,,,137.201,1764.0,1764.0,40079.203,515300.0,515300.0,0.0,0.0,0.0
2007-12-01,,,,405.605,5104.0,5104.0,40197.371,505814.0,505814.0,76.292,960.0,960.0
2008-01-01,,,,0.0,0.0,0.0,36610.0,497567.0,497567.0,,,
2008-02-01,,,,0.0,0.0,0.0,29578.0,397086.0,397086.0,,,
2008-03-01,,,,0.0,0.0,0.0,36059.0,497516.0,497516.0,,,
2008-04-01,,,,0.0,0.0,0.0,20663.0,267840.0,267840.0,,,
2008-05-01,,,,0.0,0.0,0.0,36309.0,468710.0,468710.0,,,
2008-06-01,,,,0.0,0.0,0.0,32022.0,400474.0,400474.0,,,
2008-07-01,,,,0.0,0.0,0.0,36075.0,476359.0,476359.0,,,
2008-08-01,,,,0.0,0.0,0.0,35312.0,489521.0,489521.0,,,
2008-09-01,,,,0.0,0.0,0.0,35107.0,514820.0,514820.0,,,
2008-10-01,,,,0.0,0.0,0.0,34870.0,497604.0,497604.0,,,
2008-11-01,,,,0.0,0.0,0.0,32046.0,495137.0,495137.0,,,
2008-12-01,,,,0.0,0.0,0.0,35702.0,512530.0,512530.0,,,
2009-01-01,,,,0.0,0.0,0.0,36689.0,563600.0,563600.0,,,
2009-02-01,,,,0.0,0.0,0.0,33320.0,482842.0,482842.0,,,
2009-03-01,,,,123.18,1740.0,1740.0,34327.82,484905.0,484905.0,,,
2009-04-01,,,,455.098,6740.0,6740.0,31071.902000000002,460148.0,460148.0,,,
2009-05-01,,,,161.82600000000002,2361.0,2361.0,36782.174,536552.0,536552.0,,,
2009-06-01,,,,83.117,1230.0,1230.0,35447.883,524403.0,524403.0,,,
2009-07-01,,,,76.215,1114.0,1114.0,35454.785,518039.0,518039.0,,,
2009-08-01,,,,124.706,1734.0,1734.0,36210.294,503550.0,503550.0,,,
2009-09-01,,,,0.0,0.0,0.0,36071.0,481132.0,481132.0,,,
2009-10-01,,,,301.879,3973.0,3973.0,21039.121,276894.0,276894.0,,,
2009-11-01,,,,75.477,986.0,986.0,35516.523,463976.0,463976.0,,,
2009-12-01,,,,335.04400000000004,4959.0,4959.0,36717.956,543464.0,543464.0,,,
2010-01-01,0.0,0.0,0.0,1208.776,17046.0,17046.0,27849.224000000002,392731.0,392731.0,,,
2010-02-01,0.0,0.0,0.0,242.425,3219.0,3219.0,32906.575,436944.0,436944.0,,,
2010-03-01,0.0,0.0,0.0,15.848,203.0,203.0,37197.152,476465.0,476465.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,36188.0,477434.0,477434.0,,,
2010-05-01,0.0,0.0,0.0,129.848,1717.0,1717.0,36150.152,477965.0,477965.0,,,
2010-06-01,0.0,0.0,0.0,86.625,1212.0,1212.0,35590.375,498037.0,498037.0,,,
2010-07-01,0.0,0.0,0.0,10.461,145.0,145.0,36735.539000000004,509180.0,509180.0,,,
2010-08-01,0.0,0.0,0.0,77.025,1021.0,1021.0,37256.975,493760.0,493760.0,,,
2010-09-01,0.0,0.0,0.0,7.33,99.0,99.0,36100.67,485634.0,485634.0,,,
2010-10-01,0.0,0.0,0.0,263.778,3555.0,3555.0,35435.222,477623.0,477623.0,,,
2010-11-01,0.0,0.0,0.0,42.578,574.0,574.0,35585.422,479898.0,479898.0,,,
2010-12-01,0.0,0.0,0.0,155.369,2152.0,2152.0,36058.631,499398.0,499398.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,37008.0,532480.0,532480.0,,,
2011-02-01,0.0,0.0,0.0,180.025,2703.0,2703.0,29826.975,447808.0,447808.0,,,
2011-03-01,0.0,0.0,0.0,429.632,5661.0,5661.0,33544.368,441979.0,441979.0,,,
2011-04-01,0.0,0.0,0.0,98.953,1293.0,1293.0,34605.047,452319.0,452319.0,,,
2011-05-01,0.0,0.0,0.0,425.196,5736.0,5736.0,17616.804,237663.0,237663.0,,,
2011-06-01,0.0,0.0,0.0,138.047,1850.0,1850.0,35360.953,473933.0,473933.0,,,
2011-07-01,0.0,0.0,0.0,10.851,139.0,139.0,37627.149,482678.0,482678.0,,,
2011-08-01,0.0,0.0,0.0,80.294,1073.0,1073.0,37543.706,501711.0,501711.0,,,
2011-09-01,0.0,0.0,0.0,55.113,742.0,742.0,36217.887,487873.0,487873.0,,,
2011-10-01,0.0,0.0,0.0,97.181,1235.0,1235.0,35338.819,449242.0,449242.0,,,
2011-11-01,0.0,0.0,0.0,33.845,476.0,476.0,35618.155,500512.0,500512.0,,,
2011-12-01,0.0,0.0,0.0,257.019,3451.0,3451.0,34080.981,457606.0,457606.0,,,
2012-01-01,,,,180.598,2453.0,2453.0,32333.402,439245.0,439245.0,,,
2012-02-01,,,,54.168,731.0,731.0,32441.832,437681.0,437681.0,,,
2012-03-01,,,,135.426,1885.0,1885.0,33297.574,463470.0,463470.0,,,
2012-04-01,,,,145.628,2192.0,2192.0,31801.372,478763.0,478763.0,,,
2012-05-01,,,,202.59,3202.0,3202.0,31812.41,502743.0,502743.0,,,
2012-06-01,,,,232.486,3271.0,3271.0,29164.514,410360.0,410360.0,,,
2012-07-01,,,,8.139,122.0,122.0,35343.861,528950.0,528950.0,,,
2012-08-01,,,,37.058,551.0,551.0,34985.942,520198.0,520198.0,,,
2012-09-01,,,,30.292,489.0,545.0,34685.708,559600.0,624283.0,,,
2012-10-01,,,,440.687,6914.0,6914.0,7040.313,110450.0,110450.0,,,
2012-11-01,,,,439.83,5922.0,5922.0,33835.17,455551.0,455551.0,,,
2012-12-01,,,,268.173,3683.0,3683.0,31115.827,427334.0,427334.0,,,
2013-01-01,,,,55.65,831.0,831.0,33532.35,500636.0,500636.0,,,
2013-02-01,,,,0.0,0.0,0.0,32130.0,459702.0,459702.0,,,
2013-03-01,,,,26.94,390.0,390.0,36227.06,523965.0,523965.0,,,
2013-04-01,,,,34.333,487.0,487.0,35868.667,508830.0,508830.0,,,
2013-05-01,,,,366.38,4893.0,4893.0,31687.62,423224.0,423224.0,,,
2013-06-01,,,,493.152,6469.0,6469.0,29702.848,389642.0,389642.0,,,
2013-07-01,,,,59.315,751.0,751.0,36986.685,468067.0,468067.0,,,
2013-08-01,,,,398.468,5380.0,5380.0,24167.532,326332.0,326332.0,,,
2013-09-01,,,,102.652,1375.0,1375.0,35323.348,473216.0,473216.0,,,
2013-10-01,,,,199.27,2166.0,2166.0,36954.73,401675.0,401675.0,,,
2013-11-01,,,,184.854,2664.0,2664.0,35374.146,509875.0,509875.0,,,
2013-12-01,,,,507.893,7472.0,7472.0,31071.107,457106.0,457106.0,,,
2014-01-01,,,,1512.794,24381.0,26177.0,17915.206,288732.0,309999.0,,,
2014-02-01,,,,784.956,12770.0,16161.0,3427.044,55754.0,70559.0,,,
2014-03-01,,,,0.0,0.0,16597.0,0.0,0.0,0.0,,,
2014-04-01,,,,0.0,0.0,11702.0,0.0,0.0,0.0,,,
2014-05-01,,,,0.0,0.0,4875.0,0.0,0.0,0.0,,,
2014-06-01,,,,0.0,0.0,3658.0,0.0,0.0,0.0,,,
2014-07-01,,,,123.06,1823.0,1823.0,22662.94,335699.0,335699.0,,,
2014-08-01,,,,0.0,0.0,0.0,23841.0,370228.0,370228.0,,,
2014-09-01,,,,220.044,3034.0,3034.0,28134.956,387967.0,387967.0,,,
2014-10-01,,,,254.316,3677.0,3677.0,25634.684,370604.0,370604.0,,,
2014-11-01,,,,43.161,612.0,612.0,33973.839,481597.0,481597.0,,,
2014-12-01,,,,0.0,0.0,0.0,31871.0,466915.0,466915.0,,,
2016-01-01,,,,455.025,7597.0,7597.0,22499.975,375665.0,375665.0,,,
2016-02-01,,,,0.0,0.0,0.0,5471.0,86890.0,86890.0,,,
2016-03-01,,,,659.959,11530.0,15347.0,2332.041,40744.0,54229.0,,,
2016-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-05-01,,,,793.692,13742.0,15347.0,3727.308,64535.0,72070.0,,,
2016-06-01,,,,267.204,4103.0,4103.0,18583.796,285357.0,285357.0,,,
2016-07-01,,,,0.0,0.0,0.0,29574.0,406695.0,406695.0,,,
2016-08-01,,,,0.0,0.0,0.0,30065.0,396386.0,396386.0,,,
2016-09-01,,,,76.029,1294.0,1294.0,2317.971,39437.0,39437.0,,,
2016-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-12-01,,,,210.965,3172.0,3172.0,9639.035,144944.0,144944.0,,,
2017-01-01,,,,178.676,2997.0,3040.0,20007.324,335559.0,340421.0,,,
2017-02-01,,,,93.241,1516.0,1516.0,13664.759,222163.0,222163.0,,,
2017-03-01,,,,171.224,2581.0,2581.0,22435.776,338215.0,338215.0,,,
2017-04-01,,,,65.792,1059.0,1059.0,26295.208,423407.0,423407.0,,,
2017-05-01,,,,0.0,0.0,0.0,9224.0,149878.0,149878.0,,,
2017-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-07-01,,,,332.115,5742.0,5742.0,3593.885,62133.0,62133.0,,,
2017-08-01,,,,223.009,3524.0,3524.0,15313.991,241958.0,241958.0,,,
2017-09-01,,,,358.248,4548.0,4548.0,5880.752,74653.0,74653.0,,,
2017-10-01,,,,0.0,82.0,82.0,0.0,0.0,0.0,,,
2017-11-01,,,,265.629,4021.0,4021.0,11819.371,178918.0,178918.0,,,
2017-12-01,,,,0.373,6.0,6.0,18847.627,295879.0,295879.0,,,
2018-01-01,,,,260.004,4619.0,4663.0,2793.996,49632.0,50112.0,,,
2018-02-01,,,,411.952,7337.0,7405.0,15720.048,279968.0,282564.0,,,
2018-03-01,,,,330.558,5585.0,5585.0,13236.442,223646.0,223646.0,,,
2018-04-01,,,,18.17,313.0,313.0,9341.83,161082.0,161082.0,,,
2018-05-01,,,,501.288,8351.0,8351.0,6677.712,111240.0,111240.0,,,
2018-06-01,,,,265.49,3898.0,3898.0,19589.51,287632.0,287632.0,,,
2018-07-01,,,,525.127,8363.0,8363.0,17161.873,273305.0,273305.0,,,
2018-08-01,,,,444.501,7911.0,8242.0,17333.499,308495.0,321408.0,,,
2018-09-01,,,,383.464,5700.0,5700.0,16723.536,248572.0,248572.0,,,
2018-10-01,,,,289.786,4928.0,4928.0,10766.214,183103.0,183103.0,,,
2018-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
