measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-12-01,9239.287,125865.0,125865.0,,,,299.345,4078.0,4078.0,10412.041,141841.0,141841.0,,,,80.16300000000001,1092.0,1092.0,,,,,,,79.043,1076.0,1076.0
2005-01-01,12322.891,160008.74,160008.74,,,,0.276,3.53,3.53,7571.812000000001,98317.77,98317.77,,,,6591.98,85594.49,85594.49,,,,,,,195.149,2533.69,2533.69
2005-02-01,11188.624,145280.66,145280.66,,,,0.245,3.13,3.13,6337.242,82287.24,82287.24,,,,5880.5650000000005,76357.01,76357.01,,,,,,,181.109,2351.41,2351.41
2005-03-01,11993.485,155731.52,155731.52,,,,0.29300000000000004,3.73,3.73,6755.343000000001,87716.16,87716.16,,,,6716.418000000001,87210.28,87210.28,,,,,,,195.80800000000002,2542.25,2542.25
2005-04-01,9866.839,128117.72,128117.72,,,,0.3,3.82,3.82,6138.152,79702.11,79702.11,,,,6702.534000000001,87029.99,87029.99,,,,,,,168.351,2185.76,2185.76
2005-05-01,9373.756000000001,121715.19,121715.19,,,,0.24300000000000002,3.1,3.1,5427.314,70472.08,70472.08,,,,7368.462,95676.84,95676.84,,,,,,,186.83100000000002,2425.7,2425.7
2005-06-01,12015.171,156013.11,156013.11,,,,0.41400000000000003,5.28,5.28,6578.411,85418.74,85418.74,,,,7300.0160000000005,94788.09,94788.09,,,,,,,180.87900000000002,2348.42,2348.42
2005-07-01,13405.423,174065.07,174065.07,,,,0.533,6.8,6.8,6624.535000000001,86017.65,86017.65,,,,7558.776000000001,98148.01,98148.01,,,,,,,200.324,2600.89,2600.89
2005-08-01,13277.865,172408.78,172408.78,,,,0.57,7.27,7.27,6252.737,81189.95,81189.95,,,,7524.613,97704.4,97704.4,,,,,,,206.24900000000002,2677.81,2677.81
2005-09-01,11961.309000000001,155313.73,155313.73,,,,0.377,4.81,4.81,6406.12,83181.59,83181.59,,,,7088.135,92036.9,92036.9,,,,,,,194.154,2520.77,2520.77
2005-10-01,11201.246,145444.55,145444.55,,,,0.261,3.33,3.33,7287.104,94620.93,94620.93,,,,7154.947,92904.42,92904.42,,,,,,,185.062,2402.72,2402.72
2005-11-01,11000.042,142832.0,142832.0,,,,0.234,2.99,2.99,5949.38,77250.96,77250.96,,,,7206.241,93570.46,93570.46,,,,,,,188.47400000000002,2447.03,2447.03
2005-12-01,12688.35,164754.11,164754.11,,,,0.253,3.23,3.23,5999.851000000001,77906.33,77906.33,,,,7222.312,93779.11,93779.11,,,,,,,203.61,2643.55,2643.55
2006-01-01,19133.292,200470.0,200470.0,,,,,,,2393.187,41301.0,41301.0,,,,9386.55,139154.0,139154.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-02-01,18222.361,190926.0,190926.0,,,,,,,2074.12,35794.0,35794.0,,,,8445.223,125199.0,125199.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-03-01,18619.881999999998,195091.0,195091.0,,,,,,,1954.028,33722.0,33722.0,,,,9894.82,146688.0,146688.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,15841.373,165979.0,165979.0,,,,,,,2102.361,36282.0,36282.0,,,,8157.447,120932.0,120932.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-05-01,16929.356,177378.0,177378.0,,,,,,,1891.3310000000001,32640.0,32640.0,,,,6583.941000000001,97605.0,97605.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-06-01,18340.417,192163.0,192163.0,,,,,,,2131.501,36785.0,36785.0,,,,8961.729000000001,132856.0,132856.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-07-01,20862.191,218585.0,218585.0,,,,,,,2409.245,41578.0,41578.0,,,,9030.083,133869.0,133869.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-08-01,21012.723,220162.0,220162.0,,,,,,,2248.051,38796.0,38796.0,,,,10036.863,148794.0,148794.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-09-01,17459.037,182928.0,182928.0,,,,,,,2020.3770000000002,34867.0,34867.0,,,,8308.488000000001,123171.0,123171.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-10-01,18058.624,189210.0,189210.0,,,,,,,1983.518,34231.0,34231.0,,,,8384.682,124301.0,124301.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-11-01,17855.585,187083.0,187083.0,,,,,,,1673.93,28888.0,28888.0,,,,5561.6230000000005,82450.0,82450.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,19330.159,202533.0,202533.0,,,,,,,1747.352,30155.0,30155.0,,,,8890.55,131800.0,131800.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,15744.93,216172.0,216172.0,,,,35.592,489.0,489.0,6561.723,90090.0,90090.0,,,,8814.297,121017.0,121017.0,,,,,,,371.459,5100.0,5100.0
2007-02-01,9627.244,136018.0,136018.0,,,,1276.034,18028.0,18028.0,3764.5150000000003,53187.0,53187.0,,,,7932.357,112072.0,112072.0,,,,,,,31.851000000000003,450.0,450.0
2007-03-01,14989.755000000001,189961.0,189961.0,,,,83.644,1060.0,1060.0,4975.27,63050.0,63050.0,,,,12364.625,156693.0,156693.0,,,,,,,16.705,212.0,212.0
2007-04-01,15813.04,198171.0,198171.0,,,,103.307,1295.0,1295.0,5266.218,65997.0,65997.0,,,,11335.643,142060.0,142060.0,,,,,,,27.793000000000003,348.0,348.0
2007-05-01,1524.5990000000002,18354.0,18354.0,,,,27.472,331.0,331.0,520.826,6270.0,6270.0,,,,2039.103,24548.0,24548.0,,,,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-08-01,8439.401,128060.0,128060.0,,,,693.3810000000001,10521.0,10521.0,707.311,10733.0,10733.0,,,,5600.907,84989.0,84989.0,,,,,,,0.0,0.0,0.0
2007-09-01,19824.275999999998,267666.0,267666.0,,,,41.216,557.0,557.0,1151.663,15550.0,15550.0,,,,10411.844,140580.0,140580.0,,,,,,,0.0,0.0,0.0
2007-10-01,277.30600000000004,4648.0,4648.0,,,,2.694,45.0,45.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-12-01,41.519000000000005,2021.0,2021.0,0.0,0.0,0.0,323.481,15749.0,15749.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-01-01,5666.661,89554.0,89554.0,0.0,0.0,0.0,1637.65,25881.0,25881.0,2380.295,37617.0,37617.0,,,,4446.394,70269.0,70269.0,,,,,,,0.0,0.0,0.0
2008-02-01,7184.897,108518.0,108518.0,0.0,0.0,0.0,906.2760000000001,13688.0,13688.0,2425.973,36641.0,36641.0,,,,4968.8550000000005,75048.0,75048.0,,,,,,,0.0,0.0,0.0
2008-03-01,13917.57,204185.0,204185.0,0.0,0.0,0.0,219.208,3216.0,3216.0,1807.0900000000001,26512.0,26512.0,,,,11037.107,161926.0,161926.0,,,,,,,778.024,11414.0,11414.0
2008-04-01,6605.036,105840.0,105840.0,0.0,0.0,0.0,93.82600000000001,1503.0,1503.0,1007.855,16150.0,16150.0,,,,13663.7,218949.0,218949.0,,,,,,,7137.5830000000005,114374.0,114374.0
2008-05-01,3166.135,46807.0,46807.0,0.0,0.0,0.0,409.98900000000003,6061.0,6061.0,293.642,4341.0,4341.0,,,,10741.457,158799.0,158799.0,,,,,,,4705.777,69569.0,69569.0
2008-06-01,8971.632,134050.0,134050.0,0.0,0.0,0.0,157.797,2358.0,2358.0,1497.671,22377.0,22377.0,,,,10977.482,164020.0,164020.0,,,,,,,3580.418,53497.0,53497.0
2008-07-01,12956.802,188978.0,188978.0,0.0,0.0,0.0,87.992,1283.0,1283.0,2645.0750000000003,38579.0,38579.0,,,,11492.351,167619.0,167619.0,,,,,,,2496.78,36416.0,36416.0
2008-08-01,7053.965,99684.0,99684.0,0.0,0.0,0.0,443.344,6265.0,6265.0,2020.518,28553.0,28553.0,,,,9982.503,141069.0,141069.0,,,,,,,3789.67,53554.0,53554.0
2008-09-01,8669.554,115409.0,115409.0,0.0,0.0,0.0,70.36200000000001,937.0,937.0,2498.21,33256.0,33256.0,,,,13969.989,185968.0,185968.0,,,,,,,5543.885,73800.0,73800.0
2008-10-01,9713.602,131371.0,131371.0,0.0,0.0,0.0,351.93100000000004,4760.0,4760.0,536.8820000000001,7261.0,7261.0,,,,8786.009,118826.0,118826.0,,,,,,,1996.575,27003.0,27003.0
2008-11-01,6917.241,88819.0,88819.0,0.0,0.0,0.0,170.471,2189.0,2189.0,1066.583,13695.0,13695.0,,,,13107.013,168298.0,168298.0,,,,,,,6381.692,81943.0,81943.0
2008-12-01,9621.274000000001,129535.0,129535.0,0.0,0.0,0.0,174.74800000000002,2353.0,2353.0,2790.627,37571.0,37571.0,0.0,0.0,0.0,11904.373,160274.0,160274.0,,,,,,,4274.978,57556.0,57556.0
2009-01-01,9642.268,137983.0,137983.0,,,,,,,2189.453,31332.0,31332.0,,,,7973.756,114106.0,114106.0,,,,0.0,0.0,0.0,1448.5230000000001,20729.0,20729.0
2009-02-01,7962.9220000000005,104334.0,104334.0,,,,,,,2807.331,36783.0,36783.0,,,,9996.606,130980.0,130980.0,,,,0.0,0.0,0.0,2743.141,35942.0,35942.0
2009-03-01,10440.11,145324.0,145324.0,,,,,,,1786.555,24869.0,24869.0,,,,9081.122000000001,126408.0,126408.0,,,,0.0,0.0,0.0,5923.213000000001,82450.0,82450.0
2009-04-01,1159.371,18157.0,18157.0,,,,,,,0.0,0.0,0.0,,,,1391.99,21801.0,21801.0,,,,0.0,0.0,0.0,747.639,11709.0,11709.0
2009-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,550.4730000000001,7888.0,7888.0,,,,,,,139.233,1995.0,1995.0,,,,2145.196,30739.0,30739.0,,,,0.0,0.0,0.0,1337.098,19160.0,19160.0
2009-07-01,1698.952,26089.0,26089.0,,,,,,,0.0,0.0,0.0,,,,9019.509,138503.0,138503.0,,,,0.0,0.0,0.0,7426.539000000001,114041.0,114041.0
2009-08-01,3233.9190000000003,46038.0,46038.0,,,,,,,144.09300000000002,2051.0,2051.0,,,,9132.26,130007.0,130007.0,,,,0.0,0.0,0.0,9678.728000000001,137786.0,137786.0
2009-09-01,427.49600000000004,6555.0,6555.0,,,,,,,128.282,1967.0,1967.0,,,,4775.113,73219.0,73219.0,,,,0.0,0.0,0.0,6080.109,93229.0,93229.0
2009-10-01,286.024,3780.0,3780.0,,,,,,,0.0,0.0,0.0,,,,531.256,7021.0,7021.0,,,,0.0,0.0,0.0,731.72,9670.0,9670.0
2009-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,8.214,109.0,109.0,,,,,,,0.0,0.0,0.0,,,,1219.9160000000002,16225.0,16225.0,,,,0.0,0.0,0.0,1317.87,17528.0,17528.0
2010-01-01,2309.1310000000003,29786.0,29786.0,,,,,,,0.0,0.0,0.0,,,,9339.047,120467.0,120467.0,,,,0.0,0.0,0.0,9241.822,119213.0,119213.0
2010-02-01,2836.242,41190.0,41190.0,,,,,,,0.0,0.0,0.0,,,,7872.702,114334.0,114334.0,,,,0.0,0.0,0.0,8324.056,120889.0,120889.0
2010-03-01,567.366,9171.0,9171.0,,,,,,,0.0,0.0,0.0,,,,6992.555,113025.0,113025.0,,,,0.0,0.0,0.0,9338.079,150938.0,150938.0
2010-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,457.503,6349.0,6349.0,,,,,,,0.0,0.0,0.0,,,,2989.898,41494.0,41494.0,,,,0.0,0.0,0.0,1818.599,25238.0,25238.0
2012-04-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,515.821,6241.0,6241.0,,,,0.0,0.0,0.0,464.179,5616.0,5616.0
2012-06-01,3317.149,49421.0,49421.0,,,,,,,0.0,0.0,0.0,,,,11531.043,171798.0,171798.0,,,,0.275,4.0,4.0,8314.533,123876.0,123876.0
2012-07-01,831.85,11391.0,11391.0,,,,,,,0.0,0.0,0.0,,,,8562.264,117250.0,117250.0,,,,0.336,5.0,5.0,6742.55,92331.0,92331.0
2012-08-01,41.076,515.0,515.0,,,,,,,0.0,0.0,0.0,,,,6607.108,82870.0,82870.0,,,,0.343,4.0,4.0,4141.473,51944.0,51944.0
2012-09-01,613.825,7426.0,7426.0,,,,,,,0.0,0.0,0.0,,,,14175.719,171497.0,171497.0,,,,0.339,4.0,4.0,11553.117,139769.0,139769.0
2012-10-01,1042.358,13674.0,13674.0,,,,,,,0.0,0.0,0.0,,,,5860.944,76886.0,76886.0,,,,0.313,4.0,4.0,6626.385,86927.0,86927.0
2012-11-01,114.043,1258.0,1258.0,,,,,,,0.0,0.0,0.0,,,,3804.775,41977.0,41977.0,,,,0.399,4.0,4.0,3033.783,33471.0,33471.0
2012-12-01,860.043,10026.0,10026.0,,,,,,,0.0,0.0,0.0,,,,4060.92,47339.0,47339.0,,,,0.0,0.0,0.0,4624.037,53903.0,53903.0
2013-01-01,836.545,10689.0,10689.0,,,,128.907,1647.0,1647.0,0.0,0.0,0.0,,,,5882.333,75165.0,75165.0,,,,0.321,4.0,4.0,6056.894,77395.0,77395.0
2013-02-01,766.954,10455.0,10455.0,,,,70.304,958.0,958.0,0.0,0.0,0.0,,,,6950.518,94748.0,94748.0,,,,0.0,0.0,0.0,6724.224,91664.0,91664.0
2013-03-01,824.843,11119.0,11119.0,,,,30.186,407.0,407.0,0.0,0.0,0.0,,,,7486.273,100918.0,100918.0,,,,0.304,4.0,4.0,6637.394,89475.0,89475.0
2013-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
