measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Combined Cycle Combustion Turbine Part - Other - Generation,Other - Combined Cycle Combustion Turbine Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Combustion Turbine Part - Other - Total Fuel Consumed,Other - Combined Cycle Steam Part - Other - Generation,Other - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Other - Combined Cycle Steam Part - Other - Total Fuel Consumed,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2004-04-01,0.329,4.0,4.0,,,,0.0,0.0,0.0,3.64,34.0,34.0,,,,24869.35,274673.0,274673.0,5796.504,0.0,0.0,-129.537,495.0,495.0,-3.061,1484.0,1484.0,,,,,,,,,,0.0,0.0,0.0
2004-05-01,0.653,7.0,7.0,,,,0.0,0.0,0.0,7.679,71.0,71.0,,,,26812.842,296138.0,296138.0,7031.6410000000005,0.0,0.0,-122.45100000000001,468.0,468.0,-3.939,1909.0,1909.0,,,,,,,,,,0.0,0.0,0.0
2004-06-01,1.3070000000000002,14.0,14.0,,,,0.0,0.0,0.0,8.91,82.0,82.0,,,,28680.515,316766.0,316766.0,8035.196000000001,0.0,0.0,-142.234,543.0,543.0,-4.938000000000001,2394.0,2394.0,,,,,,,,,,0.0,0.0,0.0
2004-07-01,69.226,765.0,765.0,,,,0.0,0.0,0.0,8.694,80.0,80.0,,,,31831.113,351564.0,351564.0,9446.296,0.0,0.0,-135.608,518.0,518.0,-6.494000000000001,3147.0,3147.0,,,,,,,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,8.97,83.0,83.0,,,,32089.359,354416.0,354416.0,9785.013,0.0,0.0,-131.184,501.0,501.0,-6.183000000000001,2997.0,2997.0,,,,,,,,,,0.0,0.0,0.0
2004-09-01,67.165,742.0,742.0,,,,0.0,0.0,0.0,9.794,90.0,90.0,,,,29249.534,323051.0,323051.0,8203.798,0.0,0.0,-133.119,509.0,509.0,-4.365,2116.0,2116.0,,,,,,,,,,0.0,0.0,0.0
2004-10-01,471.62300000000005,5210.0,5210.0,,,,0.0,0.0,0.0,8.011000000000001,74.0,74.0,,,,27301.71,301538.0,301538.0,7385.227000000001,0.0,0.0,-137.09900000000002,524.0,524.0,-4.01,1944.0,1944.0,,,,,,,,,,0.0,0.0,0.0
2004-11-01,22.597,250.0,250.0,,,,0.0,0.0,0.0,7.564,70.0,70.0,,,,23762.085,262444.0,262444.0,6191.9310000000005,0.0,0.0,-115.65100000000001,442.0,442.0,-2.144,1039.0,1039.0,,,,,,,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,6.18,57.0,57.0,,,,24047.623,265598.0,265598.0,6144.009,0.0,0.0,-137.499,525.0,525.0,-2.412,1169.0,1169.0,,,,,,,,,,0.0,0.0,0.0
2005-01-01,0.684,7.41,7.41,,,,0.0,0.0,0.0,12.894,133.44,133.44,0.0,0.0,0.0,26152.439,292776.97,292776.97,7246.951,0.0,0.0,-104.83,412.85,412.85,201.11700000000002,6204.42,6204.42,,,,,,,,,,,,
2005-02-01,0.34700000000000003,3.76,3.76,,,,0.0,0.0,0.0,6.5440000000000005,67.73,67.73,0.0,0.0,0.0,21710.268,243046.78,243046.78,6016.0070000000005,0.0,0.0,-87.024,342.72,342.72,166.95600000000002,5150.56,5150.56,,,,,,,,,,,,
2005-03-01,0.42,4.55,4.55,,,,0.0,0.0,0.0,7.92,81.97,81.97,0.0,0.0,0.0,26886.393,300993.59,300993.59,7450.3330000000005,0.0,0.0,-107.772,424.43,424.43,206.76100000000002,6378.54,6378.54,,,,,,,,,,,,
2005-04-01,0.438,4.75,4.75,,,,0.0,0.0,0.0,8.253,85.41,85.41,0.0,0.0,0.0,26491.406,296571.7,296571.7,7340.88,0.0,0.0,-106.188,418.2,418.2,203.723,6284.83,6284.83,,,,,,,,,,,,
2005-05-01,0.516,5.59,5.59,,,,0.0,0.0,0.0,9.725,100.64,100.64,0.0,0.0,0.0,31229.086,349610.11,349610.11,8653.712,0.0,0.0,-125.179,492.99,492.99,240.157,7408.81,7408.81,,,,,,,,,,,,
2005-06-01,0.467,5.06,5.06,,,,0.0,0.0,0.0,8.805,91.12,91.12,0.0,0.0,0.0,39411.966,441217.58,441217.58,10921.222,0.0,0.0,-157.979,622.17,622.17,303.085,9350.12,9350.12,,,,,,,,,,,,
2005-07-01,0.748,8.1,8.1,,,,0.0,0.0,0.0,14.098,145.91,145.91,0.0,0.0,0.0,49394.978,552977.55,552977.55,13687.557,0.0,0.0,-197.995,779.76,779.76,379.856,11718.49,11718.49,,,,,,,,,,,,
2005-08-01,0.8270000000000001,8.97,8.97,,,,0.0,0.0,0.0,15.602,161.47,161.47,0.0,0.0,0.0,51167.843,572824.8,572824.8,14178.825,0.0,0.0,-205.102,807.75,807.75,393.48900000000003,12139.09,12139.09,,,,,,,,,,,,
2005-09-01,0.8220000000000001,8.91,8.91,,,,0.0,0.0,0.0,15.494000000000002,160.35,160.35,0.0,0.0,0.0,38935.531,435883.87,435883.87,10789.2,0.0,0.0,-156.06900000000002,614.64,614.64,299.421,9237.09,9237.09,,,,,,,,,,,,
2005-10-01,0.49,5.31,5.31,,,,0.0,0.0,0.0,9.245,95.68,95.68,0.0,0.0,0.0,31104.736,348218.01,348218.01,8619.254,0.0,0.0,-124.68,491.03,491.03,239.20100000000002,7379.3,7379.3,,,,,,,,,,,,
2005-11-01,0.391,4.24,4.24,,,,0.0,0.0,0.0,7.369000000000001,76.26,76.26,0.0,0.0,0.0,26537.49,297087.61,297087.61,7353.651000000001,0.0,0.0,-106.373,418.93,418.93,204.078,6295.77,6295.77,,,,,,,,,,,,
2005-12-01,0.8510000000000001,9.23,9.23,,,,0.0,0.0,0.0,16.052,166.13,166.13,0.0,0.0,0.0,25897.863,289926.98,289926.98,7176.407,0.0,0.0,-103.80900000000001,408.83,408.83,199.15900000000002,6144.02,6144.02,,,,,,,,,,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13880.0,161945.0,161945.0,3490.0,0.0,0.0,-104.0,891.0,891.0,-100.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18247.0,210023.0,210023.0,4710.0,0.0,0.0,-116.0,310.0,310.0,-68.0,179.0,179.0,,,,,,,,,,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,41450.0,463376.0,463376.0,11828.0,0.0,0.0,-75.0,1344.0,1344.0,-148.0,91.0,91.0,,,,,,,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,18.0,,,,25751.0,409079.0,409079.0,10654.0,0.0,0.0,385.0,13403.0,13403.0,-100.0,849.0,849.0,,,,,,,,,,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,70.0,70.0,,,,34568.0,378465.0,378465.0,9621.0,0.0,0.0,649.0,20924.0,20924.0,203.0,9686.0,9686.0,,,,,,,,,,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,70.0,70.0,,,,37875.0,405161.0,405161.0,10129.0,0.0,0.0,439.0,15253.0,15253.0,659.0,13787.0,13787.0,,,,,,,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,158.0,158.0,,,,2755.0,38004.0,38004.0,802.0,0.0,0.0,138.0,6440.0,6440.0,2918.0,47682.0,47682.0,,,,,,,,,,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,485.0,485.0,,,,62569.0,654585.0,654585.0,15951.0,0.0,0.0,77.0,6601.0,6601.0,1577.0,29066.0,29066.0,,,,,,,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,8.0,76.0,76.0,0.0,0.0,0.0,54187.0,590175.0,590175.0,14867.0,0.0,0.0,50.0,5510.0,5510.0,74.0,5516.0,5516.0,,,,,,,,,,,,
2006-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33664.0,379564.0,379564.0,9350.0,0.0,0.0,482.0,16103.0,16103.0,300.0,9525.0,9525.0,,,,,,,,,,,,
2006-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,26457.0,327763.0,327763.0,7054.0,0.0,0.0,-79.0,1797.0,1797.0,-49.0,1781.0,1781.0,,,,,,,,,,,,
2006-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32883.0,388963.0,388963.0,8363.0,0.0,0.0,-96.0,1034.0,1034.0,-127.0,681.0,681.0,,,,,,,,,,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47730.0,517588.0,517588.0,11842.0,0.0,0.0,292.0,12401.0,12401.0,545.0,10850.0,10850.0,,,,,,,0.0,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.5,0.0,0.0,30898.0,341998.0,341998.0,7707.0,0.0,0.0,-4.0,3387.0,3387.0,-56.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-71.5,0.0,0.0,0.0,0.0,0.0,-42.5,0.0,0.0,48261.0,522268.0,522268.0,12645.0,0.0,0.0,-71.5,0.0,0.0,-42.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,216.0,216.0,0.0,0.0,0.0,44143.0,482921.0,482921.0,12196.0,0.0,0.0,1.0,2883.0,2883.0,-12.0,5055.0,5055.0,,,,,,,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,47.0,0.0,0.0,0.0,29467.0,328656.0,328656.0,8018.0,0.0,0.0,-62.0,1865.0,1865.0,-3.0,2826.0,2826.0,,,,,,,0.0,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,420.0,420.0,0.0,0.0,0.0,42867.0,465062.0,465062.0,11579.0,0.0,0.0,70.0,4576.0,4576.0,-121.0,450.0,450.0,,,,,,,0.0,0.0,0.0,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,169.0,169.0,0.0,0.0,0.0,38521.0,424617.0,424617.0,10678.0,0.0,0.0,-11.0,3070.0,3070.0,-6.0,3398.0,3398.0,,,,,,,0.0,0.0,0.0,,,
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,286.0,286.0,-57.5,0.0,0.0,52098.0,559969.0,559969.0,13689.0,0.0,0.0,-98.0,1314.0,1314.0,-57.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,333.0,333.0,-46.5,0.0,0.0,47236.0,527233.0,527233.0,13178.0,0.0,0.0,-124.0,6038.0,6038.0,-46.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,41.0,-36.0,0.0,0.0,36921.0,409051.0,409051.0,10219.0,0.0,0.0,-69.0,1482.0,1482.0,-36.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,88.0,88.0,-33.5,0.0,0.0,34061.0,384339.0,384339.0,8560.0,0.0,0.0,-111.0,231.0,231.0,-33.5,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,23.0,0.0,0.0,0.0,42439.0,478384.0,478384.0,10977.0,0.0,0.0,-27.0,1400.0,1400.0,-67.0,592.0,592.0,,,,,,,0.0,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,29.0,,,,47148.0,527008.0,527008.0,12041.0,0.0,0.0,-101.0,522.0,522.0,74.0,6929.0,6929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,105.0,105.0,,,,25465.0,296975.0,296975.0,6637.0,0.0,0.0,-36.0,1135.0,1135.0,-137.0,453.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.0,88.0,,,,55421.0,622814.0,622814.0,15947.0,0.0,0.0,-64.0,1243.0,1243.0,-78.0,3261.0,3261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,339.0,339.0,,,,24072.0,277555.0,277555.0,7607.0,0.0,0.0,8.0,3999.0,3999.0,166.0,8763.0,8763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1010.0,1010.0,,,,44388.0,497841.0,497841.0,11867.0,0.0,0.0,652.0,17054.0,17054.0,698.0,11865.0,11865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,724.0,724.0,,,,62425.0,673536.0,673536.0,16202.0,0.0,0.0,578.0,16661.0,16661.0,2599.0,34363.0,34363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,,,,,,,,,,41.0,426.0,426.0,,,,51061.0,555177.0,555177.0,13955.0,0.0,0.0,-87.0,1253.0,1253.0,-160.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,210.0,210.0,,,,45449.0,507127.0,507127.0,12836.0,0.0,0.0,-91.0,1412.0,1412.0,1031.0,17162.0,17162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,216.0,216.0,,,,32696.0,385284.0,385284.0,9889.0,0.0,0.0,-122.0,328.0,328.0,424.0,8445.0,8445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,280.0,280.0,,,,35790.0,388295.0,388295.0,10830.0,0.0,0.0,108.0,4473.0,4473.0,-100.0,3274.0,3274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,239.0,239.0,,,,14832.0,190583.0,190583.0,4243.0,0.0,0.0,-54.0,1233.0,1233.0,-84.0,3020.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,426.0,426.0,,,,21598.0,265569.0,265569.0,5767.0,0.0,0.0,192.0,8229.0,8229.0,262.0,7420.0,7420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,169.0,169.0,,,,18756.0,235798.0,235798.0,5061.0,0.0,0.0,-61.0,1977.0,1977.0,-69.0,3636.0,3636.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,111.0,111.0,,,,11673.0,157988.0,157988.0,3409.0,0.0,0.0,-116.0,357.0,357.0,-77.0,1882.0,1882.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
