measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2006-11-01,26828.0,271045.0,271045.0,65.0,655.0,655.0,,,,1074.0,10847.0,10847.0,0.0,0.0,0.0
2006-12-01,25088.0,240038.0,240038.0,28.0,268.0,268.0,,,,169.0,1613.0,1613.0,0.0,0.0,0.0
2007-01-01,27762.783,262636.0,262636.0,15.663,148.0,148.0,,,,190.554,1803.0,1803.0,0.0,0.0,0.0
2007-02-01,37971.209,410581.0,410581.0,119.114,1288.0,1288.0,,,,79.677,862.0,862.0,0.0,0.0,0.0
2007-03-01,44176.776,466366.0,466366.0,37.249,393.0,393.0,,,,705.975,7453.0,7453.0,0.0,0.0,0.0
2007-04-01,40823.08,438054.0,438054.0,30.804000000000002,331.0,331.0,,,,543.1170000000001,5828.0,5828.0,0.0,0.0,0.0
2007-05-01,20941.082,225668.0,225668.0,17.981,194.0,194.0,,,,272.937,2941.0,2941.0,0.0,0.0,0.0
2007-06-01,44455.711,484206.0,484206.0,12.034,131.0,131.0,,,,2396.254,26100.0,26100.0,0.0,0.0,0.0
2007-07-01,47755.955,527552.0,527552.0,13.413,148.0,148.0,,,,1219.631,13473.0,13473.0,0.0,0.0,0.0
2007-08-01,49362.021,537579.0,537579.0,2.616,28.0,28.0,,,,4562.363,49687.0,49687.0,0.0,0.0,0.0
2007-09-01,39125.101,422887.0,422887.0,9.491,103.0,103.0,,,,73.408,793.0,793.0,0.0,0.0,0.0
2007-10-01,46556.655,498689.0,498689.0,6.917000000000001,74.0,74.0,,,,99.42800000000001,1065.0,1065.0,0.0,0.0,0.0
2007-11-01,45095.854,477927.0,477927.0,12.368,131.0,131.0,,,,1056.778,11200.0,11200.0,0.0,0.0,0.0
2007-12-01,37192.978,406447.0,406447.0,27.118000000000002,296.0,296.0,,,,721.904,7889.0,7889.0,0.0,0.0,0.0
2008-01-01,42281.124,473573.0,473573.0,1.524,17.0,17.0,,,,105.352,1180.0,1180.0,0.0,0.0,0.0
2008-02-01,25362.433,278855.0,278855.0,6.21,68.0,68.0,,,,177.356,1950.0,1950.0,0.0,0.0,0.0
2008-03-01,38535.968,421109.0,421109.0,8.331,91.0,91.0,,,,175.70100000000002,1920.0,1920.0,0.0,0.0,0.0
2008-04-01,32452.931,335154.0,335154.0,13.556000000000001,140.0,140.0,,,,106.513,1100.0,1100.0,0.0,0.0,0.0
2008-05-01,6391.417,70567.0,70567.0,18.767,207.0,207.0,,,,318.81600000000003,3520.0,3520.0,0.0,0.0,0.0
2008-06-01,42303.589,450267.0,450267.0,19.78,211.0,211.0,,,,3050.6310000000003,32470.0,32470.0,0.0,0.0,0.0
2008-07-01,44947.1,480993.0,480993.0,15.42,165.0,165.0,,,,121.48,1300.0,1300.0,0.0,0.0,0.0
2008-08-01,13140.833,131348.0,131348.0,9.108,91.0,91.0,,,,128.059,1280.0,1280.0,0.0,0.0,0.0
2008-09-01,20314.69,221610.0,221610.0,19.299,211.0,211.0,,,,506.011,5520.0,5520.0,0.0,0.0,0.0
2008-10-01,5028.758,48555.0,48555.0,6.96,67.0,67.0,,,,124.28200000000001,1200.0,1200.0,0.0,0.0,0.0
2008-11-01,16355.169,184285.0,184285.0,18.684,211.0,211.0,,,,472.14700000000005,5320.0,5320.0,0.0,0.0,0.0
2008-12-01,22594.971,244792.0,244792.0,14.706000000000001,159.0,159.0,,,,1159.323,12560.0,12560.0,0.0,0.0,0.0
2009-01-01,22809.751,261609.0,261609.0,0.0,0.0,0.0,,,,230.24900000000002,2641.0,2641.0,0.0,0.0,0.0
2009-02-01,4250.608,61149.0,61149.0,0.0,0.0,0.0,,,,141.392,2034.0,2034.0,0.0,0.0,0.0
2009-03-01,5302.895,69263.0,69263.0,0.0,0.0,0.0,,,,170.105,2222.0,2222.0,0.0,0.0,0.0
2009-04-01,-0.5,0.0,0.0,0.0,0.0,0.0,,,,-0.5,0.0,0.0,0.0,0.0,0.0
2009-05-01,424.18100000000004,24611.0,24611.0,0.0,0.0,0.0,,,,70.819,4109.0,4109.0,0.0,0.0,0.0
2009-06-01,4839.598,73836.0,73836.0,0.0,0.0,0.0,,,,235.40200000000002,3591.0,3591.0,0.0,0.0,0.0
2009-07-01,549.69,18546.0,18546.0,0.0,0.0,0.0,,,,468.31,15800.0,15800.0,0.0,0.0,0.0
2009-08-01,12452.12,144864.0,144864.0,0.0,0.0,0.0,,,,403.88,4699.0,4699.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1478.0,1049.0,1049.0,0.0,0.0,0.0
2009-10-01,-749.5,0.0,0.0,0.0,0.0,0.0,,,,-749.5,0.0,0.0,0.0,0.0,0.0
2009-11-01,-734.0,0.0,0.0,0.0,0.0,0.0,,,,-734.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9340.0,32439.0,32439.0,0.0,0.0,0.0
2010-01-01,21699.598,244486.0,244486.0,0.0,0.0,0.0,,,,200.40200000000002,2258.0,2258.0,0.0,0.0,0.0
2010-02-01,11513.333,126487.0,126487.0,0.0,0.0,0.0,,,,208.667,2292.0,2292.0,0.0,0.0,0.0
2010-03-01,1095.872,16277.0,16277.0,0.0,0.0,0.0,,,,94.128,1398.0,1398.0,0.0,0.0,0.0
2010-04-01,30115.489,336758.0,336758.0,0.0,0.0,0.0,,,,119.51100000000001,1336.0,1336.0,0.0,0.0,0.0
2010-05-01,39377.092000000004,436986.0,436986.0,0.0,0.0,0.0,,,,126.908,1408.0,1408.0,0.0,0.0,0.0
2010-06-01,22453.744,261560.0,261560.0,0.0,0.0,0.0,,,,7375.256,85913.0,85913.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,36835.0,441847.0,441847.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5070.0,65280.0,65280.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2791.0,31936.0,31936.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2580.0,29583.0,29583.0,0.0,0.0,0.0
2011-01-01,-1207.54,0.0,0.0,0.0,0.0,0.0,,,,-528.46,0.0,0.0,0.0,0.0,0.0
2011-02-01,-991.908,0.0,0.0,0.0,0.0,0.0,,,,-434.092,0.0,0.0,0.0,0.0,0.0
2011-03-01,-1072.596,0.0,0.0,0.0,0.0,0.0,,,,-469.404,0.0,0.0,0.0,0.0,0.0
2011-04-01,-838.879,0.0,0.0,0.0,0.0,0.0,,,,-367.121,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2077.0,33988.0,33988.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,9903.0,116428.0,116428.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,32426.0,390679.0,390679.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3067.0,45856.0,45856.0,0.0,0.0,0.0
2011-09-01,-1015.558,0.0,0.0,0.0,0.0,0.0,,,,-444.442,0.0,0.0,0.0,0.0,0.0
2011-10-01,-872.267,0.0,0.0,0.0,0.0,0.0,,,,-381.733,0.0,0.0,0.0,0.0,0.0
2011-11-01,-747.061,0.0,0.0,0.0,0.0,0.0,,,,-326.939,0.0,0.0,0.0,0.0,0.0
2011-12-01,-862.529,0.0,0.0,0.0,0.0,0.0,,,,-377.471,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2868.0,39567.0,39567.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2707.0,36797.0,36797.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,13678.0,178561.0,178561.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,18127.0,239295.0,239295.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,39780.0,497655.0,497655.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,12176.0,133097.0,133097.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5824.0,67372.0,67372.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1863.0,28718.0,28718.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1908.0,26358.0,26358.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,6763.0,86422.0,86422.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,5152.0,65364.0,65364.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,16860.0,218383.0,218383.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2624.0,33510.0,33510.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,3858.0,47779.0,47779.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,662.0,10420.0,10420.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
