measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed",Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2009-06-01,7.381,140.0,140.0,10.959000000000001,205.0,205.0,,,
2009-07-01,7.846,146.0,146.0,20.131,376.0,376.0,,,
2009-08-01,5.882000000000001,111.0,111.0,19.089000000000002,357.0,357.0,,,
2009-09-01,9.318,176.0,176.0,15.806000000000001,295.0,295.0,,,
2009-10-01,13.254000000000001,246.0,246.0,12.666,236.0,236.0,,,
2009-11-01,11.978,222.0,222.0,8.457,158.0,158.0,,,
2009-12-01,8.604000000000001,158.0,158.0,7.992,149.0,149.0,,,
2010-01-01,4.098,88.0,88.0,1.57,34.0,34.0,,,
2010-02-01,4.481,94.0,94.0,1.655,35.0,35.0,,,
2010-03-01,4.135,88.0,88.0,2.387,50.0,50.0,,,
2010-04-01,10.126000000000001,216.0,216.0,2.7670000000000003,59.0,59.0,,,
2010-05-01,4.139,88.0,88.0,2.165,46.0,46.0,,,
2010-06-01,2.817,59.0,59.0,3.6390000000000002,77.0,77.0,,,
2010-07-01,2.623,59.0,59.0,5.556,118.0,118.0,,,
2010-08-01,3.7960000000000003,82.0,82.0,5.827,124.0,124.0,,,
2010-09-01,1.469,29.0,29.0,4.885000000000001,104.0,104.0,,,
2010-10-01,3.326,70.0,70.0,3.87,82.0,82.0,,,
2010-11-01,4.1240000000000006,88.0,88.0,2.599,56.0,56.0,,,
2010-12-01,2.72,59.0,59.0,2.226,47.0,47.0,,,
2011-01-01,7.429,135.0,135.0,3.906,72.0,72.0,,,
2011-02-01,4.228,76.0,76.0,2.961,53.0,53.0,,,
2011-03-01,6.791,123.0,123.0,1.715,31.0,31.0,,,
2011-04-01,6.718,123.0,123.0,3.588,65.0,65.0,,,
2011-05-01,8.127,146.0,146.0,2.688,48.0,48.0,,,
2011-06-01,6.521,117.0,117.0,5.47,99.0,99.0,,,
2011-07-01,4.482,82.0,82.0,8.32,150.0,150.0,,,
2011-08-01,4.555,82.0,82.0,10.355,187.0,187.0,,,
2011-09-01,6.798,123.0,123.0,7.31,133.0,133.0,,,
2011-10-01,4.238,76.0,76.0,5.571,101.0,101.0,,,
2011-11-01,5.059,94.0,94.0,3.88,70.0,70.0,,,
2011-12-01,5.234,94.0,94.0,3.056,56.0,56.0,,,
2012-01-01,2.36,35.0,35.0,6.178,96.0,96.0,,,
2012-02-01,3.074,47.0,47.0,7.065,111.0,111.0,,,
2012-03-01,6.937,111.0,111.0,7.516,118.0,118.0,,,
2012-04-01,4.657,76.0,76.0,7.964,125.0,125.0,,,
2012-05-01,5.187,82.0,82.0,7.514,118.0,118.0,,,
2012-06-01,2.789,41.0,41.0,11.425,180.0,180.0,,,
2012-07-01,2.916,47.0,47.0,13.882,218.0,218.0,,,
2012-08-01,1.369,23.0,23.0,16.288,256.0,256.0,,,
2012-09-01,2.658,41.0,41.0,11.91,187.0,187.0,,,
2012-10-01,5.698,88.0,88.0,9.067,143.0,143.0,,,
2012-11-01,5.133,82.0,82.0,3.966,63.0,63.0,,,
2012-12-01,2.26,35.0,35.0,3.187,50.0,50.0,,,
2013-01-01,2.888,41.0,41.0,2.558,38.0,38.0,,,
2013-02-01,3.008,47.0,47.0,1.988,30.0,30.0,,,
2013-03-01,4.616,70.0,70.0,2.098,31.0,31.0,,,
2013-04-01,2.964,47.0,47.0,2.85,42.0,42.0,,,
2013-05-01,2.04,29.0,29.0,2.577,38.0,38.0,,,
2013-06-01,1.999,29.0,29.0,5.835,87.0,87.0,,,
2013-07-01,2.466,35.0,35.0,8.028,119.0,119.0,,,
2013-08-01,1.934,29.0,29.0,8.046,120.0,120.0,,,
2013-09-01,3.26,47.0,47.0,6.255,94.0,94.0,,,
2013-10-01,1.924,29.0,29.0,3.501,52.0,52.0,,,
2013-11-01,5.566,82.0,82.0,2.71,40.0,40.0,,,
2013-12-01,1.885,29.0,29.0,4.264,64.0,64.0,,,
2014-01-01,1.684,29.0,29.0,1.788,26.0,26.0,,,
2014-02-01,2.013,29.0,29.0,1.752,27.0,27.0,,,
2014-03-01,7.995,117.0,117.0,0.931,14.0,14.0,,,
2014-04-01,2.043,29.0,29.0,1.594,24.0,24.0,,,
2014-05-01,2.286,35.0,35.0,2.407,36.0,36.0,,,
2014-06-01,2.491,35.0,35.0,3.847,58.0,58.0,,,
2014-07-01,1.593,23.0,23.0,5.459,82.0,82.0,,,
2014-08-01,0.812,12.0,12.0,5.15,77.0,77.0,,,
2014-09-01,1.072,18.0,18.0,4.668,70.0,70.0,,,
2014-10-01,1.063,18.0,18.0,3.402,51.0,51.0,,,
2014-11-01,2.476,35.0,35.0,2.418,36.0,36.0,,,
2014-12-01,2.196,35.0,35.0,1.58,24.0,24.0,,,
2015-01-01,2.582,53.0,53.0,1.663,31.0,31.0,,,
2015-02-01,2.203,41.0,41.0,1.261,24.0,24.0,,,
2015-03-01,1.357,23.0,23.0,1.338,26.0,26.0,,,
2015-04-01,2.546,47.0,47.0,1.956,37.0,37.0,,,
2015-05-01,1.602,29.0,29.0,1.959,37.0,37.0,,,
2015-06-01,1.829,35.0,35.0,4.537,85.0,85.0,,,
2015-07-01,0.367,6.0,6.0,5.078,96.0,96.0,,,
2015-08-01,1.285,23.0,23.0,5.735,108.0,108.0,,,
2015-09-01,2.6,47.0,47.0,4.626,87.0,87.0,,,
2015-10-01,1.406,29.0,29.0,3.69,70.0,70.0,,,
2015-11-01,1.596,29.0,29.0,2.592,48.0,48.0,,,
2015-12-01,1.439,29.0,29.0,2.573,48.0,48.0,,,
2016-01-01,1.286,23.0,23.0,1.336,26.0,26.0,,,
2016-02-01,1.006,18.0,18.0,1.127,23.0,23.0,,,
2016-03-01,4.461,88.0,88.0,1.217,25.0,25.0,,,
2016-04-01,5.174,105.0,105.0,1.624,32.0,32.0,,,
2016-05-01,2.049,41.0,41.0,1.795,36.0,36.0,,,
2016-06-01,1.559,29.0,29.0,2.735,54.0,54.0,,,
2016-07-01,1.945,41.0,41.0,3.21,64.0,64.0,,,
2016-08-01,0.938,18.0,18.0,3.186,64.0,64.0,,,
2016-09-01,1.887,35.0,35.0,2.586,51.0,51.0,,,
2016-10-01,1.941,41.0,41.0,1.81,36.0,36.0,,,
2016-11-01,2.617,53.0,53.0,1.05,21.0,21.0,,,
2016-12-01,1.633,35.0,35.0,0.828,16.0,16.0,,,
2017-01-01,1.617,12.0,12.0,4.263,31.0,31.0,,,
2017-02-01,2.372,59.0,59.0,5.628,139.0,139.0,,,
2017-03-01,3.85,29.0,29.0,2.03,15.0,15.0,,,
2017-04-01,0.0,12.0,12.0,0.0,15.0,15.0,,,
2017-05-01,2.588,47.0,47.0,3.412,62.0,62.0,,,
2017-06-01,2.588,23.0,23.0,3.412,31.0,31.0,,,
2017-07-01,0.0,6.0,6.0,0.0,31.0,31.0,,,
2017-08-01,2.588,35.0,35.0,3.412,46.0,46.0,,,
2017-09-01,2.176,35.0,35.0,3.824,62.0,62.0,,,
2017-10-01,6.035,47.0,47.0,5.965,46.0,46.0,,,
2017-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-12-01,2.588,23.0,23.0,3.412,31.0,31.0,,,
2018-01-01,0.0,23.0,23.0,0.0,15.0,15.0,,,
2018-02-01,2.176,35.0,35.0,3.824,62.0,62.0,,,
2018-03-01,4.169,35.0,35.0,1.831,15.0,15.0,,,
2018-04-01,3.617,23.0,23.0,2.383,15.0,15.0,,,
2018-05-01,2.588,47.0,47.0,3.412,62.0,62.0,,,
2018-06-01,2.588,35.0,35.0,3.412,46.0,46.0,,,
2018-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-08-01,2.176,35.0,35.0,3.824,62.0,62.0,,,
2018-09-01,3.194,35.0,35.0,2.806,31.0,31.0,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-01-01,0.815,12.0,12.0,0.665,12.0,12.0,,,
2019-02-01,0.79,12.0,12.0,0.576,10.0,10.0,,,
2019-03-01,0.714,12.0,12.0,0.663,11.0,11.0,,,
2019-04-01,0.675,12.0,12.0,0.746,13.0,13.0,,,
2019-05-01,0.996,29.0,29.0,0.687,12.0,12.0,,,
2019-06-01,0.704,12.0,12.0,0.944,16.0,16.0,,,
2019-07-01,0.772,12.0,12.0,1.193,22.0,22.0,,,
2019-08-01,0.638,12.0,12.0,1.228,22.0,22.0,,,
2019-09-01,0.772,12.0,12.0,1.088,20.0,20.0,,,
2019-10-01,0.599,12.0,12.0,0.997,17.0,17.0,,,
2019-11-01,0.73,12.0,12.0,0.705,12.0,12.0,,,
2019-12-01,1.361,23.0,23.0,0.942,16.0,16.0,,,
2020-01-01,1.026,29.0,29.0,2.157,59.0,59.0,,,
2020-02-01,0.817,23.0,23.0,2.047,56.0,56.0,,,
2020-03-01,0.754,18.0,18.0,1.628,44.0,44.0,,,
2020-04-01,1.009,29.0,29.0,2.008,54.0,54.0,,,
2020-05-01,0.689,18.0,18.0,2.6,70.0,70.0,,,
2020-06-01,0.872,23.0,23.0,2.782,75.0,75.0,,,
2020-07-01,0.821,23.0,23.0,3.499,95.0,95.0,,,
2020-08-01,0.911,23.0,23.0,3.489,95.0,95.0,,,
2020-09-01,1.094,29.0,29.0,3.069,83.0,83.0,,,
2020-10-01,0.93,23.0,23.0,2.845,77.0,77.0,,,
2020-11-01,1.209,35.0,35.0,2.235,61.0,61.0,,,
2020-12-01,1.106,29.0,29.0,2.403,65.0,65.0,,,
2021-01-01,1.155,18.0,18.0,1.87,30.0,30.0,,,
2021-02-01,1.326,23.0,23.0,1.089,17.0,17.0,,,
2021-03-01,1.22,18.0,18.0,1.542,25.0,25.0,,,
2021-04-01,1.542,23.0,23.0,1.881,30.0,30.0,,,
2021-05-01,1.618,23.0,23.0,2.146,34.0,34.0,,,
2021-06-01,0.965,18.0,18.0,2.464,39.0,39.0,,,
2021-07-01,1.303,23.0,23.0,3.048,49.0,49.0,,,
2021-08-01,0.918,18.0,18.0,2.805,45.0,45.0,,,
2021-09-01,1.277,23.0,23.0,2.353,38.0,38.0,,,
2021-10-01,1.23,18.0,18.0,1.837,30.0,30.0,,,
2021-11-01,1.131,18.0,18.0,1.365,22.0,22.0,,,
2021-12-01,1.273,18.0,18.0,1.642,27.0,27.0,,,
2022-01-01,1.423,29.0,29.0,1.909,39.0,39.0,,,
2022-02-01,1.863,35.0,35.0,1.828,36.0,36.0,,,
2022-03-01,1.793,35.0,35.0,2.001,39.0,39.0,,,
2022-04-01,1.603,29.0,29.0,2.355,46.0,46.0,,,
2022-05-01,1.06,23.0,23.0,2.392,47.0,47.0,,,
2022-06-01,1.993,41.0,41.0,2.84,57.0,57.0,,,
2022-07-01,3.0,59.0,59.0,3.661,72.0,72.0,,,
2022-08-01,1.195,23.0,23.0,3.678,73.0,73.0,,,
2022-09-01,1.459,29.0,29.0,3.439,68.0,68.0,,,
2022-10-01,1.49,29.0,29.0,3.143,62.0,62.0,,,
2022-11-01,2.041,41.0,41.0,2.22,44.0,44.0,,,
2022-12-01,2.094,41.0,41.0,2.52,49.0,49.0,,,
2023-01-01,2.369,76.0,76.0,5.004,148.0,148.0,,,
2023-02-01,2.436,70.0,70.0,4.632,136.0,136.0,,,
2023-03-01,2.474,70.0,70.0,4.727,139.0,139.0,,,
2023-04-01,3.157,94.0,94.0,7.092,209.0,209.0,,,
2023-05-01,4.096,123.0,123.0,6.403,188.0,188.0,,,
2023-06-01,3.713,111.0,111.0,6.914,204.0,204.0,,,
2023-07-01,2.623,76.0,76.0,9.62,283.0,283.0,,,
2023-08-01,2.487,70.0,70.0,10.015,294.0,294.0,,,
2023-09-01,2.863,82.0,82.0,8.648,254.0,254.0,,,
2023-10-01,2.733,82.0,82.0,8.155,240.0,240.0,,,
2023-11-01,2.243,64.0,64.0,6.297,185.0,185.0,,,
2023-12-01,2.848,82.0,82.0,6.451,189.0,189.0,,,
2024-01-01,1.643,35.0,35.0,2.378,46.0,46.0,,,
2024-02-01,0.88,18.0,18.0,2.017,38.0,38.0,,,
2024-03-01,0.952,18.0,18.0,1.988,37.0,37.0,,,
2024-04-01,1.454,29.0,29.0,2.251,42.0,42.0,,,
2024-05-01,1.256,23.0,23.0,2.533,47.0,47.0,,,
2024-06-01,1.91,35.0,35.0,3.39,64.0,64.0,,,
2024-07-01,1.837,35.0,35.0,4.325,81.0,81.0,,,
2024-08-01,1.073,18.0,18.0,4.314,81.0,81.0,,,
2024-09-01,1.646,29.0,29.0,3.594,68.0,68.0,,,
2024-10-01,1.773,35.0,35.0,3.689,70.0,70.0,,,
2024-11-01,1.344,23.0,23.0,2.592,49.0,49.0,,,
2024-12-01,1.281,23.0,23.0,2.88,54.0,54.0,,,
