measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-08-01,90.589,2432.0,2432.0,3464.411,92995.0,92995.0
2007-09-01,144.45600000000002,3628.0,3628.0,4200.544,105491.0,105491.0
2007-10-01,154.096,4191.0,4191.0,4466.904,121499.0,121499.0
2007-11-01,15.287,554.0,554.0,151.713,5497.0,5497.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,87.039,2138.0,2138.0,2769.6110000000003,68025.0,68025.0
2008-03-01,111.352,2706.0,2706.0,5445.778,132332.0,132332.0
2008-04-01,91.5,2218.0,2218.0,5151.35,124848.0,124848.0
2008-05-01,99.986,2426.0,2426.0,5344.624000000001,129652.0,129652.0
2008-06-01,99.864,2426.0,2426.0,5005.246,121568.0,121568.0
2008-07-01,324.65000000000003,8257.0,8257.0,4768.82,121291.0,121291.0
2008-08-01,325.315,8354.0,8354.0,4151.235000000001,106600.0,106600.0
2008-09-01,285.613,8022.0,8022.0,1591.337,44696.0,44696.0
2008-10-01,95.101,2305.0,2305.0,5367.939,130091.0,130091.0
2008-11-01,121.74300000000001,3037.0,3037.0,2566.127,64006.0,64006.0
2008-12-01,16.553,402.0,402.0,819.587,19911.0,19911.0
2009-01-01,26.977,650.0,650.0,2297.143,55344.0,55344.0
2009-02-01,267.197,7251.0,7251.0,1913.363,51926.0,51926.0
2009-03-01,78.571,1913.0,1913.0,3491.9990000000003,85026.0,85026.0
2009-04-01,38.174,926.0,926.0,2033.746,49339.0,49339.0
2009-05-01,35.233000000000004,852.0,852.0,2357.757,56984.0,56984.0
2009-06-01,24.542,592.0,592.0,1845.6180000000002,44534.0,44534.0
2009-07-01,23.529,565.0,565.0,2861.251,68695.0,68695.0
2009-08-01,19.642,470.0,470.0,3433.558,82231.0,82231.0
2009-09-01,30.425,729.0,729.0,3750.635,89830.0,89830.0
2009-10-01,38.147,919.0,919.0,3350.063,80683.0,80683.0
2009-11-01,50.292,1215.0,1215.0,3491.1780000000003,84333.0,84333.0
2009-12-01,26.885,665.0,665.0,704.495,17416.0,17416.0
2010-01-01,-0.533,0.0,0.0,-25.467000000000002,0.0,0.0
2010-02-01,27.68,723.0,723.0,2225.32,58150.0,58150.0
2010-03-01,31.318,859.0,859.0,2294.6820000000002,62929.0,62929.0
2010-04-01,36.427,995.0,995.0,2688.5730000000003,73472.0,73472.0
2010-05-01,21.442,551.0,551.0,4765.558,122391.0,122391.0
2010-06-01,38.141000000000005,1024.0,1024.0,3144.859,84437.0,84437.0
2010-07-01,23.749000000000002,598.0,598.0,4958.251,124921.0,124921.0
2010-08-01,37.063,1025.0,1025.0,1672.9370000000001,46271.0,46271.0
2010-09-01,12.183,318.0,318.0,4389.817,114472.0,114472.0
2010-10-01,1.9180000000000001,48.0,48.0,6175.082,153457.0,153457.0
2010-11-01,26.476000000000003,688.0,688.0,3477.5240000000003,90411.0,90411.0
2010-12-01,107.119,2732.0,2732.0,5413.881,138088.0,138088.0
2011-01-01,85.218,1824.0,1824.0,6143.782,131484.0,131484.0
2011-02-01,79.681,1756.0,1756.0,3490.319,76938.0,76938.0
2011-03-01,118.253,2605.0,2605.0,4989.747,109923.0,109923.0
2011-04-01,12.912,281.0,281.0,5564.088,120872.0,120872.0
2011-05-01,71.249,1574.0,1574.0,2698.751,59614.0,59614.0
2011-06-01,46.159,1000.0,1000.0,4703.841,101865.0,101865.0
2011-07-01,30.36,683.0,683.0,3084.64,69434.0,69434.0
2011-08-01,55.937,1251.0,1251.0,3538.063,79096.0,79096.0
2011-09-01,68.123,1533.0,1533.0,3659.877,82363.0,82363.0
2011-10-01,140.139,3190.0,3190.0,3263.861,74285.0,74285.0
2011-11-01,196.212,4995.0,4995.0,1942.788,49457.0,49457.0
2011-12-01,42.495,1028.0,1028.0,1632.505,39499.0,39499.0
2012-01-01,13.757,315.0,315.0,1576.243,36113.0,36113.0
2012-02-01,33.192,802.0,802.0,1482.808,35816.0,35816.0
2012-03-01,15.691,352.0,352.0,2626.309,58901.0,58901.0
2012-04-01,9.174,204.0,204.0,3005.826,66841.0,66841.0
2012-05-01,3.849,84.0,84.0,3135.151,68128.0,68128.0
2012-06-01,17.294,431.0,431.0,1350.706,33698.0,33698.0
2012-07-01,180.804,4251.0,4251.0,3463.196,81432.0,81432.0
2012-08-01,100.234,2513.0,2513.0,1674.766,41993.0,41993.0
2012-09-01,74.654,1926.0,1926.0,1088.346,28075.0,28075.0
2012-10-01,186.609,4703.0,4703.0,1958.391,49358.0,49358.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,134.835,3706.0,3706.0,5104.165,140278.0,140278.0
2013-03-01,453.314,12580.0,12580.0,4440.686,123231.0,123231.0
2013-04-01,734.174,20250.0,20250.0,5152.826,142126.0,142126.0
2013-05-01,391.512,11745.0,11745.0,2796.488,83894.0,83894.0
2013-06-01,527.888,16244.0,16244.0,2658.112,81792.0,81792.0
2013-07-01,798.296,27031.0,27031.0,2569.704,87012.0,87012.0
2013-08-01,267.869,8114.0,8114.0,2013.131,60980.0,60980.0
2013-09-01,369.125,10926.0,10926.0,2760.875,81723.0,81723.0
2013-10-01,1031.799,32016.0,32016.0,4307.201,133648.0,133648.0
2013-11-01,576.529,18258.0,18258.0,2459.471,77889.0,77889.0
2013-12-01,566.798,7837.0,7837.0,785.202,10856.0,10856.0
2014-01-01,271.697,6720.0,6720.0,2330.303,57634.0,57634.0
2014-02-01,487.021,4172.0,4172.0,2815.979,24122.0,24122.0
2014-03-01,421.393,11503.0,11503.0,2142.607,58486.0,58486.0
2014-04-01,249.567,6342.0,6342.0,2142.433,54447.0,54447.0
2014-05-01,513.43,13440.0,13440.0,2975.57,77888.0,77888.0
2014-06-01,710.657,18279.0,18279.0,3398.343,87412.0,87412.0
2014-07-01,246.074,7271.0,7271.0,1287.926,38053.0,38053.0
2014-08-01,131.099,3735.0,3735.0,965.901,27520.0,27520.0
2014-09-01,38.536,1915.0,1915.0,196.464,9761.0,9761.0
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,102.384,2601.0,2601.0,1357.616,34490.0,34490.0
2014-12-01,0.0,5080.0,5080.0,0.0,772.0,772.0
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0
