measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2004-08-01,48.0,661.3333333333334,661.3333333333334,2090.942,20955.42,20955.42,184.0,3583.0,3583.0,35505.5938,323462.3333333333,323462.3333333333,17071.0,172547.0,172547.0,126846.0825,1454781.5,1454781.5,0.0,0.0,0.0
2004-09-01,4.0,80.25,80.25,2530.299,25358.66,25358.66,0.0,0.0,0.0,32160.69375,233510.66666666666,233510.66666666666,15767.0,167184.0,167184.0,110028.4825,1247349.5,1247349.5,0.0,0.0,0.0
2004-10-01,12.75,135.5,135.5,1543.914,15473.11,15473.11,0.0,0.0,0.0,19328.04175,171455.4,171455.4,14196.0,150190.0,150190.0,111278.0115,1293916.5,1293916.5,0.0,0.0,0.0
2004-11-01,45.25,561.25,561.25,2130.667,21353.54,21353.54,0.0,0.0,0.0,24380.7345,221716.0,221716.0,19726.0,199826.0,199826.0,80370.81,923382.5,923382.5,0.0,0.0,0.0
2004-12-01,98.5,1686.0,1686.0,3484.081,34917.46,34917.46,0.0,0.0,0.0,24381.466800000002,220690.66666666666,220690.66666666666,14970.0,162568.0,162568.0,100543.864,1205963.5,1205963.5,0.0,0.0,0.0
2005-01-01,70.0,618.6999999999999,618.6999999999999,3043.929,30436.25,30436.25,148.0,2847.31,2847.31,29750.848,263847.29400000005,263847.29400000005,11506.0,117464.7,117464.7,122873.359,1379261.915,1379261.915,,,
2005-02-01,28.666666666666668,311.93666666666667,311.93666666666667,2631.773,26315.09,26315.09,0.0,0.0,0.0,21165.48075,199562.016,199562.016,17846.0,187213.18,187213.18,119501.6945,1357952.2,1357952.2,,,
2005-03-01,20.666666666666668,229.42333333333337,229.42333333333337,2882.9970000000003,28827.09,28827.09,0.0,0.0,0.0,18132.469,172259.016,172259.016,19864.0,208179.23,208179.23,134508.9155,1503080.99,1503080.99,,,
2005-04-01,9.0,94.13,94.13,2753.8520000000003,27535.77,27535.77,0.0,0.0,0.0,31106.4685,247858.64400000003,247858.64400000003,17054.0,167945.44,167945.44,137861.199,1514527.63,1514527.63,,,
2005-05-01,1.5,14.7,14.7,2491.1040000000003,24908.54,24908.54,0.0,0.0,0.0,45691.04975,462851.2175,462851.2175,0.0,0.0,0.0,58524.2965,728382.3600000001,728382.3600000001,,,
2005-06-01,86.0,1470.4775000000002,1470.4775000000002,2805.993,28057.12,28057.12,0.0,0.0,0.0,63481.543000000005,630303.228,630303.228,11445.0,114454.08,114454.08,96929.4855,1124234.01,1124234.01,,,
2005-07-01,144.25,2306.9125,2306.9125,3011.887,30115.85,30115.85,1515.0,26367.12,26367.12,75135.18419999999,797486.456,797486.456,10047.0,106421.76,106421.76,110374.7625,1284319.87,1284319.87,,,
2005-08-01,213.25,3839.47,3839.47,2548.433,25481.78,25481.78,2408.0,40317.26,40317.26,58952.748600000006,600234.834,600234.834,13755.0,153563.09,153563.09,125650.30350000001,1428494.38,1428494.38,,,
2005-09-01,81.0,1515.4724999999999,1515.4724999999999,2108.687,21084.77,21084.77,0.0,0.0,0.0,40447.842,428684.246,428684.246,16286.0,155564.28,155564.28,131144.5705,1488984.7,1488984.7,,,
2005-10-01,477.75,7988.3275,7988.3275,1799.731,17995.51,17995.51,1327.0,22542.62,22542.62,18700.9205,187962.4275,187962.4275,16230.0,149359.46,149359.46,111913.395,1243780.83,1243780.83,,,
2005-11-01,80.25,1728.685,1728.685,1926.07,19258.77,19258.77,0.0,0.0,0.0,14941.89975,118747.778,118747.778,18512.0,155619.83,155619.83,98982.115,1110043.705,1110043.705,,,
2005-12-01,132.5,2261.76,2261.76,2357.545,23573.1,23573.1,0.0,0.0,0.0,31963.96625,262094.56600000002,262094.56600000002,21833.0,229792.77,229792.77,134457.90350000001,1511925.115,1511925.115,,,
2006-01-01,33.0,367.3333333333333,367.3333333333333,6125.461,60758.0,60758.0,0.0,0.0,0.0,39551.98,463321.75,463321.75,12175.0,129364.0,129364.0,86579.215,1029931.0,1029931.0,,,
2006-02-01,52.25,1004.25,1004.25,5523.3550000000005,54786.0,54786.0,153.0,3437.0,3437.0,57192.26475,501207.0,501207.0,14882.0,151950.0,151950.0,90995.725,1075465.5,1075465.5,,,
2006-03-01,34.666666666666664,450.5,450.5,4866.154,48267.0,48267.0,0.0,0.0,0.0,9001.6815,80048.8,80048.8,15604.0,164368.0,164368.0,94350.4785,1104944.5,1104944.5,,,
2006-04-01,33.0,357.3333333333333,357.3333333333333,5296.649,52537.0,52537.0,2.0,0.0,0.0,46857.7705,416422.2,416422.2,9196.0,95928.0,95928.0,71486.163,838553.5,838553.5,,,
2006-05-01,135.75,1555.25,1555.25,6262.401000000001,62117.0,62117.0,0.0,0.0,0.0,63207.84125,709077.25,709077.25,11045.0,119588.0,119588.0,94630.37299999999,1120354.5,1120354.5,,,
2006-06-01,59.0,1437.25,1437.25,6153.217000000001,61034.0,61034.0,133.0,3229.0,3229.0,69456.7365,750356.25,750356.25,19745.0,205195.0,205195.0,120691.5665,1399236.0,1399236.0,,,
2006-07-01,134.75,2581.25,2581.25,6452.49,64002.0,64002.0,0.0,0.0,0.0,67093.7672,824100.4,824100.4,5167.0,55076.0,55076.0,70468.9755,864416.0,864416.0,,,
2006-08-01,267.75,5056.75,5056.75,6405.863,63540.0,63540.0,0.0,0.0,0.0,63229.895,687407.6,687407.6,943.0,12780.0,12780.0,64170.188,869279.5,869279.5,,,
2006-09-01,32.0,494.75,494.75,4158.1630000000005,41245.0,41245.0,0.0,0.0,0.0,41843.073,454140.25,454140.25,12096.0,129961.0,129961.0,96947.5865,1104072.0,1104072.0,,,
2006-10-01,33.25,474.25,474.25,3665.715,36360.0,36360.0,0.0,0.0,0.0,44452.872,485147.5,485147.5,12331.0,134549.0,134549.0,105980.581,1244180.5,1244180.5,,,
2006-11-01,91.5,1644.5,1644.5,4293.763,42590.0,42590.0,0.0,0.0,0.0,31797.5995,276331.4,276331.4,15688.0,161533.0,161533.0,96141.5555,1105838.0,1105838.0,,,
2006-12-01,151.25,2686.5,2686.5,4546.769,45099.0,45099.0,104.0,1898.0,1898.0,29326.85375,331536.5,331536.5,15244.0,160411.0,160411.0,107636.0925,1254252.0,1254252.0,,,
2007-01-01,66.284,915.75,915.75,1402.69,13864.0,13864.0,0.0,0.0,0.0,29832.18775,269847.0,269847.0,18755.749,200169.0,200169.0,134236.824,1558657.0,1558657.0,,,
2007-02-01,207.78133333333335,3584.0,3584.0,1005.326,9937.0,9937.0,0.0,0.0,0.0,32129.4626,356528.4,356528.4,6520.372,67747.0,67747.0,112343.9855,1300605.5,1300605.5,,,
2007-03-01,53.15033333333334,753.0,753.0,1699.893,16802.0,16802.0,0.0,0.0,0.0,26161.976000000002,294202.0,294202.0,15782.903,170231.0,170231.0,123375.383,1419461.0,1419461.0,,,
2007-04-01,38.130750000000006,537.75,537.75,2062.184,20383.0,20383.0,0.0,0.0,0.0,30312.079599999997,332650.2,332650.2,13576.353,145298.0,145298.0,110963.86300000001,1268697.0,1268697.0,,,
2007-05-01,115.02633333333334,1232.0,1232.0,2197.741,21722.0,21722.0,0.0,0.0,0.0,26594.534600000003,297872.0,297872.0,18689.212,203889.0,203889.0,127494.018,1423788.5,1423788.5,,,
2007-06-01,315.2986666666667,4811.5,4811.5,1204.035,11901.0,11901.0,0.0,0.0,0.0,33422.0728,378986.6,378986.6,17078.051,185896.0,185896.0,115838.3445,1341373.0,1341373.0,,,
2007-07-01,139.64900000000003,2458.0,2458.0,1139.914,11267.0,11267.0,0.0,0.0,0.0,48096.7702,535548.6,535548.6,12766.349,148147.0,148147.0,100048.926,1188285.5,1188285.5,,,
2007-08-01,655.2900000000001,9093.5,9093.5,550.941,5446.0,5446.0,0.0,0.0,0.0,60500.5196,673973.2,673973.2,15190.275000000001,174550.0,174550.0,105650.129,1234731.0,1234731.0,,,
2007-09-01,154.7226666666667,1926.0,1926.0,326.466,3227.0,3227.0,0.0,0.0,0.0,46027.69179999999,503073.2,503073.2,11265.782,124362.0,124362.0,100514.79550000001,1153800.5,1153800.5,,,
2007-10-01,144.92966666666666,2018.25,2018.25,1214.632,12005.0,12005.0,0.0,0.0,0.0,47393.0354,520340.4,520340.4,12434.695,137281.0,137281.0,107493.67,1222646.5,1222646.5,,,
2007-11-01,41.166333333333334,505.75,505.75,1872.996,18513.0,18513.0,0.0,0.0,0.0,36761.55025,318248.6,318248.6,15634.567,170730.0,170730.0,111441.8665,1289889.0,1289889.0,,,
2007-12-01,111.699,1226.0,1226.0,2001.1840000000002,19780.0,19780.0,0.0,0.0,0.0,25606.8135,231789.6,231789.6,6135.509,65175.0,65175.0,113341.5695,1333630.5,1333630.5,,,
2008-01-01,131.17966666666666,2592.0,2592.0,3113.598,30681.0,30681.0,10.021,197.0,197.0,20597.5514,229775.4,229775.4,14037.515,151855.0,151855.0,122211.584,1444037.5,1444037.5,,,
2008-02-01,94.803,1421.25,1421.25,3107.563,30622.0,30622.0,177.49,3158.0,3158.0,17333.778,205692.0,205692.0,15589.76,168117.0,168117.0,127958.3235,1510659.5,1510659.5,,,
2008-03-01,35.32633333333334,321.0,321.0,3392.569,33430.0,33430.0,0.0,0.0,0.0,26616.741,304407.25,304407.25,11382.955,122538.0,122538.0,114257.55099999999,1349968.5,1349968.5,,,
2008-04-01,69.26666666666667,595.25,595.25,2900.705,28584.0,28584.0,0.0,0.0,0.0,18237.4222,214368.0,214368.0,4668.685,52218.0,52218.0,74303.7015,888113.0,888113.0,,,
2008-05-01,233.1185,2919.0,2919.0,2579.224,25416.0,25416.0,0.0,0.0,0.0,27453.995600000002,336920.0,336920.0,7819.193,88855.0,88855.0,69379.67749999999,839968.0,839968.0,,,
2008-06-01,283.97833333333335,5101.666666666667,5101.666666666667,2283.905,22506.0,22506.0,0.0,0.0,0.0,30176.606833333335,351047.5,351047.5,9775.943000000001,111900.0,111900.0,87293.74,1045489.0,1045489.0,,,
2008-07-01,268.80733333333336,2249.75,2249.75,2295.141,22616.0,22616.0,0.0,0.0,0.0,43966.02216666666,495878.5,495878.5,11072.374,124556.0,124556.0,105465.0355,1225722.0,1225722.0,,,
2008-08-01,18.265,163.66666666666666,163.66666666666666,2988.244,29446.0,29446.0,0.0,0.0,0.0,43334.413166666665,492407.6666666667,492407.6666666667,18446.915,205296.0,205296.0,109166.0375,1243386.5,1243386.5,,,
2008-09-01,52.35166666666667,780.3333333333334,780.3333333333334,1308.227,12891.0,12891.0,0.0,0.0,0.0,38795.505833333336,430033.6666666667,430033.6666666667,15911.992,178065.0,178065.0,71450.459,840025.0,840025.0,,,
2008-10-01,52.027750000000005,680.5,680.5,1936.766,19085.0,19085.0,0.0,0.0,0.0,12110.8796,125312.0,125312.0,15392.391,172329.0,172329.0,68689.5495,836001.5,836001.5,,,
2008-11-01,39.822,290.0,290.0,2824.234,27830.0,27830.0,0.0,0.0,0.0,48029.918,429749.4,429749.4,15588.32,164854.0,164854.0,74258.682,872790.0,872790.0,,,
2008-12-01,-737.3333333333334,1520.6666666666667,1520.6666666666667,3325.824,32773.0,32773.0,0.0,0.0,0.0,42343.4395,489155.25,489155.25,0.0,0.0,0.0,29497.121,470388.5,470388.5,,,
2009-01-01,-176.63966666666667,78.5,78.5,3113.916,30392.0,30392.0,0.0,0.0,0.0,21785.9742,259331.6,259331.6,-543.25,0.0,0.0,30668.649,470323.0,470323.0,,,
2009-02-01,-110.347,294.3333333333333,294.3333333333333,2512.748,24524.0,24524.0,0.0,0.0,0.0,25310.7054,290929.6,290929.6,-399.0,0.0,0.0,16684.257,286367.5,286367.5,,,
2009-03-01,-64.017,325.6666666666667,325.6666666666667,4357.296,42527.0,42527.0,0.0,0.0,0.0,18739.517666666667,207639.5,207639.5,-239.5,0.0,0.0,22603.7225,360558.0,360558.0,,,
2009-04-01,0.0,17.5,17.5,3906.3920000000003,38126.0,38126.0,0.0,0.0,0.0,28655.1865,321786.5,321786.5,0.0,0.0,0.0,27957.627,380384.0,380384.0,,,
2009-05-01,0.0,28.0,28.0,3103.289,30288.0,30288.0,11.595,264.0,264.0,27672.47825,305158.625,305158.625,0.0,0.0,0.0,29137.2895,385639.5,385639.5,,,
2009-06-01,181.77550000000002,1506.6666666666667,1506.6666666666667,3013.951,29416.0,29416.0,0.0,0.0,0.0,31229.564875,399463.5714285714,399463.5714285714,0.0,0.0,0.0,26040.965,324978.5,324978.5,,,
2009-07-01,0.0,57.5,57.5,4107.589,40090.0,40090.0,0.0,0.0,0.0,39741.525,440949.5714285714,440949.5714285714,0.0,0.0,0.0,26330.6625,358872.5,358872.5,,,
2009-08-01,15.6515,399.25,399.25,3249.978,31720.0,31720.0,0.0,0.0,0.0,32327.935375,356163.5,356163.5,0.0,0.0,0.0,28177.4555,373687.0,373687.0,,,
2009-09-01,0.7756666666666666,21.333333333333332,21.333333333333332,1105.424,10789.0,10789.0,0.0,0.0,0.0,45280.304000000004,560564.4,560564.4,0.0,0.0,0.0,33211.4245,418132.0,418132.0,,,
2009-10-01,34.725500000000004,289.3333333333333,289.3333333333333,2981.435,29099.0,29099.0,0.0,0.0,0.0,28869.503857142856,327231.85714285716,327231.85714285716,0.0,0.0,0.0,30401.011,417305.0,417305.0,,,
2009-11-01,0.0,54.5,54.5,3864.4060000000004,37717.0,37717.0,0.0,0.0,0.0,35623.57883333333,342012.85714285716,342012.85714285716,0.0,0.0,0.0,5584.7635,150705.0,150705.0,,,
2009-12-01,0.0,20.0,20.0,3988.576,38929.0,38929.0,360.137,12094.0,12094.0,20929.695571428572,213096.57142857142,213096.57142857142,0.0,0.0,0.0,11065.497,213066.0,213066.0,,,
2010-01-01,0.0,3.0,3.0,2249.578,21947.0,21947.0,41.573,922.0,922.0,39495.55628571428,392539.0,392539.0,0.0,0.0,0.0,38052.7665,543197.5,543197.5,,,
2010-02-01,24.18225,348.6666666666667,348.6666666666667,2012.0410000000002,19629.0,19629.0,0.0,0.0,0.0,30724.50733333333,301834.6666666667,301834.6666666667,0.0,0.0,0.0,36871.1135,500532.0,500532.0,,,
2010-03-01,0.0,0.0,0.0,2742.106,26752.0,26752.0,0.0,0.0,0.0,28803.21933333333,296286.1666666667,296286.1666666667,0.0,0.0,0.0,34088.842,444349.5,444349.5,,,
2010-04-01,0.0,31.5,31.5,2915.304,28442.0,28442.0,0.0,0.0,0.0,38691.76216666667,415807.6666666667,415807.6666666667,0.0,0.0,0.0,33682.7135,398350.0,398350.0,,,
2010-05-01,64.146,487.3333333333333,487.3333333333333,2260.819,22057.0,22057.0,0.0,0.0,0.0,47480.98816666667,468729.1666666667,468729.1666666667,0.0,0.0,0.0,31260.8895,386005.0,386005.0,,,
2010-06-01,28.793000000000003,409.0,409.0,1503.836,14671.0,14671.0,0.0,0.0,0.0,25187.139,254160.7142857143,254160.7142857143,0.0,0.0,0.0,38017.7205,488442.0,488442.0,,,
2010-07-01,31.776500000000002,590.0,590.0,1028.17,10031.0,10031.0,0.0,0.0,0.0,62856.56628571428,610062.7142857143,610062.7142857143,0.0,0.0,0.0,37543.741500000004,479954.5,479954.5,,,
2010-08-01,0.0,0.0,0.0,1012.048,9874.0,9874.0,0.0,0.0,0.0,67955.68357142857,663973.2857142857,663973.2857142857,0.0,0.0,0.0,36550.6075,461650.5,461650.5,,,
2010-09-01,99.074,735.3333333333334,735.3333333333334,513.3820000000001,5009.0,5009.0,0.0,0.0,0.0,26857.51242857143,284368.71428571426,284368.71428571426,0.0,0.0,0.0,35164.6325,416633.5,416633.5,,,
2010-10-01,130.2345,1447.5,1447.5,2519.0640000000003,24576.0,24576.0,0.0,0.0,0.0,38113.69328571429,369435.71428571426,369435.71428571426,0.0,0.0,0.0,32974.1045,402609.0,402609.0,,,
2010-11-01,81.019,661.6666666666666,661.6666666666666,2580.001,25170.0,25170.0,0.0,0.0,0.0,23567.85157142857,222715.85714285713,222715.85714285713,0.0,0.0,0.0,30824.5005,393987.5,393987.5,,,
2010-12-01,177.88625000000002,1976.75,1976.75,2431.6510000000003,23723.0,23723.0,129.012,5002.0,5002.0,22774.165,223948.57142857142,223948.57142857142,0.0,0.0,0.0,31054.144,434263.0,434263.0,,,
2011-01-01,448.1655,3482.3333333333335,3482.3333333333335,2461.869,23920.0,23920.0,0.0,0.0,0.0,26719.496333333333,265125.6666666667,265125.6666666667,0.0,0.0,0.0,34158.8455,480513.5,480513.5,,,
2011-02-01,42.7795,366.3333333333333,366.3333333333333,1784.801,17341.0,17341.0,0.0,0.0,0.0,30641.4825,321509.3333333333,321509.3333333333,0.0,0.0,0.0,37834.7725,496864.0,496864.0,,,
2011-03-01,553.5965,4388.0,4388.0,3388.9,32927.0,32927.0,0.0,0.0,0.0,21833.936833333333,240344.0,240344.0,0.0,0.0,0.0,40419.5945,506581.0,506581.0,,,
2011-04-01,0.0,160.5,160.5,3340.632,32458.0,32458.0,0.0,0.0,0.0,18339.456000000002,206556.16666666666,206556.16666666666,0.0,0.0,0.0,24452.132,330736.0,330736.0,,,
2011-05-01,0.0,8.5,8.5,3848.058,37388.0,37388.0,0.0,0.0,0.0,28974.067,327378.3333333333,327378.3333333333,0.0,0.0,0.0,38501.799,454780.0,454780.0,,,
2011-06-01,89.31666666666666,1648.3333333333333,1648.3333333333333,3020.375,29346.0,29346.0,0.0,0.0,0.0,37666.396857142856,396724.28571428574,396724.28571428574,,,,74681.277,878558.0,878558.0,,,
2011-07-01,434.6453333333334,6005.0,6005.0,1328.08,12904.0,12904.0,0.0,0.0,0.0,75217.205,728604.8571428572,728604.8571428572,,,,76732.625,936881.0,936881.0,,,
2011-08-01,18.5,480.0,480.0,1239.416,12042.0,12042.0,0.0,0.0,0.0,58284.589571428565,583599.8571428572,583599.8571428572,,,,73500.873,866410.0,866410.0,,,
2011-09-01,495.31033333333335,4606.75,4606.75,2163.355,21019.0,21019.0,0.0,0.0,0.0,39270.043,410274.3333333333,410274.3333333333,,,,62992.812,765158.0,765158.0,,,
