measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Electricity used for energy storage-Energy Storage, Battery Generation","Electricity used for energy storage-Energy Storage, Battery Quantity Consumed For Electricity","Electricity used for energy storage-Energy Storage, Battery Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2006-05-01,16.30376,88.89,203.0,,,,,,,1704.57624,9294.07,21223.87,,,
2006-06-01,11.38068,62.05,133.4,,,,,,,1648.73932,8989.62,19325.89,,,
2006-07-01,11.51951,62.81,139.2,,,,,,,1717.20049,9362.9,20750.38,,,
2006-08-01,13.039069999999999,71.09,156.6,,,,,,,1623.56093,8852.34,19499.06,,,
2006-09-01,0.0,0.0,0.0,,,,,,,170.52,929.75,2425.22,,,
2006-10-01,0.0,0.0,0.0,,,,,,,136.22,742.73,1950.49,,,
2006-11-01,0.0,0.0,0.0,,,,,,,181.3,988.52,2555.18,,,
2006-12-01,0.8183,4.46,11.6,,,,,,,163.82170000000002,893.22,2322.3,,,
2007-01-01,0.0,0.0,0.0,,,,,,,192.08,1048.0,2697.0,,,
2007-02-01,0.0,0.0,0.0,,,,,,,182.28,993.0,2581.0,,,
2007-03-01,0.0,0.0,0.0,,,,,,,194.04,1058.0,2739.0,,,
2007-04-01,10.001000000000001,52.0,128.0,,,,,,,439.819,2398.0,5611.0,,,
2007-05-01,9.475,52.0,122.0,,,,,,,1664.365,9075.0,21395.0,,,
2007-06-01,8.478,46.0,104.0,,,,,,,1564.422,8529.0,19264.0,,,
2007-07-01,8.478,46.0,104.0,,,,,,,1564.422,8529.0,19264.0,,,
2007-08-01,12.269,70.0,157.0,,,,,,,1698.8110000000001,9263.0,21683.0,,,
2007-09-01,8.859,46.0,110.0,,,,,,,1637.5410000000002,8928.0,20371.0,,,
2007-10-01,10.167,58.0,128.0,,,,,,,1543.133,8414.0,19367.0,,,
2007-11-01,13.6,75.0,162.0,,,,,,,1261.38,6877.0,15062.0,,,
2007-12-01,19.825,110.0,232.0,,,,,,,1817.675,9910.0,21271.0,,,
2008-01-01,13.243,72.0,151.0,,,,,,,1701.4850000000001,9298.0,19987.0,,,
2008-02-01,19.157,105.0,226.0,,,,,,,1425.6850000000002,7791.0,16747.0,,,
2008-03-01,47.852000000000004,261.0,563.0,,,,,,,1338.0,7311.0,15717.0,,,
2008-04-01,33.559000000000005,183.0,394.0,,,,,,,1522.09,8317.0,17880.0,,,
2008-05-01,15.966000000000001,87.0,186.0,,,,,,,1209.829,6611.0,14211.0,,,
2008-06-01,10.964,60.0,128.0,,,,,,,1324.1660000000002,7236.0,15555.0,,,
2008-07-01,10.286000000000001,56.0,122.0,,,,,,,1734.405,9478.0,20374.0,,,
2008-08-01,9.773,53.0,116.0,,,,,,,2029.067,11088.0,23835.0,,,
2008-09-01,32.423,177.0,383.0,,,,,,,1827.5430000000001,9987.0,21468.0,,,
2008-10-01,18.549,101.0,220.0,,,,,,,1703.7540000000001,9310.0,20014.0,,,
2008-11-01,9.844000000000001,54.0,116.0,,,,,,,1483.756,8108.0,17429.0,,,
2008-12-01,100.801,551.0,1183.0,,,,,,,1659.803,9070.0,19498.0,,,
2009-01-01,13.651,74.0,159.0,,,,,,,1237.1580000000001,6738.0,14615.0,,,
2009-02-01,13.38,73.0,159.0,,,,,,,1138.328,6199.0,13448.0,,,
2009-03-01,33.934000000000005,185.0,400.0,,,,,,,1059.209,5768.0,12514.0,,,
2009-04-01,20.949,114.0,247.0,,,,,,,909.8810000000001,4955.0,10750.0,,,
2009-05-01,6.96,38.0,82.0,,,,,,,924.416,5034.0,10921.0,,,
2009-06-01,14.88,81.0,175.0,,,,,,,856.767,4666.0,10122.0,,,
2009-07-01,6.36,35.0,77.0,,,,,,,1567.7160000000001,8538.0,18522.0,,,
2009-08-01,17.116,93.0,203.0,,,,,,,1607.568,8755.0,18993.0,,,
2009-09-01,13.334000000000001,73.0,159.0,,,,,,,1684.6080000000002,9174.0,19903.0,,,
2009-10-01,7.878,43.0,93.0,,,,,,,1317.3390000000002,7174.0,15563.0,,,
2009-11-01,7.322,40.0,88.0,,,,,,,1203.0140000000001,6552.0,14213.0,,,
2009-12-01,9.366,51.0,110.0,,,,,,,1380.866,7520.0,16313.0,,,
2010-01-01,12.57,68.0,168.0,,,,,,,1565.459,8526.0,20284.0,,,
2010-02-01,14.966000000000001,82.0,191.0,,,,,,,1445.2820000000002,7872.0,18728.0,,,
2010-03-01,13.234,72.0,174.0,,,,,,,1539.1190000000001,8383.0,19944.0,,,
2010-04-01,11.361,62.0,145.0,,,,,,,1296.4080000000001,7061.0,16798.0,,,
2010-05-01,10.371,56.0,133.0,,,,,,,944.2570000000001,5143.0,12236.0,,,
2010-06-01,24.893,136.0,325.0,,,,,,,881.432,4801.0,11421.0,,,
2010-07-01,13.874,76.0,180.0,,,,,,,1455.133,7925.0,18855.0,,,
2010-08-01,10.719000000000001,58.0,139.0,,,,,,,1717.5980000000002,9355.0,22256.0,,,
2010-09-01,15.208,83.0,197.0,,,,,,,1591.604,8669.0,20624.0,,,
2010-10-01,22.447000000000003,122.0,290.0,,,,,,,1786.8210000000001,9732.0,23153.0,,,
2010-11-01,13.078000000000001,71.0,168.0,,,,,,,1504.674,8195.0,19497.0,,,
2010-12-01,19.905,108.0,255.0,,,,,,,1409.587,7677.0,18265.0,,,
2011-01-01,12.348,68.0,139.0,,,,,,,1484.523,8159.0,17134.0,,,
2011-02-01,12.114,67.0,139.0,,,,,,,1463.862,8046.0,16895.0,,,
2011-03-01,13.433,74.0,157.0,,,,,,,1164.402,6400.0,13440.0,,,
2011-04-01,9.414,52.0,110.0,,,,,,,992.148,5453.0,11451.0,,,
2011-05-01,10.225,56.0,116.0,,,,,,,885.223,4865.0,10217.0,,,
2011-06-01,10.533,58.0,122.0,,,,,,,985.14,5415.0,11370.0,,,
2011-07-01,17.602,97.0,203.0,,,,,,,1579.418,8681.0,18229.0,,,
2011-08-01,19.118,105.0,220.0,,,,,,,1939.145,10658.0,22381.0,,,
2011-09-01,28.67,158.0,331.0,,,,,,,1968.534,10820.0,22720.0,,,
2011-10-01,10.828,60.0,128.0,,,,,,,1576.616,8666.0,18197.0,,,
2011-11-01,11.203,62.0,128.0,,,,,,,1554.346,8543.0,17940.0,,,
2011-12-01,10.848,60.0,128.0,,,,,,,2022.307,11115.0,23341.0,,,
2012-01-01,9.832,53.0,116.0,,,,,,,1141.792,6210.0,13018.0,,,
2012-02-01,17.269,94.0,197.0,,,,,,,1141.703,6210.0,13017.0,,,
2012-03-01,11.357,62.0,128.0,,,,,,,1085.897,5906.0,12380.0,,,
2012-04-01,25.092,136.0,284.0,,,,,,,1006.111,5472.0,11470.0,,,
2012-05-01,11.719,64.0,133.0,,,,,,,999.088,5434.0,11390.0,,,
2012-06-01,20.669,112.0,238.0,,,,,,,1057.704,5753.0,12058.0,,,
2012-07-01,11.94,65.0,133.0,,,,,,,1250.929,6804.0,14262.0,,,
2012-08-01,15.955,87.0,180.0,,,,,,,1647.195,8959.0,18779.0,,,
2012-09-01,14.84,81.0,168.0,,,,,,,1496.381,8139.0,17060.0,,,
2012-10-01,20.388,111.0,232.0,,,,,,,1384.661,7531.0,15786.0,,,
2012-11-01,12.064,66.0,139.0,,,,,,,1195.542,6503.0,13630.0,,,
2012-12-01,13.037,71.0,151.0,,,,,,,1127.835,6135.0,12859.0,,,
2013-01-01,9.673,53.0,116.0,,,,,,,853.495,4653.0,10375.0,,,
2013-02-01,9.097,50.0,110.0,,,,,,,786.206,4286.0,9557.0,,,
2013-03-01,10.048,55.0,122.0,,,,,,,758.247,4134.0,9217.0,,,
2013-04-01,16.603,91.0,203.0,,,,,,,652.476,3557.0,7931.0,,,
2013-05-01,26.584,145.0,325.0,,,,,,,689.065,3756.0,8376.0,,,
2013-06-01,9.749,53.0,116.0,,,,,,,815.213,4444.0,9910.0,,,
2013-07-01,13.131,72.0,162.0,,,,,,,1034.413,5639.0,12574.0,,,
2015-07-01,,,,,,,2485.811,29985.0,31957.0,,,,,,
2015-08-01,,,,,,,2622.072,31628.0,33709.0,,,,,,
2015-09-01,,,,,,,2603.956,31410.0,33476.0,,,,,,
2015-10-01,,,,,,,2508.388,30257.0,32248.0,,,,,,
2015-11-01,,,,,,,1849.493,22309.0,23777.0,,,,,,
2015-12-01,,,,,,,1978.28,23863.0,25433.0,,,,,,
2016-01-01,,,,,,,2168.918,13635.0,35526.0,,,,,,
2016-02-01,,,,,,,1721.31,10821.0,28194.0,,,,,,
2016-03-01,,,,,,,1338.717,8416.0,21928.0,,,,,,
2016-04-01,,,,,,,1280.25,8048.0,20970.0,,,,,,
2016-05-01,,,,,,,1381.962,8688.0,22636.0,,,,,,
2016-06-01,,,,,,,2102.419,13217.0,34437.0,,,,,,
2016-07-01,,,,,,,2479.836,15590.0,40619.0,,,,,,
2016-08-01,,,,,,,2742.789,17243.0,44926.0,,,,,,
2016-09-01,,,,,,,2270.602,14274.0,37191.0,,,,,,
2016-10-01,,,,,,,2239.783,14081.0,36687.0,,,,,,
2016-11-01,,,,,,,1722.202,10827.0,28209.0,,,,,,
2016-12-01,,,,,,,1950.212,12260.0,31943.0,,,,,,
2017-01-01,,,,,,,2802.238,17662.0,32859.0,,,,,,
2017-02-01,,,,,,,2138.891,13481.0,25081.0,,,,,,
2017-03-01,,,,,,,1771.291,11164.0,20770.0,,,,,,
2017-04-01,,,,,,,1582.299,9973.0,18554.0,,,,,,
2017-05-01,,,,,,,1962.991,12373.0,23018.0,,,,,,
2017-06-01,,,,,,,2582.61,16278.0,30283.0,,,,,,
2017-07-01,,,,,,,3521.832,22198.0,41297.0,,,,,,
2017-08-01,,,,,,,3975.657,25058.0,46618.0,,,,,,
2017-09-01,,,,,,,3271.224,20618.0,38358.0,,,,,,
2017-10-01,,,,,,,3098.069,19527.0,36327.0,,,,,,
2017-11-01,,,,,,,2692.461,16970.0,31571.0,,,,,,
2017-12-01,,,,,,,2854.437,17991.0,33471.0,,,,,,
2018-01-01,,,,,,,2516.827,16256.0,27048.0,,,,,,
2018-02-01,,,,,,,2209.831,14273.0,23747.0,,,,,,
2018-03-01,,,,,,,2298.304,14845.0,24698.0,,,,,,
2018-04-01,,,,,,,1729.667,11172.0,18587.0,,,,,,
2018-05-01,,,,,,,1578.941,10198.0,16967.0,,,,,,
2018-06-01,,,,,,,2159.925,13951.0,23211.0,,,,,,
2018-07-01,,,,,,,3769.058,24344.0,40503.0,,,,,,
2018-08-01,,,,,,,3486.715,22521.0,37469.0,,,,,,
2018-09-01,,,,,,,2806.114,18125.0,30155.0,,,,,,
2018-10-01,,,,,,,3136.596,20259.0,33706.0,,,,,,
2018-11-01,,,,,,,2803.995,18111.0,30132.0,,,,,,
2018-12-01,,,,,,,2825.027,18247.0,30358.0,,,,,,
2019-01-01,,,,,,,2906.567,18702.0,31277.0,,,,,,
2019-02-01,,,,,,,2695.003,17341.0,28999.0,,,,,,
2019-03-01,,,,,,,2350.173,15122.0,25289.0,,,,,,
2019-04-01,,,,,,,1649.111,10611.0,17746.0,,,,,,
2019-05-01,,,,,,,1421.062,9144.0,15291.0,,,,,,
2019-06-01,,,,,,,1900.214,12227.0,20448.0,,,,,,
2019-07-01,,,,,,,2995.506,19274.0,32233.0,,,,,,
2019-08-01,,,,,,,3518.58,22640.0,37861.0,,,,,,
2019-09-01,,,,,,,3096.09,19921.0,33316.0,,,,,,
2019-10-01,,,,,,,3171.064,20404.0,34122.0,,,,,,
2019-11-01,,,,,,,3109.987,20011.0,33465.0,,,,,,
2019-12-01,,,,,,,3225.643,20755.0,34710.0,,,,,,
2020-01-01,,,,,,,2355.457,15178.0,26289.0,,,,,,
2020-02-01,,,,,,,2080.093,13404.0,23215.0,,,,,,
2020-03-01,,,,,,,2309.043,14879.0,25770.0,,,,,,
2020-04-01,,,,,,,1632.956,10523.0,18225.0,,,,,,
2020-05-01,,,,,,,1535.421,9894.0,17136.0,,,,,,
2020-06-01,,,,,,,2159.893,13918.0,24105.0,,,,,,
2020-07-01,,,,,,,3021.462,19470.0,33722.0,,,,,,
2020-08-01,,,,,,,3757.398,24212.0,41934.0,,,,,,
2020-09-01,,,,,,,3272.109,21085.0,36518.0,,,,,,
2020-10-01,,,,,,,3398.167,21897.0,37925.0,,,,,,
2020-11-01,,,,,,,2714.335,17491.0,30293.0,,,,,,
2020-12-01,,,,,,,3008.666,19387.0,33578.0,,,,,,
2021-01-01,,,,,,,2283.319,14704.0,27019.0,,,,,,
2021-02-01,,,,,,,1936.326,12469.0,22912.0,,,,,,
2021-03-01,,,,,,,2081.924,13407.0,24634.0,,,,,,
2021-04-01,,,,,,,1847.362,11896.0,21860.0,,,,,,
2021-05-01,,,,,,,1930.731,12433.0,22846.0,,,,,,
2021-06-01,,,,,,,2640.165,17002.0,31241.0,,,,,,
2021-07-01,,,,,,,3643.378,23462.0,43111.0,,,,,,
2021-08-01,,,,,,,3326.526,21422.0,39362.0,,,,,,
2021-09-01,,,,,,,2830.482,18227.0,33492.0,,,,,,
2021-10-01,,,,,,,2698.319,17376.0,31928.0,,,,,,
2021-11-01,,,,,,,2479.888,15970.0,29344.0,,,,,,
2021-12-01,,,,,,,2559.58,16483.0,30286.0,,,,,,
2022-01-01,,,,,,,2505.464,16094.0,27558.0,,,,,,
2022-02-01,,,,,,,2080.202,13362.0,22882.0,,,,,,
2022-03-01,,,,,,,1924.739,12363.0,21172.0,,,,,,
2022-04-01,,,,,,,1971.577,12664.0,21687.0,,,,,,
2022-05-01,,,,,,,1809.257,11622.0,19901.0,,,,,,
2022-06-01,,,,,,,2460.71,15806.0,27068.0,,,,,,
2022-07-01,,,,,,,3287.261,21115.0,36160.0,,,,,,
2022-08-01,,,,,,,3966.518,25479.0,43632.0,,,,,,
2022-09-01,,,,,,,3635.303,23351.0,39988.0,,,,,,
2022-10-01,,,,,,,3338.467,21444.0,36723.0,,,,,,
2022-11-01,,,,,,,3065.807,19693.0,33724.0,,,,,,
2022-12-01,,,,,,,3388.695,21767.0,37276.0,,,,,,
2023-01-01,,,,0.0,0.0,0.0,2962.654,19036.0,33489.0,,,,152.0,519.0,519.0
2023-02-01,,,,0.0,0.0,0.0,2523.606,16215.0,28527.0,,,,191.0,652.0,652.0
2023-03-01,,,,0.0,0.0,0.0,2425.509,15584.0,27417.0,,,,246.0,839.0,839.0
2023-04-01,,,,0.0,0.0,0.0,1894.829,12175.0,21419.0,,,,369.0,1259.0,1259.0
2023-05-01,,,,0.0,0.0,0.0,1227.271,7885.0,13873.0,,,,345.0,1177.0,1177.0
2023-06-01,,,,0.0,0.0,0.0,1614.52,10374.0,18251.0,,,,371.0,1266.0,1266.0
2023-07-01,,,,0.0,0.0,0.0,3737.298,24013.0,42246.0,,,,442.0,1508.0,1508.0
2023-08-01,,,,0.0,0.0,0.0,3771.008,24230.0,42627.0,,,,342.0,1167.0,1167.0
2023-09-01,,,,0.0,0.0,0.0,2669.224,17150.0,30172.0,,,,271.0,925.0,925.0
2023-10-01,,,,0.0,0.0,0.0,3259.618,20944.0,36846.0,,,,272.0,928.0,928.0
2023-11-01,,,,0.0,0.0,0.0,3062.046,19674.0,34613.0,,,,187.0,638.0,638.0
2023-12-01,,,,0.0,0.0,0.0,3447.417,22150.0,38969.0,,,,130.0,444.0,444.0
2024-01-01,,,,-1.0,0.0,0.0,3673.924,23634.0,41578.0,,,,137.0,467.0,467.0
2024-02-01,,,,-2.0,0.0,0.0,2492.091,16032.0,28205.0,,,,163.0,556.0,556.0
2024-03-01,,,,-3.0,0.0,0.0,1783.763,11475.0,20189.0,,,,266.0,908.0,908.0
2024-04-01,,,,-1.0,0.0,0.0,1518.448,9768.0,17186.0,,,,254.0,867.0,867.0
2024-05-01,,,,-2.0,0.0,0.0,1366.24,8789.0,15463.0,,,,384.0,1310.0,1310.0
2024-06-01,,,,-1.0,0.0,0.0,2101.917,13522.0,23789.0,,,,317.0,1082.0,1082.0
2024-07-01,,,,-2.0,0.0,0.0,4038.224,25978.0,45705.0,,,,244.0,833.0,833.0
2024-08-01,,,,0.0,0.0,0.0,3507.622,22565.0,39699.0,,,,410.0,1399.0,1399.0
2024-09-01,,,,-2.0,0.0,0.0,3089.565,19875.0,34968.0,,,,241.0,822.0,822.0
2024-10-01,,,,-3.0,0.0,0.0,3236.931,20823.0,36636.0,,,,234.0,798.0,798.0
2024-11-01,,,,-2.0,0.0,0.0,2606.581,16768.0,29501.0,,,,151.0,515.0,515.0
2024-12-01,,,,-2.0,0.0,0.0,2860.694,18403.0,32378.0,,,,112.0,382.0,382.0
