measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-12-01,,,,5793.0,63671.0,63671.0
2011-01-01,,,,-194.0,0.0,0.0
2011-02-01,,,,705.0,9174.0,9174.0
2011-03-01,,,,5104.0,60017.0,60017.0
2011-04-01,,,,3520.0,34296.0,34296.0
2011-05-01,,,,123.0,4052.0,4052.0
2011-06-01,,,,66967.0,724495.0,724495.0
2011-07-01,,,,112420.0,1185034.0,1185034.0
2011-08-01,,,,65950.0,679137.0,679137.0
2011-09-01,,,,-174.0,0.0,0.0
2011-10-01,,,,1119.0,13968.0,13968.0
2011-11-01,,,,-164.0,0.0,0.0
2011-12-01,,,,4190.0,48517.0,48517.0
2012-01-01,,,,-208.0,0.0,0.0
2012-02-01,,,,-217.0,0.0,0.0
2012-03-01,,,,-183.0,0.0,0.0
2012-04-01,,,,-160.0,0.0,0.0
2012-05-01,,,,-167.0,0.0,0.0
2012-06-01,,,,12566.0,149552.0,149552.0
2012-07-01,,,,62323.0,687546.0,687546.0
2012-08-01,,,,82587.0,870228.0,870228.0
2012-09-01,,,,3651.0,42579.0,42579.0
2012-10-01,,,,172.0,3300.0,3300.0
2012-11-01,,,,-137.0,0.0,0.0
2012-12-01,,,,2497.0,28315.0,28315.0
2013-01-01,,,,-209.0,0.0,0.0
2013-02-01,,,,-158.0,0.0,0.0
2013-03-01,,,,8585.0,106583.0,106583.0
2013-04-01,,,,39535.0,417003.0,417003.0
2013-05-01,,,,3308.0,40376.0,40376.0
2013-06-01,,,,4682.0,53556.0,53556.0
2013-07-01,,,,28440.0,407465.0,407465.0
2013-08-01,,,,53641.0,576620.0,576620.0
2013-09-01,,,,-244.0,466.0,466.0
2013-10-01,,,,230.0,5415.0,5415.0
2013-11-01,,,,1072.0,17027.0,17027.0
2013-12-01,,,,-269.0,0.0,0.0
2014-01-01,,,,-434.0,0.0,0.0
2014-02-01,,,,1156.0,18690.0,18690.0
2014-03-01,,,,1281.0,19475.0,19475.0
2014-04-01,,,,9126.0,99125.0,99125.0
2014-05-01,,,,17756.0,210489.0,210489.0
2014-06-01,,,,12644.0,151050.0,151050.0
2014-07-01,,,,13435.0,168186.0,168186.0
2014-08-01,,,,19282.0,226476.0,226476.0
2014-09-01,,,,8799.0,110889.0,110889.0
2014-10-01,,,,1882.0,28982.0,28982.0
2014-11-01,,,,19730.0,230087.0,230087.0
2014-12-01,,,,20206.0,235390.0,235390.0
2015-01-01,,,,9488.0,115300.0,115300.0
2015-02-01,,,,16948.0,201805.0,201805.0
2015-03-01,,,,0.0,0.0,0.0
2015-04-01,,,,18173.0,228336.0,228336.0
2015-05-01,,,,9788.0,109690.0,109690.0
2015-06-01,,,,12779.0,167583.0,167583.0
2015-07-01,,,,106453.0,1165058.0,1165058.0
2015-08-01,,,,96096.0,1050351.0,1050351.0
2015-09-01,,,,45654.0,500529.0,500529.0
2015-10-01,,,,32068.0,351851.0,351851.0
2015-11-01,,,,743.0,11339.0,11339.0
2015-12-01,,,,8050.0,91221.0,91221.0
2016-01-01,,,,22346.0,257285.0,257285.0
2016-02-01,,,,307.0,8134.0,8134.0
2016-03-01,,,,743.0,11849.0,11849.0
2016-04-01,,,,1567.0,20158.0,20158.0
2016-05-01,,,,10318.0,117531.0,117531.0
2016-06-01,,,,28459.0,322540.0,322540.0
2016-07-01,,,,77748.0,863361.0,863361.0
2016-08-01,,,,39412.0,439822.0,439822.0
2016-09-01,,,,10541.0,127470.0,127470.0
2016-10-01,,,,18748.0,237359.0,237359.0
2016-11-01,,,,39455.0,505563.0,505563.0
2016-12-01,,,,73437.0,844996.0,844996.0
2017-01-01,,,,27385.233,309302.0,309302.0
2017-02-01,,,,24269.467,274112.0,274112.0
2017-03-01,,,,28595.014,322966.0,322966.0
2017-04-01,,,,28266.152,319252.0,319252.0
2017-05-01,,,,32258.046,364339.0,364339.0
2017-06-01,,,,41320.531,466695.0,466695.0
2017-07-01,,,,50689.889,572517.0,572517.0
2017-08-01,,,,48390.372,546545.0,546545.0
2017-09-01,,,,35687.224,403070.0,403070.0
2017-10-01,,,,31537.39,356199.0,356199.0
2017-11-01,,,,26228.367,296237.0,296237.0
2017-12-01,,,,34301.315,387417.0,387417.0
2018-01-01,,,,64832.553,738296.0,738296.0
2018-02-01,,,,58314.28,664067.0,664067.0
2018-03-01,,,,58956.778,671384.0,671384.0
2018-04-01,,,,54732.62,623280.0,623280.0
2018-05-01,,,,74059.508,843370.0,843370.0
2018-06-01,,,,80773.044,919822.0,919822.0
2018-07-01,,,,100444.6,1143836.0,1143836.0
2018-08-01,,,,93515.103,1064925.0,1064925.0
2018-09-01,,,,79336.594,903464.0,903464.0
2018-10-01,,,,66654.964,759049.0,759049.0
2018-11-01,,,,57541.239,655265.0,655265.0
2018-12-01,,,,62258.72,708985.0,708985.0
2019-01-01,,,,136137.71,1497660.0,1497660.0
2019-02-01,,,,109445.05,1204012.0,1204012.0
2019-03-01,,,,117600.31,1293729.0,1293729.0
2019-04-01,,,,105963.45,1165711.0,1165711.0
2019-05-01,,,,144138.89,1585682.0,1585682.0
2019-06-01,,,,166283.15,1829292.0,1829292.0
2019-07-01,,,,191339.96,2104943.0,2104943.0
2019-08-01,,,,205998.49,2266203.0,2266203.0
2019-09-01,,,,178038.49,1958613.0,1958613.0
2019-10-01,,,,138052.25,1518722.0,1518722.0
2019-11-01,,,,125221.3,1377567.0,1377567.0
2019-12-01,,,,139224.95,1531623.0,1531623.0
2020-01-01,,,,101784.89,1107936.0,1107936.0
2020-02-01,,,,96839.763,1054109.0,1054109.0
2020-03-01,,,,94366.583,1027188.0,1027188.0
2020-04-01,,,,84024.269,914611.0,914611.0
2020-05-01,,,,100592.42,1094957.0,1094957.0
2020-06-01,,,,118977.99,1295086.0,1295086.0
2020-07-01,,,,144755.37,1575674.0,1575674.0
2020-08-01,,,,140104.18,1525046.0,1525046.0
2020-09-01,,,,115611.28,1258438.0,1258438.0
2020-10-01,,,,99976.662,1088254.0,1088254.0
2020-11-01,,,,78309.352,852404.0,852404.0
2020-12-01,,,,86064.248,936817.0,936817.0
2021-01-01,,,,33123.244,376640.0,376640.0
2021-02-01,,,,55238.679,628112.0,628112.0
2021-03-01,,,,19534.4,222123.0,222123.0
2021-04-01,,,,77895.182,885737.0,885737.0
2021-05-01,,,,9958.871,113241.0,113241.0
2021-06-01,,,,37812.92,429966.0,429966.0
2021-07-01,,,,58731.568,667829.0,667829.0
2021-08-01,,,,34444.638,391666.0,391666.0
2021-09-01,,,,13167.524,149726.0,149726.0
2021-10-01,,,,23602.507,268381.0,268381.0
2021-11-01,,,,32164.386,365737.0,365737.0
2021-12-01,,,,5818.082,66157.0,66157.0
2022-01-01,,,,12336.433,139393.0,139393.0
2022-02-01,,,,15332.742,173249.0,173249.0
2022-03-01,,,,4942.609,55849.0,55849.0
2022-04-01,,,,19390.806,219102.0,219102.0
2022-05-01,,,,35792.181,404427.0,404427.0
2022-06-01,,,,69095.789,780735.0,780735.0
2022-07-01,,,,120325.07,1359591.0,1359591.0
2022-08-01,,,,120134.98,1357443.0,1357443.0
2022-09-01,,,,122192.88,1380696.0,1380696.0
2022-10-01,,,,123313.39,1393357.0,1393357.0
2022-11-01,,,,133172.2,1504755.0,1504755.0
2022-12-01,,,,40655.912,459384.0,459384.0
2023-01-01,,,,55183.003,621135.0,621135.0
2023-02-01,,,,6461.653,72732.0,72732.0
2023-03-01,,,,78665.114,885448.0,885448.0
2023-04-01,,,,104576.66,1177106.0,1177106.0
2023-05-01,,,,30906.076,347877.0,347877.0
2023-06-01,,,,69289.73,779919.0,779919.0
2023-07-01,,,,117065.54,1317681.0,1317681.0
2023-08-01,,,,151208.84,1701995.0,1701995.0
2023-09-01,,,,76680.023,863104.0,863104.0
2023-10-01,,,,94647.301,1065342.0,1065342.0
2023-11-01,,,,15845.964,178361.0,178361.0
2023-12-01,,,,53237.091,599232.0,599232.0
2024-01-01,,,,42531.207,468790.0,468790.0
2024-02-01,,,,62267.935,686332.0,686332.0
2024-03-01,,,,175886.2,1938661.0,1938661.0
2024-04-01,,,,153945.13,1696821.0,1696821.0
2024-05-01,,,,70903.256,781513.0,781513.0
2024-06-01,,,,175486.11,1934251.0,1934251.0
2024-07-01,,,,269012.45,2965120.0,2965120.0
2024-08-01,,,,261142.45,2878375.0,2878375.0
2024-09-01,,,,190304.13,2097579.0,2097579.0
2024-10-01,,,,165836.97,1827895.0,1827895.0
2024-11-01,,,,53884.063,593923.0,593923.0
2024-12-01,,,,70576.104,777907.0,777907.0
