measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2019-12-01,2435.47,26251.0,26251.0,,,
2020-01-01,2588.752,27875.0,27875.0,,,
2020-02-01,2123.718,22868.0,22868.0,,,
2020-03-01,2416.966,26026.0,26026.0,,,
2020-04-01,2148.436,23134.0,23134.0,,,
2020-05-01,2147.551,23125.0,23125.0,,,
2020-06-01,2758.568,29704.0,29704.0,,,
2020-07-01,2501.423,26935.0,26935.0,,,
2020-08-01,2867.053,30872.0,30872.0,,,
2020-09-01,2346.186,25263.0,25263.0,,,
2020-10-01,2434.045,26210.0,26210.0,,,
2020-11-01,2457.996,26468.0,26468.0,,,
2020-12-01,2183.306,23510.0,23510.0,,,
2021-01-01,2229.438,23946.0,23946.0,,,
2021-02-01,1714.175,18411.0,18411.0,,,
2021-03-01,2487.673,26719.0,26719.0,,,
2021-04-01,1946.725,20909.0,20909.0,,,
2021-05-01,1834.167,19700.0,19700.0,,,
2021-06-01,1906.241,20474.0,20474.0,,,
2021-07-01,2374.205,25501.0,25501.0,,,
2021-08-01,2328.367,25008.0,25008.0,,,
2021-09-01,2426.598,26063.0,26063.0,,,
2021-10-01,2226.184,23911.0,23911.0,,,
2021-11-01,2513.613,26998.0,26998.0,,,
2021-12-01,2600.614,27933.0,27933.0,,,
2022-01-01,2079.288,22768.0,22768.0,,,
2022-02-01,1894.773,20748.0,20748.0,,,
2022-03-01,2081.505,22793.0,22793.0,,,
2022-04-01,1960.738,21470.0,21470.0,,,
2022-05-01,1976.659,21645.0,21645.0,,,
2022-06-01,1995.546,21851.0,21851.0,,,
2022-07-01,2054.556,22497.0,22497.0,,,
2022-08-01,2020.554,22125.0,22125.0,,,
2022-09-01,1902.274,20830.0,20830.0,,,
2022-10-01,1975.878,21636.0,21636.0,,,
2022-11-01,1928.863,21121.0,21121.0,,,
2022-12-01,1999.366,21893.0,21893.0,,,
2023-01-01,2379.047,25038.0,25038.0,,,
2023-02-01,2115.756,22267.0,22267.0,,,
2023-03-01,2289.795,24100.0,24100.0,,,
2023-04-01,2124.443,22359.0,22359.0,,,
2023-05-01,2393.958,25196.0,25196.0,,,
2023-06-01,2319.514,24412.0,24412.0,,,
2023-07-01,2365.332,24894.0,24894.0,,,
2023-08-01,2363.786,24878.0,24878.0,,,
2023-09-01,2190.292,23052.0,23052.0,,,
2023-10-01,2350.831,24741.0,24741.0,,,
2023-11-01,2348.375,24716.0,24716.0,,,
2023-12-01,2521.871,26542.0,26542.0,,,
2024-01-01,2407.902,24566.0,24566.0,,,
2024-02-01,2240.031,22854.0,22854.0,,,
2024-03-01,2329.513,23767.0,23767.0,,,
2024-04-01,2169.588,22135.0,22135.0,,,
2024-05-01,2383.081,24313.0,24313.0,,,
2024-06-01,2215.372,22602.0,22602.0,,,
2024-07-01,2335.474,23828.0,23828.0,,,
2024-08-01,2397.112,24457.0,24457.0,,,
2024-09-01,2259.604,23053.0,23053.0,,,
2024-10-01,2308.724,23554.0,23554.0,,,
2024-11-01,2269.945,23159.0,23159.0,,,
2024-12-01,2313.654,23605.0,23605.0,,,
