measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-11-01,1600.372,9720.0,48941.0,399.03900000000004,2423.0,12202.0,0.0,0.0,0.0
2003-12-01,1586.0140000000001,9633.0,48502.0,395.459,2402.0,12093.0,0.0,0.0,0.0
2004-01-01,1251.95473,5824.03,41148.38,1097.73027,5106.59,36079.44,0.0,0.0,0.0
2004-02-01,1321.52992,6147.69,43244.5,616.13708,2866.24,20161.89,0.0,0.0,0.0
2004-03-01,1380.99558,6424.32,44878.34,122.35942,569.21,3976.33,0.0,0.0,0.0
2004-04-01,1289.15739,5997.1,42165.76,558.63361,2598.74,18271.79,0.0,0.0,0.0
2004-05-01,862.01786,4010.06,28005.9,67.52414,314.12,2193.78,0.0,0.0,0.0
2004-06-01,1018.36006,4737.36,33313.8,452.66094,2105.76,14807.98,0.0,0.0,0.0
2004-07-01,1448.28842,6737.36,47565.18,1144.85158,5325.79,37599.6,0.0,0.0,0.0
2004-08-01,1366.40234,6356.44,44481.06,223.53466,1039.87,7276.82,0.0,0.0,0.0
2004-09-01,1090.27712,5071.91,35412.26,73.87288,343.65,2399.4,0.0,0.0,0.0
2004-10-01,1115.24456,5188.06,36665.2,1015.62144,4724.62,33389.95,0.0,0.0,0.0
2004-11-01,1076.7635,5009.05,35282.0,614.3735,2858.03,20131.0,0.0,0.0,0.0
2004-12-01,1447.26086,6732.58,47485.36,999.69614,4650.53,32800.54,0.0,0.0,0.0
2005-01-01,1622.11803,7546.01,53297.66,148.99397,693.11,4895.47,0.0,0.0,0.0
2005-02-01,1472.80872,6851.43,48391.72,132.08728,614.46,4339.96,0.0,0.0,0.0
2005-03-01,1578.75681,7344.29,51872.86,157.62319,733.25,5178.99,0.0,0.0,0.0
2005-04-01,1298.81641,6042.02,42674.84,161.60259,751.77,5309.73,0.0,0.0,0.0
2005-05-01,1233.90998,5740.09,40542.32,131.09802,609.86,4307.46,0.0,0.0,0.0
2005-06-01,1581.61149,7357.57,51966.72,223.03651,1037.55,7328.27,0.0,0.0,0.0
2005-07-01,1764.61656,8208.91,57979.74,287.41344,1337.03,9443.5,0.0,0.0,0.0
2005-08-01,1747.82572,8130.79,57428.02,307.28828,1429.49,10096.52,0.0,0.0,0.0
2005-09-01,1574.52095,7324.59,51733.76,203.27405,945.62,6678.94,0.0,0.0,0.0
2005-10-01,1474.4712000000002,6859.16,48446.32,140.5748,653.95,4618.83,0.0,0.0,0.0
2005-11-01,1447.98506,6735.95,47576.1,126.18194,586.99,4145.93,0.0,0.0,0.0
2005-12-01,1670.2249000000002,7769.8,54878.2,136.33110000000002,634.21,4479.4,0.0,0.0,0.0
2006-01-01,1477.2652,6872.16,48956.58,72.7088,338.24,2409.57,,,
2006-02-01,1388.94917,6461.32,46030.31,72.49583,337.25,2402.54,,,
2006-03-01,1356.31064,6309.49,44949.19,79.08836,367.92,2621.05,,,
2006-04-01,1357.63615,6315.66,44992.21,66.49584999999999,309.34,2203.68,,,
2006-05-01,1427.83766,6642.23,47318.09,64.50634,300.08,2137.72,,,
2006-06-01,1460.59742,6794.62,48405.26,82.51357999999999,383.85,2734.56,,,
2006-07-01,1533.72434,7134.8,50831.93,123.56166,574.8,4095.18,,,
2006-08-01,1533.07169,7131.77,50809.69,116.33131,541.17,3855.5,,,
2006-09-01,1384.58361,6441.01,45886.5,82.51738999999999,383.87,2734.71,,,
2006-10-01,1355.55787,6305.99,44925.5,92.02512999999999,428.1,3049.87,,,
2006-11-01,1374.33593,6393.34,45546.67,79.15607,368.23,2623.3,,,
2006-12-01,1464.86116,6814.46,48545.93,77.34783999999999,359.82,2563.33,,,
2007-01-01,1243.6380000000001,5777.0,53561.0,3.839,18.0,165.0,,,
2007-02-01,1423.827,6623.0,61343.0,3.4010000000000002,16.0,147.0,,,
2007-03-01,1592.4930000000002,7420.0,68594.0,4.801,22.0,207.0,,,
2007-04-01,1359.193,6333.0,58540.0,6.102,28.0,263.0,,,
2007-05-01,1532.949,7130.0,66032.0,4.99,23.0,215.0,,,
2007-06-01,1467.126,6816.0,63205.0,5.761,27.0,248.0,,,
2007-07-01,1481.26,6888.0,63809.0,7.313000000000001,34.0,315.0,,,
2007-08-01,1559.489,7251.0,67168.0,7.712000000000001,36.0,332.0,,,
2007-09-01,1164.5990000000002,5414.0,50177.0,6.206,29.0,267.0,,,
2007-10-01,1454.944,6768.0,62673.0,6.097,28.0,263.0,,,
2007-11-01,1048.7440000000001,4882.0,45174.0,5.684,26.0,245.0,,,
2007-12-01,1163.4940000000001,5414.0,50129.0,5.208,24.0,224.0,,,
2008-01-01,1486.3790000000001,7117.0,57452.0,39.051,187.0,1508.0,,,
2008-02-01,1370.67,6563.0,52956.0,38.794000000000004,186.0,1499.0,,,
2008-03-01,1285.829,6157.0,49694.0,43.381,208.0,1676.0,,,
2008-04-01,1445.5720000000001,6922.0,55857.0,54.936,263.0,2123.0,,,
2008-05-01,1087.303,5207.0,42007.0,43.279,207.0,1672.0,,,
2008-06-01,1373.5610000000001,6577.0,53077.0,61.501000000000005,294.0,2377.0,,,
2008-07-01,1457.163,6978.0,56316.0,81.291,389.0,3141.0,,,
2008-08-01,1385.8700000000001,6636.0,53561.0,60.18,288.0,2326.0,,,
2008-09-01,1397.5,6692.0,53996.0,55.525000000000006,266.0,2146.0,,,
2008-10-01,1566.6660000000002,7502.0,60546.0,54.779,262.0,2117.0,,,
2008-11-01,1733.884,8303.0,66999.0,56.663000000000004,271.0,2190.0,,,
2008-12-01,1520.227,7280.0,58733.0,49.996,239.0,1932.0,,,
2009-01-01,994.0640000000001,4745.0,42191.0,545.827,2605.0,23179.0,,,
2009-02-01,739.339,3529.0,31396.0,474.374,2264.0,20144.0,,,
2009-03-01,699.49,3339.0,29712.0,552.493,2637.0,23461.0,,,
2009-04-01,659.802,3149.0,28028.0,553.325,2641.0,23496.0,,,
2009-05-01,557.582,2661.0,23671.0,430.43100000000004,2054.0,18277.0,,,
2009-06-01,631.993,3016.0,26840.0,520.543,2485.0,22104.0,,,
2009-07-01,683.796,3264.0,29043.0,725.217,3461.0,30795.0,,,
2009-08-01,698.8770000000001,3336.0,29687.0,960.3720000000001,4584.0,40781.0,,,
2009-09-01,485.33,2316.0,20600.0,736.864,3517.0,31290.0,,,
2009-10-01,521.3140000000001,2488.0,22135.0,768.9490000000001,3670.0,32652.0,,,
2009-11-01,595.8430000000001,2844.0,25305.0,649.525,3100.0,27581.0,,,
2009-12-01,733.0840000000001,3499.0,31123.0,669.566,3196.0,28432.0,,,
2010-01-01,846.039,4048.0,33649.0,575.359,2753.0,22910.0,,,
2010-02-01,775.2370000000001,3710.0,30876.0,491.038,2350.0,19554.0,,,
2010-03-01,651.9680000000001,3120.0,25973.0,511.387,2447.0,20363.0,,,
2010-04-01,632.1220000000001,3025.0,25181.0,565.969,2708.0,22537.0,,,
2010-05-01,538.0880000000001,2575.0,21417.0,733.1030000000001,3508.0,29192.0,,,
2010-06-01,565.1120000000001,2704.0,22507.0,790.806,3784.0,31490.0,,,
2010-07-01,860.712,4119.0,34268.0,1032.1860000000001,4939.0,41102.0,,,
2010-08-01,649.645,3109.0,25874.0,931.0490000000001,4455.0,37075.0,,,
2010-09-01,472.257,2260.0,18818.0,767.091,3671.0,30546.0,,,
2010-10-01,537.621,2573.0,21417.0,610.25,2920.0,24300.0,,,
2010-11-01,325.75800000000004,1559.0,12974.0,598.426,2864.0,23829.0,,,
2010-12-01,588.965,2818.0,23448.0,631.812,3023.0,25159.0,,,
2011-01-01,1534.235,7400.0,71334.0,464.396,2240.0,21596.0,,,
2011-02-01,1239.239,5977.0,57617.0,414.161,1998.0,19259.0,,,
2011-03-01,730.423,3523.0,33971.0,442.998,2137.0,20600.0,,,
2011-04-01,806.676,3891.0,37511.0,585.596,2825.0,27231.0,,,
2011-05-01,473.792,2285.0,22036.0,470.848,2271.0,21895.0,,,
2011-06-01,373.869,1803.0,17382.0,550.598,2656.0,25604.0,,,
2011-07-01,941.365,4541.0,43776.0,755.624,3645.0,35137.0,,,
2011-08-01,519.801,2507.0,24166.0,733.082,3536.0,34089.0,,,
2011-09-01,145.865,704.0,6784.0,589.958,2846.0,27434.0,,,
2011-10-01,254.86,1229.0,11860.0,603.648,2912.0,28071.0,,,
2011-11-01,89.448,431.0,4160.0,479.131,2311.0,22280.0,,,
2011-12-01,355.483,1715.0,16540.0,405.904,1958.0,18875.0,,,
2012-01-01,707.846,3525.0,39938.0,405.441,2019.0,22873.0,,,
2012-02-01,115.663,576.0,6537.0,406.026,2022.0,22904.0,,,
2012-03-01,77.024,384.0,4333.0,453.28,2257.0,25570.0,,,
2012-04-01,109.494,545.0,6165.0,415.698,2070.0,23450.0,,,
2012-05-01,36.283,181.0,2055.0,495.728,2469.0,27965.0,,,
2012-06-01,157.291,783.0,8864.0,561.796,2798.0,31692.0,,,
2012-07-01,561.18,2795.0,31668.0,776.403,3866.0,43798.0,,,
2012-08-01,583.814,2907.0,32931.0,776.048,3864.0,43778.0,,,
2012-09-01,50.039,249.0,2823.0,623.04,3103.0,35147.0,,,
2012-10-01,66.409,331.0,3739.0,528.794,2633.0,29830.0,,,
2012-11-01,374.416,1864.0,21120.0,403.922,2011.0,22786.0,,,
2012-12-01,577.51,2876.0,32584.0,286.855,1428.0,16182.0,,,
2013-01-01,0.0,0.0,0.0,746.601,3596.0,32127.0,,,
2013-02-01,0.0,0.0,0.0,474.462,2285.0,20416.0,,,
2013-03-01,0.0,0.0,0.0,649.008,3126.0,27926.0,,,
2013-04-01,0.0,0.0,0.0,1015.287,4890.0,43686.0,,,
2013-05-01,0.0,0.0,0.0,1148.313,5530.0,49411.0,,,
2013-06-01,0.0,0.0,0.0,1005.167,4841.0,43252.0,,,
2013-07-01,0.0,0.0,0.0,1622.355,7813.0,69808.0,,,
2013-08-01,0.0,0.0,0.0,1436.87,6920.0,61827.0,,,
2013-09-01,0.0,0.0,0.0,1050.781,5060.0,45214.0,,,
2013-10-01,0.0,0.0,0.0,1045.575,5035.0,44990.0,,,
2013-11-01,0.0,0.0,0.0,690.647,3326.0,29718.0,,,
2013-12-01,0.0,0.0,0.0,473.934,2282.0,20393.0,,,
2014-01-01,0.0,0.0,0.0,615.947,2989.0,27318.0,,,
2014-02-01,0.0,0.0,0.0,636.937,3090.0,28249.0,,,
2014-03-01,0.0,0.0,0.0,478.536,2322.0,21223.0,,,
2014-04-01,0.0,0.0,0.0,945.37,4587.0,41928.0,,,
2014-05-01,0.0,0.0,0.0,1034.649,5020.0,45888.0,,,
2014-06-01,0.0,0.0,0.0,1116.837,5419.0,49533.0,,,
2014-07-01,0.0,0.0,0.0,1538.635,7465.0,68241.0,,,
2014-08-01,0.0,0.0,0.0,1384.513,6718.0,61404.0,,,
2014-09-01,0.0,0.0,0.0,1175.535,5704.0,52137.0,,,
2014-10-01,0.0,0.0,0.0,1149.521,5577.0,50983.0,,,
2014-11-01,0.0,0.0,0.0,664.472,3224.0,29470.0,,,
2014-12-01,0.0,0.0,0.0,556.048,2698.0,24661.0,,,
2015-01-01,0.0,0.0,0.0,441.041,2117.0,18428.0,,,
2015-02-01,0.0,0.0,0.0,487.677,2340.0,20375.0,,,
2015-03-01,0.0,0.0,0.0,592.546,2844.0,24757.0,,,
2015-04-01,0.0,0.0,0.0,838.411,4024.0,35029.0,,,
2015-05-01,0.0,0.0,0.0,1147.186,5505.0,47930.0,,,
2015-06-01,0.0,0.0,0.0,1124.346,5396.0,46975.0,,,
2015-07-01,0.0,0.0,0.0,1764.39,8467.0,73717.0,,,
2015-08-01,0.0,0.0,0.0,1773.783,8513.0,74110.0,,,
2015-09-01,0.0,0.0,0.0,1273.883,6113.0,53223.0,,,
2015-10-01,0.0,0.0,0.0,1068.457,5128.0,44640.0,,,
2015-11-01,0.0,0.0,0.0,640.838,3075.0,26775.0,,,
2015-12-01,0.0,0.0,0.0,698.442,3352.0,29181.0,,,
2016-01-01,0.0,0.0,0.0,631.717,5769.0,27004.0,,,
2016-02-01,0.0,0.0,0.0,662.766,6053.0,28329.0,,,
2016-03-01,0.0,0.0,0.0,718.303,6560.0,30703.0,,,
2016-04-01,0.0,0.0,0.0,786.761,7185.0,33630.0,,,
2016-05-01,0.0,0.0,0.0,1039.181,9490.0,44419.0,,,
2016-06-01,0.0,0.0,0.0,1185.329,10825.0,50666.0,,,
2016-07-01,0.0,0.0,0.0,1448.256,13226.0,61904.0,,,
2016-08-01,0.0,0.0,0.0,1446.031,13206.0,61809.0,,,
2016-09-01,0.0,0.0,0.0,959.355,8761.0,41006.0,,,
2016-10-01,0.0,0.0,0.0,619.541,5658.0,26481.0,,,
2016-11-01,0.0,0.0,0.0,475.214,4340.0,20313.0,,,
2016-12-01,0.0,0.0,0.0,731.546,6681.0,31270.0,,,
2017-01-01,0.0,0.0,0.0,1514.0,13443.0,53625.0,,,
2017-02-01,0.0,0.0,0.0,1066.0,9460.0,37721.0,,,
2017-03-01,0.0,0.0,0.0,2167.0,19099.0,69973.0,,,
2017-04-01,0.0,0.0,0.0,2469.0,21641.0,74364.0,,,
2017-05-01,0.0,0.0,0.0,1742.0,15320.0,57025.0,,,
2017-06-01,0.0,0.0,0.0,1095.0,9664.0,39889.0,,,
2017-07-01,0.0,0.0,0.0,3309.0,28925.0,97300.0,,,
2017-08-01,0.0,0.0,0.0,3152.0,27552.0,93399.0,,,
2017-09-01,0.0,0.0,0.0,2272.0,19858.0,69144.0,,,
2017-10-01,0.0,0.0,0.0,2771.0,24208.0,81205.0,,,
2017-11-01,0.0,0.0,0.0,3488.0,30375.0,98995.0,,,
2017-12-01,0.0,0.0,0.0,2982.0,25974.0,89657.0,,,
2018-01-01,0.0,0.0,0.0,3216.0,27995.0,95587.0,,,
2018-02-01,0.0,0.0,0.0,3131.0,27253.0,93723.0,,,
2018-03-01,0.0,0.0,0.0,3560.0,31007.0,103822.0,,,
2018-04-01,0.0,0.0,0.0,3315.0,28942.0,97884.0,,,
2018-05-01,0.0,0.0,0.0,3585.0,31228.0,103428.0,,,
2018-06-01,0.0,0.0,0.0,181.0,1885.0,32818.0,,,
2018-07-01,0.0,0.0,0.0,39.0,614.0,39740.0,,,
2018-08-01,0.0,0.0,0.0,2089.0,18340.0,73026.0,,,
2018-09-01,0.0,0.0,0.0,1547.0,13614.0,59583.0,,,
2018-10-01,0.0,0.0,0.0,2741.0,23893.0,88248.0,,,
2018-11-01,0.0,0.0,0.0,3229.0,28140.0,98625.0,,,
2018-12-01,0.0,0.0,0.0,3413.0,29736.0,103754.0,,,
2019-01-01,0.0,0.0,0.0,3764.0,32738.0,106123.0,,,
2019-02-01,0.0,0.0,0.0,3160.0,27552.0,96587.0,,,
2019-03-01,0.0,0.0,0.0,3504.0,30554.0,106706.0,,,
2019-04-01,0.0,0.0,0.0,2721.0,23824.0,88979.0,,,
2019-05-01,0.0,0.0,0.0,3149.0,27560.0,96697.0,,,
2019-06-01,0.0,0.0,0.0,2878.0,25215.0,89445.0,,,
2019-07-01,0.0,0.0,0.0,3154.0,27552.0,97425.0,,,
2019-08-01,0.0,0.0,0.0,2751.0,24183.0,88766.0,,,
2019-09-01,0.0,0.0,0.0,2424.0,21223.0,73827.0,,,
2019-10-01,0.0,0.0,0.0,2758.0,24891.0,89775.0,,,
2019-11-01,0.0,0.0,0.0,3388.0,29599.0,102448.0,,,
2019-12-01,0.0,0.0,0.0,3476.0,30290.0,105773.0,,,
2020-01-01,0.0,0.0,0.0,3453.0,30674.0,78280.0,,,
2020-02-01,0.0,0.0,0.0,2007.0,20182.0,64600.0,,,
2020-03-01,0.0,0.0,0.0,2510.0,21922.0,74994.0,,,
2020-04-01,0.0,0.0,0.0,3421.0,29889.0,102272.0,,,
2020-05-01,0.0,0.0,0.0,2018.0,17691.0,62336.0,,,
2020-06-01,0.0,0.0,0.0,2857.0,25036.0,88230.0,,,
2020-07-01,0.0,0.0,0.0,2528.0,22843.0,84497.0,,,
2020-08-01,0.0,0.0,0.0,2620.0,22895.0,84691.0,,,
2020-09-01,0.0,0.0,0.0,2093.0,18365.0,70169.0,,,
2020-10-01,0.0,0.0,0.0,2626.0,22886.0,82268.0,,,
2020-11-01,0.0,0.0,0.0,2938.0,25616.0,89515.0,,,
2020-12-01,0.0,0.0,0.0,2614.0,22860.0,96636.0,,,
2021-01-01,0.0,0.0,0.0,3147.0,27450.0,97418.0,,,
2021-02-01,0.0,0.0,0.0,2126.0,21649.0,84633.0,,,
2021-03-01,0.0,0.0,0.0,3052.0,26597.0,92577.0,,,
2021-04-01,0.0,0.0,0.0,2857.0,24959.0,88738.0,,,
2021-05-01,0.0,0.0,0.0,2738.0,23884.0,85040.0,,,
2021-06-01,0.0,0.0,0.0,1712.0,15490.0,60541.0,,,
2021-07-01,0.0,0.0,0.0,2133.0,20353.0,72939.0,,,
2021-08-01,0.0,0.0,0.0,2619.0,22946.0,83900.0,,,
2021-09-01,0.0,0.0,0.0,2400.0,21009.0,75926.0,,,
2021-10-01,0.0,0.0,0.0,2606.0,24106.0,89984.0,,,
2021-11-01,0.0,0.0,0.0,2812.0,27961.0,86959.0,,,
2021-12-01,0.0,0.0,0.0,1795.0,15943.0,91013.0,,,
2022-01-01,0.0,0.0,0.0,2509.0,21999.0,86525.0,,,
2022-02-01,0.0,0.0,0.0,2512.0,22016.0,80877.0,,,
2022-03-01,0.0,0.0,0.0,2969.0,26076.0,91995.0,,,
2022-04-01,0.0,0.0,0.0,2646.0,23244.0,86461.0,,,
2022-05-01,0.0,0.0,0.0,2156.0,18928.0,72335.0,,,
2022-06-01,0.0,0.0,0.0,2646.0,23244.0,72236.0,,,
2022-07-01,0.0,0.0,0.0,2153.0,18868.0,61974.0,,,
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2022-09-01,0.0,0.0,0.0,0.0,0.0,26024.0,,,
2022-10-01,0.0,0.0,0.0,0.0,0.0,16133.0,,,
2022-11-01,0.0,0.0,0.0,0.0,0.0,20193.0,,,
2022-12-01,0.0,0.0,0.0,0.0,0.0,29164.0,,,
2023-01-01,,,,0.0,0.0,28230.0,,,
2023-02-01,,,,0.0,0.0,26169.0,,,
2023-03-01,,,,0.0,0.0,27554.0,,,
2023-04-01,,,,0.0,0.0,1925.0,,,
2023-05-01,,,,0.0,0.0,0.0,,,
2023-06-01,,,,0.0,0.0,0.0,,,
2023-07-01,,,,0.0,0.0,0.0,,,
2023-08-01,,,,0.0,0.0,0.0,,,
2023-09-01,,,,0.0,0.0,0.0,,,
2023-10-01,,,,0.0,0.0,0.0,,,
2023-11-01,,,,0.0,0.0,0.0,,,
2023-12-01,,,,0.0,0.0,0.0,,,
