measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2005-09-01,79.12893,403.48,403.49,1631.10347,8317.13,8317.13,,,,24458.415,244560.0,244560.0,112.67060000000001,574.52,574.52,,,,,,
2005-10-01,74.12453,377.97,377.97,1127.99153,5751.72,5751.72,,,,17848.503,178467.0,178467.0,128.19994,653.7,653.7,,,,,,
2005-11-01,72.75587,370.99,370.99,1012.50052,5162.82,5162.82,,,,15965.431,159638.0,159638.0,104.63061,533.52,533.52,,,,,,
2005-12-01,83.96222999999999,428.13,428.13,1093.94,5578.09,5578.09,,,,17219.815000000002,172181.0,172181.0,105.56677,538.29,538.29,,,,,,
2006-01-01,0.0,0.0,0.0,,,,,,,21743.843,215677.0,215677.0,0.0,0.0,0.0,,,,,,
2006-02-01,0.0,0.0,0.0,,,,,,,20014.452,198523.0,198523.0,0.0,0.0,0.0,,,,,,
2006-03-01,0.0,0.0,0.0,,,,,,,25241.563000000002,250371.0,250371.0,0.0,0.0,0.0,,,,,,
2006-04-01,0.0,0.0,0.0,,,,,,,22648.18,224647.0,224647.0,0.0,0.0,0.0,,,,,,
2006-05-01,0.0,0.0,0.0,,,,,,,24339.25,241421.0,241421.0,0.0,0.0,0.0,,,,,,
2006-06-01,0.0,0.0,0.0,,,,,,,20322.727,201581.0,201581.0,0.0,0.0,0.0,,,,,,
2006-07-01,0.0,0.0,0.0,,,,,,,23251.529,230632.0,230632.0,0.0,0.0,0.0,,,,,,
2006-08-01,0.0,0.0,0.0,,,,,,,22099.893,219209.0,219209.0,0.0,0.0,0.0,,,,,,
2006-09-01,0.0,0.0,0.0,,,,,,,22405.08,222236.0,222236.0,0.0,0.0,0.0,,,,,,
2006-10-01,0.0,0.0,0.0,,,,,,,24309.432,241125.0,241125.0,0.0,0.0,0.0,,,,,,
2006-11-01,0.0,0.0,0.0,,,,,,,24030.631,238360.0,238360.0,0.0,0.0,0.0,,,,,,
2006-12-01,0.0,0.0,0.0,,,,,,,23127.195,229399.0,229399.0,0.0,0.0,0.0,,,,,,
2007-01-01,7209.49,37597.0,333538.0,335.744,1751.0,15533.0,,,,,,,10284.766,53636.0,475812.0,,,,,,
2007-02-01,8338.336000000001,43296.0,401085.0,138.109,717.0,6643.0,,,,,,,11894.556,61783.0,572144.0,,,,,,
2007-03-01,8500.44,43469.0,385863.0,123.57100000000001,632.0,5609.0,,,,,,,12130.99,62014.0,550666.0,,,,,,
2007-04-01,9678.665,50006.0,423683.0,276.915,1430.0,12122.0,,,,,,,13805.42,71342.0,604331.0,,,,,,
2007-05-01,11459.696,58443.0,402910.0,433.351,2210.0,15236.0,,,,,,,13904.953,70910.0,488883.0,,,,,,
2007-06-01,13114.623,67349.0,574737.0,250.733,1287.0,10988.0,,,,,,,5046.644,25911.0,221165.0,,,,,,
2007-07-01,10373.061,53337.0,443863.0,77.446,398.0,3314.0,,,,,,,14774.493,75977.0,632200.0,,,,,,
2007-08-01,9278.062,48082.0,401356.0,206.165,1068.0,8918.0,,,,,,,13232.773000000001,68578.0,572432.0,,,,,,
2007-09-01,8590.685000000001,44628.0,385025.0,213.66,1110.0,9576.0,,,,,,,12255.655,63655.0,549284.0,,,,,,
2007-10-01,9114.451000000001,47391.0,402886.0,384.582,2000.0,17000.0,,,,,,,12996.966,67570.0,574504.0,,,,,,
2007-11-01,11919.467,61823.0,402220.0,390.887,2028.0,13190.0,,,,,,,10995.645,57033.0,371046.0,,,,,,
2007-12-01,15836.604,81781.0,700332.0,279.41,1443.0,12356.0,,,,,,,5689.986,29395.0,251625.0,,,,,,
2008-01-01,16997.111,88908.0,714181.0,343.832,1798.0,14447.0,,,,,,,5523.058,28890.0,232067.0,0.0,0.0,0.0,,,
2008-02-01,10082.803,51341.0,456083.0,140.24200000000002,714.0,6344.0,,,,,,,2867.954,14603.0,129728.0,0.0,0.0,0.0,,,
2008-03-01,7426.233,40543.0,380868.0,120.546,658.0,6182.0,,,,,,,2407.221,13142.0,123459.0,0.0,0.0,0.0,,,
2008-04-01,10374.089,54947.0,486842.0,272.666,1444.0,12796.0,,,,,,,3362.2450000000003,17808.0,157786.0,0.0,0.0,0.0,,,
2008-05-01,18569.647,96923.0,636678.0,96.235,502.0,3300.0,,,,341.93600000000004,1785.0,11724.0,6023.1810000000005,31438.0,206511.0,0.0,0.0,0.0,,,
2008-06-01,15620.366,82204.0,681653.0,334.44800000000004,1760.0,14595.0,,,,614.244,3233.0,26805.0,6510.3,34261.0,284101.0,0.0,0.0,0.0,27.643,145.0,1206.0
2008-07-01,6073.566000000001,32675.0,302149.0,96.196,518.0,4786.0,,,,322.836,1737.0,16061.0,6812.224,36649.0,338896.0,3291.177,17706.0,163730.0,,,
2008-08-01,6435.332,34881.0,334684.0,328.385,1780.0,17078.0,,,,853.808,4628.0,44404.0,8948.006000000001,48501.0,465362.0,407.47,2209.0,21191.0,,,
2008-09-01,9114.844000000001,48996.0,403068.0,375.221,2017.0,16593.0,,,,344.838,1854.0,15249.0,6838.097000000001,36757.0,302388.0,0.0,0.0,0.0,,,
2008-10-01,4962.345,26644.0,239339.0,242.15400000000002,1300.0,11679.0,,,,902.673,4847.0,43537.0,9109.784,48913.0,439374.0,840.0440000000001,4510.0,40516.0,,,
2008-11-01,8572.124,44983.0,407583.0,275.558,1446.0,13102.0,,,,1012.16,5311.0,48126.0,10330.158,54208.0,491173.0,0.0,0.0,0.0,,,
2008-12-01,5565.552000000001,30458.0,276650.0,211.747,1159.0,10525.0,,,,446.937,2446.0,22216.0,6034.764,33026.0,299973.0,0.0,0.0,0.0,,,
2009-01-01,7201.64,37850.0,329336.0,472.47700000000003,2483.0,21607.0,,,,144.061,757.0,6588.0,5451.822,28653.0,249316.0,0.0,0.0,0.0,,,
2009-02-01,7270.876,38523.0,368452.0,234.81400000000002,1244.0,11899.0,,,,46.585,247.0,2361.0,6248.725,33108.0,316654.0,0.0,0.0,0.0,,,
2009-03-01,7782.893,40257.0,406373.0,217.911,1127.0,11378.0,,,,352.937,1826.0,18428.0,6380.259,33002.0,333136.0,0.0,0.0,0.0,,,
2009-04-01,1166.7540000000001,6397.0,16271.0,127.49300000000001,699.0,1778.0,,,,22.309,122.0,311.0,932.4440000000001,5112.0,13003.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,6836.082,34975.0,299712.0,419.93100000000004,2148.0,18411.0,,,,181.57,929.0,7961.0,10697.417,54730.0,469003.0,0.0,0.0,0.0,,,
2009-07-01,11335.143,58881.0,468923.0,160.375,833.0,6635.0,,,,671.946,3490.0,27798.0,10976.536,57018.0,454088.0,0.0,0.0,0.0,,,
2009-08-01,9206.037,47777.0,489708.0,148.888,773.0,7920.0,,,,516.034,2678.0,27450.0,9472.041000000001,49158.0,503857.0,0.0,0.0,0.0,,,
2009-09-01,6026.576,31360.0,283671.0,312.372,1625.0,14703.0,,,,482.47900000000004,2511.0,22710.0,9389.924,48861.0,441984.0,3014.6490000000003,15687.0,141899.0,,,
2009-10-01,0.0,0.0,0.0,361.005,1986.0,18733.0,,,,485.25,2670.0,25181.0,10134.966,55757.0,525928.0,6117.779,33657.0,317466.0,,,
2009-11-01,0.0,0.0,0.0,186.41,957.0,10048.0,,,,245.45100000000002,1260.0,13231.0,9933.654,51007.0,535469.0,5816.485000000001,29866.0,313535.0,,,
2009-12-01,0.0,0.0,0.0,314.462,1627.0,16419.0,,,,17.525,91.0,915.0,6934.594,35881.0,362073.0,4502.419,23296.0,235083.0,,,
2010-01-01,0.0,0.0,0.0,245.774,1327.0,13926.0,323.192,1745.0,18312.0,21.745,117.0,1232.0,8384.368,45266.0,475065.0,2072.9210000000003,11191.0,117453.0,,,
2010-02-01,0.0,0.0,0.0,387.408,2013.0,19008.0,122.22200000000001,635.0,5997.0,0.0,0.0,0.0,12886.121,66945.0,632252.0,4665.249,24237.0,228898.0,,,
2010-03-01,0.0,0.0,0.0,104.339,542.0,4570.0,0.0,0.0,0.0,5.322,28.0,233.0,13810.235,71795.0,604830.0,5001.104,25999.0,219027.0,,,
2010-04-01,0.0,0.0,0.0,46.38,359.0,3137.0,0.0,0.0,0.0,0.0,0.0,0.0,366.526,2834.0,24793.0,247.09400000000002,1910.0,16714.0,,,
2010-05-01,2417.4610000000002,13139.0,127040.0,275.39,1497.0,14472.0,14.968,81.0,787.0,0.0,0.0,0.0,2575.181,13997.0,135328.0,0.0,0.0,0.0,,,
2010-06-01,1962.0,10212.0,99205.0,670.591,3490.0,33907.0,100.342,522.0,5074.0,0.0,0.0,0.0,9685.735,50414.0,489741.0,2925.3320000000003,15226.0,147914.0,,,
2010-07-01,0.0,0.0,0.0,548.59,2848.0,28242.0,206.92600000000002,1074.0,10653.0,85.16600000000001,442.0,4385.0,5730.327,29754.0,295006.0,11200.991,58159.0,576644.0,,,
2010-08-01,0.0,0.0,0.0,645.592,3313.0,28149.0,280.033,1437.0,12210.0,368.88,1893.0,16084.0,9893.067000000001,50764.0,431358.0,9348.428,47969.0,407610.0,,,
2010-09-01,0.0,0.0,0.0,961.5740000000001,4898.0,54356.0,9.031,46.0,510.0,280.224,1427.0,15841.0,9750.792000000001,49670.0,551196.0,8881.379,45241.0,502050.0,,,
2010-10-01,0.0,0.0,0.0,354.72900000000004,1811.0,16645.0,9.107000000000001,46.0,427.0,348.538,1779.0,16355.0,11723.098,59836.0,550099.0,7818.528,39906.0,366880.0,,,
2010-11-01,0.0,0.0,0.0,19.716,101.0,998.0,6.047000000000001,31.0,306.0,198.061,1014.0,10030.0,10918.644,55925.0,552909.0,6001.532,30740.0,303912.0,,,
2010-12-01,0.0,0.0,0.0,163.235,855.0,8760.0,2.7710000000000004,15.0,149.0,82.458,432.0,4425.0,6293.0380000000005,32972.0,337715.0,3457.498,18115.0,185546.0,,,
2011-01-01,0.0,0.0,0.0,105.351,542.0,5810.0,132.682,682.0,7317.0,221.62,1139.0,12222.0,5410.483,27811.0,298378.0,4320.864,22210.0,238287.0,,,
2011-02-01,0.0,0.0,0.0,257.704,1312.0,14221.0,171.242,872.0,9450.0,222.078,1131.0,12255.0,6592.626,33562.0,363816.0,5591.35,28465.0,308560.0,,,
2011-03-01,0.0,0.0,0.0,496.977,2502.0,25184.0,55.077,277.0,2791.0,277.093,1395.0,14041.0,10439.101,52558.0,528988.0,7351.752,37014.0,372541.0,,,
2011-04-01,0.0,0.0,0.0,591.715,2978.0,29530.0,90.544,456.0,4519.0,293.204,1476.0,14632.0,9507.9,47847.0,474493.0,7308.637,36779.0,364738.0,,,
2011-05-01,0.0,0.0,0.0,558.186,2792.0,28357.0,122.472,613.0,6222.0,515.444,2578.0,26186.0,10550.135,52776.0,535977.0,10424.763,52149.0,529607.0,,,
2011-06-01,0.0,0.0,0.0,461.867,2309.0,21325.0,234.756,1174.0,10839.0,317.494,1587.0,14659.0,10288.532,51443.0,475044.0,9581.351,47907.0,442392.0,,,
2011-07-01,0.0,0.0,0.0,291.153,1457.0,13548.0,102.84,515.0,4786.0,214.984,1076.0,10004.0,10798.74,54035.0,502507.0,10337.283,51726.0,481033.0,,,
2011-08-01,0.0,0.0,0.0,1091.379,5494.0,53338.0,72.279,364.0,3532.0,341.766,1720.0,16703.0,8841.586,44505.0,432104.0,8746.99,44029.0,427481.0,,,
2011-09-01,0.0,0.0,0.0,509.347,2557.0,29877.0,26.984,135.0,1583.0,312.072,1567.0,18305.0,8200.48,41168.0,481021.0,8076.117,40544.0,473726.0,,,
2011-10-01,0.0,0.0,0.0,765.883,3870.0,39769.0,10.575,53.0,549.0,229.602,1160.0,11922.0,8480.954,42857.0,440379.0,6852.986,34631.0,355846.0,,,
2011-11-01,0.0,0.0,0.0,152.098,781.0,9218.0,17.796,91.0,1079.0,56.728,291.0,3438.0,5278.84,27118.0,319925.0,4266.538,21918.0,258574.0,,,
2011-12-01,0.0,0.0,0.0,55.649,302.0,8256.0,15.342,83.0,2276.0,137.186,745.0,20353.0,2310.358,12543.0,342759.0,1867.465,10139.0,277052.0,,,
2012-01-01,0.0,0.0,0.0,341.848,1744.0,21947.0,19.765,101.0,1269.0,95.566,488.0,6135.0,6138.624,31315.0,394098.0,4960.197,25304.0,318443.0,,,
2012-02-01,0.0,0.0,0.0,518.774,2605.0,29171.0,25.083,126.0,1410.0,157.63,791.0,8864.0,9712.873,48766.0,546152.0,7848.64,39406.0,441327.0,,,
2012-03-01,0.0,0.0,0.0,687.644,3452.0,37714.0,4.86,24.0,267.0,36.468,183.0,2000.0,9820.14,49292.0,538582.0,7943.888,39874.0,435680.0,,,
2012-04-01,0.0,0.0,0.0,568.053,2868.0,34885.0,16.144,82.0,991.0,197.588,998.0,12134.0,8688.585,43867.0,533586.0,6525.63,32947.0,400754.0,,,
2012-05-01,0.0,0.0,0.0,164.076,825.0,7974.0,79.605,400.0,3869.0,220.688,1109.0,10725.0,11889.658,59769.0,577814.0,7860.973,39517.0,382028.0,,,
2012-06-01,0.0,0.0,0.0,187.157,940.0,9625.0,39.555,199.0,2034.0,413.175,2074.0,21248.0,10746.288,53950.0,552650.0,7105.825,35673.0,365432.0,,,
2012-07-01,0.0,0.0,0.0,245.153,1229.0,11116.0,61.147,307.0,2773.0,37.914,190.0,1719.0,11947.695,59917.0,541739.0,7898.206,39609.0,358125.0,50.885,255.0,2307.0
2012-08-01,0.0,0.0,0.0,195.032,979.0,10553.0,37.324,187.0,2020.0,212.313,1066.0,11488.0,11359.851,57015.0,614686.0,7511.974,37702.0,406476.0,57.506,289.0,3112.0
2012-09-01,0.0,0.0,0.0,200.657,1010.0,11809.0,2.444,12.0,144.0,23.277,117.0,1370.0,8722.387,43904.0,513326.0,7049.055,35482.0,414848.0,66.18,333.0,3895.0
2012-10-01,0.0,0.0,0.0,300.63,1509.0,24296.0,20.05,101.0,1620.0,0.0,0.0,0.0,8503.69,42685.0,687234.0,6514.63,32701.0,526486.0,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,318.937,1607.0,18220.0,27.413,138.0,1566.0,0.0,0.0,0.0,9740.087,49090.0,556420.0,6852.563,34537.0,391465.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,422.428,2161.0,24504.0,19.756,101.0,1146.0,0.0,0.0,0.0,6315.189,32309.0,366329.0,4173.627,21353.0,242102.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,24.581,126.0,1448.0,30.294,155.0,1784.0,48.515,249.0,2857.0,6479.911,33212.0,381623.0,4352.699,22310.0,256345.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,578.479,2932.0,33989.0,28.509,145.0,1675.0,103.507,525.0,6082.0,8574.426,43464.0,503794.0,5257.079,26648.0,308882.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,288.3,1462.0,19257.0,0.0,0.0,0.0,0.0,0.0,0.0,9080.233,46050.0,606502.0,6404.467,32480.0,427778.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,207.06,1067.0,11744.0,19.894,103.0,1128.0,103.277,532.0,5858.0,4630.234,23859.0,262609.0,4231.535,21805.0,239997.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,483.374,2449.0,24524.0,0.0,0.0,0.0,0.0,0.0,0.0,10730.902,54363.0,544436.0,2228.724,11291.0,113075.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,856.682,4321.0,43347.0,0.0,0.0,0.0,0.0,0.0,0.0,14941.386,75363.0,756013.0,2155.932,10874.0,109087.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,786.556,3966.0,39380.0,0.0,0.0,0.0,0.0,0.0,0.0,14289.627,72044.0,715432.0,2886.817,14554.0,144533.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,191.317,961.0,9695.0,0.0,0.0,0.0,222.834,1119.0,11292.0,14863.154,74647.0,753193.0,3002.695,15080.0,152162.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,0.039,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13873.119,69635.0,679204.0,2796.842,14039.0,136929.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,140.849,708.0,7418.0,30.19,152.0,1590.0,267.046,1342.0,14064.0,15488.589,77829.0,815719.0,3085.326,15503.0,162491.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,192.297,1031.0,10156.0,18.798,101.0,993.0,182.91,981.0,9660.0,7142.318,38298.0,377210.0,8139.677,43646.0,429883.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,534.398,2696.0,31603.0,0.0,0.0,0.0,264.246,1333.0,15627.0,14049.015,70875.0,830830.0,2829.341,14274.0,167321.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,348.034,1782.0,19313.0,0.837,4.0,46.0,187.115,958.0,10383.0,9350.5,47866.0,518882.0,1186.514,6074.0,65843.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,334.647,1723.0,16415.0,19.731,102.0,968.0,306.186,1577.0,15019.0,7129.697,36716.0,349725.0,895.739,4613.0,43938.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,276.076,1408.0,14891.0,24.278,124.0,1309.0,246.176,1255.0,13278.0,9846.157,50201.0,531067.0,1319.313,6727.0,71159.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,342.733,1758.0,18347.0,10.941,56.0,586.0,208.453,1069.0,11159.0,9772.945,50138.0,523147.0,1252.928,6428.0,67069.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,269.527,1365.0,13210.0,14.012,71.0,687.0,213.633,1082.0,10470.0,17659.9,89422.0,865518.0,707.928,3585.0,34696.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,278.057,1410.0,14273.0,19.637,100.0,1008.0,216.131,1096.0,11094.0,14588.505,73978.0,748861.0,681.67,3457.0,34992.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,305.56,1550.0,14181.0,29.705,151.0,1379.0,86.805,440.0,4029.0,16280.93,82591.0,755602.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,0.0,0.0,0.0,771.002,3887.0,29414.0,35.877,181.0,1369.0,144.078,726.0,5497.0,16362.043,82484.0,624226.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,744.099,3787.0,33209.0,22.334,114.0,997.0,77.885,396.0,3476.0,16374.682,83343.0,730805.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,0.0,0.0,0.0,833.687,4232.0,36311.0,11.143,57.0,485.0,71.024,361.0,3093.0,16587.146,84201.0,722449.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,588.32,2986.0,26383.0,15.735,80.0,706.0,117.615,597.0,5274.0,16033.33,81363.0,719001.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,0.0,0.0,0.0,866.396,4418.0,38495.0,11.695,60.0,520.0,0.0,0.0,0.0,13371.909,68184.0,594130.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,0.0,0.0,0.0,1398.102,7127.0,58656.0,11.492,59.0,482.0,10.763,55.0,452.0,11774.643,60020.0,493991.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,556.092,2813.0,26322.0,0.251,1.0,12.0,0.367,2.0,17.0,13057.29,66060.0,618045.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,0.0,0.0,0.0,444.241,2246.0,22113.0,13.101,66.0,652.0,0.0,0.0,0.0,14163.275,71618.0,704999.0,1267.383,6409.0,63086.0,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0,291.679,1481.0,13367.0,28.412,144.0,1302.0,0.0,0.0,0.0,9168.265,46541.0,420164.0,3433.644,17430.0,157357.0,0.0,0.0,0.0
2015-05-01,0.0,0.0,0.0,618.457,3128.0,30326.0,22.286,113.0,1093.0,0.0,0.0,0.0,12620.824,63834.0,618868.0,5297.433,26794.0,259762.0,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0,538.438,2725.0,24444.0,18.488,94.0,839.0,0.0,0.0,0.0,13849.116,70092.0,628728.0,3338.958,16899.0,151583.0,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0,170.749,862.0,7267.0,23.197,117.0,987.0,0.0,0.0,0.0,13766.625,69522.0,585869.0,5576.429,28161.0,237317.0,0.0,0.0,0.0
2015-08-01,0.0,0.0,0.0,344.23,1739.0,15097.0,27.649,140.0,1213.0,17.425,88.0,764.0,12265.02,61961.0,537900.0,5896.676,29789.0,258607.0,0.0,0.0,0.0
2015-09-01,0.0,0.0,0.0,117.874,596.0,5097.0,30.951,156.0,1338.0,0.0,0.0,0.0,12640.532,63912.0,546538.0,6190.643,31300.0,267664.0,0.0,0.0,0.0
2015-10-01,0.0,0.0,0.0,473.487,2398.0,22477.0,24.291,123.0,1153.0,0.0,0.0,0.0,11548.771,58495.0,548243.0,4354.451,22055.0,206714.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,142.142,754.0,7809.0,16.187,86.0,889.0,0.0,0.0,0.0,11668.838,61922.0,641057.0,3796.833,20148.0,208589.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,238.524,1278.0,13423.0,0.0,0.0,0.0,0.0,0.0,0.0,10325.504,55317.0,581055.0,2967.972,15900.0,167019.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,269.324,3307.0,15646.0,19.108,235.0,1110.0,8.168,100.0,474.0,10484.482,128755.0,609070.0,3309.918,40648.0,192282.0,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,156.133,1949.0,10620.0,18.142,227.0,1234.0,6.394,80.0,435.0,8235.194,102820.0,560166.0,2772.137,34611.0,188563.0,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,243.492,2969.0,11345.0,29.439,359.0,1372.0,6.789,83.0,316.0,10258.309,125067.0,477977.0,4164.971,50778.0,194063.0,0.0,0.0,0.0
