measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2002-11-01,20.012,224.0,224.0,154.237,1569.05,1569.05,145.207,1634.0,1634.0
2002-12-01,20.976000000000003,234.0,234.0,161.667,1644.64,1644.64,152.202,1713.0,1713.0
2003-01-01,21.484,207.0,207.0,185.12800000000001,1895.9,1895.9,156.763,1521.0,1521.0
2003-02-01,20.597,199.0,199.0,177.49,1817.68,1817.68,150.295,1458.0,1458.0
2003-03-01,20.812,201.0,201.0,179.339,1836.61,1836.61,151.86100000000002,1474.0,1474.0
2003-04-01,19.026,184.0,184.0,163.952,1679.03,1679.03,138.832,1347.0,1347.0
2003-05-01,19.366,187.0,187.0,166.881,1709.03,1709.03,141.312,1371.0,1371.0
2003-06-01,20.236,195.0,195.0,174.37800000000001,1785.81,1785.81,147.66,1433.0,1433.0
2003-07-01,23.428,226.0,226.0,201.887,2067.52,2067.52,170.954,1659.0,1659.0
2003-08-01,25.07,242.0,242.0,216.03300000000002,2212.39,2212.39,182.93300000000002,1775.0,1775.0
2003-09-01,21.378,206.0,206.0,184.222,1886.62,1886.62,155.996,1514.0,1514.0
2003-10-01,20.823,201.0,201.0,179.43300000000002,1837.57,1837.57,151.94,1474.0,1474.0
2003-11-01,20.937,202.0,202.0,180.42,1847.68,1847.68,152.776,1482.0,1482.0
2003-12-01,22.842000000000002,220.0,220.0,196.836,2015.8,2015.8,166.67700000000002,1617.0,1617.0
2004-01-01,45.503,509.0,509.0,156.083,1564.26,1564.26,396.63,4476.0,4476.0
2004-02-01,17.291,194.0,194.0,156.083,1564.26,1564.26,257.918,2911.0,2911.0
2004-03-01,0.91,10.0,10.0,156.083,1564.26,1564.26,2.1670000000000003,24.0,24.0
2004-04-01,12.741000000000001,143.0,143.0,156.083,1564.26,1564.26,49.85,563.0,563.0
2004-05-01,14.561,163.0,163.0,156.083,1564.26,1564.26,8.67,98.0,98.0
2004-06-01,35.492000000000004,397.0,397.0,156.083,1564.26,1564.26,225.407,2544.0,2544.0
2004-07-01,16.381,183.0,183.0,156.083,1564.26,1564.26,208.068,2348.0,2348.0
2004-08-01,3.64,41.0,41.0,156.083,1564.26,1564.26,71.52300000000001,807.0,807.0
2004-09-01,12.741000000000001,143.0,143.0,156.083,1564.26,1564.26,225.407,2544.0,2544.0
2004-10-01,3.64,41.0,41.0,156.083,1564.26,1564.26,23.841,269.0,269.0
2004-11-01,0.0,0.0,0.0,156.083,1564.26,1564.26,0.0,0.0,0.0
2004-12-01,9.101,102.0,102.0,156.083,1564.26,1564.26,58.519000000000005,660.0,660.0
2005-01-01,62.026,691.97,691.97,135.945,1359.32,1359.32,220.657,2478.06,2478.06
2005-02-01,21.31,237.74,237.74,117.53800000000001,1175.26,1175.26,176.52700000000002,1982.46,1982.46
2005-03-01,23.62,263.5,263.5,128.758,1287.45,1287.45,244.964,2751.03,2751.03
2005-04-01,28.61,319.17,319.17,122.99,1229.78,1229.78,232.53400000000002,2611.44,2611.44
2005-05-01,26.572000000000003,296.43,296.43,111.255,1112.44,1112.44,222.358,2497.15,2497.15
2005-06-01,34.487,384.74,384.74,125.319,1253.06,1253.06,419.74800000000005,4713.91,4713.91
2005-07-01,35.104,391.62,391.62,134.514,1345.01,1345.01,552.578,6205.64,6205.64
2005-08-01,41.238,460.06,460.06,113.816,1138.04,1138.04,548.931,6164.68,6164.68
2005-09-01,26.995,301.16,301.16,94.176,941.67,941.67,332.343,3732.32,3732.32
2005-10-01,29.978,334.44,334.44,80.378,803.7,803.7,235.651,2646.44,2646.44
2005-11-01,24.1,268.86,268.86,86.02,860.12,860.12,206.529,2319.39,2319.39
2005-12-01,50.959,568.5,568.5,105.29100000000001,1052.8,1052.8,258.17900000000003,2899.44,2899.44
2006-01-01,53.473000000000006,594.0,594.0,111.075,1102.0,1102.0,122.17,1363.0,1363.0
2006-02-01,27.981,311.0,311.0,100.15700000000001,993.0,993.0,138.102,1540.0,1540.0
2006-03-01,23.504,261.0,261.0,88.24,875.0,875.0,181.98600000000002,2030.0,2030.0
2006-04-01,45.024,500.0,500.0,96.046,953.0,953.0,150.6,1680.0,1680.0
2006-05-01,42.086,467.0,467.0,113.558,1126.0,1126.0,198.37800000000001,2213.0,2213.0
2006-06-01,38.253,425.0,425.0,111.578,1107.0,1107.0,255.53400000000002,2850.0,2850.0
2006-07-01,55.41,615.0,615.0,117.005,1161.0,1161.0,457.269,5101.0,5101.0
2006-08-01,53.748000000000005,597.0,597.0,116.16,1152.0,1152.0,406.324,4532.0,4532.0
2006-09-01,24.693,274.0,274.0,75.40100000000001,748.0,748.0,239.008,2666.0,2666.0
2006-10-01,26.083000000000002,290.0,290.0,66.47200000000001,659.0,659.0,258.89300000000003,2888.0,2888.0
2006-11-01,30.714000000000002,341.0,341.0,77.86,772.0,772.0,174.05200000000002,1941.0,1941.0
2006-12-01,34.031,378.0,378.0,82.44800000000001,818.0,818.0,176.684,1971.0,1971.0
2007-01-01,45.019000000000005,493.0,493.0,130.548,1290.0,1290.0,355.081,3906.0,3906.0
2007-02-01,139.083,1531.0,1531.0,110.99600000000001,1097.0,1097.0,531.323,5844.0,5844.0
2007-03-01,26.191000000000003,290.0,290.0,135.559,1340.0,1340.0,400.338,4403.0,4403.0
2007-04-01,25.604000000000003,284.0,284.0,144.436,1428.0,1428.0,321.34700000000004,3534.0,3534.0
2007-05-01,28.127000000000002,307.0,307.0,136.049,1345.0,1345.0,273.28200000000004,3006.0,3006.0
2007-06-01,40.693000000000005,447.0,447.0,115.35300000000001,1140.0,1140.0,381.538,4196.0,4196.0
2007-07-01,36.793,406.0,406.0,89.156,881.0,881.0,424.892,4674.0,4674.0
2007-08-01,73.302,806.0,806.0,88.557,875.0,875.0,615.6370000000001,6771.0,6771.0
2007-09-01,35.342,389.0,389.0,74.233,734.0,734.0,237.834,2616.0,2616.0
2007-10-01,23.099,255.0,255.0,127.552,1261.0,1261.0,348.37600000000003,3832.0,3832.0
2007-11-01,24.627000000000002,273.0,273.0,92.914,918.0,918.0,225.39800000000002,2479.0,2479.0
2007-12-01,25.762,284.0,284.0,100.64800000000001,995.0,995.0,305.312,3358.0,3358.0
2008-01-01,9.19,104.0,104.0,140.776,1387.0,1387.0,39.272,434.0,434.0
2008-02-01,8.943,99.0,99.0,67.99900000000001,670.0,670.0,43.409,480.0,480.0
2008-03-01,5.401000000000001,58.0,58.0,34.137,336.0,336.0,41.295,457.0,457.0
2008-04-01,5.747,64.0,64.0,112.129,1105.0,1105.0,19.926000000000002,220.0,220.0
2008-05-01,3.1670000000000003,35.0,35.0,110.62400000000001,1090.0,1090.0,12.931000000000001,143.0,143.0
2008-06-01,9.857000000000001,110.0,110.0,141.244,1392.0,1392.0,22.36,248.0,248.0
2008-07-01,5.272,58.0,58.0,167.196,1648.0,1648.0,43.307,479.0,479.0
2008-08-01,2.615,29.0,29.0,128.626,1267.0,1267.0,37.289,412.0,412.0
2008-09-01,3.6990000000000003,41.0,41.0,100.48,990.0,990.0,22.651,251.0,251.0
2008-10-01,1.653,17.0,17.0,93.528,922.0,922.0,39.235,435.0,435.0
2008-11-01,2.3080000000000003,23.0,23.0,141.985,1399.0,1399.0,15.479000000000001,171.0,171.0
2008-12-01,6.631,75.0,75.0,127.27600000000001,1254.0,1254.0,25.363,281.0,281.0
2009-01-01,5.093,64.0,64.0,97.308,950.0,950.0,43.855,487.0,487.0
2009-02-01,5.191,58.0,58.0,66.225,646.0,646.0,33.305,368.0,368.0
2009-03-01,5.722,64.0,64.0,89.77900000000001,876.0,876.0,32.319,357.0,357.0
2009-04-01,4.339,46.0,46.0,88.82900000000001,867.0,867.0,39.722,440.0,440.0
2009-05-01,8.383000000000001,93.0,93.0,93.453,912.0,912.0,20.59,227.0,227.0
2009-06-01,5.933000000000001,64.0,64.0,114.06700000000001,1113.0,1113.0,35.772,396.0,396.0
2009-07-01,4.405,46.0,46.0,119.646,1168.0,1168.0,18.806,208.0,208.0
2009-08-01,6.0280000000000005,64.0,64.0,114.245,1115.0,1115.0,40.013000000000005,443.0,443.0
2009-09-01,2.6180000000000003,29.0,29.0,92.452,902.0,902.0,34.988,387.0,387.0
2009-10-01,3.56,41.0,41.0,111.365,1087.0,1087.0,26.321,291.0,291.0
2009-11-01,4.2410000000000005,46.0,46.0,114.208,1115.0,1115.0,25.648,284.0,284.0
2009-12-01,5.838,64.0,64.0,82.423,804.0,804.0,34.31,379.0,379.0
2010-01-01,7.723000000000001,87.0,87.0,96.27,939.0,939.0,35.623000000000005,388.0,388.0
2010-02-01,4.955,52.0,52.0,74.19800000000001,724.0,724.0,30.489,333.0,333.0
2010-03-01,2.998,35.0,35.0,61.882000000000005,604.0,604.0,21.601000000000003,236.0,236.0
2010-04-01,2.6790000000000003,29.0,29.0,134.427,1311.0,1311.0,10.919,119.0,119.0
2010-05-01,3.2880000000000003,35.0,35.0,100.00500000000001,976.0,976.0,18.44,201.0,201.0
2010-06-01,2.36,23.0,23.0,136.77200000000002,1334.0,1334.0,28.484,310.0,310.0
2010-07-01,3.5700000000000003,41.0,41.0,146.072,1425.0,1425.0,50.764,554.0,554.0
2010-08-01,9.982000000000001,110.0,110.0,128.862,1257.0,1257.0,50.647000000000006,552.0,552.0
2010-09-01,8.786,99.0,99.0,71.507,698.0,698.0,14.877,162.0,162.0
2010-10-01,4.439,46.0,46.0,109.202,1065.0,1065.0,11.753,129.0,129.0
2010-11-01,2.7520000000000002,29.0,29.0,138.808,1354.0,1354.0,9.547,104.0,104.0
2010-12-01,6.588,70.0,70.0,102.995,1005.0,1005.0,13.736,150.0,150.0
2011-01-01,2.243,35.0,35.0,154.658,1503.0,1503.0,11.086,135.0,135.0
2011-02-01,3.445,41.0,41.0,107.727,1047.0,1047.0,11.343,137.0,137.0
2011-03-01,4.057,46.0,46.0,36.558,355.0,355.0,16.1,194.0,194.0
2011-04-01,6.706,81.0,81.0,50.721,493.0,493.0,10.266,123.0,123.0
2011-05-01,4.949,58.0,58.0,58.71,570.0,570.0,16.988,205.0,205.0
2011-06-01,6.862,81.0,81.0,196.295,1907.0,1907.0,13.544,163.0,163.0
2011-07-01,9.055,110.0,110.0,204.489,1987.0,1987.0,30.712,370.0,370.0
2011-08-01,7.156,87.0,87.0,183.836,1786.0,1786.0,21.615,260.0,260.0
2011-09-01,3.054,35.0,35.0,164.156,1595.0,1595.0,5.986,72.0,72.0
2011-10-01,1.954,23.0,23.0,166.98,1622.0,1622.0,13.461,162.0,162.0
2011-11-01,4.976,58.0,58.0,124.034,1205.0,1205.0,15.207,184.0,184.0
2011-12-01,7.118,87.0,87.0,71.836,698.0,698.0,18.117,218.0,218.0
