measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2011-04-01,23167.316,271928.0,271928.0,,,,0.0,0.0,0.0,,,,2146.684,25197.0,25197.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,19830.65,245239.0,255394.0,,,,112.589,1392.0,1450.0,,,,710.761,8790.0,9154.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,25023.943,299928.0,303751.0,,,,0.0,0.0,0.0,,,,343.057,4112.0,4164.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,24646.927,286550.0,286550.0,,,,36.77,428.0,428.0,,,,229.324,2666.0,2666.0,462.979,5383.0,5383.0,0.0,0.0,0.0
2011-08-01,21690.326,267374.0,268934.0,,,,78.435,967.0,973.0,,,,83.395,1028.0,1034.0,139.844,1724.0,1734.0,0.0,0.0,0.0
2011-09-01,15565.71,197937.0,208607.0,,,,126.29,1606.0,1693.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,19779.074,216205.0,247975.0,,,,57.03,623.0,715.0,,,,7.896,86.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,62.22,786.0,14596.0,,,,1.78,22.0,418.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,280.189,3609.0,14856.0,,,,22.208,286.0,1178.0,,,,0.0,0.0,0.0,42.603,549.0,2259.0,0.0,0.0,0.0
2012-05-01,16600.287,217517.0,217517.0,,,,294.394,3858.0,3858.0,,,,0.0,0.0,0.0,2927.319,38357.0,38357.0,0.0,0.0,0.0
2012-06-01,17456.152,219324.0,219324.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2368.848,29763.0,29763.0,0.0,0.0,0.0
2012-07-01,18654.847,233243.0,240182.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1420.153,17756.0,18285.0,0.0,0.0,0.0
2012-08-01,18446.167,234439.0,234439.0,,,,44.455,565.0,565.0,,,,0.0,0.0,0.0,1162.378,14773.0,14773.0,0.0,0.0,0.0
2012-09-01,17933.741,222137.0,222137.0,,,,45.816,568.0,568.0,,,,0.0,0.0,0.0,1532.443,18982.0,18982.0,0.0,0.0,0.0
2012-10-01,15797.777,203445.0,203445.0,,,,207.911,2678.0,2678.0,,,,110.758,1426.0,1426.0,2107.554,27141.0,27141.0,0.0,0.0,0.0
2012-11-01,43.0,542.0,863.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,101.009,1179.0,3097.0,,,,102.991,1202.0,3158.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,16602.691,214619.0,214619.0,,,,327.422,4233.0,4233.0,,,,0.0,0.0,0.0,2747.887,35521.0,35521.0,0.0,0.0,0.0
2013-06-01,15887.088,206010.0,207613.0,,,,63.896,829.0,835.0,,,,0.0,0.0,0.0,3053.016,39589.0,39897.0,0.0,0.0,0.0
2013-07-01,15857.535,201030.0,201030.0,,,,331.697,4205.0,4205.0,,,,0.0,0.0,0.0,1601.768,20306.0,20306.0,0.0,0.0,0.0
2013-08-01,14913.241,190169.0,190169.0,,,,347.405,4430.0,4430.0,,,,0.0,0.0,0.0,2866.354,36551.0,36551.0,0.0,0.0,0.0
2013-09-01,15099.472,195609.0,195609.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2790.528,36150.0,36150.0,0.0,0.0,0.0
2013-10-01,17818.716,218734.0,218734.0,,,,8.35,103.0,103.0,,,,0.0,0.0,0.0,931.934,11440.0,11440.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,44.0,1191.0,3163.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,17180.187,225133.0,225133.0,,,,63.338,830.0,830.0,,,,0.0,0.0,0.0,2153.475,28220.0,28220.0,0.0,0.0,0.0
2014-06-01,16410.105,211668.0,213948.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,3064.895,39533.0,39959.0,0.0,0.0,0.0
2014-07-01,18251.139,234713.0,234713.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1704.861,21925.0,21925.0,0.0,0.0,0.0
2014-08-01,14393.617,174790.0,174790.0,,,,66.496,808.0,808.0,,,,0.0,0.0,0.0,2528.887,30710.0,30710.0,0.0,0.0,0.0
2014-09-01,15104.797,192448.0,192448.0,,,,194.453,2478.0,2478.0,,,,0.0,0.0,0.0,1947.75,24816.0,24816.0,0.0,0.0,0.0
2014-10-01,22078.884,268275.0,268275.0,,,,101.228,1230.0,1230.0,,,,0.0,0.0,0.0,20.888,254.0,254.0,0.0,0.0,0.0
2014-11-01,405.247,4486.0,10550.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
