measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-02-01,,,,10.0,205.0,205.0,0.0,0.0,0.0,,,,1872.0,23004.0,23004.0,26638.0,318340.0,318340.0,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,10107.0,122764.0,122764.0,0.0,0.0,0.0
2004-04-01,,,,24.0,277.0,277.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,8153.0,93697.0,93697.0,0.0,0.0,0.0
2004-05-01,,,,16.0,141.0,141.0,19.0,270.0,270.0,,,,0.0,0.0,0.0,2916.0,26244.0,26244.0,0.0,0.0,0.0
2004-06-01,,,,43.0,483.0,483.0,25.0,343.0,343.0,,,,2314.0,25822.0,25822.0,37197.0,415090.0,415090.0,0.0,0.0,0.0
2004-07-01,,,,46.0,518.0,518.0,0.0,0.0,0.0,,,,865.0,9650.0,9650.0,48066.0,536148.0,536148.0,0.0,0.0,0.0
2004-08-01,,,,57.0,624.0,624.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,65830.0,718918.0,718918.0,0.0,0.0,0.0
2004-09-01,,,,40.0,459.0,459.0,63.0,946.0,946.0,,,,475.0,5471.0,5471.0,32039.0,369124.0,369124.0,0.0,0.0,0.0
2004-10-01,,,,6.0,65.0,65.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3223.0,36397.0,36397.0,0.0,0.0,0.0
2004-11-01,,,,28.0,357.0,357.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,17450.0,219167.0,219167.0,0.0,0.0,0.0
2004-12-01,,,,86.0,954.0,954.0,63.0,831.0,831.0,,,,0.0,0.0,0.0,59791.0,666240.0,666240.0,0.0,0.0,0.0
2005-01-01,,,,87.0,947.86,947.86,220.0,2832.48,2832.48,,,,0.0,0.0,0.0,173986.0,1890905.44,1890905.44,,,
2005-02-01,,,,30.0,356.61,356.61,0.0,0.0,0.0,,,,0.0,0.0,0.0,25869.0,302886.68,302886.68,,,
2005-03-01,,,,54.0,596.29,596.29,59.0,733.99,733.99,,,,3337.0,36900.06,36900.06,42831.0,473670.43,473670.43,,,
2005-04-01,,,,69.0,853.52,853.52,0.0,0.0,0.0,,,,172.0,2118.71,2118.71,76631.0,945807.1,945807.1,,,
2005-05-01,,,,9.0,327.15,327.15,0.0,0.0,0.0,,,,0.0,0.0,0.0,1983.0,73835.6,73835.6,,,
2005-06-01,,,,108.0,1180.08,1180.08,0.0,0.0,0.0,,,,0.0,0.0,0.0,106536.0,1164122.48,1164122.48,,,
2005-07-01,,,,90.0,1027.84,1027.84,0.0,0.0,0.0,,,,38558.0,440018.15,440018.15,122378.0,1392143.84,1392143.84,,,
2005-08-01,,,,69.0,776.99,776.99,57.0,811.13,811.13,,,,31531.0,354598.92,354598.92,138887.0,1561942.8,1561942.8,,,
2005-09-01,,,,79.0,845.93,845.93,45.0,672.36,672.36,,,,4827.0,51831.66,51831.66,69079.0,741727.0,741727.0,,,
2005-10-01,,,,21.0,227.18,227.18,68.0,924.0,924.0,,,,23829.0,262660.48,262660.48,16384.0,180601.31,180601.31,,,
2005-11-01,,,,59.0,733.95,733.95,0.0,0.0,0.0,,,,9702.0,119854.08,119854.08,4140.0,51148.02,51148.02,,,
2005-12-01,,,,61.0,728.75,728.75,0.0,0.0,0.0,,,,11202.0,129179.57,129179.57,35217.0,423857.3,423857.3,,,
2006-01-01,,,,16.0,203.0,203.0,74.0,967.0,967.0,,,,0.0,0.0,0.0,5531.0,69615.0,69615.0,,,
2006-02-01,,,,9.0,139.0,139.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,5076.0,85277.0,85277.0,,,
2006-03-01,,,,23.0,267.0,267.0,0.0,0.0,0.0,,,,1143.0,13426.0,13426.0,11939.0,140244.0,140244.0,,,
2006-04-01,,,,0.0,52.0,52.0,53.0,698.0,698.0,,,,0.0,0.0,0.0,0.0,14203.0,14203.0,,,
2006-05-01,,,,16.0,197.0,197.0,0.0,0.0,0.0,,,,1649.0,20461.0,20461.0,6189.0,77729.0,77729.0,,,
2006-06-01,,,,55.0,643.0,643.0,159.0,2302.0,2302.0,,,,38948.0,446482.0,446482.0,6750.0,86345.0,86345.0,,,
2006-07-01,,,,83.0,1067.0,1067.0,18.0,253.0,253.0,,,,94604.0,1132613.0,1132613.0,35452.0,464650.0,464650.0,,,
2006-08-01,,,,55.0,628.0,628.0,19.0,298.0,298.0,,,,34889.0,390601.0,390601.0,41339.0,500320.0,500320.0,,,
2006-09-01,,,,34.0,409.0,409.0,62.0,872.0,872.0,,,,34644.0,399873.0,399873.0,11436.0,147621.0,147621.0,,,
2006-10-01,,,,65.0,761.0,761.0,53.0,720.0,720.0,,,,49695.0,552910.0,552910.0,41579.0,481569.0,481569.0,,,
2006-11-01,,,,54.0,634.0,634.0,96.0,1271.0,1271.0,,,,23566.0,255616.0,255616.0,51836.0,620185.0,620185.0,,,
2006-12-01,,,,43.0,492.0,492.0,0.0,0.0,0.0,,,,3035.0,34550.0,34550.0,10509.0,119645.0,119645.0,,,
2007-01-01,,,,79.016,898.0,898.0,17.0,386.0,386.0,,,,0.0,0.0,0.0,68198.984,774859.0,774859.0,,,
2007-02-01,,,,63.854000000000006,712.0,712.0,48.0,661.0,661.0,,,,0.0,0.0,0.0,52437.146,585038.0,585038.0,,,
2007-03-01,,,,36.052,394.0,394.0,265.0,3412.0,3412.0,,,,7663.807000000001,83840.0,83840.0,65189.14,713151.0,713151.0,,,
2007-04-01,,,,59.908,667.0,667.0,233.0,3022.0,3022.0,,,,4076.025,45350.0,45350.0,27246.067,303142.0,303142.0,,,
2007-05-01,,,,5.99,88.0,88.0,201.0,2679.0,2679.0,,,,2964.6710000000003,43340.0,43340.0,992.339,14507.0,14507.0,,,
2007-06-01,,,,51.903000000000006,618.0,618.0,371.0,5142.0,5142.0,,,,17600.999,209709.0,209709.0,18883.097,224985.0,224985.0,,,
2007-07-01,,,,9.367,105.0,105.0,145.0,2283.0,2283.0,,,,19092.552,213903.0,213903.0,1091.082,12224.0,12224.0,,,
2007-08-01,,,,50.165,631.0,631.0,393.0,5646.0,5646.0,,,,33238.056,418326.0,418326.0,10558.778,132890.0,132890.0,,,
2007-09-01,,,,32.623000000000005,386.0,386.0,357.0,4985.0,4985.0,,,,60380.566,714124.0,714124.0,5618.811000000001,66454.0,66454.0,,,
2007-10-01,,,,9.914,111.0,111.0,0.0,0.0,0.0,,,,32873.642,368315.0,368315.0,942.4440000000001,10559.0,10559.0,,,
2007-11-01,,,,39.355,409.0,409.0,0.0,0.0,0.0,,,,13999.4,145594.0,145594.0,1445.245,15031.0,15031.0,,,
2007-12-01,,,,81.18,1000.0,1000.0,155.0,1993.0,1993.0,,,,618.25,7613.0,7613.0,52898.569,651400.0,651400.0,,,
2008-01-01,,,,0.0,0.0,0.0,59.0,775.0,775.0,,,,0.0,0.0,0.0,4116.0,53391.0,53391.0,,,
2008-02-01,,,,0.0,0.0,0.0,84.0,1142.0,1142.0,,,,0.0,0.0,0.0,13520.0,194127.0,194127.0,,,
2008-03-01,,,,0.0,0.0,0.0,27.0,320.0,320.0,,,,17117.352,205909.0,205909.0,7015.648,84393.0,84393.0,,,
2008-04-01,,,,0.0,0.0,0.0,72.0,1371.0,1371.0,,,,1905.23,21701.0,21701.0,135.77,1546.0,1546.0,,,
2008-05-01,,,,0.0,0.0,0.0,58.0,765.0,765.0,,,,9329.772,111820.0,111820.0,6194.228,74239.0,74239.0,,,
2008-06-01,,,,0.0,0.0,0.0,26.0,338.0,338.0,,,,13686.525,170038.0,170038.0,9255.475,114988.0,114988.0,,,
2008-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,20392.89,242670.0,242670.0,10142.11,120688.0,120688.0,,,
2008-08-01,,,,0.0,0.0,0.0,78.0,1098.0,1098.0,,,,1067.0,11947.0,11947.0,0.0,0.0,0.0,,,
2008-09-01,,,,0.0,0.0,0.0,15.0,208.0,208.0,,,,2399.661,30276.0,30276.0,3655.3390000000004,46119.0,46119.0,,,
2008-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2713.0,33883.0,33883.0,0.0,0.0,0.0,,,
2008-11-01,,,,0.0,0.0,0.0,111.0,1481.0,1481.0,,,,0.0,0.0,0.0,4296.0,50235.0,50235.0,,,
2008-12-01,,,,0.0,0.0,0.0,90.0,1160.0,1160.0,,,,0.0,0.0,0.0,31520.0,371641.0,371641.0,,,
2009-01-01,,,,0.0,0.0,0.0,70.0,941.0,941.0,,,,0.0,0.0,0.0,31513.0,358501.0,358501.0,,,
2009-02-01,0.0,0.0,0.0,,,,120.0,1553.0,1553.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-03-01,,,,0.0,0.0,0.0,24.0,332.0,332.0,,,,9.005,97.0,97.0,813.995,8733.0,8733.0,,,
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,,,,0.0,0.0,0.0,26.0,366.0,366.0,,,,26.014000000000003,1094.0,1094.0,75.986,3196.0,3196.0,,,
2009-06-01,,,,0.0,0.0,0.0,47.0,631.0,631.0,,,,1408.6860000000001,17486.0,17486.0,1088.314,13509.0,13509.0,,,
2009-07-01,,,,0.0,0.0,0.0,89.0,1318.0,1318.0,,,,17794.209000000003,207409.0,207409.0,9528.791000000001,111067.0,111067.0,,,
2009-08-01,,,,0.0,0.0,0.0,142.0,2022.0,2022.0,,,,45335.208,539805.0,539805.0,9186.792000000001,109387.0,109387.0,,,
2009-09-01,,,,0.0,0.0,0.0,43.0,610.0,610.0,,,,2522.0,30073.0,30073.0,0.0,0.0,0.0,,,
2009-10-01,,,,0.0,0.0,0.0,286.0,4427.0,4427.0,,,,6207.142000000001,73804.0,73804.0,620.8580000000001,7382.0,7382.0,,,
2009-11-01,,,,0.0,0.0,0.0,235.0,2602.0,2602.0,,,,16953.776,197654.0,197654.0,1045.2240000000002,12186.0,12186.0,,,
2009-12-01,,,,0.0,0.0,0.0,564.0,7074.0,7074.0,,,,23.107000000000003,286.0,286.0,6192.893,76694.0,76694.0,,,
2010-01-01,0.0,0.0,0.0,,,,7.0,107.0,107.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,,,,0.0,0.0,0.0,161.0,2044.0,2044.0,,,,419.187,5234.0,5234.0,2745.813,34287.0,34287.0,,,
2010-03-01,,,,0.0,0.0,0.0,88.0,1149.0,1149.0,,,,0.0,0.0,0.0,4149.0,59513.0,59513.0,,,
2010-04-01,,,,0.0,0.0,0.0,17.0,242.0,242.0,,,,0.0,0.0,0.0,976.0,17672.0,17672.0,,,
2010-05-01,,,,0.0,0.0,0.0,637.0,9518.0,9518.0,,,,35663.567,437209.0,437209.0,9972.433,122255.0,122255.0,,,
2010-06-01,,,,0.0,0.0,0.0,187.0,1958.0,1958.0,,,,19344.725,240838.0,240838.0,3427.275,42669.0,42669.0,,,
2010-07-01,,,,0.0,0.0,0.0,89.0,1265.0,1265.0,,,,83698.623,1014755.0,1014755.0,28407.377,344409.0,344409.0,,,
2010-08-01,,,,0.0,0.0,0.0,219.0,3036.0,3036.0,,,,54601.327,660124.0,660124.0,13400.673,162013.0,162013.0,,,
2010-09-01,,,,0.0,0.0,0.0,176.0,1867.0,1867.0,,,,33002.340000000004,404249.0,404249.0,8316.66,101872.0,101872.0,,,
2010-10-01,,,,0.0,0.0,0.0,61.0,874.0,874.0,,,,7787.0,119278.0,119278.0,0.0,0.0,0.0,,,
2010-11-01,,,,0.0,0.0,0.0,14.0,244.0,244.0,,,,1557.7730000000001,18324.0,18324.0,1925.227,22646.0,22646.0,,,
2010-12-01,,,,0.0,0.0,0.0,6.0,136.0,136.0,,,,0.0,0.0,0.0,3394.0,36460.0,36460.0,,,
2011-01-01,,,,0.0,0.0,0.0,57.0,772.0,772.0,,,,0.0,0.0,0.0,5317.0,63984.0,63984.0,,,
2011-02-01,0.0,0.0,0.0,,,,0.0,5458.0,5458.0,,,,0.0,0.0,0.0,0.0,7230.0,7230.0,,,
2011-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,4983.0,69730.0,69730.0,,,
2011-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,10.078,3274.0,3274.0,12.922,4198.0,4198.0,,,
2011-06-01,,,,0.0,0.0,0.0,115.0,1617.0,1617.0,,,,3678.488,52749.0,52749.0,5312.512,76180.0,76180.0,,,
2011-07-01,,,,0.0,0.0,0.0,35.0,533.0,533.0,,,,14480.435,176739.0,176739.0,6401.565,78133.0,78133.0,,,
2011-08-01,,,,0.0,0.0,0.0,7.0,131.0,131.0,,,,6457.08,74325.0,74325.0,209.92,2416.0,2416.0,,,
2011-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,32881.685,385785.0,385785.0,3170.315,37196.0,37196.0,,,
2011-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,11993.0,137035.0,137035.0,0.0,0.0,0.0,,,
2011-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1777.256,26510.0,26510.0,4226.744,63048.0,63048.0,,,
2011-12-01,,,,0.0,0.0,0.0,2.0,102.0,102.0,,,,709.0,8653.0,8653.0,0.0,0.0,0.0,,,
2012-01-01,,,,0.0,0.0,0.0,10.0,119.0,119.0,,,,1982.0,17035.0,17035.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,,,,31.0,488.0,488.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,,,,36.0,437.0,437.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,402.0,402.0,0.0,0.0,0.0,,,
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,3172.111,42797.0,42797.0,231.889,3129.0,3129.0,,,
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,18196.231,217238.0,217238.0,9851.769,117617.0,117617.0,,,
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,60520.343,727681.0,727681.0,10739.657,129131.0,129131.0,,,
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,39801.491,438243.0,438243.0,4378.509,48211.0,48211.0,,,
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,15859.0,183822.0,183822.0,0.0,0.0,0.0,,,
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,12474.0,143450.0,143450.0,0.0,0.0,0.0,,,
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1589.815,9311.0,9311.0,1209.185,7082.0,7082.0,,,
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,12590.0,157070.0,157070.0,,,
2013-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9854.0,132047.0,132047.0,,,
2013-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,196.0,2320.0,2320.0,0.0,0.0,0.0,,,
2013-04-01,,,,0.0,0.0,0.0,11.0,907.0,907.0,,,,1538.941,21305.0,21305.0,732.059,10135.0,10135.0,,,
2013-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1874.0,19373.0,19373.0,0.0,0.0,0.0,,,
2013-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,13474.696,172588.0,172588.0,1082.304,13862.0,13862.0,,,
2013-07-01,,,,31.298,358.0,358.0,8.0,670.0,670.0,,,,31535.33,360766.0,360766.0,20720.372,237042.0,237042.0,,,
2013-08-01,,,,7.358,81.0,81.0,-13.0,349.0,349.0,,,,2629.143,28914.0,28914.0,53.499,588.0,588.0,,,
2013-09-01,,,,4.865,58.0,58.0,-29.0,158.0,158.0,,,,9863.135,117002.0,117002.0,0.0,0.0,0.0,,,
2013-10-01,,,,0.0,0.0,0.0,-8.0,581.0,581.0,,,,926.0,9968.0,9968.0,0.0,0.0,0.0,,,
2013-11-01,,,,3.649,40.0,40.0,-4.0,722.0,722.0,,,,1097.925,12185.0,12185.0,43.426,482.0,482.0,,,
2013-12-01,,,,7.646,278.0,278.0,10.0,1048.0,1048.0,,,,0.0,0.0,0.0,306.354,11154.0,11154.0,,,
2014-01-01,,,,75.587,847.0,847.0,231.0,3802.0,3802.0,,,,14291.991,160085.0,160085.0,92058.422,1031147.0,1031147.0,,,
2014-02-01,,,,0.0,64.0,64.0,-23.0,524.0,524.0,,,,0.0,0.0,0.0,0.0,2363.0,2363.0,,,
2014-03-01,,,,0.0,0.0,0.0,135.0,3063.0,3063.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,,,,3.304,51.0,51.0,0.0,0.0,0.0,,,,1433.604,22213.0,22213.0,37.092,575.0,575.0,,,
2014-05-01,,,,16.396,145.0,145.0,0.0,0.0,0.0,,,,4654.604,41214.0,41214.0,0.0,0.0,0.0,,,
2014-06-01,,,,2.629,29.0,29.0,-13.0,314.0,314.0,,,,10193.371,112029.0,112029.0,0.0,0.0,0.0,,,
2014-07-01,,,,19.508,225.0,225.0,-34.0,0.0,0.0,,,,47611.814,550061.0,550061.0,3149.678,36388.0,36388.0,,,
2014-08-01,,,,30.224,353.0,353.0,0.0,0.0,0.0,,,,21052.104,245541.0,245541.0,3146.672,36701.0,36701.0,,,
2014-09-01,,,,1.955,23.0,23.0,5.0,491.0,491.0,,,,27988.045,330883.0,330883.0,0.0,0.0,0.0,,,
2014-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,8240.475,87851.0,87851.0,3.525,38.0,38.0,,,
2014-11-01,,,,6.156,133.0,133.0,3.0,89.0,89.0,,,,288.907,6237.0,6237.0,230.937,4985.0,4985.0,,,
2014-12-01,,,,0.0,0.0,0.0,94.0,1198.0,1198.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-01-01,,,,2.713,35.0,35.0,0.0,0.0,0.0,,,,10.224,131.0,131.0,388.063,4960.0,4960.0,,,
2015-02-01,,,,70.21,711.0,711.0,88.0,1142.0,1142.0,,,,21.323,216.0,216.0,75549.467,764875.0,764875.0,,,
2015-03-01,,,,3.718,46.0,46.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,246.282,3063.0,3063.0,,,
2015-04-01,,,,0.468,6.0,6.0,7.0,101.0,101.0,,,,3649.532,45057.0,45057.0,0.0,0.0,0.0,,,
2015-05-01,,,,21.417,248.0,248.0,80.0,1152.0,1152.0,,,,50648.103,587545.0,587545.0,1109.48,12871.0,12871.0,,,
2015-06-01,,,,8.653,98.0,98.0,17.0,263.0,263.0,,,,44752.347,508028.0,508028.0,0.0,0.0,0.0,,,
2015-07-01,,,,35.868,428.0,428.0,41.0,594.0,594.0,,,,100386.86,1196881.0,1196881.0,7046.277,84011.0,84011.0,,,
2015-08-01,,,,9.731,116.0,116.0,136.0,1977.0,1977.0,,,,89929.269,1067968.0,1067968.0,0.0,0.0,0.0,,,
2015-09-01,,,,9.934,121.0,121.0,82.0,1310.0,1310.0,,,,39945.806,487909.0,487909.0,1389.26,16969.0,16969.0,,,
2015-10-01,,,,2.137,23.0,23.0,5.0,45.0,45.0,,,,7536.863,81512.0,81512.0,0.0,0.0,0.0,,,
2015-11-01,,,,0.0,0.0,0.0,43.0,633.0,633.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-01-01,,,,0.0,0.0,0.0,45.0,683.0,683.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-02-01,,,,8.117,98.0,98.0,0.0,0.0,0.0,,,,51.54,623.0,623.0,680.343,8229.0,8229.0,,,
2016-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,11466.0,133380.0,133380.0,0.0,0.0,0.0,,,
2016-04-01,,,,5.275,64.0,64.0,0.0,0.0,0.0,,,,31549.725,379918.0,379918.0,0.0,0.0,0.0,,,
2016-05-01,,,,3.22,35.0,35.0,87.0,1155.0,1155.0,,,,32610.78,350951.0,350951.0,0.0,0.0,0.0,,,
2016-06-01,,,,6.272,75.0,75.0,20.0,319.0,319.0,,,,3783.773,45292.0,45292.0,48.955,586.0,586.0,,,
2016-07-01,,,,4.507,52.0,52.0,79.0,1176.0,1176.0,,,,84808.493,986956.0,986956.0,0.0,0.0,0.0,,,
2016-08-01,,,,21.616,244.0,244.0,103.0,1222.0,1222.0,,,,48039.966,542228.0,542228.0,5826.418,65763.0,65763.0,,,
2016-09-01,,,,10.295,110.0,110.0,6.0,116.0,116.0,,,,18267.852,194634.0,194634.0,50.853,542.0,542.0,,,
2016-10-01,,,,4.518,52.0,52.0,26.0,401.0,401.0,,,,14862.482,171025.0,171025.0,0.0,0.0,0.0,,,
2016-11-01,,,,0.0,0.0,0.0,48.0,655.0,655.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-12-01,,,,11.856,115.0,115.0,19.0,259.0,259.0,,,,152.791,1488.0,1488.0,4072.353,39652.0,39652.0,,,
2017-01-01,,,,0.0,0.0,0.0,9.055,130.0,130.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-02-01,,,,14.897,183.0,183.0,16.416,244.0,244.0,,,,2505.022,30850.0,30850.0,3516.081,43301.0,43301.0,,,
2017-03-01,,,,0.0,0.0,0.0,105.724,1576.0,1576.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-04-01,,,,11.935,147.0,147.0,18.614,278.0,278.0,,,,3895.163,48113.0,48113.0,103.902,1283.0,1283.0,,,
