measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2023-12-01,35641.576,157107.0,846706.0,0.0,0.0,0.0,7823.424,34485.0,185854.0
2024-01-01,36965.777,162761.0,793114.0,0.0,0.0,0.0,9140.223,40245.0,196107.0
2024-02-01,34993.06,154090.0,723075.0,0.0,0.0,0.0,9069.94,39939.0,187416.0
2024-03-01,30279.856,133489.0,750999.0,0.0,0.0,0.0,5585.144,24622.0,138522.0
2024-04-01,35578.619,156799.0,849968.0,0.0,0.0,0.0,6623.381,29190.0,158232.0
2024-05-01,25571.803,113390.0,717630.0,0.0,0.0,0.0,2802.197,12425.0,78639.0
2024-06-01,20040.449,89404.0,636667.0,0.0,0.0,0.0,1528.551,6819.0,48561.0
2024-07-01,21359.541,94073.0,692412.0,0.0,0.0,0.0,1472.459,6485.0,47733.0
2024-08-01,29994.102,132215.0,789227.0,0.0,0.0,0.0,4313.898,19016.0,113510.0
2024-09-01,25095.827,110335.0,658319.0,0.0,0.0,0.0,6230.173,27391.0,163431.0
2024-10-01,30745.128,135511.0,716303.0,0.0,0.0,0.0,9818.872,43277.0,228761.0
2024-11-01,33528.981,147880.0,789923.0,0.0,0.0,0.0,7979.019,35192.0,187981.0
2024-12-01,34244.5,151160.0,819648.0,0.0,0.0,0.0,7754.5,34229.0,185605.0
