measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2007-09-01,,,,9113.94,90082.0,90082.0,,,,1117.44,6455.0,55486.0
2007-10-01,,,,7822.98,77322.0,77322.0,,,,995.22,5749.0,102795.0
2007-11-01,,,,16433.01,162424.0,162424.0,,,,1571.4,9076.0,142777.0
2007-12-01,,,,15582.6,154018.0,154018.0,,,,1600.5,9249.0,139780.0
2008-01-01,,,,14829.210000000001,146127.0,146127.0,,,,1571.4,9080.0,141530.0
2008-02-01,,,,14639.130000000001,144254.0,144254.0,,,,1455.0,8407.0,120445.0
2008-03-01,,,,15277.68,150546.0,150546.0,,,,1571.4,9080.0,141530.0
2008-04-01,,,,13862.970000000001,136606.0,136606.0,,,,1403.59,8110.0,120445.0
2008-05-01,,,,14362.92,141532.0,141532.0,,,,1117.44,6457.0,103211.0
2008-06-01,,,,13536.27,133386.0,133386.0,,,,966.12,5582.0,91803.0
2008-07-01,,,,13602.6,134040.0,134040.0,,,,948.66,5481.0,90288.0
2008-08-01,,,,14589.630000000001,143766.0,143766.0,,,,104.76,605.0,83444.0
2008-09-01,,,,12075.03,118987.0,118987.0,,,,646.02,3733.0,85203.0
2008-10-01,,,,9919.800000000001,97750.0,97750.0,,,,686.76,3968.0,95878.0
2008-11-01,,,,14038.2,138332.0,138332.0,,,,925.38,5347.0,111690.0
2008-12-01,,,,15205.41,149834.0,149834.0,,,,1629.6000000000001,9416.0,141884.0
2009-01-01,,,,15447.96,150772.0,150772.0,,,,1740.18,10055.0,146890.0
2009-02-01,,,,15209.37,148443.0,148443.0,,,,1443.36,8340.0,125928.0
2009-03-01,,,,16746.84,163449.0,163449.0,,,,1478.28,8542.0,130482.0
2009-04-01,,,,15990.48,156067.0,156067.0,,,,1292.04,7466.0,109883.0
2009-05-01,,,,15990.48,156067.0,156067.0,,,,1292.04,7466.0,97882.0
2009-06-01,,,,12303.72,120084.0,120084.0,,,,884.64,5112.0,80990.0
2009-07-01,,,,15869.7,154888.0,154888.0,,,,896.28,5179.0,88761.0
2009-08-01,,,,15942.96,155603.0,155603.0,,,,506.34,2926.0,85785.0
2009-09-01,,,,7890.3,77009.0,77009.0,,,,1065.06,6154.0,91324.0
2009-10-01,,,,7978.41,77869.0,77869.0,,,,1123.26,6490.0,104050.0
2009-11-01,,,,11187.0,109185.0,109185.0,,,,1076.7,6221.0,110667.0
2009-12-01,,,,16345.89,159536.0,159536.0,,,,1094.16,6322.0,127533.0
2010-01-01,,,,16345.890000000001,159471.0,159471.0,,,,1094.16,6322.0,126955.0
2010-02-01,,,,14237.19,138898.0,138898.0,,,,884.64,5112.0,113399.0
2010-03-01,,,,16158.78,157645.0,157645.0,,,,1024.32,5919.0,118101.0
2010-04-01,,,,15757.83,153733.0,153733.0,,,,1024.32,5919.0,108602.0
2010-05-01,,,,13642.2,133093.0,133093.0,,,,1041.78,6020.0,97797.0
2010-06-01,,,,8717.94,85052.0,85052.0,,,,954.48,5515.0,89443.0
2010-07-01,,,,9386.19,91572.0,91572.0,,,,529.62,3060.0,87958.0
2010-08-01,,,,4622.31,45095.0,45095.0,,,,803.16,4641.0,91654.0
2010-09-01,,,,6181.56,60307.0,60307.0,,,,768.24,4439.0,90442.0
2010-10-01,,,,12910.59,125956.0,125956.0,,,,820.62,4742.0,99129.0
2010-11-01,,,,14328.27,139787.0,139787.0,,,,826.44,4775.0,106476.0
2010-12-01,,,,12962.07,126458.0,126458.0,,,,1123.26,6490.0,124155.0
2011-01-01,,,,14410.44,140012.0,140012.0,,,,1152.36,6658.0,131350.0
2011-02-01,,,,14269.86,138646.0,138646.0,,,,1006.86,5818.0,115499.0
2011-03-01,,,,16394.4,159288.0,159288.0,,,,907.92,5246.0,117852.0
2011-04-01,,,,14202.54,137992.0,137992.0,,,,0.0,0.0,93630.0
2011-05-01,,,,14611.41,141964.0,141964.0,,,,0.0,0.0,90783.0
2011-06-01,,,,12445.29,120918.0,120918.0,,,,0.0,0.0,81774.0
2011-07-01,,,,7583.4,73680.0,73680.0,,,,58.2,336.0,79108.0
2011-08-01,,,,6853.77,66591.0,66591.0,,,,0.0,0.0,79285.0
2011-09-01,,,,12031.47,116898.0,116898.0,,,,0.0,0.0,80157.0
2011-10-01,,,,13962.96,135664.0,135664.0,,,,0.0,0.0,87114.0
2011-11-01,,,,13338.27,129595.0,129595.0,,,,0.0,0.0,93340.0
2011-12-01,,,,12665.07,123054.0,123054.0,,,,372.48,2152.0,69401.0
2012-01-01,,,,14217.39,135293.0,135293.0,12.767,74.0,99.0,650.713,3760.0,5064.0
2012-02-01,,,,12674.97,120615.0,120615.0,120.539,104.0,104.0,892.141,769.0,769.0
2012-03-01,,,,11707.74,111411.0,111411.0,1049.107,6062.0,117891.0,4.313,25.0,485.0
2012-04-01,,,,8489.25,80784.0,80784.0,521.681,3014.0,3129.0,275.659,1593.0,1654.0
2012-05-01,,,,12929.4,123036.0,123036.0,711.455,4111.0,92377.0,39.325,227.0,5106.0
2012-06-01,,,,11556.27,109969.0,109969.0,759.955,4391.0,77940.0,78.125,451.0,8012.0
2012-07-01,,,,9483.21,90242.0,90242.0,785.134,4537.0,84390.0,6.386,37.0,686.0
2012-08-01,,,,6941.88,66059.0,66059.0,732.749,4234.0,80333.0,6.391,37.0,701.0
2012-09-01,,,,8358.57,79540.0,79540.0,834.005,4819.0,85794.0,9.895,57.0,1018.0
2012-10-01,,,,10365.3,98636.0,98636.0,838.08,4843.0,94049.0,0.0,0.0,0.0
2012-11-01,,,,13422.42,127728.0,127728.0,995.22,5750.0,108057.0,0.0,0.0,0.0
2012-12-01,,,,15055.92,143272.0,143272.0,1041.78,6020.0,116096.0,0.0,0.0,0.0
2013-01-01,,,,13665.96,130387.0,130387.0,865.62,5002.0,125617.0,310.02,1791.0,44990.0
2013-02-01,,,,14155.02,135053.0,135053.0,967.799,5592.0,106619.0,39.061,226.0,4303.0
2013-03-01,,,,16689.42,159234.0,159234.0,937.02,5414.0,116536.0,0.0,0.0,0.0
2013-04-01,,,,14828.22,141476.0,141476.0,17.239,100.0,7032.0,221.381,1279.0,90303.0
2013-05-01,,,,12146.31,115888.0,115888.0,0.0,0.0,0.0,0.0,0.0,85815.0
2013-06-01,,,,13692.69,130642.0,130642.0,4.096,24.0,14246.0,19.184,111.0,66724.0
2013-07-01,,,,12285.9,117220.0,117220.0,84.017,485.0,45071.0,67.303,389.0,36104.0
2013-08-01,,,,7734.87,73798.0,73798.0,728.66,4210.0,80911.0,16.3,94.0,1810.0
2013-09-01,,,,10097.01,96336.0,96336.0,678.96,3923.0,82287.0,31.08,180.0,3767.0
2013-10-01,,,,8314.02,79324.0,79324.0,748.696,4326.0,89284.0,13.724,79.0,1637.0
2013-11-01,,,,7035.93,67130.0,67130.0,786.538,4545.0,90242.0,92.282,533.0,10588.0
2013-12-01,,,,8754.57,83527.0,83527.0,431.292,2492.0,57376.0,453.348,2619.0,60310.0
2014-01-01,,,,11368.17,108111.0,108111.0,0.0,0.0,0.0,797.34,4607.0,120742.0
2014-02-01,,,,9734.67,92577.0,92577.0,0.0,0.0,0.0,593.64,3430.0,107607.0
2014-03-01,,,,7404.21,70414.0,70414.0,0.0,0.0,0.0,843.9,4876.0,120390.0
2014-04-01,,,,11584.98,110173.0,110173.0,264.583,1529.0,43979.0,334.877,1935.0,55663.0
2014-05-01,,,,13698.63,130274.0,130274.0,608.682,3517.0,120892.0,48.978,283.0,9728.0
2014-06-01,,,,12075.03,114834.0,114834.0,657.66,3800.0,202200.0,0.0,0.0,0.0
2014-07-01,,,,11518.65,109542.0,109542.0,622.74,3598.0,282122.0,0.0,0.0,0.0
2014-08-01,,,,13501.62,128400.0,128400.0,527.68,3049.0,362158.0,0.0,0.0,0.0
2014-09-01,,,,8194.23,77927.0,77927.0,614.682,3552.0,441314.0,2.238,13.0,1607.0
2014-10-01,,,,8368.47,79584.0,79584.0,646.02,3733.0,607565.0,0.0,0.0,0.0
2014-11-01,,,,8639.73,82164.0,82164.0,710.04,4103.0,616950.0,0.0,0.0,0.0
2014-12-01,,,,12890.79,122591.0,122591.0,774.06,4473.0,717773.0,0.0,0.0,0.0
2015-01-01,,,,15808.32,147318.0,147318.0,750.446,4336.0,817301.0,0.334,2.0,364.0
2015-02-01,,,,12422.52,115765.0,115765.0,564.481,3262.0,1015612.0,0.059,0.0,107.0
2015-03-01,,,,11819.61,110147.0,110147.0,719.877,4160.0,1001625.0,1.803,10.0,2509.0
2015-04-01,,,,11321.64,105506.0,105506.0,424.86,2455.0,1035883.0,0.0,0.0,0.0
2015-05-01,,,,11716.65,109187.0,109187.0,285.18,1648.0,93861.0,0.0,0.0,0.0
2015-06-01,,,,12241.35,114077.0,114077.0,0.0,0.0,72768.0,0.0,0.0,0.0
2015-07-01,,,,10553.4,98347.0,98347.0,0.0,0.0,82789.0,0.0,0.0,0.0
2015-08-01,,,,9866.34,91944.0,91944.0,0.0,0.0,86071.0,0.0,0.0,0.0
2015-09-01,,,,6727.05,62689.0,62689.0,0.0,0.0,70908.0,0.0,0.0,0.0
2015-10-01,,,,8972.37,83614.0,83614.0,0.0,0.0,80356.0,0.0,0.0,0.0
2015-11-01,,,,8247.69,76860.0,76860.0,0.0,0.0,85093.0,0.0,0.0,0.0
2015-12-01,,,,11660.22,108662.0,108662.0,0.0,0.0,81648.0,0.0,0.0,0.0
2016-01-01,0.0,0.0,0.0,11284.02,104174.0,104174.0,0.0,0.0,91204.0,0.0,0.0,0.0
2016-02-01,,,,12632.4,116622.0,116622.0,209.52,910.0,71969.0,0.0,0.0,0.0
2016-03-01,,,,12408.66,114557.0,114557.0,203.7,885.0,79263.0,0.0,0.0,0.0
2016-04-01,,,,12355.2,114063.0,114063.0,58.2,253.0,45852.0,0.0,0.0,0.0
2016-05-01,,,,11979.99,110599.0,110599.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,,,,7129.98,65824.0,65824.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,,,,8428.86,77815.0,77815.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,,,,5172.75,47755.0,47755.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,,,,5782.59,53385.0,53385.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,,,,5342.04,49318.0,49318.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,,,,6275.61,57936.0,57936.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,,,,9053.55,83582.0,83582.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,10024.828,92359.0,92359.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,9978.275,91930.0,91930.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,12292.72,113253.0,113253.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,17096.746,157512.0,157512.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,17887.071,164794.0,164794.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,13666.09,125906.0,125906.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,11380.465,104848.0,104848.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,7157.267,65940.0,65940.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,5398.156,49733.0,49733.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,5194.201,47854.0,47854.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,12297.154,113294.0,113294.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,9526.027,87763.0,87763.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,11551.633,105166.0,105166.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,12362.001,112544.0,112544.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,13699.111,124717.0,124717.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,16423.498,149520.0,149520.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,13403.905,122029.0,122029.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,6115.399,55675.0,55675.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,5284.77,48113.0,48113.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,7284.647,66319.0,66319.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,6988.476,63623.0,63623.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,10416.148,94829.0,94829.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,14334.866,130505.0,130505.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,15355.546,139797.0,139797.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,14466.066,128820.0,128820.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,13435.836,119646.0,119646.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,14180.959,126281.0,126281.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,15376.48,136928.0,136928.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,16334.996,145463.0,145463.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,11637.744,103634.0,103634.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,7067.304,62934.0,62934.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,3974.866,35396.0,35396.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,3532.34,31455.0,31455.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,7709.229,68651.0,68651.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,9402.374,83728.0,83728.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,12752.806,113564.0,113564.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,0.0,13514.303,118480.0,118480.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,11517.697,100976.0,100976.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,15717.388,137794.0,137794.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,16958.184,148672.0,148672.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,15282.341,133980.0,133980.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,5058.26,44346.0,44346.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,0.0,0.0,6424.864,56327.0,56327.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,0.0,0.0,3473.652,30454.0,30454.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,0.0,0.0,1977.398,17336.0,17336.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,0.0,0.0,0.0,7354.501,64477.0,64477.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,0.0,0.0,0.0,8672.126,76029.0,76029.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,11697.286,102550.0,102550.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,9140.333,80837.0,80837.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,5871.101,51924.0,51924.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,0.0,0.0,0.0,9042.806,79975.0,79975.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,11156.347,98667.0,98667.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,8558.656,75693.0,75693.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,3793.088,33546.0,33546.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0,7554.829,66815.0,66815.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0,5289.425,46780.0,46780.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0,6090.536,53865.0,53865.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,6536.372,57808.0,57808.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,9232.286,81650.0,81650.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,9060.221,80129.0,80129.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,9640.489,32893.0,32893.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,11923.562,40683.0,40683.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,17487.819,59668.0,59668.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,20029.822,68342.0,68342.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,14596.64,49804.0,49804.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,6883.606,23487.0,23487.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,3918.294,13369.0,13369.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,3433.745,11716.0,11716.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,6416.247,21892.0,21892.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,8409.238,28692.0,28692.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,9339.658,31867.0,31867.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,13516.88,46120.0,46120.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,13851.0,47260.0,47260.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,10700.0,36508.0,36508.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,11153.0,38054.0,38054.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,13858.0,47283.0,47283.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,12986.0,44308.0,44308.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,12767.0,43561.0,43561.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,14839.0,50631.0,50631.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,15727.0,53661.0,53661.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,11998.0,40937.0,40937.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,9566.0,32639.0,32639.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,9273.0,31639.0,31639.0,0.0,0.0,0.0,0.0,0.0,0.0
