measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Purchased Steam - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2006-09-01,24018.89999,136076.77,745596.0,,,,,,,0.0,0.0,0.0,11369.15475,64410.85,352921.92,236.76783,1341.39,7349.76,1991.85754,11284.68,61831.35,4984.12889,28237.1,154717.6
2006-10-01,29244.60321,165682.49,874939.92,,,,,,,0.0,0.0,0.0,7860.59068,44533.42,235173.12,852.53304,4829.94,25506.08,1105.64825,6263.94,33078.78,10517.09482,59583.59,314650.4
2006-11-01,22925.68268,129883.25,822122.4,,,,,,,0.0,0.0,0.0,7254.23905,41098.19,260139.36,597.52723,3385.23,21427.52,1642.64078,9306.22,58905.63,9112.29925,51624.85,326770.0
2006-12-01,21812.26849,123575.31,822444.24,,,,,,,0.0,0.0,0.0,11670.71391,66119.31,440051.04,710.17181,4023.41,26777.44,1325.56109,7509.84,49981.05,9123.92271,51690.71,344022.8
2007-01-01,22706.178,128641.0,868098.0,,,,,,,0.0,0.0,0.0,13224.982,74924.0,505615.0,584.615,3313.0,22351.0,1368.715,7757.0,52328.0,8883.811,50332.0,339644.0
2007-02-01,20509.865,116196.0,769448.0,,,,,,,0.0,0.0,0.0,12256.789,69439.0,459826.0,570.415,3229.0,21400.0,972.557,5511.0,36486.0,8696.382,49266.0,326253.0
2007-03-01,24749.577,140215.0,887134.0,,,,,,,0.0,0.0,0.0,12033.674,68178.0,431340.0,743.292,4213.0,26643.0,996.557,5647.0,35721.0,8984.803,50906.0,322055.0
2007-04-01,14726.134,83428.0,493655.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,10191.404,57739.0,341640.0,758.653,4297.0,25432.0,1399.64,7932.0,46919.0,10025.455,56801.0,336077.0
2007-05-01,27054.266,153279.0,874404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2884.231,16343.0,93219.0,876.307,4965.0,28323.0,1312.05,7433.0,42406.0,10378.011,58794.0,335421.0
2007-06-01,30295.97,171636.0,816913.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,30.547,175.0,824.0,884.484,5011.0,23850.0,1697.987,9622.0,45785.0,9410.511,53316.0,253749.0
2007-07-01,32771.145,185666.0,845784.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,27.563000000000002,156.0,711.0,950.5160000000001,5387.0,24532.0,1431.737,8114.0,36951.0,11357.262,64345.0,293117.0
2007-08-01,33193.342,188050.0,867430.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,515.291,2920.0,13466.0,710.755,4028.0,18574.0,1305.508,7394.0,34116.0,10994.036,62287.0,287303.0
2007-09-01,33102.626000000004,187537.0,864438.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,6.93,37.0,181.0,639.126,3619.0,16690.0,1904.193,10790.0,49726.0,8517.497000000001,48257.0,222425.0
2007-10-01,30553.115,173090.0,894167.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,105.96900000000001,599.0,3101.0,559.508,3169.0,16375.0,1152.755,6532.0,33737.0,10705.454,60647.0,313306.0
2007-11-01,26943.344,152648.0,832207.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,766.741,4343.0,23683.0,469.39,2659.0,14498.0,13140.534,74448.0,405875.0
2007-12-01,25059.678,141979.0,739207.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,6964.134,39456.0,205427.0,909.5060000000001,5150.0,26828.0,840.182,4763.0,24784.0,13002.252,73661.0,383539.0
2008-01-01,30326.584,160042.0,817752.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,5474.754,28892.0,147626.0,852.6360000000001,4500.0,22991.0,1028.449,5427.0,27732.0,14270.578000000001,75310.0,384804.0
2008-02-01,27517.858,145219.0,798624.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,112.665,595.0,3270.0,744.3860000000001,3928.0,21604.0,689.847,3641.0,20021.0,14453.243,76274.0,419462.0
2008-03-01,28738.56,151661.0,848255.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,439.942,2322.0,12985.0,732.9590000000001,3868.0,21634.0,797.397,4208.0,23536.0,13511.143,71302.0,398798.0
2008-04-01,27149.114,143273.0,759708.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,292.79200000000003,1545.0,8193.0,383.243,2022.0,10724.0,988.606,5217.0,27664.0,10804.246,57017.0,302333.0
2008-05-01,26129.972999999998,137895.0,694147.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,236.538,1248.0,6284.0,351.026,1852.0,9325.0,1810.804,9556.0,48104.0,14324.659,75595.0,380537.0
2008-06-01,22439.594,118420.0,503128.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,119.393,630.0,2677.0,537.931,2839.0,12061.0,2428.18,12814.0,54443.0,17327.902000000002,91444.0,388517.0
2008-07-01,31685.977,167216.0,828136.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,563.673,2975.0,14732.0,1189.073,6275.0,31077.0,13563.277,71577.0,354486.0
2008-08-01,31190.914,164603.0,888021.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,132.381,699.0,3769.0,612.789,3234.0,17446.0,801.792,4231.0,22827.0,12240.124,64594.0,348482.0
2008-09-01,29846.65,157509.0,809976.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4377.534000000001,23101.0,118797.0,529.683,2795.0,14375.0,986.7900000000001,5208.0,26779.0,7796.342000000001,41143.0,211576.0
2008-10-01,30201.54,159382.0,885484.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,215.81,1139.0,6327.0,745.0010000000001,3932.0,21843.0,541.296,2857.0,15870.0,13770.354,72670.0,403735.0
2008-11-01,24297.257,128223.0,857211.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2882.273,15211.0,101687.0,4020.1980000000003,21216.0,141833.0,515.5690000000001,2721.0,18189.0,13204.704,69685.0,465864.0
2008-12-01,23877.170000000002,126006.0,905910.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11872.812,62656.0,450459.0,572.044,3019.0,21704.0,207.131,1093.0,7859.0,11894.843,62772.0,451295.0
2009-01-01,22311.637,117745.0,815216.0,0.0,0.0,0.0,,,,,,,14696.338,77557.0,536971.0,657.5120000000001,3470.0,24024.0,509.61800000000005,2689.0,18620.0,11566.895,61042.0,422628.0
2009-02-01,22955.287,121141.0,822094.0,0.0,0.0,0.0,,,,,,,13783.362000000001,72739.0,493621.0,448.275,2366.0,16054.0,174.947,923.0,6265.0,7298.129,38514.0,261367.0
2009-03-01,15185.675,80139.0,416318.0,0.0,0.0,0.0,,,,,,,9390.317000000001,49555.0,257437.0,305.495,1612.0,8375.0,1771.823,9350.0,48575.0,9451.69,49879.0,259120.0
2009-04-01,20511.747,108246.0,377654.0,0.0,0.0,0.0,,,,,,,3746.3830000000003,19771.0,68977.0,932.1070000000001,4919.0,17162.0,669.918,3535.0,12334.0,10317.845,54450.0,189968.0
2009-05-01,23528.241,124165.0,604125.0,0.0,0.0,0.0,,,,,,,228.685,1207.0,5872.0,589.16,3109.0,15128.0,1067.904,5636.0,27420.0,8104.01,42767.0,208083.0
2009-06-01,25669.829,145430.0,701974.0,0.0,0.0,0.0,,,,,,,29.436,167.0,805.0,753.412,4268.0,20603.0,1370.316,7763.0,37473.0,11726.252,66434.0,320669.0
2009-07-01,25160.325,132778.0,679571.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,699.676,3692.0,18898.0,959.777,5065.0,25923.0,15505.222000000002,81825.0,418790.0
2009-08-01,31200.31,164653.0,825055.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,599.0060000000001,3161.0,15840.0,955.2270000000001,5041.0,25260.0,12188.457,64322.0,322309.0
2009-09-01,30405.837,160460.0,776622.0,0.0,0.0,0.0,,,,,,,32.248000000000005,170.0,824.0,3801.0530000000003,20059.0,97086.0,1263.336,6667.0,32268.0,9865.526,52063.0,251984.0
2009-10-01,27737.569,146379.0,696663.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,661.326,3490.0,16610.0,910.0,4802.0,22856.0,14174.105,74801.0,356000.0
2009-11-01,29288.993000000002,154566.0,762465.0,0.0,0.0,0.0,,,,,,,149.573,789.0,3894.0,695.0930000000001,3668.0,18095.0,675.849,3567.0,17594.0,13770.492,72671.0,358480.0
2009-12-01,32089.429,169345.0,828993.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,859.2610000000001,4535.0,22198.0,549.577,2900.0,14198.0,14425.733,76129.0,372672.0
2010-01-01,30708.532,162057.0,759770.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,998.1270000000001,5267.0,24695.0,1150.439,6071.0,28463.0,15380.902,81169.0,380544.0
2010-02-01,26767.975,141262.0,671132.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1011.279,5337.0,25355.0,800.7860000000001,4226.0,20077.0,14251.960000000001,75211.0,357328.0
2010-03-01,31438.578,165910.0,795278.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,817.0780000000001,4312.0,20669.0,987.13,5209.0,24971.0,11111.214,58637.0,281072.0
2010-04-01,20783.114,109678.0,581350.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,842.336,4445.0,23562.0,912.763,4817.0,25532.0,13035.787,68793.0,364640.0
2010-05-01,32198.011,169918.0,789371.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,851.6020000000001,4494.0,20878.0,977.604,5159.0,23967.0,12223.783,64508.0,299680.0
2010-06-01,30259.633,159688.0,779933.0,0.0,0.0,0.0,,,,,,,216.678,1143.0,5585.0,816.421,4308.0,21043.0,1145.672,6046.0,29529.0,11635.596,61404.0,299904.0
2010-07-01,29950.521,158057.0,819742.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,758.79,4004.0,20768.0,701.865,3704.0,19210.0,11132.824,58751.0,304704.0
2010-08-01,29934.607,157973.0,835648.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,656.08,3462.0,18315.0,677.984,3578.0,18926.0,11081.329,58479.0,309344.0
2010-09-01,28246.864,149066.0,789635.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,661.854,3493.0,18502.0,671.562,3544.0,18773.0,10530.72,55573.0,294384.0
2010-10-01,32384.811,170903.0,818807.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,583.42,3079.0,14751.0,1295.075,6834.0,32744.0,6287.694,33182.0,158976.0
2010-11-01,23191.768,122389.0,583055.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,757.818,3999.0,19052.0,3065.6510000000003,16178.0,77072.0,12552.762999999999,66244.0,315584.0
2010-12-01,32312.676,170523.0,877756.0,0.0,0.0,0.0,,,,,,,191.58,1011.0,5204.0,988.8660000000001,5219.0,26862.0,470.47400000000005,2483.0,12780.0,12910.404,68132.0,350704.0
2011-01-01,32415.64,171066.0,857791.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,998.479,5269.0,26422.0,463.675,2447.0,12270.0,13855.206,73118.0,366640.0
2011-02-01,27184.409,143460.0,752587.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,800.231,4223.0,22154.0,752.463,3971.0,20832.0,13049.897,68868.0,361280.0
2011-03-01,30200.009,159374.0,831490.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,841.797,4442.0,23177.0,863.491,4557.0,23774.0,12515.703,66049.0,344592.0
2011-04-01,24414.304,128841.0,717442.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,765.497,4040.0,22495.0,768.898,4058.0,22595.0,12711.301,67081.0,373536.0
2011-05-01,25790.551,136104.0,808137.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,724.917,3826.0,22715.0,710.953,3752.0,22277.0,10295.579,54333.0,322608.0
2011-06-01,38734.683,204413.0,794420.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1012.615,5344.0,20768.0,813.346,4292.0,16681.0,16260.356,85810.0,333488.0
2011-07-01,30377.042,160308.0,805717.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,773.039,4080.0,20504.0,741.781,3915.0,19675.0,10148.138,53554.0,269168.0
2011-08-01,30216.412,159460.0,876953.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,747.043,3942.0,21681.0,508.148,2682.0,14748.0,10063.397,53107.0,292064.0
2011-09-01,24919.637,131508.0,722469.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,783.114,4133.0,22704.0,304.505,1607.0,8828.0,9640.744,50877.0,279504.0
2011-10-01,31150.541,164390.0,848606.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,319.799,1688.0,8712.0,550.098,2903.0,14986.0,5034.562,26569.0,137152.0
2011-11-01,27293.576,144036.0,829125.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,690.894,3646.0,20988.0,258.508,1364.0,7853.0,10881.022,57422.0,330544.0
2011-12-01,27724.614,146310.0,868208.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,948.063,5003.0,29689.0,305.631,1613.0,9571.0,12489.692,65912.0,391120.0
