measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Petroleum Coke Generation,Petroleum Coke Quantity Consumed For Electricity,Petroleum Coke Total Fuel Consumed
2005-10-01,,,,4.3020000000000005,48.19,48.19,,,,14475.456,162289.43,162289.43
2005-11-01,,,,4.312,48.29,48.29,,,,13820.994,154952.03,154952.03
2005-12-01,,,,9.725,108.93,108.93,,,,14523.75,162830.86,162830.86
2006-01-01,0.0,0.0,0.0,2.07,23.0,23.0,1.711,20.0,20.0,15894.688,182385.0,182385.0
2006-02-01,0.0,0.0,0.0,2.049,23.0,23.0,2.03,24.0,24.0,13775.56,158069.0,158069.0
2006-03-01,0.0,0.0,0.0,1.796,20.0,20.0,2.3160000000000003,27.0,27.0,12977.952000000001,148917.0,148917.0
2006-04-01,0.0,0.0,0.0,2.37,27.0,27.0,2.59,30.0,30.0,13963.128,160222.0,160222.0
2006-05-01,0.0,0.0,0.0,2.142,24.0,24.0,3.0,35.0,35.0,12561.542,144139.0,144139.0
2006-06-01,0.0,0.0,0.0,2.561,29.0,29.0,3.8230000000000004,44.0,44.0,14156.667000000001,162442.0,162442.0
2006-07-01,0.0,0.0,0.0,2.485,28.0,28.0,4.806,56.0,56.0,16001.342,183609.0,183609.0
2006-08-01,0.0,0.0,0.0,2.674,30.0,30.0,4.867,57.0,57.0,14930.75,171325.0,171325.0
2006-09-01,0.0,0.0,0.0,1.9,22.0,22.0,3.311,38.0,38.0,13418.622,153974.0,153974.0
2006-10-01,0.0,0.0,0.0,2.445,28.0,28.0,2.998,35.0,35.0,13173.818,151164.0,151164.0
2006-11-01,0.0,0.0,0.0,2.134,24.0,24.0,2.2270000000000003,26.0,26.0,11117.641,127571.0,127571.0
2006-12-01,0.0,0.0,0.0,2.374,27.0,27.0,2.321,27.0,27.0,11605.29,133166.0,133166.0
2007-01-01,0.0,0.0,0.0,15.335,176.0,176.0,0.0,0.0,0.0,14032.665,161414.0,161414.0
2007-02-01,0.0,0.0,0.0,5.175,59.0,59.0,0.0,0.0,0.0,12093.825,137420.0,137420.0
2007-03-01,0.0,0.0,0.0,2.0220000000000002,24.0,24.0,0.0,0.0,0.0,11137.978,129585.0,129585.0
2007-04-01,0.0,0.0,0.0,16.548000000000002,188.0,188.0,51.89,590.0,590.0,12816.562,145728.0,145728.0
2007-05-01,0.0,0.0,0.0,11.108,129.0,129.0,14.77,172.0,172.0,13418.121,156256.0,156256.0
2007-06-01,0.0,0.0,0.0,2.547,29.0,29.0,0.0,0.0,0.0,13572.453,156661.0,156661.0
2007-07-01,0.0,0.0,0.0,1.038,12.0,12.0,0.0,0.0,0.0,14319.962,162222.0,162222.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14274.0,162278.0,162278.0
2007-09-01,0.0,0.0,0.0,2.563,29.0,29.0,0.0,0.0,0.0,13615.437,156195.0,156195.0
2007-10-01,0.0,0.0,0.0,3.056,35.0,35.0,0.0,0.0,0.0,14010.944,161738.0,161738.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13784.0,156893.0,156893.0
2007-12-01,0.0,0.0,0.0,4.513,47.0,47.0,0.0,0.0,0.0,13474.487000000001,140444.0,140444.0
2008-01-01,0.0,0.0,0.0,8.222,94.0,94.0,0.0,0.0,0.0,13314.778,152346.0,152346.0
2008-02-01,0.0,0.0,0.0,26.913,312.0,312.0,62.09,719.0,719.0,8942.996000000001,103554.0,103554.0
2008-03-01,0.0,0.0,0.0,4.795,53.0,53.0,0.559,6.0,6.0,13962.645,154087.0,154087.0
2008-04-01,0.0,0.0,0.0,1.072,12.0,12.0,0.0,0.0,0.0,13592.928,149160.0,149160.0
2008-05-01,0.0,0.0,0.0,38.665,465.0,465.0,38.225,459.0,459.0,9112.11,109473.0,109473.0
2008-06-01,0.0,0.0,0.0,14.744000000000002,171.0,171.0,17.586000000000002,203.0,203.0,12411.67,143543.0,143543.0
2008-07-01,0.0,0.0,0.0,14.73,165.0,165.0,28.493000000000002,318.0,318.0,11562.777,129241.0,129241.0
2008-08-01,0.0,0.0,0.0,14.802000000000001,171.0,171.0,0.0,0.0,0.0,10179.198,117264.0,117264.0
2008-09-01,0.0,0.0,0.0,10.541,118.0,118.0,0.0,0.0,0.0,12589.459,140448.0,140448.0
2008-10-01,0.0,0.0,0.0,1.562,18.0,18.0,86.468,977.0,977.0,10837.97,122408.0,122408.0
2008-11-01,0.0,0.0,0.0,12.678,141.0,141.0,37.92,422.0,422.0,12393.402,137954.0,137954.0
2008-12-01,0.0,0.0,0.0,1.091,12.0,12.0,0.0,0.0,0.0,14191.909,153036.0,153036.0
2009-01-01,0.0,0.0,0.0,0.527,6.0,6.0,0.0,0.0,0.0,14184.473,158370.0,158370.0
2009-02-01,0.0,0.0,0.0,3.0060000000000002,35.0,35.0,0.0,0.0,0.0,11958.994,140334.0,140334.0
2009-03-01,0.0,0.0,0.0,1.01,12.0,12.0,0.0,0.0,0.0,13271.99,154584.0,154584.0
2009-04-01,0.0,0.0,0.0,8.165,94.0,94.0,19.472,224.0,224.0,12492.363000000001,143949.0,143949.0
2009-05-01,0.0,0.0,0.0,4.073,47.0,47.0,0.0,0.0,0.0,13308.927,153704.0,153704.0
2009-06-01,0.0,0.0,0.0,5.3020000000000005,59.0,59.0,0.0,0.0,0.0,12789.698,141852.0,141852.0
2009-07-01,0.0,0.0,0.0,2.024,24.0,24.0,0.0,0.0,0.0,13613.976,158178.0,158178.0
2009-08-01,0.0,0.0,0.0,0.523,6.0,6.0,22.772000000000002,256.0,256.0,12300.705,138250.0,138250.0
2009-09-01,0.0,0.0,0.0,10.044,118.0,118.0,0.0,0.0,0.0,12753.956,149336.0,149336.0
2009-10-01,0.0,0.0,0.0,22.547,265.0,265.0,19.855,233.0,233.0,12384.598,145339.0,145339.0
2009-11-01,0.0,0.0,0.0,3.072,35.0,35.0,0.0,0.0,0.0,13168.928,151258.0,151258.0
2009-12-01,0.0,0.0,0.0,7.696000000000001,88.0,88.0,0.0,0.0,0.0,13039.304,149439.0,149439.0
2010-01-01,0.0,0.0,0.0,0.9710000000000001,12.0,12.0,0.0,0.0,0.0,9035.029,109454.0,109454.0
2010-02-01,0.0,0.0,0.0,7.3420000000000005,88.0,88.0,76.81700000000001,923.0,923.0,11885.841,142777.0,142777.0
2010-03-01,0.0,0.0,0.0,75.86,911.0,911.0,37.207,447.0,447.0,10560.933,126882.0,126882.0
2010-04-01,0.0,0.0,0.0,7.051,82.0,82.0,0.0,0.0,0.0,12844.949,149962.0,149962.0
2010-05-01,0.0,0.0,0.0,40.822,482.0,482.0,16.601,196.0,196.0,12578.577000000001,148571.0,148571.0
2010-06-01,0.0,0.0,0.0,0.96,12.0,12.0,0.0,0.0,0.0,12797.04,156699.0,156699.0
2010-07-01,0.0,0.0,0.0,3.2680000000000002,41.0,41.0,0.0,0.0,0.0,13208.732,166365.0,166365.0
2010-08-01,0.0,0.0,0.0,29.287000000000003,365.0,365.0,0.0,0.0,0.0,13200.713,164321.0,164321.0
2010-09-01,0.0,0.0,0.0,29.119,370.0,370.0,120.798,1537.0,1537.0,11514.083,146479.0,146479.0
2010-10-01,0.0,0.0,0.0,5.384,65.0,65.0,0.0,0.0,0.0,13296.616,159750.0,159750.0
2010-11-01,0.0,0.0,0.0,1.425,18.0,18.0,0.0,0.0,0.0,12814.575,158612.0,158612.0
2010-12-01,0.0,0.0,0.0,3.358,41.0,41.0,0.0,0.0,0.0,13235.642,162241.0,162241.0
2011-01-01,0.0,0.0,0.0,7.329,88.0,88.0,0.0,0.0,0.0,11134.671,133996.0,133996.0
2011-02-01,0.0,0.0,0.0,3.774,47.0,47.0,22.332,278.0,278.0,11457.894,142824.0,142824.0
2011-03-01,0.0,0.0,0.0,1.896,24.0,24.0,0.0,0.0,0.0,13210.104,163868.0,163868.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12888.0,149242.0,149242.0
2011-05-01,0.0,0.0,0.0,7.015,88.0,88.0,0.0,0.0,0.0,13312.985,167383.0,167383.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12888.0,153929.0,153929.0
2011-07-01,0.0,0.0,0.0,24.555,294.0,294.0,0.0,0.0,0.0,13133.445,157248.0,157248.0
2011-08-01,0.0,0.0,0.0,4.315,53.0,53.0,0.0,0.0,0.0,13279.685,162873.0,162873.0
2011-09-01,0.0,0.0,0.0,8.101,100.0,100.0,0.0,0.0,0.0,12069.899,148925.0,148925.0
2011-10-01,0.0,0.0,0.0,0.485,6.0,6.0,0.0,0.0,0.0,13193.515,159817.0,159817.0
2011-11-01,0.0,0.0,0.0,4.812,59.0,59.0,10.408,127.0,127.0,12134.78,148276.0,148276.0
2011-12-01,0.0,0.0,0.0,16.141,212.0,212.0,59.752,784.0,784.0,6098.107,79973.0,79973.0
2012-01-01,0.0,0.0,0.0,15.932,212.0,212.0,0.0,0.0,0.0,11480.068,152534.0,152534.0
2012-02-01,0.0,0.0,0.0,8.128,106.0,106.0,0.0,0.0,0.0,5751.872,74903.0,74903.0
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
