measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-11-01,398262.0,3708222.0,3708222.0,4365.0,40288.0,40288.0,,,,178802.0,1432270.0,1432270.0
2003-12-01,523647.0,4931005.0,4931005.0,1619.0,15367.0,15367.0,,,,186526.0,1511094.0,1511094.0
2004-01-01,539618.0,5092541.0,5092541.0,5521.0,53446.0,53446.0,,,,162820.0,1325256.0,1325256.0
2004-02-01,477356.0,4525980.0,4525980.0,2543.0,24723.0,24723.0,,,,129803.0,1058922.0,1058922.0
2004-03-01,274939.0,2581658.0,2581658.0,421.0,3907.0,3907.0,,,,53333.0,430839.0,430839.0
2004-04-01,238245.0,2288723.0,2288723.0,694.0,6668.0,6668.0,,,,85411.0,705893.0,705893.0
2004-05-01,419106.0,4762850.0,4762850.0,13369.0,153060.0,153060.0,,,,112548.0,1100364.0,1100364.0
2004-06-01,593631.0,5790309.0,5790309.0,9000.0,88855.0,88855.0,,,,152299.0,1278019.0,1278019.0
2004-07-01,547116.0,5710829.0,5710829.0,9577.0,98449.0,98449.0,,,,159211.0,1430683.0,1430683.0
2004-08-01,516661.0,4970870.0,4970870.0,4984.0,49435.0,49435.0,,,,157795.0,1356827.0,1356827.0
2004-09-01,523776.0,5302572.0,5302572.0,14291.0,149095.0,149095.0,,,,97326.0,884451.0,884451.0
2004-10-01,480759.0,4605047.0,4605047.0,7751.0,76412.0,76412.0,,,,165229.0,1387282.0,1387282.0
2004-11-01,463679.0,4361418.0,4361418.0,7006.0,68073.0,68073.0,,,,168749.0,1411498.0,1411498.0
2004-12-01,478177.0,4443864.0,4443864.0,11142.0,110304.0,110304.0,,,,165526.0,1378550.0,1378550.0
2005-01-01,529028.0,4874261.87,4874261.87,9382.0,89476.34,89476.34,,,,161064.0,1357942.48,1357942.48
2005-02-01,335380.0,3049721.86,3049721.86,5764.0,54327.8,54327.8,,,,121844.0,999109.54,999109.54
2005-03-01,220327.0,2080069.31,2080069.31,835.0,8200.75,8200.75,,,,60247.0,514252.8,514252.8
2005-04-01,159396.0,1624781.44,1624781.44,1653.0,17559.86,17559.86,,,,92630.0,835035.75,835035.75
2005-05-01,425983.0,4159953.1,4159953.1,6592.0,67346.42,67346.42,,,,149876.0,1599622.42,1599622.42
2005-06-01,406567.0,3889960.55,3889960.55,6460.0,65098.85,65098.85,,,,231736.0,2427465.43,2427465.43
2005-07-01,464869.0,4362212.4,4362212.4,6701.0,66487.73,66487.73,,,,200338.0,2071491.84,2071491.84
2005-08-01,373591.0,3501097.6,3501097.6,1438.0,14309.53,14309.53,,,,271106.0,2819989.4,2819989.4
2005-09-01,448213.0,4224853.5,4224853.5,2332.0,23438.12,23438.12,,,,120729.0,1203741.48,1203741.48
2005-10-01,381720.0,3576259.53,3576259.53,5411.0,54368.14,54368.14,,,,117444.0,1175642.45,1175642.45
2005-11-01,304726.0,2789416.55,2789416.55,3490.0,34428.16,34428.16,,,,253445.0,2483552.68,2483552.68
2005-12-01,472374.0,4604301.64,4604301.64,3231.0,33967.12,33967.12,,,,214079.0,2237879.71,2237879.71
2006-01-01,394720.0,3666658.0,3666658.0,3871.0,39004.0,39004.0,,,,227640.0,2277506.0,2277506.0
2006-02-01,367458.0,3491263.0,3491263.0,6341.0,65352.0,65352.0,,,,124280.0,1268656.0,1268656.0
2006-03-01,179798.0,1596810.0,1596810.0,167.0,1608.0,1608.0,,,,136958.0,1303502.0,1303502.0
2006-04-01,332482.0,3062136.0,3062136.0,5978.0,59659.0,59659.0,,,,189616.0,1870247.0,1870247.0
2006-05-01,407789.0,3717396.0,3717396.0,1959.0,19300.0,19300.0,,,,264135.0,2573145.0,2573145.0
2006-06-01,551525.0,5206126.0,5206126.0,4092.0,41528.0,41528.0,,,,227099.0,2280667.0,2280667.0
2006-07-01,521206.0,4961853.0,4961853.0,2791.0,28365.0,28365.0,,,,266176.0,2670096.0,2670096.0
2006-08-01,704814.0,6621481.0,6621481.0,1832.0,18298.0,18298.0,,,,142843.0,1408771.0,1408771.0
2006-09-01,558435.0,4934969.0,4934969.0,2146.0,20159.0,20159.0,,,,83125.0,770761.0,770761.0
2006-10-01,498368.0,5066881.0,5066881.0,2018.0,21859.0,21859.0,,,,178672.0,1901329.0,1901329.0
2006-11-01,493612.0,4662817.0,4662817.0,910.0,9152.0,9152.0,,,,180787.0,1789286.0,1789286.0
2006-12-01,534324.0,5110505.0,5110505.0,2043.0,20851.0,20851.0,,,,115910.0,1163887.0,1163887.0
2007-01-01,595233.891,5868614.0,5868614.0,1224.573,12073.0,12073.0,,,,94423.508,930954.0,930954.0
2007-02-01,462961.812,4457199.0,4457199.0,7055.618,67928.0,67928.0,,,,125560.547,1208843.0,1208843.0
2007-03-01,431018.642,4228307.0,4228307.0,1798.215,17641.0,17641.0,,,,161826.891,1587527.0,1587527.0
2007-04-01,463956.686,4525859.0,4525859.0,832.998,8126.0,8126.0,,,,139457.662,1360398.0,1360398.0
2007-05-01,460390.629,3922087.0,3922087.0,2417.7560000000003,20597.0,20597.0,,,,58945.985,502163.0,502163.0
2007-06-01,531172.55,5231494.0,5231494.0,1470.453,14482.0,14482.0,,,,74943.159,738112.0,738112.0
2007-07-01,481034.931,4830490.0,4830490.0,1885.2520000000002,18931.0,18931.0,,,,108779.954,1092354.0,1092354.0
2007-08-01,571630.882,5700404.0,5700404.0,2486.7380000000003,24798.0,24798.0,,,,20372.501,203158.0,203158.0
2007-09-01,532924.531,5784860.0,5784860.0,1904.3770000000002,20672.0,20672.0,,,,0.0,0.0,0.0
2007-10-01,541846.652,5463698.0,5463698.0,2990.24,30152.0,30152.0,,,,0.0,0.0,0.0
2007-11-01,524547.243,5160732.0,5160732.0,4010.719,39459.0,39459.0,,,,0.0,0.0,0.0
2007-12-01,688374.963,6733827.0,6733827.0,729.344,7135.0,7135.0,,,,0.0,0.0,0.0
2008-01-01,694821.436,6805353.0,6805353.0,2149.418,21052.0,21052.0,,,,0.0,0.0,0.0
2008-02-01,622623.443,6120426.0,6120426.0,2623.527,25789.0,25789.0,,,,0.0,0.0,0.0
2008-03-01,300131.419,2985434.0,2985434.0,2628.581,26147.0,26147.0,,,,0.0,0.0,0.0
2008-04-01,513031.374,5078549.0,5078549.0,1945.6260000000002,19260.0,19260.0,,,,0.0,0.0,0.0
2008-05-01,852490.829,8371609.0,8371609.0,1126.171,11059.0,11059.0,,,,0.0,0.0,0.0
2008-06-01,793661.015,7783229.0,7783229.0,2047.9850000000001,20084.0,20084.0,,,,0.0,0.0,0.0
2008-07-01,804191.564,7926560.0,7926560.0,1304.4360000000001,12857.0,12857.0,,,,0.0,0.0,0.0
2008-08-01,778668.793,7673901.0,7673901.0,1712.207,16874.0,16874.0,,,,0.0,0.0,0.0
2008-09-01,819045.396,8955846.0,8955846.0,2291.6040000000003,25058.0,25058.0,,,,0.0,0.0,0.0
2008-10-01,802494.507,7869134.0,7869134.0,2348.493,23029.0,23029.0,,,,0.0,0.0,0.0
2008-11-01,840371.681,8113590.0,8113590.0,54.319,524.0,524.0,,,,0.0,0.0,0.0
2008-12-01,830131.388,8017293.0,8017293.0,833.6120000000001,8051.0,8051.0,,,,0.0,0.0,0.0
2009-01-01,823777.091,7947394.0,7947394.0,1014.909,9791.0,9791.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,647014.802,6546536.0,6546536.0,1827.198,18488.0,18488.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,395471.389,3914217.0,3914217.0,347.611,3441.0,3441.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,371213.646,3722754.0,3722754.0,417.775,4190.0,4190.0,1427.5790000000002,14317.0,14317.0,0.0,0.0,0.0
2009-05-01,655859.947,6583265.0,6583265.0,1788.448,17952.0,17952.0,2338.605,23474.0,23474.0,0.0,0.0,0.0
2009-06-01,752459.817,7524988.0,7524988.0,931.8290000000001,9319.0,9319.0,1691.354,16914.0,16914.0,0.0,0.0,0.0
2009-07-01,781009.965,7589228.0,7589228.0,918.076,8921.0,8921.0,2503.9590000000003,24331.0,24331.0,0.0,0.0,0.0
2009-08-01,788003.678,6828456.0,6828456.0,593.225,5141.0,5141.0,1551.097,13441.0,13441.0,0.0,0.0,0.0
2009-09-01,725988.548,7199314.0,7199314.0,1229.1290000000001,12189.0,12189.0,214.323,2125.0,2125.0,0.0,0.0,0.0
2009-10-01,922514.069,9018575.0,9018575.0,199.84,1954.0,1954.0,552.091,5397.0,5397.0,0.0,0.0,0.0
2009-11-01,752861.997,7460976.0,7460976.0,483.247,4789.0,4789.0,281.75600000000003,2792.0,2792.0,0.0,0.0,0.0
2009-12-01,870825.872,8826956.0,8826956.0,216.61800000000002,2196.0,2196.0,1198.51,12148.0,12148.0,0.0,0.0,0.0
2010-01-01,848843.641,8525050.0,8525050.0,1784.595,17923.0,17923.0,121.76400000000001,1223.0,1223.0,0.0,0.0,0.0
2010-02-01,737766.944,6616146.0,6616146.0,372.084,3337.0,3337.0,965.9720000000001,8663.0,8663.0,0.0,0.0,0.0
2010-03-01,338454.764,3501737.0,3501737.0,0.0,0.0,0.0,5048.236,52230.0,52230.0,0.0,0.0,0.0
2010-04-01,715597.279,7058152.0,7058152.0,0.0,0.0,0.0,2788.721,27506.0,27506.0,0.0,0.0,0.0
2010-05-01,855179.1900000001,8342058.0,8342058.0,0.0,0.0,0.0,324.81,3168.0,3168.0,0.0,0.0,0.0
2010-06-01,786192.048,7826132.0,7826132.0,0.0,0.0,0.0,1792.952,17848.0,17848.0,0.0,0.0,0.0
2010-07-01,823363.845,8488191.0,8488191.0,0.0,0.0,0.0,2110.155,21754.0,21754.0,0.0,0.0,0.0
2010-08-01,891631.516,9271189.0,9271189.0,0.0,0.0,0.0,2097.484,21810.0,21810.0,0.0,0.0,0.0
2010-09-01,826149.572,8408819.0,8408819.0,0.0,0.0,0.0,1420.428,14458.0,14458.0,0.0,0.0,0.0
2010-10-01,750049.613,7058284.0,7058284.0,0.0,0.0,0.0,361.387,3401.0,3401.0,0.0,0.0,0.0
2010-11-01,724267.879,7233320.0,7233320.0,0.0,0.0,0.0,1674.121,16720.0,16720.0,0.0,0.0,0.0
2010-12-01,857885.216,8365477.0,8365477.0,0.0,0.0,0.0,648.784,6326.0,6326.0,0.0,0.0,0.0
2011-01-01,697655.09,7068676.0,7068676.0,0.0,0.0,0.0,5108.911,51764.0,51764.0,0.0,0.0,0.0
2011-02-01,586945.88,5709913.0,5709913.0,0.0,0.0,0.0,4518.12,43953.0,43953.0,0.0,0.0,0.0
2011-03-01,315671.73,3243397.0,3243397.0,0.0,0.0,0.0,302.27,3106.0,3106.0,0.0,0.0,0.0
2011-04-01,593842.86,6129958.0,6129958.0,0.0,0.0,0.0,7449.145,76894.0,76894.0,0.0,0.0,0.0
2011-05-01,665228.53,6830933.0,6830933.0,0.0,0.0,0.0,4523.468,46449.0,46449.0,0.0,0.0,0.0
2011-06-01,710391.08,7306076.0,7306076.0,0.0,0.0,0.0,2458.925,25289.0,25289.0,0.0,0.0,0.0
2011-07-01,694580.0,7310136.0,7310136.0,0.0,0.0,0.0,1142.999,12030.0,12030.0,0.0,0.0,0.0
2011-08-01,640558.15,6604464.0,6604464.0,0.0,0.0,0.0,2883.851,29734.0,29734.0,0.0,0.0,0.0
2011-09-01,621523.9,5389450.0,5389450.0,0.0,0.0,0.0,2762.101,23951.0,23951.0,0.0,0.0,0.0
2011-10-01,556173.91,5805910.0,5805910.0,0.0,0.0,0.0,1995.094,20827.0,20827.0,0.0,0.0,0.0
2011-11-01,546704.14,5685394.0,5685394.0,0.0,0.0,0.0,1677.862,17449.0,17449.0,0.0,0.0,0.0
2011-12-01,260521.07,2881099.0,2881099.0,0.0,0.0,0.0,2171.927,24019.0,24019.0,0.0,0.0,0.0
2012-01-01,234831.99,2268243.0,2268243.0,0.0,0.0,0.0,3643.015,35188.0,35188.0,0.0,0.0,0.0
2012-02-01,301489.21,3094845.0,3094845.0,0.0,0.0,0.0,2541.789,26092.0,26092.0,0.0,0.0,0.0
2012-03-01,307012.62,3151330.0,3151330.0,0.0,0.0,0.0,1706.382,17515.0,17515.0,0.0,0.0,0.0
2012-04-01,490218.53,5214760.0,5214760.0,0.0,0.0,0.0,4117.475,43800.0,43800.0,0.0,0.0,0.0
2012-05-01,485883.79,5112058.0,5112058.0,0.0,0.0,0.0,3101.213,32628.0,32628.0,0.0,0.0,0.0
2012-06-01,616789.26,6145450.0,6145450.0,0.0,0.0,0.0,5065.738,50473.0,50473.0,0.0,0.0,0.0
2012-07-01,698856.7,6904088.0,6904088.0,0.0,0.0,0.0,4782.305,47245.0,47245.0,0.0,0.0,0.0
2012-08-01,684629.91,7192017.0,7192017.0,0.0,0.0,0.0,4347.092,45666.0,45666.0,0.0,0.0,0.0
2012-09-01,649581.59,7284577.0,7284577.0,0.0,0.0,0.0,5184.415,58139.0,58139.0,0.0,0.0,0.0
2012-10-01,580727.85,6031387.0,6031387.0,0.0,0.0,0.0,3823.151,39707.0,39707.0,0.0,0.0,0.0
2012-11-01,533748.28,5442987.0,5442987.0,0.0,0.0,0.0,3149.718,32120.0,32120.0,0.0,0.0,0.0
2012-12-01,587426.55,5956835.0,5956835.0,0.0,0.0,0.0,2740.449,27790.0,27790.0,0.0,0.0,0.0
2013-01-01,561384.53,5752762.0,5752762.0,0.0,0.0,0.0,2442.47,25029.0,25029.0,0.0,0.0,0.0
2013-02-01,454029.5,5190452.0,5190452.0,0.0,0.0,0.0,2763.499,31592.0,31592.0,0.0,0.0,0.0
2013-03-01,306959.32,3239999.0,3239999.0,0.0,0.0,0.0,3788.676,39990.0,39990.0,0.0,0.0,0.0
2013-04-01,479266.71,5136159.0,5136159.0,0.0,0.0,0.0,6224.294,66704.0,66704.0,0.0,0.0,0.0
2013-05-01,638875.78,6569252.0,6569252.0,0.0,0.0,0.0,3986.222,40988.0,40988.0,0.0,0.0,0.0
2013-06-01,638533.77,6421119.0,6421119.0,0.0,0.0,0.0,2972.227,29889.0,29889.0,0.0,0.0,0.0
2013-07-01,591603.09,6122104.0,6122104.0,0.0,0.0,0.0,3879.915,40151.0,40151.0,0.0,0.0,0.0
2013-08-01,644047.53,6681589.0,6681589.0,0.0,0.0,0.0,2799.475,29043.0,29043.0,0.0,0.0,0.0
2013-09-01,558213.66,5824371.0,5824371.0,0.0,0.0,0.0,3245.336,33862.0,33862.0,0.0,0.0,0.0
2013-10-01,589036.41,6071234.0,6071234.0,0.0,0.0,0.0,2517.591,25949.0,25949.0,0.0,0.0,0.0
2013-11-01,628221.79,6480723.0,6480723.0,0.0,0.0,0.0,1862.213,19211.0,19211.0,0.0,0.0,0.0
2013-12-01,521035.0,5342816.0,5342816.0,0.0,0.0,0.0,2361.003,24210.0,24210.0,0.0,0.0,0.0
2014-01-01,712502.19,7155271.0,7155271.0,0.0,0.0,0.0,2117.813,21268.0,21268.0,0.0,0.0,0.0
2014-02-01,734653.86,7352366.0,7352366.0,0.0,0.0,0.0,3160.136,31626.0,31626.0,0.0,0.0,0.0
2014-03-01,355836.99,3630864.0,3630864.0,0.0,0.0,0.0,1002.014,10224.0,10224.0,0.0,0.0,0.0
2014-04-01,344974.47,3575191.0,3575191.0,0.0,0.0,0.0,782.533,8110.0,8110.0,0.0,0.0,0.0
2014-05-01,383460.28,4114161.0,4114161.0,0.0,0.0,0.0,3774.725,40499.0,40499.0,0.0,0.0,0.0
2014-06-01,669098.59,7160431.0,7160431.0,,,,3327.407,35609.0,35609.0,0.0,0.0,0.0
2014-07-01,705668.43,7528909.0,7528909.0,,,,2029.568,21654.0,21654.0,0.0,0.0,0.0
2014-08-01,721807.5,7257563.0,7257563.0,,,,2030.501,20416.0,20416.0,0.0,0.0,0.0
2014-09-01,579035.31,6185288.0,6185288.0,,,,4783.688,51100.0,51100.0,0.0,0.0,0.0
2014-10-01,643389.6,6704153.0,6704153.0,,,,2880.401,30014.0,30014.0,0.0,0.0,0.0
2014-11-01,700231.5,7221032.0,7221032.0,,,,1154.497,11906.0,11906.0,0.0,0.0,0.0
2014-12-01,565381.74,5834436.0,5834436.0,,,,1402.262,14471.0,14471.0,0.0,0.0,0.0
2015-01-01,302165.6,3271714.0,3271714.0,,,,2759.404,29878.0,29878.0,0.0,0.0,0.0
2015-02-01,381245.62,4092640.0,4092640.0,,,,2687.381,28849.0,28849.0,0.0,0.0,0.0
2015-03-01,296048.76,3135796.0,3135796.0,,,,937.24,9927.0,9927.0,0.0,0.0,0.0
2015-04-01,274554.72,2927571.0,2927571.0,,,,1017.277,10847.0,10847.0,0.0,0.0,0.0
2015-05-01,481600.14,5208708.0,5208708.0,,,,3746.863,40524.0,40524.0,0.0,0.0,0.0
2015-06-01,593051.1,6343268.0,6343268.0,,,,1763.905,18867.0,18867.0,0.0,0.0,0.0
2015-08-01,600692.42,6472478.0,6472478.0,,,,2091.579,22537.0,22537.0,0.0,0.0,0.0
2015-09-01,572341.39,6065129.0,6065129.0,,,,2315.613,24539.0,24539.0,0.0,0.0,0.0
2015-10-01,548777.04,5952730.0,5952730.0,,,,1868.956,20273.0,20273.0,0.0,0.0,0.0
2015-11-01,479311.19,5258202.0,5258202.0,,,,3877.815,42541.0,42541.0,0.0,0.0,0.0
2015-12-01,245480.95,2701499.0,2701499.0,,,,888.05,9773.0,9773.0,0.0,0.0,0.0
2016-01-01,-5067.005,90536.0,90536.0,,,,-1596.995,28535.0,28535.0,0.0,0.0,0.0
2016-02-01,249501.45,2782357.0,2782357.0,,,,4970.551,55430.0,55430.0,0.0,0.0,0.0
2016-03-01,345402.04,3638914.0,3638914.0,,,,3741.962,39423.0,39423.0,0.0,0.0,0.0
2016-04-01,407988.08,4488210.0,4488210.0,,,,1248.924,13739.0,13739.0,0.0,0.0,0.0
2016-05-01,264036.65,2995095.0,2995095.0,,,,2644.352,29996.0,29996.0,0.0,0.0,0.0
2016-06-01,521869.16,5552785.0,5552785.0,,,,2787.843,29663.0,29663.0,0.0,0.0,0.0
2016-07-01,655182.94,6763265.0,6763265.0,,,,2938.062,30329.0,30329.0,0.0,0.0,0.0
2016-08-01,693058.02,7106766.0,7106766.0,,,,1938.983,19883.0,19883.0,0.0,0.0,0.0
2016-09-01,526680.96,5879580.0,5879580.0,,,,4286.037,47847.0,47847.0,0.0,0.0,0.0
2016-10-01,530715.99,5637697.0,5637697.0,,,,4811.014,51107.0,51107.0,0.0,0.0,0.0
2016-11-01,438764.83,4693980.0,4693980.0,,,,1518.166,16242.0,16242.0,0.0,0.0,0.0
2016-12-01,276067.09,2988604.0,2988604.0,,,,1929.911,20893.0,20893.0,0.0,0.0,0.0
2017-01-01,287559.56,3004936.0,3004936.0,,,,2714.44,28365.0,28365.0,0.0,0.0,0.0
2017-02-01,219801.22,2333216.0,2333216.0,,,,2105.778,22353.0,22353.0,0.0,0.0,0.0
2017-03-01,244864.43,2550130.0,2550130.0,,,,2661.567,27719.0,27719.0,0.0,0.0,0.0
2017-04-01,523508.05,5447760.0,5447760.0,,,,2493.949,25953.0,25953.0,0.0,0.0,0.0
2017-05-01,582598.86,6211231.0,6211231.0,,,,2033.141,21676.0,21676.0,0.0,0.0,0.0
2017-06-01,484412.17,5358803.0,5358803.0,,,,5638.827,62379.0,62379.0,0.0,0.0,0.0
2017-07-01,568900.96,6106312.0,6106312.0,,,,2518.044,27027.0,27027.0,0.0,0.0,0.0
2017-08-01,568438.25,6112647.0,6112647.0,,,,2320.755,24956.0,24956.0,0.0,0.0,0.0
2017-09-01,523192.72,5677737.0,5677737.0,,,,3016.282,32733.0,32733.0,0.0,0.0,0.0
2017-10-01,493732.52,5429818.0,5429818.0,,,,4939.484,54322.0,54322.0,0.0,0.0,0.0
2017-11-01,376210.23,4069250.0,4069250.0,,,,2113.774,22863.0,22863.0,0.0,0.0,0.0
2017-12-01,197488.99,2266590.0,2266590.0,,,,4008.011,46000.0,46000.0,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
