measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combined Cycle Combustion Turbine Part Generation,Kerosene-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Kerosene-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2009-08-01,0.0,0.0,0.0,,,,146.717,2948.0,2948.0,0.0,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,,,,33.995,680.0,680.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,,14.18,284.0,284.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,,19.738,397.0,397.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,,34.642,697.0,697.0,0.0,0.0,0.0,,,
2010-01-01,,,,0.0,0.0,0.0,,,,356.111,5312.0,5312.0,,,
2010-02-01,,,,0.0,0.0,0.0,,,,538.943,8040.0,8040.0,,,
2010-03-01,,,,0.0,0.0,0.0,,,,61.291000000000004,915.0,915.0,,,
2010-04-01,,,,0.0,0.0,0.0,,,,13.151,194.0,194.0,,,
2010-05-01,,,,0.0,0.0,0.0,,,,59.048,881.0,881.0,,,
2010-06-01,,,,0.0,0.0,0.0,,,,137.82500000000002,2053.0,2053.0,,,
2010-07-01,,,,0.0,0.0,0.0,,,,420.296,6267.0,6267.0,,,
2010-08-01,,,,0.0,0.0,0.0,,,,181.36,2705.0,2705.0,,,
2010-09-01,,,,0.0,0.0,0.0,,,,31.017000000000003,463.0,463.0,,,
2010-10-01,,,,0.0,0.0,0.0,,,,213.256,3179.0,3179.0,,,
2010-11-01,,,,0.0,0.0,0.0,,,,973.26,14518.0,14518.0,,,
2010-12-01,,,,0.0,0.0,0.0,,,,450.442,6719.0,6719.0,,,
2011-01-01,,,,0.0,0.0,0.0,,,,580.233,9112.0,9112.0,,,
2011-02-01,,,,0.0,0.0,0.0,,,,42.432,663.0,663.0,,,
2011-03-01,,,,0.0,0.0,0.0,,,,19.887,312.0,312.0,,,
2011-04-01,,,,0.0,0.0,0.0,,,,37.24,584.0,584.0,,,
2011-05-01,,,,0.0,0.0,0.0,,,,95.037,1491.0,1491.0,,,
2011-06-01,,,,0.0,0.0,0.0,,,,175.215,2750.0,2750.0,,,
2011-07-01,,,,0.0,0.0,0.0,,,,343.204,5387.0,5387.0,,,
2011-08-01,,,,0.0,0.0,0.0,,,,318.812,5007.0,5007.0,,,
2011-09-01,,,,0.0,0.0,0.0,,,,69.576,1094.0,1094.0,,,
2011-10-01,,,,0.0,0.0,0.0,,,,12.524,198.0,198.0,,,
2011-11-01,,,,0.0,0.0,0.0,,,,40.637,641.0,641.0,,,
2011-12-01,,,,0.0,0.0,0.0,,,,23.203,363.0,363.0,,,
2012-01-01,,,,0.0,0.0,0.0,,,,33.386,539.0,539.0,,,
2012-02-01,,,,0.0,0.0,0.0,,,,52.222,833.0,833.0,,,
2012-03-01,,,,0.0,0.0,0.0,,,,72.564,1157.0,1157.0,,,
2012-04-01,,,,0.0,0.0,0.0,,,,14.356,227.0,227.0,,,
2012-05-01,,,,0.0,0.0,0.0,,,,56.84,907.0,907.0,,,
2012-06-01,,,,0.0,0.0,0.0,,,,82.016,1304.0,1304.0,,,
2012-07-01,,,,0.0,0.0,0.0,,,,333.255,5307.0,5307.0,,,
2012-08-01,,,,0.0,0.0,0.0,,,,559.004,8902.0,8902.0,,,
2012-09-01,,,,0.0,0.0,0.0,,,,161.416,2569.0,2569.0,,,
2012-10-01,,,,0.0,0.0,0.0,,,,151.613,2415.0,2415.0,,,
2012-11-01,,,,0.0,0.0,0.0,,,,55.32,879.0,879.0,,,
2012-12-01,,,,0.0,0.0,0.0,,,,35.008,556.0,556.0,,,
2013-01-01,,,,0.0,0.0,0.0,,,,5001.195,79902.0,79902.0,,,
2013-02-01,,,,0.0,0.0,0.0,,,,813.366,12996.0,12996.0,,,
2013-03-01,,,,0.0,0.0,0.0,,,,269.823,4309.0,4309.0,,,
2013-04-01,,,,0.0,0.0,0.0,,,,149.614,2393.0,2393.0,,,
2013-05-01,,,,0.0,0.0,0.0,,,,103.496,1656.0,1656.0,,,
2013-06-01,,,,0.0,0.0,0.0,,,,172.022,2750.0,2750.0,,,
2013-07-01,,,,0.0,0.0,0.0,,,,1554.001,24829.0,24829.0,,,
2013-08-01,,,,0.0,0.0,0.0,,,,332.153,5307.0,5307.0,,,
2013-09-01,,,,0.0,0.0,0.0,,,,382.479,6112.0,6112.0,,,
2013-10-01,,,,0.0,0.0,0.0,,,,117.188,1871.0,1871.0,,,
2013-11-01,,,,0.0,0.0,0.0,,,,150.732,2410.0,2410.0,,,
2013-12-01,,,,0.0,0.0,0.0,,,,408.931,6532.0,6532.0,,,
2014-01-01,,,,0.0,0.0,0.0,,,,2027.367,29104.0,29104.0,,,
2014-02-01,,,,0.0,0.0,0.0,,,,91.206,1310.0,1310.0,,,
2014-03-01,,,,0.0,0.0,0.0,,,,260.014,3731.0,3731.0,,,
2014-04-01,,,,0.0,0.0,0.0,,,,5.189,74.0,74.0,,,
2014-05-01,,,,0.0,0.0,0.0,,,,6.256,91.0,91.0,,,
2014-06-01,,,,0.0,0.0,0.0,,,,7.309,108.0,108.0,,,
2014-07-01,,,,0.0,0.0,0.0,,,,8.436,119.0,119.0,,,
2014-08-01,,,,0.0,0.0,0.0,,,,63.623,913.0,913.0,,,
2014-09-01,,,,0.0,0.0,0.0,,,,7.393,108.0,108.0,,,
2014-10-01,,,,0.0,0.0,0.0,,,,4.641,68.0,68.0,,,
2014-11-01,,,,0.0,0.0,0.0,,,,11.08,159.0,159.0,,,
2014-12-01,,,,0.0,0.0,0.0,,,,58.486,839.0,839.0,,,
2015-01-01,,,,0.0,0.0,0.0,,,,4.925,68.0,68.0,,,
2015-02-01,,,,0.0,0.0,0.0,,,,19.715,295.0,295.0,,,
2015-03-01,,,,0.0,0.0,0.0,,,,0.817,11.0,11.0,,,
2015-04-01,,,,0.0,0.0,0.0,,,,0.213,6.0,6.0,,,
2015-05-01,,,,0.0,0.0,0.0,,,,0.33,6.0,6.0,,,
