measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed
2005-11-01,96.0,1515.89,1515.89,0.0,0.0,0.0,1066.0,16787.74,16787.74,,,
2005-12-01,3384.0,43719.8,43719.8,0.0,0.0,0.0,1751.0,22624.34,22624.34,,,
2006-01-01,9.0,129.0,129.0,0.0,0.0,0.0,1383.0,19688.0,19688.0,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,738.0,12679.0,12679.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,181.0,5683.0,5683.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,599.0,8773.0,8773.0,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,9807.0,118349.0,118349.0,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,14980.0,182662.0,182662.0,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,37214.0,454093.0,454093.0,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21480.0,265071.0,265071.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,6155.0,77711.0,77711.0,,,
2006-10-01,22.0,267.0,267.0,0.0,0.0,0.0,7904.0,89458.0,89458.0,,,
2006-11-01,91.0,1094.0,1094.0,0.0,0.0,0.0,8250.0,99176.0,99176.0,,,
2006-12-01,136.0,1715.0,1715.0,0.0,0.0,0.0,4372.0,55372.0,55372.0,,,
2007-01-01,1607.385,18532.0,18532.0,0.0,0.0,0.0,3523.6150000000002,40625.0,40625.0,,,
2007-02-01,471.23,6615.0,6615.0,0.0,0.0,0.0,833.77,11705.0,11705.0,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2681.0,33440.0,33440.0,,,
2007-04-01,126.977,1422.0,1422.0,0.0,0.0,0.0,7352.023,82333.0,82333.0,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,24114.0,280585.0,280585.0,,,
2007-06-01,751.003,9087.0,9087.0,0.0,0.0,0.0,17054.997,206374.0,206374.0,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,38856.0,460241.0,460241.0,,,
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,45010.0,535253.0,535253.0,,,
2007-09-01,89.099,1079.0,1079.0,0.0,0.0,0.0,11473.901,138924.0,138924.0,,,
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,6998.0,84151.0,84151.0,,,
2007-11-01,16.68,203.0,203.0,0.0,0.0,0.0,1656.32,20168.0,20168.0,,,
2007-12-01,15.618,197.0,197.0,0.0,0.0,0.0,3086.382,39023.0,39023.0,,,
2008-01-01,471.56100000000004,6412.0,6412.0,0.0,0.0,0.0,2574.4390000000003,35006.0,35006.0,,,
2008-02-01,24.864,429.0,429.0,0.0,0.0,0.0,691.1360000000001,11930.0,11930.0,,,
2008-03-01,902.659,10782.0,10782.0,0.0,0.0,0.0,7175.341,85709.0,85709.0,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,20308.0,20308.0,,,
2008-05-01,0.0,0.0,0.0,-1.0,0.0,0.0,2151.0,29287.0,29287.0,,,
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,19178.0,240067.0,240067.0,,,
2008-07-01,,,,0.0,0.0,0.0,31353.0,379250.0,379250.0,,,
2008-08-01,,,,0.0,0.0,0.0,29994.0,362670.0,362670.0,,,
2008-09-01,,,,0.0,0.0,0.0,7731.0,94003.0,94003.0,,,
2008-10-01,,,,0.0,0.0,0.0,2330.0,30416.0,30416.0,,,
2008-11-01,1276.711,15886.0,15886.0,0.0,0.0,0.0,4332.289,53907.0,53907.0,,,
2008-12-01,299.285,4686.0,4686.0,0.0,0.0,0.0,1062.7150000000001,16641.0,16641.0,,,
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,306.0,8913.0,8913.0,,,
2009-02-01,80.822,2082.0,2082.0,0.0,0.0,0.0,161.178,4152.0,4152.0,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,858.0,14438.0,14438.0,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1183.0,17326.0,17326.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1260.0,17821.0,17821.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,7690.0,102554.0,102554.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4392.0,59566.0,59566.0,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5968.0,79123.0,79123.0,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2516.0,33392.0,33392.0,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-183.0,550.0,550.0,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,370.0,7431.0,7431.0,,,
2009-12-01,54.181000000000004,742.0,742.0,0.0,0.0,0.0,4977.819,68207.0,68207.0,,,
2010-01-01,31.967000000000002,586.0,586.0,0.0,0.0,0.0,738.033,13524.0,13524.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,15084.0,15084.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,160.0,4933.0,4933.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,241.0,5418.0,5418.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3502.0,45055.0,45055.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,11540.0,143416.0,143416.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14674.0,181869.0,181869.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,21290.0,266042.0,266042.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,2535.0,33331.0,33331.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,812.0,11858.0,11858.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1258.0,19747.0,19747.0,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,701.0,13717.0,13717.0,,,
2011-01-01,-106.979,945.0,945.0,0.0,0.0,0.0,-143.021,1264.0,1264.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-207.0,1194.0,1194.0,,,
2011-03-01,31.778,441.0,441.0,0.0,0.0,0.0,1695.222,23515.0,23515.0,,,
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,224.0,5326.0,5326.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1676.0,22734.0,22734.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,11385.0,143213.0,143213.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31394.0,385355.0,385355.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,17558.0,214669.0,214669.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4624.0,58844.0,58844.0,,,
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1151.0,17988.0,17988.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,209.0,5314.0,5314.0,,,
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0,313.0,8556.0,8556.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-140.0,2144.0,2144.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4261.0,4261.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-170.0,372.0,372.0,,,
2012-04-01,1714.107,21651.0,21651.0,0.0,0.0,0.0,6298.893,79563.0,79563.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,14257.0,177930.0,177930.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16775.0,213516.0,213516.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,44417.0,574158.0,574158.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,11781.0,153099.0,153099.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,40547.0,40547.0,,,
2012-10-01,-0.245,0.0,0.0,0.0,0.0,0.0,-190.755,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3034.0,3034.0,,,
2012-12-01,40.231,1085.0,1085.0,0.0,0.0,0.0,315.769,8513.0,8513.0,,,
2013-01-01,1.428,41.0,41.0,0.0,0.0,0.0,209.572,5957.0,5957.0,,,
2013-02-01,1.876,41.0,41.0,0.0,0.0,0.0,299.124,6473.0,6473.0,,,
2013-03-01,658.664,8074.0,8074.0,0.0,0.0,0.0,1874.336,22975.0,22975.0,,,
2013-04-01,-209.0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,1286.121,16443.0,16443.0,0.0,0.0,0.0,5868.879,75033.0,75033.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,8013.0,102353.0,102353.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18501.0,230296.0,230296.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,20587.0,256537.0,256537.0,,,
2013-09-01,36.801,470.0,470.0,0.0,0.0,0.0,5517.199,70433.0,70433.0,,,
2013-10-01,-3.336,35.0,35.0,0.0,0.0,0.0,-107.664,1123.0,1123.0,,,
2013-11-01,1.785,23.0,23.0,0.0,0.0,0.0,1059.215,13764.0,13764.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2105.0,32177.0,32177.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-234.0,1344.0,1344.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-310.0,191.0,191.0,,,
2014-03-01,1688.394,23844.0,23844.0,0.0,0.0,0.0,574.606,8115.0,8115.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2104.0,35870.0,35870.0,,,
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,8768.0,108423.0,108423.0,,,
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2693.0,41286.0,41286.0,,,
2014-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4006.0,54570.0,54570.0,,,
2014-08-01,1.308,17.0,17.0,0.0,0.0,0.0,7109.692,94595.0,94595.0,,,
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1920.0,27127.0,27127.0,,,
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2595.0,34531.0,34531.0,,,
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,15344.0,15344.0,,,
2014-12-01,0.0,0.0,0.0,0.0,0.0,0.0,2689.0,32297.0,32297.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2559.0,2559.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-94.0,812.0,812.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,120.0,3058.0,3058.0,,,
2015-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2026.0,28053.0,28053.0,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,954.0,13258.0,13258.0,,,
2015-06-01,166.426,2192.0,2192.0,0.0,0.0,0.0,6904.574,90957.0,90957.0,,,
2015-07-01,1373.147,18699.0,18699.0,0.0,0.0,0.0,12780.853,174047.0,174047.0,,,
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0,4770.0,68398.0,68398.0,,,
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,3286.0,45775.0,45775.0,,,
2015-10-01,0.0,0.0,0.0,2.0,23.0,23.0,207.0,3881.0,3881.0,,,
2015-11-01,0.0,0.0,0.0,2.0,29.0,29.0,175.0,4538.0,4538.0,,,
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,93.0,4011.0,4011.0,,,
2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-204.0,1027.0,1027.0,0.0,0.0,0.0
2016-02-01,-10.289,0.0,0.0,0.0,0.0,0.0,-218.711,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-154.0,219.0,219.0,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1457.0,19215.0,19215.0,,,
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,1542.0,21317.0,21317.0,,,
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16680.0,213138.0,213138.0,,,
2016-07-01,0.0,0.0,0.0,0.0,0.0,0.0,10587.0,143433.0,143433.0,,,
2016-08-01,0.0,0.0,0.0,2.0,17.0,17.0,9344.0,125462.0,125462.0,,,
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1684.0,25285.0,25285.0,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4201.0,57158.0,57158.0,,,
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0,7251.0,89596.0,89596.0,,,
2016-12-01,0.0,0.0,0.0,2.0,29.0,29.0,605.0,8228.0,8228.0,,,
2017-01-01,51.89,679.0,679.0,0.0,0.0,0.0,3387.951,44219.0,44219.0,,,
2017-02-01,28.297,371.0,371.0,0.0,0.0,0.0,2208.426,28825.0,28825.0,,,
2017-03-01,36.375,476.0,476.0,0.0,0.0,0.0,4328.696,56499.0,56499.0,,,
2017-04-01,44.119,574.0,574.0,0.0,0.0,0.0,4753.073,62038.0,62038.0,,,
2017-05-01,47.028,615.0,615.0,0.0,0.0,0.0,3774.626,49268.0,49268.0,,,
2017-06-01,32.305,423.0,423.0,0.0,0.0,0.0,7569.254,98796.0,98796.0,,,
2017-07-01,25.397,331.0,331.0,0.0,0.0,0.0,20558.73,268337.0,268337.0,,,
2017-08-01,21.018,273.0,273.0,0.0,0.0,0.0,12950.916,169038.0,169038.0,,,
2017-09-01,32.892,429.0,429.0,0.0,0.0,0.0,6845.565,89349.0,89349.0,,,
2017-10-01,38.181,499.0,499.0,0.0,0.0,0.0,5113.219,66739.0,66739.0,,,
2017-11-01,59.714,777.0,777.0,0.0,0.0,0.0,3641.667,47532.0,47532.0,,,
2017-12-01,58.259,760.0,760.0,2.0,23.0,23.0,4049.402,52854.0,52854.0,,,
2018-01-01,360.15,4866.0,4866.0,0.538,6.0,6.0,2613.317,35287.0,35287.0,,,
2018-02-01,269.534,3637.0,3637.0,0.402,6.0,6.0,2275.336,30724.0,30724.0,,,
2018-03-01,393.687,5319.0,5319.0,0.587,6.0,6.0,4229.975,57117.0,57117.0,,,
2018-04-01,280.025,3782.0,3782.0,0.418,6.0,6.0,3355.778,45313.0,45313.0,,,
2018-05-01,361.995,4889.0,4889.0,0.54,6.0,6.0,13319.915,179857.0,179857.0,,,
2018-06-01,506.442,6838.0,6838.0,0.756,6.0,6.0,11121.595,150174.0,150174.0,,,
2018-07-01,215.919,2917.0,2917.0,0.322,6.0,6.0,15939.994,215236.0,215236.0,,,
2018-08-01,294.012,3967.0,3967.0,0.439,6.0,6.0,10730.503,144893.0,144893.0,,,
2018-09-01,316.554,4275.0,4275.0,0.472,6.0,6.0,4028.07,54390.0,54390.0,,,
2018-10-01,340.601,4599.0,4599.0,0.508,6.0,6.0,11436.574,154427.0,154427.0,,,
2018-11-01,329.577,4449.0,4449.0,0.492,6.0,6.0,7419.536,100185.0,100185.0,,,
2018-12-01,352.4,4756.0,4756.0,0.526,6.0,6.0,3279.511,44283.0,44283.0,,,
2019-01-01,223.054,2999.0,2999.0,0.961,12.0,12.0,1774.26,23892.0,23892.0,,,
2019-02-01,207.675,2796.0,2796.0,0.894,6.0,6.0,4811.9,64800.0,64800.0,,,
2019-03-01,300.162,4043.0,4043.0,1.292,12.0,12.0,4885.497,65791.0,65791.0,,,
2019-04-01,174.651,2355.0,2355.0,0.752,6.0,6.0,6322.361,85141.0,85141.0,,,
2019-05-01,307.714,4141.0,4141.0,1.325,12.0,12.0,13738.862,185017.0,185017.0,,,
2019-06-01,263.49,3550.0,3550.0,1.134,12.0,12.0,10201.39,137379.0,137379.0,,,
2019-07-01,157.299,2117.0,2117.0,0.677,6.0,6.0,13557.985,182581.0,182581.0,,,
2019-08-01,207.38,2796.0,2796.0,0.893,6.0,6.0,15977.092,215158.0,215158.0,,,
2019-09-01,238.087,3207.0,3207.0,1.025,12.0,12.0,7869.059,105970.0,105970.0,,,
2019-10-01,252.032,3393.0,3393.0,1.085,12.0,12.0,2551.975,34366.0,34366.0,,,
2019-11-01,220.525,2970.0,2970.0,0.949,12.0,12.0,2543.215,34248.0,34248.0,,,
2019-12-01,235.382,3173.0,3173.0,1.013,12.0,12.0,5751.953,77460.0,77460.0,,,
2020-01-01,446.131,6032.0,6032.0,0.768,6.0,6.0,6982.849,94503.0,94503.0,,,
2020-02-01,463.845,6276.0,6276.0,0.798,6.0,6.0,4381.818,59301.0,59301.0,,,
2020-03-01,396.31,5365.0,5365.0,0.682,6.0,6.0,3087.119,41779.0,41779.0,,,
2020-04-01,449.447,6084.0,6084.0,0.773,6.0,6.0,2617.309,35421.0,35421.0,,,
2020-05-01,517.983,7012.0,7012.0,0.891,12.0,12.0,2850.143,38573.0,38573.0,,,
2020-06-01,624.421,8451.0,8451.0,1.074,12.0,12.0,7731.92,104640.0,104640.0,,,
2020-07-01,318.591,4309.0,4309.0,0.548,6.0,6.0,10495.782,142044.0,142044.0,,,
2020-08-01,516.452,6989.0,6989.0,0.888,12.0,12.0,6302.325,85292.0,85292.0,,,
2020-09-01,395.552,5353.0,5353.0,0.68,6.0,6.0,4000.283,54138.0,54138.0,,,
2020-10-01,493.51,6682.0,6682.0,0.849,12.0,12.0,5981.29,80948.0,80948.0,,,
2020-11-01,662.849,8973.0,8973.0,1.14,12.0,12.0,2688.678,36387.0,36387.0,,,
2020-12-01,528.42,7151.0,7151.0,0.909,12.0,12.0,2947.973,39897.0,39897.0,,,
2021-01-01,74.093,998.0,998.0,0.068,0.0,0.0,1121.394,15080.0,15080.0,,,
2021-02-01,912.31,12267.0,12267.0,0.839,12.0,12.0,13807.701,185685.0,185685.0,,,
2021-03-01,193.242,2598.0,2598.0,0.178,0.0,0.0,2924.689,39331.0,39331.0,,,
2021-04-01,353.939,4762.0,4762.0,0.326,6.0,6.0,5356.819,72038.0,72038.0,,,
2021-05-01,230.443,3097.0,3097.0,0.212,0.0,0.0,3487.718,46903.0,46903.0,,,
2021-06-01,1339.664,18015.0,18015.0,1.232,17.0,17.0,20275.639,272666.0,272666.0,,,
2021-07-01,1253.107,16849.0,16849.0,1.153,17.0,17.0,18965.611,255049.0,255049.0,,,
2021-08-01,1050.163,14123.0,14123.0,0.966,12.0,12.0,15894.081,213742.0,213742.0,,,
2021-09-01,149.541,2013.0,2013.0,0.138,0.0,0.0,2263.283,30436.0,30436.0,,,
2021-10-01,382.596,5145.0,5145.0,0.352,6.0,6.0,5790.542,77871.0,77871.0,,,
2021-11-01,658.174,8851.0,8851.0,0.605,6.0,6.0,9961.378,133960.0,133960.0,,,
2021-12-01,1013.325,13630.0,13630.0,0.932,12.0,12.0,15336.547,206245.0,206245.0,,,
2022-01-01,150.447,2100.0,2100.0,0.194,0.0,0.0,2182.113,30412.0,30412.0,,,
2022-02-01,282.92,3944.0,3944.0,0.365,6.0,6.0,4103.523,57190.0,57190.0,,,
2022-03-01,195.729,2726.0,2726.0,0.252,6.0,6.0,2838.897,39566.0,39566.0,,,
2022-04-01,233.141,3248.0,3248.0,0.301,6.0,6.0,3381.527,47128.0,47128.0,,,
2022-05-01,1103.376,15376.0,15376.0,1.423,17.0,17.0,16003.596,223040.0,223040.0,,,
2022-06-01,877.354,12226.0,12226.0,1.132,12.0,12.0,12725.322,177352.0,177352.0,,,
2022-07-01,2286.639,31871.0,31871.0,2.949,35.0,35.0,33165.885,462230.0,462230.0,,,
2022-08-01,1868.57,26042.0,26042.0,2.41,29.0,29.0,27102.128,377719.0,377719.0,,,
2022-09-01,950.84,13253.0,13253.0,1.226,17.0,17.0,13791.182,192206.0,192206.0,,,
2022-10-01,394.381,5498.0,5498.0,0.509,6.0,6.0,5720.178,79721.0,79721.0,,,
2022-11-01,212.585,2964.0,2964.0,0.274,6.0,6.0,3083.383,42973.0,42973.0,,,
2022-12-01,748.138,10428.0,10428.0,0.965,12.0,12.0,10851.146,151231.0,151231.0,,,
2023-01-01,292.598,3921.0,3921.0,0.254,6.0,6.0,6559.204,87921.0,87921.0,,,
2023-02-01,218.131,2923.0,2923.0,0.189,6.0,6.0,4889.86,65545.0,65545.0,,,
2023-03-01,257.418,3451.0,3451.0,0.224,6.0,6.0,5770.549,77350.0,77350.0,,,
2023-04-01,460.533,6171.0,6171.0,0.4,6.0,6.0,10323.8,138383.0,138383.0,,,
2023-05-01,603.125,8085.0,8085.0,0.524,12.0,12.0,13520.312,181230.0,181230.0,,,
2023-06-01,1013.137,13578.0,13578.0,0.88,17.0,17.0,22711.565,304431.0,304431.0,,,
2023-07-01,988.727,13253.0,13253.0,0.859,17.0,17.0,22164.372,297097.0,297097.0,,,
2023-08-01,1029.9,13804.0,13804.0,0.895,17.0,17.0,23087.345,309468.0,309468.0,,,
2023-09-01,338.08,4530.0,4530.0,0.294,6.0,6.0,7578.773,101587.0,101587.0,,,
2023-10-01,375.397,5034.0,5034.0,0.326,6.0,6.0,8415.31,112801.0,112801.0,,,
2023-11-01,679.665,9112.0,9112.0,0.59,12.0,12.0,15236.116,204228.0,204228.0,,,
2023-12-01,650.896,8723.0,8723.0,0.565,12.0,12.0,14591.184,195584.0,195584.0,,,
2024-01-01,702.232,9431.0,9431.0,0.406,23.0,23.0,25253.29,339092.0,339092.0,,,
2024-02-01,236.937,3184.0,3184.0,0.137,12.0,12.0,8520.617,114411.0,114411.0,,,
2024-03-01,466.328,6264.0,6264.0,0.27,17.0,17.0,16769.826,225179.0,225179.0,,,
2024-04-01,383.215,5145.0,5145.0,0.222,12.0,12.0,13780.979,185046.0,185046.0,,,
2024-05-01,496.974,6676.0,6676.0,0.288,17.0,17.0,17871.921,239977.0,239977.0,,,
2024-06-01,570.674,7662.0,7662.0,0.33,23.0,23.0,20522.275,275565.0,275565.0,,,
2024-07-01,947.559,12725.0,12725.0,0.548,35.0,35.0,34075.629,457555.0,457555.0,,,
2024-08-01,526.544,7070.0,7070.0,0.305,17.0,17.0,18935.306,254257.0,254257.0,,,
