measured_on,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-05-01,462.017,4583.0,4583.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,477.19800000000004,4733.0,4733.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,389.93100000000004,3868.0,3868.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,319.726,3171.0,3171.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,234.39100000000002,2325.0,2325.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,221.674,2199.0,2199.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,257.214,2551.0,2551.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,279.022,2768.0,2768.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,217.80200000000002,2153.0,2153.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,193.143,1909.0,1909.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,253.28400000000002,2503.0,2503.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,283.545,2803.0,2803.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,273.93,2708.0,2708.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,323.117,3194.0,3194.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,324.139,3204.0,3204.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,295.927,2925.0,2925.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,230.804,2281.0,2281.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,222.645,2201.0,2201.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,249.76,2469.0,2469.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,265.903,2628.0,2628.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,478.40200000000004,4714.0,4714.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,413.97200000000004,4079.0,4079.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-01,515.306,5078.0,5078.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-01,502.68100000000004,4953.0,4953.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,540.236,5323.0,5323.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,483.15500000000003,4761.0,4761.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-01,511.043,5036.0,5036.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,488.00300000000004,4809.0,4809.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,386.572,3809.0,3809.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-01,385.957,3803.0,3803.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,386.398,3808.0,3808.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-01,367.27500000000003,3619.0,3619.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-01,700.134,6833.0,6833.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-01,547.881,5347.0,5347.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,735.042,7174.0,7174.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-04-01,691.465,6749.0,6749.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-05-01,612.801,5981.0,5981.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,565.332,5518.0,5518.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07-01,677.894,6616.0,6616.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-08-01,636.707,6214.0,6214.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09-01,489.33200000000005,4776.0,4776.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10-01,441.24100000000004,4307.0,4307.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,482.064,4705.0,4705.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,606.1070000000001,5916.0,5916.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,339.319,3310.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,234.38400000000001,2287.0,2287.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,336.39,3282.0,3282.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,340.447,3321.0,3321.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,360.84200000000004,3520.0,3520.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,335.46,3273.0,3273.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,400.869,3911.0,3911.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,379.12800000000004,3699.0,3699.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,281.99600000000004,2751.0,2751.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,302.988,2956.0,2956.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-01,386.048,3766.0,3766.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,358.129,3494.0,3494.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,58.22,566.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,58.999,573.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,75.332,732.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,78.278,761.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,81.73,794.0,794.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,92.074,895.0,895.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,101.398,985.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,97.355,946.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,66.114,642.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,61.383,596.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,67.15,652.0,652.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,67.967,660.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,183.677,1748.0,1748.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,165.799,1578.0,1578.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,186.985,1779.0,1779.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,186.17,1772.0,1772.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,180.671,1719.0,1719.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,177.697,1691.0,1691.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,183.252,1744.0,1744.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,169.583,1614.0,1614.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,119.578,1138.0,1138.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,101.254,964.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,137.158,1305.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,137.176,1305.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,20.71,198.0,198.0,,,,,,
2013-02-01,17.742,169.0,169.0,,,,,,
2013-03-01,19.331,184.0,184.0,,,,,,
2013-04-01,19.306,184.0,184.0,,,,,,
2013-05-01,19.367,185.0,185.0,,,,,,
2013-06-01,22.686,216.0,216.0,,,,,,
2013-07-01,22.333,213.0,213.0,,,,,,
2013-08-01,20.333,194.0,194.0,,,,,,
2013-09-01,15.512,148.0,148.0,,,,,,
2013-10-01,15.08,144.0,144.0,,,,,,
2013-11-01,13.883,132.0,132.0,,,,,,
2013-12-01,14.717,140.0,140.0,,,,,,
