measured_on,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-12-01,7390.35,74066.09,74066.09,1381.33682,7240.1,67553.58,7133.54668,37389.6,348862.5,5929.05618,31076.41,289957.5,853.63932,4474.24,41746.8
2005-01-01,6138.99,61383.76,61383.76,363.13669,1903.34,16714.84,6286.44177,32949.6,289359.0,4613.52467,24181.21,212356.2,2497.99588,13092.93,114980.4
2005-02-01,4730.22,47297.47,47297.47,404.98889,2122.7,18575.22,6519.08405,34168.96,299004.3,4157.51114,21791.07,190688.4,2861.97192,15000.67,131267.2
2005-03-01,3933.27,39328.77,39328.77,294.13237,1541.66,16360.8,5770.85378,30247.21,320997.6,6436.14651,33734.26,358003.8,2728.26433,14299.86,151756.8
2005-04-01,5862.78,58621.94,58621.94,252.97189,1325.92,11631.06,4724.2795399999995,24761.72,217211.4,3745.56981,19631.94,172212.6,2371.52476,12430.05,109037.2
2005-05-01,5545.98,55454.25,55454.25,174.95780000000002,917.02,7532.39,4519.0431,23686.0,194556.6,6389.51507,33489.84,275085.3,2941.66603,15418.37,126646.4
2005-06-01,5173.74,51732.23,51732.23,227.25943999999998,1191.15,10426.69,4136.45836,21680.73,189781.2,6854.09301,35924.87,314466.6,3388.35219,17759.62,155458.0
2005-07-01,3115.53,31152.18,31152.18,186.74728,978.81,8101.98,3511.52589,18405.22,152346.6,6231.35385,32660.86,270345.6,2825.07698,14807.29,122565.2
2005-08-01,2130.48,21302.67,21302.67,158.97496999999998,833.25,8055.63,2952.17405,15473.45,149593.5,5675.58413,29747.86,287595.0,2305.69286,12085.0,116834.8
2005-09-01,3106.62,31063.09,31063.09,1071.29525,5615.06,45695.95,4381.1396,22963.19,186876.9,7901.69732,41415.76,337045.8,2757.78182,14454.57,117632.8
2005-10-01,2202.75,22025.3,22025.3,354.07712,1855.85,13111.9,5190.90949,27207.5,192225.6,7169.59781,37578.55,265498.8,3455.90759,18113.71,127976.4
2005-11-01,5421.24,54206.98,54206.98,186.62977,978.2,8132.88,5091.30911,26685.46,221867.1,5641.63755,29569.94,245849.1,2765.65857,14495.85,120520.8
2005-12-01,8958.51,89576.14,89576.14,1189.36603,6233.91,59781.2,5606.85694,29387.64,281817.9,4975.3079,26077.45,250074.3,2199.87314,11530.36,110572.4
2006-01-01,6151.86,61020.0,61020.0,910.53313,4772.45,48983.71,3853.65576,20198.46,207314.1,5561.4341,29149.56,299187.0,2387.78801,12515.29,128455.2
2006-02-01,7172.55,71145.0,71145.0,258.78540000000004,1356.39,12630.89,4442.03029,23282.35,216808.2,6284.55082,32939.69,306738.6,2751.72549,14422.82,134307.2
2006-03-01,8147.7,80817.0,80817.0,1868.78758,9795.02,99241.53,3494.46591,18315.81,185572.8,5362.90267,28108.98,284795.7,3132.89385,16420.67,166371.6
2006-04-01,5791.5,57446.0,57446.0,4734.119000000001,24813.29,201794.51,113.50934,594.95,4838.4,5808.73202,30445.75,247600.5,3044.23864,15956.0,129762.4
2006-05-01,6652.8,65989.0,65989.0,4204.25646,22036.09,190583.99,156.96474,822.71,7115.4,6503.38841,34086.7,294806.4,2841.75138,14894.69,128820.0
2006-06-01,8618.94,85491.0,85491.0,4411.89439,23124.39,201553.49,421.66517,2210.11,19263.4,6850.44902,35905.77,312956.7,3328.36042,17445.19,152053.2
2006-07-01,7104.24,70467.0,70467.0,3292.37473,17256.57,169728.55,0.0,0.0,0.0,5054.01976,26490.01,260544.9,2346.54651,12299.13,120969.2
2006-08-01,4264.92,42304.0,42304.0,3989.29837,20909.41,162282.68,0.0,0.0,0.0,5526.45378,28966.22,224813.4,3138.12084,16448.07,127657.2
2006-09-01,2196.81,21790.0,21790.0,5930.41906,31083.55,251788.65,3.7096199999999997,19.44,157.5,7468.46061,39145.0,317089.5,2958.04171,15504.21,125590.0
2006-10-01,5553.9,55089.0,55089.0,5928.88423,31075.5,228269.63,66.27051999999999,347.35,2551.5,7079.81922,37107.99,272582.1,3285.65702,17221.36,126502.0
2006-11-01,7247.79,71891.0,71891.0,2530.76232,13264.67,201988.15,281.55881,1475.75,22472.1,2332.16789,12223.76,186137.7,1207.89597,6331.03,96406.0
2006-12-01,9330.75,92552.0,92552.0,606.02744,3176.42,24777.68,6920.14599,36271.08,282933.0,7562.18433,39636.24,309183.0,3866.04423,20263.39,158064.8
2007-01-01,6486.48,64112.0,64112.0,571.514,2995.0,26655.0,5394.05,28274.0,251578.0,4977.336,26088.0,232142.0,2366.858,12403.0,110390.0
2007-02-01,6363.72,62899.0,62899.0,95.305,500.0,3924.0,6591.5560000000005,34549.0,271417.0,5773.005,30259.0,237712.0,3450.384,18088.0,142074.0
2007-03-01,8350.65,82538.0,82538.0,197.166,1033.0,8309.0,8028.73,42084.0,338348.0,6386.737,33476.0,269151.0,4172.755,21873.0,175849.0
2007-04-01,6438.96,63643.0,63643.0,295.446,1548.0,13524.0,5557.964,29131.0,254413.0,5250.955,27523.0,240360.0,2893.927,15170.0,132468.0
2007-05-01,6746.85,66686.0,66686.0,108.16,567.0,4487.0,4926.473,25824.0,204359.0,4372.894,22919.0,181396.0,2912.1620000000003,15261.0,120802.0
2007-06-01,3280.86,32428.0,32428.0,1862.28,9761.0,80162.0,3540.851,18560.0,152416.0,6663.5070000000005,34925.0,286831.0,3426.842,17959.0,147508.0
2007-07-01,2420.55,23925.0,23925.0,4730.095,24792.0,190501.0,221.345,1159.0,8915.0,5464.599,28642.0,220082.0,2737.19,14349.0,110238.0
2007-08-01,646.47,6390.0,6390.0,4497.6720000000005,23574.0,180085.0,0.0,0.0,0.0,4769.78,25001.0,190980.0,2982.134,15633.0,119404.0
2007-09-01,0.0,0.0,0.0,6224.1140000000005,32623.0,228618.0,63.461000000000006,334.0,2331.0,7031.011,36853.0,258256.0,4081.09,21394.0,149902.0
2007-10-01,2342.34,23152.0,23152.0,3540.95,18560.0,185041.0,52.081,271.0,2722.0,4993.683,26174.0,260957.0,2191.693,11491.0,114532.0
2007-11-01,0.0,0.0,0.0,5801.234,30407.0,229652.0,292.507,1531.0,11579.0,3837.2850000000003,20112.0,151906.0,3342.241,17518.0,132308.0
2007-12-01,6518.16,64425.0,64425.0,7196.854,37722.0,285139.0,1413.606,7409.0,56007.0,6810.273,35696.0,269823.0,3137.0660000000003,16439.0,124290.0
2008-01-01,6018.0,59301.0,59301.0,1937.298,10154.0,64823.0,2760.018,14466.0,92352.0,6194.397,32467.0,207268.0,3741.338,19610.0,125187.0
2008-02-01,6127.110000000001,60377.0,60377.0,5620.581,29460.0,183495.0,413.15700000000004,2166.0,13488.0,7264.119000000001,38074.0,237151.0,3419.045,17920.0,111621.0
2008-03-01,7751.7,76385.0,76385.0,6476.884,33948.0,222046.0,211.697,1110.0,7258.0,6147.31,32220.0,210748.0,4442.786,23286.0,152312.0
2008-04-01,6127.110000000001,60377.0,60377.0,5804.761,30425.0,175385.0,0.0,0.0,0.0,7471.343000000001,39160.0,225740.0,3440.797,18035.0,103960.0
2008-05-01,5527.17,54465.0,54465.0,3703.623,19412.0,142303.0,0.0,0.0,0.0,3673.223,19253.0,141135.0,2706.304,14185.0,103983.0
2008-06-01,3359.07,33100.0,33100.0,5250.967000000001,27522.0,183884.0,0.0,0.0,0.0,7158.785000000001,37522.0,250694.0,4765.213000000001,24976.0,166873.0
2008-07-01,3414.51,33647.0,33647.0,3637.2400000000002,19064.0,133332.0,0.0,0.0,0.0,5820.063,30505.0,213350.0,3617.1820000000002,18959.0,132597.0
2008-08-01,5337.09,52592.0,52592.0,3778.141,19803.0,148069.0,0.0,0.0,0.0,4672.8910000000005,24492.0,183135.0,3198.367,16764.0,125347.0
2008-09-01,3373.92,33247.0,33247.0,4927.68,25828.0,169462.0,0.0,0.0,0.0,7434.014,38964.0,255654.0,3139.469,16455.0,107966.0
2008-10-01,2733.39,26935.0,26935.0,3727.965,19540.0,129502.0,0.0,0.0,0.0,4415.639,23144.0,153390.0,3724.744,19523.0,129390.0
2008-11-01,5787.54,57030.0,57030.0,3633.181,19043.0,121750.0,0.0,0.0,0.0,5154.776,27018.0,172740.0,3923.5330000000004,20565.0,131480.0
2008-12-01,6729.03,66308.0,66308.0,3686.295,19321.0,124257.0,1588.276,8325.0,53537.0,7694.921,40332.0,259379.0,5115.838000000001,26814.0,172444.0
2009-01-01,7572.51,73908.0,73908.0,273.945,1436.0,9430.0,5287.385,27713.0,182001.0,8539.296,44758.0,293937.0,5259.022,27565.0,181024.0
2009-02-01,3766.95,36765.0,36765.0,1395.492,7314.0,48409.0,2904.5040000000004,15224.0,100756.0,3720.7250000000004,19502.0,129070.0,4107.868,21531.0,142500.0
2009-03-01,7951.68,77608.0,77608.0,4528.727,23737.0,155961.0,527.774,2766.0,18176.0,6046.865000000001,31694.0,208242.0,4778.075,25044.0,164548.0
2009-04-01,6946.83,67801.0,67801.0,3889.9990000000003,20389.0,128951.0,0.0,0.0,0.0,4291.1810000000005,22492.0,142250.0,4000.226,20967.0,132605.0
2009-05-01,6372.63,62197.0,62197.0,4143.995,21720.0,138365.0,4.34,23.0,145.0,6441.4580000000005,33762.0,215076.0,3953.951,20724.0,132020.0
2009-06-01,7321.05,71453.0,71453.0,4130.37,21649.0,146982.0,0.0,0.0,0.0,7049.398,36949.0,250858.0,4773.696,25021.0,169875.0
2009-07-01,0.0,0.0,0.0,2746.186,14394.0,109482.0,0.0,0.0,0.0,4404.501,23086.0,175594.0,3301.2180000000003,17303.0,131609.0
2009-08-01,0.0,0.0,0.0,3019.9570000000003,15829.0,124050.0,0.0,0.0,0.0,3682.598,19302.0,151269.0,2963.8250000000003,15535.0,121744.0
2009-09-01,0.0,0.0,0.0,4557.2390000000005,23886.0,158505.0,0.0,0.0,0.0,9014.623,47249.0,313536.0,3556.049,18639.0,123682.0
2009-10-01,0.0,0.0,0.0,4273.091,22397.0,146903.0,2.749,14.0,95.0,7014.404,36765.0,241145.0,3811.434,19977.0,131032.0
2009-11-01,0.0,0.0,0.0,4137.219,21685.0,146688.0,1.244,7.0,44.0,5765.968,30222.0,204437.0,3918.1270000000004,20536.0,138920.0
2009-12-01,0.0,0.0,0.0,5367.9310000000005,28135.0,189172.0,8.581000000000001,45.0,302.0,7830.118,41041.0,275942.0,4786.511,25088.0,168682.0
2010-01-01,,,,4202.607,22027.0,148988.0,164.024,860.0,5815.0,6641.121,34809.0,235437.0,3920.112,20547.0,138974.0
2010-02-01,,,,4197.895,22003.0,151283.0,62.234,326.0,2243.0,6682.5740000000005,35026.0,240826.0,3851.679,20188.0,138806.0
2010-03-01,,,,4039.3630000000003,21172.0,159628.0,213.304,1118.0,8429.0,4729.094,24787.0,186885.0,3832.482,20087.0,151453.0
2010-04-01,,,,3474.992,18214.0,122421.0,4.471,23.0,158.0,7390.852000000001,38738.0,260373.0,3837.64,20115.0,135196.0
2010-05-01,,,,3525.918,18481.0,125919.0,0.0,0.0,0.0,6918.857,36264.0,247088.0,3675.476,19265.0,131260.0
2010-06-01,,,,3851.9010000000003,20189.0,139371.0,3.1340000000000003,16.0,113.0,7189.073,37681.0,260119.0,4558.8460000000005,23895.0,164950.0
2010-07-01,,,,2495.571,13080.0,96895.0,0.0,0.0,0.0,5668.24,29709.0,220080.0,3426.05,17957.0,133023.0
2010-08-01,,,,2719.23,14253.0,100531.0,0.0,0.0,0.0,7114.5830000000005,37290.0,263029.0,3373.193,17680.0,124708.0
2010-09-01,,,,3798.851,19911.0,147424.0,0.0,0.0,0.0,5750.182000000001,30139.0,223150.0,4031.53,21131.0,156454.0
2010-10-01,,,,3678.828,19282.0,133302.0,0.0,0.0,0.0,6011.42,31508.0,217823.0,2739.875,14361.0,99279.0
2010-11-01,,,,4081.0820000000003,21390.0,149888.0,0.0,0.0,0.0,7106.821,37250.0,261015.0,3773.5710000000004,19779.0,138594.0
2010-12-01,,,,5046.612,26451.0,179349.0,398.509,2089.0,14162.0,8951.686,46919.0,318129.0,4790.947,25111.0,170263.0
2011-01-01,,,,3732.015,19561.0,135339.0,543.41,2848.0,19706.0,5479.041,28718.0,198694.0,3625.394,19002.0,131472.0
2011-02-01,,,,3971.571,20816.0,141361.0,149.742,785.0,5330.0,6805.987,35673.0,242248.0,3799.861,19916.0,135250.0
2011-03-01,,,,4784.266,25076.0,189328.0,35.661,187.0,1411.0,5523.67,28952.0,218589.0,3753.607,19674.0,148542.0
2011-04-01,,,,3934.138,20620.0,144072.0,0.0,0.0,0.0,6184.845,32417.0,226496.0,3481.746,18249.0,127505.0
2011-05-01,,,,3371.591,17672.0,128935.0,0.0,0.0,0.0,6703.886,35138.0,256368.0,3430.182,17979.0,131176.0
2011-06-01,,,,3510.527,18400.0,137649.0,0.0,0.0,0.0,7979.382,41823.0,312875.0,4224.44,22142.0,165642.0
2011-07-01,,,,2343.67,12284.0,92821.0,0.0,0.0,0.0,5131.972,26899.0,203251.0,3252.83,17049.0,128828.0
2011-08-01,,,,2641.714,13846.0,107076.0,0.0,0.0,0.0,5308.512,27824.0,215168.0,3141.239,16464.0,127323.0
2011-09-01,,,,3894.88,20415.0,157236.0,0.0,0.0,0.0,5656.187,29646.0,228339.0,3763.493,19726.0,151932.0
2011-10-01,,,,3010.581,15780.0,111762.0,129.825,680.0,4820.0,6496.439,34050.0,241168.0,2722.216,14268.0,101057.0
2011-11-01,,,,3429.424,17975.0,124241.0,0.0,0.0,0.0,5587.965,29289.0,202440.0,3673.936,19256.0,133099.0
2011-12-01,,,,4961.832,26007.0,177357.0,0.0,0.0,0.0,6778.49,35529.0,242292.0,4610.706,24166.0,164806.0
2012-01-01,,,,4075.968,21364.0,142972.0,124.107,650.0,4353.0,5513.949,28901.0,193412.0,3683.121,19305.0,129192.0
2012-02-01,,,,4307.677,22578.0,145218.0,0.0,0.0,0.0,6154.478,32258.0,207476.0,3209.636,16823.0,108201.0
2012-03-01,,,,4470.338,23431.0,161917.0,0.0,0.0,0.0,5514.916,28906.0,199752.0,4640.115,24321.0,168066.0
2012-04-01,,,,3258.753,17080.0,123593.0,0.0,0.0,0.0,5075.195,26601.0,192484.0,3482.544,18253.0,132080.0
2012-05-01,,,,1826.795,9575.0,111432.0,0.0,0.0,0.0,8433.04,44201.0,514402.0,2225.986,11667.0,135782.0
2012-06-01,,,,3358.27,17602.0,137011.0,0.0,0.0,0.0,6778.447,35528.0,276547.0,4112.214,21554.0,167770.0
2012-07-01,,,,1967.173,10311.0,81006.0,0.0,0.0,0.0,5786.551,30329.0,238285.0,3191.775,16729.0,131434.0
2012-08-01,,,,1900.78,9963.0,81473.0,0.0,0.0,0.0,4723.892,24760.0,202480.0,3113.73,16320.0,133464.0
2012-09-01,,,,2837.308,14871.0,123180.0,0.0,0.0,0.0,3932.188,20610.0,170713.0,3377.034,17700.0,146612.0
2012-10-01,,,,3183.625,16687.0,118280.0,0.0,0.0,0.0,5586.564,29281.0,207556.0,3212.434,16838.0,119350.0
2012-11-01,,,,3912.989,20509.0,137546.0,0.0,0.0,0.0,6007.829,31489.0,211182.0,2631.263,13791.0,92492.0
2012-12-01,,,,4977.612,26090.0,176420.0,0.0,0.0,0.0,8070.025,42298.0,286024.0,4589.233,24054.0,162655.0
2013-01-01,,,,3219.924,16877.0,120983.0,479.209,2512.0,18005.0,5687.685,29811.0,213704.0,3684.182,19310.0,138426.0
2013-02-01,,,,3486.128,18272.0,121598.0,262.075,1374.0,9141.0,4957.875,25986.0,172933.0,3996.922,20949.0,139414.0
2013-03-01,,,,4519.246,23687.0,160564.0,0.0,0.0,0.0,5880.427,30822.0,208925.0,4824.327,25286.0,171403.0
2013-04-01,,,,3177.429,16654.0,114801.0,0.0,0.0,0.0,6075.109,31842.0,219494.0,3553.462,18625.0,128387.0
2013-05-01,,,,2571.649,13479.0,98783.0,0.0,0.0,0.0,5492.79,28790.0,210991.0,3523.561,18468.0,135348.0
2013-06-01,,,,1959.859,10272.0,77849.0,0.0,0.0,0.0,3193.671,16739.0,126859.0,3189.47,16717.0,126692.0
2013-07-01,,,,2860.236,14992.0,117539.0,0.0,0.0,0.0,6078.73,31861.0,249801.0,4143.034,21715.0,170255.0
2013-08-01,,,,2689.344,14096.0,112191.0,0.0,0.0,0.0,4149.182,21747.0,173090.0,2383.474,12493.0,99431.0
2013-09-01,,,,3034.202,15903.0,111599.0,0.0,0.0,0.0,4404.973,23088.0,162017.0,3976.825,20844.0,146270.0
2013-10-01,,,,2209.154,11579.0,85703.0,0.0,0.0,0.0,5611.843,29414.0,217709.0,3118.003,16343.0,120962.0
2013-11-01,,,,2905.325,15228.0,102416.0,0.0,0.0,0.0,6117.03,32062.0,215632.0,3796.645,19900.0,133836.0
2013-12-01,,,,4770.795,25006.0,163802.0,13.211,69.0,454.0,8505.433,44580.0,292028.0,5176.561,27132.0,177734.0
2014-01-01,,,,2424.076,12705.0,85288.0,1407.589,7378.0,49524.0,5775.993,30274.0,203221.0,4117.342,21581.0,144864.0
2014-02-01,,,,3238.311,16973.0,117807.0,454.759,2384.0,16544.0,5620.591,29460.0,204473.0,3773.339,19777.0,137271.0
2014-03-01,,,,4587.58,24045.0,164416.0,296.548,1554.0,10628.0,8412.696,44094.0,301505.0,4660.176,24426.0,167018.0
2014-04-01,,,,3727.366,19537.0,135336.0,0.0,0.0,0.0,4134.447,21670.0,150116.0,3527.187,18487.0,128068.0
2014-05-01,,,,2700.639,14155.0,105175.0,0.0,0.0,0.0,5023.602,26331.0,195642.0,3911.759,20503.0,152342.0
2014-06-01,,,,3004.744,15749.0,121992.0,0.0,0.0,0.0,6636.231,34783.0,269430.0,2765.025,14493.0,112260.0
2014-07-01,,,,2813.547,14747.0,85173.0,0.0,0.0,0.0,7037.465,36886.0,213041.0,4522.988,23707.0,136922.0
2014-08-01,,,,2348.306,12308.0,68824.0,0.0,0.0,0.0,7288.441,38201.0,213608.0,4787.253,25092.0,140304.0
2014-09-01,,,,2208.562,11576.0,105232.0,0.0,0.0,0.0,3995.691,20943.0,190384.0,3112.747,16315.0,148314.0
2014-10-01,,,,1402.111,7349.0,82819.0,0.0,0.0,0.0,3652.311,19143.0,215733.0,1985.578,10407.0,117283.0
2014-11-01,,,,3093.748,16215.0,115682.0,0.0,0.0,0.0,6545.035,34305.0,244734.0,2302.217,12067.0,86085.0
2014-12-01,,,,3122.95,16369.0,120284.0,0.0,0.0,0.0,7804.28,40905.0,300592.0,4712.77,24701.0,181518.0
2015-01-01,,,,3155.32,16538.0,122766.0,7.448,39.0,290.0,8016.722,42019.0,311911.0,5120.51,26839.0,199226.0
2015-02-01,,,,2029.338,10637.0,84682.0,0.0,0.0,0.0,6165.064,32313.0,257263.0,3729.598,19548.0,155633.0
2015-03-01,,,,3240.765,16986.0,129856.0,0.0,0.0,0.0,5452.347,28578.0,218474.0,4338.888,22742.0,173858.0
2015-04-01,,,,2425.837,12715.0,97804.0,0.0,0.0,0.0,1869.335,9798.0,75367.0,3793.828,19885.0,152958.0
2015-05-01,,,,1926.418,10097.0,77712.0,0.0,0.0,0.0,4812.201,25223.0,194126.0,3533.381,18520.0,142538.0
2015-06-01,,,,1659.099,8696.0,55185.0,0.0,0.0,0.0,6759.512,35429.0,224837.0,4220.389,22121.0,140380.0
2015-07-01,,,,1353.332,7093.0,56327.0,0.0,0.0,0.0,4893.749,25650.0,203681.0,3201.919,16782.0,133266.0
2015-08-01,,,,1370.663,7184.0,56749.0,0.0,0.0,0.0,5592.307,29311.0,231536.0,3263.03,17103.0,135098.0
2015-09-01,,,,1408.514,7383.0,69727.0,0.0,0.0,0.0,3753.446,19673.0,185810.0,2908.04,15242.0,143959.0
2015-10-01,,,,2936.68,15392.0,133857.0,0.0,0.0,0.0,5366.912,28130.0,244629.0,579.408,3037.0,26410.0
2015-11-01,,,,2071.0,10855.0,82729.0,0.0,0.0,0.0,6206.444,32530.0,247924.0,2398.556,12572.0,95813.0
2015-12-01,,,,3083.472,16162.0,115365.0,0.0,0.0,0.0,7941.25,41623.0,297114.0,4285.278,22461.0,160330.0
2016-01-01,,,,3894.893,20056.0,148129.0,0.0,0.0,0.0,6336.38,32628.0,240983.0,2437.965,12554.0,92720.0
2016-02-01,,,,3827.014,19707.0,147028.0,0.0,0.0,0.0,6661.709,34304.0,255933.0,2811.432,14477.0,108011.0
2016-03-01,,,,4993.789,25715.0,193173.0,0.0,0.0,0.0,7287.212,37524.0,281889.0,3203.837,16498.0,123933.0
2016-04-01,,,,2972.786,15308.0,138359.0,0.0,0.0,0.0,3972.789,20457.0,184901.0,1375.425,7083.0,64015.0
2016-05-01,,,,740.176,3811.0,45558.0,0.0,0.0,0.0,5693.905,29320.0,350461.0,4453.8,22934.0,274132.0
2016-06-01,,,,1447.202,7452.0,82496.0,0.0,0.0,0.0,7749.056,39903.0,441725.0,4671.434,24055.0,266289.0
2016-07-01,,,,3641.375,18751.0,203007.0,0.0,0.0,0.0,5652.668,29108.0,315137.0,1037.825,5344.0,57859.0
2016-08-01,,,,4098.345,21104.0,183685.0,0.0,0.0,0.0,4239.515,21831.0,190012.0,229.937,1184.0,10306.0
2016-09-01,,,,5545.929,28558.0,304743.0,0.0,0.0,0.0,4641.222,23899.0,255030.0,1196.245,6160.0,65732.0
2016-10-01,,,,3923.488,20203.0,160280.0,0.0,0.0,0.0,5452.295,28076.0,222734.0,1346.927,6936.0,55024.0
2016-11-01,,,,4658.58,23989.0,193220.0,0.0,0.0,0.0,5491.701,28279.0,227774.0,413.019,2127.0,17130.0
2016-12-01,,,,4091.757,21070.0,169971.0,0.0,0.0,0.0,5740.658,29561.0,238466.0,2553.534,13149.0,106073.0
2017-01-01,,,,3085.781,15890.0,125600.0,0.0,0.0,0.0,6034.361,31073.0,245616.0,2799.102,14414.0,113932.0
2017-02-01,,,,2649.779,13645.0,117434.0,0.0,0.0,0.0,4566.984,23517.0,202402.0,3082.455,15873.0,136610.0
2017-03-01,,,,2707.565,13942.0,135881.0,0.0,0.0,0.0,4793.184,24682.0,240549.0,2882.015,14841.0,144636.0
2017-04-01,,,,2049.024,10551.0,117224.0,0.0,0.0,0.0,4630.587,23845.0,264915.0,1730.696,8912.0,99013.0
