measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municipal Solid Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-04-01,199260.0,2043236.0,2043236.0,1490.0,15278.0,15278.0,0.0,0.0,0.0,0.0,0.0,0.0,136988.0,1404693.0,1404693.0
2004-05-01,461204.0,4676351.0,4676351.0,448.0,4543.0,4543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,544421.0,5521991.0,5521991.0,502.0,4980.0,4980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,550545.0,5596254.0,5596254.0,99.0,1006.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,578728.0,5752656.0,5752656.0,79.0,782.0,782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,551701.0,5690261.0,5690261.0,193.0,1990.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,84593.0,877729.0,877729.0,1288.0,13363.0,13363.0,0.0,0.0,0.0,0.0,0.0,0.0,305840.0,3173351.0,3173351.0
2004-11-01,320614.0,3009093.0,3009093.0,301.0,2823.0,2823.0,0.0,0.0,0.0,0.0,0.0,0.0,185409.0,1740141.0,1740141.0
2004-12-01,481511.0,4703433.0,4703433.0,7.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,87569.0,855378.0,855378.0
2005-01-01,196535.0,2098742.82,2098742.82,114.0,1219.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,3483.0,37195.35,37195.35
2005-02-01,24797.0,294922.8,294922.8,1041.0,12379.75,12379.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,151830.0,1267172.52,1267172.52,1676.0,13989.75,13989.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,238076.0,2536180.5,2536180.5,769.0,8188.0,8188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-01,351957.0,3581454.0,3581454.0,892.0,9079.25,9079.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-01,457596.0,4703168.32,4703168.32,44.0,529.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,597709.0,6142538.7,6142538.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01,551559.0,5602510.2,5602510.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-01,554578.0,5550955.54,5550955.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-01,384047.0,3891432.6,3891432.6,144.0,1460.5,1460.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-01,407746.0,4178042.96,4178042.96,925.0,9481.75,9481.75,0.0,0.0,0.0,0.0,0.0,0.0,6643.0,68064.84,68064.84
2005-12-01,449708.0,4481675.3,4481675.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68660.0,684253.08,684253.08
2006-01-01,291768.0,3314591.0,3314591.0,95.0,1081.0,1081.0,,,,0.0,0.0,0.0,41802.0,474885.0,474885.0
2006-02-01,450830.0,4487050.0,4487050.0,90.0,891.0,891.0,,,,0.0,0.0,0.0,32844.0,326895.0,326895.0
2006-03-01,450873.0,4525327.0,4525327.0,189.0,1898.0,1898.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-04-01,367912.0,3711548.0,3711548.0,340.0,3433.0,3433.0,,,,0.0,0.0,0.0,48691.0,491198.0,491198.0
2006-05-01,109015.0,1044000.0,1044000.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,405780.0,3886022.0,3886022.0
2006-06-01,102108.0,1031376.0,1031376.0,339.0,3421.0,3421.0,,,,0.0,0.0,0.0,333637.0,3370000.0,3370000.0
2006-07-01,143025.0,1244157.0,1244157.0,126.0,1093.0,1093.0,,,,0.0,0.0,0.0,409072.0,3558465.0,3558465.0
2006-08-01,20155.0,206050.0,206050.0,134.0,1369.0,1369.0,,,,0.0,0.0,0.0,471259.0,4817889.0,4817889.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,409753.0,4189648.0,4189648.0
2006-10-01,0.0,0.0,0.0,406.0,4106.0,4106.0,,,,0.0,0.0,0.0,623047.0,6305080.0,6305080.0
2006-11-01,20685.0,209574.0,209574.0,203.0,2053.0,2053.0,,,,0.0,0.0,0.0,476526.0,4828121.0,4828121.0
2006-12-01,20190.0,203953.0,203953.0,949.0,9585.0,9585.0,,,,0.0,0.0,0.0,569544.0,5753425.0,5753425.0
2007-01-01,327626.935,3401426.0,3401426.0,1437.222,14921.0,14921.0,,,,0.0,0.0,0.0,19585.843,203340.0,203340.0
2007-02-01,458265.208,4696305.0,4696305.0,427.547,4382.0,4382.0,,,,0.0,0.0,0.0,23738.246,243270.0,243270.0
2007-03-01,228009.438,2359551.0,2359551.0,1558.5620000000001,16129.0,16129.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,442800.784,4442676.0,4442676.0,1346.2160000000001,13507.0,13507.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,447487.708,4818622.0,4818622.0,295.29200000000003,3180.0,3180.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,46638.083,478319.0,478319.0,541.0260000000001,5549.0,5549.0,,,,0.0,0.0,0.0,534839.891,5485301.0,5485301.0
2007-07-01,0.0,0.0,0.0,888.755,9298.0,9298.0,,,,0.0,0.0,0.0,540718.245,5656751.0,5656751.0
2007-08-01,0.0,0.0,0.0,652.174,6866.0,6866.0,,,,0.0,0.0,0.0,550514.826,5795323.0,5795323.0
2007-09-01,0.0,0.0,0.0,520.14,5422.0,5422.0,,,,0.0,0.0,0.0,518862.86,5408940.0,5408940.0
2007-10-01,0.0,0.0,0.0,530.126,5555.0,5555.0,,,,0.0,0.0,0.0,526701.874,5518626.0,5518626.0
2007-11-01,0.0,0.0,0.0,1298.654,13766.0,13766.0,,,,0.0,0.0,0.0,494567.346,5242326.0,5242326.0
2007-12-01,0.0,0.0,0.0,752.73,8108.0,8108.0,,,,0.0,0.0,0.0,596704.27,6426978.0,6426978.0
2008-01-01,0.0,0.0,0.0,1365.866,14922.0,14922.0,,,,0.0,0.0,0.0,446455.134,4877430.0,4877430.0
2008-02-01,0.0,0.0,0.0,1347.776,14352.0,14352.0,,,,0.0,0.0,0.0,488706.224,5204062.0,5204062.0
2008-03-01,0.0,0.0,0.0,1680.005,17791.0,17791.0,,,,0.0,0.0,0.0,617257.995,6536486.0,6536486.0
2008-04-01,0.0,0.0,0.0,2060.338,21862.0,21862.0,,,,0.0,0.0,0.0,447227.662,4745370.0,4745370.0
2008-05-01,0.0,0.0,0.0,989.571,11356.0,11356.0,,,,0.0,0.0,0.0,106935.429,1227184.0,1227184.0
2008-06-01,0.0,0.0,0.0,514.551,5382.0,5382.0,,,,0.0,0.0,0.0,541166.449,5660386.0,5660386.0
2008-07-01,0.0,0.0,0.0,894.369,9683.0,9683.0,,,,0.0,0.0,0.0,474593.631,5138250.0,5138250.0
2008-08-01,3174.029,34298.0,34298.0,938.6740000000001,10143.0,10143.0,,,,0.0,0.0,0.0,586704.296,6339730.0,6339730.0
2008-09-01,0.0,0.0,0.0,874.587,9327.0,9327.0,,,,0.0,0.0,0.0,491656.413,5242969.0,5242969.0
2008-10-01,1814.779,19428.0,19428.0,2319.2000000000003,24829.0,24829.0,,,,0.0,0.0,0.0,385915.021,4131464.0,4131464.0
2008-11-01,1988.691,21168.0,21168.0,2252.6820000000002,23978.0,23978.0,,,,0.0,0.0,0.0,528244.627,5622624.0,5622624.0
2008-12-01,0.0,0.0,0.0,2610.5280000000002,28359.0,28359.0,,,,0.0,0.0,0.0,377248.472,4098171.0,4098171.0
2009-01-01,7985.289000000001,86164.0,86164.0,2193.891,23673.0,23673.0,,,,,,,476843.82,5145291.0,5145291.0
2009-02-01,1780.393,19188.0,19188.0,714.3520000000001,7699.0,7699.0,,,,,,,243120.255,2620203.0,2620203.0
2009-03-01,880.9580000000001,9590.0,9590.0,1509.688,16433.0,16433.0,,,,,,,326733.354,3556595.0,3556595.0
2009-04-01,1571.2930000000001,16912.0,16912.0,1820.325,19592.0,19592.0,,,,,,,427961.382,4606197.0,4606197.0
2009-05-01,0.0,0.0,0.0,3235.3210000000004,35658.0,35658.0,,,,,,,264733.679,2917717.0,2917717.0
2009-06-01,2468.359,27638.0,27638.0,4715.469,52799.0,52799.0,,,,,,,416850.172,4667435.0,4667435.0
2009-07-01,10290.855,112678.0,112678.0,4300.26,47085.0,47085.0,,,,,,,472624.885,5174927.0,5174927.0
2009-08-01,28831.775999999998,309201.0,309201.0,2864.571,30721.0,30721.0,,,,,,,477332.653,5119072.0,5119072.0
2009-09-01,27043.81,296827.0,296827.0,650.063,7135.0,7135.0,,,,,,,249948.127,2743381.0,2743381.0
2009-10-01,15156.392,149572.0,149572.0,1532.874,15127.0,15127.0,,,,,,,130756.734,1290381.0,1290381.0
2009-11-01,2650.514,33472.0,33472.0,1442.545,18217.0,18217.0,,,,,,,46000.941,580923.0,580923.0
2009-12-01,65692.025,718234.0,718234.0,902.57,9868.0,9868.0,,,,,,,495084.405,5412931.0,5412931.0
2010-01-01,19329.64,225084.0,225084.0,1130.095,13159.0,13159.0,,,,,,,145525.265,1694569.0,1694569.0
2010-02-01,24823.986,286837.0,286837.0,1456.073,16825.0,16825.0,,,,,,,181113.941,2092743.0,2092743.0
2010-03-01,35974.289000000004,397068.0,397068.0,1757.863,19402.0,19402.0,,,,,,,379736.848,4191362.0,4191362.0
2010-04-01,23923.457000000002,253654.0,253654.0,357.091,3786.0,3786.0,,,,,,,434465.452,4606516.0,4606516.0
2010-05-01,27473.623,301123.0,301123.0,1038.41,11381.0,11381.0,,,,,,,435881.967,4777451.0,4777451.0
2010-06-01,27414.847,298940.0,298940.0,1343.478,14650.0,14650.0,,,,,,,435235.675,4745938.0,4745938.0
2010-07-01,19209.372000000003,216451.0,216451.0,778.2320000000001,8769.0,8769.0,,,,,,,327229.396,3687212.0,3687212.0
2010-08-01,63582.273,698652.0,698652.0,1475.135,16209.0,16209.0,,,,,,,545877.592,5998190.0,5998190.0
2010-09-01,39238.056,433297.0,433297.0,829.5360000000001,9160.0,9160.0,,,,,,,339948.408,3753970.0,3753970.0
2010-10-01,13908.619,148084.0,148084.0,961.976,10242.0,10242.0,,,,,,,450617.405,4797704.0,4797704.0
2010-11-01,19116.11,209417.0,209417.0,1809.9740000000002,19828.0,19828.0,,,,,,,362289.916,3968891.0,3968891.0
2010-12-01,23883.486,262081.0,262081.0,311.99600000000004,3424.0,3424.0,,,,,,,466319.518,5117073.0,5117073.0
2011-01-01,23766.071,255868.0,255868.0,1280.02,13781.0,13781.0,,,,,,,450172.91,4846610.0,4846610.0
2011-02-01,28799.475,313528.0,313528.0,287.526,3130.0,3130.0,,,,,,,320233.0,3486240.0,3486240.0
2011-03-01,735.719,9131.0,9131.0,691.75,8585.0,8585.0,,,,,,,47705.531,592050.0,592050.0
2011-04-01,4335.915,48907.0,48907.0,878.957,9914.0,9914.0,,,,,,,155927.13,1758771.0,1758771.0
2011-05-01,7845.904,88452.0,88452.0,957.5,10795.0,10795.0,,,,,,,216442.6,2440095.0,2440095.0
2011-06-01,23443.012,242288.0,242288.0,772.755,7987.0,7987.0,,,,,,,530839.23,5486315.0,5486315.0
2011-07-01,29726.65,314619.0,314619.0,2336.669,24731.0,24731.0,,,,,,,511145.68,5409832.0,5409832.0
2011-08-01,11647.074,122833.0,122833.0,758.376,7998.0,7998.0,,,,,,,556294.55,5866846.0,5866846.0
2011-09-01,6308.596,70191.0,70191.0,936.057,10415.0,10415.0,,,,,,,471434.35,5245262.0,5245262.0
2011-10-01,5210.956,56337.0,56337.0,1173.548,12688.0,12688.0,,,,,,,527478.5,5702723.0,5702723.0
2011-11-01,7678.336,82848.0,82848.0,562.08,6065.0,6065.0,,,,,,,533956.58,5761272.0,5761272.0
2011-12-01,19640.298,217288.0,217288.0,792.622,8769.0,8769.0,,,,,,,503417.08,5569505.0,5569505.0
2012-01-01,28530.927,308595.0,308595.0,269.183,2912.0,2912.0,,,,,,,451094.89,4879113.0,4879113.0
2012-02-01,22534.51,252992.0,252992.0,361.839,4062.0,4062.0,,,,,,,359668.65,4037960.0,4037960.0
2012-03-01,941.046,10511.0,10511.0,678.974,7584.0,7584.0,,,,,,,274939.98,3070933.0,3070933.0
2012-04-01,0.0,0.0,0.0,97.771,1064.0,1064.0,,,,,,,496844.23,5409453.0,5409453.0
2012-05-01,0.0,0.0,0.0,301.625,3291.0,3291.0,,,,,,,491909.38,5367648.0,5367648.0
2012-06-01,0.0,0.0,0.0,170.923,1933.0,1933.0,,,,,,,485517.08,5491791.0,5491791.0
2012-07-01,0.0,0.0,0.0,278.478,3372.0,3372.0,,,,,,,369127.52,4469439.0,4469439.0
2012-08-01,0.0,0.0,0.0,205.295,2399.0,2399.0,,,,,,,461371.71,5392360.0,5392360.0
2012-09-01,0.0,0.0,0.0,514.491,5754.0,5754.0,,,,,,,304922.51,3410214.0,3410214.0
2012-10-01,30563.901,323546.0,323546.0,1161.031,12291.0,12291.0,,,,,,,449883.07,4762413.0,4762413.0
2012-11-01,32097.198,327889.0,327889.0,1223.403,12498.0,12498.0,,,,,,,341067.4,3484179.0,3484179.0
2012-12-01,0.0,0.0,0.0,314.5,3464.0,3464.0,,,,,,,453684.5,4996883.0,4996883.0
2013-01-01,0.0,0.0,0.0,539.186,5927.0,5927.0,,,,,,,444021.81,4880594.0,4880594.0
2013-02-01,0.0,0.0,0.0,99.311,1105.0,1105.0,,,,,,,391191.69,4351753.0,4351753.0
2013-03-01,75873.202,851600.0,851600.0,1057.601,11871.0,11871.0,,,,,,,259577.2,2913493.0,2913493.0
2013-04-01,0.0,0.0,0.0,401.086,4666.0,4666.0,,,,,,,153691.91,1788152.0,1788152.0
2013-05-01,0.0,0.0,0.0,996.448,11238.0,11238.0,,,,,,,203951.55,2300089.0,2300089.0
2013-06-01,0.0,0.0,0.0,465.745,5184.0,5184.0,,,,,,,414890.26,4618275.0,4618275.0
2013-07-01,0.0,0.0,0.0,432.462,4845.0,4845.0,,,,,,,396197.54,4438601.0,4438601.0
2013-08-01,1075.064,11966.0,11966.0,401.155,4465.0,4465.0,,,,,,,537778.78,5985813.0,5985813.0
2013-09-01,0.0,0.0,0.0,194.418,2192.0,2192.0,,,,,,,487023.58,5491728.0,5491728.0
2013-10-01,0.0,0.0,0.0,712.191,8222.0,8222.0,,,,,,,303034.81,3498632.0,3498632.0
2013-11-01,0.0,0.0,0.0,256.03,2808.0,2808.0,,,,,,,460825.97,5054011.0,5054011.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,529045.0,5673888.0,5673888.0
2014-01-01,0.0,0.0,0.0,723.582,8458.0,8458.0,,,,,,,444219.42,5192744.0,5192744.0
2014-02-01,0.0,0.0,0.0,1342.147,14385.0,14385.0,,,,,,,468200.85,5018129.0,5018129.0
2014-03-01,0.0,0.0,0.0,1419.071,15191.0,15191.0,,,,,,,413860.93,4430209.0,4430209.0
2014-04-01,0.0,0.0,0.0,1387.791,15420.0,15420.0,,,,,,,418626.21,4651506.0,4651506.0
2014-05-01,0.0,0.0,0.0,440.127,5121.0,5121.0,,,,,,,212588.87,2473558.0,2473558.0
2014-06-01,0.0,0.0,0.0,257.608,2877.0,2877.0,,,,,,,479408.39,5354103.0,5354103.0
2014-07-01,0.0,0.0,0.0,289.521,3222.0,3222.0,,,,,,,543370.48,6047467.0,6047467.0
2014-08-01,0.0,0.0,0.0,907.406,10012.0,10012.0,,,,,,,472864.59,5217404.0,5217404.0
2014-09-01,0.0,0.0,0.0,123.891,1381.0,1381.0,,,,,,,533968.11,5951901.0,5951901.0
2014-10-01,0.0,0.0,0.0,821.113,9321.0,9321.0,,,,,,,375196.89,4259330.0,4259330.0
2014-11-01,0.0,0.0,0.0,1565.906,17722.0,17722.0,,,,,,,462812.09,5237928.0,5237928.0
2014-12-01,0.0,0.0,0.0,874.569,9609.0,9609.0,,,,,,,415216.43,4562120.0,4562120.0
2015-01-01,0.0,0.0,0.0,122.616,1324.0,1324.0,,,,,,,445939.38,4815627.0,4815627.0
2015-02-01,0.0,0.0,0.0,137.433,1438.0,1438.0,,,,,,,382798.57,4005328.0,4005328.0
2015-03-01,0.0,0.0,0.0,656.447,7194.0,7194.0,,,,,,,419084.55,4592585.0,4592585.0
2015-04-01,0.0,0.0,0.0,432.438,4892.0,4892.0,,,,,,,299732.56,3390581.0,3390581.0
2015-05-01,0.0,0.0,0.0,561.414,6244.0,6244.0,,,,,,,413982.59,4604413.0,4604413.0
2015-06-01,0.0,0.0,0.0,158.078,1761.0,1761.0,,,,,,,382725.92,4262914.0,4262914.0
2015-07-01,0.0,0.0,0.0,160.239,1766.0,1766.0,,,,,,,421592.76,4647659.0,4647659.0
2015-08-01,0.0,0.0,0.0,60.297,673.0,673.0,,,,,,,432557.7,4829522.0,4829522.0
2015-09-01,0.0,0.0,0.0,752.259,8604.0,8604.0,,,,,,,187505.74,2144537.0,2144537.0
2015-10-01,2006.996,22167.0,22167.0,234.433,2589.0,2589.0,,,,,,,373240.57,4122430.0,4122430.0
2015-11-01,0.0,0.0,0.0,260.631,2871.0,2871.0,,,,,,,253987.37,2798055.0,2798055.0
2015-12-01,5915.976,64486.0,64486.0,584.354,6370.0,6370.0,,,,,,,503712.67,5490661.0,5490661.0
2016-01-01,0.0,0.0,0.0,1111.124,12129.0,12129.0,,,,,,,0.0,0.0,0.0
2016-02-01,0.0,0.0,0.0,172.434,1876.0,1876.0,,,,,,,0.0,0.0,0.0
2016-03-01,0.0,0.0,0.0,372.079,4118.0,4118.0,,,,,,,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,664.364,7497.0,7497.0,,,,,,,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,588.908,6617.0,6617.0,,,,,,,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,78.083,857.0,857.0,,,,,,,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,232.512,2595.0,2595.0,,,,,,,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,571.83,6439.0,6439.0,,,,,,,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,447.236,5023.0,5023.0,,,,,,,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,771.673,8579.0,8579.0,,,,,,,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,513.836,5819.0,5819.0,,,,,,,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,279.071,3101.0,3101.0,,,,,,,0.0,0.0,0.0
2017-01-01,0.0,0.0,0.0,156.849,1772.0,1772.0,,,,,,,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,470.117,5265.0,5265.0,,,,,,,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,147.758,1628.0,1628.0,,,,,,,0.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,286.586,3170.0,3170.0,,,,,,,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,178.369,1985.0,1985.0,,,,,,,0.0,0.0,0.0
2017-06-01,0.0,0.0,0.0,164.969,1882.0,1882.0,,,,,,,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,177.464,2043.0,2043.0,,,,,,,0.0,0.0,0.0
2017-08-01,0.0,0.0,0.0,367.443,4408.0,4408.0,,,,,,,0.0,0.0,0.0
2017-09-01,0.0,0.0,0.0,350.68,4097.0,4097.0,,,,,,,0.0,0.0,0.0
2017-10-01,0.0,0.0,0.0,254.649,2952.0,2952.0,,,,,,,0.0,0.0,0.0
2017-11-01,0.0,0.0,0.0,71.937,834.0,834.0,,,,,,,0.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,523.905,5875.0,5875.0,,,,,,,0.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,427.299,4603.0,4603.0,,,,,,,0.0,0.0,0.0
2018-02-01,0.0,0.0,0.0,420.014,4597.0,4597.0,,,,,,,0.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,541.092,5866.0,5866.0,,,,,,,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,56.676,616.0,616.0,,,,,,,0.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,205.013,2319.0,2319.0,,,,,,,0.0,0.0,0.0
2018-06-01,0.0,0.0,0.0,141.856,1617.0,1617.0,,,,,,,0.0,0.0,0.0
2018-07-01,0.0,0.0,0.0,400.377,4685.0,4685.0,,,,,,,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,294.888,3407.0,3407.0,,,,,,,0.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,80.311,916.0,916.0,,,,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,363.669,3856.0,3856.0,,,,,,,0.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,156.887,1715.0,1715.0,,,,,,,0.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,397.697,4466.0,4466.0,,,,,,,0.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,970.115,10991.0,10991.0,,,,,,,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,16.896,215.0,215.0,,,,,,,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,135.983,1543.0,1543.0,,,,,,,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,698.443,7668.0,7668.0,,,,,,,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,1142.768,12609.0,12609.0,,,,,,,12.688,140.0,140.0
2019-06-01,0.0,0.0,0.0,311.605,3439.0,3439.0,,,,,,,1.585,18.0,18.0
2019-07-01,0.0,0.0,0.0,153.324,1734.0,1734.0,,,,,,,28.009,317.0,317.0
2019-08-01,0.0,0.0,0.0,326.245,3776.0,3776.0,,,,,,,4.562,53.0,53.0
2019-09-01,0.0,0.0,0.0,543.609,6194.0,6194.0,,,,,,,1154.897,13160.0,13160.0
2019-10-01,0.0,0.0,0.0,1169.958,13149.0,13149.0,,,,,,,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
