measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2004-07-01,36871.66471,459325.95,780407.3,2667.03429,33224.38,56449.12,597.08009,7438.08,12637.5,46.4709,578.91,983.58
2004-08-01,35461.04533,441753.26,708403.56,2055.47584,25605.93,41062.14,2655.73261,33083.59,53053.44,509.54623,6347.63,10179.18
2004-09-01,35089.24937,437121.65,720364.75,2229.73085,27776.7,45775.26,2122.55533,26441.57,43575.0,336.22445,4188.49,6902.52
2004-10-01,31502.33617,392437.96,706161.97,2358.97353,29386.73,52879.17,2038.95599,25400.14,45705.6,351.54431999999997,4379.34,7880.28
2004-11-01,35077.12606,436970.62,779079.22,1244.67462,15505.44,27644.8,925.54215,11529.87,20556.72,272.25817,3391.64,6046.98
2004-12-01,34584.48826,430833.63,716999.85,1845.98676,22996.24,38270.69,520.86566,6488.64,10798.5,150.18932,1870.97,3113.7
2005-01-01,31708.93605,395011.65,757335.49,2109.91664,26284.13,50393.2,2074.96216,25848.68,49558.35,661.60615,8241.91,15801.79
2005-02-01,29400.16809,366250.35,712642.98,1950.46858,24297.81,47278.22,1841.44559,22939.67,44635.57,596.89774,7435.81,14468.45
2005-03-01,32044.96309,399197.69,766944.46,1836.53469,22878.49,43954.49,1400.49287,17446.53,33518.54,284.02835,3538.26,6797.76
2005-04-01,17060.92391,212535.15,505039.55,1582.20179,19710.16,46836.53,2123.60615,26454.66,62863.25,416.12916,5183.9,12318.31
2005-05-01,13684.63212,170475.26,436223.05,1838.95725,22908.67,58620.18,1704.41951,21232.68,54331.54,356.15112,4436.73,11352.98
2005-06-01,18194.60108,226657.85,417621.89,5137.96647,64005.82,117932.09,5195.33563,64720.49,119248.88,1072.61781,13362.05,24619.87
2005-07-01,30688.31102,382297.29,649210.07,4983.50751,62081.66,105425.91,4136.66422,51532.18,87510.98,849.06726,10577.19,17961.99
2005-08-01,39008.52109,485945.67,735121.01,5273.52031,65694.48,99380.22,1543.68189,19230.3,29090.9,435.51671,5425.42,8207.37
2005-09-01,34193.50218,425962.96,815444.08,1313.49205,16362.73,31324.06,124.80105,1554.7,2976.25,86.51373,1077.74,2063.17
2005-10-01,36038.02213,448940.91,844803.96,1657.2406,20644.95,38849.06,452.13480000000004,5632.43,10598.95,388.76248,4842.98,9113.38
2005-11-01,33295.51794,414776.36,793818.13,1182.75972,14734.14,28198.87,641.11492,7986.64,15285.2,401.03841,4995.91,9561.39
2005-12-01,27147.73701,338190.86,627451.45,3561.8252,44371.17,82322.6,2220.49815,27661.69,51321.21,1579.62963,19678.12,36509.15
2006-01-01,39714.65017,494742.22,886142.71,1460.43907,18193.31,32586.4,942.69708,11743.58,21034.16,344.93368,4296.99,7696.42
2006-02-01,27447.72426,341927.92,728913.78,1864.57779,23227.83,49516.54,1399.66401,17436.21,37170.09,523.97495,6527.38,13914.91
2006-03-01,28783.0795,358563.02,684116.14,3389.18659,42220.53,80554.18,776.19221,9669.36,18448.53,328.36171,4090.54,7804.5
2006-04-01,28837.41977,359239.96,629306.48,3406.28224,42433.5,74333.82,701.77272,8742.28,15314.48,331.34528,4127.71,7230.8
2006-05-01,38375.62053,478061.35,824601.51,1198.51534,14930.41,25753.27,1022.5902000000001,12738.84,21973.05,546.79393,6811.64,11749.31
2006-06-01,25115.69139,312876.8,524603.85,5796.17301,72205.38,121067.53,437.20439,5446.44,9132.1,257.41221,3206.69,5376.7
2006-07-01,926.88833,11546.64,15753.86,9895.37806,123270.91,168186.86,15587.92461,194185.37,264940.27,0.0,0.0,0.0
2006-08-01,24828.48603,309298.96,802790.99,4241.23308,52834.84,137133.76,2536.76089,31601.5,82022.27,0.0,0.0,0.0
2006-09-01,35622.31067,443762.21,692405.01,4954.30156,61717.83,96298.73,91.60876999999999,1141.21,1780.64,0.0,0.0,0.0
2006-10-01,32589.89067,405986.08,697072.84,3706.1110000000003,46168.59,79270.88,21.76833,271.18,465.61,0.0,0.0,0.0
2006-11-01,22474.52558,279974.68,658564.65,3213.56473,40032.74,94166.18,632.27995,7876.58,18527.52,588.40074,7329.96,17241.74
2006-12-01,27685.87652,344894.69,554488.32,3017.33889,37588.27,60430.78,1673.9458300000001,20853.05,33525.52,1050.00876,13080.4,21029.41
2007-01-01,28613.961000000003,356456.0,714621.0,3304.232,41162.0,82522.0,2032.4660000000001,25322.0,50760.0,1018.81,12690.0,25444.0
2007-02-01,34233.853,426466.0,722335.0,3500.344,43605.0,73857.0,3793.534,47255.0,80044.0,177.419,2212.0,3744.0
2007-03-01,35717.669,444950.0,733107.0,2569.717,32012.0,52744.0,2855.704,35576.0,58613.0,1029.601,12825.0,21133.0
2007-04-01,32554.256,405542.0,636900.0,2542.435,31672.0,49741.0,2137.676,26627.0,41822.0,1125.251,14018.0,22015.0
2007-05-01,26242.382,326912.0,536427.0,3041.54,37890.0,62173.0,2953.5460000000003,36794.0,60374.0,1070.392,13335.0,21880.0
2007-06-01,40078.38,499273.0,794059.0,3937.0370000000003,49046.0,78003.0,2285.8320000000003,28474.0,45288.0,962.003,11984.0,19060.0
2007-07-01,34250.033,426667.0,547496.0,5956.862,74207.0,95222.0,1587.0980000000002,19772.0,25370.0,651.2660000000001,8112.0,10411.0
2007-08-01,34449.145000000004,429148.0,822364.0,4131.4490000000005,51467.0,98625.0,2693.2960000000003,33552.0,64294.0,645.629,8041.0,15412.0
2007-09-01,30963.136,385721.0,719626.0,7774.915,96855.0,180700.0,981.056,12221.0,22801.0,199.303,2482.0,4632.0
2007-10-01,22207.367,276647.0,571967.0,4165.2390000000005,51888.0,107279.0,808.225,10069.0,20816.0,296.358,3693.0,7633.0
2007-11-01,29703.517,370029.0,649396.0,2187.935,27257.0,47834.0,1787.12,22262.0,39071.0,218.078,2719.0,4768.0
2007-12-01,28545.943,355609.0,774318.0,3931.373,48975.0,106640.0,532.504,6632.0,14444.0,437.72,5454.0,11873.0
2008-01-01,36315.524,450811.0,852018.0,2033.9950000000001,25249.0,47721.0,2426.6730000000002,30124.0,56933.0,267.808,3324.0,6283.0
2008-02-01,35177.57,436693.0,838788.0,2764.0660000000003,34313.0,65907.0,1054.8590000000002,13095.0,25152.0,116.506,1446.0,2778.0
2008-03-01,36363.641,451416.0,838380.0,3240.935,40233.0,74721.0,647.72,8041.0,14933.0,71.70400000000001,890.0,1653.0
2008-04-01,32085.022,398343.0,743715.0,3616.62,44901.0,83831.0,475.66400000000004,5905.0,11026.0,52.694,654.0,1221.0
2008-05-01,45043.815,559229.0,858905.0,1402.241,17409.0,26738.0,220.323,2735.0,4201.0,24.621000000000002,306.0,469.0
2008-06-01,33192.715,412094.0,710530.0,4619.165,57348.0,98879.0,319.10900000000004,3962.0,6831.0,36.011,447.0,771.0
2008-07-01,30892.95,383547.0,666526.0,4772.129,59248.0,102960.0,234.854,2916.0,5067.0,26.068,324.0,562.0
2008-08-01,39832.333,494524.0,706009.0,5521.495,68550.0,97866.0,327.954,4072.0,5813.0,36.218,450.0,642.0
2008-09-01,29629.068,367856.0,604111.0,6755.549,83873.0,137740.0,404.802,5026.0,8254.0,44.581,553.0,909.0
2008-10-01,18559.407,230433.0,531378.0,3211.176,39870.0,91940.0,44.356,551.0,1270.0,5.061,63.0,145.0
2008-11-01,730.772,9073.0,54316.0,3374.404,41897.0,250808.0,1057.9740000000002,13136.0,78636.0,142.84900000000002,1774.0,10618.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,273434.0,0.0,0.0,40154.0,0.0,0.0,7099.0
2009-01-01,0.0,0.0,0.0,1635.612,20305.0,295739.0,375.275,4659.0,67854.0,37.113,461.0,6710.0
2009-02-01,11632.212,144429.0,332118.0,5567.3820000000005,69126.0,158957.0,1014.296,12594.0,28960.0,170.11,2112.0,4857.0
2009-03-01,23991.808,297890.0,630498.0,1506.751,18708.0,39597.0,163.06900000000002,2025.0,4285.0,203.372,2525.0,5345.0
2009-04-01,18136.116,225166.0,462902.0,3551.126,44089.0,90638.0,0.0,0.0,0.0,63.758,792.0,1627.0
2009-05-01,23425.999,290843.0,565594.0,3167.001,39320.0,76464.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,30509.186,378789.0,654991.0,4723.718,58648.0,101412.0,81.968,1018.0,1760.0,2.128,26.0,46.0
2009-07-01,24829.056,308269.0,623273.0,6196.337,76932.0,155544.0,60.015,745.0,1507.0,1.592,20.0,40.0
2009-08-01,25179.372,312609.0,626766.0,5500.747,68293.0,136925.0,111.128,1380.0,2766.0,2.753,34.0,69.0
2009-09-01,25519.986,316841.0,569999.0,3015.83,37443.0,67360.0,22.673000000000002,281.0,506.0,0.511,6.0,11.0
2009-10-01,24711.619,304846.0,595015.0,4767.2390000000005,58809.0,114787.0,0.0,0.0,0.0,54.142,668.0,1304.0
2009-11-01,30083.234,373496.0,529786.0,5065.017,62884.0,89198.0,38.776,481.0,683.0,0.9730000000000001,12.0,17.0
2009-12-01,31163.858,386920.0,612708.0,5749.139,71379.0,113033.0,67.98,844.0,1337.0,2.023,25.0,40.0
2010-01-01,29270.996,363422.0,535190.0,7926.411,98412.0,144926.0,706.475,8771.0,12917.0,15.118,188.0,276.0
2010-02-01,25045.260000000002,311035.0,459576.0,7506.74,93225.0,137747.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,40803.079,506600.0,566682.0,6018.593,74725.0,83588.0,17.922,223.0,249.0,0.406,5.0,6.0
2010-04-01,34466.275,429369.0,717020.0,4276.725,53278.0,88971.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,33746.608,418979.0,698822.0,3697.3920000000003,45905.0,76565.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,30738.096,377570.0,646960.0,6844.685,84076.0,144063.0,42.147000000000006,518.0,887.0,1.072,13.0,23.0
2010-07-01,20656.542,256480.0,431950.0,11505.275,142854.0,240587.0,128.183,1592.0,2680.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,160840.0,0.0,0.0,1008.0,0.0,0.0,28.0
2010-09-01,0.0,0.0,0.0,459.87100000000004,5712.0,167936.0,6.99,87.0,2553.0,0.139,2.0,51.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,158689.0,0.0,0.0,766.0,0.0,0.0,17.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,182899.0,0.0,0.0,772.0,0.0,0.0,17.0
2010-12-01,0.0,0.0,0.0,0.0,0.0,232519.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,0.0,0.0,247124.0,0.0,0.0,131316.0,0.0,0.0,2612.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,203633.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,201626.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,202842.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,2622.622,34073.0,99919.0,7194.378,93470.0,274098.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,18129.553,225114.0,430145.0,9030.447,112130.0,214258.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,28515.434,354015.0,609229.0,7353.566,91293.0,157108.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,26906.503,334440.0,645752.0,5327.497,66219.0,127859.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,26371.297,327444.0,657846.0,6132.685,76147.0,152983.0,12.792,159.0,319.0,0.226,3.0,6.0
2011-10-01,29062.64,360867.0,783714.0,5321.36,66075.0,143498.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,10648.12,132216.0,433097.0,4475.88,55576.0,182050.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,12384.087,153777.0,401067.0,7466.913,92719.0,241821.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,4300.929,53399.0,205136.0,6543.071,81237.0,312076.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,19093.869,237083.0,537944.0,5254.131,65239.0,148028.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,28158.14,349592.0,538466.0,5804.86,72069.0,111006.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,33312.591,413645.0,778641.0,3442.409,42745.0,80462.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,24338.052,302157.0,544320.0,6118.948,75967.0,136850.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,3110.906,38632.0,84893.0,9998.094,124159.0,272837.0,0.0,0.0,0.0,0.0,0.0,0.0
