measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed
2004-08-01,5243.894,52916.0,52916.0,,,
2004-09-01,4270.497,43094.0,43094.0,,,
2004-10-01,3123.43,31519.0,31519.0,,,
2004-11-01,1815.394,18319.0,18319.0,,,
2004-12-01,1758.3380000000002,17744.0,17744.0,,,
2005-01-01,6590.236,65241.98,65241.98,,,
2005-02-01,2264.194,22415.06,22415.06,,,
2005-03-01,2509.577,24844.3,24844.3,,,
2005-04-01,3039.811,30093.5,30093.5,,,
2005-05-01,2823.2110000000002,27949.21,27949.21,,,
2005-06-01,3664.253,36275.36,36275.36,,,
2005-07-01,3729.759,36923.85,36923.85,,,
2005-08-01,4381.5650000000005,43376.59,43376.59,,,
2005-09-01,2868.214,28394.73,28394.73,,,
2005-10-01,3185.195,31532.78,31532.78,,,
2005-11-01,2560.62,25349.61,25349.61,,,
2005-12-01,5414.365000000001,53601.1,53601.1,,,
2006-01-01,4955.994000000001,50344.0,50344.0,,,
2006-02-01,2593.315,26343.0,26343.0,,,
2006-03-01,2178.41,22129.0,22129.0,,,
2006-04-01,4172.837,42389.0,42389.0,,,
2006-05-01,3900.5530000000003,39623.0,39623.0,,,
2006-06-01,3545.3320000000003,36014.0,36014.0,,,
2006-07-01,5135.499,52167.0,52167.0,,,
2006-08-01,4981.406,50602.0,50602.0,,,
2006-09-01,2288.538,23247.0,23247.0,,,
2006-10-01,2417.435,24557.0,24557.0,,,
2006-11-01,2846.6040000000003,28916.0,28916.0,,,
2006-12-01,3154.076,32040.0,32040.0,,,
2007-01-01,2894.989,28426.0,28426.0,,,
2007-02-01,2241.965,22014.0,22014.0,,,
2007-03-01,4433.481,43534.0,43534.0,,,
2007-04-01,2696.7070000000003,26477.0,26477.0,,,
2007-05-01,2487.98,24427.0,24427.0,,,
2007-06-01,2432.324,23884.0,23884.0,,,
2007-07-01,3591.601,35269.0,35269.0,,,
2007-08-01,4533.621,44514.0,44514.0,,,
2007-09-01,3766.043,36977.0,36977.0,,,
2007-10-01,4548.118,44660.0,44660.0,,,
2007-11-01,3336.545,32760.0,32760.0,,,
2007-12-01,4783.626,46973.0,46973.0,,,
2008-01-01,5311.872,51957.0,51957.0,,,
2008-02-01,4862.066,47561.0,47561.0,,,
2008-03-01,3253.3940000000002,31825.0,31825.0,,,
2008-04-01,3283.051,32116.0,32116.0,,,
2008-05-01,3434.297,33594.0,33594.0,,,
2008-06-01,2300.597,22501.0,22501.0,,,
2008-07-01,2390.489,23380.0,23380.0,,,
2008-08-01,2365.697,23139.0,23139.0,,,
2008-09-01,2468.3720000000003,24147.0,24147.0,,,
2008-10-01,2810.065,27485.0,27485.0,,,
2008-11-01,3427.05,33522.0,33522.0,,,
2008-12-01,5816.05,56890.0,56890.0,,,
2009-01-01,5674.603,55826.0,55826.0,2145.895,27222.0,27222.0
2009-02-01,4164.759,40964.0,40964.0,1863.691,23641.0,23641.0
2009-03-01,4325.787,42549.0,42549.0,1848.991,23455.0,23455.0
2009-04-01,4444.655000000001,43719.0,43719.0,2160.9410000000003,27412.0,27412.0
2009-05-01,2664.6710000000003,26214.0,26214.0,2202.4990000000003,27940.0,27940.0
2009-06-01,2616.719,25738.0,25738.0,2197.082,27871.0,27871.0
2009-07-01,2950.103,29019.0,29019.0,2006.092,25448.0,25448.0
2009-08-01,2934.8140000000003,28868.0,28868.0,2063.108,26171.0,26171.0
2009-09-01,1954.9720000000002,19230.0,19230.0,1795.5330000000001,22777.0,22777.0
2009-10-01,1937.034,19051.0,19051.0,1828.758,23198.0,23198.0
2009-11-01,3682.001,36215.0,36215.0,1830.057,23215.0,23215.0
2009-12-01,3734.882,36736.0,36736.0,1820.353,23092.0,23092.0
2010-01-01,5503.169,54130.0,54130.0,,,
2010-02-01,4372.374,43002.0,43002.0,,,
2010-03-01,3870.0550000000003,38063.0,38063.0,,,
2010-04-01,3426.317,33701.0,33701.0,,,
2010-05-01,2849.148,28022.0,28022.0,,,
2010-06-01,2236.5190000000002,21997.0,21997.0,,,
2010-07-01,2565.991,25239.0,25239.0,,,
2010-08-01,2616.11,25732.0,25732.0,,,
2010-09-01,2395.422,23559.0,23559.0,,,
2010-10-01,2871.398,28241.0,28241.0,,,
2010-11-01,3270.5060000000003,32166.0,32166.0,,,
2010-12-01,5948.991,58509.0,58509.0,,,
2011-01-01,5010.394,49482.0,49482.0,,,
2011-02-01,4474.491,44190.0,44190.0,,,
2011-03-01,3917.367,38685.0,38685.0,,,
2011-04-01,2538.105,25066.0,25066.0,,,
2011-05-01,2660.153,26270.0,26270.0,,,
2011-06-01,2471.492,24410.0,24410.0,,,
2011-07-01,2611.741,25794.0,25794.0,,,
2011-08-01,2357.303,23279.0,23279.0,,,
2011-09-01,2612.408,25799.0,25799.0,,,
2011-10-01,4618.468,45612.0,45612.0,,,
2011-11-01,4276.029,42230.0,42230.0,,,
2011-12-01,4226.049,41737.0,41737.0,,,
2012-01-01,4886.966,47404.0,47404.0,,,
2012-02-01,2882.328,27966.0,27966.0,,,
2012-03-01,4371.594,42414.0,42414.0,,,
2012-04-01,2768.032,26858.0,26858.0,,,
2012-05-01,3463.793,33606.0,33606.0,,,
2012-06-01,2826.574,27423.0,27423.0,,,
2012-07-01,4419.552,42879.0,42879.0,,,
2012-08-01,4118.18,39956.0,39956.0,,,
2012-09-01,3833.878,37195.0,37195.0,,,
2012-10-01,2847.747,27630.0,27630.0,,,
2012-11-01,3054.181,29630.0,29630.0,,,
2012-12-01,4704.175,45640.0,45640.0,,,
2013-01-01,4930.89,48451.0,48451.0,,,
2013-02-01,3402.137,33426.0,33426.0,,,
2013-03-01,3441.257,33813.0,33813.0,,,
2013-04-01,3969.348,38998.0,38998.0,,,
2013-05-01,4000.38,39306.0,39306.0,,,
2013-06-01,2872.838,28224.0,28224.0,,,
2013-07-01,2720.151,26729.0,26729.0,,,
2013-08-01,2683.834,26370.0,26370.0,,,
2013-09-01,3149.762,30946.0,30946.0,,,
2013-10-01,3030.932,29781.0,29781.0,,,
2013-11-01,3950.595,38814.0,38814.0,,,
2013-12-01,4470.876,43926.0,43926.0,,,
2014-01-01,4350.122,42692.0,42692.0,,,
2014-02-01,4127.449,40499.0,40499.0,,,
2014-03-01,4029.146,39534.0,39534.0,,,
2014-04-01,3785.663,37144.0,37144.0,,,
2014-05-01,3196.386,31366.0,31366.0,,,
2014-06-01,1905.193,18693.0,18693.0,,,
2014-07-01,3368.193,33049.0,33049.0,,,
2014-08-01,2709.945,26591.0,26591.0,,,
2014-09-01,3188.351,31287.0,31287.0,,,
2014-10-01,4214.71,41357.0,41357.0,,,
2014-11-01,3080.645,30227.0,30227.0,,,
2014-12-01,4007.197,39320.0,39320.0,,,
2015-01-01,4284.798,41402.0,41402.0,,,
2015-02-01,3778.866,36515.0,36515.0,,,
2015-03-01,3801.435,36734.0,36734.0,,,
2015-04-01,3936.907,38041.0,38041.0,,,
2015-05-01,3163.959,30575.0,30575.0,,,
2015-06-01,3152.181,30457.0,30457.0,,,
2015-07-01,3275.681,31652.0,31652.0,,,
2015-08-01,3718.933,35938.0,35938.0,,,
2015-09-01,3349.356,32364.0,32364.0,,,
2015-10-01,3831.889,37026.0,37026.0,,,
2015-11-01,2679.318,25890.0,25890.0,,,
2015-12-01,2576.677,24897.0,24897.0,,,
2016-01-01,3325.986,32645.0,32645.0,,,
2016-02-01,3690.999,36241.0,36241.0,,,
2016-03-01,3492.966,34294.0,34294.0,,,
2016-04-01,2860.538,28084.0,28084.0,,,
2016-05-01,2609.331,25621.0,25621.0,,,
2016-06-01,2624.693,25772.0,25772.0,,,
2016-07-01,2195.683,21559.0,21559.0,,,
2016-08-01,2877.613,28252.0,28252.0,,,
2016-09-01,2932.106,28791.0,28791.0,,,
2016-10-01,3367.047,33060.0,33060.0,,,
2016-11-01,4698.47,46131.0,46131.0,,,
2016-12-01,6344.568,62293.0,62293.0,,,
2017-01-01,3788.153,37149.0,37149.0,,,
2017-02-01,3058.702,29997.0,29997.0,,,
2017-03-01,3521.825,34535.0,34535.0,,,
2017-04-01,3247.083,31842.0,31842.0,,,
2017-05-01,3243.581,31809.0,31809.0,,,
2017-06-01,3421.143,33548.0,33548.0,,,
2017-07-01,3486.326,34187.0,34187.0,,,
2017-08-01,3601.164,35315.0,35315.0,,,
2017-09-01,3581.94,35124.0,35124.0,,,
2017-10-01,3655.868,35848.0,35848.0,,,
2017-11-01,3238.052,31753.0,31753.0,,,
2017-12-01,3295.163,32314.0,32314.0,,,
2018-01-01,3248.377,31769.0,31769.0,,,
2018-02-01,3029.535,29632.0,29632.0,,,
2018-03-01,3029.978,29638.0,29638.0,,,
2018-04-01,3060.631,29935.0,29935.0,,,
2018-05-01,3502.0,34255.0,34255.0,,,
2018-06-01,3269.503,31977.0,31977.0,,,
2018-07-01,3523.032,34457.0,34457.0,,,
2018-08-01,3597.629,35186.0,35186.0,,,
2018-09-01,3662.125,35820.0,35820.0,,,
2018-10-01,3845.182,37609.0,37609.0,,,
2018-11-01,3459.733,33840.0,33840.0,,,
2018-12-01,3314.275,32415.0,32415.0,,,
2019-01-01,3015.757,28431.0,28431.0,,,
2019-02-01,3352.05,31612.0,31612.0,,,
2019-03-01,3321.938,31326.0,31326.0,,,
2019-04-01,3052.822,28791.0,28791.0,,,
2019-05-01,3322.463,31332.0,31332.0,,,
2019-06-01,2854.843,26922.0,26922.0,,,
2019-07-01,3251.736,30664.0,30664.0,,,
2019-08-01,3600.32,33952.0,33952.0,,,
2019-09-01,4275.098,40313.0,40313.0,,,
2019-10-01,4493.077,42372.0,42372.0,,,
2019-11-01,3412.943,32185.0,32185.0,,,
2019-12-01,4552.953,42933.0,42933.0,,,
2020-01-01,5248.851,49923.0,49923.0,,,
2020-02-01,3402.805,32364.0,32364.0,,,
2020-03-01,3435.473,32673.0,32673.0,,,
2020-04-01,3296.692,31354.0,31354.0,,,
2020-05-01,2791.423,26547.0,26547.0,,,
2020-06-01,3514.525,33424.0,33424.0,,,
2020-07-01,4581.262,43573.0,43573.0,,,
2020-08-01,4694.003,44644.0,44644.0,,,
2020-09-01,2984.801,28387.0,28387.0,,,
2020-10-01,3572.494,33980.0,33980.0,,,
2020-11-01,2770.424,26350.0,26350.0,,,
2020-12-01,2746.247,26120.0,26120.0,,,
2021-01-01,3297.863,31029.0,31029.0,,,
2021-02-01,3651.701,34361.0,34361.0,,,
2021-03-01,3949.339,37161.0,37161.0,,,
2021-04-01,3796.326,35719.0,35719.0,,,
2021-05-01,1966.058,18502.0,18502.0,,,
2021-06-01,2639.173,24835.0,24835.0,,,
2021-07-01,2579.142,24269.0,24269.0,,,
2021-08-01,3719.438,34995.0,34995.0,,,
2021-09-01,4817.418,45329.0,45329.0,,,
2021-10-01,4786.209,45037.0,45037.0,,,
2021-11-01,3737.045,35163.0,35163.0,,,
2021-12-01,4154.288,39090.0,39090.0,,,
2022-01-01,4261.622,39607.0,39607.0,,,
2022-02-01,3514.532,32661.0,32661.0,,,
2022-03-01,4069.951,37823.0,37823.0,,,
2022-04-01,3618.255,33626.0,33626.0,,,
2022-05-01,3390.804,31511.0,31511.0,,,
2022-06-01,4129.549,38378.0,38378.0,,,
2022-07-01,3761.218,34956.0,34956.0,,,
2022-08-01,2529.595,23506.0,23506.0,,,
2022-09-01,2963.287,27539.0,27539.0,,,
2022-10-01,3324.838,30900.0,30900.0,,,
2022-11-01,3156.609,29335.0,29335.0,,,
2022-12-01,4294.74,39915.0,39915.0,,,
2023-01-01,4563.883,42395.0,42395.0,,,
2023-02-01,3543.094,32908.0,32908.0,,,
2023-03-01,3343.693,31057.0,31057.0,,,
2023-04-01,3952.597,36712.0,36712.0,,,
2023-05-01,3905.681,36274.0,36274.0,,,
2023-06-01,3362.899,31236.0,31236.0,,,
2023-07-01,3184.353,29576.0,29576.0,,,
2023-08-01,3314.496,30782.0,30782.0,,,
2023-09-01,2874.682,26698.0,26698.0,,,
2023-10-01,3260.882,30288.0,30288.0,,,
2023-11-01,4112.374,38193.0,38193.0,,,
2023-12-01,4516.366,41946.0,41946.0,,,
2024-01-01,3920.845,36319.0,36319.0,,,
2024-02-01,3530.725,32712.0,32712.0,,,
2024-03-01,4255.425,39427.0,39427.0,,,
2024-04-01,4483.332,41542.0,41542.0,,,
2024-05-01,2628.204,24353.0,24353.0,,,
2024-06-01,4692.264,43478.0,43478.0,,,
2024-07-01,2752.506,25503.0,25503.0,,,
2024-08-01,3974.8,36830.0,36830.0,,,
2024-09-01,2639.772,24460.0,24460.0,,,
2024-10-01,4191.246,38832.0,38832.0,,,
2024-11-01,4100.098,37991.0,37991.0,,,
2024-12-01,3486.783,32308.0,32308.0,,,
