measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2010-07-01,,,,31.999000000000002,539.0,539.0,25.458000000000002,278.0,278.0,73.51100000000001,1233.0,1233.0
2010-08-01,,,,5.63,93.0,93.0,4.479,46.0,46.0,79.51400000000001,1334.0,1334.0
2010-09-01,,,,10.737,180.0,180.0,8.542,93.0,93.0,22.392,375.0,375.0
2010-10-01,,,,10.087,168.0,168.0,8.025,87.0,87.0,20.052,337.0,337.0
2010-11-01,,,,15.015,249.0,249.0,11.946,128.0,128.0,11.593,195.0,195.0
2010-12-01,,,,5.8740000000000006,99.0,99.0,4.673,52.0,52.0,27.803,466.0,466.0
2011-01-01,,,,0.0,0.0,0.0,27.241,284.0,284.0,27.228,457.0,457.0
2011-02-01,,,,0.0,0.0,0.0,19.466,203.0,203.0,15.18,256.0,256.0
2011-03-01,,,,0.0,0.0,0.0,15.219,157.0,157.0,22.475,379.0,379.0
2011-04-01,,,,0.0,0.0,0.0,9.068,93.0,93.0,11.527,195.0,195.0
2011-05-01,,,,0.0,0.0,0.0,22.848,238.0,238.0,15.146,255.0,255.0
2011-06-01,,,,0.0,0.0,0.0,11.565,122.0,122.0,41.623,701.0,701.0
2011-07-01,,,,0.0,0.0,0.0,9.234,99.0,99.0,73.902,1245.0,1245.0
2011-08-01,,,,0.0,0.0,0.0,15.779,162.0,162.0,63.431,1069.0,1069.0
2011-09-01,,,,0.0,0.0,0.0,14.773,157.0,157.0,15.408,260.0,260.0
2011-10-01,,,,0.0,0.0,0.0,14.521,151.0,151.0,15.399,260.0,260.0
2011-11-01,,,,0.0,0.0,0.0,14.995,157.0,157.0,9.607,162.0,162.0
2011-12-01,,,,0.0,0.0,0.0,10.291,110.0,110.0,16.074,271.0,271.0
2012-01-01,,,,38.205,667.0,667.0,11.987,122.0,122.0,3.235,57.0,57.0
2012-02-01,,,,24.051,423.0,423.0,7.547,81.0,81.0,3.838,67.0,67.0
2012-03-01,,,,17.681,313.0,313.0,5.548,58.0,58.0,4.341,77.0,77.0
2012-04-01,,,,35.531,626.0,626.0,11.149,122.0,122.0,4.627,82.0,82.0
2012-05-01,,,,25.864,452.0,452.0,8.115,87.0,87.0,7.025,124.0,124.0
2012-06-01,,,,32.624,574.0,574.0,10.237,110.0,110.0,10.818,190.0,190.0
2012-07-01,,,,36.519,644.0,644.0,11.459,122.0,122.0,15.187,266.0,266.0
2012-08-01,,,,28.741,505.0,505.0,9.018,99.0,99.0,10.199,179.0,179.0
2012-09-01,,,,19.964,348.0,348.0,6.264,70.0,70.0,4.851,85.0,85.0
2012-10-01,,,,15.276,267.0,267.0,4.793,52.0,52.0,2.274,40.0,40.0
2012-11-01,,,,14.449,255.0,255.0,4.534,46.0,46.0,2.754,48.0,48.0
2012-12-01,,,,39.357,690.0,690.0,12.349,133.0,133.0,2.589,46.0,46.0
2013-01-01,,,,33.52,609.0,609.0,4.494,58.0,58.0,5.11,95.0,95.0
2013-02-01,,,,25.273,464.0,464.0,3.388,35.0,35.0,4.154,77.0,77.0
2013-03-01,,,,32.65,603.0,603.0,4.378,46.0,46.0,6.536,120.0,120.0
2013-04-01,,,,32.689,603.0,603.0,4.383,46.0,46.0,3.068,56.0,56.0
2013-05-01,,,,38.943,719.0,719.0,5.221,58.0,58.0,5.349,99.0,99.0
2013-06-01,,,,25.349,470.0,470.0,3.399,35.0,35.0,5.433,100.0,100.0
2013-07-01,,,,20.694,383.0,383.0,2.775,29.0,29.0,6.967,129.0,129.0
2013-08-01,,,,11.15,203.0,203.0,1.495,17.0,17.0,5.526,102.0,102.0
2013-09-01,,,,13.456,249.0,249.0,1.804,17.0,17.0,5.578,103.0,103.0
2013-10-01,,,,12.464,232.0,232.0,1.671,17.0,17.0,2.972,55.0,55.0
2013-11-01,,,,25.653,476.0,476.0,3.439,35.0,35.0,2.35,43.0,43.0
2013-12-01,,,,33.955,626.0,626.0,4.553,52.0,52.0,5.161,95.0,95.0
2014-01-01,,,,4.658,93.0,93.0,5.464,58.0,58.0,24.015,450.0,450.0
2014-02-01,,,,12.293,232.0,232.0,14.42,151.0,151.0,17.697,333.0,333.0
2014-03-01,,,,9.408,174.0,174.0,11.036,116.0,116.0,10.452,196.0,196.0
2014-04-01,,,,2.912,52.0,52.0,3.416,35.0,35.0,9.275,175.0,175.0
2014-05-01,,,,7.057,133.0,133.0,8.277,87.0,87.0,21.105,396.0,396.0
2014-06-01,,,,4.731,87.0,87.0,5.549,58.0,58.0,16.429,308.0,308.0
2014-07-01,,,,2.627,52.0,52.0,3.081,35.0,35.0,28.087,527.0,527.0
2014-08-01,,,,3.8,70.0,70.0,4.457,46.0,46.0,33.651,632.0,632.0
2014-09-01,,,,3.452,64.0,64.0,4.049,41.0,41.0,20.765,390.0,390.0
2014-10-01,,,,3.777,70.0,70.0,4.43,46.0,46.0,31.652,595.0,595.0
2014-11-01,,,,6.666,128.0,128.0,7.818,81.0,81.0,17.833,335.0,335.0
2014-12-01,,,,5.97,110.0,110.0,7.003,75.0,75.0,16.688,313.0,313.0
2015-01-01,,,,0.0,0.0,0.0,9.294,99.0,99.0,22.354,364.0,364.0
2015-02-01,,,,0.0,0.0,0.0,6.248,64.0,64.0,24.316,394.0,394.0
2015-03-01,,,,0.0,0.0,0.0,4.478,46.0,46.0,23.661,384.0,384.0
2015-04-01,,,,0.0,0.0,0.0,3.43,35.0,35.0,19.842,321.0,321.0
2015-05-01,,,,0.0,0.0,0.0,15.056,162.0,162.0,13.981,227.0,227.0
2015-06-01,,,,0.0,0.0,0.0,5.246,58.0,58.0,32.99,535.0,535.0
2015-07-01,,,,0.0,0.0,0.0,7.423,81.0,81.0,51.348,833.0,833.0
2015-08-01,,,,0.0,0.0,0.0,5.443,58.0,58.0,45.57,739.0,739.0
2015-09-01,,,,0.0,0.0,0.0,3.354,35.0,35.0,27.555,447.0,447.0
2015-10-01,,,,0.0,0.0,0.0,4.437,46.0,46.0,13.712,222.0,222.0
2015-11-01,,,,0.0,0.0,0.0,4.902,52.0,52.0,18.978,308.0,308.0
2015-12-01,,,,0.0,0.0,0.0,7.689,81.0,81.0,24.693,400.0,400.0
2016-01-01,,,,17.404,348.0,348.0,6.305,70.0,70.0,12.584,248.0,248.0
2016-02-01,,,,25.916,510.0,510.0,9.39,99.0,99.0,13.992,276.0,276.0
2016-03-01,,,,19.183,377.0,377.0,6.95,75.0,75.0,13.803,272.0,272.0
2016-04-01,,,,13.368,261.0,261.0,4.843,52.0,52.0,26.795,528.0,528.0
2016-05-01,,,,29.843,586.0,586.0,10.812,116.0,116.0,20.48,403.0,403.0
2016-06-01,,,,22.972,452.0,452.0,8.323,87.0,87.0,35.078,691.0,691.0
2016-07-01,,,,12.826,255.0,255.0,4.647,52.0,52.0,34.791,685.0,685.0
2016-08-01,,,,16.899,331.0,331.0,6.123,64.0,64.0,31.906,628.0,628.0
2016-09-01,,,,17.118,336.0,336.0,6.202,64.0,64.0,22.951,452.0,452.0
2016-10-01,,,,10.966,215.0,215.0,3.973,41.0,41.0,14.861,292.0,292.0
2016-11-01,,,,25.666,505.0,505.0,9.299,99.0,99.0,10.881,214.0,214.0
2016-12-01,,,,41.768,824.0,824.0,15.133,162.0,162.0,18.949,373.0,373.0
2017-01-01,,,,,,,3.394,41.0,41.0,30.003,540.0,540.0
2017-02-01,,,,,,,3.993,41.0,41.0,28.44,514.0,514.0
2017-03-01,,,,,,,4.038,41.0,41.0,35.4,639.0,639.0
2017-04-01,,,,,,,3.316,35.0,35.0,20.703,374.0,374.0
2017-05-01,,,,,,,3.041,35.0,35.0,31.895,576.0,576.0
2017-06-01,,,,,,,1.083,12.0,12.0,51.619,931.0,931.0
2017-07-01,,,,,,,1.099,12.0,12.0,72.444,1307.0,1307.0
2017-08-01,,,,,,,1.326,12.0,12.0,45.457,820.0,820.0
2017-09-01,,,,,,,3.004,35.0,35.0,45.37,819.0,819.0
2017-10-01,,,,,,,5.108,52.0,52.0,26.922,486.0,486.0
2017-11-01,,,,,,,5.973,64.0,64.0,24.718,446.0,446.0
2017-12-01,,,,0.964,17.0,17.0,7.625,81.0,81.0,45.065,813.0,813.0
2018-01-01,,,,83.043,1305.0,1305.0,8.581,93.0,93.0,191.698,2987.0,2987.0
2018-02-01,,,,35.301,551.0,551.0,3.648,41.0,41.0,149.057,2324.0,2324.0
2018-03-01,,,,50.356,783.0,783.0,5.203,52.0,52.0,166.229,2592.0,2592.0
2018-04-01,,,,40.267,626.0,626.0,4.161,41.0,41.0,70.78,1104.0,1104.0
2018-05-01,,,,42.953,667.0,667.0,4.438,46.0,46.0,232.839,3630.0,3630.0
2018-06-01,,,,167.207,2604.0,2604.0,17.278,180.0,180.0,236.955,3694.0,3694.0
2018-07-01,,,,50.764,789.0,789.0,5.246,52.0,52.0,254.801,3972.0,3972.0
2018-08-01,,,,38.86,603.0,603.0,4.015,41.0,41.0,221.549,3454.0,3454.0
2018-09-01,,,,41.875,655.0,655.0,4.327,46.0,46.0,177.551,2768.0,2768.0
2018-10-01,,,,69.635,1085.0,1085.0,7.195,75.0,75.0,193.938,3023.0,3023.0
2018-11-01,,,,76.841,1201.0,1201.0,7.94,81.0,81.0,166.024,2589.0,2589.0
2018-12-01,,,,67.43,1050.0,1050.0,6.968,75.0,75.0,115.047,1794.0,1794.0
2019-01-01,,,,62.738,974.0,974.0,4.349,58.0,58.0,266.555,4130.0,4130.0
2019-02-01,,,,67.836,1050.0,1050.0,4.702,58.0,58.0,253.225,3923.0,3923.0
2019-03-01,,,,107.75,1670.0,1670.0,7.468,93.0,93.0,376.0,5825.0,5825.0
2019-04-01,,,,31.578,487.0,487.0,2.189,29.0,29.0,282.579,4378.0,4378.0
2019-05-01,,,,64.225,998.0,998.0,4.451,58.0,58.0,444.383,6884.0,6884.0
2019-06-01,,,,113.148,1752.0,1752.0,7.842,99.0,99.0,449.262,6960.0,6960.0
2019-07-01,,,,66.012,1021.0,1021.0,4.575,58.0,58.0,518.613,8035.0,8035.0
2019-08-01,,,,29.954,464.0,464.0,2.076,23.0,23.0,538.214,8338.0,8338.0
2019-09-01,,,,61.616,957.0,957.0,4.271,52.0,52.0,497.481,7707.0,7707.0
2019-10-01,,,,49.777,771.0,771.0,3.45,41.0,41.0,346.116,5362.0,5362.0
2019-11-01,,,,25.573,394.0,394.0,1.772,23.0,23.0,157.181,2435.0,2435.0
2019-12-01,,,,70.05,1085.0,1085.0,4.855,58.0,58.0,284.134,4402.0,4402.0
2020-01-01,,,,,,,4.449,46.0,46.0,87.184,1391.0,1391.0
2020-02-01,,,,,,,4.628,52.0,52.0,68.91,1099.0,1099.0
2020-03-01,,,,,,,3.954,41.0,41.0,65.971,1053.0,1053.0
2020-04-01,,,,,,,4.484,46.0,46.0,51.926,828.0,828.0
2020-05-01,,,,,,,5.168,58.0,58.0,41.786,666.0,666.0
2020-06-01,,,,,,,6.23,64.0,64.0,84.017,1340.0,1340.0
2020-07-01,,,,,,,3.179,35.0,35.0,124.804,1990.0,1990.0
2020-08-01,,,,,,,5.153,58.0,58.0,98.615,1573.0,1573.0
2020-09-01,,,,,,,3.946,41.0,41.0,75.28,1201.0,1201.0
2020-10-01,,,,,,,4.924,52.0,52.0,39.908,637.0,637.0
2020-11-01,,,,,,,6.613,70.0,70.0,43.769,698.0,698.0
2020-12-01,,,,2.909,46.0,46.0,5.272,58.0,58.0,65.921,1052.0,1052.0
2021-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,,,,760.712,10910.0,10910.0,112.658,1206.0,1206.0,774.696,11110.0,11110.0
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,,,,216.809,3109.0,3109.0,32.108,342.0,342.0,220.795,3167.0,3167.0
2021-07-01,,,,257.149,3689.0,3689.0,38.083,406.0,406.0,261.876,3756.0,3756.0
2021-08-01,,,,179.338,2569.0,2569.0,26.559,284.0,284.0,182.635,2619.0,2619.0
2021-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,,,,78.275,1125.0,1125.0,11.592,122.0,122.0,79.714,1144.0,1144.0
2021-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,,,,7.933,116.0,116.0,0.251,0.0,0.0,25.284,376.0,376.0
2022-02-01,,,,23.365,348.0,348.0,0.739,6.0,6.0,74.464,1107.0,1107.0
2022-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,,,,251.635,3741.0,3741.0,7.963,87.0,87.0,801.963,11927.0,11927.0
2022-05-01,,,,121.149,1804.0,1804.0,3.834,41.0,41.0,386.103,5742.0,5742.0
2022-06-01,,,,478.651,7117.0,7117.0,15.146,162.0,162.0,1525.465,22687.0,22687.0
2022-07-01,,,,81.863,1218.0,1218.0,2.59,29.0,29.0,260.898,3880.0,3880.0
2022-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,,,,14.19,209.0,209.0,0.449,6.0,6.0,45.225,673.0,673.0
2022-10-01,,,,199.047,2958.0,2958.0,6.299,70.0,70.0,634.365,9434.0,9434.0
2022-11-01,,,,205.041,3051.0,3051.0,6.488,70.0,70.0,653.468,9719.0,9719.0
2022-12-01,,,,1398.108,20793.0,20793.0,44.241,470.0,470.0,4455.781,66268.0,66268.0
2023-01-01,,,,1047.182,4193.0,4193.0,8.771,99.0,99.0,162.416,650.0,650.0
2023-02-01,,,,818.932,3277.0,3277.0,6.859,75.0,75.0,122.553,490.0,490.0
2023-03-01,,,,712.378,2848.0,2848.0,5.967,64.0,64.0,135.5,542.0,542.0
2023-04-01,,,,352.485,1409.0,1409.0,2.952,29.0,29.0,149.534,598.0,598.0
2023-05-01,,,,528.963,2117.0,2117.0,4.43,46.0,46.0,214.322,857.0,857.0
2023-06-01,,,,322.336,1288.0,1288.0,2.7,29.0,29.0,307.245,1230.0,1230.0
2023-07-01,,,,377.971,1514.0,1514.0,3.166,35.0,35.0,370.485,1482.0,1482.0
2023-08-01,,,,181.887,725.0,725.0,1.523,17.0,17.0,374.735,1499.0,1499.0
2023-09-01,,,,665.493,2662.0,2662.0,5.574,58.0,58.0,273.799,1095.0,1095.0
2023-10-01,,,,214.828,858.0,858.0,1.799,17.0,17.0,204.178,817.0,817.0
2023-11-01,,,,412.334,1647.0,1647.0,3.454,35.0,35.0,154.774,619.0,619.0
2023-12-01,,,,573.673,2297.0,2297.0,4.805,52.0,52.0,220.997,884.0,884.0
2024-01-01,,,,4.192,64.0,64.0,3.316,35.0,35.0,156.249,2405.0,2405.0
2024-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,,,,1.271,17.0,17.0,1.006,12.0,12.0,47.388,729.0,729.0
2024-04-01,,,,0.059,0.0,0.0,0.047,0.0,0.0,2.209,34.0,34.0
2024-05-01,,,,6.001,93.0,93.0,4.746,52.0,52.0,223.673,3443.0,3443.0
2024-06-01,,,,3.898,58.0,58.0,3.083,35.0,35.0,145.294,2236.0,2236.0
2024-07-01,,,,18.259,278.0,278.0,14.441,151.0,151.0,680.538,10476.0,10476.0
2024-08-01,,,,44.643,684.0,684.0,35.31,371.0,371.0,1663.945,25613.0,25613.0
2024-09-01,,,,0.36,6.0,6.0,0.284,6.0,6.0,13.403,206.0,206.0
2024-10-01,,,,24.531,377.0,377.0,19.402,203.0,203.0,914.319,14074.0,14074.0
2024-11-01,,,,10.576,162.0,162.0,8.365,87.0,87.0,394.19,6068.0,6068.0
2024-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
