measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Gaseous Propane-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,864.0,10588.0,10588.0,,,,45909.0,551830.0,551830.0,,,,,,
2004-06-01,,,,33.0,484.0,484.0,0.0,0.0,0.0,,,,1154.0,14617.0,14617.0,,,,48504.0,573278.0,573278.0,,,,,,
2004-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1232.0,15924.0,15924.0,,,,49718.0,603084.0,603084.0,,,,,,
2004-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,952.0,12612.0,12612.0,,,,50235.0,609224.0,609224.0,,,,,,
2004-09-01,,,,25.0,452.0,452.0,20.0,158.0,158.0,,,,767.0,9537.0,9537.0,,,,41978.0,505018.0,505018.0,,,,,,
2004-10-01,,,,50.0,992.0,992.0,0.0,0.0,0.0,,,,668.0,8205.0,8205.0,,,,30011.0,356770.0,356770.0,,,,,,
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1016.0,12341.0,12341.0,,,,21546.0,274648.0,274648.0,,,,,,
2004-12-01,,,,60.0,847.0,847.0,0.0,0.0,0.0,,,,907.0,11958.0,11958.0,,,,46436.0,548831.0,548831.0,,,,,,
2005-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,830.0,10272.5,10272.5,,,,56698.0,673823.02,673823.02,,,,,,
2005-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1271.0,12532.6,12532.6,,,,51457.0,646300.7,646300.7,,,,,,
2005-03-01,,,,0.0,0.0,0.0,6.0,50.0,50.0,,,,952.0,9639.68,9639.68,,,,23617.0,312202.24,312202.24,,,,,,
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,653.0,7353.48,7353.48,,,,41035.0,493677.75,493677.75,,,,,,
2005-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,903.0,10665.81,10665.81,,,,51823.0,644748.94,644748.94,,,,,,
2005-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1770.0,22112.63,22112.63,,,,56564.0,706745.88,706745.88,,,,,,
2005-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1148.0,15264.3,15264.3,,,,56391.0,721876.01,721876.01,,,,,,
2005-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,946.0,12676.13,12676.13,,,,50815.0,647521.56,647521.56,,,,,,
2005-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,802.0,9694.66,9694.66,,,,45496.0,537206.8,537206.8,,,,,,
2005-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,782.0,9883.86,9883.86,,,,27618.0,343686.77,343686.77,,,,,,
2005-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,499.0,5783.06,5783.06,,,,36369.0,415377.6,415377.6,,,,,,
2005-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,574.0,6516.54,6516.54,,,,42791.0,485639.75,485639.75,,,,,,
2006-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,522.0,5884.0,5884.0,,,,42044.0,474003.0,474003.0,,,,,,
2006-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,852.0,11329.0,11329.0,,,,47099.0,551680.0,551680.0,,,,,,
2006-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1047.0,13279.0,13279.0,,,,30262.0,385824.0,385824.0,,,,,,
2006-04-01,,,,11.0,151.0,151.0,0.0,0.0,0.0,,,,647.0,8325.0,8325.0,,,,38072.0,447075.0,447075.0,,,,,,
2006-05-01,,,,13.0,238.0,238.0,0.0,0.0,0.0,,,,953.0,12082.0,12082.0,,,,47637.0,557859.0,557859.0,,,,,,
2006-06-01,,,,8.0,122.0,122.0,0.0,0.0,0.0,,,,1294.0,16115.0,16115.0,,,,49481.0,585594.0,585594.0,,,,,,
2006-07-01,,,,93.0,1183.0,1183.0,0.0,0.0,0.0,,,,2297.0,24837.0,24837.0,,,,51366.0,605952.0,605952.0,,,,,,
2006-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2239.0,27155.0,27155.0,,,,57788.0,690333.0,690333.0,,,,,,
2006-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,943.0,11665.0,11665.0,,,,48048.0,573390.0,573390.0,,,,,,
2006-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,800.0,10570.0,10570.0,,,,36232.0,434983.0,434983.0,,,,,,
2006-11-01,,,,-32.0,110.0,110.0,0.0,0.0,0.0,,,,1059.0,13337.0,13337.0,,,,50105.0,594599.0,594599.0,,,,,,
2006-12-01,,,,15.0,273.0,273.0,0.0,0.0,0.0,,,,1280.0,15599.0,15599.0,,,,51430.0,609106.0,609106.0,,,,,,
2007-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1260.6370000000002,15132.0,15132.0,,,,61849.363,742404.0,742404.0,,,,,,
2007-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,671.6890000000001,8473.0,8473.0,,,,31258.311,394298.0,394298.0,,,,,,
2007-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1089.7240000000002,14892.0,14892.0,,,,20867.276,285177.0,285177.0,,,,,,
2007-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1043.164,12112.0,12112.0,,,,56623.836,657465.0,657465.0,,,,,,
2007-05-01,,,,4.0,64.0,64.0,0.0,0.0,0.0,,,,1030.357,12047.0,12047.0,,,,51910.643,606944.0,606944.0,,,,,,
2007-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1253.5040000000001,15029.0,15029.0,,,,47697.496,571890.0,571890.0,,,,,,
2007-07-01,,,,11.0,191.0,191.0,0.0,0.0,0.0,,,,1257.419,14987.0,14987.0,,,,56613.581,674749.0,674749.0,,,,,,
2007-08-01,,,,5.0,68.0,68.0,0.0,0.0,0.0,,,,1365.2640000000001,16326.0,16326.0,,,,55309.736,661395.0,661395.0,,,,,,
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,598.238,6881.0,6881.0,,,,35687.762,410482.0,410482.0,,,,,,
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,708.734,8680.0,8680.0,,,,28989.266,355025.0,355025.0,,,,,,
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,1019.224,11921.0,11921.0,,,,51671.776,604372.0,604372.0,,,,,,
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,951.707,11209.0,11209.0,,,,51149.293,602434.0,602434.0,,,,,,
2008-01-01,,,,-75.0,20964.0,20964.0,,,,0.0,0.0,0.0,633.7760000000001,7211.0,7211.0,,,,52611.224,598593.0,598593.0,0.0,0.0,0.0,,,
2008-02-01,,,,-68.0,371.0,371.0,,,,0.0,0.0,0.0,661.8870000000001,7468.0,7468.0,,,,51215.113,577863.0,577863.0,0.0,0.0,0.0,,,
2008-03-01,,,,-42.5,0.0,0.0,,,,-42.5,0.0,0.0,757.628,9282.0,9282.0,,,,36697.372,449584.0,449584.0,0.0,0.0,0.0,,,
2008-04-01,,,,-33.5,0.0,0.0,,,,-33.5,0.0,0.0,849.541,9849.0,9849.0,,,,49721.459,576459.0,576459.0,0.0,0.0,0.0,,,
2008-05-01,,,,0.0,0.0,0.0,,,,-5.0,259.0,259.0,715.231,8161.0,8161.0,,,,51486.769,587450.0,587450.0,0.0,0.0,0.0,,,
2008-06-01,,,,-6.0,0.0,0.0,,,,-6.0,0.0,0.0,681.0360000000001,7951.0,7951.0,,,,48577.964,567133.0,567133.0,0.0,0.0,0.0,,,
2008-07-01,,,,0.0,0.0,0.0,,,,18.0,389.0,389.0,832.1980000000001,9850.0,9850.0,,,,50303.802,595421.0,595421.0,0.0,0.0,0.0,,,
2008-08-01,,,,-6.5,0.0,0.0,,,,-6.5,0.0,0.0,734.0260000000001,8726.0,8726.0,,,,52103.974,619427.0,619427.0,0.0,0.0,0.0,,,
2008-09-01,,,,-5.5,0.0,0.0,,,,-5.5,0.0,0.0,509.915,5980.0,5980.0,,,,37174.085,435936.0,435936.0,0.0,0.0,0.0,,,
2008-10-01,,,,-6.0,0.0,0.0,,,,-6.0,0.0,0.0,575.966,7148.0,7148.0,,,,27180.034,337293.0,337293.0,0.0,0.0,0.0,,,
2008-11-01,,,,-8.0,0.0,0.0,,,,-8.0,0.0,0.0,472.71500000000003,5416.0,5416.0,,,,40794.285,467377.0,467377.0,0.0,0.0,0.0,,,
2008-12-01,,,,-12.0,0.0,0.0,,,,-12.0,0.0,0.0,599.062,7013.0,7013.0,,,,49212.938,576143.0,576143.0,0.0,0.0,0.0,,,
2009-01-01,,,,-11.5,0.0,0.0,,,,-11.5,0.0,0.0,559.154,6641.0,6641.0,,,,40840.846,485093.0,485093.0,0.0,0.0,0.0,,,
2009-02-01,,,,-8.5,0.0,0.0,,,,-8.5,0.0,0.0,-416.838,4684.0,4684.0,,,,-35908.162,403519.0,403519.0,0.0,0.0,0.0,,,
2009-03-01,,,,-8.0,0.0,0.0,,,,-8.0,0.0,0.0,484.70300000000003,5791.0,5791.0,,,,33560.297,400994.0,400994.0,0.0,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,-6.0,0.0,0.0,,,,-6.0,0.0,0.0,446.385,6055.0,6055.0,,,,21621.615,293297.0,293297.0,0.0,0.0,0.0,,,
2009-05-01,,,,-5.5,0.0,0.0,,,,-5.5,0.0,0.0,617.4920000000001,7373.0,7373.0,,,,28276.508,337631.0,337631.0,0.0,0.0,0.0,,,
2009-06-01,,,,0.0,0.0,0.0,,,,-11.0,29.0,29.0,573.788,6719.0,6719.0,,,,33647.212,393993.0,393993.0,0.0,0.0,0.0,,,
2009-07-01,,,,-6.0,0.0,0.0,,,,-6.0,0.0,0.0,621.332,7342.0,7342.0,,,,36598.668,432488.0,432488.0,0.0,0.0,0.0,,,
2009-08-01,,,,0.0,0.0,0.0,,,,59.0,867.0,867.0,716.875,8491.0,8491.0,,,,36981.125,437997.0,437997.0,0.0,0.0,0.0,,,
2009-09-01,,,,-5.5,0.0,0.0,,,,-5.5,0.0,0.0,406.463,4692.0,4692.0,,,,31653.537,365368.0,365368.0,0.0,0.0,0.0,,,
2009-10-01,,,,-5.5,0.0,0.0,,,,-5.5,0.0,0.0,535.202,6738.0,6738.0,,,,24180.798,304444.0,304444.0,0.0,0.0,0.0,,,
2009-11-01,,,,-5.5,0.0,0.0,,,,-5.5,0.0,0.0,580.6120000000001,7484.0,7484.0,,,,22801.388,293905.0,293905.0,0.0,0.0,0.0,,,
2009-12-01,,,,-10.0,0.0,0.0,,,,-10.0,0.0,0.0,871.855,10449.0,10449.0,,,,60108.145,720359.0,720359.0,0.0,0.0,0.0,,,
2010-01-01,,,,0.0,0.0,0.0,,,,-20.0,0.0,0.0,638.712,7560.0,7560.0,,,,46668.288,552409.0,552409.0,0.0,0.0,0.0,,,
2010-02-01,,,,0.0,0.0,0.0,,,,-15.0,0.0,0.0,636.65,7559.0,7559.0,,,,47135.35,559675.0,559675.0,0.0,0.0,0.0,,,
2010-03-01,,,,0.0,0.0,0.0,,,,-14.0,0.0,0.0,466.13,5411.0,5411.0,,,,33931.87,393907.0,393907.0,0.0,0.0,0.0,,,
2010-04-01,,,,0.0,0.0,0.0,,,,-10.0,0.0,0.0,552.9490000000001,7079.0,7079.0,,,,20888.051,267432.0,267432.0,0.0,0.0,0.0,,,
2010-05-01,,,,0.0,0.0,0.0,,,,-27.0,0.0,0.0,407.531,4681.0,4681.0,,,,31565.469,362530.0,362530.0,0.0,0.0,0.0,,,
2010-06-01,,,,0.0,0.0,0.0,,,,5.0,455.0,455.0,796.08,9490.0,9490.0,,,,46183.92,550531.0,550531.0,0.0,0.0,0.0,,,
2010-07-01,,,,0.0,0.0,0.0,,,,-32.0,28.0,28.0,1041.976,12652.0,12652.0,,,,48100.024,584064.0,584064.0,0.0,0.0,0.0,,,
2010-08-01,,,,0.0,0.0,0.0,,,,-32.0,0.0,0.0,937.3580000000001,11347.0,11347.0,,,,53713.642,650197.0,650197.0,0.0,0.0,0.0,,,
2010-09-01,,,,0.0,0.0,0.0,,,,-32.0,0.0,0.0,714.9780000000001,9039.0,9039.0,,,,28851.022,364737.0,364737.0,0.0,0.0,0.0,,,
2010-10-01,,,,0.0,0.0,0.0,,,,-39.0,0.0,0.0,737.259,9030.0,9030.0,,,,32991.741,404107.0,404107.0,0.0,0.0,0.0,,,
2010-11-01,,,,0.0,0.0,0.0,,,,-67.0,0.0,0.0,730.472,8654.0,8654.0,,,,34303.528,406412.0,406412.0,0.0,0.0,0.0,,,
2010-12-01,,,,0.0,0.0,0.0,,,,-91.0,51.0,51.0,561.798,6553.0,6553.0,,,,35099.202,409434.0,409434.0,0.0,0.0,0.0,,,
2011-01-01,,,,0.0,0.0,0.0,,,,-103.0,0.0,0.0,645.394,7660.0,7660.0,,,,44906.606,532987.0,532987.0,0.0,0.0,0.0,,,
2011-02-01,,,,0.0,0.0,0.0,,,,-57.0,411.0,411.0,447.679,6663.0,6663.0,,,,28764.321,428088.0,428088.0,0.0,0.0,0.0,,,
2011-03-01,,,,0.0,0.0,0.0,,,,-71.0,0.0,0.0,674.308,8007.0,8007.0,,,,37729.692,448034.0,448034.0,0.0,0.0,0.0,,,
2011-04-01,,,,0.0,0.0,0.0,,,,-47.0,0.0,0.0,911.751,11654.0,11654.0,,,,34890.249,445948.0,445948.0,0.0,0.0,0.0,,,
2011-05-01,,,,0.0,0.0,0.0,,,,-32.0,0.0,0.0,560.876,6216.0,6216.0,,,,35308.124,391336.0,391336.0,0.0,0.0,0.0,,,
2011-06-01,,,,0.0,0.0,0.0,,,,-28.0,0.0,0.0,906.639,10764.0,10764.0,,,,39846.361,473054.0,473054.0,0.0,0.0,0.0,,,
2011-07-01,,,,0.0,0.0,0.0,,,,863.0,10833.0,10833.0,1096.424,13037.0,13037.0,,,,55248.576,656931.0,656931.0,0.0,0.0,0.0,,,
2011-08-01,,,,0.0,0.0,0.0,,,,174.0,2526.0,2526.0,1228.341,14955.0,14955.0,,,,51557.659,627712.0,627712.0,0.0,0.0,0.0,,,
2011-09-01,,,,0.0,0.0,0.0,,,,562.0,7315.0,7315.0,389.035,5522.0,5522.0,,,,14348.965,203679.0,203679.0,0.0,0.0,0.0,,,
2011-10-01,,,,0.0,0.0,0.0,,,,-34.0,0.0,0.0,629.285,7203.0,7203.0,,,,31389.715,359306.0,359306.0,0.0,0.0,0.0,,,
2011-11-01,,,,0.0,0.0,0.0,,,,-48.0,0.0,0.0,618.368,7026.0,7026.0,,,,35135.632,399214.0,399214.0,0.0,0.0,0.0,,,
2011-12-01,,,,0.0,0.0,0.0,,,,-68.0,0.0,0.0,536.369,6031.0,6031.0,,,,36930.631,415240.0,415240.0,0.0,0.0,0.0,,,
2012-01-01,,,,0.0,0.0,0.0,,,,-70.0,78.0,78.0,606.268,6979.0,6979.0,,,,36347.732,418438.0,418438.0,0.0,0.0,0.0,,,
2012-02-01,,,,0.0,0.0,0.0,,,,-67.0,0.0,0.0,832.878,10186.0,10186.0,,,,34098.122,417013.0,417013.0,0.0,0.0,0.0,,,
2012-03-01,,,,0.0,0.0,0.0,,,,-35.0,0.0,0.0,735.258,9577.0,9577.0,,,,26222.742,341545.0,341545.0,0.0,0.0,0.0,,,
2012-04-01,,,,0.0,0.0,0.0,,,,-27.0,172.0,172.0,962.517,12228.0,12228.0,,,,28003.483,355759.0,355759.0,0.0,0.0,0.0,,,
2012-05-01,,,,0.0,0.0,0.0,,,,-30.0,0.0,0.0,1163.954,14759.0,14759.0,,,,39174.046,496722.0,496722.0,0.0,0.0,0.0,,,
2012-06-01,,,,0.0,0.0,0.0,,,,874.0,11922.0,11922.0,1091.245,13240.0,13240.0,,,,42729.755,518450.0,518450.0,0.0,0.0,0.0,,,
2012-07-01,,,,0.0,0.0,0.0,,,,1376.0,17322.0,17322.0,1530.398,18867.0,18867.0,,,,58480.602,720974.0,720974.0,0.0,0.0,0.0,,,
2012-08-01,,,,0.0,0.0,0.0,,,,-29.0,0.0,0.0,1214.304,14575.0,14575.0,,,,40388.696,484761.0,484761.0,0.0,0.0,0.0,,,
2012-09-01,,,,0.0,0.0,0.0,,,,-29.0,26.0,26.0,674.686,8632.0,8632.0,,,,17361.314,222122.0,222122.0,0.0,0.0,0.0,,,
2012-10-01,,,,0.0,0.0,0.0,,,,-39.0,26.0,26.0,590.106,6928.0,6928.0,,,,31357.894,368129.0,368129.0,0.0,0.0,0.0,,,
2012-11-01,,,,0.0,0.0,0.0,,,,-47.0,0.0,0.0,878.976,10455.0,10455.0,,,,41782.024,496978.0,496978.0,0.0,0.0,0.0,,,
2012-12-01,,,,0.0,0.0,0.0,,,,-75.0,0.0,0.0,985.968,11833.0,11833.0,,,,45313.032,543838.0,543838.0,0.0,0.0,0.0,,,
2013-01-01,,,,0.0,0.0,0.0,,,,-84.0,0.0,0.0,993.803,12145.0,12145.0,,,,46020.197,562382.0,562382.0,0.0,0.0,0.0,,,
2013-02-01,,,,0.0,0.0,0.0,,,,-74.0,0.0,0.0,1029.487,12674.0,12674.0,,,,39987.513,492302.0,492302.0,0.0,0.0,0.0,,,
2013-03-01,,,,0.0,0.0,0.0,,,,-70.0,0.0,0.0,825.357,10244.0,10244.0,,,,39059.643,484788.0,484788.0,0.0,0.0,0.0,,,
2013-04-01,,,,0.0,0.0,0.0,,,,-55.0,0.0,0.0,510.422,6963.0,6963.0,,,,21823.578,297726.0,297726.0,0.0,0.0,0.0,,,
2013-05-01,,,,0.0,0.0,0.0,,,,-34.0,0.0,0.0,867.177,11643.0,11643.0,,,,28672.823,384974.0,384974.0,0.0,0.0,0.0,,,
2013-06-01,,,,0.0,0.0,0.0,,,,-27.0,0.0,0.0,1076.144,13312.0,13312.0,,,,43332.856,536042.0,536042.0,0.0,0.0,0.0,,,
2013-07-01,,,,0.0,0.0,0.0,,,,-28.0,0.0,0.0,1173.764,14533.0,14533.0,,,,52533.236,650430.0,650430.0,0.0,0.0,0.0,,,
2013-08-01,,,,0.0,0.0,0.0,,,,-29.0,0.0,0.0,1243.862,15336.0,15336.0,,,,52912.138,652355.0,652355.0,0.0,0.0,0.0,,,
2013-09-01,,,,0.0,0.0,0.0,,,,-31.0,0.0,0.0,920.647,11551.0,11551.0,,,,40253.353,505025.0,505025.0,0.0,0.0,0.0,,,
2013-10-01,,,,0.0,0.0,0.0,,,,-34.0,139.0,139.0,746.219,9342.0,9342.0,,,,28707.781,359383.0,359383.0,0.0,0.0,0.0,,,
2013-11-01,,,,0.0,0.0,0.0,,,,-60.0,0.0,0.0,838.823,9894.0,9894.0,,,,34618.177,408317.0,408317.0,0.0,0.0,0.0,,,
2013-12-01,,,,0.0,0.0,0.0,,,,-95.0,0.0,0.0,1034.07,12367.0,12367.0,,,,43251.93,517294.0,517294.0,0.0,0.0,0.0,,,
2014-01-01,,,,0.0,0.0,0.0,,,,-96.0,0.0,0.0,1090.3,13267.0,13267.0,,,,45303.7,551273.0,551273.0,0.0,0.0,0.0,,,
2014-02-01,,,,0.0,0.0,0.0,,,,-85.0,0.0,0.0,1003.054,12216.0,12216.0,,,,41053.946,500000.0,500000.0,0.0,0.0,0.0,,,
2014-03-01,,,,0.0,0.0,0.0,,,,-81.0,0.0,0.0,470.512,6204.0,6204.0,,,,23264.488,306756.0,306756.0,0.0,0.0,0.0,,,
2014-04-01,,,,0.0,0.0,0.0,,,,-56.0,0.0,0.0,507.49,6637.0,6637.0,,,,22438.51,293464.0,293464.0,0.0,0.0,0.0,,,
2014-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,119.0,119.0,928.791,11254.0,11254.0,,,,38571.209,467371.0,467371.0,,,,,,
2014-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,257.0,257.0,781.814,9357.0,9357.0,,,,44531.186,532959.0,532959.0,,,,,,
2014-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-27.0,123.0,123.0,1055.977,12751.0,12751.0,,,,50911.023,614771.0,614771.0,,,,,,
2014-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-33.0,0.0,0.0,1090.774,13317.0,13317.0,,,,53218.226,649739.0,649739.0,,,,,,
2014-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,94.0,94.0,648.716,7803.0,7803.0,,,,36362.284,437398.0,437398.0,,,,,,
2014-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,0.0,0.0,746.235,9340.0,9340.0,,,,29580.765,370221.0,370221.0,,,,,,
2014-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,649.395,7707.0,7707.0,,,,37833.605,449021.0,449021.0,,,,,,
