measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Solids Generation,Other Biomass Solids Quantity Consumed For Electricity,Other Biomass Solids Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2006-09-01,5.111000000000001,193.0,193.0,,,,2662.8250000000003,99712.0,99712.0,,,
2006-10-01,5.5360000000000005,209.0,209.0,,,,2754.273,103136.0,103136.0,,,
2006-11-01,3.722,140.0,140.0,,,,2723.306,101976.0,101976.0,,,
2006-12-01,3.778,142.0,142.0,,,,2948.206,110398.0,110398.0,,,
2007-01-01,0.0,0.0,0.0,216.204,4605.0,4605.0,11828.796,251923.0,251923.0,,,
2007-02-01,0.0,0.0,0.0,24.753,592.0,592.0,9885.247000000001,236221.0,236221.0,,,
2007-03-01,0.0,0.0,0.0,2413.139,52216.0,52216.0,10436.861,225834.0,225834.0,,,
2007-04-01,0.0,0.0,0.0,2012.475,42897.0,42897.0,10054.525,214320.0,214320.0,,,
2007-05-01,0.0,0.0,0.0,2957.538,55419.0,55419.0,8742.462,163818.0,163818.0,,,
2007-06-01,0.0,0.0,0.0,3402.322,64437.0,64437.0,6346.678,120201.0,120201.0,,,
2007-07-01,0.0,0.0,0.0,1908.191,37456.0,37456.0,5964.809,117082.0,117082.0,,,
2007-08-01,0.0,0.0,0.0,3372.1730000000002,61789.0,61789.0,6699.827,122762.0,122762.0,,,
2007-09-01,0.0,0.0,0.0,4401.019,91664.0,91664.0,4564.981,95079.0,95079.0,,,
2007-10-01,0.0,0.0,0.0,3654.248,100846.0,100846.0,2484.752,68572.0,68572.0,,,
2007-11-01,2.636,49.0,49.0,2840.511,52798.0,52798.0,4251.853,79032.0,79032.0,,,
2007-12-01,4.591,70.0,70.0,0.0,0.0,0.0,11408.409,173941.0,173941.0,,,
2008-01-01,406.791,9536.0,9536.0,0.0,0.0,0.0,9774.209,229127.0,229127.0,,,
2008-02-01,1229.261,32112.0,32112.0,2498.231,65261.0,65261.0,4662.508,121799.0,121799.0,,,
2008-03-01,189.62300000000002,26410.0,26410.0,358.31300000000005,49905.0,49905.0,1037.064,144438.0,144438.0,,,
2008-04-01,0.0,0.0,0.0,265.75,5425.0,5425.0,9505.25,194036.0,194036.0,,,
2008-05-01,0.0,0.0,0.0,820.861,17634.0,17634.0,6980.139,149946.0,149946.0,,,
2008-06-01,0.0,0.0,0.0,4971.2570000000005,101447.0,101447.0,5679.743,115905.0,115905.0,,,
2008-07-01,0.0,0.0,0.0,5183.718,111344.0,111344.0,5131.282,110218.0,110218.0,,,
2008-08-01,0.0,0.0,0.0,5110.6900000000005,94871.0,94871.0,8361.31,155213.0,155213.0,,,
2008-09-01,0.0,0.0,0.0,2851.737,62067.0,62067.0,6916.263,150531.0,150531.0,,,
2008-10-01,350.706,10711.0,10711.0,3328.022,101642.0,101642.0,2220.271,67810.0,67810.0,,,
2008-11-01,250.28300000000002,5779.0,5779.0,161.068,3719.0,3719.0,9019.65,208263.0,208263.0,,,
2008-12-01,98.549,2316.0,2316.0,0.0,0.0,0.0,9646.451000000001,226701.0,226701.0,,,
2009-01-01,47.512,1182.0,1182.0,0.0,0.0,0.0,9481.488000000001,235878.0,235878.0,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,8891.0,206737.0,206737.0,,,
2009-03-01,0.0,0.0,0.0,4088.442,105281.0,105281.0,5008.558,128975.0,128975.0,,,
2009-04-01,0.0,0.0,0.0,3266.679,100835.0,100835.0,1791.3210000000001,55294.0,55294.0,,,
2009-05-01,3075.545,70616.0,70616.0,5167.192,118641.0,118641.0,2478.263,56902.0,56902.0,,,
2009-06-01,0.0,0.0,0.0,274.826,7902.0,7902.0,4376.174,125829.0,125829.0,,,
2009-07-01,0.0,0.0,0.0,5279.236,124160.0,124160.0,4749.764,111708.0,111708.0,,,
2009-08-01,0.0,0.0,0.0,7736.293000000001,137766.0,137766.0,2900.7070000000003,51655.0,51655.0,,,
2009-09-01,3670.9750000000004,77050.0,77050.0,4670.401,98027.0,98027.0,2282.6240000000003,47910.0,47910.0,,,
2009-10-01,816.744,18259.0,18259.0,5146.888,115063.0,115063.0,4891.368,109351.0,109351.0,,,
2009-11-01,0.0,0.0,0.0,5876.881,146623.0,146623.0,4838.119000000001,120707.0,120707.0,,,
2009-12-01,0.0,0.0,0.0,2319.348,62269.0,62269.0,7115.652,191039.0,191039.0,,,
2010-01-01,0.0,0.0,0.0,868.215,19611.0,19611.0,9729.785,219776.0,219776.0,,,
2010-02-01,0.0,0.0,0.0,4641.951,101989.0,101989.0,6085.049,133695.0,133695.0,,,
2010-03-01,64.08,1522.0,1522.0,4239.091,100686.0,100686.0,3815.829,90633.0,90633.0,,,
2010-04-01,713.706,18443.0,18443.0,3746.0190000000002,96802.0,96802.0,2041.275,52749.0,52749.0,,,
2010-05-01,0.0,0.0,0.0,3796.855,104923.0,104923.0,1465.145,40488.0,40488.0,,,
2010-06-01,0.0,0.0,0.0,4659.118,104997.0,104997.0,3171.882,71481.0,71481.0,,,
2010-07-01,0.0,0.0,0.0,6175.319,120524.0,120524.0,6186.6810000000005,120745.0,120745.0,,,
2010-08-01,0.0,0.0,0.0,6386.452,122114.0,122114.0,5669.548000000001,108406.0,108406.0,,,
2010-09-01,0.0,0.0,0.0,6340.3240000000005,126811.0,126811.0,5884.676,117697.0,117697.0,,,
2010-10-01,825.763,18279.0,18279.0,5620.823,124422.0,124422.0,2780.414,61547.0,61547.0,,,
2010-11-01,192.137,4544.0,4544.0,5281.983,124918.0,124918.0,3976.88,94052.0,94052.0,,,
2010-12-01,0.0,0.0,0.0,461.696,10292.0,10292.0,10149.304,226252.0,226252.0,,,
2011-01-01,149.756,5177.0,5177.0,190.558,6588.0,6588.0,6154.806,212769.0,212769.0,,,
2011-02-01,0.0,0.0,0.0,3130.833,108854.0,108854.0,3387.567,117780.0,117780.0,,,
2011-03-01,0.0,0.0,0.0,4065.448,130061.0,130061.0,3873.032,123905.0,123905.0,,,
2011-04-01,714.321,22377.0,22377.0,2740.602,85853.0,85853.0,3529.077,110553.0,110553.0,,,
2011-05-01,0.0,0.0,0.0,3913.584,106274.0,106274.0,4024.896,109296.0,109296.0,,,
2011-06-01,0.0,0.0,0.0,4786.871,128268.0,128268.0,3594.899,96328.0,96328.0,,,
2011-07-01,0.0,0.0,0.0,3627.354,106943.0,106943.0,4311.126,127103.0,127103.0,,,
2011-08-01,996.558,28125.0,28125.0,4650.745,131254.0,131254.0,3012.857,85029.0,85029.0,,,
2011-09-01,2153.306,64337.0,64337.0,4667.241,139449.0,139449.0,2258.653,67485.0,67485.0,,,
2011-10-01,2523.221,97250.0,97250.0,3305.325,127394.0,127394.0,1388.254,53506.0,53506.0,,,
2011-11-01,759.829,20379.0,20379.0,421.173,11296.0,11296.0,6501.398,174371.0,174371.0,,,
2011-12-01,0.0,0.0,0.0,4696.925,137396.0,137396.0,6128.275,179266.0,179266.0,,,
2012-01-01,0.0,0.0,0.0,5656.068,118668.0,118668.0,8796.932,184565.0,184565.0,,,
2012-02-01,1532.36,33251.0,33251.0,5085.531,110352.0,110352.0,4996.109,108412.0,108412.0,,,
2012-03-01,3379.238,74061.0,74061.0,4886.478,107094.0,107094.0,2152.284,47171.0,47171.0,,,
2012-04-01,4246.311,99837.0,99837.0,6739.689,158460.0,158460.0,0.0,0.0,0.0,,,
2012-05-01,4189.828,94353.0,94353.0,7470.416,168230.0,168230.0,152.756,3440.0,3440.0,,,
2012-06-01,3604.273,79119.0,79119.0,6405.998,140621.0,140621.0,692.729,15206.0,15206.0,,,
2012-07-01,5168.879,98625.0,98625.0,4467.295,85238.0,85238.0,1463.826,27931.0,27931.0,,,
2012-08-01,4856.319,98099.0,98099.0,7321.681,147900.0,147900.0,0.0,0.0,0.0,,,
2012-09-01,5129.724,101589.0,101589.0,6905.276,136752.0,136752.0,0.0,0.0,0.0,,,
2012-10-01,4693.373,98766.0,98766.0,5920.965,124599.0,124599.0,1550.662,32632.0,32632.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,6652.0,169453.0,169453.0,,,
2012-12-01,0.0,0.0,0.0,3748.727,102155.0,102155.0,5886.273,160405.0,160405.0,,,
2013-01-01,326.65,7453.0,7453.0,,,,8163.851,186270.0,186270.0,4125.499,94129.0,94129.0
2013-02-01,0.0,0.0,0.0,,,,6876.29,155446.0,155446.0,5556.71,125616.0,125616.0
2013-03-01,3409.846,72002.0,72002.0,,,,5661.972,119558.0,119558.0,4699.182,99228.0,99228.0
2013-04-01,2389.033,49591.0,49591.0,,,,6164.6,127963.0,127963.0,4472.367,92836.0,92836.0
2013-05-01,792.225,17415.0,17415.0,,,,4972.428,109306.0,109306.0,5422.347,119196.0,119196.0
2013-06-01,0.0,0.0,0.0,,,,5183.003,102257.0,102257.0,6494.997,128142.0,128142.0
2013-07-01,0.0,0.0,0.0,,,,5624.743,117178.0,117178.0,5724.257,119251.0,119251.0
2013-08-01,0.0,0.0,0.0,,,,5453.462,106791.0,106791.0,6796.538,133092.0,133092.0
2013-09-01,1866.014,37561.0,37561.0,,,,3348.085,67394.0,67394.0,6622.901,133312.0,133312.0
2013-10-01,3707.262,108619.0,108619.0,,,,114.142,3344.0,3344.0,197.596,5789.0,5789.0
2013-11-01,126.649,4735.0,4735.0,,,,1291.162,48272.0,48272.0,3247.189,121402.0,121402.0
2013-12-01,899.613,22695.0,22695.0,,,,5896.55,148755.0,148755.0,4349.837,109736.0,109736.0
2014-01-01,0.0,0.0,0.0,,,,5742.532,65312.0,174003.0,1546.468,17588.0,46859.0
2014-02-01,217.886,2478.0,5085.0,,,,7182.013,81683.0,167613.0,3719.101,42299.0,86796.0
2014-03-01,1081.113,12296.0,24627.0,,,,5963.768,67828.0,135851.0,5510.119,62668.0,125517.0
2014-04-01,0.0,0.0,0.0,,,,8395.304,95483.0,178924.0,4332.696,49277.0,92340.0
2014-05-01,1847.991,21018.0,45361.0,,,,4542.879,51668.0,111510.0,1832.13,20837.0,44972.0
2014-06-01,3060.976,34814.0,63282.0,,,,2341.63,26632.0,48410.0,4787.394,54449.0,98974.0
2014-07-01,447.984,5095.0,8579.0,,,,5830.358,66311.0,111653.0,6430.658,73138.0,123149.0
2014-08-01,0.0,0.0,0.0,,,,218.135,2481.0,53684.0,19.865,226.0,4889.0
2014-09-01,0.0,0.0,0.0,,,,1783.165,20281.0,59387.0,1265.835,14397.0,42157.0
2014-10-01,825.397,9388.0,23583.0,,,,2133.053,24260.0,60945.0,2349.55,26722.0,67131.0
2014-11-01,343.66,3909.0,12924.0,,,,1412.266,16062.0,53111.0,3094.074,35190.0,116359.0
2014-12-01,1145.368,13027.0,41154.0,,,,1841.271,20941.0,66158.0,2113.361,24036.0,75935.0
2015-01-01,0.0,0.0,0.0,,,,1661.677,18899.0,57871.0,3387.323,38525.0,117971.0
2015-02-01,32.018,364.0,1354.0,,,,1817.49,20671.0,76859.0,2777.492,31589.0,117456.0
2015-03-01,438.642,4989.0,15273.0,,,,2135.797,24291.0,74366.0,2626.561,29873.0,91454.0
2015-04-01,154.927,1762.0,4028.0,,,,6421.073,73029.0,166943.0,0.0,0.0,0.0
2015-05-01,5701.422,64844.0,104111.0,,,,3199.43,36388.0,58423.0,2340.148,26615.0,42732.0
2015-06-01,2154.369,24502.0,38844.0,,,,5213.47,59295.0,94001.0,4177.161,47508.0,75316.0
2015-07-01,1719.25,19554.0,32715.0,,,,4486.036,51021.0,85363.0,3955.714,44990.0,75272.0
2015-08-01,6120.259,69608.0,115348.0,,,,1697.45,19306.0,31992.0,3633.291,41323.0,68476.0
2015-09-01,3882.65,44159.0,72044.0,,,,2718.109,30914.0,50436.0,6406.241,72860.0,118870.0
2015-10-01,4894.974,55672.0,93772.0,,,,2985.39,33954.0,57191.0,6472.636,73615.0,123995.0
2015-11-01,1377.217,15664.0,28307.0,,,,5681.013,64612.0,116766.0,5651.77,64279.0,116165.0
2015-12-01,1765.883,20084.0,36869.0,,,,5879.306,66867.0,122751.0,4523.811,51451.0,94450.0
2016-01-01,910.192,20070.0,20070.0,,,,7335.772,161756.0,161756.0,5324.036,117397.0,117397.0
2016-02-01,724.789,15480.0,15480.0,,,,7073.013,151065.0,151065.0,5551.198,118562.0,118562.0
2016-03-01,2948.414,67221.0,67221.0,,,,2719.476,62001.0,62001.0,4200.11,95758.0,95758.0
2016-04-01,3927.743,104013.0,104013.0,,,,1882.544,49853.0,49853.0,254.713,6745.0,6745.0
2016-05-01,560.205,12230.0,12230.0,,,,4994.451,109035.0,109035.0,2432.344,53101.0,53101.0
2016-06-01,686.83,13760.0,13760.0,,,,5638.543,112963.0,112963.0,6090.627,122020.0,122020.0
2016-07-01,1136.26,22230.0,22230.0,,,,4796.809,93846.0,93846.0,5815.931,113784.0,113784.0
2016-08-01,832.371,16926.0,16926.0,,,,4296.968,87377.0,87377.0,5344.661,108682.0,108682.0
2016-09-01,922.621,17582.0,17582.0,,,,5472.942,104296.0,104296.0,5807.437,110670.0,110670.0
2016-10-01,5233.648,103197.0,103197.0,,,,674.74,13305.0,13305.0,6397.612,126148.0,126148.0
2016-11-01,3092.507,68523.0,68523.0,,,,2190.067,48527.0,48527.0,5130.426,113679.0,113679.0
2016-12-01,1100.509,25382.0,25382.0,,,,4933.882,113794.0,113794.0,4481.609,103363.0,103363.0
2017-01-01,1059.965,24121.0,24121.0,,,,7023.51,159830.0,159830.0,5987.525,136255.0,136255.0
2017-02-01,746.167,15940.0,15940.0,,,,6054.832,129346.0,129346.0,5363.001,114567.0,114567.0
2017-03-01,1844.231,39381.0,39381.0,,,,5378.569,114852.0,114852.0,5639.2,120417.0,120417.0
2017-04-01,4284.936,100964.0,100964.0,,,,2325.064,54784.0,54784.0,0.0,0.0,0.0
2017-05-01,2815.427,72665.0,72665.0,,,,2273.861,58687.0,58687.0,1121.712,28951.0,28951.0
2017-06-01,5151.998,115066.0,115066.0,,,,40.279,900.0,900.0,4208.723,93999.0,93999.0
2017-07-01,2873.173,57336.0,57336.0,,,,3308.875,66031.0,66031.0,4393.952,87684.0,87684.0
2017-08-01,1450.305,29995.0,29995.0,,,,3783.085,78241.0,78241.0,5407.61,111839.0,111839.0
2017-09-01,2452.99,49044.0,49044.0,,,,2613.95,52262.0,52262.0,5595.06,111865.0,111865.0
2017-10-01,1238.768,25862.0,25862.0,,,,4240.896,88538.0,88538.0,5114.336,106773.0,106773.0
2017-11-01,3800.75,65435.0,65435.0,,,,7308.59,125827.0,125827.0,2327.66,40074.0,40074.0
2017-12-01,1218.868,27166.0,27166.0,,,,6549.953,145985.0,145985.0,5577.179,124304.0,124304.0
2018-01-01,1240.286,26790.0,26790.0,,,,6633.53,143283.0,143283.0,5407.184,116794.0,116794.0
2018-02-01,656.16,14838.0,14838.0,,,,6262.096,141607.0,141607.0,5401.744,122152.0,122152.0
2018-03-01,1084.008,22466.0,22466.0,,,,6089.201,126198.0,126198.0,5000.791,103641.0,103641.0
2018-04-01,968.366,20070.0,20070.0,,,,6063.204,125664.0,125664.0,5556.43,115161.0,115161.0
2018-05-01,2934.129,54016.0,54016.0,,,,7928.7,145964.0,145964.0,307.171,5655.0,5655.0
2018-06-01,886.847,17090.0,17090.0,,,,9024.153,173900.0,173900.0,0.0,0.0,0.0
2018-07-01,0.0,24744.0,24744.0,,,,0.0,26829.0,26829.0,0.0,0.0,0.0
2018-08-01,0.0,0.0,0.0,,,,0.0,54792.0,54792.0,0.0,0.0,0.0
2018-09-01,0.0,12842.0,12842.0,,,,0.0,42521.0,42521.0,0.0,0.0,0.0
2018-10-01,0.0,26404.0,26404.0,,,,0.0,55176.0,55176.0,0.0,0.0,0.0
2018-11-01,1680.469,65033.0,65033.0,,,,474.717,18371.0,18371.0,1214.814,47012.0,47012.0
2018-12-01,684.123,25418.0,25418.0,,,,1138.379,42296.0,42296.0,2537.498,94279.0,94279.0
2019-01-01,291.658,11660.0,11660.0,,,,2621.097,104787.0,104787.0,1617.245,64655.0,64655.0
2019-02-01,608.972,19780.0,19780.0,,,,2650.949,86105.0,86105.0,1870.079,60742.0,60742.0
2019-03-01,1165.597,32347.0,32347.0,,,,2399.42,66587.0,66587.0,2984.983,82838.0,82838.0
2019-04-01,1454.345,33934.0,33934.0,,,,2522.055,58847.0,58847.0,2233.6,52116.0,52116.0
2019-05-01,2117.222,73671.0,73671.0,,,,0.0,0.0,0.0,82.778,2880.0,2880.0
2019-06-01,0.0,8910.0,8910.0,,,,0.0,44319.0,44319.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,,,,0.0,50733.0,50733.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,,,,0.0,59043.0,59043.0,0.0,0.0,0.0
2019-09-01,0.0,1875.0,1875.0,,,,0.0,63064.0,63064.0,0.0,0.0,0.0
2019-10-01,1131.424,76562.0,76562.0,,,,50.08,3389.0,3389.0,258.496,17492.0,17492.0
2019-11-01,1322.587,45025.0,45025.0,,,,1044.091,35544.0,35544.0,2213.322,75348.0,75348.0
2019-12-01,1155.869,36180.0,36180.0,,,,1729.375,54131.0,54131.0,2444.756,76524.0,76524.0
2020-01-01,1546.247,48004.0,48004.0,,,,1800.58,55900.0,55900.0,1903.173,59085.0,59085.0
2020-02-01,1901.078,55972.0,55972.0,,,,1097.573,32315.0,32315.0,2141.349,63046.0,63046.0
2020-03-01,2225.931,61251.0,61251.0,,,,1328.51,36557.0,36557.0,1945.559,53536.0,53536.0
2020-04-01,707.357,36940.0,36940.0,,,,654.506,34180.0,34180.0,718.137,37503.0,37503.0
2020-05-01,107.665,42100.0,42100.0,,,,0.0,0.0,0.0,92.335,36106.0,36106.0
2020-06-01,0.0,55389.0,55389.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,0.0,47962.0,47962.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,0.0,44502.0,44502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,0.0,48280.0,48280.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,298.255,23488.0,23488.0,,,,705.189,55535.0,55535.0,196.556,15479.0,15479.0
2020-11-01,874.363,25557.0,25557.0,,,,1522.565,44503.0,44503.0,1513.072,44226.0,44226.0
2020-12-01,1637.05,38933.0,38933.0,,,,1882.95,44781.0,44781.0,0.0,0.0,0.0
2021-01-01,0.0,29950.0,29950.0,,,,0.0,49842.0,49842.0,0.0,38326.0,38326.0
2021-02-01,0.0,20429.0,20429.0,,,,0.0,42480.0,42480.0,0.0,31065.0,31065.0
2021-03-01,0.0,14889.0,14889.0,,,,0.0,33113.0,33113.0,0.0,16930.0,16930.0
2021-04-01,0.0,25220.0,25220.0,,,,0.0,0.0,0.0,0.0,24271.0,24271.0
2021-05-01,0.0,50.0,50.0,,,,0.0,41280.0,41280.0,0.0,327.0,327.0
2021-06-01,0.0,0.0,0.0,,,,0.0,37978.0,37978.0,0.0,0.0,0.0
2021-07-01,0.0,2058.0,2058.0,,,,0.0,39603.0,39603.0,0.0,0.0,0.0
2021-08-01,0.0,40338.0,40338.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0.0,36548.0,36548.0,,,,0.0,55.0,55.0,0.0,0.0,0.0
2021-10-01,0.0,40391.0,40391.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,0.0,41524.0,41524.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,35187.0,35187.0,,,,0.0,17955.0,17955.0,0.0,0.0,0.0
2022-01-01,0.0,9580.0,9580.0,,,,0.0,47523.0,47523.0,0.0,0.0,0.0
2022-02-01,0.0,3564.0,3564.0,,,,0.0,49588.0,49588.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,,,,0.0,50934.0,50934.0,0.0,0.0,0.0
2022-04-01,0.0,150.0,150.0,,,,0.0,42240.0,42240.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,,,,0.0,4491.0,4491.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,,,,0.0,36414.0,36414.0,0.0,0.0,0.0
2022-11-01,0.0,15895.0,15895.0,,,,0.0,22935.0,22935.0,0.0,0.0,0.0
2022-12-01,0.0,40260.0,40260.0,,,,0.0,4620.0,4620.0,0.0,0.0,0.0
