measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2007-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-08-01,6814.0,108100.0,108100.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-09-01,769.0,9300.0,9300.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-10-01,923.0,9336.0,9336.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-07-01,1842.0,27480.0,27480.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-08-01,4032.0,58464.0,58464.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-09-01,-51.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
