measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2006-11-01,8968.254,88497.0,88497.0,,,,31.829,687.0,687.0
2006-12-01,9936.948,98055.0,98055.0,,,,34.655,748.0,748.0
2007-01-01,13.155,194.0,194.0,,,,11456.845,168997.0,168997.0
2007-02-01,39.785,600.0,600.0,,,,10136.215,152805.0,152805.0
2007-03-01,116.185,1764.0,1764.0,,,,10577.815,160599.0,160599.0
2007-04-01,2.737,41.0,41.0,,,,11133.263,167450.0,167450.0
2007-05-01,9.391,141.0,141.0,,,,11491.609,172695.0,172695.0
2007-06-01,5.871,88.0,88.0,,,,11111.129,166932.0,166932.0
2007-07-01,2.349,35.0,35.0,,,,11421.651,171556.0,171556.0
2007-08-01,3.914,59.0,59.0,,,,10959.086,164637.0,164637.0
2007-09-01,25.374000000000002,382.0,382.0,,,,8364.626,125996.0,125996.0
2007-10-01,29.287000000000003,441.0,441.0,,,,10952.713,164926.0,164926.0
2007-11-01,20.819000000000003,300.0,300.0,,,,10865.181,156502.0,156502.0
2007-12-01,32.471000000000004,488.0,488.0,,,,10412.529,156502.0,156502.0
2008-01-01,42.874,659.0,659.0,,,,10977.126,168615.0,168615.0
2008-02-01,39.053000000000004,600.0,600.0,,,,10194.947,156570.0,156570.0
2008-03-01,34.093,523.0,523.0,,,,10525.907,161568.0,161568.0
2008-04-01,51.856,800.0,800.0,,,,6591.144,101643.0,101643.0
2008-05-01,24.156000000000002,370.0,370.0,,,,10305.844,158041.0,158041.0
2008-06-01,16.117,247.0,247.0,,,,11061.883,169499.0,169499.0
2008-07-01,18.8,288.0,288.0,,,,11328.2,173613.0,173613.0
2008-08-01,50.877,782.0,782.0,,,,10855.123,166855.0,166855.0
2008-09-01,15.732000000000001,241.0,241.0,,,,10064.268,154224.0,154224.0
2008-10-01,6.53,100.0,100.0,,,,11110.47,170085.0,170085.0
2008-11-01,19.564,300.0,300.0,,,,10310.436,158041.0,158041.0
2008-12-01,20.714000000000002,318.0,318.0,,,,11019.286,168912.0,168912.0
2009-01-01,3.0740000000000003,47.0,47.0,,,,11247.926,172142.0,172142.0
2009-02-01,3.132,47.0,47.0,,,,10249.868,153952.0,153952.0
2009-03-01,0.0,0.0,0.0,,,,11404.0,174488.0,174488.0
2009-04-01,26.443,406.0,406.0,,,,9553.557,146583.0,146583.0
2009-05-01,16.117,247.0,247.0,,,,11176.883,171258.0,171258.0
2009-06-01,21.479000000000003,329.0,329.0,,,,10711.521,164212.0,164212.0
2009-07-01,10.367,159.0,159.0,,,,11221.633,171845.0,171845.0
2009-08-01,0.0,0.0,0.0,,,,11174.0,170969.0,170969.0
2009-09-01,0.0,0.0,0.0,,,,11020.0,168615.0,168615.0
2009-10-01,36.389,559.0,559.0,,,,11137.611,170969.0,170969.0
2009-11-01,3.458,53.0,53.0,,,,10901.542,166855.0,166855.0
2009-12-01,4.226,65.0,65.0,,,,11131.774,170383.0,170383.0
2010-01-01,26.072000000000003,400.0,400.0,,,,10783.928,165385.0,165385.0
2010-02-01,23.388,359.0,359.0,,,,9615.612000000001,147467.0,147467.0
2010-03-01,25.681,394.0,394.0,,,,9555.319000000001,146583.0,146583.0
2010-04-01,2.305,35.0,35.0,,,,10691.695,163625.0,163625.0
2010-05-01,0.0,0.0,0.0,,,,11213.0,171556.0,171556.0
2010-06-01,0.0,0.0,0.0,,,,10771.0,164798.0,164798.0
2010-07-01,7.297000000000001,112.0,112.0,,,,11070.703,169499.0,169499.0
2010-08-01,0.0,0.0,0.0,,,,11078.0,169499.0,169499.0
2010-09-01,36.734,564.0,564.0,,,,8277.266,127194.0,127194.0
2010-10-01,43.763000000000005,676.0,676.0,,,,4410.237,68145.0,68145.0
2010-11-01,3.842,59.0,59.0,,,,10479.158,160387.0,160387.0
2010-12-01,0.0,0.0,0.0,,,,11059.0,169210.0,169210.0
2011-01-01,7.1,112.0,112.0,,,,10993.9,172992.0,172992.0
2011-02-01,17.914,282.0,282.0,,,,9620.086,151564.0,151564.0
2011-03-01,13.068,206.0,206.0,,,,8645.932,136162.0,136162.0
2011-04-01,26.788,423.0,423.0,,,,5425.212,85740.0,85740.0
2011-05-01,2.617,41.0,41.0,,,,9174.383,144313.0,144313.0
2011-06-01,20.512,323.0,323.0,,,,7774.488,122579.0,122579.0
2011-07-01,0.0,0.0,0.0,,,,10252.0,161220.0,161220.0
2011-08-01,9.341,147.0,147.0,,,,10723.659,168768.0,168768.0
2011-09-01,1.869,29.0,29.0,,,,10366.131,163030.0,163030.0
2011-10-01,22.008,347.0,347.0,,,,8982.992,141602.0,141602.0
2011-11-01,0.748,12.0,12.0,,,,10539.252,165750.0,165750.0
2011-12-01,0.0,0.0,0.0,,,,9949.0,156392.0,156392.0
2012-01-01,11.924,182.0,182.0,,,,10204.076,155984.0,155984.0
2012-02-01,25.313,388.0,388.0,,,,9848.687,150994.0,150994.0
2012-03-01,0.0,0.0,0.0,,,,11248.0,172142.0,172142.0
2012-04-01,27.222,417.0,417.0,,,,9385.778,143939.0,143939.0
2012-05-01,6.532,100.0,100.0,,,,10941.468,167450.0,167450.0
2012-06-01,1.537,24.0,24.0,,,,10555.463,161568.0,161568.0
2012-07-01,0.0,0.0,0.0,,,,11009.0,168615.0,168615.0
2012-08-01,1.538,24.0,24.0,,,,10753.462,164501.0,164501.0
2012-09-01,0.0,0.0,0.0,,,,10419.0,159214.0,159214.0
2012-10-01,47.025,723.0,723.0,,,,10256.975,157752.0,157752.0
2012-11-01,0.0,0.0,0.0,,,,10970.0,168011.0,168011.0
2012-12-01,0.0,0.0,0.0,,,,11097.0,169499.0,169499.0
2013-01-01,0.0,0.0,0.0,,,,11078.0,174208.0,174208.0
2013-02-01,2.243,35.0,35.0,,,,10000.757,157301.0,157301.0
2013-03-01,0.0,0.0,0.0,,,,11001.0,173001.0,173001.0
2013-04-01,29.074,459.0,459.0,,,,9358.926,147637.0,147637.0
2013-05-01,0.0,0.0,0.0,,,,11251.0,176919.0,176919.0
2013-06-01,0.0,0.0,0.0,,,,10598.0,166660.0,166660.0
2013-07-01,14.936,235.0,235.0,,,,10468.064,164841.0,164841.0
2013-08-01,0.0,0.0,0.0,,,,11059.0,173902.0,173902.0
2013-09-01,0.0,0.0,0.0,,,,10636.0,167263.0,167263.0
2013-10-01,33.534,529.0,529.0,,,,9642.466,152167.0,152167.0
2013-11-01,38.739,612.0,612.0,,,,10041.261,158508.0,158508.0
2013-12-01,0.0,0.0,0.0,,,,11040.0,173604.0,173604.0
2014-01-01,8.593,135.0,135.0,,,,10547.407,165997.0,165997.0
2014-02-01,3.364,53.0,53.0,,,,9249.636,145512.0,145512.0
2014-03-01,0.0,0.0,0.0,,,,10653.0,167527.0,167527.0
2014-04-01,27.212,429.0,429.0,,,,8841.788,139468.0,139468.0
2014-05-01,11.206,176.0,176.0,,,,10444.794,164424.0,164424.0
2014-06-01,10.085,159.0,159.0,,,,9860.915,155227.0,155227.0
2014-07-01,5.232,82.0,82.0,,,,10412.768,163829.0,163829.0
2014-08-01,2.991,47.0,47.0,,,,10687.009,168105.0,168105.0
2014-09-01,2.243,35.0,35.0,,,,10505.757,165249.0,165249.0
2014-10-01,19.779,312.0,312.0,,,,10014.221,157786.0,157786.0
2014-11-01,1.869,29.0,29.0,,,,10748.131,169048.0,169048.0
2014-12-01,1.495,24.0,24.0,,,,10840.505,170502.0,170502.0
2015-01-01,4.485,71.0,71.0,,,,10801.515,169941.0,169941.0
2015-02-01,8.951,141.0,141.0,,,,9749.049,153706.0,153706.0
2015-03-01,2.243,35.0,35.0,,,,10802.757,169915.0,169915.0
2015-04-01,16.426,259.0,259.0,,,,10385.574,163583.0,163583.0
2015-05-01,39.465,623.0,623.0,,,,9065.535,143174.0,143174.0
2015-06-01,20.897,329.0,329.0,,,,10322.103,162648.0,162648.0
2015-07-01,10.891,176.0,176.0,,,,10373.109,168011.0,168011.0
2015-08-01,12.324,194.0,194.0,,,,10575.676,166515.0,166515.0
2015-09-01,0.0,0.0,0.0,,,,10491.0,164968.0,164968.0
2015-10-01,15.304,241.0,241.0,,,,8840.696,139264.0,139264.0
2015-11-01,0.374,6.0,6.0,,,,10850.626,170646.0,170646.0
2015-12-01,0.0,0.0,0.0,,,,11229.0,176588.0,176588.0
2016-01-01,0.0,0.0,0.0,,,,11136.0,175151.0,175151.0
2016-02-01,17.167,270.0,270.0,,,,10254.833,161577.0,161577.0
2016-03-01,1.495,24.0,24.0,,,,10807.505,170043.0,170043.0
2016-04-01,23.531,370.0,370.0,,,,9768.469,153782.0,153782.0
2016-05-01,22.374,353.0,353.0,,,,9308.626,146778.0,146778.0
2016-06-01,0.0,0.0,0.0,,,,10567.0,166175.0,166175.0
2016-07-01,5.606,88.0,88.0,,,,10874.394,171097.0,171097.0
2016-08-01,24.993,394.0,394.0,,,,10656.007,167969.0,167969.0
2016-09-01,4.111,65.0,65.0,,,,10432.889,164127.0,164127.0
2016-10-01,30.536,482.0,482.0,,,,7368.464,116348.0,116348.0
2016-11-01,0.0,0.0,0.0,,,,10589.0,166515.0,166515.0
2016-12-01,0.0,0.0,0.0,,,,11301.0,177701.0,177701.0
2017-01-01,3.738,59.0,59.0,,,,11202.262,176222.0,176222.0
2017-02-01,0.0,0.0,0.0,,,,9948.0,156443.0,156443.0
2017-03-01,10.832,171.0,171.0,,,,10347.168,162886.0,162886.0
2017-04-01,0.0,0.0,0.0,,,,9983.0,156987.0,156987.0
2017-05-01,24.974,394.0,394.0,,,,8116.026,128027.0,128027.0
2017-06-01,3.364,53.0,53.0,,,,9721.636,152932.0,152932.0
2017-07-01,0.0,0.0,0.0,,,,10573.0,166269.0,166269.0
2017-08-01,0.0,0.0,0.0,,,,10518.0,165402.0,165402.0
2017-09-01,0.0,0.0,0.0,,,,10182.0,160115.0,160115.0
2017-10-01,37.989,600.0,600.0,,,,9521.011,150314.0,150314.0
2017-11-01,0.374,6.0,6.0,,,,10407.626,163676.0,163676.0
2017-12-01,0.0,0.0,0.0,,,,10863.0,170825.0,170825.0
2018-01-01,4.47,71.0,71.0,,,,10679.53,168564.0,168564.0
2018-02-01,0.0,0.0,0.0,,,,9293.0,146141.0,146141.0
2018-03-01,17.914,282.0,282.0,,,,9666.086,152295.0,152295.0
2018-04-01,40.43,641.0,641.0,,,,8245.57,130713.0,130713.0
2018-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-06-01,30.115,476.0,476.0,,,,5178.885,81906.0,81906.0
2018-07-01,2.819,47.0,47.0,,,,8237.181,137428.0,137428.0
2018-08-01,14.558,229.0,229.0,,,,8765.442,138074.0,138074.0
2018-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-11-01,21.64,341.0,341.0,,,,9780.36,154139.0,154139.0
2018-12-01,0.0,0.0,0.0,,,,8034.0,94894.0,94894.0
2019-01-01,1.636,29.0,29.0,,,,9745.364,175143.0,175143.0
2019-02-01,0.0,0.0,0.0,,,,8731.0,137377.0,137377.0
2019-03-01,0.0,0.0,0.0,,,,9352.0,147033.0,147033.0
2019-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2019-07-01,16.804,265.0,265.0,,,,8954.196,140998.0,140998.0
2019-08-01,8.223,129.0,129.0,,,,8693.777,136774.0,136774.0
2019-09-01,0.0,0.0,0.0,,,,8661.0,136196.0,136196.0
2019-10-01,13.072,206.0,206.0,,,,8857.928,139460.0,139460.0
2019-11-01,34.257,541.0,541.0,,,,8603.743,135864.0,135864.0
2019-12-01,10.468,165.0,165.0,,,,9962.532,156698.0,156698.0
2020-01-01,17.912,282.0,282.0,,,,8940.088,140871.0,140871.0
2020-02-01,11.205,176.0,176.0,,,,9319.795,146727.0,146727.0
2020-03-01,5.606,88.0,88.0,,,,10285.394,161823.0,161823.0
2020-04-01,5.979,94.0,94.0,,,,9478.021,149141.0,149141.0
2020-05-01,24.981,394.0,394.0,,,,8615.019,135864.0,135864.0
2020-06-01,7.472,118.0,118.0,,,,8248.528,129821.0,129821.0
2020-07-01,5.619,88.0,88.0,,,,9943.381,156086.0,156086.0
2020-08-01,0.0,0.0,0.0,,,,10184.0,160149.0,160149.0
2020-09-01,0.0,0.0,0.0,,,,9918.0,155967.0,155967.0
2020-10-01,7.844,123.0,123.0,,,,8274.156,130246.0,130246.0
2020-11-01,0.0,0.0,0.0,,,,10425.0,163940.0,163940.0
2020-12-01,34.244,541.0,541.0,,,,7529.756,118949.0,118949.0
2021-01-01,5.12,81.0,81.0,,,,10492.88,165079.0,165079.0
2021-02-01,4.389,69.0,69.0,,,,9660.611,151972.0,151972.0
2021-03-01,16.441,259.0,259.0,,,,10491.559,165232.0,165232.0
2021-04-01,14.251,224.0,224.0,,,,9894.749,155814.0,155814.0
2021-05-01,36.853,581.0,581.0,,,,9044.147,142622.0,142622.0
2021-06-01,9.14,144.0,144.0,,,,10034.86,157939.0,157939.0
2021-07-01,5.121,81.0,81.0,,,,10358.879,162962.0,162962.0
2021-08-01,23.713,374.0,374.0,,,,7806.287,123123.0,123123.0
2021-09-01,1.098,17.0,17.0,,,,10056.902,158160.0,158160.0
2021-10-01,24.084,380.0,380.0,,,,8666.916,136663.0,136663.0
2021-11-01,1.829,29.0,29.0,,,,10169.171,159936.0,159936.0
2021-12-01,4.755,75.0,75.0,,,,10484.245,164943.0,164943.0
2022-01-01,2.926,46.0,46.0,,,,9880.074,155414.0,155414.0
2022-02-01,3.183,52.0,52.0,,,,8888.817,144619.0,144619.0
2022-03-01,1.829,29.0,29.0,,,,9847.171,154879.0,154879.0
2022-04-01,0.0,0.0,0.0,,,,9523.0,149753.0,149753.0
2022-05-01,18.991,299.0,299.0,,,,8470.009,133450.0,133450.0
2022-06-01,11.692,184.0,184.0,,,,8972.308,141296.0,141296.0
2022-07-01,2.195,35.0,35.0,,,,10206.805,160531.0,160531.0
2022-08-01,2.927,46.0,46.0,,,,10161.073,159826.0,159826.0
2022-09-01,0.0,0.0,0.0,,,,9950.0,156460.0,156460.0
2022-10-01,19.352,305.0,305.0,,,,8919.648,140565.0,140565.0
2022-11-01,0.0,0.0,0.0,,,,10252.0,161211.0,161211.0
2022-12-01,4.389,69.0,69.0,,,,10316.611,162299.0,162299.0
2023-01-01,4.809,76.0,76.0,,,,10206.191,160574.0,160574.0
2023-02-01,0.0,0.0,0.0,,,,9166.0,144143.0,144143.0
2023-03-01,15.889,250.0,250.0,,,,9854.111,155210.0,155210.0
2023-04-01,35.38,559.0,559.0,,,,8373.62,132235.0,132235.0
2023-05-01,17.732,279.0,279.0,,,,9178.268,144602.0,144602.0
2023-06-01,0.0,0.0,0.0,,,,9594.0,150858.0,150858.0
2023-07-01,4.069,64.0,64.0,,,,9050.931,142392.0,142392.0
2023-08-01,0.0,0.0,0.0,,,,9704.0,152592.0,152592.0
2023-09-01,28.756,454.0,454.0,,,,7339.244,115864.0,115864.0
2023-10-01,22.509,355.0,355.0,,,,7347.491,115889.0,115889.0
2023-11-01,15.153,239.0,239.0,,,,9989.847,157318.0,157318.0
2023-12-01,60.669,960.0,960.0,,,,9161.331,145010.0,145010.0
2024-01-01,167.935,2689.0,2689.0,,,,9251.065,148121.0,148121.0
2024-02-01,68.559,1088.0,1088.0,,,,7287.441,115685.0,115685.0
2024-03-01,10.72,169.0,169.0,,,,8937.28,140709.0,140709.0
2024-04-01,0.0,0.0,0.0,,,,1329.0,20893.0,20893.0
2024-05-01,103.197,1653.0,1653.0,,,,5554.803,88970.0,88970.0
2024-06-01,7.767,122.0,122.0,,,,9812.233,154411.0,154411.0
2024-07-01,0.0,0.0,0.0,,,,9960.0,156613.0,156613.0
2024-08-01,3.33,52.0,52.0,,,,9850.67,154955.0,154955.0
2024-09-01,3.7,58.0,58.0,,,,9518.3,149736.0,149736.0
2024-10-01,40.438,658.0,658.0,,,,1155.562,18794.0,18794.0
2024-11-01,5.549,87.0,87.0,,,,9885.451,155525.0,155525.0
2024-12-01,15.522,244.0,244.0,,,,10063.478,158483.0,158483.0
