measured_on,Distillate Fuel Oil-Combined Cycle Single Shaft Generation,Distillate Fuel Oil-Combined Cycle Single Shaft Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Single Shaft Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2004-10-01,,,,0.0,0.0,0.0,3.01,30.0,30.0,,,,0.367,8.0,8.0,36.368,363.0,363.0
2004-11-01,,,,0.0,0.0,0.0,3.985,40.0,40.0,,,,0.127,3.0,3.0,44.168,441.0,441.0
2004-12-01,,,,0.0,0.0,0.0,18.818,187.0,187.0,,,,0.451,10.0,10.0,25.92,259.0,259.0
2005-01-01,0.0,0.0,0.0,,,,113.025,1078.37,1078.37,14.384,113.89,113.89,,,,28.829,278.01,278.01
2005-02-01,0.0,0.0,0.0,,,,38.832,370.49,370.49,11.507,91.11,91.11,,,,23.063000000000002,222.41,222.41
2005-03-01,0.0,0.0,0.0,,,,43.04,410.65,410.65,15.969000000000001,126.43,126.43,,,,32.004000000000005,308.63,308.63
2005-04-01,0.0,0.0,0.0,,,,52.134,497.41,497.41,15.158000000000001,120.02,120.02,,,,30.38,292.97,292.97
2005-05-01,0.0,0.0,0.0,,,,48.419000000000004,461.96,461.96,14.495,114.77,114.77,,,,29.051000000000002,280.15,280.15
2005-06-01,0.0,0.0,0.0,,,,62.844,599.59,599.59,27.362000000000002,216.64,216.64,,,,54.84,528.84,528.84
2005-07-01,0.0,0.0,0.0,,,,63.967000000000006,610.31,610.31,36.021,285.2,285.2,,,,72.194,696.19,696.19
2005-08-01,0.0,0.0,0.0,,,,75.146,716.96,716.96,35.784,283.32,283.32,,,,71.717,691.6,691.6
2005-09-01,0.0,0.0,0.0,,,,49.191,469.33,469.33,21.665,171.53,171.53,,,,43.42,418.72,418.72
2005-10-01,0.0,0.0,0.0,,,,54.627,521.19,521.19,15.362,121.63,121.63,,,,30.788,296.9,296.9
2005-11-01,0.0,0.0,0.0,,,,43.916000000000004,419.0,419.0,13.463000000000001,106.6,106.6,,,,26.983,260.21,260.21
2005-12-01,0.0,0.0,0.0,,,,92.85900000000001,885.96,885.96,16.83,133.25,133.25,,,,33.731,325.28,325.28
2006-01-01,0.0,0.0,0.0,,,,27.618000000000002,287.0,287.0,1.328,31.0,31.0,,,,14.258000000000001,149.0,149.0
2006-02-01,0.0,0.0,0.0,,,,14.452,150.0,150.0,1.502,35.0,35.0,,,,16.118000000000002,168.0,168.0
2006-03-01,0.0,0.0,0.0,,,,12.14,126.0,126.0,1.979,46.0,46.0,,,,21.239,221.0,221.0
2006-04-01,0.0,0.0,0.0,,,,23.254,242.0,242.0,1.6380000000000001,38.0,38.0,,,,17.576,183.0,183.0
2006-05-01,0.0,0.0,0.0,,,,21.737000000000002,226.0,226.0,2.157,50.0,50.0,,,,23.153000000000002,241.0,241.0
2006-06-01,0.0,0.0,0.0,,,,19.757,205.0,205.0,2.779,64.0,64.0,,,,29.823,311.0,311.0
2006-07-01,0.0,0.0,0.0,,,,28.619,297.0,297.0,4.972,115.0,115.0,,,,53.367000000000004,556.0,556.0
2006-08-01,0.0,0.0,0.0,,,,27.76,288.0,288.0,4.418,102.0,102.0,,,,47.422000000000004,494.0,494.0
2006-09-01,0.0,0.0,0.0,,,,12.753,133.0,133.0,2.599,60.0,60.0,,,,27.894000000000002,291.0,291.0
2006-10-01,0.0,0.0,0.0,,,,13.472000000000001,140.0,140.0,2.815,65.0,65.0,,,,30.215,315.0,315.0
2006-11-01,0.0,0.0,0.0,,,,15.863000000000001,165.0,165.0,1.893,44.0,44.0,,,,20.313000000000002,212.0,212.0
2006-12-01,0.0,0.0,0.0,,,,17.577,183.0,183.0,1.921,44.0,44.0,,,,20.621000000000002,215.0,215.0
2007-01-01,,,,,,,119.063,1102.0,1102.0,74.93,828.0,828.0,,,,154.205,1431.0,1431.0
2007-02-01,,,,,,,255.425,2372.0,2372.0,137.558,1520.0,1520.0,,,,283.093,2626.0,2626.0
2007-03-01,,,,,,,41.601,389.0,389.0,78.70700000000001,869.0,869.0,,,,161.977,1502.0,1502.0
2007-04-01,,,,,,,29.507,273.0,273.0,100.38,1109.0,1109.0,,,,206.58,1916.0,1916.0
2007-05-01,,,,,,,36.394,336.0,336.0,51.418,568.0,568.0,,,,105.819,982.0,982.0
2007-06-01,,,,,,,38.832,360.0,360.0,97.944,1082.0,1082.0,,,,201.567,1870.0,1870.0
2007-07-01,,,,,,,30.749000000000002,284.0,284.0,98.958,1093.0,1093.0,,,,203.654,1889.0,1889.0
2007-08-01,,,,,,,2.724,23.0,23.0,111.793,1235.0,1235.0,,,,230.068,2135.0,2135.0
2007-09-01,,,,,,,9.884,93.0,93.0,61.932,684.0,684.0,,,,127.45400000000001,1182.0,1182.0
2007-10-01,,,,,,,8.674000000000001,81.0,81.0,64.952,717.0,717.0,,,,133.671,1241.0,1241.0
2007-11-01,,,,,,,33.709,313.0,313.0,65.88600000000001,728.0,728.0,,,,135.592,1258.0,1258.0
2007-12-01,,,,,,,54.208000000000006,505.0,505.0,111.54100000000001,1232.0,1232.0,,,,229.55,2130.0,2130.0
2008-01-01,,,,,,,111.22200000000001,980.0,980.0,1.47,13.0,13.0,,,,239.02800000000002,2117.0,2117.0
2008-02-01,,,,,,,142.168,1259.0,1259.0,1.454,15.0,15.0,,,,236.491,2094.0,2094.0
2008-03-01,,,,,,,56.223000000000006,499.0,499.0,2.354,24.0,24.0,,,,382.961,3390.0,3390.0
2008-04-01,,,,,,,62.943000000000005,557.0,557.0,0.772,8.0,8.0,,,,125.49600000000001,1111.0,1111.0
2008-05-01,,,,,,,26.004,232.0,232.0,1.701,17.0,17.0,,,,276.692,2449.0,2449.0
2008-06-01,,,,,,,25.781000000000002,226.0,226.0,1.098,11.0,11.0,,,,178.583,1581.0,1581.0
2008-07-01,,,,,,,12.226,110.0,110.0,2.4250000000000003,24.0,24.0,,,,394.43100000000004,3491.0,3491.0
2008-08-01,,,,,,,14.894,133.0,133.0,2.004,20.0,20.0,,,,326.002,2886.0,2886.0
2008-09-01,,,,,,,21.664,191.0,191.0,1.171,12.0,12.0,,,,190.473,1686.0,1686.0
2008-10-01,,,,,,,16.736,151.0,151.0,0.868,9.0,9.0,,,,141.18800000000002,1250.0,1250.0
2008-11-01,,,,,,,55.99,493.0,493.0,1.496,15.0,15.0,,,,243.329,2154.0,2154.0
2008-12-01,,,,,,,142.12,1259.0,1259.0,3.1870000000000003,32.0,32.0,,,,518.355,4589.0,4589.0
2009-01-01,,,,,,,228.536,2024.0,2024.0,59.586000000000006,595.0,595.0,,,,338.644,2995.0,2995.0
2009-02-01,,,,,,,39.071000000000005,348.0,348.0,37.612,377.0,377.0,,,,213.75400000000002,1891.0,1891.0
2009-03-01,,,,,,,23.089000000000002,203.0,203.0,34.083,342.0,342.0,,,,193.70100000000002,1713.0,1713.0
2009-04-01,,,,,,,32.82,290.0,290.0,34.188,343.0,343.0,,,,194.294,1718.0,1718.0
2009-05-01,,,,,,,22.975,203.0,203.0,26.97,270.0,270.0,,,,153.273,1356.0,1356.0
2009-06-01,,,,,,,22.401,197.0,197.0,60.504000000000005,606.0,606.0,,,,343.857,3041.0,3041.0
2009-07-01,,,,,,,17.427,157.0,157.0,26.721,267.0,267.0,,,,151.862,1343.0,1343.0
2009-08-01,,,,,,,21.966,191.0,191.0,54.945,551.0,551.0,,,,312.26300000000003,2762.0,2762.0
2009-09-01,,,,,,,17.53,157.0,157.0,72.641,727.0,727.0,,,,412.833,3652.0,3652.0
2009-10-01,,,,,,,25.762,226.0,226.0,44.202000000000005,443.0,443.0,,,,251.20600000000002,2222.0,2222.0
2009-11-01,,,,,,,12.673,110.0,110.0,30.565,307.0,307.0,,,,173.704,1537.0,1537.0
2009-12-01,,,,,,,34.783,307.0,307.0,60.983000000000004,611.0,611.0,,,,346.576,3065.0,3065.0
2010-01-01,,,,,,,39.024,406.0,406.0,143.832,1501.0,1501.0,,,,180.255,1826.0,1826.0
2010-02-01,,,,,,,24.759,249.0,249.0,103.263,1078.0,1078.0,,,,129.413,1310.0,1310.0
2010-03-01,,,,,,,6.5520000000000005,64.0,64.0,55.578,580.0,580.0,,,,69.652,706.0,706.0
2010-04-01,,,,,,,17.408,174.0,174.0,71.541,747.0,747.0,,,,89.659,908.0,908.0
2010-05-01,,,,,,,25.886000000000003,261.0,261.0,206.556,2155.0,2155.0,,,,258.865,2622.0,2622.0
2010-06-01,,,,,,,14.443000000000001,145.0,145.0,148.20000000000002,1547.0,1547.0,,,,185.73,1880.0,1880.0
2010-07-01,,,,,,,15.162,151.0,151.0,330.221,3446.0,3446.0,,,,413.846,4191.0,4191.0
2010-08-01,,,,,,,19.115000000000002,191.0,191.0,346.632,3617.0,3617.0,,,,434.413,4399.0,4399.0
2010-09-01,,,,,,,19.488,197.0,197.0,76.762,801.0,801.0,,,,96.202,975.0,975.0
2010-10-01,,,,,,,29.024,296.0,296.0,135.681,1416.0,1416.0,,,,170.04,1722.0,1722.0
2010-11-01,,,,,,,13.261000000000001,133.0,133.0,106.91900000000001,1116.0,1116.0,,,,133.995,1357.0,1357.0
2010-12-01,,,,,,,14.716000000000001,151.0,151.0,99.815,1041.0,1041.0,,,,125.09200000000001,1267.0,1267.0
2011-01-01,,,,,,,13.507,128.0,128.0,71.472,763.0,763.0,,,,239.953,2237.0,2237.0
2011-02-01,,,,,,,14.875,139.0,139.0,47.672,508.0,508.0,,,,160.045,1494.0,1494.0
2011-03-01,,,,,,,23.943,226.0,226.0,59.324,632.0,632.0,,,,199.166,1858.0,1858.0
2011-04-01,,,,,,,23.83,220.0,220.0,43.77,467.0,467.0,,,,146.948,1372.0,1372.0
2011-05-01,,,,,,,11.253,104.0,104.0,24.429,261.0,261.0,,,,82.015,766.0,766.0
2011-06-01,,,,,,,7.556,70.0,70.0,53.632,572.0,572.0,,,,180.054,1681.0,1681.0
2011-07-01,,,,,,,18.215,168.0,168.0,213.79,2279.0,2279.0,,,,717.745,6698.0,6698.0
2011-08-01,,,,,,,9.559,87.0,87.0,120.085,1280.0,1280.0,,,,403.154,3762.0,3762.0
2011-09-01,,,,,,,12.211,116.0,116.0,39.447,420.0,420.0,,,,132.434,1236.0,1236.0
2011-10-01,,,,,,,3.802,35.0,35.0,41.512,442.0,442.0,,,,139.365,1301.0,1301.0
2011-11-01,,,,,,,20.91,197.0,197.0,24.94,266.0,266.0,,,,83.729,782.0,782.0
2011-12-01,,,,,,,131.828,1230.0,1230.0,61.927,661.0,661.0,,,,207.903,1940.0,1940.0
2012-01-01,,,,,,,1.468,6.0,6.0,143.75,1531.0,1531.0,,,,58.818,524.0,524.0
2012-02-01,,,,,,,14.666,133.0,133.0,281.386,2997.0,2997.0,,,,115.133,1027.0,1027.0
2012-03-01,,,,,,,3.481,29.0,29.0,300.584,3202.0,3202.0,,,,122.988,1097.0,1097.0
2012-04-01,,,,,,,3.66,35.0,35.0,362.586,3862.0,3862.0,,,,148.357,1323.0,1323.0
2012-05-01,,,,,,,46.352,412.0,412.0,451.811,4812.0,4812.0,,,,184.865,1649.0,1649.0
2012-06-01,,,,,,,23.812,215.0,215.0,504.892,5378.0,5378.0,,,,206.584,1842.0,1842.0
2012-07-01,,,,,,,57.92,516.0,516.0,855.439,9112.0,9112.0,,,,350.016,3121.0,3121.0
2012-08-01,,,,,,,5.612,52.0,52.0,409.881,4365.0,4365.0,,,,167.709,1496.0,1496.0
2012-09-01,,,,,,,3.926,35.0,35.0,180.757,1925.0,1925.0,,,,73.96,659.0,659.0
2012-10-01,,,,,,,12.385,110.0,110.0,141.01,1502.0,1502.0,,,,57.696,514.0,514.0
2012-11-01,,,,,,,5.146,46.0,46.0,231.505,2466.0,2466.0,,,,94.724,845.0,845.0
2012-12-01,,,,,,,3.032,29.0,29.0,363.399,3871.0,3871.0,,,,148.69,1326.0,1326.0
2013-01-01,0.0,0.0,0.0,,,,16.918,151.0,151.0,721.635,7417.0,7417.0,,,,899.929,8222.0,8222.0
2013-02-01,0.0,0.0,0.0,,,,1.701,17.0,17.0,527.134,5418.0,5418.0,,,,657.371,6003.0,6003.0
2013-03-01,0.0,0.0,0.0,,,,4.525,41.0,41.0,781.298,8030.0,8030.0,,,,974.331,8898.0,8898.0
2013-04-01,0.0,0.0,0.0,,,,4.875,46.0,46.0,789.729,8117.0,8117.0,,,,984.844,8994.0,8994.0
2013-05-01,0.0,0.0,0.0,,,,16.932,157.0,157.0,599.166,6158.0,6158.0,,,,747.2,6824.0,6824.0
2013-06-01,0.0,0.0,0.0,,,,12.858,116.0,116.0,494.583,5084.0,5084.0,,,,616.778,5633.0,5633.0
2013-07-01,0.0,0.0,0.0,,,,14.759,133.0,133.0,992.726,10203.0,10203.0,,,,1237.996,11307.0,11307.0
2013-08-01,0.0,0.0,0.0,,,,4.597,41.0,41.0,931.562,9574.0,9574.0,,,,1161.721,10610.0,10610.0
2013-09-01,0.0,0.0,0.0,,,,36.859,336.0,336.0,776.827,7984.0,7984.0,,,,968.755,8847.0,8847.0
2013-10-01,0.0,0.0,0.0,,,,22.736,209.0,209.0,463.594,4765.0,4765.0,,,,578.132,5280.0,5280.0
2013-11-01,0.0,0.0,0.0,,,,17.089,157.0,157.0,637.948,6556.0,6556.0,,,,795.564,7265.0,7265.0
2013-12-01,0.0,0.0,0.0,,,,46.199,423.0,423.0,823.798,8467.0,8467.0,,,,1027.331,9382.0,9382.0
2014-01-01,0.0,0.0,0.0,,,,46.916,400.0,400.0,2144.0,18851.0,18851.0,,,,741.258,6300.0,6300.0
2014-02-01,0.0,0.0,0.0,,,,26.372,226.0,226.0,0.0,0.0,0.0,,,,363.839,3093.0,3093.0
2014-03-01,0.0,0.0,0.0,,,,50.357,429.0,429.0,0.0,0.0,0.0,,,,349.19,2968.0,2968.0
2014-04-01,0.0,0.0,0.0,,,,7.123,58.0,58.0,0.0,0.0,0.0,,,,303.634,2581.0,2581.0
2014-05-01,0.0,0.0,0.0,,,,6.824,58.0,58.0,0.0,0.0,0.0,,,,914.634,7775.0,7775.0
2014-06-01,0.0,0.0,0.0,,,,8.061,70.0,70.0,813.0,8205.0,8205.0,,,,669.273,5690.0,5690.0
2014-07-01,0.0,0.0,0.0,,,,6.433,52.0,52.0,2278.0,22960.0,22960.0,,,,453.727,3858.0,3858.0
2014-08-01,0.0,0.0,0.0,,,,3.219,29.0,29.0,2479.0,24711.0,24711.0,,,,820.824,6978.0,6978.0
2014-09-01,0.0,0.0,0.0,,,,1.977,17.0,17.0,0.0,0.0,0.0,,,,390.818,3322.0,3322.0
2014-10-01,0.0,0.0,0.0,,,,5.456,46.0,46.0,0.0,0.0,0.0,,,,1161.046,9870.0,9870.0
2014-11-01,0.0,0.0,0.0,,,,3.745,29.0,29.0,0.0,0.0,0.0,,,,538.098,4575.0,4575.0
2014-12-01,0.0,0.0,0.0,,,,6.812,58.0,58.0,0.0,0.0,0.0,,,,889.364,7561.0,7561.0
2015-01-01,0.0,0.0,0.0,,,,7.594,70.0,70.0,1997.0,21863.0,21863.0,,,,219.411,2039.0,2039.0
2015-02-01,0.0,0.0,0.0,,,,25.368,238.0,238.0,0.0,0.0,0.0,,,,302.247,2812.0,2812.0
2015-03-01,0.0,0.0,0.0,,,,39.061,365.0,365.0,0.0,0.0,0.0,,,,414.713,3858.0,3858.0
2015-04-01,0.0,0.0,0.0,,,,5.319,52.0,52.0,0.0,0.0,0.0,,,,394.141,3666.0,3666.0
2015-05-01,0.0,0.0,0.0,,,,24.364,226.0,226.0,0.0,0.0,0.0,,,,182.867,1701.0,1701.0
2015-06-01,0.0,0.0,0.0,,,,10.17,93.0,93.0,1249.0,13753.0,13753.0,,,,397.712,3700.0,3700.0
2015-07-01,0.0,0.0,0.0,,,,10.69,99.0,99.0,2199.0,24444.0,24444.0,,,,620.515,5772.0,5772.0
2015-08-01,0.0,0.0,0.0,,,,12.284,116.0,116.0,2041.0,22196.0,22196.0,,,,527.091,4903.0,4903.0
2015-09-01,0.0,0.0,0.0,,,,18.199,168.0,168.0,485.0,4923.0,4923.0,,,,534.69,4973.0,4973.0
2015-10-01,0.0,0.0,0.0,,,,9.022,81.0,81.0,0.0,0.0,0.0,,,,292.196,2718.0,2718.0
2015-11-01,0.0,0.0,0.0,,,,11.84,110.0,110.0,0.0,0.0,0.0,,,,266.376,2477.0,2477.0
2015-12-01,0.0,0.0,0.0,,,,11.289,104.0,104.0,8.0,149.0,149.0,,,,538.841,5012.0,5012.0
2016-01-01,0.0,0.0,0.0,,,,13.22,128.0,128.0,2441.0,26465.0,26465.0,,,,503.929,4861.0,4861.0
2016-02-01,0.0,0.0,0.0,,,,10.85,104.0,104.0,991.0,10911.0,10911.0,,,,493.376,4759.0,4759.0
2016-03-01,0.0,0.0,0.0,,,,4.806,46.0,46.0,0.0,0.0,0.0,,,,483.332,4662.0,4662.0
2016-04-01,0.0,0.0,0.0,,,,8.731,87.0,87.0,0.0,0.0,0.0,,,,539.563,5205.0,5205.0
2016-05-01,0.0,0.0,0.0,,,,10.405,99.0,99.0,0.0,0.0,0.0,,,,546.527,5272.0,5272.0
2016-06-01,0.0,0.0,0.0,,,,22.623,220.0,220.0,1451.0,15523.0,15523.0,,,,542.683,5235.0,5235.0
2016-07-01,0.0,0.0,0.0,,,,34.279,331.0,331.0,2197.0,24376.0,24376.0,,,,710.479,6854.0,6854.0
2016-08-01,0.0,0.0,0.0,,,,18.279,174.0,174.0,2560.0,27556.0,27556.0,,,,861.296,8308.0,8308.0
2016-09-01,0.0,0.0,0.0,,,,6.531,64.0,64.0,289.0,3162.0,3162.0,,,,286.899,2767.0,2767.0
2016-10-01,0.0,0.0,0.0,,,,30.276,290.0,290.0,0.0,0.0,0.0,,,,286.047,2760.0,2760.0
2016-11-01,0.0,0.0,0.0,,,,9.708,93.0,93.0,0.0,0.0,0.0,,,,308.308,2974.0,2974.0
2016-12-01,0.0,0.0,0.0,,,,28.715,278.0,278.0,0.0,0.0,0.0,,,,253.138,2442.0,2442.0
2017-01-01,0.0,0.0,0.0,,,,8.933,75.0,75.0,0.0,0.0,0.0,,,,527.782,4712.0,4712.0
2017-02-01,0.0,0.0,0.0,,,,3.326,29.0,29.0,0.0,0.0,0.0,,,,236.042,2107.0,2107.0
2017-03-01,0.0,0.0,0.0,,,,1.166,12.0,12.0,0.0,0.0,0.0,,,,682.624,6094.0,6094.0
2017-04-01,0.0,0.0,0.0,,,,8.251,75.0,75.0,0.0,0.0,0.0,,,,603.145,5384.0,5384.0
2017-05-01,0.0,0.0,0.0,,,,5.789,52.0,52.0,0.0,0.0,0.0,,,,470.608,4201.0,4201.0
2017-06-01,0.0,0.0,0.0,,,,22.074,197.0,197.0,0.0,0.0,0.0,,,,627.625,5602.0,5602.0
2017-07-01,0.0,0.0,0.0,,,,15.01,133.0,133.0,0.0,0.0,0.0,,,,823.706,7352.0,7352.0
2017-08-01,0.0,0.0,0.0,,,,7.625,70.0,70.0,2323.0,25237.0,25237.0,,,,515.047,4597.0,4597.0
2017-09-01,0.0,0.0,0.0,,,,6.499,58.0,58.0,0.0,0.0,0.0,,,,383.024,3419.0,3419.0
2017-10-01,0.0,0.0,0.0,,,,14.323,128.0,128.0,0.0,0.0,0.0,,,,328.529,2932.0,2932.0
2017-11-01,0.0,0.0,0.0,,,,6.929,64.0,64.0,0.0,0.0,0.0,,,,360.26,3216.0,3216.0
2017-12-01,0.0,0.0,0.0,,,,3.387,29.0,29.0,0.0,0.0,0.0,,,,528.296,4715.0,4715.0
2018-01-01,0.0,0.0,0.0,,,,3.494,29.0,29.0,36.0,679.0,679.0,,,,247.337,2190.0,2190.0
2018-02-01,0.0,0.0,0.0,,,,2.249,17.0,17.0,0.0,0.0,0.0,,,,334.952,2964.0,2964.0
2018-03-01,0.0,0.0,0.0,,,,2.489,23.0,23.0,0.0,0.0,0.0,,,,435.498,3854.0,3854.0
2018-04-01,0.0,0.0,0.0,,,,3.327,29.0,29.0,0.0,0.0,0.0,,,,395.158,3497.0,3497.0
2018-05-01,0.0,0.0,0.0,,,,8.771,75.0,75.0,0.0,0.0,0.0,,,,469.686,4156.0,4156.0
2018-06-01,0.0,0.0,0.0,,,,13.437,122.0,122.0,1209.0,13086.0,13086.0,,,,534.782,4733.0,4733.0
2018-07-01,0.0,0.0,0.0,,,,2.926,23.0,23.0,2350.0,24971.0,24971.0,,,,735.444,6508.0,6508.0
2018-08-01,0.0,0.0,0.0,,,,7.855,70.0,70.0,2314.0,24914.0,24914.0,,,,678.475,6004.0,6004.0
2018-09-01,0.0,0.0,0.0,,,,6.324,58.0,58.0,445.0,4808.0,4808.0,,,,484.372,4286.0,4286.0
2018-10-01,0.0,0.0,0.0,,,,8.912,81.0,81.0,0.0,0.0,0.0,,,,213.839,1893.0,1893.0
2018-11-01,0.0,0.0,0.0,,,,3.779,35.0,35.0,0.0,0.0,0.0,,,,262.963,2327.0,2327.0
2018-12-01,0.0,0.0,0.0,,,,1.978,17.0,17.0,0.0,0.0,0.0,,,,223.953,1982.0,1982.0
2019-01-01,0.0,0.0,0.0,,,,0.99,6.0,6.0,0.0,0.0,0.0,,,,263.963,2239.0,2239.0
2019-02-01,0.0,0.0,0.0,,,,3.16,23.0,23.0,0.0,0.0,0.0,,,,431.866,3664.0,3664.0
2019-03-01,0.0,0.0,0.0,,,,0.745,6.0,6.0,0.0,0.0,0.0,,,,399.924,3393.0,3393.0
2019-04-01,0.0,0.0,0.0,,,,2.43,23.0,23.0,0.0,0.0,0.0,,,,446.108,3785.0,3785.0
2019-05-01,0.0,0.0,0.0,,,,4.111,35.0,35.0,0.0,0.0,0.0,,,,366.612,3111.0,3111.0
2019-06-01,0.0,0.0,0.0,,,,1.918,17.0,17.0,1283.0,13877.0,13877.0,,,,489.916,4157.0,4157.0
2019-07-01,0.0,0.0,0.0,,,,1.106,12.0,12.0,498.0,5260.0,5260.0,,,,630.378,5349.0,5349.0
2019-08-01,0.0,0.0,0.0,,,,1.359,12.0,12.0,0.0,0.0,0.0,,,,646.75,5488.0,5488.0
2019-09-01,0.0,0.0,0.0,,,,2.55,23.0,23.0,0.0,0.0,0.0,,,,496.404,4212.0,4212.0
2019-10-01,0.0,0.0,0.0,,,,4.428,35.0,35.0,0.0,0.0,0.0,,,,479.238,4067.0,4067.0
2019-11-01,0.0,0.0,0.0,,,,3.187,29.0,29.0,0.0,0.0,0.0,,,,405.886,3444.0,3444.0
2019-12-01,0.0,0.0,0.0,,,,2.042,17.0,17.0,0.0,0.0,0.0,,,,533.929,4530.0,4530.0
2020-01-01,,,,,,,0.774,6.0,6.0,,,,,,,1224.009,10535.0,10535.0
