measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2005-04-01,23.877000000000002,375.79,375.79,1420.2340000000002,22350.59,22350.59,16858.078,261985.37,261985.37
2005-05-01,22.176000000000002,349.01,349.01,1358.0810000000001,21372.48,21372.48,11085.753,172279.72,172279.72
2005-06-01,28.782,452.98,452.98,2563.6690000000003,40345.13,40345.13,19358.994,300851.19,300851.19
2005-07-01,29.297,461.08,461.08,3374.95,53112.45,53112.45,29743.655,462235.51,462235.51
2005-08-01,34.416000000000004,541.66,541.66,3352.6760000000004,52761.92,52761.92,29326.541,455753.27,455753.27
2005-09-01,22.529,354.58,354.58,2029.83,31943.96,31943.96,27751.916,431282.61,431282.61
2005-10-01,25.019000000000002,393.76,393.76,1439.27,22650.16,22650.16,22450.173,348890.1,348890.1
2005-11-01,20.113,316.55,316.55,1261.406,19851.07,19851.07,21093.666,327809.11,327809.11
2005-12-01,42.529,669.34,669.34,1576.8680000000002,24815.57,24815.57,25587.029000000002,397638.86,397638.86
2006-01-01,0.0,0.0,0.0,2095.0,41523.0,41523.0,22238.0,428553.0,428553.0
2006-02-01,40.0,750.0,750.0,2500.0,45103.0,45103.0,18329.0,343876.0,343876.0
2006-03-01,0.0,0.0,0.0,1066.0,17237.0,17237.0,21635.0,361233.0,361233.0
2006-04-01,0.0,0.0,0.0,3908.0,66301.0,66301.0,11597.0,191352.0,191352.0
2006-05-01,0.0,0.0,0.0,2379.0,37540.0,37540.0,23545.0,336260.0,336260.0
2006-06-01,0.0,0.0,0.0,1853.0,29145.0,29145.0,20942.0,326655.0,326655.0
2006-07-01,0.0,0.0,0.0,4683.0,61521.0,61521.0,20889.0,266883.0,266883.0
2006-08-01,0.0,0.0,0.0,2694.0,34965.0,34965.0,22837.0,288218.0,288218.0
2006-09-01,0.0,0.0,0.0,1323.0,17450.0,17450.0,26110.0,343400.0,343400.0
2006-10-01,0.0,0.0,0.0,1316.0,17698.0,17698.0,26562.0,349350.0,349350.0
2006-11-01,1.0,6.0,6.0,2899.0,50168.0,50168.0,16199.0,292213.0,292213.0
2006-12-01,0.0,0.0,0.0,5261.0,98833.0,98833.0,15995.0,341224.0,341224.0
2007-01-01,0.0,0.0,0.0,7703.479,101098.0,101098.0,12876.521,168988.0,168988.0
2007-02-01,0.0,0.0,0.0,2090.157,46109.0,46109.0,16132.843,355895.0,355895.0
2007-03-01,0.0,0.0,0.0,2603.627,58213.0,58213.0,12987.373,290377.0,290377.0
2007-04-01,0.0,0.0,0.0,2730.9480000000003,50403.0,50403.0,17594.052,324717.0,324717.0
2007-05-01,0.0,0.0,0.0,3211.737,60916.0,60916.0,17277.263,327692.0,327692.0
2007-06-01,0.0,0.0,0.0,3450.8320000000003,59541.0,59541.0,11763.168,202963.0,202963.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,695.821,14303.0,14303.0,4168.179,85680.0,85680.0
2007-10-01,0.0,0.0,0.0,2645.052,41131.0,41131.0,18161.948,282421.0,282421.0
2007-11-01,0.0,0.0,0.0,4596.0160000000005,79407.0,79407.0,14096.984,243559.0,243559.0
2007-12-01,0.0,0.0,0.0,4358.823,81150.0,81150.0,16762.177,312069.0,312069.0
2008-01-01,0.0,0.0,0.0,5203.599,61629.0,105919.0,14568.018,172537.0,296531.0
2008-02-01,0.0,0.0,0.0,2558.203,30298.0,44313.0,15920.85,188559.0,275782.0
2008-03-01,0.0,0.0,0.0,4717.151,55868.0,97822.0,14454.278,171190.0,299747.0
2008-04-01,0.0,0.0,0.0,4984.944,59039.0,86311.0,13241.550000000001,156827.0,229268.0
2008-05-01,0.0,0.0,0.0,3573.791,42326.0,45008.0,10413.939,123338.0,131152.0
2008-06-01,0.0,0.0,0.0,2586.6490000000003,30635.0,33997.0,18868.374,223468.0,247989.0
2008-07-01,0.0,0.0,0.0,4760.787,56384.0,57127.0,16624.134,196888.0,199482.0
2008-08-01,0.0,0.0,0.0,2554.425,30253.0,31450.0,15762.337,186682.0,194063.0
2008-09-01,0.0,0.0,0.0,5116.153,60593.0,69545.0,14419.23,170774.0,196003.0
2008-10-01,0.0,0.0,0.0,2924.657,34638.0,45600.0,16631.853,196980.0,259316.0
2008-11-01,0.0,0.0,0.0,2450.215,29019.0,44862.0,16262.191,192602.0,297754.0
2008-12-01,5.203,62.0,88.0,6669.618,78992.0,112679.0,10317.689,122198.0,174311.0
2009-01-01,0.0,0.0,0.0,5749.948,68100.0,122853.0,10989.041,130149.0,234791.0
2009-02-01,0.0,0.0,0.0,3844.4990000000003,45532.0,72606.0,13781.808,163225.0,260277.0
2009-03-01,0.0,0.0,0.0,1914.652,22676.0,44753.0,13360.84,158239.0,312298.0
2009-04-01,0.0,0.0,0.0,3498.594,41436.0,66212.0,14496.468,171689.0,274349.0
2009-05-01,0.0,0.0,0.0,2946.772,34900.0,54124.0,7184.393,85089.0,131957.0
2009-06-01,0.0,0.0,0.0,2355.647,27899.0,34637.0,16621.802,196861.0,244405.0
2009-07-01,0.0,0.0,0.0,3313.815,39247.0,45650.0,16598.006,196579.0,228647.0
2009-08-01,0.0,0.0,0.0,2932.5750000000003,34732.0,40779.0,17627.448,208771.0,245122.0
2009-09-01,0.0,0.0,0.0,3732.0530000000003,44201.0,53084.0,14265.89,168958.0,202914.0
2009-10-01,0.0,0.0,0.0,1637.882,19398.0,30200.0,18654.217,220932.0,343949.0
2009-11-01,0.0,0.0,0.0,3908.164,46286.0,88557.0,14073.454,166679.0,318897.0
2009-12-01,3.491,41.0,81.0,1169.603,13852.0,27204.0,17960.884,212720.0,417760.0
2010-01-01,0.0,0.0,0.0,1176.634,26087.0,26087.0,15675.671,347548.0,347548.0
2010-02-01,0.0,0.0,0.0,967.3570000000001,22394.0,22394.0,16178.800000000001,374539.0,374539.0
2010-03-01,0.0,0.0,0.0,2014.23,44893.0,44893.0,15571.744,347059.0,347059.0
2010-04-01,0.0,0.0,0.0,2199.431,45362.0,45362.0,16531.221,340945.0,340945.0
2010-05-01,0.0,0.0,0.0,1230.18,29690.0,29690.0,6262.081,151133.0,151133.0
2010-06-01,0.0,0.0,0.0,1827.25,35569.0,35569.0,16991.749,330760.0,330760.0
2010-07-01,0.0,0.0,0.0,934.0020000000001,15221.0,15221.0,18264.316,297654.0,297654.0
2010-08-01,0.8440000000000001,12.0,12.0,1708.107,23466.0,23466.0,18756.002,257665.0,257665.0
2010-09-01,0.0,0.0,0.0,1167.9650000000001,19651.0,19651.0,19620.609,330113.0,330113.0
2010-10-01,0.0,0.0,0.0,1157.1950000000002,18798.0,18798.0,14834.681,240981.0,240981.0
2010-11-01,0.0,0.0,0.0,893.287,19499.0,19499.0,17297.676,377579.0,377579.0
2010-12-01,0.0,0.0,0.0,770.726,18619.0,18619.0,19180.467,463360.0,463360.0
2011-01-01,0.0,0.0,0.0,1273.743,29920.0,29920.0,17176.501,403470.0,403470.0
2011-02-01,0.0,0.0,0.0,2054.26,50806.0,50806.0,16447.84,406789.0,406789.0
2011-03-01,0.0,0.0,0.0,1928.254,46800.0,46800.0,16592.092,402701.0,402701.0
2011-04-01,0.0,0.0,0.0,2161.974,45824.0,45824.0,17667.261,374469.0,374469.0
2011-05-01,0.0,0.0,0.0,289.882,5214.0,5214.0,10462.597,188169.0,188169.0
2011-06-01,0.0,0.0,0.0,970.547,17018.0,17018.0,17099.418,299820.0,299820.0
2011-07-01,0.0,0.0,0.0,664.343,11200.0,11200.0,19727.628,332576.0,332576.0
2011-08-01,0.0,0.0,0.0,1488.879,24492.0,24492.0,18796.498,309202.0,309202.0
2011-09-01,0.0,0.0,0.0,1011.833,18377.0,18377.0,18039.559,327632.0,327632.0
2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
