measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-09-01,,,,4953.432,57429.0,74037.0,11.169,98.0,98.0
2020-10-01,,,,4043.371,46878.0,60434.0,7.942,70.0,70.0
2020-11-01,,,,4520.348,52408.0,67564.0,6.663,58.0,58.0
2020-12-01,,,,5099.312,59121.0,76217.0,4.636,41.0,41.0
2021-01-01,,,,5756.511,66666.0,72150.0,6.341,56.0,56.0
2021-02-01,,,,5303.56,61421.0,66473.0,4.603,41.0,41.0
2021-03-01,,,,5919.499,68554.0,74193.0,12.008,106.0,106.0
2021-04-01,,,,4543.119,52614.0,56941.0,9.023,80.0,80.0
2021-05-01,,,,5078.23,58811.0,63649.0,13.205,117.0,117.0
2021-06-01,,,,6525.432,75571.0,81787.0,13.066,116.0,116.0
2021-07-01,,,,6646.623,76975.0,83306.0,10.666,94.0,94.0
2021-08-01,,,,7148.405,82786.0,89596.0,10.969,97.0,97.0
2021-09-01,,,,6014.673,69656.0,75386.0,9.98,88.0,88.0
2021-10-01,,,,5184.259,60039.0,64978.0,7.839,69.0,69.0
2021-11-01,,,,7132.854,82606.0,89401.0,7.908,70.0,70.0
2021-12-01,3.211,37.0,40.0,6154.624,71277.0,77140.0,4.392,39.0,39.0
2022-01-01,100.957,1169.0,1282.0,5700.802,65999.0,72343.0,3.399,12.0,12.0
2022-02-01,14.484,168.0,184.0,4610.375,53375.0,58506.0,4.966,17.0,17.0
2022-03-01,1.955,23.0,23.0,5912.343,68448.0,75028.0,8.931,30.0,30.0
2022-04-01,0.982,11.0,12.0,4678.638,54165.0,59372.0,10.698,37.0,37.0
2022-05-01,0.684,8.0,12.0,4935.469,57139.0,62631.0,13.148,45.0,45.0
2022-06-01,5.13,59.0,63.0,6374.571,73799.0,80894.0,12.625,43.0,43.0
2022-07-01,3.157,37.0,40.0,7564.917,87580.0,95999.0,13.863,47.0,47.0
2022-08-01,0.941,11.0,12.0,7666.531,88757.0,97289.0,12.059,41.0,41.0
2022-09-01,1.886,22.0,23.0,6778.709,78478.0,86023.0,9.831,34.0,34.0
2022-10-01,1.466,17.0,17.0,5414.397,62683.0,68709.0,8.413,29.0,29.0
2022-11-01,1.66,19.0,23.0,5964.557,69053.0,75691.0,6.104,21.0,21.0
2022-12-01,34.802,403.0,443.0,4985.587,57719.0,63268.0,3.963,14.0,14.0
2023-01-01,0.0,0.0,0.0,5199.333,60049.0,75535.0,4.0,14.0,14.0
2023-02-01,0.0,0.0,0.0,4458.901,51497.0,64779.0,5.0,17.0,17.0
2023-03-01,0.0,0.0,0.0,5625.02,64965.0,81720.0,8.0,27.0,27.0
2023-04-01,0.0,0.0,0.0,5305.547,61275.0,77079.0,10.0,34.0,34.0
2023-05-01,0.0,0.0,0.0,4199.03,48496.0,61004.0,16.0,55.0,55.0
2023-06-01,0.0,0.0,0.0,6294.527,72697.0,91446.0,12.0,41.0,41.0
2023-07-01,0.0,0.0,0.0,6358.862,73440.0,92382.0,13.0,44.0,44.0
2023-08-01,0.0,0.0,0.0,5741.833,66314.0,83418.0,12.0,41.0,41.0
2023-09-01,0.0,0.0,0.0,5434.939,62770.0,78959.0,9.0,31.0,31.0
2023-10-01,0.0,0.0,0.0,4687.214,54134.0,68095.0,6.0,20.0,20.0
2023-11-01,0.0,0.0,0.0,5565.261,64275.0,80852.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,5380.533,62141.0,78169.0,0.0,0.0,0.0
2024-01-01,19.461,225.0,270.0,4290.423,49652.0,61639.0,0.0,0.0,0.0
2024-02-01,8.021,93.0,115.0,3729.456,43160.0,53580.0,0.0,0.0,0.0
2024-03-01,6.595,76.0,92.0,4286.914,49611.0,61589.0,4.0,14.0,14.0
2024-04-01,4.263,49.0,63.0,3252.295,37638.0,46725.0,3.0,10.0,10.0
2024-05-01,5.953,69.0,86.0,3486.38,40347.0,50088.0,7.0,24.0,24.0
2024-06-01,4.274,49.0,63.0,4507.097,52159.0,64752.0,5.0,17.0,17.0
2024-07-01,3.928,45.0,58.0,5359.112,62020.0,76993.0,6.0,20.0,20.0
2024-08-01,4.207,49.0,63.0,5257.459,60843.0,75532.0,0.0,0.0,0.0
2024-09-01,4.758,55.0,69.0,4776.428,55276.0,68621.0,1.0,3.0,3.0
2024-10-01,7.053,82.0,104.0,4444.986,51441.0,63859.0,0.0,0.0,0.0
2024-11-01,3.869,45.0,58.0,4810.341,55669.0,69108.0,0.0,0.0,0.0
2024-12-01,12.868,149.0,184.0,4816.859,55744.0,69202.0,0.0,0.0,0.0
