measured_on,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2021-05-01,0.0,0.0,0.0
2021-06-01,0.0,0.0,0.0
2021-07-01,0.0,0.0,0.0
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0
2022-01-01,122.916,2240.0,2240.0
2022-02-01,49.836,907.0,907.0
2022-03-01,30.032,549.0,549.0
2022-04-01,38.083,694.0,694.0
2022-05-01,107.755,1966.0,1966.0
2022-06-01,97.879,1786.0,1786.0
2022-07-01,86.408,1574.0,1574.0
2022-08-01,61.56,1126.0,1126.0
2022-09-01,30.51,554.0,554.0
2022-10-01,70.561,1288.0,1288.0
2022-11-01,50.539,924.0,924.0
2022-12-01,53.921,986.0,986.0
2023-01-01,129.506,2363.0,2363.0
2023-02-01,128.571,2341.0,2341.0
2023-03-01,120.255,2190.0,2190.0
2023-04-01,96.864,1764.0,1764.0
2023-05-01,91.309,1663.0,1663.0
2023-06-01,74.166,1350.0,1350.0
2023-07-01,75.773,1383.0,1383.0
2023-08-01,61.126,1114.0,1114.0
2023-09-01,103.09,1882.0,1882.0
2023-10-01,77.97,1422.0,1422.0
2023-11-01,95.049,1730.0,1730.0
2023-12-01,121.321,2212.0,2212.0
2024-01-01,112.34,64.0,64.0
2024-02-01,72.058,35.0,35.0
2024-03-01,57.19,29.0,29.0
2024-04-01,45.945,23.0,23.0
2024-05-01,55.9,29.0,29.0
2024-06-01,38.537,17.0,17.0
2024-07-01,37.949,17.0,17.0
2024-08-01,46.017,23.0,23.0
2024-09-01,34.506,17.0,17.0
2024-10-01,52.188,29.0,29.0
2024-11-01,50.788,23.0,23.0
2024-12-01,47.582,23.0,23.0
