measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2009-05-01,,,,32.525,317.44,317.44,,,
2009-06-01,,,,34.211,333.9,333.9,,,
2009-07-01,,,,33.947,331.32,331.32,,,
2009-08-01,,,,34.403,335.77,335.77,,,
2009-09-01,,,,33.107,323.12,323.12,,,
2009-10-01,,,,25.849,252.29,252.29,,,
2009-11-01,,,,44.449000000000005,433.82,433.82,,,
2009-12-01,,,,49.549,483.6,483.6,,,
2010-01-01,,,,10410.118,101561.0,101561.0,,,
2010-02-01,,,,8242.672,80416.0,80416.0,,,
2010-03-01,,,,11652.115,113678.0,113678.0,,,
2010-04-01,,,,11414.472,111360.0,111360.0,,,
2010-05-01,,,,12432.841,121295.0,121295.0,,,
2010-06-01,,,,11489.534,112092.0,112092.0,,,
2010-07-01,,,,10468.569,102131.0,102131.0,,,
2010-08-01,,,,11488.911,112086.0,112086.0,,,
2010-09-01,,,,10799.132,105356.0,105356.0,,,
2010-10-01,,,,11582.66,113000.0,113000.0,,,
2010-11-01,,,,10797.886,105344.0,105344.0,,,
2010-12-01,,,,12358.09,120566.0,120566.0,,,
2011-01-01,,,,14031.029,136325.0,136325.0,,,
2011-02-01,,,,12853.983,124889.0,124889.0,,,
2011-03-01,,,,13809.572,134174.0,134174.0,,,
2011-04-01,,,,13330.271,129517.0,129517.0,,,
2011-05-01,,,,13491.236,131081.0,131081.0,,,
2011-06-01,,,,12514.44,121590.0,121590.0,,,
2011-07-01,,,,12419.414,120667.0,120667.0,,,
2011-08-01,,,,12462.176,121083.0,121083.0,,,
2011-09-01,,,,11850.649,115141.0,115141.0,,,
2011-10-01,,,,11889.587,115519.0,115519.0,,,
2011-11-01,,,,13064.199,126932.0,126932.0,,,
2011-12-01,,,,13717.444,133279.0,133279.0,,,
2012-01-01,,,,11758.074,111890.0,111890.0,,,
2012-02-01,,,,11108.091,105705.0,105705.0,,,
2012-03-01,,,,11691.829,111259.0,111259.0,,,
2012-04-01,,,,11048.593,105138.0,105138.0,0.0,0.0,0.0
2012-05-01,,,,11496.568,109401.0,109401.0,0.0,0.0,0.0
2012-06-01,,,,12914.918,122898.0,122898.0,0.0,0.0,0.0
2012-07-01,,,,12994.863,123659.0,123659.0,0.0,0.0,0.0
2012-08-01,,,,13010.811,123811.0,123811.0,0.0,0.0,0.0
2012-09-01,,,,13278.757,126361.0,126361.0,0.0,0.0,0.0
2012-10-01,,,,13634.112,129742.0,129742.0,0.0,0.0,0.0
2012-11-01,,,,14270.192,135795.0,135795.0,0.0,0.0,0.0
2012-12-01,,,,14490.192,137889.0,137889.0,0.0,0.0,0.0
2013-01-01,,,,20937.466,199764.0,199764.0,2516.508,24010.0,24010.0
2013-02-01,,,,19152.855,182737.0,182737.0,3083.401,29419.0,29419.0
2013-03-01,,,,20585.751,196409.0,196409.0,3791.406,36174.0,36174.0
2013-04-01,,,,19543.696,186466.0,186466.0,4401.857,41998.0,41998.0
2013-05-01,,,,19361.851,184731.0,184731.0,4737.461,45200.0,45200.0
2013-06-01,,,,18035.332,172075.0,172075.0,4821.942,46006.0,46006.0
2013-07-01,,,,17490.634,166878.0,166878.0,3732.345,35610.0,35610.0
2013-08-01,,,,17773.565,169578.0,169578.0,3725.293,35543.0,35543.0
2013-09-01,,,,17827.311,170090.0,170090.0,3665.502,34973.0,34973.0
2013-10-01,,,,19990.51,190729.0,190729.0,4260.469,40649.0,40649.0
2013-11-01,,,,20014.041,190954.0,190954.0,2899.195,27661.0,27661.0
2013-12-01,,,,21430.368,204467.0,204467.0,2866.621,27350.0,27350.0
2014-01-01,,,,13319.303,126667.0,126667.0,2111.529,20081.0,20081.0
2014-02-01,,,,11197.517,106488.0,106488.0,2207.98,20998.0,20998.0
2014-03-01,,,,12394.303,117870.0,117870.0,3181.866,30260.0,30260.0
2014-04-01,,,,11345.515,107896.0,107896.0,3353.192,31889.0,31889.0
2014-05-01,,,,11317.677,107631.0,107631.0,3967.56,37731.0,37731.0
2014-06-01,,,,10453.83,99416.0,99416.0,4549.677,43267.0,43267.0
2014-07-01,,,,10013.392,95227.0,95227.0,3984.324,37891.0,37891.0
2014-08-01,,,,10876.647,103437.0,103437.0,4331.748,41195.0,41195.0
2014-09-01,,,,10905.299,103709.0,103709.0,4484.284,42646.0,42646.0
2014-10-01,,,,10978.002,104401.0,104401.0,4543.758,43211.0,43211.0
2014-11-01,,,,12277.697,116761.0,116761.0,3861.084,36719.0,36719.0
2014-12-01,,,,12757.818,121327.0,121327.0,2555.998,24308.0,24308.0
2015-01-01,,,,9965.042,92864.0,92864.0,2086.602,19445.0,19445.0
2015-02-01,,,,10157.922,94662.0,94662.0,2927.717,27283.0,27283.0
2015-03-01,,,,11508.722,107250.0,107250.0,3796.775,35382.0,35382.0
2015-04-01,,,,11144.719,103858.0,103858.0,4294.313,40019.0,40019.0
2015-05-01,,,,11174.846,104138.0,104138.0,3933.585,36657.0,36657.0
2015-06-01,,,,9325.28,86902.0,86902.0,4333.697,40386.0,40386.0
2015-07-01,,,,10455.843,97438.0,97438.0,4013.625,37403.0,37403.0
2015-08-01,,,,10074.41,93883.0,93883.0,3945.501,36768.0,36768.0
2015-09-01,,,,11006.147,102566.0,102566.0,3639.178,33913.0,33913.0
2015-10-01,,,,11582.366,107936.0,107936.0,3211.391,29927.0,29927.0
2015-11-01,,,,13462.116,125453.0,125453.0,3056.574,28484.0,28484.0
2015-12-01,,,,13792.587,128533.0,128533.0,2510.042,23391.0,23391.0
2016-01-01,,,,12471.013,115132.0,115132.0,1396.424,12892.0,12892.0
2016-02-01,,,,11480.951,105992.0,105992.0,8163.55,75366.0,75366.0
2016-03-01,,,,11860.597,109497.0,109497.0,2625.047,24234.0,24234.0
2016-04-01,,,,11302.514,104345.0,104345.0,2767.293,25548.0,25548.0
2016-05-01,,,,11511.23,106272.0,106272.0,3542.745,32707.0,32707.0
2016-06-01,,,,9911.471,91503.0,91503.0,3566.414,32925.0,32925.0
2016-07-01,,,,9663.223,89211.0,89211.0,4014.215,37059.0,37059.0
2016-08-01,,,,9735.811,89881.0,89881.0,3917.786,36169.0,36169.0
2016-09-01,,,,10440.663,96388.0,96388.0,3823.557,35299.0,35299.0
2016-10-01,,,,11216.972,103555.0,103555.0,3172.46,29288.0,29288.0
2016-11-01,,,,11830.524,109219.0,109219.0,3051.459,28171.0,28171.0
2016-12-01,,,,12751.031,117718.0,117718.0,2454.05,22656.0,22656.0
2017-01-01,,,,11170.482,102914.0,102914.0,2015.702,18571.0,18571.0
2017-02-01,,,,9839.869,90655.0,90655.0,2072.737,19096.0,19096.0
2017-03-01,,,,11005.557,101394.0,101394.0,3618.254,33335.0,33335.0
2017-04-01,,,,10662.46,98233.0,98233.0,3978.751,36656.0,36656.0
2017-05-01,,,,10307.0,94958.0,94958.0,4453.889,41034.0,41034.0
2017-06-01,,,,10113.833,93179.0,93179.0,4571.008,42113.0,42113.0
2017-07-01,,,,10878.82,100227.0,100227.0,3845.564,35429.0,35429.0
2017-08-01,,,,10806.759,99563.0,99563.0,3946.55,36360.0,36360.0
2017-09-01,,,,10568.484,97367.0,97367.0,3541.884,32631.0,32631.0
2017-10-01,,,,9625.515,88680.0,88680.0,3482.306,32082.0,32082.0
2017-11-01,,,,10341.515,95276.0,95276.0,2393.581,22052.0,22052.0
2017-12-01,,,,10752.706,99065.0,99065.0,2303.774,21225.0,21225.0
2018-01-01,,,,10123.356,92163.0,92163.0,1875.173,17072.0,17072.0
2018-02-01,,,,9623.238,87610.0,87610.0,2404.785,21893.0,21893.0
2018-03-01,,,,10313.903,93898.0,93898.0,3079.988,28040.0,28040.0
2018-04-01,,,,8971.812,81679.0,81679.0,3845.185,35007.0,35007.0
2018-05-01,,,,10379.202,94492.0,94492.0,4066.447,37021.0,37021.0
2018-06-01,,,,9684.221,88165.0,88165.0,4762.383,43357.0,43357.0
2018-07-01,,,,10263.662,93440.0,93440.0,4056.519,36931.0,36931.0
2018-08-01,,,,10244.247,93264.0,93264.0,4101.954,37344.0,37344.0
2018-09-01,,,,9966.085,90731.0,90731.0,3945.867,35923.0,35923.0
2018-10-01,,,,9593.869,87343.0,87343.0,3093.464,28163.0,28163.0
2018-11-01,,,,10024.672,91265.0,91265.0,2418.246,22016.0,22016.0
2018-12-01,,,,10632.733,96800.0,96800.0,1871.989,17043.0,17043.0
2019-01-01,,,,9897.405,88136.0,88136.0,2076.121,18488.0,18488.0
2019-02-01,,,,9219.227,82097.0,82097.0,2271.643,20229.0,20229.0
2019-03-01,,,,10156.513,90444.0,90444.0,3142.274,27982.0,27982.0
2019-04-01,,,,8980.752,79974.0,79974.0,3717.987,33109.0,33109.0
2019-05-01,,,,9672.843,86137.0,86137.0,3940.484,35090.0,35090.0
2019-06-01,,,,9390.942,83626.0,83626.0,4340.079,38648.0,38648.0
2019-07-01,,,,9713.103,86495.0,86495.0,4382.65,39027.0,39027.0
2019-08-01,,,,9807.301,87334.0,87334.0,4267.396,38001.0,38001.0
2019-09-01,,,,9616.61,85636.0,85636.0,3648.197,32487.0,32487.0
2019-10-01,,,,8205.099,73066.0,73066.0,3541.428,31536.0,31536.0
2019-11-01,,,,7492.54,66721.0,66721.0,2416.683,21521.0,21521.0
2019-12-01,,,,8824.665,78584.0,78584.0,1632.058,14533.0,14533.0
2020-01-01,,,,1715.323,15038.0,15038.0,2160.38,18940.0,18940.0
2020-02-01,,,,1826.063,16009.0,16009.0,2727.553,23912.0,23912.0
2020-03-01,,,,1907.154,16720.0,16720.0,2913.438,25542.0,25542.0
2020-04-01,,,,1802.434,15802.0,15802.0,3435.25,30117.0,30117.0
2020-05-01,,,,1721.368,15091.0,15091.0,3847.924,33735.0,33735.0
2020-06-01,,,,1584.545,13892.0,13892.0,4127.752,36188.0,36188.0
2020-07-01,,,,1496.506,13120.0,13120.0,4288.43,37597.0,37597.0
2020-08-01,,,,1455.929,12764.0,12764.0,3849.649,33750.0,33750.0
2020-09-01,,,,1571.49,13777.0,13777.0,3356.995,29431.0,29431.0
2020-10-01,,,,1744.501,15294.0,15294.0,3042.486,26673.0,26673.0
2020-11-01,,,,1861.169,16317.0,16317.0,2261.06,19823.0,19823.0
2020-12-01,,,,1950.518,17100.0,17100.0,1867.083,16369.0,16369.0
2021-01-01,,,,8827.905,78074.0,78074.0,2117.86,18730.0,18730.0
2021-02-01,,,,7734.881,68407.0,68407.0,2706.207,23934.0,23934.0
2021-03-01,,,,6867.858,60739.0,60739.0,3422.256,30266.0,30266.0
2021-04-01,,,,7876.419,69659.0,69659.0,4133.92,36560.0,36560.0
2021-05-01,,,,8711.172,77042.0,77042.0,4566.044,40382.0,40382.0
2021-06-01,,,,7556.424,66829.0,66829.0,4183.202,36996.0,36996.0
2021-07-01,,,,7469.951,66064.0,66064.0,4021.774,35569.0,35569.0
2021-08-01,,,,7586.282,67093.0,67093.0,4213.014,37260.0,37260.0
2021-09-01,,,,7868.035,69585.0,69585.0,3723.846,32934.0,32934.0
2021-10-01,,,,8604.201,76096.0,76096.0,2933.381,25943.0,25943.0
2021-11-01,,,,8848.059,78252.0,78252.0,2392.487,21159.0,21159.0
2021-12-01,,,,9908.813,87634.0,87634.0,1825.009,16140.0,16140.0
2022-01-01,,,,9419.224,32138.0,32138.0,2320.087,7916.0,7916.0
2022-02-01,,,,8256.295,28170.0,28170.0,2807.411,9579.0,9579.0
2022-03-01,,,,7433.097,25362.0,25362.0,3413.819,11648.0,11648.0
2022-04-01,,,,6889.299,23506.0,23506.0,3995.97,13634.0,13634.0
2022-05-01,,,,7440.355,25386.0,25386.0,4562.723,15568.0,15568.0
2022-06-01,,,,7291.096,24877.0,24877.0,4335.532,14793.0,14793.0
2022-07-01,,,,7011.317,23923.0,23923.0,3960.816,13514.0,13514.0
2022-08-01,,,,7406.831,25272.0,25272.0,3636.87,12409.0,12409.0
2022-09-01,,,,7595.787,25917.0,25917.0,3534.914,12061.0,12061.0
2022-10-01,,,,6606.217,22540.0,22540.0,3180.226,10851.0,10851.0
2022-11-01,,,,9397.887,32066.0,32066.0,2330.534,7952.0,7952.0
2022-12-01,,,,9880.595,33713.0,33713.0,1725.098,5886.0,5886.0
2023-01-01,,,,9162.0,31261.0,31261.0,2178.0,7431.0,7431.0
2023-02-01,,,,8662.0,29555.0,29555.0,2700.0,9212.0,9212.0
2023-03-01,,,,9283.0,31674.0,31674.0,3326.0,11348.0,11348.0
2023-04-01,,,,8434.0,28777.0,28777.0,3590.0,12249.0,12249.0
2023-05-01,,,,4922.0,16794.0,16794.0,3254.0,11103.0,11103.0
2023-06-01,,,,6374.0,21748.0,21748.0,3504.0,11956.0,11956.0
2023-07-01,,,,5051.0,17234.0,17234.0,3653.0,12464.0,12464.0
2023-08-01,,,,6471.0,22079.0,22079.0,3538.0,12072.0,12072.0
2023-09-01,,,,1593.0,5435.0,5435.0,3758.0,12822.0,12822.0
2023-10-01,,,,7272.0,24812.0,24812.0,3344.0,11410.0,11410.0
2023-11-01,,,,9536.0,32537.0,32537.0,2291.0,7817.0,7817.0
2023-12-01,,,,9798.0,33431.0,33431.0,1957.0,6677.0,6677.0
2024-01-01,,,,8829.0,30125.0,30125.0,1857.0,6336.0,6336.0
2024-02-01,,,,9616.0,32810.0,32810.0,2427.0,8281.0,8281.0
2024-03-01,,,,10322.0,35219.0,35219.0,3191.0,10888.0,10888.0
2024-04-01,,,,8594.0,29323.0,29323.0,3899.0,13303.0,13303.0
2024-05-01,,,,7937.0,27081.0,27081.0,4249.0,14498.0,14498.0
2024-06-01,,,,3930.0,13409.0,13409.0,3958.0,13505.0,13505.0
2024-07-01,,,,4961.0,16927.0,16927.0,3245.0,11072.0,11072.0
2024-08-01,,,,6265.0,21376.0,21376.0,3563.0,12157.0,12157.0
2024-09-01,,,,6578.0,22444.0,22444.0,3679.0,12553.0,12553.0
2024-10-01,,,,7178.0,24491.0,24491.0,3328.0,11355.0,11355.0
2024-11-01,,,,7519.0,25655.0,25655.0,2402.0,8196.0,8196.0
2024-12-01,,,,8701.0,29688.0,29688.0,2069.0,7059.0,7059.0
