measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Gases-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-12-01,0.0,0.0,0.0,,,,-2.0,0.0,0.0,14788.0,183162.0,183162.0,5798.0,0.0,0.0,-47.0,0.0,0.0,-84.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-01-01,109.0,2599.0,2599.0,,,,1.0,40.0,40.0,8252.0,101604.0,101604.0,2825.0,0.0,0.0,-47.0,244.0,244.0,-67.0,268.0,268.0,,,,,,,933.0,12935.0,12935.0
2004-02-01,291.0,4275.0,4275.0,,,,-3.0,138.0,138.0,879.0,13167.0,13167.0,-124.0,0.0,0.0,97.0,900.0,900.0,113.0,3025.0,3025.0,,,,,,,0.0,0.0,0.0
2004-03-01,71.0,980.0,980.0,,,,-1.0,0.0,0.0,34596.0,430592.0,430592.0,15927.0,0.0,0.0,-29.0,251.0,251.0,934.0,13830.0,13830.0,,,,,,,3874.0,56681.0,56681.0
2004-04-01,0.0,0.0,0.0,,,,-2.0,23.0,23.0,45696.0,549860.0,549860.0,22174.0,0.0,0.0,-18.0,285.0,285.0,85.0,3561.0,3561.0,,,,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,-110.0,0.0,0.0,74.0,2018.0,2018.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-06-01,188.0,2437.0,2437.0,,,,55.0,980.0,980.0,19905.0,248736.0,248736.0,7568.0,0.0,0.0,78.0,3429.0,3429.0,-32.0,2494.0,2494.0,,,,,,,326.0,3997.0,3997.0
2004-07-01,29.0,545.0,545.0,,,,-3.0,104.0,104.0,19348.0,242603.0,242603.0,6647.0,0.0,0.0,-8.0,321.0,321.0,-27.0,1130.0,1130.0,,,,,,,3798.0,54950.0,54950.0
2004-08-01,0.0,0.0,0.0,,,,3.0,128.0,128.0,17647.0,224072.0,224072.0,6161.0,0.0,0.0,81.0,4119.0,4119.0,0.0,0.0,0.0,,,,,,,1988.0,27924.0,27924.0
2004-09-01,0.0,0.0,0.0,,,,3.0,708.0,708.0,15522.0,193877.0,193877.0,4628.0,0.0,0.0,60.0,2449.0,2449.0,2204.0,23136.0,23136.0,,,,,,,164.0,3411.0,3411.0
2004-10-01,5.0,58.0,58.0,,,,0.0,0.0,0.0,34759.0,440536.0,440536.0,15765.0,0.0,0.0,-6.0,987.0,987.0,2515.0,35171.0,35171.0,,,,,,,1974.0,27011.0,27011.0
2004-11-01,0.0,0.0,0.0,,,,1044.0,7511.0,7511.0,-21.0,626.0,626.0,17400.0,0.0,0.0,458.0,3351.0,3351.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2004-12-01,8.0,116.0,116.0,,,,1.0,29.0,29.0,920.0,13702.0,13702.0,83.0,0.0,0.0,15.0,1296.0,1296.0,-90.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.2,52.2,6781.0,87800.87,87800.87,2092.0,0.0,0.0,148.0,4290.05,4290.05,24.0,685.91,685.91,,,,,,,69.0,2007.88,2007.88
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,7172.92,7172.92,-118.0,0.0,0.0,-47.0,0.0,0.0,0.0,0.0,0.0,,,,,,,-76.0,221.69,221.69
2005-03-01,5.0,116.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,4448.77,4448.77,-98.0,0.0,0.0,106.0,4056.99,4056.99,-93.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2421.0,33092.64,33092.64,136.0,0.0,0.0,199.0,4738.55,4738.55,-87.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-05-01,84.0,933.8,933.8,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,20684.95,20684.95,169.0,0.0,0.0,92.0,2974.44,2974.44,-97.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-06-01,5.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,17752.0,221807.8,221807.8,6288.0,0.0,0.0,105.0,3024.53,3024.53,9.0,127.8,127.8,,,,,,,2192.0,29332.94,29332.94
2005-07-01,7.0,92.8,92.8,0.0,0.0,0.0,0.0,0.0,0.0,22517.0,305334.13,305334.13,8703.0,0.0,0.0,-32.0,433.47,433.47,165.0,2068.37,2068.37,,,,,,,6597.0,81322.72,81322.72
2005-08-01,0.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3142.0,40295.26,40295.26,1023.0,0.0,0.0,368.0,8814.39,8814.39,2704.0,18697.86,18697.86,,,,,,,5757.0,100393.62,100393.62
2005-09-01,51.0,643.8,643.8,0.0,0.0,0.0,3.0,87.0,87.0,14347.0,189316.87,189316.87,4919.0,0.0,0.0,156.0,4873.92,4873.92,1308.0,8784.2,8784.2,,,,,,,2851.0,36884.97,36884.97
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,179.8,179.8,15147.0,191373.73,191373.73,5955.0,0.0,0.0,49.0,2348.31,2348.31,378.0,3466.61,3466.61,,,,,,,3383.0,37849.58,37849.58
2005-11-01,0.0,0.0,0.0,-113.0,0.0,0.0,0.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0,-38.0,0.0,0.0,-86.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2005-12-01,0.0,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,5177.0,64323.63,64323.63,1916.0,0.0,0.0,-20.0,1149.7,1149.7,-84.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,-55.0,0.0,0.0,,,,-50.0,193.0,193.0,1047.0,14803.0,14803.0,,,,,,,1624.0,23018.0,23018.0
2006-02-01,0.0,0.0,0.0,-97.0,0.0,0.0,0.0,0.0,0.0,-40.0,0.0,0.0,,,,-19.0,811.0,811.0,119.0,2730.0,2730.0,,,,,,,9.0,211.0,211.0
2006-03-01,0.0,0.0,0.0,-81.0,0.0,0.0,0.0,0.0,0.0,-38.0,0.0,0.0,,,,50.0,2428.0,2428.0,2164.0,32793.0,32793.0,,,,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,-109.0,0.0,0.0,45.0,1532.0,1532.0,-35.0,0.0,0.0,,,,547.0,15908.0,15908.0,7698.0,108738.0,108738.0,,,,,,,0.0,0.0,0.0
2006-05-01,243.0,2914.0,2914.0,,,,0.0,0.0,0.0,9191.0,120121.0,120121.0,3048.0,0.0,0.0,476.0,11950.0,11950.0,1155.0,15022.0,15022.0,,,,,,,0.0,0.0,0.0
2006-06-01,71.0,880.0,880.0,,,,14.0,382.0,382.0,24637.0,312634.0,312634.0,9721.0,0.0,0.0,135.0,4100.0,4100.0,1364.0,19477.0,19477.0,,,,,,,0.0,0.0,0.0
2006-07-01,108.0,1199.0,1199.0,,,,1.0,116.0,116.0,21666.0,273525.0,273525.0,7717.0,0.0,0.0,148.0,1543.0,1543.0,1124.0,17226.0,17226.0,,,,,,,0.0,0.0,0.0
2006-08-01,1.0,58.0,58.0,,,,14.0,336.0,336.0,23293.0,293980.0,293980.0,9111.0,0.0,0.0,89.0,2176.0,2176.0,3213.0,44261.0,44261.0,,,,,,,2567.0,35619.0,35619.0
2006-09-01,8.0,110.0,110.0,,,,0.0,0.0,0.0,11660.0,147097.0,147097.0,4478.0,0.0,0.0,-53.0,251.0,251.0,-94.0,312.0,312.0,,,,,,,-2015.0,6709.0,6709.0
2006-10-01,13.0,237.0,237.0,,,,0.0,0.0,0.0,11957.0,152323.0,152323.0,3624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1489.0,19323.0,19323.0,484.0,0.0,0.0,-45.0,1301.0,1301.0,-14.0,1276.0,1276.0,,,,,,,-8.0,675.0,675.0
2006-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,242.0,4227.0,4227.0,0.0,0.0,0.0,0.0,210.0,210.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,1037.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9539.0,119432.0,119432.0,3655.0,0.0,0.0,1.0,68.0,68.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-04-01,19.641000000000002,243.0,243.0,6.635,0.0,0.0,0.0,0.0,0.0,22281.359,275962.0,275962.0,7526.365000000001,0.0,0.0,0.0,535.0,535.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19434.0,244662.0,244662.0,7996.0,0.0,0.0,0.0,145.0,145.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-06-01,43.675,562.0,562.0,15.368,0.0,0.0,0.0,0.0,0.0,16434.325,211409.0,211409.0,5782.6320000000005,0.0,0.0,94.0,2241.0,2241.0,680.505,10262.0,10262.0,,,,,,,1003.495,15133.0,15133.0
2007-07-01,2.273,29.0,29.0,0.859,0.0,0.0,92.863,2496.0,2496.0,26089.727,332466.0,332466.0,9863.141,0.0,0.0,148.137,3982.0,3982.0,98.35900000000001,8326.0,8326.0,,,,,,,391.641,33152.0,33152.0
2007-08-01,20.51,776.0,776.0,0.0,0.0,0.0,225.86700000000002,31726.0,31726.0,21.49,813.0,813.0,0.0,0.0,0.0,51.133,7182.0,7182.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,353.0,29371.0,382319.0,382319.0,12150.0,0.0,0.0,0.0,399.0,399.0,464.465,12641.0,12641.0,,,,,,,160.535,4369.0,4369.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0,36.36,1529.0,1529.0,17407.0,212056.0,212056.0,8257.0,0.0,0.0,9.64,405.0,405.0,1035.0,17758.0,17758.0,,,,,,,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,12036.0,12036.0,0.0,0.0,0.0,43.0,1570.0,1570.0,822.841,13133.0,13133.0,,,,,,,377.159,6020.0,6020.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6070.0,66709.0,66709.0,1197.0,0.0,0.0,0.0,0.0,0.0,447.208,6521.0,6521.0,,,,,,,15.792000000000002,230.0,230.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629.0,10140.0,10140.0,0.0,0.0,0.0,8.0,1151.0,1151.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,3105.0,3105.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15590.0,194125.0,194125.0,6292.0,0.0,0.0,0.0,497.0,497.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26320.0,316345.0,316345.0,11033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.0,42206.0,42206.0,423.0,0.0,0.0,-5.0,788.0,788.0,299.0,6812.0,6812.0,,,,,,,0.0,0.0,0.0
2008-06-01,0.464,6.0,6.0,0.161,0.0,0.0,0.0,0.0,0.0,17492.536,218430.0,218430.0,6078.839,0.0,0.0,0.0,897.0,897.0,674.0,12531.0,12531.0,,,,,,,0.0,0.0,0.0
2008-07-01,97.562,1228.0,1228.0,34.122,0.0,0.0,87.90100000000001,2618.0,2618.0,14753.438,185684.0,185684.0,5159.878000000001,0.0,0.0,88.099,2624.0,2624.0,61.0,4224.0,4224.0,,,,,,,0.0,0.0,0.0
2008-08-01,10.878,139.0,139.0,3.14,0.0,0.0,79.959,2102.0,2102.0,11924.122,152382.0,152382.0,3441.86,0.0,0.0,100.04100000000001,2631.0,2631.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-09-01,14.693000000000001,185.0,185.0,5.077,0.0,0.0,0.0,0.0,0.0,12253.307,154567.0,154567.0,4233.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-10-01,2.146,29.0,29.0,0.308,0.0,0.0,0.0,0.0,0.0,2766.8540000000003,37345.0,37345.0,397.692,0.0,0.0,0.0,604.0,604.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-11-01,441.769,4628.0,4628.0,101.239,0.0,0.0,0.0,0.0,0.0,3446.231,36101.0,36101.0,789.7610000000001,0.0,0.0,59.0,2089.0,2089.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,8009.0,8009.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4.267,458.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,11.733,1258.0,1258.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,6226.0,6226.0,0.0,0.0,0.0,0.0,293.0,293.0,36.824000000000005,707.0,707.0,,,,,,,300.176,5760.0,5760.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11049.0,137050.0,137050.0,3037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29291.0,364360.0,364360.0,11867.0,0.0,0.0,0.0,0.0,0.0,0.0,2987.0,2987.0,,,,,,,0.0,0.0,0.0
2009-05-01,2.814,35.0,35.0,1.045,0.0,0.0,0.393,29.0,29.0,20954.186,258792.0,258792.0,7784.955,0.0,0.0,21.607,1591.0,1591.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-06-01,7.9190000000000005,98.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,21952.081,272957.0,272957.0,0.0,0.0,0.0,26.0,1783.0,1783.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,20467.0,261016.0,261016.0,7745.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18841.0,240170.0,240170.0,6851.0,0.0,0.0,0.0,369.0,369.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27101.0,343271.0,343271.0,11480.0,0.0,0.0,0.0,465.0,465.0,89.837,3730.0,3730.0,0.0,0.0,0.0,,,,2.1630000000000003,90.0,90.0
2009-10-01,13.203000000000001,168.0,168.0,5.343,0.0,0.0,0.0,191.0,191.0,23976.797,305023.0,305023.0,9702.657000000001,0.0,0.0,0.0,937.0,937.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-11-01,13.051,174.0,174.0,4.946000000000001,0.0,0.0,0.0,12.0,12.0,3614.949,48128.0,48128.0,1370.054,0.0,0.0,0.0,763.0,763.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2009-12-01,2.0,423.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3705.0,3705.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-01-01,3239.386,32103.0,32103.0,0.0,0.0,0.0,34.715,1728.0,1728.0,8285.614,82111.0,82111.0,0.0,0.0,0.0,59.285000000000004,2950.0,2950.0,236.0,16633.0,16633.0,,,,,,,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33746.0,187381.0,187381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18205.0,167227.0,167227.0,0.0,0.0,0.0,0.0,23084.0,23084.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40735.0,385027.0,385027.0,0.0,0.0,0.0,0.0,694.0,694.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-05-01,1.0530000000000002,6.0,6.0,0.0,0.0,0.0,2.7760000000000002,225.0,225.0,20257.947,111119.0,111119.0,0.0,0.0,0.0,261.224,21201.0,21201.0,0.0,22555.0,22555.0,,,,,,,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29513.0,265959.0,265959.0,0.0,0.0,0.0,4.9,155.0,155.0,0.0,28758.0,28758.0,,,,,,,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30939.0,271659.0,271659.0,0.0,0.0,0.0,0.0,616.0,616.0,0.0,15693.0,15693.0,,,,,,,0.0,0.0,0.0
2010-08-01,9.527000000000001,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,30760.473,279835.0,279835.0,0.0,0.0,0.0,4.0,1018.0,1018.0,0.0,1805.0,1805.0,,,,,,,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25485.0,227271.0,227271.0,0.0,0.0,0.0,0.0,1627.0,1627.0,0.0,19851.0,19851.0,,,,,,,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13562.0,124035.0,124035.0,0.0,0.0,0.0,51.0,1176.0,1176.0,0.0,38138.0,38138.0,,,,,,,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,1647.0,46493.0,46493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2010-12-01,179.596,1716.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,14903.404,142379.0,142379.0,0.0,0.0,0.0,0.0,1105.0,1105.0,0.0,5588.0,5588.0,,,,,,,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2052.0,2052.0,,,,0.0,960.0,960.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5921.0,56609.0,56609.0,1404.0,0.0,0.0,0.0,232.0,232.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7813.0,98211.0,98211.0,3238.0,0.0,0.0,0.0,188.0,188.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2011-04-01,10.621,133.0,133.0,4.807,0.0,0.0,7.853,364.0,364.0,30021.379,375641.0,375641.0,13588.193,0.0,0.0,42.147,1954.0,1954.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15584.0,197624.0,197624.0,6457.0,0.0,0.0,6.0,1302.0,1302.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.969,151.0,151.0,22103.0,280632.0,280632.0,9534.0,0.0,0.0,1.031,160.0,160.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
