measured_on,"Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2021-02-01,78.301,949.0,949.0,22801.699,276239.0,276239.0
2021-03-01,41.243,469.0,469.0,26500.757,301484.0,301484.0
2021-04-01,0.0,0.0,0.0,23651.0,270397.0,270397.0
2021-05-01,78.725,882.0,882.0,19005.275,212998.0,212998.0
2021-06-01,38.356,459.0,459.0,25145.644,300914.0,300914.0
2021-07-01,0.0,0.0,0.0,27870.0,348864.0,348864.0
2021-08-01,107.713,1132.0,1132.0,21453.287,225501.0,225501.0
2021-09-01,42.954,490.0,490.0,26596.046,303149.0,303149.0
2021-10-01,45.344,556.0,556.0,11111.656,136224.0,136224.0
2021-11-01,19.605,245.0,245.0,26691.395,333279.0,333279.0
2021-12-01,67.536,882.0,882.0,24102.464,314879.0,314879.0
2022-01-01,165.058,2014.0,2014.0,20838.942,254297.0,254297.0
2022-02-01,37.905,502.0,502.0,24671.095,326867.0,326867.0
2022-03-01,110.02,1474.0,1474.0,25165.98,337208.0,337208.0
2022-04-01,114.597,1474.0,1474.0,14325.403,184285.0,184285.0
2022-05-01,186.367,2230.0,2230.0,20268.633,242549.0,242549.0
2022-06-01,0.0,659.0,659.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,3235.0,3235.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,291.745,4207.0,4207.0,15160.255,218592.0,218592.0
2023-04-01,0.836,11.0,11.0,26987.164,348763.0,348763.0
2023-05-01,68.416,859.0,859.0,25601.584,321292.0,321292.0
2023-06-01,28.844,340.0,340.0,24169.156,285062.0,285062.0
2023-07-01,130.554,1561.0,1561.0,26402.446,315606.0,315606.0
2023-08-01,36.37,470.0,470.0,25087.63,324061.0,324061.0
2023-09-01,105.891,1334.0,1334.0,25300.109,318679.0,318679.0
2023-10-01,26.267,340.0,340.0,16600.733,215004.0,215004.0
2023-11-01,177.997,2036.0,2036.0,21461.003,245456.0,245456.0
2023-12-01,48.022,653.0,653.0,26155.978,355884.0,355884.0
2024-01-01,70.543,967.0,967.0,24195.457,331531.0,331531.0
2024-02-01,0.448,5.0,5.0,24753.552,298650.0,298650.0
2024-03-01,261.639,3343.0,3343.0,18990.361,242613.0,242613.0
2024-04-01,60.076,729.0,729.0,24553.924,297951.0,297951.0
2024-05-01,117.045,1285.0,1285.0,21924.955,240746.0,240746.0
2024-06-01,111.912,1447.0,1447.0,21826.088,282247.0,282247.0
2024-07-01,6.556,86.0,86.0,25969.444,342231.0,342231.0
2024-08-01,205.562,2614.0,2614.0,20404.438,259431.0,259431.0
2024-09-01,193.299,2279.0,2279.0,15451.701,182160.0,182160.0
2024-10-01,37.685,2992.0,2992.0,10.315,819.0,819.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0
