measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Wood Waste Liquids Generation,Wood Waste Liquids Quantity Consumed For Electricity,Wood Waste Liquids Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2007-05-01,454.99100000000004,7702.0,7702.0,,,,27194.009,460359.0,460359.0
2007-06-01,383.63800000000003,5249.0,5249.0,,,,28482.362,389700.0,389700.0
2007-07-01,337.65700000000004,4762.0,4762.0,,,,28039.343,395424.0,395424.0
2007-08-01,262.471,3097.0,3097.0,,,,30731.529,362637.0,362637.0
2007-09-01,55.912000000000006,655.0,655.0,,,,29479.088,345555.0,345555.0
2007-10-01,0.0,0.0,0.0,,,,13222.0,180162.0,180162.0
2007-11-01,134.562,1937.0,1937.0,,,,13820.438,198963.0,198963.0
2007-12-01,0.0,0.0,0.0,,,,30994.0,432360.0,432360.0
2009-01-01,21.121000000000002,286.0,286.0,,,,25650.879,347344.0,347344.0
2009-02-01,20.295,292.0,292.0,,,,21963.705,315470.0,315470.0
2009-03-01,77.431,1078.0,1078.0,,,,23506.569,327262.0,327262.0
2009-04-01,42.447,594.0,594.0,,,,11046.553,154586.0,154586.0
2009-05-01,0.447,6.0,6.0,,,,26123.553,321325.0,321325.0
2009-06-01,0.447,6.0,6.0,,,,28239.553,347352.0,347352.0
2009-07-01,47.214000000000006,583.0,583.0,,,,27234.786,336298.0,336298.0
2009-08-01,65.57900000000001,809.0,809.0,,,,27824.421000000002,343039.0,343039.0
2009-09-01,0.0,0.0,0.0,,,,19675.0,241998.0,241998.0
2009-10-01,49.542,611.0,611.0,,,,26561.458,327311.0,327311.0
2009-11-01,18.895,220.0,220.0,,,,29063.105,338398.0,338398.0
2009-12-01,0.0,0.0,0.0,,,,32223.0,377249.0,377249.0
2010-01-01,22.493000000000002,281.0,281.0,,,,32018.507,399291.0,399291.0
2010-02-01,22.541,286.0,286.0,,,,28879.459000000003,366417.0,366417.0
2010-03-01,0.0,0.0,0.0,,,,31294.0,385662.0,385662.0
2010-04-01,0.0,0.0,0.0,,,,23068.0,283408.0,283408.0
2010-05-01,89.887,1117.0,1117.0,,,,9231.113000000001,114661.0,114661.0
2010-06-01,134.292,1700.0,1700.0,,,,24081.708,304761.0,304761.0
2010-07-01,141.863,1700.0,1700.0,,,,32102.137,384580.0,384580.0
2010-08-01,141.189,1694.0,1694.0,,,,31577.811,378873.0,378873.0
2010-09-01,127.78500000000001,1474.0,1474.0,,,,28093.215,324056.0,324056.0
2010-10-01,88.343,1089.0,1089.0,,,,9905.657000000001,122106.0,122106.0
2010-11-01,89.03500000000001,1089.0,1089.0,,,,23567.965,288263.0,288263.0
2010-12-01,0.0,0.0,0.0,,,,27740.0,375330.0,375330.0
